job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
场外衍生品研究实习生（不设实习津贴）,财信风险管理有限公司,0-20元/天,上海-浦东新区,上海,硕士,,7月24日更新,liepin,"该实习岗位没有相关津贴，实习期间购买商业保险，能够配合实习生开具实习证明，实习期间有专业团队带教，请投递前务必看清要求，接受之后再投递。
【工作职责】
1.协助完成场外衍生品（含保险+期货、商品类期权、权益类期权、远期、互换等）的结构设计与策略回测工作；
2.参与场外衍生品定价、对冲模型的研究与优化，跟踪宏观经济及市场结构变化，对策略进行持续迭代；
3.协助完成场外衍生品交易支持工作，包括交易对冲策略研究、每日保证金计算、客户授信规模更新及头寸压力测试等；
4.配合团队参与产品方案设计、推介材料撰写及路演支持等相关工作；
5.完成部门交办的其他研究支持工作。
【任职要求】
1.学历：在读硕士研究生及以上学历（特别优秀者可放宽至本科），2027届毕业生优先；
2.专业：金融工程、数学、统计、物理、计算机等相关专业优先；具有金融与理工科复合背景者优先；
3.专业技能：了解金融衍生品基础知识，对场外期权、互换等产品有一定认知；具备一定的数据处理和编程能力，熟练使用Excel，掌握Python、SQL、R或C++中至少一种编程语言；
4.综合能力：对资本市场有较强的好奇心和学习能力，思维敏捷，工作踏实细致，具备良好的沟通能力和团队协作精神；

截止日期：2027年07月17日
招聘人数：2人",Python SQL C++ 方案设计,https://www.liepin.com/lptjob/84216505
无人机研发博士后,杭州市滨江区浙工大网络空间安全创新研究院,20-40k,杭州-滨江区,杭州,学生可投,经验不限,90天前更新,liepin,"岗位职责：
1. 负责无人机无人系统的路径规划、决策、避障算法的开发、实现与调试;
2. 负责无人系统运动轨迹规划算法和优化相关研究工作，提高无人系统控制精度、流畅性和稳定性;
3. 负责无人系统系统平台集成和调试。

 专业要求：
1. 计算机、控制、电子工程、机械电子等相关专业;
2. 熟悉经典路径规划算法，了解基于神经网络的前沿规划算法；
3. 熟悉主流无人系统开发开源软件框架，有自主框架设计开发经验者优先；
4. 熟悉C/C++编程，熟悉Linux，有ROS开发经验者优先。",C++ Linux ROS,https://www.liepin.com/job/1973800981.shtml
2027届C++开发实习岗,金证科技深圳,150-250元/天,长沙-岳麓区,长沙,本科,,7月30日更新,liepin,"岗位定位：
证券交易结算系统是金融市场的""底层高速公路""，交易系统负责订单接收、撮合匹配、行情推送，要求千万级并发处理能力和微秒级响应延迟；结算系统负责日终清算交收、资金对账、风险核算，要求分毫不差的资金级准确性。
你将加入核心研发团队，用C++从底层构建这些金融基础设施。你需要理解交易所级别的高并发架构、低延迟通信、内存管理和容灾设计，这些技术能力在金融科技领域具有不可替代性。

岗位职责：
 1、参与核心模块开发。根据概要设计和需求文档，完成证券交易结算系统各功能模块的C++编码开发，包括订单处理、撮合引擎、行情分发、清算结算等核心组件。
2、编写高质量工程代码。遵循团队编码规范，编写结构清晰、性能优良、可维护性强的C++代码。你将学习到金融级软件的代码质量标准。
3、参与系统设计与技术方案讨论。在概要设计评审中提出你的想法，理解系统架构决策背后的技术权衡。
4、完成产品实施部署与联调。参与系统在客户环境的部署配置、集成联调和上线验证，理解从开发到生产的完整工程链路，建立""交付意识""。
5、定位和解决技术问题。参与线上问题的排查与修复，培养独立解决复杂技术问题的能力。
6、持续学习金融业务知识。理解证券交易的业务逻辑和监管规则，技术能力×业务理解是金融科技领域最核心的竞争力。

任职资格：
1、2027届毕业生，本科及以上学历，计算机科学、软件工程或相关专业。
2、扎实的C++语言基础，掌握面向对象编程思想，了解STL基本容器和算法。
3、熟悉Linux/Unix开发环境，掌握常用命令和开发工具链，理解TCP/IP网络协议基本原理。
4、熟练掌握SQL语言，了解SQL Server、DB2、Oracle中至少一种数据库。计算机基础扎实，数据结构与算法、操作系统、计算机网络等核心课程成绩优良。有C++实际项目开发经验或网络编程实践优先。
5、对金融证券行业有兴趣，有相关课程学习或项目经历。实习期可达6个月及以上优先，实习期间公司提供免费住宿。

截止日期：2026年12月31日
招聘人数：5人",C++ 高并发 Linux Unix TCP/IP SQL SQL Server Oracle 技术方案,https://www.liepin.com/lptjob/84171401
C++软件工程师（实习生）,上海泛士杰智能电子科技有限公司,200-300元/天,上海-浦东新区,上海,本科,,5月7日更新,liepin,"主要有机器人和AI/深度学习两个方向，详见对应部分介绍。

总体岗位职责： 
1. 参与 AI视觉、3D视觉、机器人等相关软件产品的开发和维护；
2. 参与软件产品设计，了解行业背景，听取用户反馈，提高产品易用性；
3. 积极和其他成员沟通，配合完成整个系统的测试和集成。

总体岗位要求： 
1. 本科及以上学历，硕博优先； 
2. 编程基本功扎实，熟练掌握 C++，实践经验丰富；熟悉 Linux 下 C++ 编译链接流程，会使用 Git，CMake 等工具；
3. 有 AI 视觉模型研发与优化经验者优先；有在英伟达嵌入式平台部署TensorRT模型的经验者优先;
4. 具有良好的团队合作能力和沟通能力。

C++软件开发工程师（机器人方向）
工作职责：
1. 基于多传感器融合的高精度定位/SLAM算法的开发和优化，及工程化实现与产品落地；
2. 地图构建及地图优化，基于数据融合的定位与重定位功能开发；
3. 参与构建多传感器（相机、IMU、Lidar等）标定、数据采集和处理系统，应用于自动驾驶、机器人等场景；
4. 根据产品需求进行相关算法代码的研发、实现与根据实际应用场景不断测试、优化和产品化等相关工作；
5. 参与SLAM相关算法库及接口定义SDK化，提供其他开发人员，以及SDK相关问题的定位、分析和解决；
任职要求：（以下要求满足至少三条）
1. 硕士及以上学历，计算机、自动化、机器人、人工智能、电气、电子信息、测控、机械等相关专业，1-2年以上SLAM相关工作经验；
2. 具备扎实的C/C+/Python开发经验，熟悉常用数据结构算法，熟悉ROS和Linux下开发环境；
3. 熟悉SLAM基本原理，如图优化、卡尔曼滤波、特征提取与跟踪等算法；熟悉一种以上的主流SLAM算法框架，如VINS-Mono/Fusion、ORB-SLAM、Kimera、OpenVINS、MSCKF等；
4. 熟悉常用传感器特性（如相机、IMU、Lidar等），熟悉一种或者多种传感器内/外参标定算法；
5. 熟悉OpenCV 、Eigen、Ceres、PCL、G2O、GTSAM、Sophus等三方库中的一种或多种；
6. 具备良好的逻辑沟通能力和解决实际问题的能力；
7. 具备良好的数理基础和算法研究能力，具有良好的英文阅读理解能力，能够阅读相关英文技术文献资料；
满足以下任一者优先：
1. 模式识别、图像处理、计算机、机器人等相关专业博士及以上学历，或硕士及3年以上SLAM相关工作经验，或者有较有影响力的工作和开源代码；
2. 具有位姿估计、图像/点云处理、视觉/激光三维重建、SLAM系统搭建等科研或工程落地经验；
3. 具有基于ARM的嵌入式平台开发经验，或有机器人实际开发经验；
4. 数学基础扎实，在非线性优化、机器人状态估计、贝叶斯滤波、多视角几何、多传感器融合等领域有深入认识；
5. 在相关主流会议或期刊有过论文发表；

C++软件开发工程师（深度学习方向）
岗位职责：
1. 模型研发与优化：
  - 设计并实现基于深度学习的解决方案，包括但不限于计算机视觉、自然语言处理、语音识别等领域。
  - 对现有深度学习模型进行性能优化，提高准确率和效率，满足产品对实时性、鲁棒性和可扩展性的需求。
2. 项目实施与落地：
  - 负责从数据采集、预处理到模型训练、验证、测试全流程的工程化工作。
  - 配合团队将深度学习模型部署到嵌入式设备中，确保模型在实际场景中的稳定运行和效果。
3. 技术创新与研究：
  - 关注深度学习领域的前沿技术动态，参与关键技术的研究和探索，为公司产品引入创新算法和技术。
4. 代码与文档编写：
  - 编写高质量、易于维护的代码，并撰写相关设计文档和技术报告，以支持团队内外部的技术交流与合作。
任职要求：
- 教育背景：计算机科学、人工智能、电子工程，数学等相关专业本科及以上学历。
- 专业技能：
  - 熟练掌握C/C++编程，具有ARM Linux嵌入式开发的经验，了解CUDA，CUDNN等GPU编程 
  - 熟练掌握Python编程，具备一定的深度学习理论基础，熟练使用TensorFlow、PyTorch，ONNX等主流深度学习框架
  - 具有实际的深度学习项目经验，模型压缩、剪枝，量化、加速等技术。
- 综合素质：
  - 具备良好的问题分析能力和解决复杂问题的能力，以及优秀的逻辑思维和抽象能力。
  - 持续自我学习，对新技术保持敏锐洞察力，具备良好的沟通协调能力和团队合作精神。
优先条件：
- 有在英伟达嵌入式平台部署TensorRT模型的经验者优先

截止日期：2027年04月04日
招聘人数：2人",深度学习 C++ Linux Git CMake SLAM LiDAR Python ROS OpenCV ARM 计算机视觉,https://www.liepin.com/lptjob/81509901
【2026春招】C++开发工程师,杭州迪普科技股份有限公司,11-20k,杭州-滨江区,杭州,本科,应届,7月17日更新,liepin,"职责描述：
1、负责设备统一管理平台的需求开发和维护；
2、负责优化统一管理平台的数据采集和数据分析功能，确保系统能高效的对数据进行分析。
任职要求：
1、网络、计算机、软件、通信、电子、信息安全等相关专业本科及以上学历；
2、精通现代 C++（C++11/14/17/20） 核心特性，熟练运用智能指针、Lambda 表达式、STL 容器 / 算法、右值引用、协程等特性，深刻理解封装、继承、多态、RAII、内存管理等核心概念；熟练使用 Visual Studio 等开发环境，掌握GDB调试、性能分析工具（Perf/Valgrind/VisualVM）的使用；
3、精通 TCP/IP 协议，熟练掌握 C++ Socket 编程（Windows IOCP/Linux epoll）；
4、掌握数据分析核心方法（统计分析、时序分析、聚合计算等），熟悉高效数据结构（哈希表、布隆过滤器等）；
5、了解window批处理脚本以及Linux shell编程者优先、有大型C++项目开发经验者优先、有C++系统性能调优经验者优先。

 
迪普科技成立于2008年，是一家专注于技术创新的网络安全上市公司（300768）。 以“让网络更简单、智能、安全”为使命，践行“创新、诚信、贡献&分享”的价值观，聚 焦于网络安全、工控安全、数据安全及应用交付等领域，为各行业用户提供全场景的网络安全产 品和解决方案。主要包括安全产品、应用交付产品、网络产品以及安全服务等。 
• 全国业务覆盖30+省份地市，2大研发中心，2大营销中心 
• 1800+公司员工，研发占比超过50%，近3年研发投入5.5亿元 
• 申请技术专利2300+篇，发明专利占95%以上 
• Al数据识别与AI安全检测技术，两度获得中国人工智能大赛A级证书 
• 连续六年入选浙江省企业创造力百强榜 
• 猎聘2025浙江年度非凡雇主

 
**************************************************
 

截止日期：2027年03月12日
招聘人数：10人",C++ TCP/IP Linux Shell 数据采集 数据分析 专利,https://www.liepin.com/lptjob/80859359
C++软件工程师（大模型推理优化方向）- 实习生,深圳市大数据研究院,150-250元/天,深圳-龙岗区,深圳,本科,,7月7日更新,liepin,"我们正在寻找对大型语言模型（LLM）推理加速和边缘设备优化充满热情的C++工程师加入我们团队。你将参与最前沿的大模型技术研发，专注于提升模型推理性能和边缘部署能力。
主要职责：
大模型推理引擎开发与优化
参与自研大模型推理引擎的C++核心模块开发
实现模型推理加速算法，优化内存管理和计算效率
开发高性能算子库，支持GPU/CPU异构计算
边缘设备模型部署与优化
实现模型轻量化、量化、剪枝等优化技术
分析并解决大模型推理中的性能瓶颈
优化端到端推理流水线，降低延迟和功耗
与算法团队协作，将优化技术集成到产品中
技术创新与研究
跟踪业界最新的大模型推理优化技术
探索新的模型压缩和加速方法
参与开源项目贡献和技术方案设计

任职要求
必备条件：
教育背景
计算机科学、软件工程、人工智能、电子信息等相关专业
本科及以上学历，2027-2028届毕业生
技术能力
熟练掌握C++编程，熟悉C++14/17标准
理解计算机体系结构，熟悉多线程、内存管理等核心概念
良好的数据结构和算法基础
项目经验（至少满足一项）
大模型推理加速经验：熟悉至少一种大模型推理框架（vLLM、llama.cpp等）
边缘设备优化经验：有移动端/嵌入式AI框架开发经验（ONNX Runtime、NCNN、MNN等）
优先考虑：
大模型推理加速相关经验
熟悉CUDA编程和CPU上的AI算子开发
了解模型量化（INT8/INT4）、剪枝、知识蒸馏等技术
熟悉注意力机制优化、KV Cache优化等技术
边缘设备优化相关经验
熟悉AVX512指令集优化
有模型轻量化实战经验

其他加分项
参与过AI推理框架开源项目
有ACM/ICPC等编程竞赛获奖经历
发表过相关领域论文或专利
熟悉Python和PyTorch/TensorFlow

技术栈要求
核心技能：
编程语言：C++（必须），Python（加分）
开发环境：Linux，CMake，Git
性能工具：perf，nsight，vtune

期望经验领域：
推理框架：llama.cpp、vLLM、ONNX Runtime、Triton等
硬件平台：amd、NVIDIA GPU、华为昇腾、寒武纪、瑞芯微等
优化技术：算子融合、内存复用、流水线并行、动态批处理


截止日期：2027年07月07日
招聘人数：5人",LLM C++ 大模型 ONNX Python PyTorch TensorFlow Linux CMake Git 技术方案 专利,https://www.liepin.com/lptjob/79619825
C/C++开发工程师（26校招）,同为股份,22-35k,深圳-南山区,深圳,本科,应届,90天前更新,liepin,"岗位职责：
方向一：
负责实现 IPC 产品上业务和应用软件的开发，维护。任职资格：
1、本科及以上学历，计算机相关专业；
2、熟悉 C/C++开发语言，精通多进程，多线程技术，在 linux 环境进行软件开
发；
3、熟悉 Linux/RTOS 环境下的开发和调试，熟练掌握嵌入式 linux 上调试手段和
工具。
方向二：
负责视频监控存储产品嵌入式应用软件设计和开发工作。
任职资格：
1、本科及以上学历，计算机、电子信息类相关专业；
2、熟练掌握 C/C++语言，熟悉常用数据结构、算法及其 C/C++实现，具备良好的
编程风格；
3、熟悉 Linux 操作系统，熟悉多线程编程，熟悉 TCP/IP 协议及常用网络协议。
方向三：
负责视频监控平台客户端/服务器软件设计、开发。
任职资格：
1、本科及以上学历，计算机、电子信息等相关专业；
2、熟练掌握 C/C++语言开发，熟悉常用数据结构、算法及其 C/C++实现；
3、熟悉面向对象设计、开发的思想、原则，熟悉常用设计模式；
4、熟悉进程间通信、多线程，熟悉 TCP/IP 协议及 socket 网络编程。
方向四：
负责监控平台产品软件的模块功能开发及平台产品配套 SDK 开发。
任职资格：
1、本科及以上学历，计算机、电子信息等相关专业；
2、熟悉常用数据结构、算法及其 C/C++实现；
3、熟悉面向对象的分析、设计和编码实现，熟悉 OOD 思想、原则、工具、方法；
4、熟悉 windows\linux 开发环境，熟悉多线程及网络编程；5、熟悉界面（qt）开发，熟悉信号槽，model/view，界面常用布局，树，表，
图，自定义控件等优先。

截止日期：2026年09月03日
招聘人数：50人",C++ Linux RTOS TCP/IP IPC TCP IP SDK,https://www.liepin.com/lptjob/76949545
C++软件开发工程师,成都派兹互连电子技术有限公司,8-12k,成都-高新区,成都,硕士,应届,6月22日更新,liepin,"成都派兹互连电子技术有限公司注册资本2.4亿元，获成都市倍特基金数亿元投资，总部设于成都高新区 AI 创新中心，深圳、苏州设研发、技术支持及销售中心。
公司紧扣“十五五”规划，聚焦工业软件自主可控，深耕AI与电子信息产业融合领域，以自研EDA工具链为核心，构建“AI原生EDA + 智能制造 + 智慧供应链”数智体系，致力于打通设计到量产全流程数智壁垒，助力电子制造国产化升级。
我们诚挚邀请怀揣技术理想、志在产业报国的您加入，携手推动EDA国产化与产业数智化发展！
一、岗位职责
1、参与公司C++相关软件产品、模块的开发与调试工作，协助完成代码编写、功能实现与问题排查。
2、配合团队完成软件需求分析、技术方案设计，按要求完成开发任务交付。
3、参与代码评审、单元测试，保障代码质量与程序运行稳定性。
4、协助完成技术文档撰写，梳理开发流程与功能逻辑。
5、主动学习行业新技术、新框架，适配团队项目开发需求。
6、结合AI工具辅助代码开发、文档生成、问题排查，提升开发效率与代码质量。
二、任职要求
1、研究生及以上学历，计算机、软件工程、电子信息、自动化等相关专业，数学基础扎实，具备良好的逻辑思维与数理分析能力。
2、掌握C++编程语言，熟悉C++核心语法、面向对象编程思想，了解STL标准库使用，具备扎实的C++编码基础。
3、掌握数据结构与算法基础，熟悉链表、栈、队列、树、排序查找等核心知识点，能运用数据结构解决基础开发问题。
4、在校期间有相关课程设计、实训项目、个人编程作品/开源项目经验者优先。
5、了解或使用过AI写代码工具（如GitHub Copilot、Cursor、Claude Code等），能结合AI工具完成代码辅助开发、代码优化、接口调用等工作，具备AI工具与传统开发结合的实践意识。
6、具备良好的沟通表达能力，能清晰理解团队需求、高效对接协作任务。
三、工作时间及福利待遇
1、五险一金：入职当月购买社保、公积金。
2、工作时间：9:00-18:30，午休1.5小时，周末双休，法定节假日照常休息。
3、福利待遇：节假日福利、下午茶、带薪年假、绩效奖金。
4、公司具备完善的培训体系及岗位晋升机制。

截止日期：2027年06月22日
招聘人数：3人",C++ Git 技术支持 供应链 需求分析 技术方案 技术文档 培训,https://www.liepin.com/lptjob/83605829
琢玉计划 - C++系统开发实习生,上海思勰投资管理有限公司,500-1000元/天,上海-浦东新区,上海,本科,,5月28日更新,liepin,"职责描述：

1. 开发并维护高性能金融产品交易和投研系统；
2. 设计并实现高性能计算库，低延迟通讯库，交易系统框架及高性能存储系统；
3. 分析各核心系统性能瓶颈，突破技术难点，实现改进方案；
4. 根据策略需求完成交易信号、策略执行、风险控制等模块的高效实现。

职位要求：

1. 本科及以上学历，计算机、电子工程等相关专业；
2. 熟悉Modern C++（C++20及以上）、理解C++模板元编程、熟悉常用数据结构和算法；
3. 具有较强的逻辑思维能力和良好的代码习惯，算法类及信息学竞赛获奖者优先；
4. 理解Linux操作系统，有在Linux下使用C++开发的经验，了解CPU微架构，追求程序性能的优化；
5. 知晓基础的网络协议和编程，了解多线程编程；
6.能够使用Python和Shell Script作为辅助工具。

截止日期：2027年05月28日
招聘人数：4人",C++ Linux Python Shell,https://www.liepin.com/lptjob/82948713
runtime C++ 软件研发工程师(J10801),上海合见工业软件集团股份有限公司,薪资面议,上海-浦东新区,上海,硕士,应届,6月29日更新,liepin,"职责描述：
1.负责runtime C/C++ 应用程序和功能的开发维护。
2.负责prototyping, emulation和BP项目的软硬件的开发及维护。
3.负责客户应用或问题远程或现场支持。
任职要求：
1. 计算机专业毕业，研究生或以上学历。
2. 精通C或C++语言，常见C++库的使用，有良好的编程习惯。
3. 熟悉嵌入式芯片和基于IP寄存器的相关软件开发。
4. 熟悉Linux开发，后台服务器程序的开发调式。
4. 熟悉socket通信，memory和多线程的使用和管理。

优先考虑：
1. 有大型C++程序开发经验。
2. 熟悉嵌入式开发。
3. 有服务器端系统优化，内存使用和多线程性能优化经验的优先。
4. 熟悉linux 驱动模型和驱动开发，有硬件相关的软件开发优先。

截止日期：2027年05月06日
招聘人数：1人",C++ Linux,https://www.liepin.com/lptjob/82277353
