job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
【26届校招人才专项】激光SLAM算法,青庭智能科技(苏州)有限公司,25-40k·15薪,深圳-南山区,深圳,硕士,应届,90天前更新,liepin,"激光SLAM算法-26届
工作职责
1.负责激光SLAM算法框架的搭建、优化和工程化落地；
2.负责多传感器融合算法的开发和优化（包括相机、轮速计、激光雷达、IMU、GNSS等）；
3.与其他软件与算法模块进行联合调试；
4.负责SLAM算法问题分析、算力优化与性能优化。

任职资格
1.硕士以上学历（优秀候选人不受此限制）
2.熟练掌握C++编程，优秀的代码设计能力；
3.熟悉基本的SLAM框架，如Cartographer，Loam，Lego-loam，Lio-Sam等；
4.了解IMU，RTK，激光雷达等传感器特性；
5.熟练使用Opencv，Eigen，Ceres，G2o，Isam等开源库；
具备以下条件者优先：
1.了解RTK相关知识，和相关开源库；
2.掌握多传感器标定方法优先（相机、IMU、激光雷达、RTK）；
3.具备机器人相关的开发与落地经验；

视觉SLAM算法-26届
工作职责
1.负责VSLAM与多传感器融合算法 的深入研究、开发与性能优化，包括但不限于基于视觉、IMU、激光雷达等多种传感器的融合定位、建图与导航算法。
2.主导或参与 以相机为主的多传感器硬件系统 的选型、设计、集成与调试，确保算法与硬件的协同工作效率与鲁棒性。
3.独立开发与维护 SLAM算法相关的软件工具链，包括但不限于高效的测试用例、自动化调试工具、数据分析与可视化工具，提升开发与迭代效率。
4.负责SLAM算法的工程化交付与持续维护，确保算法在实际产品中的稳定运行、性能达标，并根据需求进行迭代升级。
任职资格
1.统招硕士及以上学历，计算机科学、自动化、机器人、测绘等相关专业；（优秀候选人不受此限制）
2.精通 C/C++编程，具备优秀的软件工程能力与代码规范意识；能够熟练使用 ROS工具 和 shell脚本，对常用数据结构与算法有深入理解。
3.具备扎实的数学功底，精通机器视觉和SLAM相关算法理论知识，对多视几何、非线性优化、状态估计等有深入理解与实践经验；熟悉并能熟练运用 OpenCV、Ceres-Solver、GTSAM 等主流算法库。
4.具备丰富的单目、双目、深度相机、IMU、激光雷达等多种传感器 的使用、开发与融合经验，对传感器特性与标定有深刻理解。
5.深入理解并有实际开发经验于 ORB-SLAM2、VINS-Mono、SVO、LIO-SAM 等经典开源VSLAM/多传感器融合框架，对滤波和图优化VSLAM框架有深入的理解和比较分析能力。
6.具有成功的VSLAM项目开发与落地经验者优先，包括但不限于移动机器人、AR/VR、自动驾驶等领域。

截止日期：2027年03月24日
招聘人数：1人",SLAM C++ Go OpenCV ROS Shell 测试用例 数据分析,https://www.liepin.com/lptjob/81181209
【26届校招人才专项】激光SLAM算法,青庭智能科技(苏州)有限公司,25-40k·15薪,苏州-吴中区,苏州,硕士,应届,90天前更新,liepin,"激光SLAM算法-26届
工作职责
1.负责激光SLAM算法框架的搭建、优化和工程化落地；
2.负责多传感器融合算法的开发和优化（包括相机、轮速计、激光雷达、IMU、GNSS等）；
3.与其他软件与算法模块进行联合调试；
4.负责SLAM算法问题分析、算力优化与性能优化。

任职资格
1.硕士以上学历（优秀候选人不受此限制）
2.熟练掌握C++编程，优秀的代码设计能力；
3.熟悉基本的SLAM框架，如Cartographer，Loam，Lego-loam，Lio-Sam等；
4.了解IMU，RTK，激光雷达等传感器特性；
5.熟练使用Opencv，Eigen，Ceres，G2o，Isam等开源库；
具备以下条件者优先：
1.了解RTK相关知识，和相关开源库；
2.掌握多传感器标定方法优先（相机、IMU、激光雷达、RTK）；
3.具备机器人相关的开发与落地经验；

视觉SLAM算法-26届
工作职责
1.负责VSLAM与多传感器融合算法 的深入研究、开发与性能优化，包括但不限于基于视觉、IMU、激光雷达等多种传感器的融合定位、建图与导航算法。
2.主导或参与 以相机为主的多传感器硬件系统 的选型、设计、集成与调试，确保算法与硬件的协同工作效率与鲁棒性。
3.独立开发与维护 SLAM算法相关的软件工具链，包括但不限于高效的测试用例、自动化调试工具、数据分析与可视化工具，提升开发与迭代效率。
4.负责SLAM算法的工程化交付与持续维护，确保算法在实际产品中的稳定运行、性能达标，并根据需求进行迭代升级。
任职资格
1.统招硕士及以上学历，计算机科学、自动化、机器人、测绘等相关专业；（优秀候选人不受此限制）
2.精通 C/C++编程，具备优秀的软件工程能力与代码规范意识；能够熟练使用 ROS工具 和 shell脚本，对常用数据结构与算法有深入理解。
3.具备扎实的数学功底，精通机器视觉和SLAM相关算法理论知识，对多视几何、非线性优化、状态估计等有深入理解与实践经验；熟悉并能熟练运用 OpenCV、Ceres-Solver、GTSAM 等主流算法库。
4.具备丰富的单目、双目、深度相机、IMU、激光雷达等多种传感器 的使用、开发与融合经验，对传感器特性与标定有深刻理解。
5.深入理解并有实际开发经验于 ORB-SLAM2、VINS-Mono、SVO、LIO-SAM 等经典开源VSLAM/多传感器融合框架，对滤波和图优化VSLAM框架有深入的理解和比较分析能力。
6.具有成功的VSLAM项目开发与落地经验者优先，包括但不限于移动机器人、AR/VR、自动驾驶等领域。

截止日期：2027年03月24日
招聘人数：1人",SLAM C++ Go OpenCV ROS Shell 测试用例 数据分析,https://www.liepin.com/lptjob/81181207
SLAM算法工程师（视觉SLAM方向）,中国航天时代电子有限公司,20-40k,北京-海淀区,北京,硕士,应届,90天前更新,liepin,"岗位职责：
1.研发复杂环境下的高精度视觉SLAM算法；
2.研发适用于各类机器人的轻量化 SLAM 算法；
3.负责机器人导航系统的算法优化、集成及部署。
任职要求：
1.重点高校机器人、自动化、计算机、电子信息等相关专业硕士及以上学历，具备丰富的理论知识及工程经验；
2.具备良好的英文文献检索和阅读能力；
3.扎实的 C/C++ 编程知识，熟练使用 OpenCV/Eigen/GTSAM/Ceres 等库，有 CUDA 加速经验者优先；
4.熟悉视觉 SLAM 中的一种或多种算法原理，有SLAM 算法开发经验者优先；
5.本岗位面向视觉 SLAM 、多传感融合SLAM等多个方向，熟悉一种或多种均可投递；

截止日期：2026年11月25日
招聘人数：1人",SLAM C++ OpenCV Eigen GTSAM Ceres CUDA,https://www.liepin.com/lptjob/78708735
机器视觉/SLAM算法实习生,上海泛士杰智能电子科技有限公司,300-400元/天,上海-青浦区,上海,本科,,90天前更新,liepin,"
工作职责：
1. 基于多传感器融合的高精度定位/SLAM算法的开发和优化，及工程化实现与产品落地；
2. 地图构建及地图优化，基于数据融合的定位与重定位功能开发；
3. 参与构建多传感器（相机、IMU等）标定、数据采集和处理系统，应用于自动驾驶、机器人等场景；
4. 根据产品需求进行相关算法代码的研发、实现与根据实际应用场景不断测试、优化和产品化等相关工作；
5. 参与SLAM相关算法库及接口定义SDK化，提供其他开发人员，以及SDK相关问题的定位、分析和解决；
任职要求：（以下要求满足至少三条）
1. 本科及以上学历，计算机、自动化、机器人、人工智能、电气、电子信息、测控、机械等相关专业，
2. 具备扎实的C/C+/Python开发经验，熟悉常用数据结构算法，熟悉ROS和Linux下开发环境；
3. 熟悉SLAM基本原理，如图优化、卡尔曼滤波、特征提取与跟踪等算法；熟悉一种以上的主流SLAM算法框架

4. 具备良好的逻辑沟通能力和解决实际问题的能力；
5. 具备良好的数理基础和算法研究能力，具有良好的英文阅读理解能力，能够阅读相关英文技术文献资料；
满足以下任一者优先：
1. 模式识别、图像处理、计算机、机器人等相关专业博士及以上学历，或硕士及3年以上SLAM相关工作经验，或者有较有影响力的工作和开源代码；
2. 具有位姿估计、图像/点云处理、视觉/激光三维重建、SLAM系统搭建等科研或工程落地经验；
3. 具有基于ARM的嵌入式平台开发经验，或有机器人实际开发经验；
4. 数学基础扎实，在非线性优化、机器人状态估计、贝叶斯滤波、多视角几何、多传感器融合等领域有深入认识；
5. 在相关主流会议或期刊有过论文发表；

招聘人数：1人",SLAM Python ROS Linux ARM 数据采集,https://www.liepin.com/lptjob/64687597
SLAM算法实习生,超维动力智能,400-800元/天,深圳-南山区,深圳,硕士,,7月15日更新,liepin,"职位描述
1、负责基于 激光/视觉 slam 的构图、定位、里程计算法设计研究、设计、开发类；
2、负责基于 imu、轮速、camer、Lidar 等多传感器融合构图定位算法设计研究、设计、开发类；
3、负责语义SLAM算法研发与集成。
职位要求
1. 熟练掌握 C/C++/Python 语言，有扎实的算法编程基础；
2. 熟悉 SLAM、定位、多传感器融合、深度学习等至少一项关键技术：
i. 熟悉 EKF/ESKF/InEKF/UKF 等多源信息融合滤波方法；
ii. 熟悉 VINS-MONO/ORBSLAM/FAST-LIO 等经典 SLAM 算法框架，对图优化、因子图优化方法原理有深入研究，或熟悉基于深度学习的语义 SLAM 方法；
iii. 熟悉 GNSS 定位算法，有嵌入式系统 GNSS 算法开发经验。
3. 有导航算法开发经验者优先。

截止日期：2027年07月15日
招聘人数：1人",SLAM LiDAR C++ Python 深度学习 Lidar EKF ESKF,https://www.liepin.com/lptjob/84150227
激光SLAM算法实习生,易控智驾科技股份有限公司,300-400元/天,上海-闵行区,上海,硕士,,7月9日更新,liepin,"职责描述
参与矿山场景激光SLAM算法研发：负责激光雷达在矿山环境下的建图、定位算法设计与优化，实现高精度、高鲁棒性的位姿估计与地图构建，满足矿山无人驾驶的定位需求。
参与多传感器融合技术落地：结合IMU、GPS等多源数据，优化激光SLAM的融合策略，提升在复杂矿山场景（如遮挡、粉尘、动态车辆干扰）下的定位稳定性。

任职要求

基础要求
硕士及以上学历，计算机、自动化、测绘、机器人等相关专业。
具备扎实的数理基础，熟练掌握线性代数、多视几何、概率论与非线性优化算法。
熟练掌握至少一种主流编程语言（C/C++），熟悉Linux开发环境与Git工具，有ROS/ROS2开发经验者优先。
具备良好的学习能力、沟通能力与团队协作精神。
能力与经验（满足以下至少一项）
有激光SLAM、多传感器融合相关的研究或项目经验，熟悉常见SLAM算法（如LOAM、LIO-SAM、FASTLIO系列等）。
熟悉卡尔曼滤波核心算法原理。
熟悉非线性优化库（如g2o, Ceres Solver, GTSAM）。
加分项
在计算机视觉、机器人、机器学习会议/期刊（如CVPR、ICRA、IROS等）发表过SLAM相关论文。
熟悉PyTorch/TensorFlow等深度学习框架，有SLAM与深度学习结合的研究经验者优先。

截止日期：2027年07月09日
招聘人数：1人",SLAM GPS C++ Linux Git ROS 计算机视觉 机器学习 PyTorch TensorFlow 深度学习,https://www.liepin.com/lptjob/84018185
SLAM算法工程师,武汉紫道弘益科技有限公司,120-200元/天,武汉-洪山区,武汉,本科,,6月29日更新,liepin,"岗位职责：
1.负责基于多传感器（相机、激光雷达、IMU等）的SLAM算法开发，实现高精度的实时定位与三维地图构建；
2.设计面向复杂场景的地图构建、更新、存储与优化的算法，在自动驾驶系统中实现；
3.集成前沿的SLAM技术，持续改进优化算法，提升鲁棒性与精度；
4.与其他模块的工程师协作，完成系统集成与性能优化。
5.公司安排的其他工作

职位要求：
1.计算机、机器人、自动化、测绘、车辆工程、数学等专业本科及以上学历；
2.具有1年以上在自动驾驶、机器人导航领域的实际开发经验（含在校重点项目或实习经验）；
3.掌握SLAM、多视图几何、状态估计、非线性优化等基础理论；
4.精通C/C++编程，具备良好的数据结构和算法基础。熟练使用Python进行算法验证与数据处理;熟悉至少一种主流 SLAM框架（如ORB-SLAM系列、VINS、LIO-SAM、Cartographer等）的原理与实现。熟悉常用的计算机视觉与点云处理库（如OpenCV、PCL、Eigen、g2o/Ceres）。熟悉多传感器融合的基本概念与方法（如滤波、优化融合）;
5.具备Linux /ROS 环境下进行开发、调试、性能优化及解决实际工程问题的能力;
6.良好的学习能力、沟通表达能力和团队合作意识。

截止日期：2027年06月29日
招聘人数：2人",SLAM C++ Python 计算机视觉 OpenCV Linux ROS,https://www.liepin.com/lptjob/83768647
SLAM算法实习生,智元机器人,200-400元/天,上海-浦东新区,上海,硕士,,90天前更新,liepin,"岗位职责：
协助研究和开发激光和视觉SLAM算法。
参与数据采集与处理，建立高质量的环境地图。
与团队成员协作，参与现有项目的设计和讨论。
任职要求：
计算机科学、电子工程、机器人等相关专业在读学生或应届毕业生。
熟悉C++或Python编程语言。
了解计算机视觉、图像处理、机器学习及SLAM相关理论。
有使用OpenCV、ROS、PCL等开源工具和库的实践经验者优先。
具备良好的逻辑思维能力和问题解决能力。
具备团队合作精神，良好的沟通能力和学习能力。
具备诚信和责任心等优秀品质。

截止日期：2027年04月15日
招聘人数：1人",SLAM C++ Python 计算机视觉 机器学习 OpenCV ROS 数据采集,https://www.liepin.com/lptjob/81797145
SLAM算法工程师,深圳市智绘科技有限公司,15-20k,深圳-南山区,深圳,硕士,应届,6月30日更新,liepin,"工作职责：
1.基于激光雷达、视觉等开发适用于室内外场景下的建图与定位算法；
2.负责建图与定位算法的工程化应用。

岗位要求：
1.硕士及以上学历，计算机、通信、自动化控制、电子信息等相关专业；
2.熟悉C/C++编程和常用数据结构算法，有良好的编程风格和编程习惯；
3.熟悉常用的激光/视觉SLAM，熟悉卡尔曼滤波算法、非线性优化理论，熟悉多传感器融合定位导航算法；
4.有无人车、机器人等相关领域的研发经验者优先；
5.有实际SLAM算法开发与调试经验并具备较强的工程和代码能力。

截止日期：2027年03月30日
招聘人数：1人",C++ SLAM,https://www.liepin.com/lptjob/81347709
SLAM算法工程师(J10648),烟台睿创微纳技术股份有限公司,15-20k,烟台-福山区,烟台,硕士,应届,90天前更新,liepin,"职责描述：
1、研发基于激光雷达、视觉等多传感器融合的SLAM算法，实现多场景下的地图构建，适配移动机器人/无人机等运动平台；
2、负责大场景下三维地图构建与实时定位的长期维护策略，优化维护畸变补偿、动态物体滤除、特征提取、回环检测等关键算法模块；
3、负责机器人导航系统联调，解决实际场景中的建图失真、定位漂移等问题；
4、负责技术资料的编写、培训以及专利论文的撰写、申报等工作。
任职要求：
1、硕士及以上学历，掌握SLAM的基础理论，精通1个或多个经典SLAM框架，如LOAM/LIO-SAM/ORB-SLAM/VINS等；
2、精通机器人定位导航的相关技术，有机器人项目实际开发经验者优先；
3、熟练掌握C/C++编程，熟悉Linux/ROS开发环境，熟悉Gazebo/Isaac Sim等仿真工具，有良好的编程习惯；
4、掌握OpenCV/PCL/Eigen/g2o/Ceres等算法库开发；
5、热爱机器人行业，具备良好的逻辑沟通及问题解决能力。

截止日期：2026年08月01日
招聘人数：1人",SLAM C++ Linux ROS OpenCV 培训 专利,https://www.liepin.com/lptjob/76199469
