job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
工业产品经理,电气机械/器材1000-2000人,20-25k,苏州-工业园区,苏州,统招本科,5-10年,7月28日更新,liepin,"本岗位负责公司机械工业设备/整机产品全生命周期、全链路产品规划与管理工作，贯穿市场调研、产品分析、定位规划、方案落地、迭代优化全流程，联动研发、生产、销售、售后各部门，推动产品市场化、商业化落地，提升产品市场竞争力与盈利水平。核心职责如下：
1. 市场调研与行业分析：持续深耕机械制造、智能制造行业市场，调研行业发展趋势、上下游产业链动态、政策导向及技术迭代方向；精准分析竞品产品参数、功能亮点、定价体系、销售策略及优缺点，定期输出行业调研报告、竞品分析报告，为产品决策提供数据支撑。
2. 用户需求挖掘与梳理：对接经销商、终端工厂客户、销售及售后团队，深度挖掘工业设备终端使用场景、客户核心痛点、功能需求及定制化需求；对需求进行分类、筛选、研判、优先级排序，搭建标准化需求管理体系，避免无效研发与资源浪费。
3. 产品定位与规划：结合市场趋势、竞品优势、客户需求及公司技术、生产资源，负责新品产品定位、市场定位、价格定位及差异化优势打造；制定产品短期迭代计划、中长期产品布局规划，明确产品核心卖点、目标客群及市场切入策略。
4. 全链路产品落地管理：主导新品从立项、方案设计、研发评审、样机测试、试产验证到批量上市的全流程跟进，输出产品立项报告、需求规格说明书、产品方案文档；协调研发、工艺、生产、供应链等部门，解决产品落地过程中的各类问题，保障项目按时落地。
5. 产品市场化与迭代优化：产品上市后，联动销售、市场团队输出产品推广资料、卖点手册、技术宣讲素材；持续跟踪产品市场销量、客户反馈、使用差评、故障问题，复盘产品市场表现，制定产品迭代、优化、升级方案，持续优化产品体验与产品竞争力。
6. 产品生命周期管理：负责现有产品线的规整、优化与迭代，梳理产品矩阵，淘汰落后、低效、无市场产品，优化产品结构；统筹产品标准化、系列化规划，提升产品通用性、兼容性，降低生产与研发成本。
六、任职要求
1. 学历专业：本科及以上学历，机械设计制造、机电一体化、智能制造、工业工程等相关理工科专业优先。
2. 工作经验：3年及以上机械制造/工业设备/智能制造行业产品经理工作经验，熟悉工业整机、机械设备、自动化设备类产品全链路开发与管理，有成熟新品从0到1落地经验者优先。
3. 核心能力：具备扎实的市场调研、竞品分析、需求拆解、产品定位能力，能够独立完成产品规划、立项及全流程推进；熟悉机械产品研发、生产、测试流程，了解工业设备核心结构、技术原理及行业主流工艺。
4. 职业技能：熟练输出产品调研报告、竞品分析、立项方案、产品规格书等各类产品文档；具备良好的跨部门沟通协调能力、项目推进能力、逻辑思维能力和市场敏感度，能够精准捕捉行业机会与客户痛点。
5. 综合素质：具备较强的目标感、责任心和抗压能力，拥有工业品商业化思维、成本思维和用户思维，熟悉To B工业产品销售逻辑与市场规则。
6. 优先条件：有工程机械、自动化设备、通用机械、智能装备等相关行业从业经验者优先；具备研发转产品、技术型产品经理经验者优先。",产品规划 市场调研 竞品分析 方案设计 供应链 产品迭代 产品文档,https://www.liepin.com/job/1984447333.shtml
销售经理（电力&石化煤化工方向）,东管集团,8-24k,北京-朝阳区,北京,本科,3-5年,7月24日更新,liepin,"说明：所有销售类岗位工作时间为周一至周六上班，周日固定单休或调休；业务岗需接受对应频率的出差要求。
销售经理（电力&石化煤化工方向）
【岗位基本信息】
所属部门：北京销售中心
汇报对象：销售总监
招聘人数：12
工作地点：北京
【岗位定位】
作为国内电力、石化、煤化工赛道核心销售执行岗，负责对应区域/行业的市场拓展、客户开发与项目跟进，独立操盘中型项目全流程，协助销售总监开展团队业务落地，完成个人年度销售与回款指标。
【核心职责】
1.业绩落地：根据公司市场战略，落地执行电力、石油化工、煤化工任意两大赛道的市场开发计划，完成个人年度销售、回款指标；
2.客户开发与维护：深耕负责区域的行业核心客户，重点对接区域内电力企业、三桶油下属单位、煤制氢/煤制油业主单位、EPC总包公司，建立稳定的客情关系，挖掘项目需求；
3.项目跟进：熟练掌握四大高压管道、压力容器等核心产品的参数、技术优势与应用场景，独立负责中型EPC总包配套项目从线索到回款的全流程跟进，协调内部资源保障项目落地；
4.日常业务管理：落实日常业务复盘、客户档案管理、项目进度报备、回款跟进等工作，按要求提交销售报表与项目进展；
5.团队协作：严格执行公司销售管理制度，协助销售总监开展团队基础业务落地、新员工带教等工作，配合参与行业展会、技术交流等市场活动。
【任职资格要求】
1.学历与专业：本科及以上学历，石油化工、热能动力、机械类、市场营销相关专业毕业，石油化工类院校毕业优先；
2.工作经验：具备3-5年电力、石油化工、煤化工行业工业产品销售经验，覆盖至少两个赛道经验者优先；
3.经验要求：熟悉管道、管件、压力容器、电站装备类产品销售模式，有相关行业百万级以上项目跟进落地经验者优先；
4.资源要求：具备电力、三桶油、煤化工业主单位、EPC总包等相关行业客户资源者优先；
5.能力要求：具备良好的商务谈判能力、沟通协调能力与问题解决能力，学习能力强，能够快速掌握产品技术知识；
6.综合素质：结果导向，抗压能力强，能适应国内高频出差，具备良好的团队协作意识与职业操守。",商务谈判,https://www.liepin.com/job/1984376505.shtml
机械工程师,斯德拉马机械(太仓)有限公司,薪资面议,苏州-太仓,苏州,本科,3-5年,7月29日更新,liepin,"岗位职责 
1. 协助方案工程师进行售前报价
2. 负责设备的机械设计，包括方案、3D、2D、BOM、气动以及与电气硬件软件的交接文档和设备交货使用相关的文档，并根据项目需求、技术或客户需要进行更新优化
3. 负责机械部分配件的选型，保证其符合我们的技术要求
4. 为供应商提供技术指导以保证供应商理解产品规格及要求
5. 撰写符合国家标准的技术资料包括BOM清单、产品规范、机械图纸、原材料标准等等；掌握国家最新的技术规范/标准
6.解决项目中的技术问题，并负责给现场装配、生产部、采购部、项目部等提供必要的技术支持
7. 和德国机械设计部门就技术问题做好沟通和协调工作
8. 上级交代的其他工作

任职资格 
1. 机械设计制造类专业，本科及以上学历
2. 至少3年以上非标设备机械设计相关工作经验，汽车行业优先，3C行业及其他工业产品生产行业亦可
3. 熟悉机械原理，具备独立规划方案和设计的能力；熟悉机械加工工艺；了解常用材料；了解常用电气元件和基本的电气控制原理
4. 熟悉office办公室软件，熟练使用Inventor/Soildworks及AutoCAD等3D设计制图软件
5. 具备良好的沟通协调能力
6. 英语可做为工作语言，会德语或在德企有相关工作经验者优先考虑
7. 工作认真负责，严谨细致，有良好的创新精神和团队精神
8. 良好的学习能力，以及在压力下高效独立的工作能力",采购 技术支持 BOM,https://www.liepin.com/job/1976470201.shtml
销售代表 (工业产品部) ID207358,TÜV南德意志集团,薪资面议,广州-天河区,广州,本科,1年以上,90天前更新,liepin,"职位概述：
该职位负责工业产品服务部（工业机器，工业零部件，工业自动化，防爆服务，新能源充电设备等）的客户开发，业务拓展，并完成年度销售指标。
工作职责：
1.深入工业产品相关领域，收集市场信息及客户信息，了解市场的现状以及未来的发展趋势，并与客户建立联系。
2.完成销售经理设置的个人年度指标并支持销售经理完成团队年度销售指标。
3.通过专业的技术知识和销售能力，开发工业产品行业客户的检验、测试、培训、认证业务：
   a.寻找潜在客户，创造新的合作机会
   b.根据客户的需要制订解决方案
   c.及时反馈与跟进客户的咨询
   d.与客户达成合作并定期拜访
4.负责客户管理，维护客户关系，提升品牌影响力和客户满意度。
5.项目启动时协调客户和内部团队，跟踪合同或项目的相关进展。
6.定期对销售工作进行总结汇报。
任职要求：
1.理工科本科及以上学历。
2.一年或以上工业生产制造行业或检测认证行业销售工作经验优先考虑。
3.工作勤奋，自我激励，自我完善，并有较强的团队合作精神。
4.良好的沟通能力和销售技巧，较强的人际交往能力。                                                                                
5.具有良好的英文读写能力和计算机操作能力。",培训 a. b.,https://www.liepin.com/job/1981823043.shtml
冶金原材料及工业矿产品产品经理,检测/认证10000人以上,30-40k·14薪,上海-徐汇区,上海,本科,10年以上,7月8日更新,liepin,"作为一名冶金原材料及工业矿产品产品经理，您将专注于管理铁矿石、铁合金及工业矿产品的检验、监督与技术服务，承担业务规划、团队管理、客户关系经营及关键项目落地等职责，提升SGS在铁矿石、铁合金及钢铁产业链的业务竞争力。
看看你的工作内容：
1.	负责铁矿石、铁合金及工业矿产品检验业务的整体规划、经营推动及业务增长目标的达成；
2.	管理并指导团队成员，统筹销售、客户服务、技术支持等关键环节，确保跨部门协作顺畅、资源配置合理；
3.	熟悉铁矿石及铁合金产品的检验流程，监督项目方案、质量控制与结果交付，确保服务符合行业标准与客户要求；
4.	深入了解国内主要港口的运作模式，处理重点项目的现场协调与风险管理；
5.	负责拓展与维护钢厂端、贸易端及海外委托方的深度合作关系，推动大客户开发与长期合作；
6.	管理铁矿船货检验项目的报价、方案、执行、风险监控与周期管理，对项目整体质量、成本与客户满意度负责；
7.	分析行业趋势、客户需求及竞对动态，为团队及上级提供业务策略与产品线优化建议；
8.	完成上级安排的其他相关任务。

我们希望你:
1.	本科及以上学历，冶金、矿业、材料工程、国际贸易等专业优先；
2.	具有 10 年以上铁矿石、铁合金或钢铁行业相关经验，熟悉行业业务模式与专业流程；
3.	具备团队管理经验，能够带领团队达成目标，具备较强的抗压能力；
4.	英语熟练，能够处理海外委托方及外籍客户的业务沟通；
5.	熟悉铁矿石及铁合金检验相关知识，能够理解行业技术要求并指导团队落地；
6.	熟悉国内主要港口的货物、检验及操作流程，能在现场为客户与团队解决问题；
7.	拥有丰富的钢铁行业人脉资源，能够推动客户开发与业务拓展。

你将获得：
1.	明确的晋升通道与成长空间；
2.	在国际知名检验机构中深度参与铁矿石与铁合金领域业务建设的机会；
3.	与国内外客户深入合作的业务场景，提升专业能力与行业影响力。
 ",团队管理 客户服务 技术支持 跨部门协作 风险管理,https://www.liepin.com/job/1981471527.shtml
工业软件产品经理,中国恩菲工程技术有限公司,10-20k,北京-海淀区,北京,统招本科,3-5年,7月20日更新,liepin,"岗位职责：

1. 负责智能制造工程、数字化工厂和车间的整体咨询与规划，包括精益化、自动化、网络化、信息化等技术的方案整合；负责客户对接，负责项目需求调研工作，提出符合客户实际要求的规划设计方案；

2. 完成各行业样板工程案例，制定解决方案，协助销售团队开拓市场，参与市场推广活动；

3. 负责项目投标文件编写、实施方案编写、工程文档编写等工作；

4. 负责完成产品设计与调研工作，包括原型设计、需求文档编写等，同时与开发人员沟通推进产品设计落地；定期跟踪、分析行业动态及竞品；

5. 对已完成项目形成案例产品化，总结行业经验，不断提升公司产品和解决方案能力。

岗位要求：

1. 通信工程，电子信息，电气工程，自动化，计算机等专业本科以上学历；

2. 三年以上信息系统集成工作经验；具有较强的工业背景知识，熟悉工业制造业行业及信息化应用解决方案，有冶金、电力、石油石化行业系统实施经验者优先；

3. 熟悉工业软件及系统开发与对接工作；熟悉工业企业EPR、SCM等基础信息化软件，以及APC、DCS等工业系统优先；

4. 具有管理产品完整生命周期的经历，熟悉产品生命周期管理的各个环节；熟练掌握产品经理相关工具，例如思维导图、visio、axure等；

5. 善于沟通、能准确表达设计思路；能适应长短期出差，有良好的团队合作精神，吃苦耐劳，服从公司工作安排；有优秀的沟通和团队合作能力；具备良好的组织、协调、沟通能力，善于调动各个相关团队的积极性；

6. 具备较强的文案编写能力，能够根据行业业务特点和客户需求，组织撰写智能制造系统整体解决方案；具有良好的书面表达、报告撰写、PPT呈现和材料讲解能力。",市场推广 投标 文档编写 产品设计 原型设计,https://www.liepin.com/job/1936092705.shtml
工业自动化产品经理（机器人/AGV/工业软件方向）,新能源汽车已上市10000人以上,20-40k,深圳-龙岗区,深圳,本科,3年以上,90天前更新,liepin,"【岗位职责】
1. 产品战略与规划
- 负责工业自动化产品线（工业机器人、AGV、人形机器人及相关工业软件）的规划与迭代
- 制定产品Roadmap，完成市场分析、竞品研究及技术路线规划
- 建立产品需求池，制定优先级策略，输出PRD及技术方案文档

2. 产品开发与交付
- 主导产品全生命周期管理，包括需求分析、原型设计、测试验证及量产准备
- 统筹协调研发、设计、生产等部门资源，确保项目按期交付
- 建立产品质量标准，主导产品认证流程（CE/ISO等）

3. 行业洞察与创新
- 跟踪工业自动化领域技术发展（重点关注机器人、AGV、MES系统等方向）
- 分析产线自动化需求，挖掘产品创新点，优化解决方案
- 建立客户反馈机制，持续改进产品性能

【任职要求】
硬性条件：
- 本科及以上学历，自动化/机械电子/工业工程等相关工科背景（985/211优先）
- 3年以上工业自动化产品管理经验，至少主导过1个完整产品开发周期
- 熟悉工业自动化产品开发流程，具备专业文档输出能力
- 了解主流工业通信协议（Modbus、Profinet等）

核心能力：
- 具备工业级产品系统思维，能统筹硬件、软件及系统集成
- 优秀的方案设计能力，可输出完整技术解决方案
- 熟悉工业产品开发流程（IPD/APQP）
- 出色的跨部门协调能力，擅长技术语言转化

优先条件：
- 有AGV/工业机器人/产线自动化项目经验
- 熟悉工业4.0相关技术架构
- 具备MES/WMS系统集成经验
- 了解工业安全标准（ISO 13849/ISO 3691-4等）

【加分项】
- 主导过产线自动化整体解决方案设计
- 具备工业自动化领域客户资源
- 熟悉精益生产相关方法论
- 有工业物联网（IIoT）项目经验",Modbus 技术方案 需求分析 原型设计 方案设计 AGV CE IPD,https://www.liepin.com/job/1972357183.shtml
采购总监,奥普特科技,薪资面议,东莞-长安镇,东莞,本科,8年以上,7月22日更新,liepin,"一、任职要求：
(一)基本条件
1、本科及以上学历，供应链管理、采购管理、电子/机械工程、国际贸易等相关专业。
2、10年以上大型制造企业采购经验，5年以上采购总监/高级采购管理经验；有安防、电子制造、机器视觉行业经验优先。
3、具备全球化采购、战略寻源、供应商整合实战经验。
(二)专业能力
1、精通电子元器件、光学组件、结构件、ODM/OEM采购全流程，熟悉行业供应链生态。
2、具备优秀的商务谈判、成本建模、价值工程(VA/VE)能力，取得显著降本增效成果。
3、熟悉采购合规、招投标、反腐败管理，具备强风险防控意识。
4、熟练使用ERP/SRM系统，具备优秀的数据分析与流程优化能力。
(三)综合素质
1、战略思维强，能将采购战略与公司业务深度融合。
2、优秀的团队领导力、跨部门协同与资源整合能力。
3、抗压能力强，适应快节奏、高要求的全球化业务环境。
4、英语流利，具备跨国沟通与海外供应商管理能力优先。
三、优先条件
1.有海康、大华、华为、富士康等大型企业采购高管经验优先。
2.具备核心物料(芯片、FPGA等)战略采购与供应链保障经验优先。
3.持有CPSM、CIPS、PMP等专业认证优先。

二、岗位职责
1、战略采购规划：制定公司级采购战略，统筹工业相机、工业读码、工业光源、工业传感器、工业镜头等产品的电子元器件、光学组件、结构件、ODM/OEM等全品类采购策略，支撑全球化交付与降本增效。
2、供应商体系建设：搭建全球战略供应商矩阵，主导核心供应商开发、认证、分级与战略合作，构建高韧性供应链，保障芯片等关键物料安全。
3、成本与质量管控：建立成本分析、议价、核价机制，推动年度降本目标；统筹采购质量体系，确保物料品质与交付稳定性。
4、供应链风险管控：识别地缘政治、市场波动、供应中断等风险，制定应急预案，保障供应链连续稳定。
5、团队与流程管理：管理采购团队，优化采购制度、流程与数字化体系(ERP/SRM)，提升采购效率与合规性。
6、跨部门协同：对接研发、生产、财务、销售，支撑新品导入、产能扩张、海外业务拓展等重大项目。
 ",FPGA IPS 供应链 采购 商务谈判 合规 招投标 数据分析 流程优化,https://www.liepin.com/job/1981347743.shtml
工业软件产品专家,工业自动化沪深A股上市10000人以上,50-80k·15薪,苏州-吴中区,苏州,硕士,10年以上,今日更新,liepin,"战略规划：基于""软件定义自动化""和""AI工厂""战略方向，结合不同行业产线/设备仿真需求特征和技术趋势，主导输出工业软件产品的战略规划；
产品规划和竞争力定义：对工业软件产品进行竞争态势、行业趋势的系统分析，主导输出产品定义；针对不同行业输出分层的产品族规划，匹配从低门槛教育到高要求汽车的多层次诉求；
生态伙伴管理：负责CAE求解器第三方合作伙伴的评估、引入与技术对接，定义合作模式与接口标准，确保第三方求解器与数字样机平台的高效集成；持续跟踪市场动态，为自研或并购决策提供专业判断依据；
市场洞察：深度洞察产线仿真/设备仿真等相关产业，针对不同细分行业、不同复杂度场景的市场空间、客户群、需求趋势进行系统性分析，特别关注AI+仿真融合的前沿方向，形成洞察报告，作为产品规划的核心输入；
需求分析：负责工业软件需求管理，提炼高价值需求，识别核心痛点，建立行业需求到产品功能的转化机制；
产品上市上量：协助推动工业软件新产品上市工作，包括产品资料体系建设、样板点建设、标杆客户突破；协同行业线、战区将成功模式规模化复制，同时为攻坚行业制定差异化推广策略，具备端到端管理能力。
 ",产品规划 需求分析,https://www.liepin.com/job/1984543639.shtml
认证工程师（工业产品）,专业技术服务1000-2000人,10-20k·13薪,上海-浦东新区,上海,统招本科,5-10年,90天前更新,liepin," 
工业自动化领域的产品：变频器，运动驱动，人机界面，可编程控制器，控制和信号等。

岗位职责：

	根据标准和其他法规要求评估产品的符合性。

	在新项目和已有产品中规划，监控和执行符合性评估。

	与研发、市场、标准化等部门合作，保证产品的合规性。

	与外部机构协调，确保第三方证书的顺利交付。

	根据客户的具体要求，就标准和合规性进行咨询。

	提醒管理层识别和降低产品不合规风险。



任职要求:

	本科及以上学历

	了解工业自动化产品主要市场(欧洲，北美，中国等)的合规性评估

	了解欧洲指令(LVD, EMC,  ATEX,  RED,  RoHS等)

	具备中国市场准入知识(CCC, CCS, SRRC,能效标识等)

	学习并掌握工业自动化产品的相关标准(IEC/EN/UL 61800, IEC/EN/UL 61010, GB/T 14048.5,GB/T 14048.6 等)

	具备良好的英语能力

 ",合规 LVD EMC ATEX RED CCC CCS SRRC,https://www.liepin.com/job/1967863779.shtml
