job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
机器人系统软件工程师,苏州镁伽科技,2.5-3.5万·16薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 16:08:47,job51,"工作职责:
1、负责机器人系统软件架构设计、核心模块开发与集成。
2、主导机器人操作系统(比如ROS 2、RTOS)、中间件(比如实时主站)、驱动及硬件抽象层的开发与优化。
3、与硬件、嵌入式、算法等团队协作，实现传感器数据流、运动控制、任务调度等系统模块的高效实时处理，优化系统整体性能。
4、保障系统稳定性、安全性与性能，解决底层关键技术难题。
5、编写核心代码、技术文档，主导代码审查，推动团队工程能力提升。
任职资格:
1、计算机、自动化、机器人等相关专业本科及以上学历，5年以上系统软件开发经验，需有机器人行业工作经验。
2、精通C++，熟悉Python，具备扎实的Linux系统、多线程/进程、网络编程能力。
3、熟悉机器人操作系统（ROS 2、RTOS），熟悉实时主站，有完整的机器人产品系统开发与部署经验。
4、熟悉常见的传感器、执行器通信与驱动开发（如EtherCAT、CAN等）。
5、具备嵌入式系统、实时系统或高性能计算优化经验者优先。
6、具备优秀的系统调试、性能分析与解决问题能力，能独立主导技术模块。",ROS RTOS C++ Python Linux CAN 技术文档,https://jobs.51job.com/suzhou-gyyq/173193686.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
系统集成专家,苏州伟创电气科技,2.5-4万·14薪,苏州·吴中区,苏州,本科,5年及以上,2026-07-24 09:48:22,job51,"职责描述： 
1、储能行业专家，深入研究储能相关政策，对电力市场，电力系统需求进行洞察，对核心大客户需求进行挖掘，竞争对手分析，能够将行业及客户需求转化为产品或系统需求，推进公司完成相关产品或解决方案立项工作；
2、对接海外客户 / 渠道 / EPC，完成需求调研、现场条件评估、技术规范书解读与方案可行性判断。 
3、主导工商储系统方案设计：含系统架构、电池簇 / PCS/BMS/EMS 配置、功率能量配比、安全与消防、并网友好性、控制策略与收益逻辑。 
4、核心大项目、大客户的技术支持工作，能够组建技术小组，完成核心大项目、大客户的端到端对接，高质量服务客户。
 
任职要求：
 1、储能系统集成或储能产品厂家工作经历； 
2、熟悉电力市场、电力系统、能源行业，熟悉相关政策、标准，理解行业发展逻辑能够分析出行业深层需求和发展方向，为公司发展提供政策指导和方向把控； 
3、熟悉储能系统中各个组成部分，了解BMS、PCS、EMS等系统的工作原理；
4、有较强客户洞察能力，能够挖掘客户需求，推动公司完成相关解决方案和产品的立项，有项目落地经验优先。",方案设计 技术支持 EPC PCS BMS EMS,https://jobs.51job.com/suzhou-wzq/173026308.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
系统集成工程师,苏州伟创电气科技,1.5-3万·14薪,苏州·吴中区,苏州,本科,5年及以上,2026-07-24 09:47:45,job51,"职责描述：
1、基于储能系统解决方案完成设计落地。根据不同应用场景，分析出最优的能源系统方案，完成解决方案的总体设计，进行解决方案立项，组建解决方案开发小组，协调结构、电气人员，完成解决方案的开发和落地交付。
任职要求：
1、储能系统集成相关工作经历，储能系统集成方案开发相关工作经历，能够完成储能系统总体方案设计；
2、了解储能系统开发流程，能够主导储能项目开发中的技术支持工作；
3、熟悉储能系统基本原理，熟悉电气一次、二次，了解储能系统中各部件的工作原理；
4、具备储能系统解决方案开发能力，有相关解决方案开发及实施经验；
5、熟悉常用的储能产品，进行电芯、BMS、PCS、EMS等相关设备的选型。",方案设计 技术支持 BMS PCS,https://jobs.51job.com/suzhou-wzq/173026238.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
技术经理,江苏旷博智能技术,1.7-2.5万,苏州,苏州,本科,5年及以上,2026-08-07 17:30:31,job51,"岗位职责：
1.负责平台组自有项目的立项、计划、执行、监控和收尾工作，确保项目按时、按质、按量完成，并对项目的风险进行评估和控制；
2.组织配置各种资源投入项目开发工作，控制开发成本，并监督实施；
3.负责所有项目的整体质量和进度管控；
4.负责机器人产品的操作软件/界面的开发工作。
5.组建、管理和凝聚团队，提升团队整体的技术水平和研发能力。
任职要求：
1.&nbsp;本科及以上学历，计算机、自动化、软件工程等相关专业。
2.有智能行业平台项目技术负责人实战经验，有完整平台项目落地交付经历者佳。
3.&nbsp;熟练Java/Go/C++至少一门开发语言，熟悉分布式、微服务架构及常用中间件；了解AI集成、设备接入、软硬协同相关场景。
4.&nbsp;具备项目级方案设计、技术选型、风险评估能力，擅长复杂系统集成问题排查；熟悉研发工程流程，具备较强项目管控能力。
5.&nbsp;有煤矿、制造业、物联网、智慧园区、巡检机器人智能平台等项目经验优先。",Java Go C++ 分布式 微服务 方案设计,https://jobs.51job.com/suzhou/173195772.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
系统集成与软件工程师,江苏倍川自动化设备,1.5-2.5万·13薪,昆山,苏州,本科,1-5年,2026-06-27 09:42:53,job51,"【岗位定位】 作为产线数字化与自动化的核心技术枢纽，您将负责制造执行系统（MES）、智能仓储（WMS/WCS）与自主移动机器人（AMR）调度系统的端到端集成与架构演进。您不仅需要打通异构系统间的数据链路，更要作为“系统级神探”，在复杂的软硬件交互环境中解决跨模块的技术疑难杂症，主导远程升级（OTA）与集中化监控体系的建设。

【核心职责】 (Core Responsibilities)：
复杂系统集成与架构设计： 负责MES与WMS、WCS、AMR FMS（车队管理系统）等多源异构系统的高可靠集成。主导系统层面的架构设计，定义并实现低延迟、高并发的跨系统通信API与消息总线。
C++ 核心业务与 IoT 接入： 使用 C++ 编写高性能的底层交互与设备接入代码，通过 MQTT、WebSocket、TCP Socket 等协议，实现产线状态的毫秒级采集与设备级控制指令的精准下发。
跨模块全链路 Debug 与系统调优： 扮演系统级Troubleshooter。在面对“设备卡死”、“丢包”、“指令时序错乱”等复杂生产事故时，能够跨越网络层、业务逻辑层和底层硬件，进行高效的抓包、日志排查与根因分析（RCA）。
OTA 远程升级架构落地： 设计并开发针对边缘计算节点、网关及自动化设备的 OTA（Over-The-Air）差分升级模块，确保固件与软件更新的安全性、断点续传能力及失败回滚机制。
集中日志与告警平台建设： 从 0 到 1 搭建涵盖全业务链路的集中式日志分析与可视化告警平台（如基于 ELK 或 Prometheus/Grafana 生态），实现对系统健康度、Slow SQL 及异常状态的提前预警。

【任职要求】 (Requirements)：
教育背景： 统招本科及以上学历，计算机科学、软件工程、自动化等相关专业。具有 985、211 或双一流院校背景者优先录用。
核心开发能力： 精通 C++（C++11及以上标准），具备扎实的数据结构、算法基础及多线程并发编程经验。同时熟悉至少一种主流后端辅助语言（如 Java / Go / Python）。
系统调试与排障： 精通 Linux 操作系统原理，熟练使用 GDB、Wireshark/tcpdump 等系统级调试与网络抓包工具。
数据库与架构设计： 熟悉关系型数据库（MySQL / PostgreSQL）设计与性能调优；熟练掌握 Redis、Kafka/RabbitMQ 等中间件在分布式系统解耦与削峰中的应用。
物联网与通信技能： 深入理解 TCP/IP 协议栈，熟悉 MQTT、WebSocket 等即时通信协议以及 JSON/Protobuf 等数据序列化技术。

【加分项】 (Nice to Have)：
具备 AMR（自主移动机器人）系统、ROS/ROS2 开发或车队调度系统（FMS）经验者属于极度稀缺人才，优先重点考虑。

熟悉工业现场底层通信协议，如 OPC UA、Modbus TCP、EtherCAT 等。
具备 Docker/Kubernetes 容器化部署经验，了解 CI/CD 自动化流水线建设。",高并发 C++ MQTT WebSocket Prometheus Grafana SQL Java Go Python Linux MySQL PostgreSQL Redis Kafka RabbitMQ 分布式 TCP/IP Protobuf ROS Modbus Docker Kubernetes 容器化 CI/CD 日志分析,https://jobs.51job.com/kunshan/172710558.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
系统集成资深工程师(晶圆直写SE),源卓微纳科技（苏州）,3-5万,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-06-18 13:32:19,job51,"岗位职责：
1.负责晶圆直刻整机的需求开发、概念方案设计及功能模块划分与需求定义；
2.负责晶圆直刻整机各功能模块技术方案的可行性决策；
3.负责整机系统设计及集成开发计划的制定与实施；
4.负责整机技术发展路线规划，及推进实施；

岗位要求：
1. 熟练掌握设备中各个功能模块的基本工作原理以及设计逻辑；
2. 对工程问题与数学模型之间的关系，具有深刻的洞察力；
3. 能够熟练使用系统工程方法来指导相关人员开展设计工作；
4. 具备较强的组织协调能力以及技术团队管理能力；
5. 责任心强、抗压能力强。
6. 具有较好的大局意识和全局观念，以及较强的技术创新能力。",方案设计 技术方案 团队管理,https://jobs.51job.com/suzhou-gyyq/170134940.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
系统工程师（应用及系统集成）,辅易航智能科技（苏州）,1-1.5万,苏州·高新区,苏州,本科,3年及以上,2026-06-12 14:17:35,job51,"岗位职责：
 1. 负责车载超声波雷达产品的系统需求分析、功能定义、性能指标拆解与分配（探测距离、精度、分辨率、盲区、抗干扰能力等）；
 2. 主导超声波雷达在智能驾驶系统（尤其是自动/远程泊车、低速行人/障碍物检测、侧方/后方感知等场景）中的应用方案设计与验证；
 3. 与客户（OEM/ Tier1）对接需求，输出系统功能规范书（FRS）、性能规格书、接口控制文档（ICD）、测试规范等工程化文档；
 4. 统筹超声波雷达的软硬件集成、标定策略、测试，保证项目交付；
 5. 组织/参与系统级联调、实车验证、故障定位与优化，解决量产中的系统级问题；
 6. 参与产品从概念→原理样机→工程样机→PPAP→量产的全生命周期技术支持；
 7. 跟踪行业前沿（如新一代USS、4D成像超声、融合感知趋势、功能安全要求），为公司下一代超声波雷达产品提供技术路线建议。
任职要求（必备）：
 1.本科及以上学历，车辆工程、电子工程、自动化、测控、声学、计算机等相关专业；
 2.3年以上汽车电子/智能驾驶领域工作经验，有车载超声波雷达、泊车系统或相关传感器系统集成经验优先（特别优秀者可放宽至2年）；
 3.熟悉车载超声波雷达工作原理、信号处理流程、典型性能指标及测试方法；
 4.了解自动泊车（APA/RPA/HPA）、低速ADAS场景对超声波的需求与边界条件；
 5. 熟练使用C/C++、Python，熟悉嵌入式Linux或RTOS开发调试；
 6. 熟悉常见汽车通信协议（CAN/CAN-FD、LIN、Ethernet等）及诊断协议（UDS）；
 7.逻辑清晰，具备优秀的系统问题分析与debug能力，能独立主导问题归零；
 8.良好的跨部门/跨团队沟通协调能力，责任心强，能适应一定出差与压力。""",C++ Python 嵌入式Linux RTOS CAN 需求分析 方案设计 技术支持,https://jobs.51job.com/suzhou-gxq/172479483.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
系统集成资深工程师-干涉仪测校,源卓微纳科技（苏州）,2.5-4万,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-06-24 10:32:41,job51,"岗位职责：
1、测校方案设计与开发
针对光刻机激光干涉仪、位移干涉测量系统，独立完成整机/分系统测试方案、校准方案、标定方案、误差补偿方案的架构设计、流程编制与技术文件输出，覆盖出厂校准、现场装机校准、定期复检、故障复测全场景。
2、测校方法与算法研发
研究光刻机干涉仪测量原理、误差来源与传递规律，开发专用测校算法、数据解算模型、误差溯源与补偿模型；完成测校逻辑、计算流程的代码实现与仿真验证。
3、工装与流程落地
配合机械、电气、软件团队，设计配套测校工装、辅助光路与硬件接口；制定标准化作业流程（SOP），指导现场人员完成干涉仪装调、测试、校准执行。
4、测试验证与问题攻关
开展干涉仪测校试验、数据采集、精度分析、重复性/稳定性评估；对标设计指标与行业规范，定位测校过程中的精度异常、漂移、偏差等问题，完成技术整改与方案迭代。
5、文档与标准建设
编制测校规范、试验报告、技术手册、图纸、算法说明等全套技术文档；参与建立光刻机干涉仪测校企业标准、检验规范与质量管控要求。
6、技术对接与支撑
对接研发、集成、量产、售后团队，提供测校技术支持；跟踪半导体光刻设备精密测量领域新技术、新标准，持续优化测校体系与方案。
7、跨系统联调
配合光刻机整机联调，完成干涉仪与运动台、控制系统、光路系统的联合测校，保障整机测量与定位精度达标。

岗位要求：
1、硕士及以上学历，光学工程、精密仪器及机械、仪器科学与技术、测控技术、应用物理、半导体装备等相关专业；优秀本科可酌情放宽。
2、熟悉半导体光刻设备、精密光学测量领域优先。
3、精通激光干涉测量原理，深入理解光刻机干涉仪工作机制。
4、掌握精密测量误差理论、几何误差、环境误差（温湿度、气压、气流）、光路误差分析与补偿方法。
5、了解光刻机整机架构、运动台系统、光学系统基本原理，熟悉精密设备装调、测试、校准流程。
6、熟悉计量校准相关基础知识、计量规范与精度评定方法。",方案设计 数据采集 技术文档 技术支持 SOP,https://jobs.51job.com/suzhou-gyyq/172665765.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
项目经理（音视频系统集成行业）,昆山特瑞森音响设备,7千-1万·13薪,昆山,苏州,本科,2年及以上,2026-06-23 16:54:32,job51,"职位描述：
1.负责项目对接和沟通，并在ERP系统建立相应的项目信息。
2.根据客户的要求制定项目执行计划，对项目执行过程中里程碑节点进度进行跟踪评估，确保按项目计划的日期节点完成。
3.负责与公司内部其他部门沟通协调，确保项目顺利推进。
4.与客户建立日常沟通机制，维护好客户关系。

职位要求：
1.大学本科（含）及以上学历。计算机，国际贸易相关专业优先。2年以上音视频行业经验优先.
2.具备项目管理能力，较好的沟通协调能力。
3.英语沟通无障碍，可以直接与总部以及客户沟通。",项目管理 客户沟通,https://jobs.51job.com/kunshan/172658202.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
机器人系统集成测试工程师,江苏倍川自动化设备,1.2-1.8万·13薪,昆山,苏州,本科,3年及以上,2026-07-07 12:53:14,job51,"我们正在招聘一名机器人系统集成测试工程师，主要负责在中国端协助美国端工程师完成机器人样机的部署、测试、调试、日志收集和问题复现。

该岗位不是纯 PCB 工程师，也不是纯软件工程师，而是偏 机器人系统集成 / Jetson 部署 / STM32 烧录 / Linux 测试 / 硬件接口调试 / 测试报告 的综合型岗位。

能够根据测试文档和 checklist，实际操作机器人硬件，包括 Jetson、STM32、传感器、电机驱动器、CAN/RS485/UART 通信、电源系统等，并清楚记录测试过程和结果。

主要工作内容：
1. 在中国端负责机器人样机的部署、测试、问题复现和现场调试。
2. 根据美国端工程师提供的步骤，运行 Jetson / Ubuntu / Linux 上的测试代码。
3. 使用 Git / GitHub / Gitee 拉取代码、切换 branch、安装依赖、运行 Python 或 shell 测试脚本。
4. 使用 ST-Link、STM32CubeIDE、STM32CubeProgrammer 或 VS Code 烧录 STM32 firmware。
5. 协助测试 UART、CAN、RS485、GPIO、I2C、SPI 等通信接口。
6. 协助测试 LiDAR、IMU、相机、电机驱动器、电池/BMS、电源模块等硬件。
7. 使用万用表、示波器、逻辑分析仪等工具进行基础硬件排查。
8. 记录测试步骤、代码版本、接线方式、测试结果、异常现象、log 文件、照片和视频。
9. 与 PCB 工程师配合完成板卡验证、接口检查、线束确认和硬件修改后的测试。
10. 与美国端工程师远程协作，按要求反馈测试结果，协助定位问题。

必须具备：
1. 电子工程、自动化、机器人、计算机、嵌入式、机电一体化等相关背景。
2. 熟悉 Ubuntu / Linux 基本操作。
3. 会使用 Git / GitHub / Gitee 基本流程，例如 clone、pull、checkout、branch、commit。
4. 会运行 Python 脚本，能根据 README 安装依赖并执行测试程序。
5. 有 STM32 或其他 MCU 烧录、调试经验。
6. 熟悉 UART、CAN、RS485 等常见嵌入式通信接口的基本概念。
7. 会使用万用表，能够测量电压、电源、GND、接口连接是否正常。
8. 能看懂基础原理图、接线图、接口定义和测试文档。
9. 做事细致，能够按照 checklist 执行测试，不随意改动系统。
10. 有良好的文档能力，能清楚写出测试过程、测试结果和异常现象。

加分项：
1. 有 Jetson、树莓派、工控机或 Linux 边缘计算设备经验。
2. 有 ROS / ROS2 使用经验。
3. 有 CANopen、电机驱动器、伺服驱动器、AGV / AMR 机器人经验。
4. 会使用示波器或逻辑分析仪查看通信波形。
5. 有机器人、自动化设备、运动控制、传感器集成项目经验。
6. 有 PCB bring-up、硬件调试、线束制作、供应商沟通经验。
7. 能阅读英文技术文档和 datasheet。
8. 有较强的问题复现和测试报告能力。
9. 有公开 GitHub / Gitee 项目、技术文档或测试工具者优先。

GitHub / Gitee 要求：
需要提供 GitHub、Gitee 或其他代码仓库链接。",STM32 Linux CAN UART Git Python Shell I2C SPI LiDAR MCU ROS 技术文档,https://jobs.51job.com/kunshan/172402509.html?s=sou_sou_soulb&t=0_0&req=289d255804930953909ba27257276dbb
