job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
SLAM ／多传感器融合算法工程师,中国兵器装备集团自动化研究所有限公司,1.5-2.5万,绵阳·游仙区·富乐街道,绵阳,硕士,经验不限,7月21日,zhilian_direct,岗位职责： 1、负责多传感器融合定位与导航算法研发，包括激光雷达、视觉、 IMU 、 UWB 等 2、优化 SLAM 算法，提升定位精度与鲁棒性 3、设计并实现动态环境下的实时定位与建图算法，支持四足机器人和无人机群体协同 4、负责算法在嵌入式平台的移植、优化与部署 任职要求： 1、硕士及以上学历，计算机、自动化、机器人、导航／测控相关专业 2、熟悉 SLAM 算法原理（激光、视觉、融合），掌握图优化、滤波理论 3、具备 ROS /ROS2开发经验，熟悉 C ++/ Python ，掌握常用算法库( Eigen 、 PCL 、 Ceres / GTSAM 等） 4、有多传感器时空同步与融合实际经验 5、了解路径规划与控制方法（ A *、 MPC 、分布式路径协同规划等） 6、具备良好的科研能力、工程实现能力和团队协作精神 工作地点 绵阳游仙区仙人路二段7号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"导航算法,机器人算法,运动控制算法,定位算法,模式识别,机器避障,路径规划,智能机器人,导航系统",http://www.zhaopin.com/jobdetail/CCL1306551560J40795931507.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
售前支持工程师（压力传感器）,无锡北微传感科技有限公司,8000-12000元,成都·青羊·文家,成都,硕士,经验不限,7月23日,zhilian_direct,"岗位职责： 1、数据采集与处理：运用专业软件（如LabVIEW、MATLAB、Python等）进行多通道压力数据采集、信号处理与分析；对实验数据进行建模、分析及可视化处理，编制专业测试报告。 2、联动内部研发或技术支持团队，能精准的将客户技术需求反馈给研发基于客户的特定测试需求设计定制化解决方案，高效推动项目落地； 3、为客户提供专业的产品技术咨询、方案设计和选型指导，扮演“技术顾问”角色，帮助客户选择最适合的压力传感解决方案； 4、深度参与招投标、特别是技术标书撰写及售后跟进，确保全流程的卓越客户体验； 5、参与科研项目申请书及结题报,技术方案、试验大纲等。 任职要求： 1、流体力学、空气动力学、结构设计、电子工程、自动化、物联网、控制工程、测控技术与仪器等理工科专业，研究生或以上学历； 2、熟悉压力传感器/扫描阀的工作原理、校准方法、应用场景；了解风洞、气动试验或工业测控系统的基本知识； 3、良好的沟通技巧，能够将复杂技术问题通俗化表达，有效引导客户需求；具有较强的自我管理及市场拓展意识。 4、优秀的科技报告和方案撰写能力，逻辑清晰，文字功底扎实；能独立完成项目申请书、技术方案、测试报告等文档。； 5、能承受较大的工作压力，性格外向、积极乐观，具有坚持不怕失败的精神。具备优秀的科技文档撰写能力，熟练掌握编程，Word、Excel、PPT、等办公软件；能有较强数据分析能力和文档撰写能力： 6、有风洞试验、航空/汽车气动测试经验者优先；熟悉压力扫描阀行业标准（如SAE、ISO）及质量管理体系者优先；有发表SCI期刊论文或参与过省部级以上科研项目者优先；有从技术岗位转向项目管理/技术支持经验者优先。 工作地点 成都青羊区青羊总部经济基地二期二栋806 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","传感器,售前,技术支持",http://www.zhaopin.com/jobdetail/CC236481430J40866412301.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
触觉传感器灵巧手应用研发高级工程师,成都锐觉传感技术有限公司,2-4万·13薪,成都·郫都·合作街道,成都,本科,3-5年,7月23日,zhilian_direct,岗位职责 1、独立负责灵巧手整体方案设计、结构开发、样机装配与整机调试迭代工作，主导灵巧手样机设计、装配调试、性能优化与落地验证，能自主处理灵巧手开发过程中的各种问题。 2、配合深度学习工程师和器件工程师完成触觉传感器在灵巧手上的整机硬件集成、机电联调与真机性能验证工作。 3、协同配合算法团队完成抓取识别、滑移检测、柔顺力控等深度学习模型真机落地测试，输出完整验证报告与优化方案。 4、搭建灵巧手整机自动化测试环境，完成抓取精度、接触力响应、触觉识别、连续操作可靠性等多维度性能测试，梳理测试标准，迭代优化灵巧手软硬件协同方案。 5、编制灵巧手设计开发方案、三维图纸、调试手册、测试记录等全套技术文档，跟进零部件选型、样机打样、故障整改全流程。 6、完成上级安排的灵巧手相关研发、调试、协同对接等其他工作。 二、任职要求 1、本科及以上学历，机械、电子信息、自动化、机电一体化、机器人工程等相关专业； 2、拥有 3 年及以上灵巧手研发相关工作经验，具备独立完成灵巧手方案设计、整机开发落地的完整项目经历； 3、精通灵巧手机械结构设计、传动选型、机电装配与整机调试，可独立完成灵巧手整体开发工作； 4、熟悉机器人运动学、动力学、柔顺力控基础，理解触觉反馈在物体抓取、精细操作中的应用逻辑； 5、具备完整项目闭环能力：独立完成方案设计、样机搭建、真机实验、问题复盘、版本迭代全流程工作； 6、具备良好跨部门沟通协调能力，能够承接成熟触觉传感器，配合算法团队完成集成验证，做好上下游技术对接； 7、动手能力强，可独立排查灵巧手样机调试过程中的机械、电控故障。 奖金绩效 五险一金、带薪年假、项目奖金、技术专利奖励、年度调薪、定期团 工作地点 郫都区成都锐觉传感技术有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器避障,路径规划,引导制导",http://www.zhaopin.com/jobdetail/CCL1504714040J40876247810.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
(传感器)系统解决方案工程师(J10076),江苏华旋传感技术股份有限公司,1.5-2.5万,常州·武进·潞城,常州,本科,经验不限,7月23日,zhilian_direct,岗位职责: 1、系统级方案设计：负责面向高精度传感类产品的嵌入式软硬件整体解决方案设计，包括编码器、电涡流位移/振动传感器、六维力/力矩-角度融合感知模块等； 2、系统解决方案开发：开发底层驱动程序（如 SPI/I²C/UART/CAN/RS485 等接口驱动）；实现传感器信号采集、滤波、校准、温度补偿及数据融合算法（如 Kalman 滤波、坐标变换等）；设计低功耗、高实时性嵌入式系统架构；实现标准工业通信协议（如 Modbus、CANopen、EtherCAT、PROFINET 等）或自定义协议； 3、硬件开发：阅读并评审原理图与 PCB 设计，BOM制作及产品的元件选型；负责制作样机及调试、成本优化设计；执行产品整机调试及电气性能测试分析，并提出改进意见； 4、产品验证与优化：制定测试方案，完成高低温、EMC、振动等环境适应性验证；优化系统响应延迟、精度稳定性与抗干扰能力； 5、技术文档输出：编写系统设计方案、接口协议文档、用户手册及量产移交资料。 任职要求: 1、学历专业：本科及以上学历，电子工程、自动化、测控技术与仪器、计算机、通信或相关专业。 2、核心技能：精通 C/C++ 嵌入式编程，具备扎实的数据结构与算法基础； 3、熟悉 ARM Cortex-M/A 系列（如 STM32、NXP i.MX RT、TI Sitara）或 RISC-V 架构； 4、熟悉常见传感器原理（电感式、电容式、应变片、磁编码等）及信号调理技术。 5、硬件能力： 能独立阅读原理图，理解模拟前端（AFE）、ADC/DAC、电源管理、EMC 设计； 6、具备使用万用表、示波器、LCR 表、网络分析仪等设备进行硬件调试的能力。 7、项目经验（满足可加分）：有编码器（光电/磁/电感式）、电涡流传感器、多维力传感器、IMU 或机器人关节模组开发经验； 8、参与过工业自动化、机器人、高端装备或精密测量类产品的嵌入式系统开发；具备汽车零部件开发经验，掌握16949体系。 9、附加能力：了解基本数字信号处理（DSP）或状态估计算法者优先；熟练使用一种以上PCB制作软件；具备良好的英文技术文档阅读能力；责任心强，具备系统思维和跨团队协作能力，能独立推进从原型到量产的全流程。 工作地点 常州武进区江苏华旋传感技术股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,硬件开发,PCB,数据结构与算法",http://www.zhaopin.com/jobdetail/CCL1513512390J40915694608.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
传感器研发经理,湖南启泰传感科技有限公司,1.2-2万,长沙·浏阳·永安,长沙,本科,5-10年,7月22日,zhilian_direct,"岗位职责：（传感器研发设计方面工作，请仔细查看任职资格，不符合者慎投） 1、制定完善产品研发的流程、规范和研发技术标准； 2、负责部门技术调研计划、资源需求、预算、培训，提高部门的技术能力； 3、制定产品开发计划，监督开发计划的实施，管理研发人员工作任务分配； 4、组织研发过程评审、成果的鉴定； 5、负责产品质量技术问题原因分析与解决； 6、负责部门管理、部门人员的绩效评价与考核； 7、组织编写和维护产品开发文档，满足质量体系的要求； 8、汇总每个项目的可重用成果，分析总结研发过程的经验和教训，形成内部资源库； 9、协助公司管理层拟定产品战略规划。 任职资格： 1、学历：统招本科及以上学历 2、专业经验：5年以上产品开发经验，熟悉传感器生产工艺优先； 3、团队管理：有带领团队工作经验，具有优秀的管理协调能力； 4、性格开朗、思路开阔，心态积极，责任心强； 5、能承受处理繁琐事务的工作压力； 6、学习能力强，对新技术具有浓厚兴趣和吸收能力； 7、熟悉ISO9001、国军标质量体系、APQP,DFMEA等产品研发文件； 8、熟练运用办公软件,CAD,Solidworks和AltiumDesigner; 福利待遇：免费班车接送（公司-长沙）、五险（入职即购买）、带薪年假及节假日红包等，每年一次晋升评级制度，以及相应学历补贴奖励，法定节假日跟随国家规定时间休息。包住、提供三餐福利餐，宿舍为2-4人间（具体根据级别而定），宿舍有电视、空调、衣柜书桌、茶几、热水器、淋浴房、无线网等配套设施；综合薪资为固定工资+绩效+加班费（可调休）+全勤奖；作息时间8:00-12:00 13:00-17:00 湖南启泰传感科技有限公司（以下简称“公司”）成立于2006年3月，注册资本500万元人民币（实际资本金8200万元），是一家定位在传感器敏感芯片顶级制造商的高新技术企业。经过十多年的持续科研攻关，公司首先攻克了传感器敏感芯片技术中最为艰难的金属基MEMS压敏芯片难关，将MEMS技术由半导体基底拓展到了非半导体基底，是我国将非半导体基底制程引进规范的半导体制程工艺的开拓者和奠基人。所攻克的金属基MEMS压敏芯片产线更是开创了我国非半导体基底MEMS量产线的先河，实现了金属基压敏MEMS芯片的大规模量产并填补了我国这类量产线的空白，成功实现了该芯片和高端压力传感器的“国产替代”。2024年6月30日，在北京召开的由公司完成的“高精度、宽温区金属基压敏芯片和压力传感器”项目科技成果评价会上，经各专家评价，一致认为公司所研发的金属基压敏芯片和传感器达到了国际领先水平。 工作地点 长沙浏阳市永裕北路湖南启泰传感科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",传感器,http://www.zhaopin.com/jobdetail/CC632618680J40742439210.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
传感器SMT技术员,合肥清芯传感科技有限公司,6000-8000元,合肥·蜀山·海恒社区,合肥,本科,1-3年,7月25日,zhilian_direct,岗位职责： 1、具有1年以上SMT设备操作经验，熟悉三星贴片机优先； 2、具有较强的设备调试和实际操作能力； 3、具有工艺文件编制及数据分析能力； 4、可以接受倒班。 任职要求： 1、负责SMT设备调机、程序制作，保障正常生产； 2、负责SMT设备保养、维护及一般故障维修； 3、负责SMT制程优化及不良问题的分析和改进； 4、负责SMT车间物料、环境等管理。 工作地点 蜀山区清华大学合肥公共安全研究院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,SMT技术,http://www.zhaopin.com/jobdetail/CCL1426393200J40870894109.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
温度传感器工艺工程师（热电偶方向）,深圳市瑞比德传感技术有限公司,1.1-1.5万,宁波·江北·前江,宁波,大专,1-3年,7月24日,zhilian_direct,岗位职责: 1、负责柯力中温传感器产品开发，协助中温产线建设，协助业务端售前技术对接; 2、负责统筹归纳集团温度产品技术整理、融合; 3、负责集团温度板块产品与技术培训工作; 4、协调温度产线工艺、质量、出货检验标准等建立。 任职要求: 1、具有良好的沟通能力和团队合作精神; 2、熟练掌握CAD、solidworks等三维设计软件，对机械设计流程有充分理解; 3、对机械加工工艺有深入了解，能够提出合理的设计建议; 工作地点 宁波柯力传感科技股份有限公司浙江省宁波市江北区长兴路199号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"新型热电偶,铠装丝,中高温传感线",http://www.zhaopin.com/jobdetail/CC408231630J40824488607.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
传感器设计工程师,合肥星汇传感技术有限公司,1.8-3.5万·13薪,常州·武进·南夏墅,常州,本科,5-10年,7月25日,zhilian_direct,岗位职责： 1、设计传感器、测试工具结构 2、选定材料 3、绘制3D设计图、输出工程图、编写加工工艺文件 4、组装调试机械组件 5、独立设计电路原理图、PCB图 6、编写测试手册、需求分析报告、PCBA操作手册 7、编写制造工艺文件 8、硬件Debug、故障修复 9、独立编写单片机程序 10、编写程序概要设计、算法说明书、需求分析报告 11、编写单元测试工具程序 12、通讯、协议分析 任职要求： 1、熟练使用Solidworks或ANSYS系列应力、运动仿真； 2、了解Maxwell仿真者优先； 3、能理解应力传感器材料、结构设计； 4、了解光学基础、对光路、光栅设计有部分理解能力者优先； 5、熟练使用Solidworks或UG或类似软件独立设计零件、装配体，设计中有能力考虑加工可行性，包括刀路、误差传递、形位公差与粗糙度； 6、熟悉理论力学、材料力学、结构力学；熟悉常用铝合金、钢、铜合金、塑料材料特性； 7、对压电材料、磁致伸缩材料有所了解，对机械滤波、机械差分设计有一定经验者优先； 8、能独立完成单片机、数字通讯、数字逻辑、简单模拟电路（ADC/DAC等）相关设计； 9、能熟练使用至少一种主流EDA软件，能独立完成原理图和PCB图； 10、了解PCB制版工艺、了解EMC/EMI基础知识、了解基础网络、通讯、接口知识； 11、能独立完成传感器的组桥设计、温漂处理、线性度补偿、模拟滤波、数字滤波、标定算法。 工作地点 武进区常州天安数码城 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"元器件电路设计,元器件设计,元器件算法设计,元器件仿真,元器件测试,传感器",http://www.zhaopin.com/jobdetail/CCL1502237460J40895749813.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
传感器器件研发工程师,成都锐觉传感技术有限公司,1.2-1.8万·13薪,成都·郫都·合作街道,成都,本科,1-3年,7月17日,zhilian_direct,岗位职责 1、负责柔性传感器（柔性压力、柔性应变、柔性触觉、柔性温湿度、可穿戴生物传感等）的方案设计、材料选型、结构设计、工艺优化、原理验证及新品研发工作，适配柔性、可拉伸、超薄、曲面贴合等应用特性，输出完整的研发设计方案、技术文档、仿真分析报告及测试报告。 2、主导柔性传感器核心性能调试与迭代优化，重点优化灵敏度、线性度、重复性、滞后性、拉伸稳定性、耐弯折、疲劳寿命、温漂及抗干扰能力，解决柔性材料传感、薄膜制备、图案化结构、柔性封装等研发及试样测试过程中的核心技术难题。 3、负责柔性传感器样品制备、性能标定及可靠性测试，重点开展弯折疲劳、拉伸循环、湿热老化、曲面贴合、长期稳定性等环境与力学适应性测试，梳理测试数据，迭代优化材料配方、结构及封装工艺，保障器件满足可穿戴设备、柔性智能终端、工业柔性检测等场景的量产及应用标准。 4、配合工艺、生产部门完成柔性传感器研发成果转化，跟进薄膜沉积、丝网印刷、激光蚀刻、柔性贴合、封装固化等试制、量产全过程，解决柔性器件制备、批量一致性、良率提升等工艺问题，输出量产工艺规范、作业指导书等标准化文档。 5、跟踪柔性传感、柔性电子行业前沿技术、新材料、新工艺及竞品产品迭代动态，开展新型柔性传感材料、柔性结构设计、柔性集成技术的调研、预研与落地应用，搭建公司柔性传感核心技术储备。 6、配合市场、产品部门对接可穿戴医疗、智能穿戴、机器人触觉、柔性工控检测等客户技术需求，提供柔性传感器定制化研发方案、技术答疑及落地技术支持。 7、负责研发项目进度管控、技术资料归档、专利申报、技术复盘等日常研发管理工作。 二、任职要求 1、本科及以上学历，微电子、物理、光学工程、材料科学、测控技术、电子信息工程等相关专业，硕士及以上学历优先。 2、2年及以上柔性传感器、柔性电子、薄膜传感器件研发相关工作经验，熟悉柔性传感材料、薄膜工艺、柔性器件研发全流程者优先；优秀应届生可放宽条件。 3、专业能力 （1）精通柔性传感器工作机理，熟悉压阻式、电容式、压电式等主流柔性传感原理，熟练掌握柔性材料（PDMS、水凝胶、导电薄膜、柔性基材等）选型、薄膜制备、图案化设计、柔性封装及器件性能标定、优化方法； （2）熟练使用示波器、阻抗分析仪、力学拉伸试验机、弯折疲劳试验机、高低温湿热箱等测试设备，可独立搭建柔性器件力学、电学性能测试平台，完成数据采集、分析与性能迭代优化； （3）熟悉器件研发全流程，包括需求拆解、方案设计、试样验证、可靠性优化、量产落地等，具备独立负责新品研发项目的能力； （4）熟练使用CAD、SolidWorks、COMSOL（仿真）、Altium Designer等任意一款设计/仿真软件，熟悉丝网印刷、薄膜沉积、微纳加工、柔性贴合等柔性器件工艺制程者优先； （5）熟悉柔性传感行业技术标准，有可穿戴医疗传感、机器人柔性触觉、柔性智能终端、柔性工控传感器相关研发落地经验者优先。 奖金绩效 五险一金、带薪年假、项目奖金、技术专利奖励、年度调薪、定期团 工作地点 郫都区成都锐觉传感技术有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"传感器,元器件设计,柔性传感器,压力传感器,器件研发",http://www.zhaopin.com/jobdetail/CCL1504714040J40864757110.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
传感器工程师助理,眉山秦川智能传感器有限公司,5000-7000元,眉山·东坡区·思蒙镇,眉山,本科,经验不限,7月16日,zhilian_direct,职位描述 材料学 化学 化学原料/化学制品 职责描述 1、辅助工程师进行产品（PTC芯片/NTC芯片/传感器）研发及现场工艺技术管理； 2、辅助工程师进行样品制作、性能测试及送样管理； 3、辅助工程师进行产品的技术标准、产品图纸、技术规格书、工艺作业指导书的拟制，设计生产必须的治具，并跟踪、改进； 4、辅助工程师分析和解决产品制作和测试中出现的问题，并进行改进。 任职要求： 1、材料、化学等相关专业本科及以上学历，应往届毕业皆可； 2、认真负责，喜欢研究开发，有良好沟通能力，善于学习； 3、会使用AUTO、CAD制图软件优先。 工作地点 东坡区眉山秦川智能传感器有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,材料学,http://www.zhaopin.com/jobdetail/CCL1424936670J40734531908.htm?refcode=4019&srccode=401903&preactionid=31cfba9f-635e-4a56-951d-69c5f589aa63
