job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
无人机研发博士后,学术/科研其他100-499人,20-40k,杭州-滨江区,杭州,博士,经验不限,90天前更新,liepin,"岗位职责：
1. 负责无人机无人系统的路径规划、决策、避障算法的开发、实现与调试;
2. 负责无人系统运动轨迹规划算法和优化相关研究工作，提高无人系统控制精度、流畅性和稳定性;
3. 负责无人系统系统平台集成和调试。

 专业要求：
1. 计算机、控制、电子工程、机械电子等相关专业;
2. 熟悉经典路径规划算法，了解基于神经网络的前沿规划算法；
3. 熟悉主流无人系统开发开源软件框架，有自主框架设计开发经验者优先；
4. 熟悉C/C++编程，熟悉Linux，有ROS开发经验者优先。",C++ Linux ROS,https://www.liepin.com/job/1973800981.shtml
安全运维（Security Operation ）,整车制造10000人以上,20-40k,北京-朝阳区,北京,本科,5-10年,7月24日更新,liepin,"Objective of job

To safeguard the organization's information assets by proactively managing security risks, effectively responding to incidents, and continuously improving the overall security posture.
-Protect the organization's information assets by maintaining confidentiality, integrity, and availability.
-Proactively identify, assess, and mitigate security risks and vulnerabilities.
-Lead and coordinate effective responses to security incidents, minimizing impact and ensuring timely recovery.
-Continuously improve the organization's security posture through proactive monitoring, analysis, and implementation of security best practices.
-Ensure compliance with relevant security standards, regulations, and policies.


Job designation
•Security Incident Management    
-Monitor and respond to security incidents in alignment with incident response protocols.
-Lead incident response efforts to ensure timely containment, eradication, and recovery from security threats.
-Conduct thorough investigations of security incidents, including log analysis, host-based and network forensic investigations, to determine the root cause and impact.
-Develop incident analysis and findings reports for management, including gap identification and recommendations for improvement.
-Coordinate investigation, containment, and other response activities with business stakeholders and groups.
•Vulnerability Management
-Conduct vulnerability assessments and manage remediation efforts.
-Continually identify, assess, report on, manage, and remediate vulnerabilities across endpoints, workloads, and systems.

•Security Operations    
-Fine-tune incident detection and alert-triggering rules to minimize false positives and improve detection accuracy.
-Analyze and improve security measures by assessing and updating policies, configurations, and procedures.
-Maintain situational awareness by tracking emerging threats, attack patterns, and tactics, techniques, and procedures
-Develop and maintain documentation, playbooks, and standard operating procedures.
-Perform onboarding of new team members and facilitate smooth integration.
-Help develop processes used for internal and external planning and collaboration.
-Provide technical and administrative support for day-to-day operations.

•Collaboration and Communication    
-Collaborate with IT and RD application teams to ensure security is integrated into all stages of the software development lifecycle.
-Provide security training and awareness programs for employees.
-Communicate security status, risks, and incidents to executive leadership and other key stakeholders.

Qualification
•Technical Skills and Knowledge:
-Strong understanding of security operations concepts, incident response methodologies, and vulnerability management principles.
Hands-on experience administering and configuring security tools such as SIEM, SOAR, firewalls, intrusion detection/prevention systems, and vulnerability scanners.
-Familiarity with scripting languages (e.g., Python, PowerShell) for task automation and tool customization.
-Knowledge of cloud platforms such as AWS, Azure, Ali Cloud or other cloud platform.
-Strong analytical and troubleshooting skills for rapid issue resolution under pressure.
-Excellent communication skills, both written and verbal, for technical and executive audiences.
-Adaptability and resilience in the face of evolving cyber threats.
•Proficiency in security frameworks and various compliance standards like ISO 27001, SOC, NIST, etc.
•Relevant certifications, CISA, CISSP, CISM
•＞ 5 years experience in security operations, incident response, threat detection and analysis, or similar roles
•Education: Bachelor's degree and above in Computer Science encompassing Information Security


职位目标（Objective of Job）
通过主动管理安全风险、有效响应安全事件，并持续提升整体安全能力，保障组织的信息资产安全。
通过确保机密性、完整性和可用性（CIA）来保护组织的信息资产
主动识别、评估并缓解安全风险和漏洞
牵头并协调安全事件响应，降低影响并确保及时恢复
通过持续监控、分析及实践实施，不断提升整体安全水平
确保符合相关安全标准、法规及公司政策


岗位职责（Job Designation）
1. 安全事件管理（Security Incident Management）
按照事件响应流程监控并处理安全事件
主导安全事件响应，确保威胁得到及时遏制、清除并完成恢复
对安全事件进行深入调查，包括日志分析、主机取证及网络取证，定位根因并评估影响
编写事件分析报告，输出问题差距及改进建议
与业务相关团队协作，协调调查、遏制及应对工作

2. 漏洞管理（Vulnerability Management）
执行漏洞评估并推动漏洞修复工作
持续识别、评估、报告并管理终端、系统及工作负载中的漏洞

3. 安全运营（Security Operations）
优化告警规则及检测机制，减少误报，提高检测准确率
通过评估并更新策略、配置与流程来提升安全防护能力
跟踪新兴威胁、攻击模式及攻防技术（TTPs），保持态势感知
编写并维护安全文档、操作手册（Playbook）及标准流程（SOP）
负责新成员的入职培训及团队融入
支持内部及外部协作流程建设
提供日常运营所需的技术和管理支持

4. 协作与沟通（Collaboration and Communication）
与IT及研发团队协作，将安全融入软件开发全生命周期（SDLC）
为员工提供安全培训及意识提升项目
向管理层及关键利益相关方汇报安全状态、风险及事件


任职资格（Qualification）
技术能力与知识
深入理解以下领域：
安全运营（Security Operations）
事件响应方法论（Incident Response）
漏洞管理（Vulnerability Management）

具备以下安全工具实际操作经验：
SIEM、SOAR
防火墙
入侵检测/防御系统（IDS/IPS）
漏洞扫描工具


熟悉脚本语言（如 Python、PowerShell）用于自动化与工具定制
熟悉云平台（如 AWS、Azure、阿里云等）
具备较强的分析与故障排查能力，能在压力下快速解决问题
出色的沟通能力（书面及口头），可覆盖技术及管理层场景
能适应快速变化的网络安全威胁环境

标准与认证
熟悉安全框架及合规要求，如 ISO 27001、SOC、NIST 等
持有相关认证优先：CISA、CISSP、CISM


工作经验
5年以上安全运营、事件响应、威胁检测与分析或相关领域经验

",Gin ROS CAN Python Shell AWS Azure 防火墙 IDS IPS 漏洞扫描 阿里云,https://www.liepin.com/job/1983375487.shtml
信息系统运维主管,北京对外经贸控股集团有限公司,18-20k,北京-朝阳区,北京,本科,3年以上,7月30日更新,liepin,"一、招聘单位
北京国际经济贸易人才开发服务有限责任公司，外经贸集团全资子企业，不良资产处置人力资源管理专业平台公司。

二、岗位职责
1.负责应用系统、中间件和数据库的运行维护；
2.负责信息网络安全工作，包括业务系统、网络传输、安全设备的配置调整等；
3.负责开展办公软、硬件的日常维护及管理工作；
4.配合编制信息化管理相关制度、流程，建设完善信息化管理体系；
5.负责公司IT环境升级、系统更新、网络优化、设备更换等项目落地工作；及时响应各部门IT运维需求，提供基础技术支持。

三、任职资格
1.大学本科学历，三年以上计算机、软件工程、信息管理与信息系统等相关专业；
2.具备信息系统实施和运维相关经验，熟悉网络设备配置与管理。
3.具备办公软件、企业办公系统运维能力，能独立处理日常桌面运维、网络运维问题；学习能力强，能快速适配公司IT设备与系统环境。

",技术支持 系统运维,https://www.liepin.com/job/1984539723.shtml
网络安全专家,某北京大型计算机软件公司,45-55k·15薪,北京-昌平区,北京,统招本科,10年以上,6月16日更新,liepin,1、网络安全专家（体系建设方向）：（1）负责大型集团公司网络安全体系的咨询、规划、设计、组织建设、协调工作；（2）负责大型集团级复杂网络安全项目的技术方案论证、详细设计、组织协调工作；（3）负责网络安全运营体制机制、管理规范、流程设计等管理支撑工作；2、网络安全专家（项目管理方向）：（1） 负责大型集团公司统建项目建设、实施、交付工作；（2）负责大型集团级复杂网络安全项目的集成实施和部署推进工作；（3）负责重大网络安全运维故障的应急指挥和排查工作；（4）负责常态化网络安全事件的分析和溯源处置工作；,技术方案 项目管理,https://www.liepin.com/a/75285791.shtml
网络安全,某国内大型整车制造公司,15-25k,芜湖-弋江区,,统招本科,5-10年,6月26日更新,liepin,"工作职责
1. 负责制订汽车网络安全体系规划，系统的安全及优化实施策略；网络安全技术方案的评估、引入和优化；
2. 负责TARA分析，网络安全概念，网络安全需求规范定义；
3. 负责已有漏洞的分析，在整车台架及实车上的复现，开发中问题和量产后安全事件的跟踪管理；
4. 与公司其他业务部门紧密合作，内部审计，配合完成外部审计和合规检查工作。提供信息安全技术指导、咨询和培训；负责公司员工信息安全意识培训；
5.了解网络安全相关法律法规政策，政策解读并落地执行，包括但不限于GDPR、R155、R156等境外法规要求；
6.负责汽车网络安全测评标准、技术研究；
7.负责汽车整车及零部件网络安全测试方案开发、测试报告编写等工作。
任职资格
1. 计算机、网络通信、汽车电子相关专业大学本科及以上学历，五年以上网络安全、信息安全从业经历；
2. 熟悉网络安全运维及汽车信息安全的相关知识，掌握常见的渗透测试工具和方法；
3、具备3年及以上汽车网络安全或EE架构系统开发或控制器开发/测试等相关工作经验;
4、熟悉网络安全保护法、ISO21434、R155等网络安全相关法律法规，具备一定网络安全基础知识；
5. 了解车载终端如：娱乐主机、仪表、TBox等嵌入式操作系统及网络应用协议；
6. 能熟练使用Wireshark、VehicleSpy、CANoe等网络测试工具",渗透测试 CAN 技术方案 审计 合规 培训,https://www.liepin.com/a/76315721.shtml
产品认证工程师-网络安全方向 (MJ004196),互联网美股上市5000-10000人,15-30k,杭州,杭州,本科,3年以上,7月13日更新,liepin,"岗位职责
1、负责公司无线通讯模组及IoT终端产品的海外网络安全准入认证，主要包括欧盟RED DA/CRA网络安全、美国NIST网络安全、英国PSTI/网络安全、澳大利亚/新加坡等认证的规划、开案、执行与取证。
2、与海外认证机构、网络安全实验室（如TUV、SGS、Nemko、DEKRA等）对接，负责认证项目立项、测试排期、样品寄送、问题整改沟通、报告审核及证书获取。
3、跟踪并解读各区域网络安全认证标准及法规更新，包括但不限于EN 18031-1/2/3、ETSI EN 303 645、NISTIR 8259等，输出企业内部标准文件与合规指南。
4、制定并完善产品网络安全认证内部流程，建立认证checklist、测试用例模板、合规自查表等，组织研发、测试、产品团队进行网络安全认证要求培训。
5、参与产品需求评审和方案设计阶段，提前识别网络安全认证风险，输出合规建议，确保产品设计阶段满足目标市场网安要求，避免后期整改。
6、负责产品变更（硬件改版、固件升级、功能变更等）的网络安全认证影响评估与再认证管理。
7、负责网络安全认证相关费用预算、结算，以及证书、报告、技术文档的归档管理。
8、负责IOT行业相关产品专利性认证，如Matter /BQB/WFA/Zigbee/Thread等。


任职要求
1、通信工程、信息安全、计算机等相关专业本科及以上学历，3年及以上产品认证或网络安全合规工作经验。
2、熟悉各国产品网络安全要求,有RED网络安全认证实操经验者优先。
3、熟悉IoT产品常见网络安全技术要求，
4、熟悉Wi-Fi、Bluetooth、Zigbee、2/3/4G等无线通讯技术基础知识，有无线模组或IoT终端产品认证经验优先。
5、具备良好的标准法规解读与文档撰写能力，能独立完成合规分析报告、企业标准文件输出。
6、英语CET-4及以上，能独立阅读英文标准法规、与海外实验室及认证机构进行邮件/会议沟通。
7、工作细致、责任心强，具备良好的跨部门沟通协调能力和项目管理能力。",Bluetooth 4G 合规 测试用例 培训 方案设计 产品设计 技术文档 专利 安全合规 项目管理,https://www.liepin.com/job/1984098045.shtml
网络安全工程师,某上海专业技术服务公司,30-40k·15薪,上海,上海,统招本科,3年以上,7月27日更新,liepin,"1、企业网络搭建与运维升级
全权负责公司办公网、生产业务网、数据中心网络的整体架构搭建、迭代升级、日常运维及故障排查，持续优化网络拓扑与通信链路
2、网络安全架构规划与建设
负责公司整体网络安全架构的设计、落地与迭代优化，覆盖办公网、生产网、数据中心等全层级网络环境
3、纵深安全防御体系构建与优化
主导搭建企业纵深网络安全防御体系，统筹防火墙策略管控、IDS/IPS入侵检测与防御、WAF Web应用防护、DDoS抗攻击、VPN安全远程接入、堡垒机运维管控等安全能力建设，持续优化安全基线、访问策略与防御规则，提升全网主动防御能力。
4、漏洞风险管控与闭环治理
定期开展全网资产测绘、网络漏洞扫描、安全风险评估，梳理企业网络攻击面，结合业务场景制定漏洞修复优先级，建立常态化风险整改、跟踪、闭环机制，有效规避网络安全风险，降低安全隐患。
5、安全应急响应与事件处置
建立并完善网络安全事件监测、预警、应急响应流程，负责各类网络安全攻击、异常事件的快速研判、紧急处置、溯源分析，完成事件复盘、问题总结及优化方案落地，输出标准化复盘报告。

核心专业能力
精通TCP/IP协议、路由交换核心技术，具备扎实的企业级网络架构设计、搭建、运维升级能力；熟练掌握防火墙、IDS/IPS、WAF、VPN、堡垒机等主流安全设备的部署、调试、优化及策略管控；具备丰富的网络安全事件研判、处置及溯源分析经验；熟悉私有云/混合云网络隔离、云安全防护方案，具备云网络安全建设经验者加分。
综合素养要求
具备极强的网络安全风险意识和岗位责任心，可快速响应突发网络故障及安全事件，适配高压工作场景；具备优秀的问题排查分析能力、逻辑思维能力，熟练输出各类安全文档、测评材料、复盘报告，沟通协作能力良好。
加分项
持有CISSP、CISP、CCNP Security、CCIE Security等权威网络安全认证；具备渗透测试、红队攻防演练实战经验；有安全自动化运营、SOAR落地、DevSecOps体系建设实践经验者优先。",防火墙 IDS IPS 漏洞扫描 TCP/IP 渗透测试 故障排查 应急响应,https://www.liepin.com/a/78151409.shtml
网络安全工程师,山东天河科技股份有限公司,8-12k,济宁-邹城,,本科,1-3年,7月13日更新,liepin,"一、岗位职责
1、边界安全设备运维：负责防火墙、WAF、IDS/IPS、上网行为管理、VPN、EDR、日志审计、态势感知等安全设备日常配置、策略优化、版本升级、故障排查，定期巡检设备运行状态，输出巡检报告。
2、漏洞与风险全生命周期管理：定期执行全网漏洞扫描（Nessus/OpenVAS）、基线核查、弱口令检测；跟踪漏洞修复闭环，对高危漏洞推动运维 / 业务整改；定期开展渗透测试，挖掘 Web、服务器、内网风险点51job。
3、安全监控与应急响应：7×24 小时监测安全告警、流量异常、恶意攻击；针对勒索病毒、钓鱼攻击、入侵、数据泄露等事件独立完成隔离、溯源、取证、处置，输出完整应急复盘报告，更新应急预案。
4、安全体系与合规落地：协助搭建、优化企业网络安全防护架构；制定安全管理制度、账号权限规范、终端安全基线；落地等保 2.0测评、风险评估、安全自查，完成差距整改方案编写。
5、安全培训与内部赋能：组织全员网络安全意识培训（钓鱼演练、密码规范、外接设备管控）；为运维、研发团队提供安全加固、安全编码基础培训；输出安全周报、月报、风险简报给管理层。
6、专项安全支撑：配合新项目、机房改造、系统上线做安全架构评审；完成安全方案、拓扑、验收文档编写；完成上级安排的红蓝对抗、专项攻防演练工作。
二、任职要求
1、本科及以上，网络空间安全、信息安全、计算机、通信相关专业；2 年及以上企业网络安全运维实战经验。
2、精通 TCP/IP 协议栈，熟练使用 Wireshark/tcpdump 抓包分析异常流量；熟悉 VLAN、路由、ACL、NAT 等基础网络技术。
3、熟练 Windows、Linux 服务器安全加固、账号权限、补丁管理、日志审计；熟悉 OWASP Top10 常见 Web 漏洞原理与防御手段。
4、精通至少一类主流安全设备（深信服 / 华为 / 华三 / 山石 / Paloalto 防火墙、WAF、IPS）独立配置与排障。
5、掌握漏扫、渗透工具：Nmap、Burp Suite、SQLMap、Nessus；能独立完成内网 / Web 渗透测试。
6、会基础 Python/Shell 脚本，可编写自动化巡检、日志分析、漏洞批量检测脚本优先。
优先加分项
1、持有 HCIP-Security、CCNP Security、CISP-PTE、CEH、Security + 等安全证书。
2、有等保测评、ISO27001 体系落地实战经验。
3、熟悉 SIEM 日志平台、EDR 终端防护、云安全（阿里云 / 华为云）安全配置。
4、制造业、工控安全（PLC/SCADA）、政企单位安全运维经验优先。
综合素质
1、较强问题排查、逻辑分析能力，遇事可快速定位攻击源头；
2、良好跨部门沟通，能把技术风险转化为易懂汇报；
3、抗压能力强，可配合夜间应急、周末专项演练；
4、持续跟进最新漏洞、APT 攻击、网络安全法规。",防火墙 IDS IPS 漏洞扫描 渗透测试 TCP/IP Linux SQL Python Shell 阿里云 华为云,https://www.liepin.com/job/1984091033.shtml
系统工程师,澳多科技,15-25k,中山,中山,大专,3年以上,7月28日更新,liepin,"1、负责根据利益相关方需求转化为内部需求，输出需求文档，指导软硬件开发；
2、负责SAD、DFMEA、功能安全 TSC、网络安全 TARA/概念设计；
3、负责与客户进行技术沟通交流；
4、协助项目负责人处理样品交付事宜、分析客户问题以及进行成本管理。
资格要求：
1、自动化/汽车/通信/电子/软件领域优先考虑；
2、硬件/软件设计背景，如果具备车辆电子功能设计方面的知识则更佳，例如车身控制、门控、座椅控制、阀门控制、热管理等；以及工业/汽车总线技术，如 CAN、LIN、ETH 等；
3、汽车电子行业开发经验3年以上; 
4、熟悉ASPICE开发流程、ISO26262、ISO21434；
5、具备英语交流能力优先考虑。",CAN SPI DFMEA TSC TARA LIN ETH ISO26262,https://www.liepin.com/job/1984445149.shtml
网络安全测试（英语口语熟练）,专业技术服务1000-2000人,20-26k·13薪,上海-静安区,上海,本科,5-10年,6月29日更新,liepin,"您的团队和工作任务 您将成为我们系统测试团队的一员，负责各种与测试相关的活动。您的工作将包括搭建测试平台、执行验证活动，以及从创建测试计划到执行测试的全过程。您将与开发团队和供应商紧密合作，提供重要反馈，这些反馈将被应用于我们的产品设计中。您的主要关注领域将是网络安全，您将在确保我们的车辆和系统符合安全标准方面发挥重要作用。
由于将有很多国际同事，因此在书面和口语英语上感到自如非常重要。除此之外，以下几点：
资格与技能
• 需要至少本科学历或同等学历，计算机科学或相关领域
• 对汽车车辆系统的完整开发周期有良好理解，并在汽车行业类似职位有5年以上经验
• 熟练验证不同的网络安全控制，例如：
  • 安全更新、安全启动、安全诊断
• 在不同网络（如CAN、SomeIP等）上的网络安全
• 汽车渗透测试
• 熟悉汽车安全和网络安全标准（例如：GB/T 34590/43267, GB 44495/44496）
• 有自动化测试经验，熟练使用Python编程语言
• 优秀的协作能力
• 英语（口语和书面均熟练）",CAN 渗透测试 Python 测试计划 产品设计 自动化测试,https://www.liepin.com/job/1981907193.shtml
