job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
风控算法实习生,启赟数字科技(上海)有限公司,180-200元/天,上海-浦东新区,上海,本科,,90天前更新,liepin,"一、岗位职责​
1、协助构建、优化风控大模型，深度参与大模型调优及落地部署工作。​
2、负责业务数据清洗、特征提取，挖掘风险数据价值，支持策略制定。​
3、研究前沿风控算法，推动算法在实际场景应用落地。​
4、配合跨团队协作，完成文档撰写与报告整理。​
二、任职要求​
1、本科及以上在读，计算机、数学等相关专业优先。​
2、熟悉常见大模型算法原理及应用，具备实际操作经验，能够熟练运用Python进行模型开发、调试与优化，掌握SQL语言，能够高效地进行数据查询、提取和处理工作。有过LLM、RAG等AIAgent领域实践经验者优先。​
3、有良好学习、沟通和团队协作能力，对风控感兴趣，有相关项目经验优先。

招聘人数：1人",大模型 Python SQL LLM RAG,https://www.liepin.com/lptjob/75249885
风控算法,东锋数科(北京)信息技术有限公司重庆分公司,120-200元/天,重庆-渝北区,重庆,硕士,,90天前更新,liepin,"【岗位职责】

1、结合不同的应用场景，负责信用风险模型的建模相关工作，包括合理的样本选择、特征工程、模型算法优化等；

2、负责特征工程的探索和验证；

3、不断探索机器学习在金融风控风控业务领域的应用，提升团队风控能力；

4、参与创新性研究，快速学习并应用新的方法到信贷风控相关的工作中；

【任职要求】

1、统计、数学、计算机、金融、经济等相关专业背景的硕士研究生；

2、对信贷风控、数据分析、机器学习等相关领域一定了解；

3、良好的编程基础，熟练掌握python、SQL；

4、在项目中实际应用过逻辑回归、随机森林、XGBoost、LightGBM算法，熟悉深度学习

招聘人数：8人",机器学习 Python SQL XGBoost LightGBM 深度学习 数据分析,https://www.liepin.com/lptjob/67440679
产品风控实习生（提供转正）,厦门她趣信息技术有限公司,150-200元/天,厦门-集美区,厦门,本科,,90天前更新,liepin,"能实习1年以上优先考虑~
一、学历与专业要求
1. 本科在读及以上学历，计算机科学、数学、统计学、信息安全、产品设计、互联网相关专业优先。具备相关专业基础的同学，在参与数据分析、辅助产品设计、理解风控技术逻辑时，能更快上手实习工作。
2. 非相关专业但对互联网行业充满热情，且具备一定数据分析能力，或有过相关项目实践经历（如参与过校园媒体内容审核、线上活动策划等）的同学，同样欢迎投递。
二、知识技能要求
1. 数据分析能力
- 熟悉 Excel 基础操作，掌握数据排序、筛选功能，能制作简单的数据透视表，运用 SUM、AVERAGE 等基础函数进行数据处理。
- 对 SQL、Python 或 R 等数据分析工具感兴趣，有初步接触或学习意愿。愿意学习使用 Python 的 pandas 库进行基础数据处理，或尝试使用简单的 SQL 语句进行数据查询。
- 了解基础统计学概念，如均值、中位数、众数等，有学习运用统计知识分析数据的积极性。
2. 产品相关能力
- 对产品开发流程有基础认知，知晓需求调研、产品设计、开发测试等主要环节。
- 能在指导下阅读产品需求文档（PRD），并尝试撰写简单的需求说明或功能描述。
- 对原型设计工具（如 Axure、墨刀）有兴趣，愿意学习制作静态原型图。
3. 风控专业知识
- 对内容风控领域感兴趣，了解常见的内容风险类型（如垃圾广告、低俗信息等），愿意学习风险识别与防控方法。
- 对风控策略和模型有初步了解，愿意深入学习规则引擎、机器学习算法在风控中的应用原理。
- 有意愿学习行业风控合规相关法律法规，树立合规意识。
4. 沟通协作与问题解决能力
- 具备良好的沟通能力，能够清晰表达自己的想法，与团队成员积极交流。
- 有团队协作意识，乐于参与小组讨论，配合完成实习任务。
- 面对工作中的问题，有主动思考、尝试解决的积极性，愿意接受指导并改进。
三、综合素质
1. 对内容风控和产品经理岗位充满热情，具备较强的好奇心和探索欲。
2. 有良好的学习能力，能够快速吸收新知识，适应互联网行业快节奏的工作环境。
3. 责任心强，对待工作认真细致，能按时完成分配的实习任务。
4. 具备良好的抗压能力，能够在一定压力下保持积极的工作态度。

招聘人数：2人",RAG SQL Python 机器学习 产品设计 数据分析 原型设计 合规,https://www.liepin.com/lptjob/76584397
算法工程师实习生,银泰证券,薪资面议,深圳-南山区,深圳,实习,1个月,90天前更新,liepin,"岗位职责：
1、参与大模型基础工作，包括但不限于模型训练、意图识别算法研究、风控策略研究、部署和优化；
2、参与证券公司投研、财富管理、投顾、风控、运营、客服和合规等业务的研发，提供高效可靠的智能算法服务；
3、跟踪大模型前沿技术（长序列建模 / 多模态 / RAG / 智能体 / 金融垂域大模型），探索技术在证券业务中的落地和价值评估、验证。
任职要求：
1、人工智能、机器学习、应用数学、金融科技等专业，2027年或2028年毕业在读硕士研究生；
2、了解NLP主流预训练语言模型（GPT/LLaMA/T5/PaLM/GLM/Bloom/BERT等），参与过NLP中分类、文本生成、文本匹配等任务的效果优化工作；
3、具有较强的工程能力，能够将算法进行落地部署；
4、精通Python/ C++，熟练掌握PyTorch开源深度学习框架；
5、熟悉LLM、Agent、RAG、SKills等相关技术优先；
6、在高水平国际会议或学术期刊发表过论文、有高水平竞赛获奖经历优先。

截止日期：2027年02月02日
招聘人数：2人",大模型 RAG 机器学习 GPT BERT Python C++ PyTorch 深度学习 LLM 合规,https://www.liepin.com/lptjob/80121281
交易风控算法专家(A111328),星云智研,30-50k·15薪,杭州-西湖区,杭州,学生可投,经验不限,7月2日更新,liepin,"职位描述：
岗位职责
1、负责人脸识别与智能风控算法体系建设，围绕 KYC、账户安全、交易欺诈、营销反作弊、反洗钱等场景，设计并落地算法解决方案，持续提升风险识别能力和业务防控效果
2、负责身份核验相关算法能力建设与优化，包括但不限于人脸识别、人证比对、活体检测、OCR、多模态识别等方向，推动关键指标持续提升
3、深入分析业务风险问题，结合用户、设备、行为、关系网络等多维数据，构建风险特征体系和算法模型，实现复杂风险的自动化识别与决策
4、负责机器学习、图算法、大模型等技术在风控场景中的应用探索与落地，推动风险治理能力从规则驱动向数据驱动和智能驱动升级
5、主导算法项目全生命周期建设，包括需求分析、数据建设、特征工程、模型训练、线上部署、效果评估及持续迭代优化
6、 针对黑灰产对抗、身份伪造、团伙欺诈、Deepfake攻击等复杂风险问题开展专项研究和攻坚，形成可规模化应用的算法能力
7、 与产品、风控策略、研发、运营等团队紧密协作，推动算法能力转化为业务价值，支撑公司风险治理体系建设

职位要求：
任职要求 
1、本科及以上学历，计算机、人工智能、数学、统计学等相关专业。
2、6年以上算法研发经验，4年以上人脸识别、风控算法、反欺诈算法或计算机视觉相关经验。
3、具备支付、金融科技、数字钱包、消费金融或大型互联网平台相关行业背景。
4、熟悉机器学习、深度学习、图算法等技术，有丰富的模型设计、训练、评估及线上落地经验。
5、在以下一个或多个方向具备丰富实战经验：人脸识别、活体检测、OCR、欺诈识别、账户安全、营销反作弊、反洗钱、图谱风控等。
6、具备完整项目经历，能够独立负责复杂算法项目从需求分析、方案设计到线上落地的全过程，并取得明确业务成果。
7、具备优秀的学习能力、逻辑分析能力和问题解决能力，能够快速理解复杂业务并制定有效解决方案。
8、具备强烈的责任心和主人翁意识，结果导向，能够主动承担和推动关键项目落地。",机器学习 大模型 计算机视觉 深度学习 需求分析 方案设计,https://www.liepin.com/job/1983862803.shtml
风控算法工程师,广州西皮柚科技有限公司,10-15k,北京-海淀区,北京,学生可投,经验不限,90天前更新,liepin,"注：居家办公模式，本人需常驻北京，安排购买北京社保公积金。

职位描述：
1. 负责信贷金融场景风控模型、营销模型的开发、落地、监控与迭代优化；
2. 深入挖掘客群特征，建设特征体系、标签体系，协同研发部门优化数据流程；

职位要求：
1. 统招本科及以上学历，计算机、统计、数学相关专业；
2. 有良好的编码功底，熟练掌握Python、SQL，至少掌握一种Hive、Spark大数据开发工具；
3. 熟练掌握xgb、lgb等风控常用统计模型，熟悉常用分类、回归、异常检测、图挖掘等机器学习算法；
4. 有较强的逻辑分析能力、团队合作意识和良好的沟通能力；
5. 有海外项目经验优先。",Python SQL Hive Spark 机器学习,https://www.liepin.com/job/1976333739.shtml
风控算法工程师,中和农信,14-20k·15薪,长沙-岳麓区,长沙,学生可投,经验不限,90天前更新,liepin,"从数据中挖掘特征，分析制定策略，衡量用户风险及信贷需求。运用统计、机器学习、深度学习等技术，搭建信用风险模型，反欺诈模型，制定模型应用策略，为信贷风控提供支持。
基本要求：
扎实的数学和算法基础，熟悉数据挖掘，机器学习，深度学习相关算法，能熟练运用分类，回归等模型解决问题
熟练使用python/sql等语言对数据进行统计分析
具有良好的数据分析能力，对数据敏感，能快速理解业务，发掘业务细节和数据之间的联系
有相关工作经验者优先",机器学习 深度学习 Python SQL 数据分析,https://www.liepin.com/job/1962584435.shtml
算法工程师实习生,蚂蚁集团,1-2k,重庆-南岸区,重庆,学生可投,1年以下,90天前更新,liepin,"蚂蚁集团信贷风控算法
2022届春招实习生内推

【招聘对象】
2021.11-2022.10毕业的应届毕业生

【招聘流程】
简历投递-＞在线笔试及测评-＞面试-＞发放实习offer-＞实习入职

【工作简介】
信贷风控算法团队通过搭建花呗、借呗和小微商家的智能化风控量化模型，探索并推动前沿信贷算法和方法论在风险管理领域的应用，打造智能风控核心，为花呗、借呗和小微金融服务保驾护航。

【工作地】
重庆、成都、杭州
实习转正通过率100%

【工作内容】
1.深入了解信贷产品的产品属性、业务场景、客群，识别风险
2.根据客户的贷前、贷中、贷后的行为表现，对潜在客户建立信用风险量化模型
3. 利用机器学习、数据挖掘等技术构建用户风险预测模型
4.通过机器学习、数据挖掘、图计算构建知识图谱，发掘企业间的关系
5.基于可解释学习、运筹优化等技术构建智能机器人，实现自动化决策

【岗位要求】
1. 统计学、计算机、运筹学、金融、经济学或相关专业硕士及以上学历优先。
2. 熟悉常用的统计方法，并能熟练使用SAS、R、Python等软件进行分析和建模，有前沿机器学习算法经验者优先
3. 熟悉机器学习、数据挖掘、统计学等至少一个方向的主流算法及原理。
4. 较强学习能力和逻辑性，良好的建模思维，对前沿技术有热情。
5. 具备以下一个或多个方向经验的优先：
- 参加公开比赛，包括但不限于ACM-ICPC、Kaggle、天池大赛并获奖
- 在NIPS、ICML、KDD、AAAI、IJCAI等顶会上发表过论文
- 参与过知名开源项目，或参与过大型机器学习、数据挖掘项目
- 能够在Tensorflow、PyTorch、Spark等至少一种主流框架上开发算法
",机器学习 Python IPS TensorFlow PyTorch Spark 风险管理,https://www.liepin.com/job/1937366093.shtml
招聘总监（苏州岗位）,企查查,30-60k·14薪,上海-长宁区,上海,学生可投,5年以上,6月3日更新,liepin,"职责描述：
工作职责:
1.招聘战略与组织人才规划
对齐公司IPO 筹备节奏与 AI战略转型方向，制定年度及中长期招聘战略;牵头编制各业务单元(数据产品、AI算法、技术中台、销售运营等)的人才地图与编制规划，确保关键人才供给与业务增长节拍匹配。

2.关键岗位与高端人才寻访
亲自主导 P8 及以上技术专家、数据科学家、AI算法负责人、产品业务总监、核心管理层等关键岗位的寻访与引进,建立稀缺岗位(如大模型、数据工程、知识图谱、风控算法等)的定向 Sourcing 能力与人才储备池。

3.招聘体系与流程标准化
搭建从 JD 设计、人才画像、面试评估到 Offer 管理的全流程标准;建立分级面试官认证体系，主导面试官培训与校准;推动 ATS/HR SaaS 系统建设，实现招聘流程线上化与可量化。

4.团队管理与招聘运营
带领招聘团队(含 RPO/技术招聘/校招/HRBP 协同)完成年度招聘指标;通过例会、复盘、能力盘点等机制提升团队产能;奉头校招、社招、内推、猎头等多渠道协同与成本管控。
5.雇主品牌与人才市场洞察
持续输出企査査在数据产业、AI领域的雇主价值主张(EVP);统筹 Linkedln、脉脉、知乎、GitHub、技术大会、高校行等渠道的品牌运营;定期产出行业人才动态、新酬竞争力、对标公司(天眼查、启信宝等)人才流动分析报告。

6.数据驱动的招聘效能管理
建立招聘漏斗指标体系(JD-简历-面试-Offer-入职-试用期通过率)、渠道 ROI、Time-To-Fill、Cost-per-Hire 等核心指标;通过数据洞察识别瓶颈，持续优化策略并支撑组织决策。

7.IPO 阶段的人才合规与组织支撑配合 IPO 进程，确保招聘流程、用工合规、Offer 与背调环节符合上市公司治理要求;支持核心团队稳定性建设与高管引进的内外部协同。

任职要求：
1.教育与经验
本科及以上学历，统招优先;
6年以上招聘相关经验，其中至少3年招聘团队管理经验:有互联网/SaaS/大数据/AI/金融科技行业背景者优先;有Pre-IPO 或 IPO 阶段公司招聘体系搭建经验者优先

2.技术岗位识别能力
熟悉互联网技术岗位画像与人才市场，能够独立判断算法、后端、数据工程、产品经理、AI应用工程师等岗位候选人的硬实力与发展潜力;理解大模型、知识图谱、数据中台等技术方向的人才稀缺度与竞争格局。

3.渠道与寻访能力
精通主流招聘渠道(猎聘、Boss、脉脉、Linkedln)与猎头资源管理;具备主动寻访(Cold Sourcing)能力，熟悉技术社区等非传统人才池的运营方法。

4.数据敏感度与系统思维
能够通过数据看清招聘瓶颈与渠道效率;熟悉至少一款 ATS 或 HR SaaS 系统;具备用招聘数据反向支撑组织决策的能力。

5.领导力与跨部门协同
能够带领5人以上招聘团队完成高强度任务;具备与业务一号位、CTO/CPO 等技术高管平等对话的能力，能够推动用人部门共同承担招聘结果。

6.综合素质
结果导向、抗压能力强;具备较强的商业敏感度和行业洞察力;沟通表达清晰，能在不确定环境下独立决策并持续选代策略。

7.加分项
有过高级别技术招聘实战经验;
熟悉校招体系搭建(顶尖高校算法/数据方向);
有雇主品牌内容输出或人才大会运营经验",大模型 Git 培训 团队管理 合规 P8 Sourcing JD,https://www.liepin.com/job/1982958957.shtml
算法专家/高级专家,蚂蚁集团,25-50k,杭州,杭州,学生可投,经验不限,90天前更新,liepin,"岗位名称：蚂蚁国际信贷风控算法工程师


1、针对蚂蚁国际海外金融业务发展需求，参与搭建和完善信贷风控模型体系，包括反欺诈、信用评分、客户画像、GMV预测等，负责信贷风控模型开发部署、监控维护和升级迭代等工作；
2、深度挖掘平台内部数据、合作方数据、以及外部三方数据，通过特征工程提炼和完善风控特征池； 
3、和业务方沟通需求，针对项目中实际遇到的问题，提出具体可行的算法解决方案，并负责执行落地； 
4、参与企业/行业知识图谱构建，并将图谱知识应用于风险建模中；
5、探索前沿机器学习算法，并在信贷风控领域进行实践和应用； 




职位要求
1、计算机，数学，统计等相关专业，本科及以上学历
2、熟练掌握SQL/Python，熟练掌握LR，DT，GBDT等常用机器学习算法
3、2年及以上数据挖掘和机器学习工作经历，具备较强的数据分析和挖掘能力
4、信贷风控、反欺诈等方向工作经验优先，有海外工作或求学背景优先",机器学习 SQL Python 数据分析 DT,https://www.liepin.com/job/1964037261.shtml
