job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AIGC算法研究实习生,海康威视,250-500元/天,杭州-滨江区,杭州,硕士,,90天前更新,liepin,"岗位职责
1、跟进业界AIGC最新发展情况，探索大语言模型、多模态模型、图像生成、图像编辑、文字生成、视频生成、3D生成等前沿技术，推动相关算法的研究与实现；
2、围绕LLM、AI Agent、图像画质增强、图像超分复原、图像风格迁移、长尾数据生成、幻觉抑制、可控编辑、视频质量评价等实际项目问题，开展AIGC相关算法的技术研发与实现，推动相关算法方案的落地应用；

岗位要求
1、硕士及以上学历，计算机、模式识别、电子工程、应用数学类等相关专业；
2、具有较好的数学功底，对深度学习、机器学习、图像处理有较深入的理解与认识；
3、熟练掌握C/C++/Python，具备扎实的编程基础和深度学习算法训练能力；
4、熟悉GAN、VAE、Stable Diffusion、DiT、LORA、CLIP或LLM大模型等算法技术，有实际项目或竞赛经验者优先；
5、在CV/ML/NLP等方向的国际顶会或期刊上发过论文者或在开源社区有代码贡献者优先；
6、具有良好的快速学习能力、沟通协作能力以及自驱能力者优先。

招聘人数：1人",AIGC LLM 深度学习 机器学习 C++ Python Diffusion 大模型,https://www.liepin.com/lptjob/78576817
AIGC算法实习生,广州市斯睿特智能科技有限公司,150-300元/天,广州-黄埔区,广州,硕士,,7月17日更新,liepin,"园区有到地铁站的巴士，七八分钟即可到达公司，方便又舒适。

【岗位职责】
1、算法研发： 参与图像、3D生成与编辑等前沿视觉算法的研发，基于Diffusion、Flow Matching、VAE等模型优化训练策略，提升生成质量与可控性。
2、数据闭环： 参与业务数据构建、清洗、合成及评估策略设计，协助搭建智能化的数据处理流程。
3、工程落地： 协助模型压缩、推理加速及部署优化，调研前沿AI产品与技术，保持技术领先性。
4、前沿探索： 参与世界模型（World Models）、世界-动作模型及具身智能方向的探索与支持。

【任职要求】
1、学历背景： 计算机、AI、数学等相关专业硕士在读，2027届及以后毕业。
2、技术基础： 熟悉AIGC领域主流生成模型（如Diffusion、Flow Matching、VAE等）原理，有相关项目或科研经历。
3、编程能力： 熟练掌握Python/C++，精通PyTorch等深度学习框架，具备良好的代码规范和论文复现能力。
4、综合素质： 学习能力强，对前沿技术有敏锐度，具备良好的沟通能力和团队协作精神。

【加分项】
1、在世界模型、具身智能、3DGS、强化学习（RL）等方向有相关研究或项目经验。
2、在CVPR、ICCV、NeurIPS、SIGGRAPH等顶级会议/期刊发表过高质量论文。
3、有模型线上化经验（如TensorRT/ONNX推理加速、显存优化）。
4、在Kaggle、ACM等权威技术竞赛中获奖，或在开源社区有高质量贡献。

【实习可收获】
1、参与真实工业AI项目全流程，获得从算法研发到工程落地的完整实践经验。
2、近距离接触汽车/一般工业场景的机器视觉质检、行为识别、设备预测性维护等核心业务。
3、由资深算法工程师一对一指导，系统提升深度学习工程化能力。
4、了解工业界AI算法开发的完整流程与最佳实践，包括数据采集、模型训练、优化部署、SDK封装等。
5、参与前沿多模态大模型与视频理解技术的研究与开发，紧跟学术前沿。
6、优秀实习生可获得转正留用机会，或获得行业头部企业推荐。


截止日期：2027年06月11日
招聘人数：1人",Diffusion AIGC Python C++ PyTorch 深度学习 IPS ONNX 大模型 数据采集,https://www.liepin.com/lptjob/83366699
AIGC算法实习生,杭州美帮网络,250-300元/天,杭州-滨江区,杭州,硕士,,7月20日更新,liepin,"工作职责：
1、负责AIGC项目的模型搭建和落地工作；
2、结合产品需求，优化已有算法的性能与效果；
3、跟进最新的算法研究进展，进行相关的预研。

任职要求：
1、硕士及以上学历，计算机、自动化、人工智能等相关专业毕业；
2、熟悉Stable diffusion为代表的的AIGC模型技术，熟悉运用此技术训练模型者优先；
3、熟悉图像处理算法，有计算机视觉、模式识别或图像处理相关项目经验；
4、有深度学习模型训练经验, 熟悉一种以上的深度学习框架，如 PyTroch，TensorFlow等；
5、有良好的数学基础和逻辑思维能力，编程功底扎实，熟练使用C/C++或Python等语言；
6、每周能保证3-5天实习，能持续至少3月以上优先。

截止日期：2027年03月19日
招聘人数：1人",AIGC Diffusion 计算机视觉 深度学习 TensorFlow C++ Python,https://www.liepin.com/lptjob/81071535
AIGC算法实习生,深圳鹿影科技有限公司,300-500元/天,杭州-余杭区,杭州,本科,,90天前更新,liepin,"坐标：深圳·南山智园 或者 杭州
岗位职责
- 参与前沿AIGC模型和方法的研究，并发表论文；
- 参与将最新研究成果落地到产品。
我们提供了舒适的工作环境和具有竞争力的薪酬福利。如果你是热衷于探索前沿的计算机视觉模型发展、将先进的科研成果转化为实用的产品的计算机视觉的研究者，我们期待你的加入！有相关项目工作和论文发表经验者优先考虑。
岗位要求
- 扎实的代码能力
- 扎实的计算机视觉与深度学习基础
- NOI/ACM等获奖者优先
- 有相关领域论文者优先
- 有相关领域竞赛获奖者优先
教育背景
- 本科及以上学生


招聘人数：20人",AIGC 计算机视觉 深度学习 NOI,https://www.liepin.com/lptjob/61980655
AIGC算法实习生,深圳鹿影科技有限公司,300-500元/天,深圳-南山区,深圳,本科,,90天前更新,liepin,"坐标：深圳·南山智园 或者 杭州
岗位职责
- 参与前沿AIGC模型和方法的研究，并发表论文；
- 参与将最新研究成果落地到产品。
我们提供了舒适的工作环境和具有竞争力的薪酬福利。如果你是热衷于探索前沿的计算机视觉模型发展、将先进的科研成果转化为实用的产品的计算机视觉的研究者，我们期待你的加入！有相关项目工作和论文发表经验者优先考虑。
岗位要求
- 扎实的代码能力
- 扎实的计算机视觉与深度学习基础
- NOI/ACM等获奖者优先
- 有相关领域论文者优先
- 有相关领域竞赛获奖者优先
教育背景
- 本科及以上学生


招聘人数：20人",AIGC 计算机视觉 深度学习 NOI,https://www.liepin.com/lptjob/61980643
AIGC数字人驱动算法实习生,北京如小意,200-300元/天,深圳-宝安区,深圳,本科,,5月9日更新,liepin,"公司介绍：
      从大模型六小虎零一万物孵化出来，创始团队主要来自华为，字节，阿里等大厂。当前公司已经完成千万美金的天使轮投资(本赛道最多的天使轮投资)，投资机构包括创新工场，璞跃投资，盈动资本，零一万物，G5创新投资等头部投资机构。

岗位定位：
协助团队研发基于Stable Diffusion、GAN等生成模型的数字人驱动算法，参与多模态（文本/语音/图像）技术在虚拟人交互中的预研与工程化落地。你将有机会了解数字人从算法到产品化再到商业化全链路过程。

核心工作职责：
- 算法开发与调优：协助研发基于Stable Diffusion、GAN的2D数字人生成算法，参与表情驱动、唇形同步等模块的代码实现与效果调试。
- 多模态与AI抠图：参与文本/语音驱动图像生成的技术预研；利用视觉基础模型（如SAM、Matting网络）优化数字人背景分割与合成效果。
- 模型加速与部署：学习并应用DiT（Diffusion Transformer）等模型的推理加速技术，参与模型量化、剪枝及性能优化实验。
- 技术调研：跟踪CVPR/ICCV等顶会的前沿论文，复现相关算法（如Diffusion混合架构），撰写技术报告。

任职要求：
1. 技术能力
  - 熟悉Stable Diffusion、GAN、VAE等生成模型的基本原理，有PyTorch/TensorFlow项目经验。
  - 了解计算机视觉基础任务（如图像生成、分割），对AI抠图（Matting）或视频处理有实践经验者优先。
  - 熟悉Python，具备良好的代码实现能力。
2. 背景要求
  - 硕士在读（计算机/AI/数学等相关专业），或优秀大四本科生，每周至少实习4天，持续3个月以上。
  - 有AIGC、数字人、多模态相关项目（如课程设计、科研项目、竞赛）经验者优先。
  - 对生成式AI有强烈热情，具备快速学习新技术和解决实际问题的能力。

工作地点：
- 深圳
实习福利
- 薪资：具有竞争力的实习日薪 + 项目奖金。
- 成长：由资深算法工程师一对一指导，深入接触工业级AIGC项目，积累从论文到产品的完整落地经验。
- 环境：弹性工作制，开放的技术氛围。

截止日期：2027年05月09日
招聘人数：1人",大模型 Diffusion Transformer PyTorch TensorFlow 计算机视觉 Python AIGC,https://www.liepin.com/lptjob/82386835
视觉生成算法工程师,白日梦,300-400元/天,深圳-南山区,深圳,本科,,90天前更新,liepin,"职位描述：
1. 负责视觉生成算法研发及效果评估，包括但不限于图片生成、视频生成、视频质量评价、3D内容生成等
2. 在自监督学习、表征学习、扩散模型等领域开展前沿技术探索和研究，包括但不限于对比学习、掩码学习、自回归学习、度量学习、跨模态表征对齐、扩散生成等方向
3. 与工程、产品团队深度合作，落地成熟的AIGC算法，提供极致的用户体验
任职要求：
1. 2024届及以后毕业，本科及以上学历在读，计算机、软件工程等相关专业优先
2. 扎实的编程基础，熟练使用Linux操作系统，工作细心负责，扎实的数学和算法基础：概率统计、数值优化算法
3. 熟练掌握Python，熟悉至少一种主流机器学习框架(PyTorch/TensorFlow)
4. 熟悉常用的机器学习和深度学习算法，熟悉基本的视觉模型结构(ResNet/ViT/VAE/GAN/Diffusion等)和视觉表征学习(对比学习/掩码学习/自回归学习等)，在视频理解、跨模态表征对齐、扩散生成等方面有经验者优先
5. 有强烈的求知欲、好奇心和进取心。快速学习新技术的能力，并能够在较短时间内使用该项新技术，能够在较短时间内理解前沿论文并评价
6. 一周4-5天，持续实习3个月及以上。实习6个月以上者优先，工作踏实优秀者有转正机会

招聘人数：5人",AIGC Linux Python 机器学习 PyTorch TensorFlow 深度学习 Diffusion,https://www.liepin.com/lptjob/65449723
TapTap招AIGC,,300-500元/天,上海-静安区,上海,本科,,90天前更新,liepin,"简介: TapTap是国内垂直的手游下载和分发平台，目前DAU年增长30%，广告营收年增长100%。目前算法团队都来自BAT和TMD，博士占比30%，有多名ACM奖牌获得者，CCF A会一作作者。

岗位描述
1. AIGC: 协助图像生成、文本生成、多模态模型、小样本学习领域算法训练及优化，从prompt优化、模型finetune、性能加速等方向优化AIGC算法效果，完成产品化落地。

岗位要求
1. 计算机、人工智能、数学等相关专业在读，可长期实习；
2. 每周现场办公3天以上，工作地点为上海市静安区大宁中心广场；
3. 具有扎实的计算机视觉或机器学习算法基础，有相关方向顶会论文者优先；
4. 加分项: 熟悉常见AI生成模型框架及常见多模态模型，如stable diffusion，CLIP等；
5. 加分项: 熟悉常见广告排序系统模型，如ESMM，DIN，PLE等
6. 看中学习能力和自驱力，不强求背景匹配

招聘人数：2人",AIGC 计算机视觉 机器学习 Diffusion CCF DIN,https://www.liepin.com/lptjob/56147091
AIGC图像大模型算法实习生,vivo,300-500元/天,杭州-西湖区,杭州,硕士,,90天前更新,liepin,"base：杭州/深圳/上海
沟通前请说明：
感兴趣的实习生麻烦沟通前附带以下信息
1、什么时间可以开始实习以及可以多长时间
2、一周可以实习几天（希望可以5天）
3、期望实习地点
岗位职责
1、预研具有行业竞争力的人像算法产品，聚焦在AIGC、图像生成、图像超分、图像增强等核心技术的预研和前沿创新；
2、团队内各大名校资深从业者和优秀算法专家辅导并将提炼创新idea发表顶会paper

任职要求：
1、硕士及以上学历；
2、CV&ML领域扎实的基础理论和丰富的实践经验，有算法设计、模型训练、网络结构优化以及效果调优的实际深度学习CV算法的落地经验；
3、有实际图像生成类算法开发经验，包括但不限于StableDiffusion系列AIGC大模型算法、多模态生成编辑、强化学习、图像超分、图像增强、图像生成、deblur，人像美颜类算法等；
4、熟练使用pytorch/tensorflow/Caffe等训练框架，深入理解其中一种的架构实现
5、精通python/C/C++开发，具有实际项目开发编程经验，具有高效的论文阅读和复现能力；
6、发表过高水平的CV、机器学习相关学术论文/专利者优先。

招聘人数：5人",AIGC 深度学习 Diffusion 大模型 PyTorch TensorFlow Caffe Python C++ 机器学习 专利,https://www.liepin.com/lptjob/76123819
AI算法工程师,南京未来脑科技有限公司,200-300元/天,南京-浦口区,南京,硕士,,90天前更新,liepin,"岗位职责：
1.与算法部门合作，部署落地AIGC相关算法，推动研究产生实际影响力。
2.测试、维护、更新公司内部AIGC前端工具。
任职要求：
1.对机器学习或深度学习算法等领域有相关基础理论知识，有过深度学习研究/工作/项目经验优先；
2.计算机、人工智能以及相关领域（软件、数学、自动化、电子等）在读；
3.实习3个月以上者优先；

招聘人数：2人",AIGC 机器学习 深度学习,https://www.liepin.com/lptjob/63820703
