job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
无人机研发博士后,杭州市滨江区浙工大网络空间安全创新研究院,20-40k,杭州-滨江区,杭州,学生可投,经验不限,90天前更新,liepin,"岗位职责：
1. 负责无人机无人系统的路径规划、决策、避障算法的开发、实现与调试;
2. 负责无人系统运动轨迹规划算法和优化相关研究工作，提高无人系统控制精度、流畅性和稳定性;
3. 负责无人系统系统平台集成和调试。

 专业要求：
1. 计算机、控制、电子工程、机械电子等相关专业;
2. 熟悉经典路径规划算法，了解基于神经网络的前沿规划算法；
3. 熟悉主流无人系统开发开源软件框架，有自主框架设计开发经验者优先；
4. 熟悉C/C++编程，熟悉Linux，有ROS开发经验者优先。",C++ Linux ROS,https://www.liepin.com/job/1973800981.shtml
辅助驾驶规控算法工程师,采埃孚(中国)投资有限公司,15-18k·15薪,上海-嘉定区,上海,硕士,应届,7月23日更新,liepin,"About the Team
This position is part of the ZF ADAS & HPC business unit known internally as ""Capri."" This business unit is planned for divestiture to Harman International, a Samsung company and global innovator in automotive technology, presenting a unique opportunity to be part of an exciting new chapter in the ADAS space.

What you can look forward to as a Control Algorithm Engineer:
•	Develop and maintain planning and control algorithms for L2 / L3 ADAS
•	Design behavior planning, trajectory planning, and vehicle control functions according to system requirements
•	Optimize decision-making and control performance for functions such as ACC, LKA, TJA, and NOA
•	Develop and tune lateral and longitudinal control algorithms based on vehicle dynamics
•	Verify and debug algorithms in MIL / SIL / HIL and vehicle test environments
•	Support system integration, testing, and customer (OEM) project delivery
•	Follow automotive software development processes and functional safety standards (e.g. ASPICE, ISO 26262)
Your Profile as a Control Algorithm Engineer:
•	Master’s degree in Control Engineering, Automotive Engineering, Robotics, Computer Science, or related fields
•	Solid fundamentals in control theory, vehicle dynamics, linear algebra, and optimization
•	Programming skills in C++ (Python is a plus) and experience with Linux development
•	Basic knowledge of planning and/or control algorithms (e.g. trajectory planning, PID, MPC)
•	Familiarity with at least one simulation or development environment (e.g. MATLAB/Simulink, ROS) is a plus
•	Interest in ADAS / automated driving and motivation to work in a series‑production–oriented environment
•	Good analytical skills, teamwork ability, and willingness to learn
•	CET-6.
 

截止日期：2027年04月26日
招聘人数：1人",ARM CAN Go Gin Git SPI C++ Python Linux MATLAB ROS,https://www.liepin.com/lptjob/82100155
AI算法工程师/算法工程师/软件开发工程师,通信设备沪深A股上市10000人以上,25-50k,南京-雨花台区,南京,硕士,应届,7月30日更新,liepin,"方向一：智能运维，AI算法工程师-南京
【工作职责】
1.负责AI预测、分类模型预研；
2.负责数据治理、特征工程与模型开发；
3.负责基于深度学习和知识图谱的故障根因分析算法性能与精度优化；
4.负责协议栈平台故障定界定位的统一平台建设，参与相关算法优化与应用。
【任职要求】
1.学历专业：计算机、人工智能、电子信息、数学等相关专业，硕士及以上学历；
2.基础知识：熟悉网络通信基础知识，理解数据通信网络的基本模型；
3.核心技能：具有扎实的机器学习与深度学习理论基础，了解遗传算法、混合整数线性规划等启发式算法；
4.算法能力：具备扎实的计算机算法基础，熟悉经典算法，有图论、优化理论等相关领域的知识积累；
5.项目经验：有机器学习相关项目经验，能够搭建完整机器学习系统并产出可验证成果；
6.综合素养：具备良好的沟通协作能力、快速学习能力、独立工作与问题解决能力，对解决技术挑战充满热情。

方向二：智能运维-OTN传输，AI算法工程师-武汉/深圳/南京
【工作职责】
1.从事大数据与人工智能方向的算法与平台研发；
2.负责大数据挖掘算法及其解决方案的研究、设计与验证；
3.负责OTN网络业务智能诊断与预测算法研究；
4.负责OTN网络ASON业务控制算法研究。
【任职要求】
1.学历专业：计算机、软件工程、电子信息、数学、运筹学等相关专业，硕士及以上学历；
2.编程能力：熟练掌握Java/Python至少一种，熟悉Linux开发调试环境；
3.算法基础：掌握数据结构和经典算法，具备图论、优化理论等相关领域知识；
4.机器学习：具有扎实的机器学习与深度学习理论基础；
5.领域知识：熟悉网络通信基础，理解数据通信网络模型；
6.综合素养：具备良好的沟通协作能力、快速学习能力、独立工作与问题解决能力，对解决技术挑战充满热情。

方向三：智能运维，AI算法工程师-南京
【工作职责】
1.开展AI技术预研与算法创新，跟踪大语言模型等前沿技术，优化模型结构、训练方法及垂直领域适配策略；
2.参与大模型结构设计、训练、推理优化及部署，构建语料治理体系，负责数据收集、清洗、分析及高质量数据集构建；
3.负责AI技术在固网智能运维等场景的应用落地与产品化，参与需求分析、详设、编码、测试及文档等全流程开发工作；
4.持续改进软件编码质量，负责功能、性能、稳定性与可维护性，保证产品质量；研究新技术，提升团队技术能力与效率。
【任职要求】
1.学历专业：数学、电子、计算机或相关专业，硕士及以上学历；
2.技术基础：熟练掌握C/C++至少一种，熟悉常用数据结构与算法，熟悉进程间通信原理与分布式系统技术，掌握性能分析与优化方法；
3.领域知识：熟悉网络通信基础知识；
4.综合素养：具备良好的沟通协作能力、快速学习能力、独立工作与抗压能力，对技术挑战充满热情。


截止日期：2026年12月31日
招聘人数：20人",深度学习 机器学习 Java Python Linux 大模型 C++ 分布式 数据治理 需求分析,https://www.liepin.com/lptjob/84454021
软件开发工程师/算法工程师,通信设备沪深A股上市10000人以上,25-55k,南京-雨花台区,南京,硕士,应届,7月30日更新,liepin,"方向一：天地一体化，算法工程师-南京
【工作职责】
1.负责天地一体化网络（卫星与地面融合）卫星组网路由架构设计与协议研究；
2.负责卫星路由算法研发，完成路径规划、链路调度、拥塞控制等关键算法的建模、仿真与优化；
3.解决卫星网络节点高移动性、动态组网拓扑等核心技术挑战；
4.跟踪人工智能、6G等前沿技术，推动其在卫星路由协议与算法中的融合创新；
5.参与国际标准预研（如IETF互联网工程任务组）与专利布局，输出技术分析报告。
【任职要求】
1.学历专业：计算机、软件工程、信息与通信工程、自动化、电子信息、数学等相关专业，硕士及以上学历；
2.理论基础：具备IP网络及业务、路由协议、优化算法、算法优化、网络测量、流量分析、排队论、图论、信息论等相关理论基础；
3.编程能力：熟练运用C、C++、Matlab等至少一门编程语言，具备较强的算法实现能力，可独立完成建模与验证工作；
4.英文能力：具备较强的英文阅读能力，能快速研读相关领域英文文献及技术资料；
5.综合能力：专业基础扎实，对数据结构与算法有深入理解，具备独立工作与问题解决能力；
6.优先条件：具有卫星路由协议、算法建模等相关项目经验或竞赛经历者优先；熟悉TCP/IP协议，了解6G、人工智能技术，有相关论文或专利成果者优先。

方向二：智算新技术研发，软件开发工程师-南京
【工作职责】
1.负责网络协议栈或分布式系统的方案设计与开发；
2.持续优化系统的性能、稳定性和可维护性；
3.研究并应用并行计算、多核编程、高性能数据共享等技术，提升系统运行效率；
4.参与分布式架构设计与优化，保障高可用性、资源利用率及数据一致性；
5.跟踪人工智能、新一代通信网络（如5G-Advanced/6G）等前沿技术，推动其在协议与系统中的融合应用；
6.关注行业标准与技术趋势，参与国际标准预研、专利布局及技术路线规划。
【任职要求】
1.学历专业：计算机、软件工程、信息与通信工程、自动化、电子信息、数学等相关专业，硕士及以上学历；
2.编程语言：熟练掌握C/C++，了解Python、Go等至少一种语言，掌握常用数据结构与算法；
3.基础知识：熟悉TCP/IP等网络协议，了解操作系统原理及分布式系统基础架构；
4.开发环境：熟悉Linux开发环境，具备系统性能分析与调优能力；
5.综合素养：具备良好的沟通协作能力、快速学习能力、独立工作与问题解决能力。

方向三：网络协议，软件开发工程师-南京/算法工程师-南京
【工作职责】
1.负责网络协议栈的方案设计与算法开发；
2.持续优化协议性能、稳定性与可维护性；
3.负责OAM数据模型的设计与实现，涵盖性能指标采集、故障智能诊断、配置管理等核心算法；
4.参与分布式架构设计与性能调优，保障系统高可用性、资源利用率及数据一致性；
5.研究并应用并行计算、多核编程、高性能数据共享等关键技术，提升分布式系统的处理效率和吞吐量；
6.跟踪国际标准组织（如IETF互联网工程任务组、ITU-T国际电信联盟标准化部门）的协议演进，参与标准预研、技术提案及专利布局。
【任职要求】
1.学历专业：计算机、软件工程、电子信息、数学等相关专业，硕士及以上学历；
2.编程能力：熟练掌握C/C++，了解Python、Go等至少一种语言，掌握常用数据结构与算法；
3.基础知识：熟悉TCP/IP等网络协议，了解操作系统原理及分布式系统基础架构；
4.专业要求：熟悉Linux开发环境，了解网络配置管理、遥测相关标准、分布式数据库原理，具备系统性能分析与调优能力；
5.综合素养：具备良好的沟通协作能力、快速学习能力、独立工作与问题解决能力。

方向四：网络操作系统，软件开发工程师-南京/算法工程师-南京
【工作职责】
1.负责分布式架构设计与业务部署；
2.负责系统任务调度与高可用保障；
3.参与高可用分布式文件系统的设计与实现；
4.负责分布式系统启动性能调优与运行效率优化；
5.分析和解决系统资源开销、可靠性及一致性问题。
【任职要求】
1.学历专业：计算机、软件工程、电子信息等相关专业，硕士及以上学历；
2.基础知识：熟悉操作系统、虚拟化、计算机体系结构原理，了解分布式系统发展趋势；
3.核心技能：熟练掌握进程间通信技术原理，熟悉性能分析及优化方法；
4.开发能力：了解软件架构设计基本原则，熟悉软件工程开发流程；
5.综合素养：具备良好的沟通协作能力、快速学习能力、独立工作与问题解决能力。

 方向五：数据库开发，软件开发工程师-南京
【工作职责】
1.负责高可用分布式数据库的需求分析与方案设计，适配嵌入式控制面系统应用场景；
2.负责高可用数据库性能与容量调优，满足项目要求；
3.跟踪数据库前沿技术，参与团队技术分享与能力建设。
【任职要求】
1.学历专业：数学、电子信息、计算机科学与技术等相关专业，硕士及以上学历，对操作系统原理有良好理解；
2.编程能力：熟练掌握C/C++/Go至少一种，具备嵌入式系统编程经验；
3.数据库技术：熟练掌握关系型数据库与NoSQL数据库技术，具备性能调优经验；
4.系统知识：熟悉消息中间件技术与Linux操作系统；
5.综合素养：具备良好的沟通协作能力、快速学习能力、团队合作精神和抗压能力。

截止日期：2027年07月30日
招聘人数：10人",C++ MATLAB TCP/IP 分布式 高可用 5G Python Go Linux SQL 专利 方案设计,https://www.liepin.com/lptjob/84512925
【校招】算法工程师,武汉极目智能技术有限公司,17-22k,武汉,武汉,硕士,应届,7月22日更新,liepin,"【深度学习算法工程师】
岗位职责：
1、负责深度学习网络架构预研；
2、负责高效高精度网络结构设计与论文撰写；
3、负责深度学习网络结构的优化。
任职要求：
1、硕士及以上学历，汽车电子、车辆工程等相关专业；
2、熟练主流深度学习网络架构；
3、能够独立搭建深度学习环境，应用主流深度学习网络。

【路径规划算法工程师】
岗位职责：
1、根据视觉检测结果，规划车辆可行驶路径；
2、实现避障规划；
3、开发基于机器学习的行为决策算法。
任职要求：
1、硕士及以上学历，车辆工程，自动控制，计算机软件等相关专业；
2、深入理解RRT，PRM，等常用路径规划算法；深入理解DWA，VHF等局部路径规划算法；
3、能够利用C++/Python或Matlab进行算法开发。

【融合算法】
岗位职责：
1、负责摄像头、毫米波雷达等多传感器融合算法的开发与设计；
2、负责多个传感器的数据同步、目标匹配、跟踪、预测和航迹管理；
3、负责融合算法在嵌入式平台的工程化部署，撰写和技术文档维护。
任职要求：
1、硕士及以上学历，有ADAS多传感器融合算法开发经验者优先；
2、熟悉摄像头、毫米波雷达等传感器的目标检测和跟踪原理；熟悉多目标匹配算法，熟悉KF/EKF等跟踪算法中的一种或者多种；
3、具备工程实现能力，熟练掌握 C/C++编程，能独立写出产品级别的C/C++代码，熟悉Matlab/Simulink等工具。

【控制算法】
岗位职责：
1、负责智能汽车纵向、横向的算法研发和优化；
2、负责智能汽车控制算法的技术规划、架构设计和开发测试。
任职要求：
1、硕士及以上学历，车辆工程类、控制类或自动化类等专业；
2、熟悉掌握PID，模糊控制，MPC 等一种或以上控制算法； 
3、掌握Matlab，Simulink，StatefFolow 等相关工具一种以上； 
4、了解车辆底盘控制，车身动力学与运动学，有动力学建模经验优先。

截止日期：2027年07月22日
招聘人数：10人",深度学习 机器学习 C++ Python MATLAB 技术文档,https://www.liepin.com/lptjob/84330233
智能座舱算法工程师,汽车零部件及配件科创板上市5000-10000人,15-40k·15薪,天津-西青区,天津,本科,应届,90天前更新,liepin,"控制算法工程师
1.负责汽车座舱控制算法开发，包括HUD产品、CMS产品、DMS产品、ADB产品、AFS产品、氛围灯产品等；
2.针对用户需求，设计控制算法，包括建模仿真、代码实现、集成测试及文档编写；
3.支持实车标定，产品功能、性能实车验证；
4.支持产品售后问题分析，解决；
5.负责算法功能相关法规分析、竞品分析等。
任职要求1. 硕士及以上学历，汽车、测控、电子电气、机械工程、精密仪器等相关专业；
2. 精通常用系统建模仿真工具建模，熟悉C/C++编程；
3. 具备扎实的信号处理、控制系统、传感技术等知识；
4. 具备较强的沟通、表达能力，整理、总结能力，逻辑思维能力；
5. 对感官性能体验强者优先。

 感知算法工程师
工作职责1. 汽车座舱前沿感知算法研究、实现及优化，包括视线追踪、疲劳识别、手势及肢体关键点识别、音乐特征识别等；
2. 座舱大模型部署，包括大模型接入，调优，AI Agent搭建等；
3. 汽车座舱内感知算法评测需求、法规分析。
任职要求1. 硕士及以上学历，计算机、通讯工程、电子工程、机械工程、电气工程、车辆工程等相关专业；
2. 熟悉Python、C/C++、Java等编程工具；
3. 熟悉TensorFlow、Torch、SkLearn等机器学习框架；
4. 熟悉大模型部署和调优方法，包括Prompt，RAG等；
5. 了解模型终端部署；
6. 具备扎实的算法和数据结构基础、较强的逻辑思维能力。

截止日期：2026年12月01日
招聘人数：1人",C++ 大模型 Python Java TensorFlow 机器学习 RAG 文档编写 竞品分析,https://www.liepin.com/lptjob/78839325
智能座舱算法工程师,汽车零部件及配件科创板上市5000-10000人,15-40k·15薪,北京-朝阳区,北京,本科,应届,90天前更新,liepin,"控制算法工程师
1.负责汽车座舱控制算法开发，包括HUD产品、CMS产品、DMS产品、ADB产品、AFS产品、氛围灯产品等；
2.针对用户需求，设计控制算法，包括建模仿真、代码实现、集成测试及文档编写；
3.支持实车标定，产品功能、性能实车验证；
4.支持产品售后问题分析，解决；
5.负责算法功能相关法规分析、竞品分析等。
任职要求1. 硕士及以上学历，汽车、测控、电子电气、机械工程、精密仪器等相关专业；
2. 精通常用系统建模仿真工具建模，熟悉C/C++编程；
3. 具备扎实的信号处理、控制系统、传感技术等知识；
4. 具备较强的沟通、表达能力，整理、总结能力，逻辑思维能力；
5. 对感官性能体验强者优先。

 感知算法工程师
工作职责1. 汽车座舱前沿感知算法研究、实现及优化，包括视线追踪、疲劳识别、手势及肢体关键点识别、音乐特征识别等；
2. 座舱大模型部署，包括大模型接入，调优，AI Agent搭建等；
3. 汽车座舱内感知算法评测需求、法规分析。
任职要求1. 硕士及以上学历，计算机、通讯工程、电子工程、机械工程、电气工程、车辆工程等相关专业；
2. 熟悉Python、C/C++、Java等编程工具；
3. 熟悉TensorFlow、Torch、SkLearn等机器学习框架；
4. 熟悉大模型部署和调优方法，包括Prompt，RAG等；
5. 了解模型终端部署；
6. 具备扎实的算法和数据结构基础、较强的逻辑思维能力。

截止日期：2026年12月01日
招聘人数：1人",C++ 大模型 Python Java TensorFlow 机器学习 RAG 文档编写 竞品分析,https://www.liepin.com/lptjob/78839323
工业机器人算法工程师,长数机器人,80-120元/天,天津-滨海新区,天津,本科,,90天前更新,liepin,"实习工业机器人算法工程师的招聘正在进行中！我们正在寻找对工业机器人算法有热情、具备优秀的学习能力和适应力的实习生加入我们的团队。
作为实习工业机器人算法工程师，您将有机会参与各种工业机器人算法的开发项目，并在实践中学习和掌握相关技能。您将负责进行手眼标定、轨迹规划等算法的研究与实现，以及ROS MoveIt工具的使用和优化等工作。
我们希望您具备以下要求：
控制工程、机器人工程或相关专业背景，对工业机器人算法有浓厚兴趣；
熟悉手眼标定算法，具备相关开发经验；
熟悉机器人轨迹规划算法或ROS MoveIt工具，具备相关开发经验；
熟悉C++/Python编程语言，具备良好的编程习惯；
具备良好的沟通能力和团队合作精神；
有较强的学习能力和适应力，能够快速适应新环境和新任务；
有相关实习经验者优先考虑。
如果您对工业机器人算法有热情，并希望在实践中学习和成长，那么我们非常欢迎您的加入！请将您的简历发送至我们的邮箱，我们期待与您一起共创美好未来！

招聘人数：1人",ROS C++ Python,https://www.liepin.com/lptjob/64502145
AI工程师 / 人工智能算法工程师（应届生培养岗）,上海雾弘信息科技有限公司,8-20k,上海-黄浦区,上海,学历不限,应届,5月31日更新,liepin,"岗位职责

1. 参与公司人工智能相关项目的研发与落地，包括大模型应用、智能客服、智能推荐、图像识别、数据分析、自动化办公等方向；
2. 协助团队完成 AI 模型的训练、调优、测试与部署，参与数据清洗、数据标注、模型效果评估等基础工作；
3. 参与大厂合作项目或企业级 AI 应用项目的开发工作，理解业务需求，并将 AI 技术应用到实际业务场景中；
4. 配合产品、运营、研发团队完成 AI 功能设计，例如智能问答、内容生成、用户画像、销售线索分析、智能报表等；
5. 学习并使用主流 AI 工具和框架，包括 Python、PyTorch、TensorFlow、FastAPI、LangChain、向量数据库、大模型 API 等；
6. 负责部分 AI 应用模块的开发、接口联调、测试优化和文档整理工作；
7. 跟进人工智能、大模型、AIGC、多模态、Agent 等前沿技术，协助公司进行技术预研和项目方案输出。

任职要求

1. 2025届、2026届应届毕业生优先，计算机、人工智能、软件工程、数据科学、自动化、电子信息、数学等相关专业优先；
2. 熟悉 Python 基础语法，有一定编程能力，了解常用数据结构和算法；
3. 对人工智能、大模型、AIGC、ChatGPT、智能体、图像识别、自然语言处理等方向有兴趣；
4. 了解或使用过 PyTorch、TensorFlow、Scikit-learn、OpenCV、Pandas、NumPy 等工具者优先；
5. 有课程项目、毕业设计、实习经历、比赛经历或个人 AI 项目经验者优先；
6. 具备较强的学习能力、逻辑思维能力和问题解决能力，愿意接受公司系统培养；
7. 工作认真负责，沟通表达清晰，能配合团队完成项目交付。

加分项

1. 有大模型应用开发经验，例如调用 OpenAI、通义千问、文心一言、智谱、DeepSeek 等 API；
2. 有 RAG 知识库、智能客服、AI办公助手、AI简历筛选、AI外呼、AI数据分析等项目经验；
3. 熟悉 FastAPI、Flask、Vue、React、MySQL、Redis、Docker 等开发工具；
4. 有 Kaggle、数学建模、蓝桥杯、互联网+、挑战杯、AI竞赛等经历；
5. 有较强的文档能力，能协助完成技术方案、项目汇报 PPT、接口文档等材料。

培养方向

公司提供完整的新人培养机制，由技术负责人及项目经理带教，前期从数据处理、模型测试、接口开发、AI工具使用等基础工作开始，逐步参与企业级 AI 项目、大厂合作项目及核心产品研发。

培养方向包括：

AI应用工程师、大模型应用工程师、算法工程师、数据分析工程师、智能产品研发工程师。

薪资待遇

薪资范围：8K-15K/月，可根据能力面议
薪资结构：基本工资 + 项目奖金 + 绩效奖金 + 年终奖金
福利待遇：五险一金、带薪年假、节日福利、项目奖金、技术培训、晋升通道

职位亮点

大厂项目实战｜AI方向重点培养｜导师带教｜技术成长快｜应届生友好｜项目奖金｜晋升空间大

工作地点

上海 / 杭州 / 深圳 / 北京


截止日期：2027年05月31日
招聘人数：20人",大模型 Python PyTorch TensorFlow FastAPI AIGC GPT 自然语言处理 Scikit-learn OpenCV RAG Flask,https://www.liepin.com/lptjob/83009533
飞控算法工程师,星网宇达,200-250元/天,北京-通州区,北京,硕士,,7月15日更新,liepin,"【专业学历要求】
2027年应届硕士以上学历，飞行器控制、导航制导与控制、控制科学与工程、飞行器设计、航空宇航科学与技术等相关专业。
【期望你具备能力】
1. 熟练掌握控制理论、飞行力学、误差分析等核心专业知识，熟悉无人飞行器动力学特性。
2. 至少掌握一种主流飞控控制算法，了解模型预测控制、卡尔曼滤波算法原理，具备算法设计与优化思维
3. 熟练使用MATLAB或Simulink进行建模与仿真，掌握C/C++,熟悉嵌入式开发、飞控仿真工具者优先。
【我们能提供】
1. 深耕无人靶机军工配套核心领域，避开消费级无人机内卷，深耕航空技术。
2. 完整、多谱系无人靶机成熟产品矩阵，无需参与低效、试错性产品研发投入，可直接对接量产、落地工程项目，快速积累工程化实操经验，高效提升技术能力。
【应聘方式】
简历命名格式：2027届-飞控算法工程师-学校-专业-姓名

截止日期：2027年07月15日
招聘人数：1人",MATLAB C++,https://www.liepin.com/lptjob/84154735
