job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
自动驾驶系统工程师-campus-2026,汽车零部件及配件科创板上市5000-10000人,13-23k·15薪,上海-徐汇区,上海,硕士,应届,7月30日更新,liepin,"职责描述:
1.负责ADAS/ADU产品系统开发和功能定义；
2.负责ADAS/ADU相关产品系统方案设计；
3.负责ADAS/ADU产品售前方案和实施评估；
4.负责项目过程中与客户的技术接口和问题沟通。
专业技术方向：
1.负责ADAS/ADU产品专业技术调研、开发、技术方案设计；
2.作为接口人，负责与公司内部对应的子系统工程师沟通，下发设计需求，指导设计思路，跟踪设计过程，审核设计成果；
3.作为接口人，负责对接外部供应商，负责技术需求释放、技术方案评审、开发过程追踪和管理等工作。
制造方向：
1.负责对整个制造过程设计中各要素，如工艺、设备、工装、包装、质检、出/入库等环节进行整合并加入系统性评估；
2.负责产品生产线工序、制程的的设计和规划；
3.负责产线不良产品问题分析。
任职要求:
1.硕士及以上学历，汽车、自动化、电子、工业工程等相关专业；
2.掌握汽车电子的基本概念，如通信诊断、电源电磁、硬件结构、软件OS、功能安全、信息安全、质量可靠性、成本归结等；
3.掌握ADAS和自动驾驶类功能基本知识，对传感器感知、车控算法、架构设计等有一定的了解；
4.掌握需求开发、需求管理、FMEA、DFM等工具；
5.至少在以下一个汽车电子技术领域有丰富的专业开发经历：ADAS/ADU和自动驾驶功能、雷达或光学等传感器、硬件、结构、软件和OS、工艺和生产、ECU认可和试验、电源电磁、功能和信息安全、架构和通信技术、AutoSAR等车用标准、ASPICE等管理过程、质量过程等。

截止日期：2026年08月26日
招聘人数：1人",SPI 方案设计 技术方案 FMEA ADAS,https://www.liepin.com/lptjob/76755173
自动驾驶感知算法工程师,人工智能美股上市1000-2000人,30-60k·15薪,上海-徐汇区,上海,本科,应届,90天前更新,liepin,"PnC自动驾驶系统研发工程师-Planning Infra方向

base-广州/深圳/武汉/上海/北京
工作内容：
负责自动驾驶环卫车在ARM平台的适配与性能优化（包括算法latency、cpu及内存使用率）， 解决运营测试过程中遇到的各类 semap 引起的算法adv fault 、node crash等问题。

岗位要求：
1、本科以上学历，计算机相关专业；
2、有丰富的C++ 和 python 开发经验，精通常用的数据结构和算法
3、有系统底层开发经验，较强的工程能力
4、熟悉ROS，Linux 开发环境
5、了解C++的新标准，C++11/C++14
6、熟悉面向对象编程（OOP）


加分项：
1、Top Coder. ACM竞赛获奖者；
2、自动驾驶项目经验；

截止日期：2027年01月16日
招聘人数：1人",ARM C++ Python ROS Linux C++11 C++14 OOP,https://www.liepin.com/lptjob/79807929
自动驾驶C++开发工程师,商汤科技SenseTime,200-300元/天,上海-徐汇区,上海,硕士,,90天前更新,liepin,"自动驾驶系统开发工程师（1人）

工作职责：
1. 负责传感器驱动开发，完成传感器数据接入与数据解析（相机、激光雷达、毫米波雷达、超声波雷达等）
2. 负责车辆环境部署，使能车辆的测试/采集等功能
3. 负责传感器时间同步方案设计与开发
4. 负责自动驾驶传感器设备的测评与选型评估
5. 负责传感器相关的问题debug，完成传感器功能迭代优化

职位要求：
1. 自动化、汽车、电子信息工程、计算机等相关专业
2.专业技术要求：
（1）良好的编程能力，熟悉Linux系统，熟悉C++编程语言，熟悉Git；
（2）熟悉各类传感器硬件的(毫米波雷达、激光雷达、相机、超声波等)开发应用;
（3）熟悉常见的网络通讯协议，包括CAN、UDP、TCP等
（4）有常见域控（地平线、英伟达等）的传感器接入、开发经验；

3.加分项：
（1）自动驾驶行业经验优先
（2）有自动驾驶传感器选型、测评经验优先
（3）有行车、泊车量产项目经验优先


招聘人数：1人",Linux C++ Git CAN 方案设计 UDP,https://www.liepin.com/lptjob/76594351
自动驾驶工程师（系统量产开发）,新能源汽车500-999人,薪资面议,上海-嘉定区,上海,本科,应届,90天前更新,liepin,"职位描述：
1.车辆传感器，ECU搭载设计
2.车辆项目管理及推进
3.面向自动驾驶的电子零部件benchmark调查

职位要求：
1.本科及以上学历，控制工程，车辆工程，电气电子工程，信息工程等相关专业
2.日语一级，听说读写能力佳
3.掌握电子零部件（毫米波/camera/lidar/ECU等）相关的基础知识
4.CATIA，CAD经验
5.持有国内C1驾照
6.能够熟练使用各类办公软件（Word、Excel、PPT等）
7.有良好的沟通表达及协调能力，乐于接受挑战，有自主行动力


截止日期：2026年12月15日
招聘人数：1人",LiDAR 项目管理 camera CATIA Word Excel,https://www.liepin.com/lptjob/79132015
自动驾驶数据平台后端实习生,Baidu,200-400元/天,北京-海淀区,北京,硕士,,90天前更新,liepin,"工作职责：
-运用数据分析工具和技术，对自动驾驶数据进行深入分析和挖掘，为算法团队提供高质量的数据支持。
-独立完成数据处理任务，具备搭建数据处理后端服务的能力，确保数据处理的准确性和高效性。
-与自动驾驶算法工程师、系统工程师等紧密合作，基于数据分析结果优化数据生产能力，提升自动驾驶系统的性能。
-跟踪自动驾驶和数据分析领域的最新动态，积极提出并推动技术改进和创新，为团队的技术发展贡献力量。

任职资格
-计算机科学或相关领域的本科及以上学历在校生，对自动驾驶或数据处理领域有浓厚兴趣。
-熟练掌握至少一种数据分析工具（Python），具备基本的数据库操作能力，了解数仓的基本使用。
-对常用的后端服务框架（如Tornado等）有所了解，对服务工程化有基本认识。
-具备良好的逻辑思维能力，对大数据处理、分布式计算等技术有基本了解和实践经验。
-具备良好的团队协作精神和沟通能力，能够积极融入团队，共同完成项目任务。
加分项：
有参与大型自动驾驶项目或数据分析项目的实战经验，能够展示实际成果。熟悉机器学习、深度学习等人工智能算法在自动驾驶中的应用，有相关实践经验。熟悉GO等高性能编程方法，具备相关项目经验。



招聘人数：1人",Python Tornado 分布式 机器学习 深度学习 Go 数据分析,https://www.liepin.com/lptjob/67679515
自动驾驶系统测试工程师(A17994),高域科技,15-25k·15薪,广州-黄埔区,广州,学生可投,经验不限,今日更新,liepin,"职位描述：
【岗位职责】
“探测与避让（DAA）”系统及全自动飞行系统的验证工作，确保系统零部件能通过电磁和环境试验，验证其在复杂低空环境下的感知、定位与规划决策的安全性与可靠性。
- 流程体系：负责完善低空场景的测试体系，包括试飞测试流程、仿真测试功能。
-  DV/PV测试：负责按照DO160等航空标准进行智能驾驶系统零部件的DV和PV测试
- 测试规划：负责低空自动飞行系统的整体测试计划制定。
- 功能测评：负责针对感知和规划算法功能，建立测试用例与集合。
- 问题推动：负责整理并反馈测试发现的问题，进行定位分析、Bug流转、推动解决，跨组问题跟踪。
- 报告整理：负责输出试验报告，根据功能定义给出针对性的测试结论，以及暴露潜在的异常问题。
- 技术支持：参与软件部署与交付，跨部门提供技术与试验支持。


职位要求：
【任职要求】
- 计算机科学、自动化、航空航天、车辆工程或相关专业本科及以上学历。
- 2 年以上自动驾驶（L2-L4 级）或航空器系统测试经验。
- 熟悉感知、定位或规划模块的基本原理，了解深度学习原理。
- 熟悉DO160等航空零部件的测试标准和规范。",深度学习 测试计划 测试用例 技术支持 DAA DV L2-L4,https://www.liepin.com/job/1980979451.shtml
自动驾驶系统工程师,北京轻舟智航智能技术有限公司,20-40k·15薪,芜湖-鸠江区,,学生可投,经验不限,5月11日更新,liepin,"职位描述
1. 与客户对接，根据项目开发过程，完成客户要求的各项交付物；
2. 对客户需求进行可行性评估，并据此创建相应硬件/软件功能需求以及相应的性能指标，形成需求文档；
3. 依据标准产品功能以及客户定制化的需求，设计智能驾驶解决方案系统架构，并制定相应技术方案，形成架构和方案文档；
4. 在开发过程中，与软硬件开发团队、测试团队深度协作，跟踪落实需求的实现和验证；
5. 分析内部/外部测试问题，进行责任划分，制定解决方案，跨团队、跨部门沟通合作解决产品关键技术问题；
岗位要求
1. 本科及以上学历，计算机、车辆工程、电子工程、机器人自动化类相关专业；
2. 有 3 年以及以上智能驾驶行车、泊车或主动安全产品系统开发和应用经验，熟悉智能驾驶关键技术栈，有智能驾驶解决方案量产交付经验；
3. 具备智能驾驶产品架构设计，功能定义、需求定义，接口定义能力；
4. 熟悉智能驾驶市场发展趋势，国内外法律法规（CNCAP/ENCAP/i-Vista/CCRT等）、市场主流解决方案；
5. 充分了解智能驾驶控制器在车辆上的系统架构以及对相关联 ECU 的需求（底盘/动力/显示单元等）、交互接口及逻辑；
6. 熟悉ASPICE 开发流程；
7. 优秀的文档输出能力，良好的团队沟通与协作能力，快速学习以及较好的抗压能力。",SPI 技术方案 CNCAP ENCAP ECU,https://www.liepin.com/job/1980893683.shtml
自动驾驶系统工程师,主函数智能,10-20k,长沙-岳麓区,长沙,学生可投,1-3年,5月21日更新,liepin,"岗位职责：
1. 负责自动驾驶系统平台层（Platform） 的开发与维护，包括底层通信、进程管理、日志系统、健康监控等基础服务模块；
2. 参与 V2X（车云调度协同） 模块的设计与实现，处理车与调度、车与云端之间的数据交互；
3. 实现与云端调度系统的稳定通信，支持任务下发、状态上报、远程控制等业务逻辑；
4. 基于 Linux 环境，使用 C / C++ 进行高性能、低延迟的系统级编程；
5. 优化平台层的资源占用与实时性表现，保障自动驾驶系统的长期稳定运行；
6. 协助应用层算法与中间件团队进行联调，定位并解决底层系统相关问题。
任职要求：
- 专业背景：软件工程、计算机科学、自动化、通信工程等相关专业，软件工程专业优先；
- 语言能力：扎实的 C / C++ 编程功底，熟悉现代 C++（C++11/14/17）特性，具备良好的编码规范意识；
- 操作系统：熟悉 Linux 环境下的多线程、网络编程、进程间通信（IPC）、内存管理及调试工具（gdb、perf、strace 等）；
- 通信协议：理解 MQTT 协议原理及使用场景，有 Protobuf 序列化经验者优先；
- 系统开发经验：有中间件、基础平台或嵌入式 Linux 平台开发经验者优先；
- 加分项：
  - 熟悉 Docker、CMake、Git 等工程化工具；
  - 有自动驾驶、机器人或智能交通相关项目经验。",Linux C++ MQTT Protobuf Docker CMake Git,https://www.liepin.com/job/1982724161.shtml
自动驾驶系统工程师,主函数智能,10-20k,咸阳-渭城区,,学生可投,1-3年,5月21日更新,liepin,"岗位职责：
1. 负责自动驾驶系统平台层（Platform） 的开发与维护，包括底层通信、进程管理、日志系统、健康监控等基础服务模块；
2. 参与 V2X（车云调度协同） 模块的设计与实现，处理车与调度、车与云端之间的数据交互；
3. 实现与云端调度系统的稳定通信，支持任务下发、状态上报、远程控制等业务逻辑；
4. 基于 Linux 环境，使用 C / C++ 进行高性能、低延迟的系统级编程；
5. 优化平台层的资源占用与实时性表现，保障自动驾驶系统的长期稳定运行；
6. 协助应用层算法与中间件团队进行联调，定位并解决底层系统相关问题。
任职要求：
- 专业背景：软件工程、计算机科学、自动化、通信工程等相关专业，软件工程专业优先；
- 语言能力：扎实的 C / C++ 编程功底，熟悉现代 C++（C++11/14/17）特性，具备良好的编码规范意识；
- 操作系统：熟悉 Linux 环境下的多线程、网络编程、进程间通信（IPC）、内存管理及调试工具（gdb、perf、strace 等）；
- 通信协议：理解 MQTT 协议原理及使用场景，有 Protobuf 序列化经验者优先；
- 系统开发经验：有中间件、基础平台或嵌入式 Linux 平台开发经验者优先；
- 加分项：
  - 熟悉 Docker、CMake、Git 等工程化工具；
  - 有自动驾驶、机器人或智能交通相关项目经验。",Linux C++ MQTT Protobuf Docker CMake Git,https://www.liepin.com/job/1982724163.shtml
自动驾驶系统集成工程师,临工重机,10-20k,济南-历城区,济南,学生可投,1-3年,90天前更新,liepin,"1、负责无人驾驶矿卡自动驾驶系统整车集成方案设计，包括传感器布局、域控制器安装、电气架构设计、线束设计，适配矿山防尘防水防震动的恶劣工况；
2、负责自动驾驶系统与公司自有线控底盘的集成适配，包括 CAN/LIN 网络调试、接口协议开发、线控系统联调，保障系统通信稳定与执行可靠；
3、负责传感器安装、标定、校准与日常维护，包括激光雷达、相机、毫米波雷达、组合导航的标定方案设计与实车执行；
4、负责自动驾驶系统实车集成联调、电气性能测试、EMC/EMI 优化、可靠性验证，解决集成过程中的硬件、电气、通信相关问题；
5、配合矿场现场系统部署、调试与交付，输出集成相关文档，配合 MA 认证、功能安全相关集成验证工作。",CAN 方案设计 性能测试 LIN EMC EMI MA,https://www.liepin.com/job/1980682461.shtml
