job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
国昇数智数据工程部主管,苏州高新区国有资本控股集团,23-32万/年,苏州·高新区,苏州,本科,5年及以上,2026-06-11 09:15:45,job51,"35周岁及以下，本科及以上学历，机器人与智能系统、计算机科学与技术、大数据、人工智能、软件工程，基础理学类等具身智能相关专业毕业。
应聘人员需具备5年以上数据管理、数据治理或数据资产化相关领域工作经验，其中至少2年聚焦具身智能、机器人或AI行业的数据体系搭建与管理实践；熟悉数据全生命周期管理，具备数据治理框架设计、数据标准制定、数据质量评估等能力；对数据资产化路径有实际参与或深入研究经验者优先；良好的跨部门沟通协调能力，能推动业务与技术部门协同构建数据管理体系。
具体薪资面议",数据治理,https://jobs.51job.com/suzhou-gxq/172507363.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
高级研究员,苏州欧米洛电子科技,30-45万/年,苏州·相城区,苏州,博士,无需经验,2026-07-15 18:05:43,job51,"1、在密码、量子计算、信息安全、人工智能其中的一个方向开展深入研究，组织带领团队完成相关课题的研究攻关；
2、申报国家、省部级课题和重点研发计划项目；
3、结合课题研究内容撰写学术论文、申请相关专利；
4、参与相关方向的学术会议和产业会议，推动成果落地转化；
5、完成公司交办的其他工作。
要求：
1、博士学历，理工科专业（金融工程、数字经济、计算机、电子信息、人工智能、密码学类、理工科类等相关专业）；
2、在人工智能、大数据、区块链、密码应用等金融科技领域具有丰富的研究和实践经验；已取得相关突出成果者；
3、具有国家重点研发项目经验和指南编写经验；
4、工作年限无要求",专利,https://jobs.51job.com/suzhou-xcq/172926036.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
AI智算售前技术经理,苏州麦迪斯顿医疗科技,1.5-2万,苏州,苏州,本科,3年及以上,2026-08-05 16:08:24,job51,"岗位职责
1、技术赋能销售：作为销售团队的核心技术搭档，独立负责AI服务器、智算中心、大数据及信创等领域的项目，主导客户技术交流、需求挖掘与引导，提供专业解决方案以促成业绩达成。
2、方案设计与呈现：独立完成从需求分析、产品选型、方案编写到PPT制作的全过程，并能面向客户进行高质量的方案宣讲与演示，精准传递产品价值。
3、招投标全流程负责：独立主导投标项目，负责技术方案撰写、产品配置与询价、标书整合及现场述标答疑，对中标率负责。
4、项目全周期管理：承担售前项目经理角色，协调内外部资源，推动项目从售前支持到中标交付的有序进行，确保项目顺利转化。
5、行业知识沉淀：建立并持续更新所负责领域的售前技术资料库、典型案例和标准化方案，提升团队整体作战能力。
任职资格
1、经验要求：本科及以上学历，计算机、通信、人工智能等相关专业；具备3年以上IT行业售前工作经验，有中科曙光、华为、新华三、浪潮等主流厂商背景者优先。
2、技术能力：
a、硬件基础：精通AI服务器（GPU/NPU）、存储、交换机等硬件产品技术体系。
b、架构视野：熟悉超算/智算中心整体架构（计算/存储/网络/安全/管理），了解AI大模型训练/推理的算力配置与集群方案。
c、信创专家：深刻理解国产化（信创）生态，熟悉海光、鲲鹏、飞腾等CPU及麒麟、统信等操作系统。
3、核心素质：
a、独立作战：具备极强的自驱力和独立工作能力，能同时支持多个销售项目并高效推进。
b、沟通表达：拥有出色的方案撰写能力（PPT/Word）和现场演讲能力，能与客户各级别人员进行有效沟通。
c、流程精通：熟悉招投标及政府采购流程，有从0到1支持项目中标的成功案例。",大模型 方案设计 需求分析 招投标 投标 技术方案 采购,https://jobs.51job.com/suzhou/173163801.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
解决方案工程师,苏州企业征信服务,20-30万/年,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-08-03 13:38:56,job51,"任职要求：
1. 综合素质要求： 具备良好的政治素质与职业操守，逻辑思维严密，拥有极强的文字功底和汇报材料编写能力（擅长PPT、技术白皮书、立项申报书等撰写）。
2. 专业技术背景： 计算机、软件工程等相关专业背景。懂技术原理，但不局限于代码细节。拥有扎实的Java体系或大数据技术栈（Doris/Flink等）认知，熟悉主流分布式系统架构与微服务体系，能够独立进行技术架构评估。
3. 行业经验要求： 具备金融科技、数据仓库或数据安全领域从业经验。熟悉数据全生命周期管理，对隐私计算、数据脱敏、加密传输等数据安全技术有深入理解者优先。
4. 复合能力要求： 具备“技术+业务”的双向转化能力。既能与技术人员探讨底层实现，又能向管理层清晰阐述技术价值。具有中大型项目（特别是金融行业数据仓库建设经验）的方案规划与实施经验者优先。
岗位职责：
1. 技术方案设计与规划： 负责金融数据可信空间及征信数仓项目的整体技术路径规划。主导撰写各类技术立项报告、系统架构设计方案、实施路线图及汇报材料，确保技术方案既满足业务需求，又符合金融行业安全合规标准。
2. 关键技术攻关与标准制定： 负责制定数据接入、存储、治理及安全共享的技术标准与规范。针对隐私计算、大数据处理等核心技术难点进行可行性分析与选型，构建自主可控的技术底座标准体系。
3. 技术把控与项目管理： 作为技术接口人，负责连接业务部门与开发团队。对开发过程进行深度技术管控，负责代码质量审计、架构评审及系统验收，确保交付成果符合设计初衷，规避技术债务风险。
4. 创新应用探索： 跟踪行业前沿技术（如隐私计算、大模型应用等），结合公司业务场景输出创新应用解决方案，并推动POC（概念验证）测试与落地。",Java Doris Flink 分布式 微服务 加密 大模型 技术方案 安全合规 项目管理 审计,https://jobs.51job.com/suzhou-gyyq/170949464.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
AI应用工程师,思码睿猎人才咨询（上海）,1.8-2万·14薪,苏州,苏州,本科,3年及以上,2026-07-06 11:26:29,job51,"岗位职责：
研究市场主流AI工具（如飞书、OpenCLAW、Agent等），评估其在公司业务中的适用性。
负责AI工具的POC（概念验证）测试，输出可行性报告及落地建议。
推动AI工具的引入、部署及集成，确保与现有系统的兼容性。
为业务部门提供技术支持，解决AI工具使用中的技术问题。
跟踪AI技术发展，持续优化公司AI应用生态

任职资格：
本科及以上学历，计算机、数据科学、统计学等相关专业，3年以上数据治理或数据开发经验。
精通SQL，熟悉Python/Java/Golang至少一种编程语言。
熟悉Oracle、MySQL、PostgreSQL等数据库的权限管理、数据备份等，熟悉SQL语句的优化。
熟悉数据仓库方法论、理解维度建模，熟悉多项大数据治理/分析相关的工具/框架，如Hadoop、Spark、Flink、Kafka等。
有主流数据治理平台（如Apache Atlas、Datahub）使用或开发经验。
熟悉数据仓库/数据湖架构，熟悉Hive、Iceberg、Hudi等技术。
了解常见的机器学习/深度学习算法，如线性回归、决策树、随机森林、CNN、RNN等。
对AI技术充满热情，有制造业数据治理经验者优先，熟悉光模块行业数据特点者更佳",Agent SQL Python Java Golang Oracle MySQL PostgreSQL Hadoop Spark Flink Kafka Hive 机器学习 深度学习 技术支持 数据治理,https://jobs.51job.com/suzhou/172803083.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
AI应用工程师,庆虹电子（苏州）,1.5-2.5万,昆山,苏州,本科,2年及以上,2026-08-06 08:33:30,job51,"岗位职责
一、企业AI平台建设
1. 负责公司AI应用平台规划、建设和运营；
2. 基于私有化大模型（如Qwen、DeepSeek等）进行企业AI能力建设；
3. 负责大模型部署、优化、调优及应用集成；
4. 建设企业知识库（RAG）、智能问答、AI Agent等应用；
5. 推动AI与现有系统（ERP/MES/MOM/WMS/PLM/OA等）的融合。
二、制造业务AI应用开发
参与并推动以下场景落地：
 1. 研发领域：产品设计辅助AI、工程文件智能分析、- BOM智能检查、 图纸、规格书智能解析、技术资料知识库、工艺参数辅助分析、 研发经验沉淀等
2. 生产制造领域：生产异常智能分析、 制造过程数据分析、- 工艺优化辅助、设备运行数据分析、 质量问题根因分析、 AI辅助改善报告生成等；
3. 生产计划与排程：AI智能排产、APS智能优化、生产资源优化、订单交付预测、产能分析、 物料需求预测等；
4. 质量管理AI应用：AI质量分析、缺陷分类、检验数据分析、质量报告自动生成、8D报告辅助生成等；

任职要求
教育背景：本科及以上学历：计算机科学、人工智能、 软件工程、自动化、数据科学等相关专业。
技术能力：必须具备：
1. 熟悉Python开发；
2. 熟悉以下至少一种AI技术：大语言模型LLM、 RAG知识库、Prompt Engineering、Agent应用开发；
3. 熟悉： REST API、数据库、Linux环境；
4. 具备AI应用项目开发经验。
加分能力
大模型方向具备：
- Qwen、DeepSeek、Llama、 ChatGLM等国产或开源大模型部署经验。
熟悉：
- Ollama、vLLM、FastChat、Open-WebUI优先。",大模型 RAG AI Agent Python LLM Prompt Gin Agent Linux 知识库 产品设计 数据分析,https://jobs.51job.com/kunshan/173168430.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
AI大数据分析工程师(A07006),苏州旭创科技,1.5-2万·15薪,苏州·苏州工业园区,苏州,本科,2年及以上,2026-08-03 17:05:03,job51,"职位描述：
生产测试数据全链路管理
1.对接生产测试环节的各类数据源（如测试设备终端、测试管理系统、MES 系统等），设计并落地多维度测试数据（测试参数、测试结果、测试耗时、设备状态、产品批次信息等）的采集方案，确保数据实时、完整、准确归集。
2.搭建生产测试数据专属数据集市，制定数据清洗、标准化、脱敏规则，建立数据质量校验机制（如异常值剔除、缺失值补全），保障测试数据的可用性与一致性，为后续分析提供可靠数据基础。
测试效率优化数据分析
1.基于测试数据，分析生产测试全流程的效率瓶颈，包括但不限于：单工位测试耗时过长、测试设备闲置率高、测试流程重复冗余、不同批次产品测试效率差异异常等。
2.运用统计分析、对比分析、流程拆解等方法，定位效率瓶颈根源（如某测试步骤参数设置不合理、测试设备老化导致测速下降），构建测试效率评估模型（如单位时间测试量、测试流程达标率），输出可落地的效率优化建议（如优化测试参数、调整测试工位布局、制定设备轮换维护计划）。
品质风险识别与预警分析
1.挖掘测试数据与产品品质的关联关系（如特定测试参数异常与产品不良率的相关性、测试结果波动与后续使用故障的关联性），识别潜在品质风险点（如测试合格但存在隐性缺陷的产品特征、某类测试设备检测精度下降导致的漏检风险）。
2.构建品质风险分析模型，量化风险等级（如高 / 中 / 低风险批次、风险影响范围），设定风险预警阈值（如某测试参数偏离正常范围的临界值），开发自动预警机制，当测试数据触发预警时，及时推送风险信息至生产、质检部门，协助快速介入排查。


职位要求：
1.本科及以上学历，统计学、大数据科学与技术、计算机应用技术、电子工程、工业工程、质量管理工程等相关专业。
2.具备生产测试流程基础知识，了解电子、机械、汽车零部件等行业生产测试环节（如功能测试、性能测试、可靠性测试）的基本逻辑与核心指标者优先。
3.熟练使用 Python（掌握 Pandas、NumPy、Scipy 等数据分析库）、SQL，能独立完成生产测试数据的清洗、筛选、聚合、关联分析等操作；熟悉 Hadoop、Spark 等大数据框架，具备百万级及以上测试数据处理经验者优先。
4.掌握数据仓库建模方法（如星型模型、维度建模），有生产测试领域数据仓库或数据集市搭建经验，能设计贴合测试效率与品质风险分析需求的数据模型者优先。
5.精通统计分析（如描述统计、假设检验、相关性分析）、机器学习基础算法（如逻辑回归、决策树、聚类算法），能独立构建测试效率优化模型、品质风险识别模型。
6.有生产测试流程优化、品质风险管控相关项目经验，或曾主导 / 参与通过数据分析实现测试效率提升、不良率下降的项目者优先。",Python SQL Hadoop Spark 机器学习 数据分析 功能测试 性能测试 流程优化,https://jobs.51job.com/suzhou-gyyq/173134370.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
AI数据中心工程师,苏州玖隆再生科技集团,1-1.2万,苏州,苏州,本科,3年及以上,2026-06-26 09:42:46,job51,"负责公司数据治理、数据运维分析及AI模型落地、轻量化AI应用搭建，兼顾基础IT支撑工作，助力企业数字化、智能化升级；

- 本科及以上学历，计算机、大数据、人工智能、软件工程等相关专业，3年以上相关工作经验。
- 熟练掌握Python、SQL，精通主流数据库，熟悉数据治理、数据分析及可视化相关工作。
- 了解AI模型微调、轻量化部署、容器化运维，具备AI应用落地实操经验。
- 熟悉Linux基础操作，具备独立排查数据、系统、模型常见故障的能力。 
- 工作严谨负责，具备良好的沟通协作能力和自主学习能力，有业务思维。",Python SQL 容器化 Linux 数据治理 数据分析,https://jobs.51job.com/suzhou/172697256.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
大数据开发工程师,安德烈斯蒂尔动力工具（青岛）,2-3.5万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-13 15:47:53,job51,"一、岗位职责
1.	设备统筹与生产协调：负责数据采集设备的整体统筹规划，与研发团队、工厂紧密协作，完成数据采集设备的制作与生产，保障设备性能适配户外智能割草机器人数据采集需求。
2.	场景规划与数据采集：依据 AI 识别场景需求，自主筛选合适的外部场景或搭建模拟场景，开展全面的数据采集工作，确保采集数据覆盖欧美花园等典型应用场景。
3.	方案制定与协作：深入与 AI 算法工程师沟通，精准把握数据需求，制定并输出完整、可落地的数据采集方案，支撑算法模型训练与优化。
4.	数据全流程管理：全程把控数据采集、标注、验收工作，规范数据归档流程，保障数据质量与完整性，为机器人功能迭代提供可靠数据支撑。
5.	海外数据采集：按需出差至欧美地区，与当地工程师协同开展数据采集工作，深度获取欧美花园场景下的机器人运行数据 。

二、任职要求
1.	专业技能
-精通机器人数据采集方法与流程，熟悉图像数据、定位数据、VSLAM 数据格式，具备多模态数据处理能力。
-熟练使用 Python 进行数据采集脚本编写与处理，熟悉大模型文生图软件（如 Midjourney 等），能辅助数据采集与场景模拟。
-深入理解欧美花园场景特点，熟悉智能割草机在该场景下的运行需求与数据采集要点。
2.	工作经验：拥有户外智能设备数据采集经验，有割草机器人、清洁机器人等相关领域工作经历者优先。
3.	综合能力
-英语流利，可无障碍进行海外技术交流与协作，胜任欧美出差工作。
-具备高度责任心与数据敏感度，熟悉数据全生命周期管理流程，能高效完成数据采集全流程工作。
-擅长团队协作，与 AI 算法工程师等跨部门团队保持良好沟通，保障数据采集工作高效推进。",SLAM 多模态 Python 大模型 文生图 数据采集,https://jobs.51job.com/suzhou-gyyq/172890255.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
数据库工程师（数据治理与建模）,苏州福柯思电气,10-20万/年,太仓,苏州,本科,3年及以上,2026-07-23 10:07:45,job51,"岗位职责：
1、行业数据治理体系建设
1.1负责梳理公司内部（如ERP、MES、SCADA）及外部（设备运行）数据来源，辅助制定行业数据治理规范，包括数据标准、数据质量检核规则及元数据管理。
1.2建立数据全生命周期管理流程，针对电气设备台账、实时运行数据、故障代码等核心数据资产，进行标准化定义，确保“数出同源”。
2、业务数据建模与应用
2.1深入理解电气控制业务场景（如：配电损耗分析、设备健康度评估），进行业务数据建模，构建主题模型（如设备画像、故障预测模型特征宽表）。
2.2负责数据仓库或数据湖的模型设计（如维度建模），将多源异构数据（结构化、时序、日志）进行整合，为前端BI报表和算法团队提供高质量、易理解的数据服务。
3、数据库架构与性能保障
3.1负责核心数据库（SQL Server/MySQL/时序数据库）的架构优化，保障在复杂分析查询下的性能稳定。
3.2支持数据开发团队，进行SQL性能调优和ETL流程优化。
任职要求：
1、 本科及以上学历，计算机、自动化、数学/统计学相关专业。
2、3年以上数据相关工作经验，其中至少1年专注于数据治理或数据建模工作，有电气、能源、工业物联网行业背景者优先。
3、 熟悉DAMA或DCMM数据治理体系，有实际参与过数据标准制定、数据质量改进项目的经验；对电力行业常见的业务术语（如：线损、功率因数、拓扑结构）有快速学习能力或了解。
4、精通SQL，具备扎实的数据仓库建模理论（如Kimball维度建模），能独立完成从业务调研到逻辑/物理模型的设计；有Python或Scala数据分析经验者更佳。
5、精通至少一种主流关系型数据库（MySQL / SQL Server / PostgreSQL）的管理与优化。熟悉ETL工具（如DataX、Kettle、SeaTunnel）及调度框架（如Airflow、DolphinScheduler）。了解时序数据库（TDengine / InfluxDB）或大数据组件（Hive / Spark）者优先。
6、 具备将“电气业务问题”转化为“数据技术问题”的能力，能够主动与业务部门（生产、运维、销售）沟通，挖掘数据需求。
7、逻辑严谨，对数据敏感，能从杂乱的数据中抽象出规律，并形成规范文档。
8、 熟悉电力行业标准（如CIM模型）或有参与电网信息化项目建设经验者， 有数据治理工具（如Atlas、DataHub）或数据可视化工具（Tableau、FineReport）使用经验者， 持有CDMP（数据管理专业人士认证）或相关云厂商数据认证者优先。",SQL Server MySQL SQL Python Scala PostgreSQL DataX Airflow Gin Hive Spark 数据治理 流程优化 数据分析,https://jobs.51job.com/taicang/170623662.html?s=sou_sou_soulb&t=0_0&req=2bc238bdb82e22d3476e74f715e107e6
