job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
嵌入式软件工程师,苏州市悠越电子,1.2-2.4万,苏州·高新区,苏州,本科,5年及以上,2026-08-07 13:39:12,job51,"负责汽车氛围灯控制系统的核心软件开发，确保产品与车辆网络无缝集成。具体工作包括： 
1、嵌入式软件开发：基于MCU（微控制器）平台，使用C语言进行氛围灯控制软件的设计、编码和调试。 
2、总线通信集成：实现CAN和LIN总线通信协议，负责氛围灯与车辆ECU（电子控制单元）的数据交换和命令处理。 
3、系统架构设计：参与软件架构规划，优化代码性能、功耗和可靠性，确保符合汽车行业标准（如AUTOSAR或功能安全要求）。 
4、测试与验证：进行单元测试、集成测试和实车测试，排查软硬件问题，确保产品稳定性和安全性。 
5、跨团队协作：与硬件工程师、测试工程师紧密合作，完成软硬件联调和技术文档编写。 
6、技术升级：跟踪汽车电子新技术，持续改进氛围灯功能（如动态效果、OTA升级等）。

要求：
1、 有单片机开发经验，偏软件，熟悉常用的开发工具，有一定的单片机编程经验；
2、 熟练掌握汇编语言和C语言；
3、5年以上相关经验。",MCU C语言 CAN 单片机 汇编 技术文档,https://jobs.51job.com/suzhou-gxq/173189877.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
IC驱动开发工程师,芯鼎微（中山）光电半导体,1.5-2.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-15 11:20:38,job51,"工作职责：
 1. 负责面板显示驱动IC芯片中ARM/RISC-V等内核的驱动开发、移植、编译与调试工作。 
 2. 深入理解编译器、解释器原理，适配编译器支持自研IC的硬件特性，具备扎实的算法基础，能够将伪代码脚本翻译为指令序列导入内核执行。
 3. 能够独立完成产品模块设计、单元测试、系统集成与验证，确保驱动的稳定性、性能及功耗达到产品设计要求。
 4. 协助硬件、IC团队进行芯片Bring-up、功能验证和问题定位，提供驱动层面的专业支持。

岗位要求：
 1. 学历专业： 计算机、电子、信息、通信等相关专业, 3年以上嵌入式开发调试经验。
 2. 熟练掌握C/C++/Python等编程语言，对汇编有了解。
 3. 熟悉ARM/RISC-V处理器结构，熟练掌握嵌入式交叉编译环境和软件调试工具，具有数电模电基础;
 4. 具有较强逻辑分析能力、学习能力和独立解决问题的能力;
 5. 有良好的英语读写能力，工作态度积极主动，有良好的团队合作精神。",ARM C++ Python 汇编 产品设计 RISC-,https://jobs.51job.com/suzhou-gyyq/172553935.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
机器人系统软件工程师,苏州镁伽科技,2.5-3.5万·16薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 16:08:47,job51,"工作职责:
1、负责机器人系统软件架构设计、核心模块开发与集成。
2、主导机器人操作系统(比如ROS 2、RTOS)、中间件(比如实时主站)、驱动及硬件抽象层的开发与优化。
3、与硬件、嵌入式、算法等团队协作，实现传感器数据流、运动控制、任务调度等系统模块的高效实时处理，优化系统整体性能。
4、保障系统稳定性、安全性与性能，解决底层关键技术难题。
5、编写核心代码、技术文档，主导代码审查，推动团队工程能力提升。
任职资格:
1、计算机、自动化、机器人等相关专业本科及以上学历，5年以上系统软件开发经验，需有机器人行业工作经验。
2、精通C++，熟悉Python，具备扎实的Linux系统、多线程/进程、网络编程能力。
3、熟悉机器人操作系统（ROS 2、RTOS），熟悉实时主站，有完整的机器人产品系统开发与部署经验。
4、熟悉常见的传感器、执行器通信与驱动开发（如EtherCAT、CAN等）。
5、具备嵌入式系统、实时系统或高性能计算优化经验者优先。
6、具备优秀的系统调试、性能分析与解决问题能力，能独立主导技术模块。",ROS RTOS C++ Python Linux CAN 技术文档,https://jobs.51job.com/suzhou-gyyq/173193686.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
PC软件工程师,苏州欣华锐电子,8千-1万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 17:34:59,job51,"1.架构设计：负责 PC 端应用软件的整体架构设计，包括分层架构规划、模块划分、接口定义、数据流设计，搭建可扩展、可维护的软件架构。
2. 上位机通信开发：负责 PC 端与设备之间的通信协议设计与开发，精通网口（Ethernet/TCP/IP）、Type-C、USB 等主流通信接口的驱动开发与数据交互。
3. 设备控制软件：开发设备控制与数据采集上位机软件，实现设备状态监控、参数配置、数据上传下载、固件升级等功能。
4. 驱动开发：完成 USB 设备驱动、WinUSB/libusb 通用驱动封装、Type-C PD 协议交互、网口通信协议栈（Modbus TCP/UDP/自定义协议）的开发与调试。
5. 界面开发：负责 PC 端图形界面（GUI）设计与开发，提供直观、易用的设备控制与数据可视化界面。
6. 跨平台适配：完成软件在 Windows 与 Linux 双平台的编译与运行适配，维护跨平台构建脚本与 CI/CD 流程。
7. 调试与测试：使用主流开发工具进行代码调试、性能分析与单元测试，使用 Wireshark、USBlyzer 等协议分析工具进行通信报文抓包与问题定位。
8. 技术文档：编写软件架构设计文档、接口协议文档、调试手册及用户手册，其中含英文技术文档编写。
9. 跨团队协作：与嵌入式软件工程师、硬件工程师协作，对接设备固件协议、驱动接口与硬件寄存器映射，推动产品联调闭环。
10. 技术预研：跟踪 PC 端技术发展趋势，评估新技术方案（如微服务架构、跨平台框架、高性能通信等），完成技术调研与原型验证。",TCP/IP Modbus Linux CI/CD 微服务 数据采集 技术文档 技术方案,https://jobs.51job.com/suzhou-gyyq/173195865.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
高级ARM软件工程师,固德威技术,2.5-4.5万,苏州,苏州,本科,3年及以上,2026-08-07 14:39:52,job51,"""岗位职责：
1、光伏逆变器产品通信及接口软件设计开发，编写代码，调试，测试以及试产与量产相关工作。
2、在现有产品基础上，进行功能升级，满足客户定制化要求。
任职要求:
1、5年以上新能源物联网行业嵌入式工作经验，精通C语言，熟练使用STM32系列MCU。
2、熟悉UCOS-III、RTThread操作系统
3、熟悉WiFi，GPRS，以太网的TCP/IP网络协议。熟悉各种编程工具以及行业工具的使用，诸如编译工具、调试工具、代码查看工具、代码比较工具、抓包工具、代码管理工具等。
4、能设计外围接口，如:UART、USB、CAN、EARTHNET电路等""",C语言 STM32 MCU WiFi TCP/IP UART CAN,https://jobs.51job.com/suzhou/173191450.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
嵌入式软件工程师（苏州）,铭剑电子（南昌）,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 13:08:09,job51,"岗位职责
1）根据系统或产品功能要求，负责嵌入式程序开发；
2）负责上位机软件开发和自动测试程序；
3）协助系统整体调试、测试。
任职要求
1）统招本科及以上学历，电子、通信、测控、控制、软件、自动化等相关专业；
2）熟悉嵌入式系统，3年以上嵌入式软件开发经验；
3）具备FPGA/硬件电路设计/软件开发能力者优先；
4）熟悉测试系统软件开发者优先。
本岗位需要配合客户项目出差提供技术支持。",FPGA 技术支持,https://jobs.51job.com/suzhou-gyyq/173189472.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
嵌入式驱动（BSP开发）工程师,苏州天准科技,1.5-2.7万·15薪,苏州·虎丘区,苏州,本科,3年及以上,2026-07-29 10:37:53,job51,"岗位职责：
1. 根据产品的功能需求，负责嵌入式软件实现方案的设计、系统总体架构设计及详细设计；
2. 负责产品核心模块的详细设计和编码工作；
3. 负责软件模块的单元测试和参与软件的集成测试；
4. 负责软硬件系统的联调、验证及发布和相关开发设计文档、测试文档的编写与整理；
5. 负责嵌入式Linux内核的移植与裁剪，Linux底层驱动的开发与调试；
6. 配合硬件工程师进行硬件和驱动程序的联合调试；
任职要求：
1. 本科及以上学历，CET4以上，计算机、通信或电子工程类相关专业；
2. Linux BSP，内核和驱动开发4年以上相关工作经验；
3. 有配置相机Camera相关的工作经验优先；
4. 精通C/C++语言，精通嵌入式Linux操作系统开发；具备UART、I2C、SPI、SDIO、USB、Ethernet、MIPI、CAN、PCIE及其他相关外围设备驱动开发经验；熟悉网络编程、熟悉Socket开发，熟悉TCP/IP；
5. 具有良好的编程风格与文档习惯，良好的英语读写能力，能阅读大量英文文档；
6. 具备独立的研发能力，良好的沟通能力和较强的学习能力、动手能力及分析能力，能快速掌握新技术；
7. 有较强的责任心、执行力，具备较好的抗压能力、良好的沟通能力及团队合作精神。
8.有芯驰、地平线平台相关开发经验者优先；有ASPICE 经验优先；",嵌入式Linux Linux C++ UART I2C SPI CAN PCIe TCP/IP,https://jobs.51job.com/suzhou-hq/173078127.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
资深IE工程师,苏州卡门哈斯激光技术,1-2万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 10:39:29,job51,"一、岗位职责
1. 制造系统规划与产能战略
·负责新厂区/新产线的全流程规划（概念至落地），统筹水电气配给、物流通道及洁净度分区，满足激光光学高精度制造要求。
·建立并维护公司级产能模型，精准测算人力、设备及场地需求，为经营决策提供数据支撑。
2. 精益生产体系搭建
·从0到1搭建或优化现有精益生产管理体系（含组织架构、流程制度、考核激励）。
·搭建公司级提案改善平台，营造全员改善文化，定期组织精益主题会。
·主导价值流图分析，重点识别振镜组装与光学调试环节的浪费，制定并实施未来状态图。
3. NPI可制造性导入
·深度介入新产品开发，主导可制造性评审，从工艺、装配效率及成本角度输出优化建议。
·负责NPI阶段产线搭建、工时预置、SOP预审及试产闭环，缩短新品爬坡周期。
4. 运营效率与成本控制
·建立多维度效率监控体系，设定挑战性目标并推动达成。
·主导重大降本增效项目（如自动化ROI评估、线体合并、人机作业优化）。
·运用方法论解决复杂制程变异，提升产品一致性。
5. 标准化与数字化赋能
·建立和维护标准工时数据库，确保数据准确与时效。
·利用大数据进行瓶颈分析与预测性维护。
·编制IE技术培训教材，培养内部工业工程人才梯队。
二、任职要求
1. 学历与背景
·本科及以上学历，工业工程、机械制造、光学工程或相关专业。
·5年以上制造业IE经验，有激光、光通信、精密光学或半导体封装行业背景优先考虑。
2. 专业技能
·精通设施规划，有大型新厂规划或旧厂搬迁成功经验；熟练使用设计及仿真软件。
·精通VSM、SMED、Poka-Yoke、Pull System等工具；持有Lean Six Sigma黑带（BB）证书优先。
·精通MOD法及秒表测时，擅长复杂多人多机作业分析，具备深厚动作经济学理论基础。
·具备PMP或同等项目管理能力，能独立领导跨部门变革项目。
3. 行业认知
·深刻理解光学元器件及激光器件的生产工艺流程。
·熟悉高精度装配对环境（温湿度、洁净度、防微震）的严苛要求，并能融入产线设计。
·了解激光焊接/清洗系统的装配逻辑，能识别关键质控点与效率瓶颈。
4. 软性素质
·具备极强的跨部门沟通及高层汇报能力，能有效推动变革方案落地。
·擅长将IE改善转化为财务语言，理解其对利润的贡献。
·适应制造业快节奏与多变环境，能在压力下驱动项目达成。",成本控制 培训 项目管理 SMED Poka-Yoke Pull Six BB,https://jobs.51job.com/suzhou-gyyq/173186960.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
嵌入式软硬件开发工程师,苏州阿澌特拉科技装备制造,1.5-2万·14薪,苏州,苏州,本科,8年及以上,2026-08-03 16:12:09,job51,"【工作内容】
1、负责机械设备嵌入式硬件电路设计，完成原理图绘制、PCB布局及元器件选型；
2、主导嵌入式软件架构搭建，基于ARM或MCU平台进行底层驱动开发与系统移植；
3、协同机械与电气团队完成设备联调，解决现场运行中的软硬件技术瓶颈问题；
4、编写产品技术文档，包括需求规格书、测试报告及用户操作手册，确保交付质量。

【任职要求】
1、本科及以上学历，电子工程、自动化或计算机相关专业，具备扎实的数电模电基础；
2、精通C/C++语言，熟悉RTOS实时操作系统，有至少3年嵌入式开发实战经验；
3、熟练掌握常用通信协议（如CAN、Modbus、RS485）及主流MCU/ARM芯片开发流程；
4、具备良好的逻辑思维与团队协作能力，能适应项目出差，对工业设备研发充满热情。",ARM MCU C++ RTOS CAN Modbus 技术文档,https://jobs.51job.com/suzhou/173132878.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
嵌入式软硬件开发工程师,菲托斯三维科技（苏州）,1.8-2.8万·13薪,苏州·吴中区,苏州,本科,3年及以上,2026-08-05 17:26:25,job51,"岗位职责：
1、负责3D打印机主板固件开发、修改与维护，基于STM32/GD32等MCU实现裸机/轻量OS开发；
2、优化步进/BLDC电机驱动、运动控制逻辑、切片软件路径算法，保障打印精度与稳定性；
3、完成上位机控制、模拟打印软件及外设驱动开发，对接传感器、显示屏，解析执行G-code指令；
4、 配合硬件完成原理图评审、整机联调，负责设备接线、维护及现场问题定位；

任职要求：
1、本科及以上学历，计算机、电子、自动化等相关专业，3年以上嵌入式开发经验，3D打印相关经验优先；
2、精通C语言，熟悉C++，有Python、Qt开发经验者优先；熟练使用Keil等开发工具；
3、熟悉Marlin等3D打印机固件，掌握步进电机控制、PID温控、ADC采样等相关技术；
4、 能看懂电路原理图，会使用示波器等调试工具，具备软硬件联调及问题排查能力。",STM32 MCU C语言 C++ Python,https://jobs.51job.com/suzhou-wzq/173165916.html?s=sou_sou_soulb&t=0_0&req=2158c49593c7dc4e158e54b5382f78fb
