job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
算法研究员（AI4S·物理化学仿真方向）,人工智能1-49人,30-50k,上海,上海,本科,应届,6月26日更新,liepin,"THE ROLE
方舟智造以物理化学AI重构高污染高耗能工业，用AI for Science（AI4S）与工业仿真技术破解印染、化工、钢铁、矿业等两高工业的复杂物理/化学反应难题。你将作为核心算法研究员，跟踪全球前沿开源算法架构、搭建工业级可调用算法库，基于生成式AI实现复杂物理系统加速仿真与智能控制，基于物理信息神经网络（PINNs）构建可精准表征化学反应的代理模型，把前沿科学AI落地为工业可量产的核心能力，用算法重新定义工业效率与可持续发展。

Responsibilities
•持续跟踪全球AI4S、生成式AI、物理仿真、科学机器学习领域前沿开源算法与论文成果，完成算法选型、复现、验证与工程化，构建公司统一可调用的工业AI算法库。
•面向复杂工业物理系统，研究并提出生成式AI驱动的加速仿真与控制算法，实现多物理场耦合、动态工况下的仿真速度提升与控制精度优化，支撑产线全流程数字孪生。
•基于物理信息神经网络（PINNs）、DeepONet等架构，设计可表征化学反应、传热传质、流体动力学的高精度代理模型，替代传统耗时仿真，满足工业在线控制与实时优化需求。
•与工程、产品、现场团队协同，将AI4S算法落地到MES数据中台、工艺节能Agent、配方增效Agent等核心产品，完成模型训练、验证、部署与迭代。
•构建工业场景算法评估体系，输出技术专利、算法文档与技术白皮书，支撑公司技术壁垒与行业竞争力。
•主导关键技术攻关，解决工业高质量数据集获取困难、噪声大、工况复杂等真实问题，保障算法在高污染高耗能场景稳定可用。

Required Qualifications
•本科及以上学历，计算机、应用数学、计算物理、化学工程、力学、自动化等相关专业，博士优先。
•扎实的机器学习/深度学习基础，熟悉PyTorch/TensorFlow/JAX，具备算法复现与工程化实现能力。
•掌握至少一类方向：物理信息神经网络（PINNs）、生成式AI（扩散/Transformer）、科学计算、数值仿真、代理模型。
•熟悉物理/化学基本原理，了解偏微分方程（PDEs）、数值解法、多物理场耦合仿真优先。
•具备优秀的论文阅读与算法创新能力，能快速跟踪并落地国际前沿成果。
•极强的Owner意识与问题解决能力，能在快速迭代的创业环境中独立推进项目并落地交付。

Preferred Qualifications
•有AI4S、工业仿真、科学机器学习、计算化学/材料相关项目或论文/顶会成果（ICML/NeurIPS/ICLR/AAAI等）。
•具备生成式AI用于物理系统仿真、时序预测、控制优化相关经验。
•了解流程工业（印染/化工/钢铁/矿业）生产工艺、物理化学过程、能耗与反应机理。
•有工业算法落地、模型部署（TensorRT/ONNX）、高性能计算（HPC）相关经验。
•熟悉开源算法生态，有算法库搭建、SDK封装、技术文档输出经验优先。

What We Offer
成长与福利
•技术平台：直面工业AI4S真实场景，算法成果直接落地万吨级产线，产生节能/减碳/降本可量化价值。
•团队背景：清华/东华/中石化/资深行业总工程师带队，开放学术交流，支持论文发表与专利申请。
•基础保障：五险一金、带薪年假、餐补/交通补/通讯补、定期体检、节日福利。
•工作氛围：扁平化管理、无职场内耗、敏捷迭代，核心人才快速晋升，创业公司高成长红利。

截止日期：2027年04月27日
招聘人数：1人",机器学习 深度学习 PyTorch TensorFlow Transformer IPS ONNX 专利 技术文档,https://www.liepin.com/lptjob/82106257
算法研究员,新中大科技,13-18k,杭州-拱墅区,杭州,硕士,应届,7月27日更新,liepin,"【岗位职责】
1.AI智能体（Agent）研发：负责面向建筑施工场景的企业级AI智能体架构设计与核心代码实现，主导大模型（LLM）在工程领域的垂直应用落地。
2.科研创新与技术攻关：深度参与公司核心科研项目，负责前沿算法研究、技术预研及核心模块开发，将学术成果转化为工程化产品。
3.业务融合与优化：深入理解新中大i8平台及建筑行业业务逻辑，将RAG（检索增强生成）、Workflow编排、Tool Use等技术与实际业务痛点深度结合。
4.技术基建与评测：参与AI中台及工具链建设，制定模型评测体系，优化大模型应用的响应时延、Token成本及并发稳定性。
【任职要求】
1.博士学位优先（特别优秀的硕士亦可），计算机、人工智能、管理科学与工程、工程管理等相关专业。
2.有guojia级课题参与经验（国家重点研发计划、国家自然科学基金等），在核心期刊或ding级会议发表过论文，学术写作能力强。
3.熟悉大模型、RAG、智能体等前沿技术，了解Python及主流AI框架（LangChain/LlamaIndex等），有技术原型验证经验者优先。
4.逻辑思维清晰，对前沿技术敏感，兼具学术严谨性和工程落地意识。

截止日期：2027年07月27日
招聘人数：1人",大模型 LLM RAG Python Agent Tool LangChain,https://www.liepin.com/lptjob/84415361
2027AIDU-智能体算法研究员-伐谋产品部(J102507),互联网美股上市10000人以上,40-70k·16薪,北京-海淀区,北京,博士,应届,7月17日更新,liepin,"职责描述：
岗位方向：面向产业级高价值算法场景，参与建设“伐谋”智能体算法系统，聚焦运筹优化、营销策略决策、科研算法实验等可验证、可审计、可持续演化的复杂任务，探索大模型、智能体、优化算法、评估体系与业务反馈闭环的融合方法。

1. 负责伐谋方向智能体算法体系的研究与研发，围绕“问题建模—候选方案生成—评估验证—专家反馈—策略演化”构建可闭环运行的生产级 Agent 系统；
2. 研究面向高价值决策任务的 Agent 架构，包括任务分解、候选策略生成、多方案搜索、工具调用、代码生成、结果评估、反思修正、长期记忆与反馈沉淀等核心能力；
3. 建设可审计的 Agent 评估验证体系，包括任务级 evaluator、约束检查器、业务指标评估、失败模式识别、专家反馈结构化、case replay、benchmark 对比与验证报告生成；
4. 探索 Agent 自我演化机制，不断跳出局部最优实现持续创新，结合大模型推理、强化学习、搜索算法、程序合成、优化算法与多 Agent 协作，实现候选算法/策略的自动生成、评估、筛选与迭代优化。
任职要求：
1、计算机、人工智能、自动化、运筹优化、软件工程等相关专业博士及以上学历，优秀硕士生亦可考虑；
2、具备扎实的算法和工程能力，能够将研究想法快速实现为可运行系统，熟悉 Python，具备良好的代码质量、调试能力和实验分析能力；
3、熟悉至少一种复杂任务求解方法，包括但不限于启发式搜索、局部搜索、MCTS、遗传算法、强化学习、运筹优化、约束求解、程序合成、自动调参、算法演化等；
4、具备评估体系建设意识，能够围绕真实任务设计评价指标、构造测试集、分析失败 case、建立 benchmark，并推动系统基于反馈持续改进；
5、对产业级 Agent 落地有兴趣，理解通用办公 Agent 与生产级决策 Agent 的差异，认可“可验证、可审计、可闭环、可演化”的系统建设理念。

截止日期：2027年07月17日
招聘人数：1人",大模型 Python 审计 Agent MCTS,https://www.liepin.com/lptjob/84207647
三维重建算法研究员（博士后研究员）(J10099),浙江有鹿机器人科技有限公司,30-50k·14薪,杭州,杭州,博士,应届,7月16日更新,liepin,"职责描述：
岗位职责
多传感器融合SLAM算法研究。
主导LiDAR、图像、IMU、轮速、GNSS等多传感器数据融合的SLAM算法研发，重点攻克动态环境（行人、车辆）、地图变化场景（临时变动、植被季节性变化）、退化场景（长走廊、开阔广场、旋转楼梯）下的建图与定位问题。
大规模场景三维重建。
基于SLAM和3D GS技术，研发大规模场景重建系统，渲染出高质量的3D场景，输出标准化仿真资产，支撑自动驾驶全链路仿真与数字孪生相关应用。
任职要求：
任职要求
学历与学术成果已获得或即将获得计算机科学、机器人学、自动化等相关专业博士学位，在计算机视觉、机器人学相关会议（CVPR、ICCV、ECCV、ICRA、IROS、RSS 等）或权威期刊（IJCV、T-RO、RAL 等）发表过高水平学术论文；在公开数据集 Leaderboard 或学术竞赛中取得靠前名次者优先。
具备SLAM与3DGS相关经验深入理解多传感器融合 SLAM 框架的算法原理与代码架构，具备动态环境过滤、lifelong 建图定位、退化检测与鲁棒定位的实践经验。熟悉3D GS技术，具备大规模场景重建、高质量渲染或仿真资产生成的项目经验。熟悉 3DGS 与 SLAM 联合优化、实时渲染管线者优先。
编程与工程能力熟悉 C++/Python，熟悉 vibe coding，具备良好的代码规范与系统架构能力；掌握 CUDA 并行加速、模型部署优化者优先。

截止日期：2027年07月16日
招聘人数：2人",SLAM LiDAR 计算机视觉 ROS C++ Python,https://www.liepin.com/lptjob/84171249
AI算法研究员/感知实习生,北京正奇未来智能科技有限公司,300-500元/天,上海-闵行区,上海,硕士,,6月12日更新,liepin,"AI算法研究员/感知实习生
岗位职责：
1、 负责公司机器人等多业务场景的多模态感知技术及大模型等核心前沿方向的研发与建设；
2、 参与技术规划制定, 把握业界最新发展趋势，推进团队产出高质量技术成果；
3、 负责数据挖掘、自动标注、大模型训练及回归等闭环链路建设，并伴随业务开展持续优化迭代模型能力；
4、 具备以下至少一种场景的模型训练和调试经验：
a) 多模态感知或端到端；
b) learning-based决策控制：IL/RL/RLHF
c) 重建或世界模型：3DGS/MagicDrive/PhysicsAI
d) VLA/VLM：OpenVLA/π系列/ACT/RT-2
5、 熟练掌握线性代数和空间几何，熟悉以下至少一种非模型算法：动态规划、PnP/PCA、卡尔曼/粒子滤波、路径规划、凸优化、SLAM/里程计、树形结构；
6、 熟悉主流深度学习算法，精通多个领域包括但不限于目标检测、分割、跟踪、多任务学习、立体视觉等；
7、 熟练掌握Python/C++，具备良好编程习惯，熟悉多线程和复杂度优化。习惯使用大模型辅助编程
8、 具备良好的沟通、表达与协作能力，重视承诺
9、 具有创新精神，对于复杂问题能大胆提出实践方案

截止日期：2026年07月31日
招聘人数：1人",大模型 SLAM 深度学习 Python C++ IL RL RLHF,https://www.liepin.com/lptjob/83391575
算法研究员,深圳精智达技术股份有限公司,25-40k·13薪,苏州-工业园区,苏州,博士,应届,6月10日更新,liepin,"岗位职责】
1. 参与公司级前沿课题研究工作，达成课题目标；
2. 跟进研究课题，协助研究课题的项目应用转化；
3. 论文和专利撰写，参与国内外显示界中高等级学术会议；
4. 评估课题和项目结果；
5. 跟进客户算法测试与验证流程（包括实验室与外协厂）；
6.撰写算法方案、技术规范书，支持市场/销售团队的技术交流。
【岗位要求】
1.博士学历，控制工程、计算机、数学、信息等相关专业（特别优秀硕士亦可）；
2.熟练掌握Halcon，OpenCV，Matlab 等设计工具；
3.对线性代数，微积分，概率论，数字图像处理等有扎实基础；
4.有辐射度测量，光谱测量，人眼感知相关，颜色感知相关，AR/VR显示器质量评估相关经验优先；
5.具备跨部门沟通协作能力，能承担复杂算法系统研究落地任务。

截止日期：2027年06月10日
招聘人数：1人",OpenCV MATLAB 专利 Matlab AR,https://www.liepin.com/lptjob/83334907
顶尖实习-大语言模型算法研究员,互联网港股上市10000人以上,300-500元/天,北京-海淀区,北京,硕士,,5月21日更新,liepin,"职位描述
参与大语言模型的核心技术研发，包括但不限于：
- 预训练优化（数据合成、长上下文建模、训练动态分析）
- 后训练技术（强化学习、奖励模型、推理能力提升）
- 代码生成与理解（自动化数据构建、运行反馈优化）
- 模型架构创新（MoE、高效推理、稳定性优化）
- 探索AI Agent、长序列推理、在线学习等新兴方向

职位要求
熟悉大语言模型（如Transformer、MoE）的核心原理，具备以下至少一项经验：
- 大规模模型训练（分布式训练、数据优化）
- 强化学习、奖励建模或AI Agent开发
- 代码生成、程序理解或相关领域
- 模型架构优化（如高效推理、长上下文处理）
熟练使用PyTorch、DeepSpeed等框架，具备代码实现与调试能力。

截止日期：2027年05月21日
招聘人数：1人",Transformer 分布式 PyTorch MoE Agent,https://www.liepin.com/lptjob/82754245
顶尖实习-多模态大模型算法研究员,互联网港股上市10000人以上,300-500元/天,北京-海淀区,北京,硕士,,5月21日更新,liepin,"职位描述
将围绕多模态（文本、图像、音频、视频）理解和生成统一的基座大模型的数据、模型结构、统一建模方式、训练与推理优化、深度推理等核心问题展开研究，具体研究内容包括：
1. 多模态（文本、图像、音频、视频）数据的收集、合成及数据策略，提升质量、多样性、可扩展性
2. 探索多模态理解与生成统一的建模方式
3. 多模态模型的模型结构的设计与优化，高效的大规模分布式训练和推理系统（云侧和端侧）
4. 研究多模态模型的深度推理范式

职位要求
我们在寻找怎样的你？
- 笃信 AGI 愿景 — 笃信而建，即使前路未明，仍坚持探索，致力于推动 AGI 的实现。
- 在国际会议或期刊（如 ICLR、NeurIPS、CVPR、ICML、ACL 等）发表论文，展现独特的学术洞见与技术深度。
- 扎实且全面的技术功底 — 不仅精通算法研究，还熟悉分布式训练、系统优化等基础设施相关技术；善于利用 AI 工具提升研发效率者优先。
- 开放心态与可扩展性思维 — 深刻理解 ""The Bitter Lesson"" 的核心洞见，相信计算与数据规模的力量；思考问题从系统出发，而非局限于单一模型。
- 过硬的工程能力 — 熟练掌握 PyTorch 等深度学习框架，能够快速将大胆的想法转化为高质量的代码实现。


截止日期：2027年05月21日
招聘人数：1人",大模型 分布式 IPS PyTorch 深度学习 AGI ICLR NeurIPS,https://www.liepin.com/lptjob/82754063
26届-算法研究员 (MJ001294),计算机软件1000-2000人,30-55k,北京,北京,博士,应届,90天前更新,liepin,"岗位职责：
1、负责视觉大模型、多模态大模型、缺陷检测分割相关算法的研发和实现，以及在工业场景的落地；
2、负责缺陷图像生成核心能力的构建，面向工业现场应用研发高效低显存占用的生成模型算法；
3、紧密跟踪人工智能领域技术，复现最新论文，并且把最新技术导入工程应用；
4、参与公司AI平台的规划和研发
任职要求：
1、博士以上学历，计算机、人工智能、数学等相关专业；
2、熟悉经典图像处理算法，数学功底优异，熟练使用python编程；
3、熟练掌握机器学习和深度学习的基本原理，熟悉常见的生成模型框架，包括GAN、VAE和Diffusion Model等；
4、熟悉自监督视觉算法，熟悉transformer，有大模型训练和调参经验，对生成模型的轻量化等内容有独到理解；
5、具有优秀的分析问题和解决问题的能力，具备良好的沟通能力和团队合作能力，敢于突破和创新；

截止日期：2027年03月30日
招聘人数：1人",大模型 Python 机器学习 深度学习 Diffusion Transformer,https://www.liepin.com/lptjob/81334275
Summer Camp - Agent算法研究员实习生,Baidu,500-800元/天,北京-海淀区,北京,硕士,,90天前更新,liepin,"工作职责
-百度伐谋是全球领先的可商用自我演进超级智能体，致力于为千行百业的生产研发环节实现智能原生与持续价值创造。通过统一的自进化智能体框架，伐谋能够有效应对产业级高难算法任务、显著降低算法优化门槛，使得业务人员通过对话式提需和澄清，即可完成产业场景下预测、决策等关键算法的研发和应用，实现应对复杂多变工况的持续优化能力。百度伐谋当前已在物流供应链调度、城市配送划片、零售销量预测、制造工艺优化、汽车风阻预测等行业场景，形成真实应用与可量化价值
-研究并构建具备自演化能力的 Agent 架构，探索在明确目标约束下的大规模算法搜索与行为优化机制
-设计支持长期轨迹建模与策略迁移的智能体记忆系统，提升泛化性、稳定性与持续演化能力
-联动相关团队，将智能体新能力在科研任务、组合优化、AI4S 等高难任务中实现探索验证
-撰写技术文档或研究论文，推动伐谋算法在社区与产业双圈层中的影响力扩展
任职资格
-计算机、人工智能、运筹优化、应用数学等相关专业硕士及以上学历
-熟悉 LLM、Agent 架构、强化学习、演化搜索或图搜索等任一技术方向
-具备扎实的算法基础与代码能力，有创新科研sense，对 AI 突破专家智能边界具备热情与探索力
-有 Agent / AI4Science / AI Coding等领域项目经验者优先

截止日期：2027年03月25日
招聘人数：3人",LLM 供应链 技术文档 Agent AI4S AI AI4Science,https://www.liepin.com/lptjob/81246611
