job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
大模型应用开发工程师(J11942),培训服务D轮及以上2000-5000人,30-40k·14薪,北京,北京,统招本科,3-5年,7月21日更新,liepin,"职责描述：
1、主导大模型相关应用的设计、开发与落地，深入研究最新大模型技术（包括但不限于多模态、微调优化等），结合业务场景打造高可用、高性能的AI应用解决方案，推动大模型从技术到生产力的转化；
2、负责Agent智能体的全流程开发，包括需求拆解、架构设计、任务编排、工具调度及记忆管理，基于AutogenAI、LangGraph、CrewAI等框架，实现Agent自主决策、多步骤协同完成复杂业务任务，优化Agent交互效率与稳定性；
3、跟踪大模型领域前沿技术动态（如多模态Agent、MCP协议演进、新型微调技术等），开展技术调研与验证，将成熟技术落地到实际项目中，推动团队技术能力迭代升级；撰写技术文档、分享技术经验，协助团队成员成长；
4、配合产品、测试及业务团队，明确AI应用需求，参与需求评审、方案设计，推进项目迭代上线，解决项目开发过程中的技术难点，确保项目按时、按质交付；参与Prompt工程实践，设计高效提示策略，提升大模型输出质量。
任职要求：
1、2-3年大模型应用开发相关经验,（具备完整的大模型应用/Agent/RAG项目落地经验，能独立负责核心模块开发，有可展示的项目案例者优先；
2、有企业级AI应用、智能对话系统、知识库问答、多模态应用等相关项目开发经验者，或有MCP协议应用、Skill库搭建经验者优先；
3、编程语言：精通Python，熟悉Java/Node.js者优先；熟练掌握FastAPI、Django、Flask等Web框架，具备良好的代码风格和工程化思维，能独立完成接口开发与系统搭建；
4、大模型技术：深入理解大模型基本原理（Transformer架构等），熟悉主流大模型（GPT、Claude、ChatGLM、Qwen等）的API调用与特性；掌握Prompt工程、模型微调、推理优化等核心技术，有开源大模型本地化部署经验者优先（如LLaMA、ChatGLM等）；
5、Agent与RAG：熟练掌握Agent架构设计与开发流程，熟悉至少1种Agent开发框架（LangChain、LangGraph、AutogenAI等）；精通RAG技术栈，掌握向量数据库的使用与优化，有RAG系统工程化落地经验者优先，理解向量表示、向量检索核心原理；
6、Skill与MCP：具备Skill设计、开发与封装能力，有Skill库搭建经验者优先；熟悉MCP协议规范，具备基于MCP实现系统集成、Agent通信的实践能力，了解MCP的核心组件（Hosts、Clients、Servers）及工作原理者优先；
7、工程化能力：熟悉Docker、Kubernetes容器化技术及微服务架构；掌握MySQL、MongoDB、Redis等数据库的使用；了解分布式系统、消息队列（Kafka/RabbitMQ）、分布式缓存等技术者优先；具备CI/CD流程搭建经验者优先。",大模型 高可用 RAG Python Java Node.js FastAPI Django Flask Transformer GPT Docker,https://www.liepin.com/job/1984300239.shtml
node.js开发工程师,维赛客网络科技,13-20k,南京-雨花台区,南京,大专,3-5年,90天前更新,liepin,"岗位职责：
1、根据项目需求，使用Node.js进行后端服务设计、开发和维护；
2、能够进行node.js全栈式开发，优化代码并保持良好兼容性；
3、持续改进当前产品的前/后端功能，优化性能，改善访问体验；
任职要求：
1、计算机及相关专业，大专以上学历，1-2年以上使用Nodejs开发经验
2、熟练使用 express koa 后端框架搭建后端应用；
3、熟练 Mysql 数据库的使用 数据表、视图的规划；
4、熟练掌握 JavaScript/ Typescript、CSS、HTML5、DOM、网络协议等前端相关技术；
5、熟悉 vue  vueadmin 等常用前端框架；
6、熟悉 nodejs,熟悉常用模块,能熟练使用 nodejs进行开发；
7、对新技术充满热情,热爱学习,有责任心,具有优秀的沟通能力及协调能力。",Node.js Express Koa MySQL JavaScript TypeScript HTML5 Vue,https://www.liepin.com/job/1946200613.shtml
Nodejs-全栈工程师,康数企业管理咨询(上海)有限公司,15-20k·13薪,上海,上海,大专,经验不限,90天前更新,liepin,"工作职能：
1、负责nodejs项目开发；
2、设计并开发可测试、可扩展、易用与交互性好的新功能；
3、技术攻关和创新技术引用，解决产品开发过程中的高性能，高并发和高可靠性问题；
4、作为中间层与后端同事进行配合开发；
5、具有web前端开发能力。

岗位要求：
1、专科及以上学历，计算机相关专业，2年以上Node.js开发工作经验；
2、精通nodejs，深入理解 events/stream/net 内部模块，并熟练掌握常用的工具/框架(Koa/Egg)；
3、擅长 Node.js 项目 debug 及性能调优
4、熟练使用MongoDB，Redis、mysql等数据库；
5、有Web前端开发经验者（VueJS）优先；
6、扎实的编程基础，对常见数据结构、设计模式、算法有清晰的理解；
7、良好的编码习惯，较好的沟通、协调、理解能力和良好的责任心和团队合作能力，性格外向",高并发 Node.js Koa MongoDB Redis MySQL Vue,https://www.liepin.com/job/1936561133.shtml
Node.js工程师,青润图文设计(北京)有限公司,10-15k,成都-高新区,成都,学历不限,2年以上,90天前更新,liepin," 
技能要求，我们希望找个Node Js的全栈工程师，前后端模块同时开发。
1. 熟练使用nodejs以及后端服务框架
2. 2年以上Web前端开发经验；
3. 熟练使用mysql, 熟练使用SQL
4. 对Web性能和安全有较深的见解和相关处理方案。 
5. 优先考虑：VUE前端框架
6. 优先考虑：财务系统知识背景
 ",MySQL SQL Vue,https://www.liepin.com/job/1972428875.shtml
Senior Nodejs Developer,上海舵正帆满信息技术有限公司,15-25k,上海-杨浦区,上海,本科,3-5年,90天前更新,liepin,"About Us:
We are a top technology firm specializing in innovative solutions and services. Our commitment to excellence and innovation has positioned us as a key player in the industry. We are currently seeking a highly skilled and experienced Senior Nodejs Developer to join our dynamic team. The ideal candidate will be instrumental in driving our projects from concept to deployment, ensuring high-quality software solutions that meet our business needs. 
Please send your CV to *********************

Key Responsibilities:
- Develop and maintain all server-side network components. 
- Ensure optimal performance of the central database and respond efficiently to front-end developers' requests. 
- Collaborate with front-end developers on the integration of elements. 
- Design customer-facing UI and back-end services for various business processes. 
- Develop high-performance applications by writing testable, reusable, and efficient code. 
- Implement effective security protocols, data protection measures, and storage solutions. 
- Run diagnostic tests, repair defects, and provide technical support. 
- Document Node.js processes, including database schemas, as well as prepare reports. 
- Recommend and implement improvements to processes and technologies. 
- Keep informed of advancements in the field of Node.js development. 

Essential Skills and Qualifications:
- Proficiency in Node.js and frameworks such as Nest.js. 
- Strong coding skills in JavaScript, including ES6+, and familiarity with TypeScript. 
- Experience with databases (both SQL and NoSQL) and their declarative query languages. 
- Understanding of front-end technologies (HTML5, CSS3, JavaScript) and principles of basic UI/UX design. 
- Familiarity with code versioning tools, such as Git. 
- Excellent problem-solving abilities, teamwork skills, and communication skills. 
- Ability to manage a hosting environment, including database administration and scaling an application to support load changes. 

Preferred Experience:
- Experience with cloud technologies (Azure). 
- Knowledge of containerization technologies (Docker, Kubernetes). 
- Familiarity with CI/CD pipelines for efficient code deployment. 
- Known basic LLM knowledge is a plus. 
- Bachelor's degree in Computer Science, Engineering, or a related field. 
- Minimum of 3 years of experience in Node.js development, with a proven track record in a senior or lead developer role.",CAN RAG Node.js JavaScript TypeScript SQL HTML5 CSS3 Git Azure Docker Kubernetes,https://www.liepin.com/job/1967808297.shtml
Node.js高级研发工程师,北京虹宇科技有限公司,25-55k·14薪,北京,北京,本科,经验不限,90天前更新,liepin,"岗位职责：
1. 开发与维护 Iris XR Web SDK；
2. 开发 Iris XR Web SDK 可视化开发工具。

任职要求：
1. 熟练掌握 JavaScript, TypeScript, NodeJS. 三年以上 NodeJS 开发经验。熟悉 NodeJS 的基本原理，阅读过 NodeJS 源码的优先;
2. 熟练掌握 NodeJS Native Addon 的编写，熟悉 C/C++ 的基本知识，精通 JS/C++ 对象的生命周期管理;
3. 熟练掌握前端开发工具，了解Webpack 等工具的原理;
4. 掌握常见的单元测试工具如 Jest 的使用，阅读过相关源码的优先;
5. 能流畅阅读英文技术文档;
6. 对代码质量有⼀定追求，重视 Code Review。

加分项：
1. 3D 开发经验，如熟悉 WebGL/Three.JS 等。
2. Electron/NW.JS 等桌面软件开发经验。",JavaScript TypeScript C++ Webpack Electron 技术文档,https://www.liepin.com/job/1937121213.shtml
Node.js后端开发,某深圳计算机软件公司,25-50k·14薪,深圳,深圳,统招本科,3-5年,今日更新,liepin,"要求：
需要愿意转node,js语言且3年以上经验，C端互联网+AI背景，能cover住某一个模块

工作内容：
1.负责公司 AI产品研发；
2.负责相关业务逻辑的架构设计和后台实现；
3.根据产品需求，提出良好的解决方案，有编写开发文档习惯。

职位要求：
1.本科及以上学历，熟练Nodejs/Java/Go/Python等一门或多门语言(公司主要使用Nodejs, 愿意转用该语言编程)；
2.熟悉 MySQL、MongoDB、PostgreSQL 等数据库；
3.对AI有强烈兴趣，熟悉使用大模型，了解或熟悉Prompt工程、AI Agent、Comfyui等经验者优先；
4.具有较强的沟通能力与团队合作精神，具有良好的分析问题、解决问题的能力以及较强的学习能力；
5.责任心强，有较强的抗压能力。

【接受其他后端语言基础扎实的，但是进来之后需要转node.js,介意的不要投递】。",Java Go Python MySQL MongoDB PostgreSQL 大模型 Node.js,https://www.liepin.com/a/76140045.shtml
高级Node.js开发工程师,互联网D轮及以上500-999人,30-45k,上海-长宁区,上海,本科,5-10年,90天前更新,liepin,"岗位描述

1、设计和开发支撑部门nodejs层代码；

2、负责高质量的设计和编码； 

3、持续关注node服务稳定与优化; 配合前端完成api开发；

4、研究并持续跟进业界先进技术和开发思路，承担技术难点的攻坚； 

5、负责基于nodejs，nest的开发。




岗位要求

1、全日制统招本科及以上学历，计算机相关专业，5-10年互联网工作开发经验。

2、精通 Node.js / JavaScript，深入理解 events/stream/net 内部模块，熟悉ES6/ES7

3、精通 Nest 或 Koa / Express框架

4、擅长 Node.js 项目 debug 及性能调优

5、熟练使用 Mysql/ Redis 或其他数据库

6、独立完成功能模块的接口设计及开发工作

7、熟悉 Docker / k8s 和容器的开发或部署

8、能够解决复杂的技术问题

9、有跨端沟通的经验，曾经协助前端工程师完成接口设计及调试工作

10、有微服务设计或开发经验

加分项

- 有React Native前端 / 移动端 /其他前端技术栈的开发经验

- 有大型企业级项目开发经验

- 有 Java 开发经验",Node.js JavaScript Koa Express MySQL Redis Docker K8s 微服务 React Native Java,https://www.liepin.com/job/1960255977.shtml
Node.js后端工程师,武汉在水医方智能科技有限公司,10-18k,武汉-汉阳区,武汉,本科,5年以上,6月29日更新,liepin,"职责描述：
参与公司医疗AI产品后端开发，技术架构为postgresql+nodejs+python。

任职要求：
1、本科以上学历，5年以上nodejs后端开发经验；
2、精通javascript语言与nodejs，熟练掌握各后端技术栈;
3、熟练掌握postgresql数据库查询语言，熟练掌握plpgsql过程语言；
4、精通函数式编程者优先；
5、加分项：曾使用以下任一语言超过3-6个月：R、Clojure、Erlang、Haskell、Prolog、Julia;
6、加分项：熟悉Linux命令行，有shell、grep、xargs、awk、sed脚本编写；
7、加分项：熟悉OpenResty、nginx-njs、docker、k8s、有devops经验者；
8、对新技术敏感，持续学习、抗压能力、自我驱动、团队精神。",PostgreSQL Python JavaScript SQL Linux Shell Nginx Docker K8s DevOps,https://www.liepin.com/job/1983512129.shtml
Node.js后端技术支持工程师,武汉在水医方智能科技有限公司,11-18k,广州-越秀区,广州,本科,5年以上,6月29日更新,liepin,"职责描述：
参与公司医疗AI产品后端开发，技术架构为postgresql+nodejs+python。

任职要求：
1、本科以上学历，5年以上nodejs后端开发经验；
2、精通javascript语言与nodejs，熟练掌握各后端技术栈;
3、熟练掌握postgresql数据库查询语言，熟练掌握plpgsql过程语言；
4、精通函数式编程者优先；
5、加分项：曾使用以下任一语言超过3-6个月：R、Clojure、Erlang、Haskell、Prolog、Julia;
6、加分项：熟悉Linux命令行，有shell、grep、xargs、awk、sed脚本编写；
7、加分项：熟悉OpenResty、nginx-njs、docker、k8s、有devops经验者；
8、对新技术敏感，持续学习、抗压能力、自我驱动、团队精神。",PostgreSQL Python JavaScript SQL Linux Shell Nginx Docker K8s DevOps,https://www.liepin.com/job/1983691663.shtml
