job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
Sr. lead DevOps Engineer高级运维开发工程师,通力电梯有限公司,25-35k,苏州-昆山,苏州,统招本科,5-10年,90天前更新,liepin,"岗位职责：
1.	负责云原生可观测平台的建设、开发、运维
2.	负责Kubernetes集群稳定性保障，以及周边组件的运维和开发
3.	负责云原生网关的维护与定制化插件的开发
4.	负责DevOps平台和数据库审核平台的维护与开发
5.	参与安全审计，并基于审计要求进行安全层面的整改
6.	对安全领域有所了解，能够独立完成安全漏洞修复、安全检测、安全防护等
7.	其他日常运维事宜，包括不限于：消息中间件、缓存、数据库、日常工单处理、值班保障等

资格要求：
1.	扎实的编程基础，掌握基本的数据结构和算法
2.	熟练掌握java编程语言，有5年左右的java编程经验
3.	熟悉其他编程语言，如golang、python，并有实际的项目经验者优先
4.	掌握Vue或者React，并独立完成过平台级别的项目
5.	具备Kubernetes 4年及以上生产运维经验
6.	具备可观测建设经验与开发经验
7.	具备平台代码设计能力，良好的文档编写能力
8.	熟悉主流网关的原理以及配置，具备生产级插件开发经验者优先
9.	具备管理各公有云经验者优先
 ",云原生 Kubernetes DevOps Java Golang Python Vue React 审计 文档编写,https://www.liepin.com/job/1977924429.shtml
devops工程师/二线运维开发工程师,某知名公司,15-25k·13薪,上海,上海,大专,8年以上,7月23日更新,liepin,"工作内容
1.负责突发事件响应，快速诊断、分类并解决系统故障，最大限度减少对业务的影响。
2.对重复发生或重大的生产事件进行根本原因分析，提出并推动实施长远的解决方案，防止问题再次发生。
3.遵循严格的ITIL变更管理流程，执行、验证和回滚在生产环境中的应用变更、配置更新和代码发布。
4.与开发、测试和运维团队协作，确保发布的平滑进行。
5.利用ITRS, Grafana等监控工具，主动监控系统性能、资源利用率和应用健康状况，并采取预防性措施。
6.为内部团队（如业务部门、开发团队）提供技术支持和指导。与开发团队紧密合作，将运维中发现的问题反馈给开发阶段，推动系统可维护性和稳定性的提升。
7.编写和维护系统运维手册、知识库文档和标准操作程序，熟练使用ServiceNow等ITSM工具进行事件、问题和变更的记录与管理。
岗位要求
1.至少3年以上的金融或相关行业生产/应用支持岗位工作经验。
2.熟悉ITIL框架，并具备事件、问题和变更管理的实际操作经验。
3.精通 Java/J2EE 技术栈，熟悉 Spring Boot, Hibernate, WebSphere/JBoss/Tomcat 等应用服务器。
4.熟练使用 Oracle 和/或 PostgreSQL，能够进行复杂的SQL查询和故障排查。
5.精通 Linux 操作系统，能熟练使用Shell命令进行日志分析、性能监控和脚本编写。
6.掌握 Python 核心技能，用于编写自动化脚本和工具。
7.具备 AWS 云服务的实际使用经验。
8.熟悉 Control-M 等作业调度工具和 消息队列 技术。
9.熟练使用 ServiceNow 进行IT服务管理。
10.有使用 ITRS, Grafana 等监控工具的经验。
11.英语能够流利沟通",Grafana Java Spring Boot Hibernate Tomcat Oracle PostgreSQL SQL Linux Shell Python AWS,https://www.liepin.com/a/69705761.shtml
高级运维开发工程师(DevOps Engineer),乐天创研(北京)科技有限公司,15-27k·14薪,大连,大连,本科,5-10年,90天前更新,liepin,"我们来自日本本土电商集团-日本乐天集团.
我们拥有上百个服务类别横跨市场，旅游，金融，支付，广告等服务.
我们来自Rakuten Point Platform Section.
我们负责的系统承担着整个公司所有交易流程上积分的赋予和消费.
我们正在构建我们新一代的积分平台.
这个平台有如下的特征:
- 微服务
- 容器化部署
- 大型分布式系统
- 混合云基础架构
- 大流量挑战
- 面向全球提供服务
- 高并发
- 7x24小时在线
- 乐天核心业务

在这里，你可以在技术上快速成长和积累.
在这里，你可以了解一线互联网大厂的工作内容和面临的技术难题.
在这里，你可以和来自世界各地的工程师交流学习.
在这里，你可以有可观的收入.
在这里，你可以延展你的职业生涯到东京.
在这里，你可以接触繁多的先进工具和环境

技术关键字：
Kubernetes, Istio, Service Mesh Hub
Ansible, Terraform
Cassandra,Spark,ETCD
Kafka,ELK
Azure, Private Cloud
Jenkins, Helm, Harbar, ArgoCD
Prometheus, Grafana, PagerDuty
Distributed System 

紧急诚寻：
热爱DevOps，喜欢英语沟通，乐于分享，勇于挑战，自动化运维工程师。

以上内容，部分即可，无需全部精通",微服务 容器化 分布式 高并发 Kubernetes Istio Ansible Terraform Cassandra Spark Kafka Azure,https://www.liepin.com/job/1948467897.shtml
运维开发工程师(DevOps Engineer),乐天创研(北京)科技有限公司,12-18k·14薪,大连,大连,本科,3-5年,90天前更新,liepin,"我们来自日本本土的电商集团-日本乐天集团.
我们拥有上百个服务类别横跨市场，旅游，金融，支付，广告等服务.
我们来自Rakuten Point Platform Section.
我们负责的系统承担着整个公司所有交易流程上积分的赋予和消费.
我们正在构建我们新一代的积分平台.
这个平台有如下的特征:
- 微服务
- 容器化部署
- 大型分布式系统
- 混合云基础架构
- 大流量挑战
- 面向全球提供服务
- 高并发
- 7x24小时在线
- 乐天核心业务

在这里，你可以在技术上快速成长和积累.
在这里，你可以了解一线互联网大厂的工作内容和面临的技术难题.
在这里，你可以和来自世界各地的工程师交流学习.
在这里，你可以有可观的收入.
在这里，你可以延展你的职业生涯到东京.
在这里，你可以接触繁多的先进工具和环境

技术关键字：
Kubernetes, Istio, Service Mesh Hub
Ansible, Terraform
Cassandra,Spark,ETCD
Kafka,ELK
Azure, Private Cloud
Jenkins, Helm, Harbar, ArgoCD
Prometheus, Grafana, PagerDuty
Distributed System 

紧急诚寻：
热爱DevOps，喜欢英语沟通，乐于分享，勇于挑战，自动化运维工程师。

以上内容，部分即可，无需全部精通",微服务 容器化 分布式 高并发 Kubernetes Istio Ansible Terraform Cassandra Spark Kafka Azure,https://www.liepin.com/job/1948467853.shtml
devops工程师/二线运维开发工程师,某知名公司,15-25k·13薪,北京,北京,大专,8年以上,7月23日更新,liepin,"工作内容
1.负责突发事件响应，快速诊断、分类并解决系统故障，最大限度减少对业务的影响。
2.对重复发生或重大的生产事件进行根本原因分析，提出并推动实施长远的解决方案，防止问题再次发生。
3.遵循严格的ITIL变更管理流程，执行、验证和回滚在生产环境中的应用变更、配置更新和代码发布。
4.与开发、测试和运维团队协作，确保发布的平滑进行。
5.利用ITRS, Grafana等监控工具，主动监控系统性能、资源利用率和应用健康状况，并采取预防性措施。
6.为内部团队（如业务部门、开发团队）提供技术支持和指导。与开发团队紧密合作，将运维中发现的问题反馈给开发阶段，推动系统可维护性和稳定性的提升。
7.编写和维护系统运维手册、知识库文档和标准操作程序，熟练使用ServiceNow等ITSM工具进行事件、问题和变更的记录与管理。
岗位要求
1.至少3年以上的金融或相关行业生产/应用支持岗位工作经验。
2.熟悉ITIL框架，并具备事件、问题和变更管理的实际操作经验。
3.精通 Java/J2EE 技术栈，熟悉 Spring Boot, Hibernate, WebSphere/JBoss/Tomcat 等应用服务器。
4.熟练使用 Oracle 和/或 PostgreSQL，能够进行复杂的SQL查询和故障排查。
5.精通 Linux 操作系统，能熟练使用Shell命令进行日志分析、性能监控和脚本编写。
6.掌握 Python 核心技能，用于编写自动化脚本和工具。
7.具备 AWS 云服务的实际使用经验。
8.熟悉 Control-M 等作业调度工具和 消息队列 技术。
9.熟练使用 ServiceNow 进行IT服务管理。
10.有使用 ITRS, Grafana 等监控工具的经验。
11.英语能够流利沟通",Grafana Java Spring Boot Hibernate Tomcat Oracle PostgreSQL SQL Linux Shell Python AWS,https://www.liepin.com/a/69705843.shtml
Devops工程师/运维开发工程师,华钦科技,13-19k,西安-高新区,西安,统招本科,3年以上,7月30日更新,liepin,"高级Devops任职要求：
1.有信息技术、计算机科学或相关专业的学士学位或以上，且至少有 7 年相关技术工作经验。
2.在汇丰银行或金融行业有工作经验者优先。
3.熟悉核心的 GCP 服务（Compute Engine、Cloud Storage、VPC、IAM、Cloud SQL 等）。
4.熟练掌握 Linux/Unix 命令行、shell 脚本编写和调试。
5.熟练掌握 Bash、Python 或类似脚本语言以用于自动化操作任务。
6.具备 GKE 集群管理、kubectl 操作和 Helm 部署的经验。
7.了解 Cloud Build、Jenkins 或其他 CI/CD 工具。
8.能够使用 Stackdriver（云监控）、Logging、Prometheus 等监控工具。
9.了解 VPC、子网、防火墙和 IAM 权限管理。
10.强大的日志分析、性能调优和问题诊断能力。
11.了解基本云架构设计中的高可用性、自动扩展和灾难恢复原则。
12.熟练使用 gcloud 命令行工具及相关 API。
13.良好的文档撰写和团队沟通能力。
14.适应外企英文工作环境，具备良好的英语阅读和写作能力，能够用英语进行基本交流。

中级Devops任职要求：
有信息技术、计算机科学或相关专业的学士学位或以上，在汇丰银行或金融行业有工作经验者优先。
经验要求：具备 5年以上IT运维或站点可靠性工程（SRE）经验，专注基础设施管理与系统优化。
技术能力：精通运维管控工具：Ansible, Puppet, Chef, Terraform, Prometheus, Grafana, ELK技术栈； Python/Shell脚本开发能力扎实。
云平台能力：熟悉主流云平台（AWS/Azure/GCP），包括 EC2, Lambda, Kubernetes 及容器化服务。
问题解决力：具备分布式系统、网络及应用的复杂问题排查能力（需提供案例证明）。
沟通协作：出色的书面与口头表达能力，能在快节奏动态环境中高效协作。
适应外企英文工作环境，具备良好的英语阅读和写作能力。",DevOps Gin RAG SQL Linux Unix Shell Python Helm Jenkins CI/CD Prometheus,https://www.liepin.com/job/1981233799.shtml
devops工程师/运维开发工程师,华钦科技,15-20k,广州-天河区,广州,统招本科,5年以上,7月30日更新,liepin,"任职要求：
1.有信息技术、计算机科学或相关专业的学士学位或以上，在汇丰银行或金融行业有工作经验者优先。
2.具备 5年以上IT运维或站点可靠性工程（SRE）经验，专注基础设施管理与系统优化。
3.精通运维管控工具：Ansible, Puppet, Chef, Terraform, Prometheus, Grafana, ELK技术栈； Python/Shell脚本开发能力扎实。
4.熟悉主流云平台（AWS/Azure/GCP），包括 EC2, Lambda, Kubernetes 及容器化服务。
5.具备分布式系统、网络及应用的复杂问题排查能力（需提供案例证明）。
6.出色的书面与口头表达能力，能在快节奏动态环境中高效协作。
7.适应外企英文工作环境，具备良好的英语阅读和写作能力。",Ansible Terraform Prometheus Grafana Python Shell AWS Azure Kubernetes 容器化 分布式,https://www.liepin.com/job/1981233655.shtml
Devops运维开发工程师,华钦科技,19-21k,广州-天河区,广州,本科,5年以上,7月30日更新,liepin,"职位：Devops Engineer
岗位职责：
负责CI/CD（持续集成/持续部署）流程的构建与优化。
实现基础设施自动化（infra automation），如使用IaC（基础设施即代码）工具。
管理部署流水线（deployment pipelines）和环境（environment management），确保应用能够快速、可靠地部署到生产环境。

任职要求：
1.有信息技术、计算机科学或相关专业的学士学位或以上，在汇丰银行或金融行业有工作经验者优先
2. 熟悉以下技术栈：
DevOps工具: SHP, IKP
云平台: AWS
API网关: Kong
基础设施即代码: IaC
可观测性: 监控与日志 (observability)
发布工程: 保障软件发布的流程和稳定性 (release engineering)
3. 英语读写可作为日常工作语言，能参与英文会议并听懂大部分内容并参与简单交流

职位：Devops(大数据方向）
任职要求：
1.有信息技术、计算机科学或相关专业的学士学位或以上，在汇丰银行或金融行业有工作经验者优先
2.具备5年以上大数据平台运维经验，具有大数据平台搭建经验的Devops
3. 熟悉使用技术栈Trino，Minio，iceberg，Apache Ranger技术
4. 精通运维管控工具：Ansible, Puppet, Chef, Terraform, Prometheus, Grafana, ELK技术栈
5.Python/Shell脚本开发能力扎实
6.具备分布式系统、网络及应用的复杂问题排查能力
7.英语书面读写良好，能阅读英文技术文档
8. 粤语听说熟练是加分项",DevOps Gin CI/CD AWS Trino Ansible Terraform Prometheus Grafana Python Shell 分布式,https://www.liepin.com/job/1983160815.shtml
DevOps运维开发工程师(外资银行),莱科德信息科技(天津)有限公司,15-22k·13薪,天津,天津,本科,5-10年,90天前更新,liepin,"Project Description:
The team is responsible for building in-house platform between trade process systems, You will be working with highly skilled engineers on WebServices (APIs), Trade processing system, FM FX, Derivatives etc. domain. Micro service and Devops and get to work in modern software development environments and practices. As part of the FMTPT team, you will have an opportunity to contribute to the evolving technical direction of the team as we adapt to this rapidly changing space.

As a senior DevOps Engineer you will focus on automated deployments and Server Environment and participate into multiple agile software delivery teams to deliver the business value to the Business. You will understand the different technology silos within the Bank and how to interface with them. You will be part of the team that constantly analyse and improve the Murex Trade processing platform from a technical point of view as well as from user experience view. You'll keep yourself updated with the latest software technologies and sharing the knowledge to team.

Responsibilities:
• Design resilient, flexible and scalable solutions following the bank standards
• Get Infra, database installed
• Deploy services in Kubernetes
• Monitor systems: dashboarding, alerting
• Configure and respond to alerts: resolution / escalation
• Automate resolutions
• Maintain a knowledge base of resolution
• Writing application in Java, Golang, Python
• Work in AWS to build solutions
• Coordinate with other teams in Technology
• Open minded, and able to take inputs and feedbacks
• Proactive and helpful not only to your squad, but other squads as well
• Speak your mind, communicate well and concise
• Have a strong sense of customer empathy and desire to influence product/platform direction

Mandatory Skills Description:
• 7+ years of experience
• Experienced in CI/CD tool chains
• Development experience: GIT, java spring, Golang
• Automation experience: Ansible, Puppet, Chef
• Monitoring Experience with Kibana, Grafana, Elasticsearch
• Experience with microservice based architectures
• Experience of Unix / Linux environments and bash scripting
• Experience with setting up and running databases
• Experience on Kubernetes is a plus
• Experience of Agile / Scrum development methodologies is a plus
• Cloud knowledge a big plus (AWS / GCP) - (Kubernetes / Docker)
• Be nice, respectful, able to work in a team",Gin DevOps Scala Kubernetes Java Golang Python AWS CI/CD Git Spring Ansible,https://www.liepin.com/job/1977328013.shtml
中/高级devops开发工程师/devops engineer,某大型世界500强咨询服务公司,15-30k·13薪,广州,广州,学历不限,5-10年,今日更新,liepin,"核心职责：
DevOps 平台研发：通过 API 深度集成 Azure DevOps（ADO），实现流水线自动化、多租户 RBAC 权限管理及自助式资源供给。
可观测性工程：主导监控与日志系统的二次开发及集成；利用 Prometheus 采集核心业务指标，在 Grafana 中搭建可视化仪表盘，并基于 ELK 栈构建高性能日志分析流水线。
基础设施即代码（IaC）：编写并维护 Ansible 脚本，为混合云环境中的服务器、网络及数据库实现程序化配置与版本控制。
自动化流水线工程：在 ADO 中设计并优化基于 YAML 的多阶段流水线；开发自定义任务（Custom Tasks），集成代码质量分析与合规性检查功能。
调优与可靠性保障：负责生产环境虚拟机（VM）调优、Kubernetes 集群性能监控及故障排查，确保交易时段零停机。

岗位要求 ：
·计算机科学、工程或相关领域的学士学位。
·5+年DevOps、站点可靠性工程或基础架构工程经验，有管理经验加分。
·在复杂、受监管的行业（最好是银行或金融服务业）管理CI/CD管道的良好业绩记录。
·实际操作的专业知识，包括:
· CI/CD工具（Jenkins、GitLab CI、Azure DevOps、ArgoCD、Tekton）
·容器和编排（Docker、Kubernetes、OpenShift）
· 基础设施作为代码（Terraform, Ansible, Puppet, or Chef）
·云平台（AWS、Azure、GCP或私有云）
· 监控/可观察性（Prometheus、Grafana、ELK、Splunk、Datadog、AppDynamics）
·对金融系统中的网络、安全性、加密和合规性有较强的了解。
·英语可作为工作语言，全英文面试

福利待遇：
1、13薪+年终奖+带薪培训+免费体检+节假日福利+带薪年假+带薪病假；
2、入职即缴纳五险一金；
3、生日福利：会有意想不到的生日惊喜；
4、团建活动：每年都会组织出去旅游2-3次；
5、培训：新进人员有免费全面、系统的岗前培训;
6、工作环境：优秀的工作环境，空间开放敞亮，个人独立坐席，企业氛围朝气有活力；
7、员工活动：丰富多彩的各类员工活动和运动俱乐部；E-Learning学习平台；家庭日活动；外出旅游；项目聚餐；各类培训课程等。",DevOps Azure Prometheus Grafana Ansible Kubernetes CI/CD Jenkins GitLab CI Go Docker Terraform,https://www.liepin.com/a/77718657.shtml
