job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
推荐算法（财富方向）实习生27年及以后毕业,京东科技集团,400-500元/天,北京-通州区,北京,本科,,90天前更新,liepin,"职位详情：我们正在寻找一位充满热情并具有财富行业工作经验的推荐算法工程师，加入我们的金融科技团队。作为团队一员，你将专注于推荐算法在金融理财场景中的创新应用和优化，推动业务效率提升和客户体验升级。

岗位职责：
1、负责财富行业的个性化推荐算法设计与优化，清晰了解算法架构；
2、理解用户行为数据、资产特征、以及交叉特征的重要性，能够提升推荐系统的准确性和覆盖率；
3、持续跟踪和引入业界先进的推荐算法技术，提升用户体验和业务效果。

岗位要求：
1、计算机、数学或相关专业本科及以上学历；
2、具备扎实的数据结构与算法基础，熟悉机器学习及推荐系统的基本原理；
3、有财富行业或金融领域推荐算法开发经验者、具备财富业务认知的优先；
4、熟练掌握Python、R或Java等编程语言，熟悉SQL；
5、具有良好的数据分析能力和逻辑思维能力，能够独立完成项目；
6、具有较强的学习能力和团队合作精神，能够承担一定的工作压力。

招聘人数：1人",推荐系统 机器学习 Python Java SQL 数据分析,https://www.liepin.com/lptjob/78137035
推荐算法实习生,杭州零新网络科技有限公司,250-400元/天,杭州-萧山区,杭州,硕士,,6月16日更新,liepin,"职位描述
我们想找一位对推荐、排序、匹配方向感兴趣的实习生或应届生。

公司主要做娱乐社交产品，【我们的app-兴聊 】核心场景包括主播推荐、用户匹配、消息触达、流量分发等。这个岗位会接触真实业务数据，不是只做课程项目或离线实验。

你不需要一上来就独立负责完整推荐系统，但需要有一定算法和数据基础，熟悉 Python / SQL，愿意结合业务场景做分析、实验和策略优化。
⸻
岗位职责
1. 参与推荐、排序、匹配相关策略的数据分析和效果评估。
2. 协助优化主播推荐、用户匹配、消息触达、流量分发等业务场景。
3. 使用 Python / SQL 进行数据处理、指标统计、特征分析和实验复盘。
4. 参与用户分层、主播分层、冷启动、曝光控制、流量分配等策略分析。
5. 在负责人指导下参与推荐策略开发、接口联调和 A/B 实验。
6. 和产品、运营、研发一起理解业务问题，推动推荐效果持续优化。
⸻
任职要求
1. 本科及以上学历，计算机、软件工程、数据科学、人工智能、统计学、数学等相关专业优先。
2. 熟悉 Python 和 SQL，有基本的数据处理和分析能力。
3. 了解机器学习、推荐系统、排序算法、用户画像、A/B 实验等基础概念。
4. 做过推荐算法、搜索排序、机器学习、数据挖掘相关项目者优先。
5. 有一定工程能力，能写代码完成实验、脚本、数据处理或简单接口开发。
6. 对业务结果敏感，愿意通过数据判断策略是否有效。
7. 学习能力强，沟通正常，能和产品、运营、研发一起推进事情。
⸻
加分项
1. 有推荐算法、搜索排序、机器学习、数据挖掘相关实习或项目经验。
2. 熟悉 Pandas、NumPy、Scikit-learn、PyTorch、TensorFlow、LightGBM 等工具。
3. 了解召回、排序、冷启动、曝光控制、特征工程、A/B 实验等推荐系统环节。
4. 对社交、直播、内容分发、用户匹配类产品感兴趣。
5. 可长期实习或毕业后可转正优先。
⸻
福利：
包午餐、晚餐，各种免费零食饮料，提供交通补贴、租房补贴
补贴：交通补贴300–500元/月，租房补贴800–1500元/月
表现优秀可转正，参与真实推荐、排序、匹配业务场景
实习满 3 个月，阶段成果达到业务要求，根据项目结果评估，可发放项目奖金

截止日期：2027年06月16日
招聘人数：1人",推荐系统 Python SQL 机器学习 Scikit-learn PyTorch TensorFlow LightGBM 数据分析,https://www.liepin.com/lptjob/83479083
04推荐算法,北京昊唐科技有限公司,8-15k,北京-朝阳区,北京,本科,应届,90天前更新,liepin,"岗位职责：
1、参与宠物家电商用户个性化商品推荐算法的优化，包括但不限于XGB、DNN、DeepFM、DIN，ESMM等；
2、将业界先进的推荐算法应用到个性化推荐业务的改进中，包括但不限于召回、粗排、精排、冷启动优化、EE等；
3、挖掘和分析海量用户行为数据，进行兴趣挖掘，长短期兴趣建模，以及兴趣预测；
4、将业界先进的智能营销算法用到电商营销场景当中，包括但不限于电商知识图谱构建、差异化促活、个性化促留存等；
5、与运营、产品和工程同学沟通协作，协助将营销算法产品的落地。
任职要求：
1、硕士以上学历，2022年毕业优先，计算机、数学、统计相关专业优先；
2、熟练使用Python、SQL等开发语言，了解TensorFlow、pytorch等至少一种深度学习框架者优先；
3、熟悉常用机器学习（LR/RF/XGB等）和深度学习相关算法；
4、有算法相关实习经验或机器学习、数据挖掘等相关项目经验者优先；
5、有数据挖掘相关比赛经验者（如：kaggle或AIchallenger）优先。

招聘人数：1人",Python SQL TensorFlow PyTorch 深度学习 机器学习,https://www.liepin.com/lptjob/44406395
算法实习生（推荐算法）,上海哔哩哔哩科技有限公司,300-400元/天,上海-杨浦区,上海,本科,,90天前更新,liepin,"工作职责
1、参与哔哩哔哩个性化推荐算法研发，通过优化机器学习模型、算法和策略机制，提升用户体验，提高内容分发效率
2、跟踪学习相关领域前沿进展，实现技术突破和业务落地
3、对于推荐系统的数据链路，实时计算，大规模在线服务进行的优化和升级。
任职要求
1、大学本科生或研究生，计算机、软件工程、电子信息、自动化、数学、统计等相关专业；
2、具备扎实的算法基础和优秀的编码能力
3、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于解决问题和分析问题
4、加分项
a. 算法与编程能力强，ACMICPC, NOI/IOI，Top coder，kaggle比赛获奖者优先
b. 哔哩哔哩up主或老用户

招聘人数：1人",机器学习 推荐系统 ACMICPC NOI IOI Top,https://www.liepin.com/lptjob/77158627
推荐算法工程师,,300-400元/天,北京-昌平区,北京,硕士,,90天前更新,liepin,"岗位职责:
1. 设计并实施推荐算法，以提升用户体验和增加用户参与度。
2. 分析用户数据，洞察用户偏好，构建精准的用户模型。
3. 研究最新的机器学习和深度学习技术，推动算法的持续优化。
4. 与团队成员紧密合作，确保算法与业务目标一致。
5. 监控算法性能，及时识别并解决技术难题。

任职要求：
1. 熟练掌握Python等编程语言，具备良好的数据处理和分析能力。
2. 对机器学习和深度学习算法有深入理解，能够应用于实际问题。
3. 具备创新思维和独立解决技术问题的能力。
4. 能够与团队成员有效沟通，推动项目实施。
5. 对新技术充满热情，愿意不断学习和探索。

招聘人数：1人",机器学习 深度学习 Python,https://www.liepin.com/lptjob/74350213
推荐算法,北京鸿盈信息技术有限公司,150-300元/天,北京-朝阳区,北京,本科,,90天前更新,liepin,"职位描述：

1.基于机器学习、协同过滤、信息检索、图算法等技术优化推荐算法效果，提高产品体验与流量效率；

2.利用数据、经验和客观规律，改善生态环境，提升运营能力；

3.探索基于深度学习、NLP等技术的应用创新；

任职要求：

1.有良好的数理基础和编程能力，热爱算法，对大数据业务有好奇心；

2.精通机器学习、NLP、深度学习，对推荐算法、信息检索有所实践经验；

3.熟练掌握C++、Python，有Hadoop、spark等大数据计算平台应用经验；

4.优秀的分析和解决问题的能力，对挑战性问题充满激情；

5.有优秀的算法研究成果优先。

注：有转正机会

投递要求：
简历要求： 中文
截止日期：2022-12-06
工作地点：
北京市朝阳区酒仙桥路6号院2号楼收起地图

地址
北京市朝阳区酒仙桥路6号院2号楼

招聘人数：1人",机器学习 深度学习 C++ Python Hadoop Spark,https://www.liepin.com/lptjob/52357351
推荐算法实习生,360,150-300元/天,北京-朝阳区,北京,学历不限,,90天前更新,liepin,"
  岗位描述：

    1、基于大规模机器学习和数据挖掘技术，尤其是基于深度学习的个性化推荐算法，挖掘用户的兴趣点，完成千人千面的个性化推荐；

    2、利用基于深度学习的nlp、cv等技术，进行文本、图片和视频的内容提取，为产品个性化推荐提供内容理解。

    任职要求：

    1、深入理解nlp相关技术：长短文本分类、关键词提取、非结构化文本关系抽取，以及文本语义匹配等技术；

    2、熟悉cv的目标检测、OCR、或者图片分类等技术，为视频内容提供理解；

    3、熟练掌握Tensorflow、PyTorch等深度学期框架，熟练掌握Hadoop、Spark、PySpark等大数据平台；

    4、具有较好的技术结合业务思维者优先。


招聘人数：1人",机器学习 深度学习 TensorFlow PyTorch Hadoop Spark,https://www.liepin.com/lptjob/48904169
推荐算法工程师,互联网已上市10000人以上,500-1000元/天,北京-通州区,北京,本科,,90天前更新,liepin,"岗位职责
1）协助优化推荐系统机制模块算法策略。
2）核心业务痛点问题的数据分析及相关系统模块的策略优化，提升业务指标。

职位要求
1）本科以上学历，计算机、数学、统计学相关专业
2）熟练掌握python、sql编程语言，对数据结构和算法设计有较为深刻的理解。
3）熟练使用常见的机器学习、深度学习算法。
4）具备较强的解决问题能力和工程实践能力，良好的团队合作和自我驱动精神
5）保证实习周期和每周到岗时间

招聘人数：1人",推荐系统 Python SQL 机器学习 深度学习 数据分析,https://www.liepin.com/lptjob/72780415
推荐算法（27届提前批）,拼多多集团-PDD,25-40k·16薪,上海-长宁区,上海,硕士,应届,7月15日更新,liepin,"27届研发提前批招聘中！不影响秋招正式批投递（7.6-8.23）

互联网大厂，具有竞争力的起薪，HC多，项目实践机会多，流程推进速度快！

岗位职责
1、利用机器学习/深度学习技术/图计算技术，优化app内外搜索、推荐、广告、图像、风控、智能客服、平台等效果，提升数亿用户的购物体验和平台的变现效率；
2、深入产品和业务，发现算法和机制中的不足，提出改进方案并且推动实现；
3、跟踪业界和学术界最新进展，将理论成果应用到业务场景，提升业务效果。
任职要求
1、2027届毕业生，硕士及以上学历，计算机相关专业，对算法有浓厚兴趣；
2、具备强悍的编码能力，熟悉linux开发环境，熟悉TensorFlow、PyTorch、Hive优先；
3、具备扎实的数据结构功底，熟悉机器学习、深度学习、图计算、自然语言处理、数据挖掘中一项或多项；
4、对大语言模型、用户增长、搜索引擎、推荐系统、计算广告、图像、互联网风控、智能客服、平台等相关领域有经验者优先；
5、具备较好的数理基础和逻辑分析能力，对解决具有挑战性的问题充满激情，具备较好的主动性和团队合作精神。
 

截止日期：2027年07月07日
招聘人数：100人",机器学习 深度学习 Linux TensorFlow PyTorch Hive 自然语言处理 推荐系统,https://www.liepin.com/lptjob/83963451
推荐算法工程师,杭州零新网络科技有限公司,17-30k,杭州-萧山区,杭州,本科,应届,6月10日更新,liepin,"职位描述   （接受应届毕业生）
想找一位真正做过推荐、排序、匹配的人。
我们不是招纯模型研究岗，也不是招只会写接口的后端。这个岗位更看重你能不能结合业务，把推荐策略设计出来，接到系统里，再通过数据看效果。
我们主要做娱乐社交产品（兴聊app，已上线运行，可先了解app），核心场景包括 1V1 聊天、音视频通话、主播推荐、用户匹配、消息触达等。
你要解决的问题会比较具体，比如：
什么样的男用户，应该优先推荐什么样的主播；
新用户进来，先给他看哪些人，更容易产生互动；
高付费用户、回流用户、新用户的推荐策略要不要区分；
新主播、优质主播、回归主播，流量应该怎么分配；
推荐策略调整后，回复率、接通率、通话时长、充值转化有没有变化。

我们希望你不是只做一个模型或一个功能，而是能围绕业务结果持续优化推荐和匹配策略。
岗位职责
负责推荐、排序、匹配相关策略的设计、开发和优化。
结合用户行为数据，优化主播推荐、用户匹配、消息触达、流量分发等场景。
参与召回、排序、重排、冷启动、曝光控制、流量分配等推荐链路建设。
根据不同用户类型设计推荐策略，比如新用户、活跃用户、高付费用户、回流用户等。
根据不同主播类型设计分发策略，比如优质主播、新主播、回归主播、低转化主播等。
跟产品、运营、研发一起分析问题，把策略落到系统里，并持续看数据效果。
关注回复率、接通率、通话时长、充值转化、留存等核心指标，参与 A/B 实验和策略迭代。

任职要求
本科及以上学历，计算机、软件工程、数据科学、人工智能等相关专业优先。
有推荐、排序、匹配、搜索、内容分发、用户增长策略等相关项目经验。
熟悉推荐系统基本链路，比如召回、排序、重排、冷启动、曝光控制、探索与利用等。
Python 熟练，能做数据处理、策略开发、接口联调和上线验证。
有一定后端开发能力，能把策略真正接到业务系统里。
有数据意识，知道怎么通过数据判断策略有没有效果。
能理解业务目标，愿意深入用户行为、转化链路和产品场景。

加分项
做过社交、直播、语音房、视频聊天、内容社区、陪伴类产品推荐。
做过主播推荐、用户匹配、直播间推荐、内容流推荐、消息推荐等项目。
熟悉 A/B 实验、特征工程、用户分层、流量分配、推荐效果归因。
有付费转化、留存、活跃、通话时长、互动率等指标优化经验。
既懂算法，也愿意深入业务，不只是停留在模型和指标层面。

截止日期：2027年05月14日
招聘人数：1人",推荐系统 Python,https://www.liepin.com/lptjob/82543255
