job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
自然语言处理算法工程师,南京蔚蓝智能科技有限公司,2-4万,南京·浦口·顶山,南京,本科,经验不限,7月26日,zhilian_direct,职位描述 人工智能 职责描述： 1.负责机器狗对话系统的设计与开发，实现自然流畅的语音交互体验； 2.研发并优化NLP算法（如意图理解、智能问答等），推动算法在终端场景的高效落地； 3.结合Large Language Model（LLM），提升机器狗的语义理解与逻辑推理能力； 4.协同产品、开发及测试团队，确保算法在端侧产品的性能与质量达标； 5.跟进NLP领域前沿技术，持续提升产品竞争力。 任职要求： 1.统招本科及以上学历，计算机、人工智能、数学机器学习等相关专业，具备扎实的数学基础和算法能力； 2.熟悉机器学习算法原理，熟悉深度学习模型和算法，有TensorFlow、PyTorch等实际经验； 3.具备NLP领域研究或项目经验，如语言模型、对话系统、语义理解等； 4.熟练使用相关计算机语言，如C++、Python等，熟悉GPU下并行计算和分布计算者优先； 5.具备良好的逻辑思维能力、解决问题能力以及强烈的技术好奇心。 工作地点 南京浦口区江北新区研创园孵鹰大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CCL1271172070J40944359804.htm?refcode=4019&srccode=401903&preactionid=f60163c0-90c3-4d12-bad9-499abd291b61
自然语言处理算法工程师,上海柒志科技有限公司,1.6-2万·13薪,南昌·青山湖·塘山,南昌,硕士,1-3年,7月26日,zhilian_direct,职位描述 文本分析 人工智能 1. 负责自然语言处理（NLP）相关算法的设计、开发与优化，包括但不限于文本分类、命名实体识别、关系抽取、文本摘要、机器翻译、问答系统、情感分析等方向； 2. 参与NLP相关项目全流程技术落地，从需求分析、算法选型、模型训练/调优，到工程化部署，解决实际业务场景中的技术问题； 3. 跟踪自然语言处理、机器学习及深度学习领域前沿技术（如大语言模型微调、Prompt Engineering等），结合业务需求进行技术预研，提升产品核心竞争力； 4. 输出清晰的技术方案、算法文档及接口规范，保障项目高效推进； 5. 负责NLP算法性能优化，解决文本处理效率、模型推理速度等问题，满足不同场景的部署要求，提升算法运行效率与稳定性； 6. 负责自然语言处理相关的专利、项目申请书、项目汇报材料、项目总结等材料撰写。 二、任职要求 1. 研究生及以上学历，计算机科学、软件工程、计算语言学、数据科学、数学等相关专业； 2. 1-5年自然语言处理算法开发经验，有完整的NLP算法落地项目案例（如智能客服、文本审核、智能问答等）； 3. 精通至少一种深度学习/机器学习框架（TensorFlow/PyTorch等），熟练掌握Python编程，具备扎实的代码功底与工程实现能力； 4. 扎实的自然语言处理与机器学习理论基础，深入理解文本预处理、词向量表示、语言模型原理，熟悉主流NLP算法及模型（如BERT、RoBERTa、GPT系列等）； 5. 具备良好的问题分析能力、沟通协作能力，对NLP领域技术有浓厚热情，能承受一定的项目压力； 6. 具备良好的文档撰写能力，有发明专利申请经验或发表过SCI、中文核心等期刊论文者优先；有大语言模型微调、部署或相关预训练经验者优先，熟悉中文NLP处理场景者优先。 工作地点 江西省南昌市青山湖区高新大道555号13楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,文本分析,http://www.zhaopin.com/jobdetail/CCL1277074980J40980737502.htm?refcode=4019&srccode=401903&preactionid=f60163c0-90c3-4d12-bad9-499abd291b61
自然语言处理算法工程师,北京新能致通电力科技发展有限公司,1.3-2.3万,北京·海淀·上地,北京,本科,1-3年,7月26日,zhilian_direct,职位描述 机器学习 深度学习 Python C++ Java PyTorch TensorFlow 电力/水利/热力/燃气 职责描述： 1、在实际项目中成功落地人工智能解决方案，能够应对各类挑战并确保项目按计划推进，提供对人工智能技术的深度洞察，并为团队提供关于技术选型和实施的建议； 2、负责大模型部署及运行环境的搭建，参与大模型及智能体的应用研发，熟练掌握大模型训练技术和推理优化技术，结合最新的SFT、RLHF等算法，持续提升模型效果； 3、参与大模型相关的数据工程，包括预训练数据、微调数据、行业数据挖掘等，支撑电力协议相关知识库构建； 岗位要求： 1、 本科及以上学历，计算机科学、自然语言处理、人工智能等相关专业； 2、 2年及以上相关工作经验； 3、 专业知识及技能： （1）熟悉Python/Java/C/C++等编程语言，具有良好的编码习惯和一定的工程能力； （2）熟悉了解Llama3、Qwen、Stable Difusion等开源大模型，对大模型、自然语言处理等至少一个领域有深入研究，有多模态大模型研发经验者优先； 熟悉常用机器学习、深度学习框架(如TensorFlow、PyTorch等)，熟悉大模型；本科及以上学历，计算机科学、自然语言处理、人工智能等相关专业； 2、 行业背景及工作经验：2年及以上相关工作经验； 3、 专业知识及技能（熟练掌握、掌握、熟悉、理解某项知识或技能）： （1）熟悉Python/Java/C/C++等编程语言，具有良好的编码习惯和一定的工程能力； （2）熟悉了解Llama3、Qwen、Stable Difusion等开源大模型，对大模型、自然语言处理等至少一个领域有深入研究，有多模态大模型研发经验者优先； （3）熟悉常用机器学习、深度学习框架(如TensorFlow、PyTorch等)，熟悉大模型训练框架DeepSpeed、Megatron等 （4）熟悉大模型主流应用场景，如RAG、Graph-based RAG、Agent等，有实际落地经验者优先。 工作地点 北京海淀区华成大厦4层822室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器学习,深度学习,Python,C++,Java,PyTorch,TensorFlow",http://www.zhaopin.com/jobdetail/CCL1508166340J40756937406.htm?refcode=4019&srccode=401903&preactionid=f60163c0-90c3-4d12-bad9-499abd291b61
算法工程师（NLP / 自然语言处理方向）,山西世恒铁路技术有限公司,9000-18000元,太原·小店·平阳路,太原,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1.负责自然语言处理相关算法的研发与应用，包括文本分类、命名实体识别、信息抽取、文本匹配等； 2.基于大语言模型（LLM） 或传统 NLP 方法，解决实际业务中的文本理解问题； 3.参与模型训练、微调、评估及部署流程，提升算法效果与工程可用性； 4.支持 NLP 算法在业务系统中的落地，如 智能问答、语义搜索、文本分析等； 5.跟进 NLP 与大模型相关技术发展，持续优化算法方案。 任职要求： 1.本科及以上学历，计算机、数学、人工智能等相关专业（1 年以上经验或优秀实习生）； 2.掌握 NLP 基础任务，如分词、文本分类、实体识别、文本相似度计算等； 3.熟悉主流 NLP / 大模型框架，如 BERT / GPT / LLaMA / Transformers； 4.熟练使用 Python，熟悉 PyTorch 或 TensorFlow； 5.具备良好的逻辑思维能力、学习能力和团队协作能力。 加分项： 1.有大模型微调（LoRA、Prompt、RAG） 相关经验； 2.有 NLP 算法工程化或业务系统集成经验； 3.有知识库、知识图谱或搜索相关项目经验。 可跨方向学习与成长，具备 CV / 语音 / NLP 任一方向经验即可，入职后可根据项目需求参与多方向技术实践。 年薪：15-25万+/年 福利：五险一金、双休、年终奖、职称津贴、周期性加薪、餐补、工龄工资、出差补助、话费补助、带薪年假、法定节假日、节假日福利、定期培训、定期体检、集体旅游…… 工作地点 小店区山西省太原市高新技术开发区技术路22号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"PyTorch,TensorFlow,CNN,Python,NLP",http://www.zhaopin.com/jobdetail/CC444938210J40833221710.htm?refcode=4019&srccode=401903&preactionid=f60163c0-90c3-4d12-bad9-499abd291b61
高级算法工程师（自然语言处理 / 大模型）,北京万易信息技术有限公司,1.4-2.8万,北京·东城·崇文门外,北京,硕士,3-5年,7月26日,zhilian_direct,岗位职责： 1、负责公司产品或项目中涉及到的AI方面技术方案的编制； 2、负责算法设计、算法代码开发，完成模型训练以及部署，对算法进行改进调优； 3、指导算法工程师、算法实习生完成工作任务，如算法研发、数据标注、模型训练等； 4、根据公司计划落实与外部顾问在AI方面的合作，包括国内外高校和科研机构等； 5、承担知识产权的申请工作，包括专利和论文的撰写及发表。 任职要求： 1、计算机、数学、统计学等相关专业研究生以上学历，或者985及211本科毕业生；具有较强的沟通管理能力； 2、3年以上AI开发工作经验，至少熟悉以下一种领域：大模型、计算机视觉识别、NLP、隐私计算、具身智能等； 3、具有较强的数学基础，掌握各种传统机器学习的算法，如：SVM、决策树、HMM、KNN等； 4、熟练使用ROS1和ROS2 5、精通至少一种开源深度学习框架Pytorch/Tensorflow/MxNet/Caffe等； 6、具备基本的英文技术文档读写能力，具有较强的学习能力，能够通过阅读论文学习新算法和理论知识，发表学术会议或期刊论文者优先。 福利待遇： 五险一金，双休，法休，交通补，餐补，全勤奖、年终奖，节日福利 工作地点 北京东城区崇文门外大街-3号楼6层南办604 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,大模型算法",http://www.zhaopin.com/jobdetail/CC303586310J40766056802.htm?refcode=4019&srccode=401903&preactionid=f60163c0-90c3-4d12-bad9-499abd291b61
“智链未来”计划——2027届AI应用工程师（实习生）,广信通信,5000-8000元,广州·海珠·昌岗,广州,本科,经验不限,7月26日,zhilian_direct,职位描述 自然语言处理算法 语音算法 摘要生成 语言PYTHON 推荐算法 语义理解 大模型算法 通信运营商/电信增值服务 工作职责 1.基于大语言模型（LLM）应用开发平台复杂业务流程的设计、搭建与优化，独立完成多节点、多分支、高逻辑复杂度的流程编排工作，保障流程高效稳定运行。 2.对接业务部门需求，梳理并拆解复杂业务逻辑，将业务场景转化为可落地的流程方案，解决流程落地中的技术与逻辑问题。 3.负责大语言模型（LLM）应用开发平台的流程调试、测试与迭代优化，排查流程运行中的异常、卡顿及逻辑漏洞，提升流程执行效率与稳定性。 4.结合AI能力、API 接口调用、数据交互等需求，完成流程与第三方系统、工具的集成对接，实现数据互通与功能联动。 5.编写流程设计文档、操作手册及技术说明，沉淀复杂流程编排的最佳实践与方法论，为团队提供技术支持与经验分享。 6.跟踪 大语言模型（LLM）应用开发平台功能更新与行业技术趋势，探索流程自动化、智能化升级方案，持续优化现有流程体系。 任职条件 1.本科及以上学历，计算机、软件工程、信息管理等相关专业优先，接受应届毕业生，具备大语言模型（LLM）应用开发平台流程编排相关工作经验优先考虑。 2.精通大语言模型（LLM）应用开发平台核心功能，熟练掌握复杂流程编排技巧，能独立完成多条件分支、循环、嵌套、异常处理等高阶流程设计。 3.熟悉流程自动化逻辑，具备较强的业务梳理与逻辑拆解能力，能快速理解复杂业务场景并转化为流程方案。 4.了解 API 接口调用、数据交互原理，有流程与第三方系统集成经验者优先。 5.具备良好的问题排查与解决能力，能快速定位流程运行中的逻辑、技术问题并给出解决方案。 6.工作严谨细致，具备良好的沟通协作能力与文档编写能力，能高效对接业务需求并落地执行。 7.有 NLP、多模态、推荐系统等领域模型微调经验者优先。 薪酬情况 月薪5K-8K，12薪 福利待遇 1、享有五险一金。 2、依法享受加班费、病假、年假，公司提供带薪病假、年度体检、团建活动等。 工作时间：8：30-12：30，14：00-17：30，周末双休 工作地点：广州市海珠区昌岗东路 工作地点 广东省广州市海珠区昌岗东路283~285号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"自然语言处理算法,语音算法,摘要生成,语言PYTHON,推荐算法,语义理解,大模型算法",http://www.zhaopin.com/jobdetail/CC147449810J40875569609.htm?refcode=4019&srccode=401903&preactionid=f60163c0-90c3-4d12-bad9-499abd291b61
新乡实习-AI应用工程师,新乡市德工机械有限公司,4000-8000元,新乡·红旗区·洪门镇,Guangzhou,大专,经验不限,7月25日,zhilian,岗位职责： 1、负责AI技术在实际业务场景中的应用开发与落地，推动智能化解决方案的实施； 2、参与AI模型的与实际工作的应用，提升在真实环境中的稳定性与效率； 3、与产品、算法和其他团队协作，完成从需求分析到技术实现的全流程工作； 4、探索前沿AI技术在企业应用中的可行性，推动技术创新与业务融合； 任职要求： 1、具备扎实的编程能力，熟练掌握Python等主流开发语言，熟悉常用AI框架； 2、熟悉机器学习、深度学习基本原理，了解常见模型的应用场景与调优方法； 3、熟悉prompt、context、MCP协议、SKILL等； 4、具备较强的学习能力和问题解决能力，对AI技术应用有持续热情； 5、具备良好的沟通协作意识，能够高效配合跨职能团队推进项目落地； 6、有AI应用实践最佳； 工作地点 新乡红旗区互联网大厦29楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,知识图谱,自然语言处理",http://www.zhaopin.com/jobdetail/CC377682920J40961822702.htm?refcode=4019&srccode=401901&preactionid=1fcdac18-bb76-43da-ad12-297b2199b577
NLP/CV/语音/深度学习/算法岗（接受应届+考研失败）,外企德科数字技术有限公司,1.8-3.5万·16薪,上海·浦东·金桥,Guangzhou,本科,经验不限,7月26日,zhilian,职位描述 Java Python C++ C语言 主题模型 PyTorch 计算机软件 产业互联网平台 云计算 人工智能 软件/IT服务 【招聘岗位】 开发、测试、算法、数据岗全年在招，全国均有岗位在招聘(北上广深、南京、成都、杭州、西安、东莞等) ，接受考研考公没上岸、空档，延毕、应届生、无经验、 转码等，欢迎小伙伴们问询~ 全程线上面试，提供笔面资料及辅导，参与核心项目开发，入职有资深导师一对一带教，Java/python/JS/C++/测试/算法等。 【福利待遇】 1、薪资pen，看个人能力不卡涨幅，调薪机会， 2、入职全额六险一金+双休，双倍加班费+加班餐补+加班打车报销 3、上下班有班车，园区有饭堂、免费健身房，良好的团队氛围、资深导师一对一带教 4、大厂待遇，合同及项目稳定，个人瓶颈期可申请挑战新项目，晋升空间广，办公环境高大上。 5、过节福利优厚，包括但不限于(过节费、节日礼盒、 福利活动、部门定期团建等) 【岗位要求】 1、计算机、软件、通信等相关专业，本科及以上学历，专业优秀者可放宽； 2、热爱编程，基础扎实，熟悉掌握 Java/python/C++/C/JS等任意编程语言，有良好的编程习惯； 3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践； 4、对数据结构、算法有一定了解； 【成长前景】 在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家，你将参与公司产品的软件研发工作，包括但不限于： (1)完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节; (2)创造性解决产品在实现过程中的技术难题应用前沿技术提升产品竞争力，如分布式系统，性能调优、可靠性、数据库等; (3)有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建在业界影响力。 工作地点 浦东新区上海华为研究所1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"Java,Python,C++,C语言,主题模型,PyTorch",http://www.zhaopin.com/jobdetail/CCL1480117890J40833127505.htm?refcode=4019&srccode=401901&preactionid=1fcdac18-bb76-43da-ad12-297b2199b577
大模型应用开发工程师,西安鹏耀博文信息技术有限公司,6000-10000元,西安·莲湖·北院门,Guangzhou,本科,经验不限,5月21日,zhilian,职位描述 大模型算法 多模态算法 自然语言处理 Python Java 大模型应用开发 PROMPT工程 LANGCHAIN框架 工作职责： 1. 基于主流大模型（如GPT、文心一言、通义千问等）进行应用层开发，包括prompt工程、插件集成与功能封装。 2. 负责大模型相关产品的技术方案设计，解决模型调用、上下文管理、多模态交互等核心问题。 3. 与产品团队协作，将业务需求转化为技术实现，推动大模型能力在具体场景中的落地与优化。 4. 跟踪大模型技术前沿动态，引入新技术提升应用性能与用户体验。 任职要求： 本科及以上学历，计算机、软件工程等相关专业，基础扎实。 熟练掌握至少一种编程语言（Python/Java/Go优先），具备扎实的代码能力。 具备良好的问题分析能力与业务理解能力，能快速定位并解决技术问题。 有AI产品开发、自然语言处理（NLP）或多模态项目经验者优先。 工作地点 西安市-莲湖区-莲湖西大街81号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大模型算法,多模态算法,自然语言处理,Python,Java,大模型应用开发,PROMPT工程,LANGCHAIN框架",http://www.zhaopin.com/jobdetail/CCL1509995720J40850668311.htm?refcode=4019&srccode=401901&preactionid=1fcdac18-bb76-43da-ad12-297b2199b577
AIGC与工作流实习生｜ComfyUI/LoRA/Agent,黑龙江省东肆文化发展有限公司,80-150元/天,哈尔滨·道里·群力,Guangzhou,本科,经验不限,7月25日,zhilian,岗位职责 1. 协助完成公司本地AI环境、模型及ComfyUI节点的安装、整理和维护； 2. 搭建和优化文生图、图生图、局部重绘、高清放大、批量生成等ComfyUI工作流； 3. 参与LoRA训练，包括素材筛选、图片整理、打标、训练、测试及版本优化； 4. 测试AI效果图转视频、镜头运动、画面一致性及视频生成工作流； 5. 参与公司AI Agent及自动化流程搭建，包括素材整理、任务分配、批量生成和结果归档； 6. 整理模型库、工作流库、提示词库及相关操作文档； 7. 根据实际设计和新媒体工作需要，对模型、参数及工作流程进行持续调试。 任职条件 1. 本科大三或大四在读，人工智能、软件工程、计算机科学与技术、数字媒体技术等相关专业优先；其他专业如有完整的ComfyUI部署、LoRA训练或Agent项目经验，也欢迎投递； 2. 独立部署或使用过ComfyUI，了解模型、节点、插件和基本工作流程； 3. 完整尝试过至少一次LoRA训练，了解素材准备、打标、训练和测试过程； 4. 具备基础的Python、命令行或GitHub项目使用能力； 5. 对AI图像、AI视频、本地模型及Agent工作流有持续兴趣； 6. 学习能力和执行力强，愿意主动测试、记录问题并解决问题； 7. 每周可到岗4个整日，或3个整日＋2个半日，可连续实习3个月以上。 加分项 1. 有ComfyUI工作流、LoRA训练样片、AI视频或相关作品； 2. 接触过Stable Diffusion、FLUX、ControlNet等模型或工具； 3. 使用过Dify、n8n或其他Agent、自动化工作流工具； 4. 有设计公司、建筑、室内设计、短视频或视觉内容相关AI项目经验； 5. 有本地模型部署、多显卡任务或Linux使用经验。 我们提供 1. 参与一家设计公司从0到1搭建AI工作系统的真实项目经验； 2. 接触ComfyUI、LoRA、AI视频、Agent和自动化工作流的完整实践过程； 3. 公司配有多台NVIDIA高显存GPU工作站，可用于模型部署、LoRA训练和工作流测试； 4. 提供大量真实婚礼堂、宴会厅及商业空间设计案例和原创素材； 5. 提供AI工具、模型、设计案例库及技术方向支持； 6. 实习结束后可正常开具实习证明； 7. 对项目有明确贡献者，可另外出具**《企业AI系统建设项目实践证明》或项目推荐信**，说明实际参与的ComfyUI、LoRA训练、Agent搭建及模型部署工作； 8. 表现优秀并有意长期发展者，毕业后可优先转为正式岗位； 9. 公司配有小型健身房，适合热爱健身和日常运动的同学。 投递备注 投递简历时，请尽量附上ComfyUI工作流、LoRA训练样片、AI图片、AI视频、技术笔记或其他相关案例，并注明每周可到岗时间。 工作地点 哈尔滨市-道里区-融江路与机场路交汇处B1栋底商S03-2 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器视觉,自然语言处理,生成式AI/AIGC,AI AGENT,COMFULUI部署,LORA训练与调试,大模型算法,深度学习,机器学习,Python,PyTorch,OpenCV,COMFULUI,Transformer,自编码机,扩散模型/DIT,多模态大模型,GPT",http://www.zhaopin.com/jobdetail/CC846951120J40865987607.htm?refcode=4019&srccode=401901&preactionid=1fcdac18-bb76-43da-ad12-297b2199b577
