job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
厂内售前调试（责任制）,苏州杰锐思智能科技,1-1.5万,苏州·吴中区,苏州,大专,5年及以上,2026-08-07 14:44:21,job51,"工作职责:
1、负责设备售前调试：锂电池电芯中段设备，包括卷绕机、叠片机等；
2、厂内电气接线，机械调试，机械装配等工作策应支持；
3、负责机台出货前的安装、培训、维护工作; （机械落位安装调试，电气接线调试）；
任职资格:
1、技能要求：电气接线，机械调试，机械装配等；
2、善于语言表达，具备自动化设备装配，调试及电气方面的知识和技能；
3、有团队意识，热爱本职工作，能吃苦耐劳，待人诚恳；服从公司安排 ，对售后服务有兴趣，有良好的服务意识；",培训,https://jobs.51job.com/suzhou-wzq/173191568.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
技术工程师,东昇电磁兼容技术（深圳）有限公司苏州,5-8千·13薪,苏州·虎丘区,苏州,本科,2-3年,2026-08-09 12:13:57,job51,"岗位职责：
1、负责公司项目安装调试交付；
2、负责公司项目售前售后支持；
3、学习并解读国际、国内EMC标准；
4、积极配合公司各部门之间项目运转，提供技术支持；

任职要求：
1、本科或以上学历电子技术或电气专业，2-3年工作经验；
2、熟练掌握office办公软件，具有良好的英语读写能力；
3、熟悉EMC测试标准；掌握接收机、信号源、功率计、示波器等仪器的使用；
4、具有良好的时间管理能力和沟通技巧;具备独立工作与团队协作能力;具备独立解决问题及问题总结的能力;具备执行主管或经理安排的多项任务的能力。

福利待遇:
1、试用期即缴纳五险一金
2、过节福利、定期体检、年底双薪、年终奖金
3、周末双休、国家法定节假日
4、满一年享有10天带薪年假，往后累计***可享17天带薪年假
5、每年薪资普调
6、其他各类员工活动，包括但不限于员工旅行、下午茶、年饭抽奖等......

上班地点：苏州
工资：面议",技术支持,https://jobs.51job.com/suzhou-hq/173172584.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
售前技术支持工程师,玛努利液压器材（苏州）,8千-1万·13薪,苏州,苏州,本科,5年及以上,2026-08-03 12:00:47,job51,"Responsibilities：
1. Technical Support – Analyze customer requirements, provide product selection, technical proposals, and application calculations; conduct demonstrations and technical presentations; support on-site troubleshooting.
 2.Sales Support – Accompany sales team on customer visits and technical negotiations; identify new application opportunities; assist in converting technical opportunities into commercial projects; prepare quotations; support key account development.
3.Business Development – Explore new application scenarios in target industries; monitor market trends and competitor technologies; collect Voice of Customer feedback for new product development.
4.Product Management Support – Participate in new product launches in China; deliver product training to internal sales teams and distributors; prepare technical documentation, application guides, and case studies; provide feedback to Engineering for product improvements.
5.Cross-functional Collaboration – Cooperate closely with R&amp;D, Quality, Manufacturing, and Supply Chain; support product validation and customer trials; ensure customer requirements are accurately communicated internally.

Requirements:
1.Bachelor’s degree or above in one of the following:
 Mechanical Engineering, Industrial Engineering, Chemical Engineering, Mechatronics Engineering, Automation Engineering
 2.5+ years in technical sales, application engineering, or industrial engineering.
 3.Experience supporting OEMs and distributors is a plus.
4.English: Professional working proficiency (fluent in reading/writing and capable of technical communication)
5.Experience in one or more of the following areas is a plus:
* Industrial fluid handling
* Hydraulic systems
* Process engineering
* Mining
* Injection molding machines
* Construction equipment
* OEM manufacturing",Go Gin ROS Responsibilities Analyze Accompany Business Explore,https://jobs.51job.com/suzhou/173127740.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
售前技术支持工程师,昆山艾博机器人,1-2万,苏州,苏州,本科,3-5年,2026-07-29 10:16:22,job51,"岗位要求：
1.本科及以上学历，机械设计及自动化、模具设计制造等机电相关专业；
2.3-5年非标自动化项目经验，具有物流包装、机械加工、汽车电子、塑料成型（注塑周边）、产品组装领域自动化方案设计经验的优先考虑；
3.掌握设计所需软件技能，Solidworks、Autocad、inventor等；
4.熟悉机械材料和标准件的选型和应用；
5.具备良好的技术文档编制及管理能力；
6.有较强的沟通协调能力；
7.适应正常范围内客户现场交流的出差安排；


岗位职责：
1.负责非标智能制造项目生产现场工艺技术及工艺流程调研； 
2.负责非标智能制造项目的工艺流程梳理，节拍分析；
3.负责非标智能制造项目的工艺布局图的绘制、三维模型的搭建、技术文档的编写；
4.负责招投标标书编制及投标相关工作；
5.负责项目方案技术可行性及实施成本评估；
6.负责项目技术交流及汇报；
7.完成领导交办的其他事项；
五险一金、商业保险、免费工作餐、带薪年假、专业培训、定期团建活动、5天工作制",方案设计 技术文档 招投标 投标 培训 Solidworks Autocad,https://jobs.51job.com/suzhou/163013849.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
售前技术支持工程师,苏州康代智能科技,9千-1.3万,苏州·苏州工业园区,苏州,本科,3-5年,2026-07-30 15:30:46,job51,"职位描述：

1. Responsibility for evaluations and strategic installations
负责评估以及战略设备安装。
2. Solving immediate technical problems at strategic sites
解决战略客户点的即时技术问题。
3. Communicating issues to R&amp;D, tech. experts and sales
与研发、技术和销售部门及时进行问题沟通。
4. Assisting to sales in sales process
在销售过程中提供技术支持。
5. Other responsibilities as assigned by the superior
上级交办的其他工作。

岗位要求：
1. Bachelor degree.
本科学历。
2. More than 2 years experience of mechanical, electrical or software engineer;
有机械、电气或软件工程师等相关工作经验。
3. Experience with industrial systems;
有相关工业制度经验。
4. Background in service;
有客户服务等相关背景。
5. Communicative and positive attitude;
积极的沟通态度。
6. Good oral and written English;
英文读写流利。",Gin Go 技术支持 客户服务 Solving Communicating Assisting Other,https://jobs.51job.com/suzhou-gyyq/172061433.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
售前技术支持,江苏康众数字医疗科技,1.3-2万·13薪,苏州·苏州工业园区,苏州,本科,2年及以上,2026-06-15 18:01:23,job51,"一、岗位职责
1. 配合销售拜访集成厂商，进行产品演示、操作讲解及应用场景匹配；
2. 收集、分析客户的不同应用需求及问题，提供针对性的解决方案或建议；
3. 配合与支持产品经理及研发，将客户需求转化为实际软件及硬件方案，并进行方案验证与确认，最终将方案导入客户；
4. 掌握探测器不同应用的支持，包含医疗、牙科、工业、乳腺、宠物等；
5. 配合国内外出差安排，能够接受约25%-40%的国内外出差频率(国内通常2~5天/次，国外通常5-15天/次)，现场协助客户集成测试和优化产品方案；
6. 熟练编写中英文产品说明、使用文档，并为客户提供必要的技术培训。

二、任职要求:
（一）基本条件
1.本科及以上，医学影像技术、生物医学工程、放射医学、计算机、电子或电气工程、通信工程、自动化、测控技术与仪器、应用物理等理工科相关专业
2.2年以上工作经验，有售前、应用培训经验更佳，有C或C++软件编程基础；
3.交流能力强，英文听\说\写基础良好，具有自我学习能力，适应国内\海外出差;
（二）加分项
1.掌握影像设备的基本操作与图像评估（CT/MRI/DR等），能理解图像质量参数（SNR、CNR、分辨率、伪影等）并面向客户解释；
3.熟悉电子电路，网络通信协议，对X射线探测器或图像采集系统有经验者。",C++ 培训 CT MRI SNR CNR,https://jobs.51job.com/suzhou-gyyq/171566922.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
售前技术支持经理/主管,江苏久众新视智能科技,1.5-3万·14薪,苏州·高新区,苏州,本科,3年及以上,2026-07-25 19:28:26,job51,"工作内容：
1、对公司客户进行售前技术沟通与支持，包括需求分析、项目评估等。
2、针对客户需求，制作项目方案，并向客户讲解与沟通。
3、充分掌握公司过往传统算法、深度学习等案例，灵活应用于项目方案。
4、具体方案设计、技术协议、成本估价等。
5、负责视觉解决方案标准化，规范化文档的撰写，对外培训文档等。

任职资格：
1、本科以上学历，理工科（机械、图像处理、自动化等）相关专业，3年以上机器视觉行业工作经验。
2、善于沟通，耐心，充分理解客户需求，善于从使用者角度考虑问题。
3、具备自动化项目关键部件和技术的合理选型能力，并熟悉供应链，能够相对准确的选型估价。
4、熟练运用视觉四大模块应用场景。
5、有3D项目经验优先考虑。",深度学习 需求分析 方案设计 培训 供应链,https://jobs.51job.com/suzhou-gxq/169952687.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
售前技术支持工程师,江苏康众数字医疗科技,1.5-2万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-23 13:19:43,job51,"岗位职责：
1、负责客户技术交流与需求挖掘，结合客户业务场景提供针对性的技术解决方案，输出高质量的技术方案文档和PPT演示材料；
2、主导售前技术支持工作，包括产品演示、技术宣讲、方案对比分析等，辅助销售团队完成项目推进和合同签订；
3、参与招投标项目，负责技术标部分的编写与讲解，制作投标技术方案，确保投标文件的专业性和竞争力；
4、深入了解行业动态及竞争对手技术特点，收集市场反馈信息，为产品研发和优化提供有价值的技术建议；
5、为客户提供专业的技术培训、远程及现场技术支持服务，处理技术咨询和问题答疑，提升客户满意度；
6、参与项目实施前的技术交接和方案落地支持，确保项目顺利交付和客户需求的有效实现；
7、建立并维护客户技术档案和解决方案知识库，持续完善公司售前技术资源体系；

任职要求：
1、本科及以上学历，计算机、电子信息、通信工程、自动化等相关专业背景
2、3年以上售前技术支持、系统集成或IT解决方案相关工作经验，有独立主导项目售前全流程经验者优先
3、熟悉相关技术领域知识（如网络架构、云计算、信息安全等），具备扎实的专业技术基础和实践能力
4、具备优秀的问题分析和解决能力，能够快速理解客户业务需求并提供切实可行的技术建议
5、良好的商务沟通能力、演讲表达能力和文档撰写能力，能够独立完成技术方案、PPT等材料的制作
6、具备良好的团队协作精神、高度的责任感和抗压能力，能够适应阶段性出差工作
7、具备相关技术认证（如HCIP、H3CSE、CISP等）者优先考虑",技术方案 技术支持 招投标 投标 培训 技术咨询 知识库,https://jobs.51job.com/suzhou-gyyq/173016363.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
售前技术支持工程师,江苏旷博智能技术,8千-1.4万,苏州,苏州,大专,3年及以上,2026-06-23 10:33:55,job51,"岗位职责：
1、负责公司轮式、巡检机器人及智能化产品需求分析、技术交流、技术宣讲、产品演示、技术方案、标书制作等售前技术支持工作。
2、收集、解决客户问题，进行客户培训；并根据客户需求，向客户提供产品选型方案。
3、现场勘察，确定机器人及智能化产品的安装位置及接入方案。
4、定期对行业、市场、竞争对手等方面定期提出分析报告，为公司的市场方向、产品研发等提供建议。
5、领导交办的其他事项。
任职要求：
1、大专及以上学历，机械、电气、自动化相关专业，3年以上售前工作经验。
2、熟练使用常规EXCEL、PPT等办公软件；CAD制图软件。
3、能接受出差及下井现场考察。
4、有较强的沟通能力和良好的客户服务意识。
5、有煤矿行业售前工作经验优先。",需求分析 技术方案 技术支持 培训 客户服务,https://jobs.51job.com/suzhou/153262644.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
售前技术支持工程师（机械）,苏州英示测量科技,1.1-1.6万·13薪,苏州,苏州,本科,3-5年,2026-07-03 09:34:17,job51,"岗位职能：
1、	负责产品选型，协助销售根据客户的清单需求，推荐我司相应的产品型号；
2、	负责根据客户提供的测量需求或技术图纸要求，提供***的测量检测方案；
3、 为量具产品销售提供技术支持：产品技术参数确认、投标产品技术方案、解决产品使用过程中出现的问题等；
4、为产品的验收提供技术支持，和客户沟通计量校准方法，协助客户顺利计量验收产品。


岗位要求：
1、机械相关专业，能看懂机械图纸，会选型，经验3-5年，有从事测量行业经验优先；
2、英文4级以上，有良好的读写能力；
3、良好的学习能力，创新能力，沟通能力及团队合作能力；
4、做事仔细，认真，高效，勤奋踏实、自驱抗压。

此岗位无须出差",技术支持 投标 技术方案 客户沟通,https://jobs.51job.com/suzhou/157733875.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
售前技术支持工程师,江苏中正检测,8千-1.6万,昆山,苏州,本科,3-10年,2026-07-28 11:09:05,job51,"【工作内容】
1、负责检测认证及防溺水系统产品的售前技术支持，解答客户技术咨询并输出专业解决方案；
2、主导或参与项目投标工作，编写技术标书、演示方案及进行产品功能现场演示与讲解；
3、对接销售团队与客户需求，深入分析业务场景，提供定制化技术建议并推动项目落地；
4、协同研发部门反馈市场技术痛点，协助优化产品功能，提升产品在行业内的竞争力；
5、负责建立和维护典型客户案例库，整理技术文档，为后续市场推广提供数据与素材支持。

【任职要求】
1、本科及以上学历，计算机、电子信息、自动化或相关专业背景，具备扎实的技术理论基础；
2、熟悉检测认证流程或人工智能算法应用场景，有相关行业售前支持或项目实施经验者优先；
3、具备优秀的方案撰写能力与演讲技巧，能独立承担大型项目的技术交流与答疑工作；
4、拥有良好的逻辑思维与沟通协调能力，抗压能力强，能适应短期出差。",技术支持 技术咨询 投标 技术文档 市场推广,https://jobs.51job.com/kunshan/173063439.html?s=sou_sou_soulb&t=0_0&req=325df02f8bc21413d63ccf4108bc9044
