job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI检测算法工程师,固势（苏州）科技,2-3万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-23 16:09:27,job51,"岗位职责：
1、模型引入与适配
负责调研、选型并引入适合工业检测大模型，完成模型接入。针对具体缺陷检测、分类、定位等任务，对预训练模型进行微调、适配和数据增强，提升在工业场景中的泛化能力。
2、模型轻量与优化
主导模型压缩（剪枝、量化、蒸馏）与加速（算子融合、层合并、NAS搜索），确保模型满足产线对延迟（≤100ms）、吞吐量和内存占用的严苛要求。解决工业数据分布偏移、小样本缺陷下的模型鲁棒性问题，降低误检/漏检率。
3、系统工程与性能调优
搭建模型部署Pipeline，集成数据预处理、推理引擎、结果后处理与业务系统（如MES/SCADA）。
监控并优化推理性能（CPU/GPU/NPU利用率、内存泄漏、I/O瓶颈），实现7x24小时稳定运行。
4、技术前瞻与闭环建设
跟踪边缘AI、大模型轻量化、自监督学习等前沿技术，探索在质检场景中的可行性。
参与从数据标注、模型训练到边缘部署的MLOps闭环体系建设，推动模型迭代自动化。

【任职要求】
1.	计算机/电子信息/人工智能等相关专业本科及以上学历，3年以上AI模型部署经验。
2.	精通PyTorch/TensorFlow框架，具备扎实的模型训练、调试与调参能力。
3.	熟练掌握模型转换与部署工具链（ONNX、TensorRT、TFLite至少一种），有边缘设备（Jetson、ARM NPU、华为Atlas等）部署实战经验。
4.	掌握模型量化（INT8/FP16）、剪枝、知识蒸馏等轻量化方法，能独立解决精度损失与性能平衡问题。
5.	熟练使用C++/Python，具备嵌入式Linux环境下的开发、调试与性能剖析能力。
6.	有计算机视觉项目经验（缺陷检测、语义分割、目标检测、3D点云处理等）。

加分项
1.	有模型NAS、稀疏训练、动态推理、混合精度训练等高级优化经验。
2.	掌握工业级软件工程规范（单元测试、CI/CD、Docker容器化、日志监控）。
3.	边缘部署与引擎集成经验优先。
4.	熟悉工业质检场景，了解AOI设备、光学成像、3D视觉或多模态融合技术。",大模型 PyTorch TensorFlow ONNX ARM C++ Python 嵌入式Linux 计算机视觉 CI/CD Docker 容器化 多模态,https://jobs.51job.com/suzhou-gyyq/173021078.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
高级算法工程师（耦合封测方向）,武汉红星杨科技,2.5-4万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-06-11 14:35:08,job51,"【岗位职责】
1. 耦合寻优算法研发
负责光通信主动耦合（Active Alignment）核心搜索算法的开发与优化，包括爬山法（Hill-Climbing）、梯度下降法（Gradient Descent）、模式搜索（Pattern Search）、Nelder-Mead等数值优化算法在耦合场景中的工程化实现与调优。深刻理解光功率寻优逻辑，处理多自由度耦合过程中的非线性收敛难题。

2. 多轴精密运动控制
负责4-6轴及以上精密运动平台的控制算法开发，涵盖运动学建模、轨迹规划、速度前瞻、柔性加减速控制等；针对硅光耦合中光纤阵列（FA）与硅波导之间亚微米级（&lt;0.5μm）对准精度的要求，设计并实现高精度闭环运动控制策略。

3. 视觉引导与系统集成
负责多相机视觉系统与运动控制算法的深度融合，开发视觉引导对齐（FOG）算法，实现亚像素级定位；完成上位机软件与底层运动控制器（如ACS、Aerotech、固高、Galil等）、数据采集卡、工业相机（Basler、Cognex）的接口通讯与数据流优化，解决耦合过程中的“速度与精度”平衡难题。

4. 寻光效率与良率提升
基于光功率反馈数据与位置误差数据，持续优化算法策略，缩短设备耦合节拍时间；针对800G/1.6T硅光模块、相干光模块等高难度封装场景，导入自适应寻优算法，提升耦合重复性与综合良率。

5. 技术文档与团队协作
编写算法设计文档、测试报告与用户手册，与软件工程师、电气工程师、光学工程师紧密协作，完成系统联调与现场交付。

【任职资格】
1. 学历与专业
硕士及以上学历，计算机、自动化、控制科学与工程、数学、光学工程、机械电子工程等相关专业。
2. 核心技术能力
运动控制： 熟练掌握PID控制、前馈控制、滤波器设计等经典控制理论；熟悉状态空间控制、LQR、MPC等现代控制方法者优先；精通多轴联动运动学建模、轨迹规划与实时插补算法。
数值优化： 掌握常用数值优化算法（如梯度下降、爬山法、Nelder-Mead等）的原理与工程实现，具备较强的数学建模与算法调优能力。
编程能力： 精通C++/C#编程，具备良好的代码规范与工程化能力；熟悉Python/MATLAB用于算法仿真与原型验证。
视觉处理： 熟悉OpenCV或Halcon，具备视觉定位、标定与图像处理算法的开发经验。
3. 行业经验（必需项）

必须有 2 年以上光通信耦合封测设备运动控制算法开发经验，熟悉光器件（如透镜耦合、FAU耦合、LD/PD耦合、AWG耦合等）的实际耦合工艺与算法逻辑。
熟悉高速光模块（如400G/800G/1.6T）的封装测试流程及核心工艺指标。
4. 软素质
逻辑思维严密，对数据极度敏感，能够通过分析光功率曲线反推算法逻辑缺陷并进行重构。
具备良好的跨部门沟通能力与团队协作意识。

【加分项】
有硅光（Silicon Photonics）器件耦合封装经验，熟悉波导模场特性及边缘耦合/光栅耦合工艺细节。
熟悉实时操作系统（RTOS）或EtherCAT总线协议，具备嵌入式实时控制经验。
有运动控制卡/控制器（如ACS、Aerotech、固高、Galil、Elmo、Omron等）二次开发经验。
具备强化学习在运动控制场景中的应用经验（如DQN、PPO等）。
有团队管理经验，能够带领3-5人算法小组完成项目交付。",C++ C# Python MATLAB OpenCV RTOS 数据采集 技术文档 团队管理,https://jobs.51job.com/suzhou-gyyq/172516193.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
算法工程师,苏州镁伽科技,2.5-4万·16薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-08-07 16:02:11,job51,"岗位职责
负责半导体检测AOI设备的AI缺陷检测算法开发与迭代，覆盖三大方向：
视觉检测AOI（显示面板）：粒子检、偏移检测、裂纹、异物、Peeling、脏污、划痕等（LCD/OLED/PCB/ITO产品线）；
晶圆检测：晶圆表面缺陷检测、裂片检测、外挂AI检测系统（客户模型训练、APP/服务部署）；
先进封装：Bonding AOI、清洗AOI、TGV玻璃基检测、激光加工检测（划裂机/开槽检测）；
主导缺陷检测模型的训练、验证与上线：数据采集与标注规范、模型选型、训练迭代、过漏检指标优化（漏检率&lt;1%、过检率&lt;1%）；
负责算法在产线设备的部署与落地：C++推理库集成、TensorRT/ONNX模型转换与推理优化、多线程性能调优，保障产线节拍要求；
参与客户现场过漏检问题排查与算法调优，输出检测方案与验收报告；
沉淀公共算法模块（CBB）：检测框架、推理组件、工具链标准化，提升团队复用效率；
跟踪前沿技术（零样本异常检测、视觉大模型、检测大模型等），推动算法预研与技术选型；
指导初中级算法工程师，参与代码评审与算法发布规范建设。
任职要求（必须项）
硕士及以上学历，计算机/电子/自动化/光学等相关专业，5年以上工业视觉或AI算法经验；
熟练掌握深度学习目标检测/图像分割算法（YOLO系列、Faster R-CNN、U-Net等），有模型从训练到部署的完整落地经验；
精通Python与PyTorch，熟悉模型训练全流程（数据增强、训练策略、调参、评估指标）；
熟练使用OpenCV/Halcon进行图像处理与ROI分析；
具备良好的过漏检分析与指标优化意识，能基于现场数据定位算法问题并迭代；
具备工程化交付能力：代码规范、版本管理、文档沉淀、跨部门协作（软件/测试/售后/客户）。",C++ ONNX 大模型 深度学习 Python PyTorch OpenCV 数据采集 版本管理 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173193528.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
图像算法工程师(J10225),苏州威达智科技,1.5-2.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-08 17:47:54,job51,"工作职责:
1. 负责工业视觉检测算法的开发
2. 使用Halcon进行算法设计与实现
3. 参与深度学习模型的训练与部署
任职资格:
1. 本科及以上学历，3年以上相关经验
2. 精通Halcon，有项目经验
3. 熟悉C++或C#",深度学习 C++ C#,https://jobs.51job.com/suzhou-gyyq/173200588.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
算法工程师（AOI工业视觉）(J10006),诺德凯（苏州）智能装备,1.5-2.5万·14薪,苏州·吴中区,苏州,硕士,3-5年,2026-08-07 10:50:52,job51,"工作职责:
岗位职责：
1、根据不同项目完成算法编写与调试，常用技术有图像检测，图像跟踪，图像定位，图像拼接，形位公差的各种测量；
2、视觉算法研究及开发，主要方向为工业缺陷检测；
3、维护现场设备算法，协助分析设备算法问题，编写相关资料文档。
任职资格:
任职要求：
1、统招本科及以上学历，3-5年工业视觉算法经验，半导体行业经验是加分项。专业为计算机、机器视觉、自动化、数学、通讯、测控；
2、具有丰富的使用Halcon的机器视觉经验；
3、有较好的数学功底，能吃苦耐劳，动手能力强，有很好自我约束能力。
4、有c++、c#开发经验，具备良好的编程能力。
5、具备主导或者参与过产品研发/搭框架的能力。",C++ C# c#,https://jobs.51job.com/suzhou-wzq/173187290.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
VLA算法工程师,苏州镁伽科技,3-5万·16薪,苏州·苏州工业园区,苏州,硕士,1年及以上,2026-08-07 16:07:03,job51,"工作职责:
具身大脑的研发工作
任职资格:
1、计算机、人工智能、自动化等相关专业硕士以上学历，985院校优先；
2、具备扎实的深度学习基础，熟悉 Transformer/BERT/VIT/CLIP/BLIP等主流视觉语言模型框架；
3、有大模型（VLM/LLM）训练推理优化的经验，熟悉其在多模态任务中的应用；
4、有VLA建模、生成式扩散模型例如（diffsuion、flowmaching）、多模态强化学习相关的技术背景；
5、熟练使用TensorFlow、PyTorch等深度学习框架，具备良好的工程能力与代码实现的能力；
6、具有良好的沟通能力与团队协作的能力，具备解决问题与接触新知识快速学习的能力；
7、熟悉开源大模型，例如PI0、RT2、GROOT N1、OpenVLA等，并有实际的使用经验与优化重构的能力；
8、熟悉具身智能领域常用的数据集；",深度学习 Transformer BERT CLIP 大模型 LLM 多模态 TensorFlow PyTorch,https://jobs.51job.com/suzhou-gyyq/173193654.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
算法工程师,上海万业元创科技,2.5-3.5万,苏州·相城区,苏州,硕士,3-5年,2026-06-17 14:49:13,job51,"职责描述：
1. 负责光学量测算法的研究&amp;开发，包括可行性分析，算法方案研究、原型开发、算法设计和实现，性能测试，和迭代优化； 光学测量系统的建模/仿真/校准算法；基于物理建模技术的测量算法（包含计算电磁场算法和反问题求解算法）
2. 根据项目进度，负责研发计划制定和进展跟踪，负责技术文档和专利撰写
3. 向客户提供技术支持，协同应用工程师分析和解决客户现场问题
任职要求：
1. 物理，数学，计算机，信息、电子工程等相关专业硕士及以上学历；
2. 在以下至少一个领域具备良好的专业技术知识和技能； 科学计算中数值计算算法（包含但不限于以下领域：计算物理/计算成像/计算流体/计算生物等）；或者数值*优化方法/反问题求解算法；机器学习算法和应用；光学系统建模和校准算法
3. 熟悉C/C++/Python/Matlab等一种或多种科学计算语言；
4. 具备良好的数学建模和分析能力；
5. 具备良好的团队合作精神和沟通能力，责任感强，工作认真仔细；
6. 具备良好的技术英语阅读和书面表达能力；",机器学习 C++ Python MATLAB 性能测试 技术文档 专利 技术支持,https://jobs.51job.com/suzhou-xcq/172596333.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
SLAM算法工程师,兰笺（苏州）科技,1.2-1.8万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-06-17 10:28:33,job51,"岗位职责
1.负责公司室内定位与巡检产品中SLAM相关算法的研发与优化工作；
2.参与视觉SLAM、VIO、多传感器融合等算法的开发、测试与工程落地；
3.参与复杂场景下定位精度与稳定性优化，包括动态环境、弱纹理环境、光照变化等场景；
4.参与视觉、IMU等传感器数据处理与融合，提高定位和建图效果；
5.参与轨迹优化、重定位、地图构建等功能开发与性能优化；
6.配合产品及研发团队完成算法集成、问题定位和产品迭代工作。
工作经验/背景要求
1.计算机科学、电子工程、数学或相关专业硕士及以上学历；
2.熟练掌握C++及Linux系统，两年及以上C++编程经历，熟练使用ROS、opencv等常见库；
3.掌握SLAM领域常见数学知识，掌握李群李代数，熟悉图优化或卡尔曼滤波；
4.熟悉常见视觉SLAM框架中至少一种：例如Vins系列、ORB-SLAM系列、MSCKF、SVO等；
5.有SLAM、计算机视觉、多传感器融合、三维视觉重建及类似项目开发的经历。",SLAM C++ Linux ROS OpenCV 计算机视觉 产品迭代,https://jobs.51job.com/suzhou-gyyq/172589975.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
激光雷达点云算法工程师,苏州赛瞳智能科技,3-5万·13薪,苏州·高新区,苏州,本科,3年及以上,2026-07-24 17:10:02,job51,"职位描述：
1、负责激光雷达点云数据的预处理、去噪、滤波、分割、聚类、配准、融合、目标检测与跟踪等算法研发与优化。
2、能够完成激光雷达点云的测试以及标定。
3、面向自动驾驶、机器人、割草机、测绘、工业检测或智能交通场景，设计点云感知与理解算法方案。
4、完成点云与相机、毫米波雷达等多传感器数据融合、时空同步、标定及后处理。
5、基于点云特征实现障碍物检测、分类、车道线/可行驶区域提取、姿态估计等功能。
6、负责算法在嵌入式/车载平台的移植、优化、加速与落地验证，满足实时性与精度要求。
7、搭建点云算法测试、评估、可视化 pipeline，分析 BadCase 并持续迭代。
8、跟踪国内外点云相关前沿技术（传统几何算法、深度学习点云算法、SLAM、建图等）。

任职要求：
1、计算机、自动化、电子、测绘、数学、机器人等相关专业，本科及以上学历。
2、扎实的数学基础：线性代数、概率论、立体几何、优化理论、点云拓扑与空间变换。
3、熟练掌握 C++/Python 开发，熟悉 PCL、Open3D、VTK、Matplotlib 等点云工具库。
4、熟悉至少一种点云深度学习框架：PyTorch/TensorFlow/JAX，了解PointNet、PointRCNN、VoxelNet、CenterPoint 等经典模型。
5、熟悉点云常用算法：滤波、下采样、 registration（ICP/NDT等）、分割、聚类、目标跟踪。

有以下任一经验者优先：
1、自动驾驶/机器人激光雷达感知落地经验。
2、LiDAR SLAM、激光里程计、点云地图构建与更新。
3、多传感器融合（Camera+LiDAR+Radar）。
4、模型量化、TensorRT/ONNX 部署、嵌入式优化。
5、点云数据集制作、标注、评估与 pipeline 搭建。
6、良好的工程实现能力、问题定位能力与团队协作意识。

加分项
1、有 KITTI、Waymo、NuScenes、SemanticKITTI 等数据集竞赛或评测成绩。
2、熟悉 ROS/ROS2 开发，有实际机器人或自动驾驶项目部署经验。
3、了解激光雷达原理：线束、TOF/FMCW、点云成像特性、噪声模型。
4、发表过点云/3D 感知相关顶会论文（CVPR/ICCV/ECCV/ICRA/IROS 等）。
5、熟练使用 Linux 开发环境、CMake、Git、Docker 等工具链。",深度学习 SLAM C++ Python PyTorch TensorFlow LiDAR ONNX ROS Linux CMake Git Docker,https://jobs.51job.com/suzhou-gxq/173036285.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
感知算法工程师-广目智能,前锦网络信息技术（上海）,1.5-3万,苏州·姑苏区,苏州,硕士,2年及以上,2026-08-03 17:46:51,job51,"1、视觉感知开发：负责基于摄像头的视觉感知算法研发，实现复杂户外场景下的障碍物检测、可行驶区域分割、边界线识别、植被类型分类等任务。
2、激光雷达感知开发：负责基于激光雷达的点云感知算法研发，实现高精度障碍物检测与跟踪、地形建模、负障碍检测及语义分割。
3、多传感器融合：设计并实现视觉与激光雷达的前融合/后融合方案，提升感知系统在恶劣光照、雨雾天气下的鲁棒性。
4、数据闭环构建：建立自动化数据采集、清洗、标注及模型迭代Pipeline，持续优化算法在长尾场景下的表现。
5、模型轻量化与部署：负责感知模型在嵌入式平台上的量化、裁剪与加速，确保实时推理性能。

计算机视觉、计算机科学与技术、人工智能、电子信息工程、自动化

招聘公司：苏州广目智能科技有限公司
地址：苏州姑苏区联东U谷姑苏数字科技产业园10栋9楼

广目科技是一家深耕通用机器人领域，专注产业生态搭建与产品规模化落地的人工智能企业。公司先后荣获“高新技术企业”、“苏州市姑苏领军人才企业”等称号，拥有软件、硬件、算法、算力及数据的全产业链布局，深耕以安防、清洁、家政为核心业务的“三保”服务场景，打造“轮式设备拓局→场景数据沉淀→垂类 AI训练→人形机器人落地”的完整发展链路，致力于成为全球落地领先的机器人服务商。",计算机视觉 数据采集,https://jobs.51job.com/suzhou-gsq/173135265.html?s=sou_sou_soulb&t=0_0&req=94f4a95739bb6a4fc35a1cd64d96f283
