job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
大模型算法工程师（应届生）,人工智能不需要融资50-99人,11-16k,郑州-郑东新区,郑州,硕士,应届,7月30日更新,liepin,"科研与工程实践并重。
有深度学习、大模型、人工智能、开放知识计算等经验。
聪明，热爱，独立思考，学习能力强。
喜欢钻研，研究能力强。

岗位职责：
1、负责训练和部署大模型算法，包括但不限于大语言模型；
2、负责设计和优化大模型算法的训练技术，如自注意力、Transformer等； 
3、负责实现大模型算法的原型系统，并优化算法的计算效率和显存消耗； 
4、负责大模型算法的评估和优化，包括评估测试集、评估指标、模型正则化方法、优化算法等；
5、负责大模型算法在实际场景中的应用和落地，提升产品和服务的智能化水平； 
6、负责大模型算法的论文撰写和投稿。 

任职要求：
1、有多模态算法、大模型算法、生物信息计算相关研发经验，如BLIP、GPT、T5、LLM等； 
2、熟悉TensorFlow、PyTorch、Keras等深度学习框架；
3、熟悉Transformer、Attention及各种变体等深度学习技术；
4、有生物信息、CV、NLP、机器视觉、语音系统和搜索/推荐系统等领域开发经验者优先；
5、具备良好的编程能力，熟悉C++、Python等语言；
6、有 高级AI 会议论文发表经验或开源项目贡献经验者优先；
7、熟悉vllm，ollama，llama.cpp等大模型部署框架和技术优先。

如果你对人工智能有浓厚的兴趣和扎实的基础，如果你想在一个充满挑战和机遇的创新创业环境中展现你的才华，如果你想与业界优秀的mentor共同快速学习和成长，如果你想找片沃土充分激发自己追求极致的能力和无限的潜能，那么请不要犹豫，加入中原AI院，与我们共同在AGI征程上探索吧！

您将获得：
1.五险一金，全额缴纳公积金；
2.内部食堂，丰富的菜品选择；
3.通讯补贴，交通补贴，节日福利，免费停车；
4.团建，运动会等；
5.健身房、台球室、咖啡自由等休闲福利。

截止日期：2027年04月08日
招聘人数：3人",深度学习 大模型 Transformer GPT LLM TensorFlow PyTorch Keras 推荐系统 C++ Python,https://www.liepin.com/lptjob/81576901
大模型算法工程师（博士）,艾普工华,400-800元/天,武汉,武汉,博士,,90天前更新,liepin,"职责描述：

1、负责大模型算法的研究与开发，包括但不限于 Pretrain（预训练）、SFT（指令微调）、RLHF（强化学习、DPO、PPO）、超长上下文、Function Calling（工具调用）等相关子任务的全流程数据构建等。

2、参与文本大模型和多模态大模型算法的优化和迭代，提升模型性能和效率。

3、跟踪和研究最新的大模型算法技术，将前沿技术应用于实际工程项目中。

4、与团队合作，解决项目中遇到的技术难题。



任职要求：

1、博士及以上学历在校学生，计算机科学、人工智能、机器学习、数据科学或相关专业。

2、有扎实的机器学习和深度学习理论基础，熟悉至少一种深度学习框架（如TensorFlow、PyTorch等）。

3、有实际的大模型算法项目经验者优先，包括但不限于预训练、微调和强化学习等方向的技术应用。

4、具备良好的编程能力，熟练掌握至少一种编程语言（如Python、Java等）。

5、有强烈的责任心和团队合作精神，能够在快节奏的工作环境中保持高效率。

招聘人数：5人",大模型 机器学习 深度学习 TensorFlow PyTorch Python Java,https://www.liepin.com/lptjob/71684895
大模型算法实习生,TCL实业控股股份有限公司,250-400元/天,深圳-南山区,深圳,本科,,7月8日更新,liepin,"岗位职责
1.参与大模型算法的研究与开发工作，包括但不限于模型训练、优化、推理等环节
2.协助推进大模型相关算法项目落地，跟进项目计划、里程碑及日常进度
3.作为算法、产品、工程、数据等多方的沟通桥梁，协助完成跨部门对接与信息同步
4.协助识别项目执行中的问题与风险，及时反馈并协助协调解决
5.负责项目资料整理、会议纪要、进度同步等基础事务，提升团队协作透明度
任职要求
1.本科及以上学历，计算机、人工智能、数学等相关专业优先
2.熟练使用 Python，具备数据处理和模型开发能力
3.熟悉主流深度学习框架，如 TensorFlow、PyTorch 等
4.对大模型技术有深入理解，了解 Transformer 架构及其应用
5.具备良好的沟通表达、协调推进能力，做事认真负责、有耐心
6.学习能力强，对 AI / 大模型领域有兴趣，愿意快速了解技术项目基本流程
7.有较强的执行力与责任心，细心踏实，能按时完成分配的协助工作
8.具备基础的逻辑思维与问题意识，擅长信息整理与同步
加分项
1.有大模型算法研究或实践经验者优先
2.在 ACL、CVPR、ICCV、EMNLP、NACCL、SIGIR 等顶会或期刊发表相关论文者优先
3.有开源项目或长期维护的技术博客者优先
工作地点:
深圳
薪资福利:
实习薪资：240 - 440 元 / 天
其他福利：根据公司规定提供相应的实习福利
实习时长与出勤要求:
实习 3 个月以上，每周至少全职工作五天

截止日期：2027年07月08日
招聘人数：2人",大模型 Python 深度学习 TensorFlow PyTorch Transformer,https://www.liepin.com/lptjob/83998625
大模型算法实习生,拼多多集团-PDD,400元/天,上海-长宁区,上海,本科,,90天前更新,liepin,"1.大模型基座研发与优化：参与多语言、多模态、AIGC等基座大模型的训练和优化，深入数据处理、Pre-training、Post-training等各个关键环节；
2.前沿技术探索：持续跟踪并攻关大模型领域的前沿方向 ，通过算法创新持续提升模型的准确性、泛化性与性能；
3.电商场景赋能：将先进的模型能力与电商业务场景结合，转化为实际生产力。

教育背景：计算机科学、人工智能、数学、物理等相关专业优先；
2.技术根基:
• 具备扎实的大模型算法基础（例如熟悉transformer）、出色的数据敏感度和优秀的编程能力；
• 熟悉大模型训练流程（Pre-training/SFT/RL等）或生成式模型（图片生成，视频生成，语音生成，文本生成）者优先；3.创新能力：具备极强的学习能力、主动性和创新思维，能够独立分析和解决复杂技术问题，对将前沿研究应用于实际挑战充满热情；
4.成果导向：在学术或工业项目中有突出表现者优先，例如但不限于：
• 在CCF-A类会议/期刊(如NeurlPS, ICML, CVPR, ACL等）发表过论文；
• 在ACM编程竞赛、Kaggle等知名算法竞赛中获奖；
• 主导或深度参与过有较大技术影响力的大模型相关项目。

截止日期：2027年03月04日
招聘人数：1人",大模型 AIGC Transformer Pre-training Post- SFT ICML CVPR,https://www.liepin.com/lptjob/80633097
大模型算法实习生,深圳智能思创科技有限公司,200-250元/天,北京-海淀区,北京,硕士,,90天前更新,liepin,"1、负责文档智能解析、文本信息智能抽取、文本分类、知识图谱、Rag、Agent、自动化编排等相关算法的训练、微调与部署工作;
　　2、负责文本/多模态大模型算法 (如Qwen、Deepseek、Llama等) 在具体场景的部署、微调、对齐与推理工作；
　　3、负责通过分析数据来评估算法效果，对算法在具体场景上的算法效果和性能进行持续优化和提升;
　　4、负责上线组件的运行维护与升级迭代； 
　　5、根据应用场景更新进行新技术调研与复现；
【任职要求】：
　　a）计算机科学与技术、人工智能、软件工程等相关专业本科及以上学历；
　　b）有大模型部署、微调和对齐在具体场景上落地的候选者优先；
　  c）熟悉python/java，至少掌握一种深度学习框架(torch/tensorflow)，能够使用GPU训练模型，了解深度学习模型部署、轻量化等相关技术；
　　d）熟悉Linux、Git、Docker、IDE远程调试；
　　e）上述相关领域发表论文者优先，有算法竞赛经历、获奖者优先；
　　f）实习期不少于6个月。

招聘人数：2人",RAG 大模型 Python Java 深度学习 TensorFlow Linux Git Docker,https://www.liepin.com/lptjob/80001427
大模型算法实习生,BYD,250-300元/天,深圳-坪山区,深圳,硕士,,90天前更新,liepin,"智能语音、大模型算法实习生

招聘人数：1人",大模型,https://www.liepin.com/lptjob/79747839
【华为秋招留学生招聘】大模型算法岗,通信设备10000人以上,15-30k·16薪,深圳-龙岗区,深圳,本科,应届,90天前更新,liepin,"大模型算法岗：岗位职责 
1. 研发多模态大模型（如视觉-语言模型、跨模态生成模型等），探索文本、图像、视频、语音等多模态数据的联合建模与表示学习；  
2. 优化大模型训练与推理效率，解决长尾数据、低资源场景下的模型泛化问题；  
3. 设计多模态任务（如跨模态检索、视觉问答、图像生成、视频理解等）的创新算法，推动技术落地实际业务场景；  
4. 跟踪前沿技术（如GPT-4、DALL·E、CLIP、Sora等），参与技术攻关与专利/论文发表；  
5. 与产品团队协作，将多模态能力应用于智能助手、内容生成、教育、医疗等垂直领域。  

 

任职要求：

1. 计算机科学、人工智能、数学等相关专业；  
2. 熟练掌握Python/C++，熟悉PyTorch/TensorFlow/JAX等框架，具备扎实的算法与代码实现能力；  
3. 深入理解深度学习、注意力机制（Transformer）、对比学习等技术，熟悉大模型训练、微调及部署流程；  
4. 在多模态领域有实践经验，如图文预训练、跨模态对齐、多模态生成等；  
5. 具备优秀的问题分析与解决能力，对技术落地有热情。  

 

 
我们提供：
  
- 与TOP团队共事，参与颠覆性技术探索；  
- 充足的计算资源（GPU集群）与学术支持（顶会交流、论文发表）；  
- 覆盖AI多场景的落地机会（如AIGC、等）。

截止日期：2026年09月18日
招聘人数：1人",大模型 GPT Python C++ PyTorch TensorFlow 深度学习 Transformer AIGC 专利,https://www.liepin.com/lptjob/77340717
【华为秋招留学生招聘】大模型算法岗,通信设备10000人以上,15-30k·16薪,南京-雨花台区,南京,本科,应届,90天前更新,liepin,"大模型算法岗：岗位职责 
1. 研发多模态大模型（如视觉-语言模型、跨模态生成模型等），探索文本、图像、视频、语音等多模态数据的联合建模与表示学习；  
2. 优化大模型训练与推理效率，解决长尾数据、低资源场景下的模型泛化问题；  
3. 设计多模态任务（如跨模态检索、视觉问答、图像生成、视频理解等）的创新算法，推动技术落地实际业务场景；  
4. 跟踪前沿技术（如GPT-4、DALL·E、CLIP、Sora等），参与技术攻关与专利/论文发表；  
5. 与产品团队协作，将多模态能力应用于智能助手、内容生成、教育、医疗等垂直领域。  

 

任职要求：

1. 计算机科学、人工智能、数学等相关专业；  
2. 熟练掌握Python/C++，熟悉PyTorch/TensorFlow/JAX等框架，具备扎实的算法与代码实现能力；  
3. 深入理解深度学习、注意力机制（Transformer）、对比学习等技术，熟悉大模型训练、微调及部署流程；  
4. 在多模态领域有实践经验，如图文预训练、跨模态对齐、多模态生成等；  
5. 具备优秀的问题分析与解决能力，对技术落地有热情。  

 

 
我们提供：
  
- 与TOP团队共事，参与颠覆性技术探索；  
- 充足的计算资源（GPU集群）与学术支持（顶会交流、论文发表）；  
- 覆盖AI多场景的落地机会（如AIGC、等）。

截止日期：2026年09月18日
招聘人数：1人",大模型 GPT Python C++ PyTorch TensorFlow 深度学习 Transformer AIGC 专利,https://www.liepin.com/lptjob/77340715
【华为秋招留学生招聘】大模型算法岗,通信设备10000人以上,15-30k·16薪,西安-高新区,西安,本科,应届,90天前更新,liepin,"大模型算法岗：岗位职责 
1. 研发多模态大模型（如视觉-语言模型、跨模态生成模型等），探索文本、图像、视频、语音等多模态数据的联合建模与表示学习；  
2. 优化大模型训练与推理效率，解决长尾数据、低资源场景下的模型泛化问题；  
3. 设计多模态任务（如跨模态检索、视觉问答、图像生成、视频理解等）的创新算法，推动技术落地实际业务场景；  
4. 跟踪前沿技术（如GPT-4、DALL·E、CLIP、Sora等），参与技术攻关与专利/论文发表；  
5. 与产品团队协作，将多模态能力应用于智能助手、内容生成、教育、医疗等垂直领域。  

 

任职要求：

1. 计算机科学、人工智能、数学等相关专业；  
2. 熟练掌握Python/C++，熟悉PyTorch/TensorFlow/JAX等框架，具备扎实的算法与代码实现能力；  
3. 深入理解深度学习、注意力机制（Transformer）、对比学习等技术，熟悉大模型训练、微调及部署流程；  
4. 在多模态领域有实践经验，如图文预训练、跨模态对齐、多模态生成等；  
5. 具备优秀的问题分析与解决能力，对技术落地有热情。  

 

 
我们提供：
  
- 与TOP团队共事，参与颠覆性技术探索；  
- 充足的计算资源（GPU集群）与学术支持（顶会交流、论文发表）；  
- 覆盖AI多场景的落地机会（如AIGC、等）。

截止日期：2026年09月18日
招聘人数：1人",大模型 GPT Python C++ PyTorch TensorFlow 深度学习 Transformer AIGC 专利,https://www.liepin.com/lptjob/77340713
【华为秋招留学生招聘】大模型算法岗,通信设备10000人以上,15-30k·16薪,上海-青浦区,上海,本科,应届,90天前更新,liepin,"大模型算法岗：岗位职责 
1. 研发多模态大模型（如视觉-语言模型、跨模态生成模型等），探索文本、图像、视频、语音等多模态数据的联合建模与表示学习；  
2. 优化大模型训练与推理效率，解决长尾数据、低资源场景下的模型泛化问题；  
3. 设计多模态任务（如跨模态检索、视觉问答、图像生成、视频理解等）的创新算法，推动技术落地实际业务场景；  
4. 跟踪前沿技术（如GPT-4、DALL·E、CLIP、Sora等），参与技术攻关与专利/论文发表；  
5. 与产品团队协作，将多模态能力应用于智能助手、内容生成、教育、医疗等垂直领域。  

 

任职要求：

1. 计算机科学、人工智能、数学等相关专业；  
2. 熟练掌握Python/C++，熟悉PyTorch/TensorFlow/JAX等框架，具备扎实的算法与代码实现能力；  
3. 深入理解深度学习、注意力机制（Transformer）、对比学习等技术，熟悉大模型训练、微调及部署流程；  
4. 在多模态领域有实践经验，如图文预训练、跨模态对齐、多模态生成等；  
5. 具备优秀的问题分析与解决能力，对技术落地有热情。  

 

 
我们提供：
  
- 与TOP团队共事，参与颠覆性技术探索；  
- 充足的计算资源（GPU集群）与学术支持（顶会交流、论文发表）；  
- 覆盖AI多场景的落地机会（如AIGC、等）。

截止日期：2026年09月18日
招聘人数：1人",大模型 GPT Python C++ PyTorch TensorFlow 深度学习 Transformer AIGC 专利,https://www.liepin.com/lptjob/77340711
