job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
NLP算法实习生,北京海瑞鼎伦科技有限公司,400-500元/天,北京-朝阳区,北京,本科,,90天前更新,liepin,"【工作职责】
* 参与文本分析以及对话生成方向的前沿研究以及工程落地：
* 基于大规模预训练语言模型的文本分析（情感分析等）；
* 基于人设的对话生成、具有共情能力的对话、任务型对话等。
【任职要求】
* 深度学习、自然语言处理算法基础，以及良好的数学和统计功底；
* 编程能力：熟练掌握python；熟悉DL框架Pytorch，能快速搭建各类网络并对网络训练有充足的经验；
* 对市面上的对话模型（比如ChatGLM）了解且熟悉；
* 实习时长不少于6个月；
* 具备英文文献阅读能力；
* 拥有相关论文、业务相关项目经验加分；拥有微调语言对话模型相关经验加分。

* NLP AI背景（有NLP AI模型项目/研究经历，对pytorch等框架熟悉，实践过生成式对话语言模型）；
* * 实习时长不少于6个月；

招聘人数：3人",深度学习 自然语言处理 Python PyTorch NLP,https://www.liepin.com/lptjob/59303613
nlp算法实习生,游戏港股上市2000-5000人,薪资面议,北京-海淀区,北京,实习,金山世游,90天前更新,liepin,"职责描述：
1、负责机器翻译、知识图谱、阅读理解QA、OCR等相关算法研究与产品开发及项目落地；
2、负责机器学习、深度学习等算法的研发，为AI相关项目实施提供技术支持；
3、负责跟进行业前沿技术发展趋势，跟踪国际最新算法发展方向和相应技术；

任职要求：
1、在校生；
2、计算机、图像处理、自然语言处理、模式识别、机器学习等相关专业硕士以上学历，具有较强的学习能力和解决问题能力，有相关工作经验加分项；
3、熟悉常用NLP算法/OCR算法，有产品落地经验优先；
4、熟悉深度学习计算框架(Tensorflow, Pytorch,Caffe等其中一种)；
5、熟悉C++/java/python中至少一种编程语言，熟悉linux开发环境；
6、具备良好的职业素养、合作意识、团队精神；有高度责任心、较强的自学能力，善于思考与创新。

招聘人数：1人",机器学习 深度学习 自然语言处理 TensorFlow PyTorch Caffe C++ Java Python Linux 技术支持,https://www.liepin.com/lptjob/39419953
NLP算法实习生,西湖心辰,250-400元/天,杭州-西湖区,杭州,硕士,,90天前更新,liepin,"【工作职责】：
1、参与大模型相关的数据处理和模型训练；
2、参与 AIGC相关的应用探索和方案落地。
【任职要求】：
1、有不错的NLP算法基础；
2、具备扎实的编程功底，熟悉Linux开发环境，熟悉PyTorch
3、善于思考，工作积极主动，自驱力强；
4、每周至少实习三天以上；
【优先考虑】：
1、有LLM训练微调经验者优先；
2、在国际期刊会议上发表论文者优先。
【你将获得】：
1、大规模分布式训练集群（A100）的使用经验；
2、与知名学者（ALBERT一作-蓝振忠）和其他技术大咖共事的机会；
3、表现优异者有机会直接转正。

招聘人数：2人",大模型 AIGC Linux PyTorch LLM 分布式 BERT,https://www.liepin.com/lptjob/62050499
NLP算法实习生,北京中烟创新科技有限公司,150-200元/天,济南-高新区,济南,本科,,90天前更新,liepin,"1、协助相关算法负责人进行相关算法的预研、分析、优化、验证等，加速前沿算法的落地；
2、探索 NLP 前沿技术，包括预训练模型、前沿分类模型、语义检索模型等，并结合实际场景提供算法解决方案等。

任职要求
1、扎实的NLP算法基础，对文本分类、相似匹配、语义检索、预训练等领域有一定的理解和实践经验；
2、熟悉TensorFlow/PyTorch/MXNet等开源深度学习框架，具有良好的实践能力；
3、熟悉常用的机器学习和深度学习算法，了解基本的网络模型结构（DNN/RNN/CNN等）和文本表征方法（Word2Vec/GPT/BERT等），有大型语言模型相关项目经验的优先；
4、热衷于技术钻研，良好的自我学习能力和自驱力，良好的沟通能力和团队协作能力；

招聘人数：1人",TensorFlow PyTorch 深度学习 机器学习 GPT BERT,https://www.liepin.com/lptjob/59600677
NLP算法实习生,南京鸿合人工智能科技研究院有限公司,200-250元/天,南京-雨花台区,南京,硕士,,90天前更新,liepin,"工作职责：

1.负责机器翻译、知识图谱、阅读理解QA、OCR等相关算法研究与产品开发及项目落地；
2.跟进与研发NLP领域最前沿算法技术；

任职要求：

1.自然语言处理、机器学习、数学、自动化、信息学或计算机相关方向硕士及以上学历；
2.对NLP有深度认识，熟悉NLP、深度学习常用算法，熟悉Transformer；
3.熟练使用深度学习框架，例如TensorFlow/PyTorch/Caffe中任意一种；
4.熟悉C++，Python、Shell等脚本语言，熟悉Linux系统及开发环境；
5.有自然语言处理相关项目或实习经验者优先。

招聘人数：1人",自然语言处理 机器学习 深度学习 Transformer TensorFlow PyTorch Caffe C++ Python Shell Linux,https://www.liepin.com/lptjob/62412419
数字化部-NLP算法实习生-杭州,海康威视,250-300元/天,杭州-滨江区,杭州,学历不限,,5月27日更新,liepin,"工作职责：
1.参与NLP模型相关的算法应用及算法工程开发、优化，包括文本分类、信息抽取、文本生成、问答系统等；
2.参与大模型相关技术研究，搭建大模型基础服务，微调和优化大模型以适应业务。
任职要求：
1.研究生及以上学历，计算机/模式识别/人工智能/数学相关专业；
2、良好的开发能力，熟悉python和常用的算法库和深度学习训练框架;
3.了解NLP常用深度模型与技术概念，如Transformer/BERT等，有自主学习能力和自我驱动力；
4、至少连续实习三个月起，每周实习至少4个工作日；

截止日期：2027年05月27日
招聘人数：1人",大模型 Python 深度学习 Transformer BERT,https://www.liepin.com/lptjob/73121067
NLP算法实习生,北京深维智信科技有限公司,200-300元/天,北京-海淀区,北京,本科,,90天前更新,liepin,"工作职责：
1. 研发NLP、机器学习、深度学习等算法，应用于业务会话场景;
2. 负责算法模型构建，结合特征工程和深度学习进行基于文本的推荐系统研发；
3. 负责特定领域数据提取，构建和应用领域知识图谱，抽取领域事件，文本分类，文本情感分析等。

岗位要求：
1. 计算机、软件、自动化、统计学、数学、物理等相关专业，硕博在读研究生优先，线下实习，每周到岗4天以上，能长期实习者优先；
2. 熟悉常用机器学习和深度学习算法，熟悉NLP、模式识别、概率统计等算法原理及应用；
3. 对语音识别、自然语言处理感兴趣、有长期投入意愿，在相关期刊和会议上发表过论文的优先考虑；
4. 熟练掌握C/C++或者Python编程语言，了解常见机器学习或深度学习框架中的一个或者多个：Pytorch，Tensorflow等；
5. 乐于动手，有良好的逻辑思维能力和数据敏感度，能够熟练阅读英文论文并予以实践和改进。



招聘人数：1人",机器学习 深度学习 推荐系统 语音识别 自然语言处理 C++ Python PyTorch TensorFlow,https://www.liepin.com/lptjob/52582785
【27届校招】NLP算法工程师（预训练模型及轻量化方向）,通信设备10000人以上,30-35k·15薪,深圳-南山区,深圳,硕士,应届,7月22日更新,liepin,"工作城市：深圳或北京
岗位职责
1. 负责预训练模型及轻量化相关技术研究，通过研发高效的预训练策略、模型压缩等技术，构建出高效的轻量级预训练语言模型；
2. 研发先进的微调、对齐等技术，将预训练语言模型应用于语义理解、文本生成、对话等业务场景中，提升用户体验；
3. 跟进NLP前沿技术发展趋势，特别是语言大模型，探索相关算法的创新优化及落地应用，鼓励撰写发表论文/专利。

任职要求
1.计算机、数学、自动化等人工智能相关专业，熟悉NLP相关算法和模型，熟悉tf/torch等主流框架；
2.在预训练、模型压缩、LLM等一个或多个细分领域有较为深入的研究经验；
3.在NLP核心学术会议发表过高质量论文者优先。

AI能力要求
具备 AI 系统调优与集成能力，可进行模型调参、 pipeline 优化，持续提升 AI 功能的效果与效率（支持模型微调与部署）。

截止日期：2027年07月22日
招聘人数：2人",大模型 LLM 专利 AI,https://www.liepin.com/lptjob/84319683
【27届校招】NLP算法工程师（预训练模型及轻量化方向）,通信设备10000人以上,30-35k·15薪,北京-朝阳区,北京,硕士,应届,7月22日更新,liepin,"工作城市：深圳或北京
岗位职责
1. 负责预训练模型及轻量化相关技术研究，通过研发高效的预训练策略、模型压缩等技术，构建出高效的轻量级预训练语言模型；
2. 研发先进的微调、对齐等技术，将预训练语言模型应用于语义理解、文本生成、对话等业务场景中，提升用户体验；
3. 跟进NLP前沿技术发展趋势，特别是语言大模型，探索相关算法的创新优化及落地应用，鼓励撰写发表论文/专利。

任职要求
1.计算机、数学、自动化等人工智能相关专业，熟悉NLP相关算法和模型，熟悉tf/torch等主流框架；
2.在预训练、模型压缩、LLM等一个或多个细分领域有较为深入的研究经验；
3.在NLP核心学术会议发表过高质量论文者优先。

AI能力要求
具备 AI 系统调优与集成能力，可进行模型调参、 pipeline 优化，持续提升 AI 功能的效果与效率（支持模型微调与部署）。

截止日期：2027年07月22日
招聘人数：2人",大模型 LLM 专利 AI,https://www.liepin.com/lptjob/84319681
NLP算法工程师（实习生）,科大讯飞,120-200元/天,武汉-洪山区,武汉,本科,,6月29日更新,liepin,"岗位职责：
1、针对疾控大模型的各场景能力，进行自动化测评的流程搭建
2、参与分析模型能力弱点、参与训练集的构建、质检、训练迭代等过程
3、参与支撑组内其它零散项目

任职要求：
1、拥有较强的逻辑能力；
2、保障每周至少5个工作日的出勤（线下，特殊情况可请假），实习时间3个月以上；
3、熟悉基本的python语法；使用ai编程时对代码逻辑有基本的把控

截止日期：2026年07月31日
招聘人数：1人",大模型 Python,https://www.liepin.com/lptjob/83753475
