job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI项目专员（AI应用）,苏州超集信息科技,1-2万,苏州·苏州工业园区,苏州,本科,1年,2026-07-27 15:44:15,job51,"岗位职责 
1. 负责公司AI产品（包括AI Gateway、Token Router、企业知识库、AI Agent等）的项目规划、实施、交付及全生命周期管理，确保项目按计划、高质量完成。 
2. 深入理解客户业务需求，结合大模型、AI Agent、RAG等AI技术，制定项目实施方案，推动AI产品在企业场景中的落地应用。 
3. 负责项目需求分析、方案设计、项目计划制定、进度控制、风险管理及验收交付，保障项目目标达成。 
4. 协调产品、研发、算法、测试、运维及客户等多方资源，推动跨部门协作，确保项目顺利实施。 
5. 与AI研发团队紧密合作，参与技术方案评审，能够理解AI系统架构、模型应用及接口集成，推动技术方案高效落地。 
6. 跟踪人工智能领域的新技术、新产品和行业发展趋势，结合客户需求不断优化项目实施方案和产品应用能力。 
7. 建立和完善AI项目实施流程、交付规范及***实践，持续提升项目交付质量和客户满意度。 
8. 支持售前方案交流、项目汇报及客户培训，协助推动AI项目持续拓展和价值提升。 

任职要求 
1. 本科及以上学历，计算机科学、软件工程、人工智能、信息管理等相关专业优先。 
2. 3年以上项目管理经验，具备企业级软件项目或数字化项目实施经验，有AI项目管理经验者优先。 
3. 熟悉大模型（LLM）、AI Agent、RAG（检索增强生成）、知识库等AI应用技术，具备完整AI项目实施经验者优先。 
4. 具备一定AI开发经验者优先，能够理解AI应用开发流程，熟悉Python开发、Prompt Engineering、大模型API调用、LangChain、LlamaIndex、FastAPI等相关技术框架。 
5. 熟悉AI产品架构及技术实现，能够与研发团队进行技术沟通，具备较强的问题分析和解决能力。 
6. 具有优秀的项目统筹能力，能够独立制定项目计划，协调客户、产品、研发及实施团队，推动项目按期交付。 
7. 具备良好的客户沟通能力、需求分析能力及文档编写能力，能够准确理解业务需求并输出解决方案。 
8. 具备较强的学习能力和创新意识，关注AI技术发展动态，能够快速适应新技术、新场景和新业务。 
9. 有企业AI平台、大模型平台、AI Gateway、Token Router、智能客服、企业知识库等相关项目经验者优先。 
10. 持有PMP、ACP、Scrum Master等项目管理认证者优先。",AI Agent 大模型 RAG LLM Python Prompt Gin LangChain FastAPI 知识库 需求分析 方案设计 风险管理 跨部门协作 技术方案 培训 项目管理 客户沟通 文档编写,https://jobs.51job.com/suzhou-gyyq/173053949.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
机器人二次开发工程师,苏州苏境智能科技,8千-1.5万,苏州·吴中区,苏州,本科,1年及以上,2026-07-20 16:14:50,job51,"【岗位职责】
1.	基于厂商机器人/控制平台进行功能定制与优化，覆盖运动控制、视觉识别、人机交互等模块，满足行业场景需求。
2.	对接不同厂商硬件/软件接口（SDK/API），完成多品牌系统集成与兼容性调试，解决多机器人协同、跨平台通信、数据融合等关键问题。
3.	负责需求调研—方案设计—现场部署调试—用户培训—运维支持—版本迭代的全流程交付，确保按时、高质量交付。
4.	输出技术方案、接口文档、测试标准、调试手册、用户操作指南等，沉淀标准化交付知识库。
5.	协同研发将现场问题与需求转化为产品迭代建议，提升稳定性与场景适配能力。
【任职要求】
1.	学历专业：本科及以上，机器人、自动化、计算机、电子信息、机械电子等相关专业。
2.	编程与系统：熟练Python/C++，具备Linux环境下的开发、编译、调试与问题定位能力。
3.	机器人框架：熟悉ROS/ROS2，理解节点通信、参数/服务/动作、TF/坐标变换等；能基于厂商SDK/API完成功能集成。
4.	工程与交付：具备系统集成与现场部署经验，能独立推进项目进度与风险控制；了解通信协议（TCP/UDP、串口、Modbus、OPC UA、DDS 等）者优先。
5.	场景能力：有工业机器人/服务机器人/特种机器人应用或多机器人协同项目经验者优先；具备视觉标定、手眼标定或路径规划/SLAM工程经验者优先。
6.	软技能：良好的沟通协作、文档规范、问题分析与客户培训能力；可适应短期出差。
7.	工作经验：1年以上（包括实习期）",Python C++ Linux ROS Modbus SLAM 方案设计 培训 技术方案 知识库 产品迭代,https://jobs.51job.com/suzhou-wzq/169929004.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
图像算法工程师(J10225),苏州威达智科技,1.5-2.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-08 17:47:54,job51,"工作职责:
1. 负责工业视觉检测算法的开发
2. 使用Halcon进行算法设计与实现
3. 参与深度学习模型的训练与部署
任职资格:
1. 本科及以上学历，3年以上相关经验
2. 精通Halcon，有项目经验
3. 熟悉C++或C#",深度学习 C++ C#,https://jobs.51job.com/suzhou-gyyq/173200588.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
算法工程师,苏州镁伽科技,2.5-4万·16薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-08-07 16:02:11,job51,"岗位职责
负责半导体检测AOI设备的AI缺陷检测算法开发与迭代，覆盖三大方向：
视觉检测AOI（显示面板）：粒子检、偏移检测、裂纹、异物、Peeling、脏污、划痕等（LCD/OLED/PCB/ITO产品线）；
晶圆检测：晶圆表面缺陷检测、裂片检测、外挂AI检测系统（客户模型训练、APP/服务部署）；
先进封装：Bonding AOI、清洗AOI、TGV玻璃基检测、激光加工检测（划裂机/开槽检测）；
主导缺陷检测模型的训练、验证与上线：数据采集与标注规范、模型选型、训练迭代、过漏检指标优化（漏检率&lt;1%、过检率&lt;1%）；
负责算法在产线设备的部署与落地：C++推理库集成、TensorRT/ONNX模型转换与推理优化、多线程性能调优，保障产线节拍要求；
参与客户现场过漏检问题排查与算法调优，输出检测方案与验收报告；
沉淀公共算法模块（CBB）：检测框架、推理组件、工具链标准化，提升团队复用效率；
跟踪前沿技术（零样本异常检测、视觉大模型、检测大模型等），推动算法预研与技术选型；
指导初中级算法工程师，参与代码评审与算法发布规范建设。
任职要求（必须项）
硕士及以上学历，计算机/电子/自动化/光学等相关专业，5年以上工业视觉或AI算法经验；
熟练掌握深度学习目标检测/图像分割算法（YOLO系列、Faster R-CNN、U-Net等），有模型从训练到部署的完整落地经验；
精通Python与PyTorch，熟悉模型训练全流程（数据增强、训练策略、调参、评估指标）；
熟练使用OpenCV/Halcon进行图像处理与ROI分析；
具备良好的过漏检分析与指标优化意识，能基于现场数据定位算法问题并迭代；
具备工程化交付能力：代码规范、版本管理、文档沉淀、跨部门协作（软件/测试/售后/客户）。",C++ ONNX 大模型 深度学习 Python PyTorch OpenCV 数据采集 版本管理 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173193528.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
割草机器人项目经理研发高工,广东慧谷人力资源管理咨询,50-70万/年,苏州,苏州,本科,3年及以上,2026-07-03 09:15:32,job51,"岗位职责：
1、负责割草机器人项目的整体推进，包括项目计划、进度跟踪、风险管理和问题闭环。
2、协调软件、硬件、结构、算法、测试、供应链和生产等团队，推动项目按计划交付。
3、参与产品需求拆解和技术方案评审，识别项目中的关键技术风险和资源风险。
4、跟进样机开发、测试验证、试产和量产导入过程，推动问题及时解决。
5、组织项目会议，输出项目计划、问题清单、风险清单和项目进度汇报。
6、协助团队建立和优化项目管理流程，提升研发协同和交付效率。
任职要求
1、本科及以上学历，电子、自动化、计算机、软件、机器人、机电一体化等相关专业优先。
2、3 年以上机器人、智能硬件、园林工具、电动工具或复杂机电产品项目管理经验。
3、有割草机器人、扫地机器人、AGV/AMR、户外机器人等相关产品经验优先。
4、具备一定技术背景，能理解软件、硬件、结构、算法、测试之间的协作关系。
5、熟悉产品从需求、研发、样机、测试、试产到量产的基本流程。
6、具备较强的沟通协调、计划管理、问题推动和跨部门协作能力。
7、熟练使用常见项目管理工具，如禅道、Jira、TAPD、飞书、Excel、Project 等。
加分项：
做过割草机器人或户外机器人项目。
熟悉嵌入式软件、传感器、电机驱动、定位导航、避障算法、OTA 等模块。有完整产品量产交付经验。
有较强的技术理解力，不只是做进度记录和会议纪要。
岗位期望：
希望候选人具备技术理解力和项目推动力，能够协调软硬件团队解决问题，推动割草机器人项目从研发样机走向稳定量产。",风险管理 供应链 技术方案 项目管理 跨部门协作 AGV AMR Jira,https://jobs.51job.com/suzhou/172779439.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
项目工程师,苏州佳智彩光电科技,1.5-3万·13薪,苏州·吴江区,苏州,本科,5年及以上,2026-06-10 17:12:41,job51,"岗位职责
1. 分析和整理客户规格需求，制定项目方案，并组织和分配各部门（光学、软件、算法、机构、电气、视觉等）协调工作，确保方案验证和完成；
2. 制定受订单项目进度计划，跟踪和控制项目进度，确保项目按时完成；
3. 负责项目质量问题的跟踪和协调解决，确保项目质量符合要求；
4. 负责项目成本的控制和分析，进行项目机会与风险管理，确保项目在经济合理可行；
5. 负责项目现场问题点改进，提供项目技术和协调方面支持；
6. 能够主动主导搭建各部门协作沟通平台，高效率完成项目需求
7. 负责对已完成的项目进行评估总结，为未来的项目提供经验和教训；
8. 负责指导和培养新员工，经验传承；
9. 了解行业先进技术进行内部推进提升，提高竞争力；
10. 协助上级领导完成其他相关各项管理工作。
任职资格:
教育背景：本科及以上学历。
培训经历：项目管理或相关行业生产方面的培训。
从业经验：
1. 掌握工厂设备生产流程，丰富项目管理经验；
2. 5年以上相关设备使用或开发工作经验；
3. 项目团队组织和协调能力。
技能技巧：熟练office办公软件和项目管理软件，项目工作均能独挡一面。
其他要求：身体健康，有较强的组织、协调、管理能力，有很强的技术能力和逻辑能力，熟练完成项目计划和进度管控、技术方案优化，严谨的工作态度和高度的敬业精神。",风险管理 培训 项目管理 技术方案,https://jobs.51job.com/suzhou-wjq/172502782.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
AI项目经理,达智汇科技服务（苏州）,1.6-2.8万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-22 16:31:37,job51,"岗位职责：
1.负责工业AI平台相关项目（如设备预测维护、质量检测、工艺优化等）的全生命周期管理，包括需求对接、计划制定、进度跟踪、风险控制及交付验收。
2.协调内部算法、工程、产品及测试团队，确保项目按质量与时间要求交付。
3.深入客户产线，梳理工业场景需求，输出可落地的项目实施方案。
4.管理客户预期与项目变更，定期汇报项目进展，组织关键节点评审。
5.收集项目交付中的共性问题，推动平台能力与交付流程持续改进。

任职要求：
1.本科及以上学历，计算机、自动化、工业工程、管理等相关专业。
2.3年以上项目管理经验，至少1年工业互联网、AI平台或智能制造领域项目经验。
3.熟悉项目管理流程与工具，有PMPzh证书优先。
4.具备良好的技术理解力，能与算法、工程师高效沟通（不要求写代码，但需了解基本AI概念）。
5.优秀的跨团队协调与客户沟通能力，能适应短期现场出差。
6.结果导向，能有效管理多项目并行与资源冲突。

加分项：
1.有工业AI（如机器学习，深度学习，大模型）项目交付经验。
2.熟悉制造业业务流程（如汽车、3C等）。
3.有售前支持或解决方案经验，能协助撰写项目建议书。",机器学习 深度学习 大模型 项目管理 客户沟通,https://jobs.51job.com/suzhou-gyyq/171708141.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
AI 产品/项目经理,苏州超集信息科技,2-3万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-27 15:44:51,job51,"1.负责 AI 平台（如智能体Agent、知识库、数据分析、数字员工、工业AI应用等）的产品规划、需求分析与版本路线图制定。 
2.深入理解制造业、企业数字化场景（MES/WMS/ERP 等），挖掘可落地的 AI 应用场景并形成产品方案。 
3.负责跨部门沟通协调，推动研发、算法、设计、测试共同完成产品设计与交付。 
4.设计用户体验流程，包括人机交互、数字员工工作流、智能体能力组合方案。 
5.跟踪AI技术前沿（大模型、RAG、Agent Framework、多模态等），将新能力结合到产品中。 
6.负责产品文档、PRD、原型设计，参与产品商业化策略制定。 
7.负责 AI 项目的整体交付管理，包括需求评审、项目计划制定、资源协调、进度监控与风险管理。 
8.深入客户现场，理解业务流程，转化为可执行的 AI 方案（如数字员工流程、智能巡检、质量判定、预测性维护等）。 
9.组织项目例会，确保研发/部署/客户三方信息同步，对项目时间、范围和质量负责。 
10.总结项目经验，沉淀成标准化交付模板、行业化解决方案。 
任职要求 
基本要求 
1.本科及以上学历，计算机、软件工程、信息管理、自动化等相关专业优先。 
2.3 年以上产品或项目管理经验；有 AI、大模型、工业数字化经验者优先。 
3.熟悉 AI 产品架构（大模型、RAG、向量库、Agent、数据处理、多模态等）者优先。 
4.熟悉制造业流程（MES/WMS/ERP/QMS/APS 任意一种即可）者优先。 
技能要求 
1.能独立撰写 PRD、流程图、原型图，具备良好的系统思维。 
2.善于沟通，能与客户、研发、算法、多部门协同推进复杂项目。 
3.具备基本的技术理解能力（API、数据结构、模型调用等）。 
4.懂得拆解问题、制定项目计划、把控风险并推动落地。 
5.有成功交付 AI 或数字化项目的经验者优先。",Agent 大模型 RAG 多模态 知识库 数据分析 产品规划 需求分析 产品设计 产品文档 原型设计 资源协调 风险管理 项目管理,https://jobs.51job.com/suzhou-gyyq/169674231.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
研发经理（AI方向）,中认英泰检测技术,2-3万,苏州·吴中区,苏州,本科,2年及以上,2026-06-15 11:19:21,job51,"岗位职责：
1、从事智能产品人工智能领域安全合规研究，包含大数据、深度学习算法评估、生成式AI安全合规等方向
2、熟悉相关标准优先（GB 45288系列、GB/T45255、GB/T42888、GB/T45654等）、AI安全与算法鲁棒性验证等
3、负责人工智能方向合规法规、标准研究，检测能力建设、团队建设等等

任职资格：
1、本科及以上学历，人工智能、大数据模型等相关专业；
2、两年及以上智能产品领域相关工作经验，具身机器人领域优先；
3、熟悉AI领域技术发展路径、具备相关技术开发与验证能力；
4、具备团队建设及管理能力；",深度学习 安全合规 合规 GB T45255 T42888,https://jobs.51job.com/suzhou-wzq/172553890.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
具身智能 Agent 系统工程师,苏州钧舵机器人,3.5-5万,苏州·吴江区,苏州,本科,无需经验,2026-07-28 15:26:10,job51,"负责机器人上层智能系统的设计、开发与部署。该岗位重点不是单点算法，而是构建类似 dimOS / Robotics Agent Runtime 的上层任务规划、调度、执行与系统集成框架，让机器人能够理解任务、拆解任务、调用技能、监控状态并完成闭环执行。
岗位职责
1. 设计并开发机器人 Agent 上层架构，包括任务理解、任务分解、任务规划、技能调用、执行监控与异常恢复。
2. 构建机器人任务调度系统，支持多模块、多进程、多机器人或多技能之间的协同调度。
3. 集成机器人感知、规划、控制、仿真、VLA/LLM、工具调用等模块，打通从自然语言/任务指令到机器人执行的完整链路。
4. 负责 Agent Runtime / Task Manager / Skill Manager / World State / Memory / Tool Calling 等核心模块开发。
5. 设计标准化技能接口，使抓取、移动、导航、视觉检测、仿真验证、数据采集等能力可以被统一调用。
6. 负责系统工程化部署，包括 Docker、ROS/ROS2、服务编排、日志监控、配置管理、远程调试与边缘设备部署。
7. 与算法、机器人控制、仿真、硬件团队协作，将研究原型转化为可运行、可复现、可部署的机器人系统。
8. 参与真实机器人 Demo 和项目交付，提升系统稳定性、可维护性和可扩展性。",Agent LLM Docker ROS 数据采集 Robotics Runtime VLA,https://jobs.51job.com/suzhou-wjq/173069113.html?s=sou_sou_soulb&t=0_0&req=3a4d599583b043bb321e6e824367d198
