job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
VLA算法工程师,苏州镁伽科技,3-5万·16薪,苏州·苏州工业园区,苏州,硕士,1年及以上,2026-08-07 16:07:03,job51,"工作职责:
具身大脑的研发工作
任职资格:
1、计算机、人工智能、自动化等相关专业硕士以上学历，985院校优先；
2、具备扎实的深度学习基础，熟悉 Transformer/BERT/VIT/CLIP/BLIP等主流视觉语言模型框架；
3、有大模型（VLM/LLM）训练推理优化的经验，熟悉其在多模态任务中的应用；
4、有VLA建模、生成式扩散模型例如（diffsuion、flowmaching）、多模态强化学习相关的技术背景；
5、熟练使用TensorFlow、PyTorch等深度学习框架，具备良好的工程能力与代码实现的能力；
6、具有良好的沟通能力与团队协作的能力，具备解决问题与接触新知识快速学习的能力；
7、熟悉开源大模型，例如PI0、RT2、GROOT N1、OpenVLA等，并有实际的使用经验与优化重构的能力；
8、熟悉具身智能领域常用的数据集；",深度学习 Transformer BERT CLIP 大模型 LLM 多模态 TensorFlow PyTorch,https://jobs.51job.com/suzhou-gyyq/173193654.html?s=sou_sou_soulb&t=0_0&req=364299491c49ca95317b2f20ceb06e21
图像算法工程师,中科迪宏（山东）科技,1.2-1.6万,苏州·相城区,苏州,本科,1-3年,2026-06-24 11:12:56,job51,"岗位职责：
1、工业AI数据图像自动采集；
2、负责计算机视觉相关算法的研发和实现，软件的开发和部署；
3、搭建神经网络，训练深度学习模型，实现人脸检测、目标检测等。
岗位要求：
1、熟练掌握C/C++/Python，优秀的数据结构和算法设计能力，具有一定架构设计能力优先
2、具有良好的编程习惯和代码规范，熟悉常用的版本管理工具如git，svn
3、熟悉多线程开发，能熟练使用相关的开发库，例如Intel TBB，Boost
4、熟悉Linux操作，具有Linux上开发调试经验优先 
5、具有机器学习，计算机视觉相关经验和背景优先
6、有一定英语能力，能阅读英文文献优先
7、相关专业本科以上学历，具有3D测量经验优先",计算机视觉 深度学习 C++ Python Git SVN Linux 机器学习 版本管理,https://jobs.51job.com/suzhou-xcq/172667331.html?s=sou_sou_soulb&t=0_0&req=364299491c49ca95317b2f20ceb06e21
算法工程师,江苏金海创科技,8千-1.5万,镇江·京口区,苏州,硕士,3-4年,2026-06-16 09:23:37,job51,"岗位职责：
1、负责电机数字化运动控制算法研究，模型仿真与验证；
2、负责嵌入式系统信息配准融合，闭环检测等前端算法及后端算法的研发和优化；
3、配合项目经理完成系统相关问题的对接与分析；

任职资格：
1、计算机科学、自动化、电气或相关领域硕士及以上学历，有扎实的控制论基础和控制算法实现能力;
2、了解BLDC电机工作原理，具有摆式、音圈电机控制的项目经验为佳；
3、熟悉PID、状态空间、模型观测等控制算法及相关项目经验为佳；
4、熟练使用Matlab及Simulink电机仿真工具箱，具有电机建模的相关项目经验；
5、具备较好的编程功底，熟练使用C及C++编程；
6、熟悉嵌入式软件开发；
7、具备独立思考能力和良好的沟通能力以及团队合作精神。",MATLAB C++,https://jobs.51job.com/zhenjiang-jkq/143445731.html?s=sou_sou_soulb&t=0_1&req=364299491c49ca95317b2f20ceb06e21
AL应用高级工程师,江苏立讯机器人,2-2.5万·13薪,常熟,苏州,硕士,2年及以上,2026-07-23 09:28:51,job51,"岗位职责: 
1. 负责AI相关系统的开发与优化 
2. 参与算法模型的设计与实现 
3. 进行数据处理与分析，支持模型训练与迭代 
4. 协同团队完成技术方案的落地与集成 
5. 持续跟踪AI领域前沿技术并推动应用 

任职要求： 
1. 熟悉常用机器学习与深度学习算法 
2. 掌握主流AI框架，具备模型开发能力 
3. 具备良好的编程基础和系统设计能力 
4. 有完整的AI项目开发经验者优先 
5. 具备较强的学习能力和问题解决能力",机器学习 深度学习 技术方案,https://jobs.51job.com/changshu/173011379.html?s=sou_sou_soulb&t=0_0&req=364299491c49ca95317b2f20ceb06e21
AI部署工程师,杭州盈泽商业管理,8千-1.3万,苏州·苏州工业园区,苏州,本科,1-3年,2026-07-13 13:21:47,job51,"岗位职责：
1. 负责利用 AI 编程工具（如 Cursor、GitHub Copilot 等）开展公司内部数字化产品、管理工具及自动化脚本的设计、开发、测试与部署工作，能够独立完成小型软件项目的全流程交付。 
2. 负责 AI 工作流的设计、搭建与落地，结合 AI 工具完成多源数据的采集、清洗、分析与处理，持续提升数据应用效率与业务支撑能力。 
3. 负责数字化产品的技术支持与持续优化，收集并分析用户反馈，快速定位和解决系统问题，协助开展系统培训，推动产品迭代升级。 
4. 配合业务部门完成技术方案设计、评审与实施，负责相关软件系统的部署、初始化、交付及硬件安装过程中的技术对接工作。 
5. 负责办公网络、域控、文件共享等基础 IT 系统的日常管理与维护，保障公司核心业务系统稳定、安全、高效运行。 
任职资格：
1. 全日制统招本科及以上学历，计算机科学与技术、软件工程、人工智能、信息工程等相关专业优先。 
2. 熟悉 AI 编程范式，能够熟练使用至少一种主流 AI 编程工具（如 Cursor、GitHub Copilot、通义灵码等）进行高效的人机协作开发，具备独立完成软件应用设计与开发的能力。 
3. 熟练掌握 Python、Java、Go 等至少一门编程语言，具备良好的工程化开发能力与代码规范意识。 
4. 熟悉 MySQL、PostgreSQL 等关系型数据库。 
5. 熟悉 Git 版本管理、Docker 容器化部署及 Linux 基本操作，具备基础的软件部署、运维和问题排查能力。 
6. 具备较强的逻辑思维能力、问题分析与拆解能力、学习能力及沟通协作能力，能够将复杂业务需求转化为清晰可执行的技术方案。 
7. 工作认真踏实，责任心强，具备良好的服务意识与团队合作精神。 
加分项
1. 熟悉大模型（LLM）应用开发，有 LangChain、LlamaIndex 等相关框架实战经验者优先。 
2. 具备数据爬取、自动化流程搭建、推荐算法或智能应用落地经验者优先。 
3. 有企业内部信息化、数字化系统建设或城市级 IT 项目实施经验者优先。",Git Python Java Go MySQL PostgreSQL Docker 容器化 Linux 大模型 LLM LangChain 技术支持 培训 产品迭代 技术方案 版本管理,https://jobs.51job.com/suzhou-gyyq/172884561.html?s=sou_sou_soulb&t=0_0&req=364299491c49ca95317b2f20ceb06e21
机器视觉工程师,贵州航天电器,1.5-2.5万·13薪,苏州·高新区,苏州,本科,1年及以上,2026-08-03 17:41:14,job51,"一、岗位职责：
1、负责算法所需数据集的建设；
2、负责项目所需算法研发工作；
3、合作完成设备研发与调试测试工作；
4、负责项目所需申报材料、方案撰写、总结汇报工作；
5、归纳总结算法研发落地相关流程、规范，提高研发效率；
6、完成部门领导交办的其它工作事项。
二、任职要求：
1、大学本科及以上学历，计算机类、自动控制类相关专业；
2、1年以上工作经验，有非标自动化、智能制造相关科研项目经历者优先；
3、具备独立编制视觉解决方案的能力，精通视觉硬件选型，包括光源、镜头、相机等；
4、掌握图像处理、机器视觉的基础理论知识，熟悉LabVIEW编程平台和NI Vision视觉模块，具备独立完成项目视觉软件开发能力；
5、拥有一定的非标运动控制开发经验，能熟练使用研华、固高等品牌的运动控制卡实现设备运动控制；
6、拥有一定的数据采集开发经验，具备配合MES系统完成产线数据采集能力;
7、掌握至少一种数据库使用，如Access，MySQL，SQL Server等；
8、熟悉串口，485，TCP/IP等通信协议;
9、良好的学习能力和团队合作能力，热爱航天事业。",MySQL SQL Server TCP/IP 数据采集 SQL TCP,https://jobs.51job.com/suzhou-gxq/173135150.html?s=sou_sou_soulb&t=0_0&req=364299491c49ca95317b2f20ceb06e21
软件开发工程师,苏州超盈睿视智能装备,1.8-3万·13薪,苏州·相城区,苏州,本科,1-3年,2026-07-24 16:06:12,job51,"岗位职责
1. 参与公司工业测量软件的设计、开发、测试与迭代，负责核心模块的编码实现，确保软件的稳定性、可靠性与可扩展性。
2. 负责3D视觉算法的落地与优化，包括但不限于点云处理、特征提取、相机标定、三维重建等，适配工业场景下的精密测量需求。
3. 针对市面上主流工业机械臂进行二次开发，完成机械臂运动控制、路径规划、与测量软件的联动对接，解决集成过程中的技术难题。
4. 针对3D和2D工业相机进行驱动程序开发，实现相机参数配置、图像采集、数据传输与处理，保障视觉采集的精准度与效率。
5. 配合测试、产品等团队，完成软件调试、问题排查、用户反馈处理，持续优化产品性能与用户体验。
6. 参与技术方案讨论、技术文档编写，沉淀开发经验，协助团队提升整体技术水平。
7. 关注工业测量、3D视觉、机械臂控制领域的前沿技术，结合公司业务需求探索技术应用场景。

任职要求
1. 本科及以上学历，计算机科学与技术、软件工程、自动化、电子信息工程等相关专业，1-3年及以上工业软件开发经验。
2. 熟练掌握C++和Qt，具备扎实的编程基础，熟悉数据结构、算法设计，能独立完成模块开发与调试。有机械臂运动控制、路径规划、机械臂仿真相关开发经验者优先。
3. 了解工业测量相关知识，有3D视觉算法（点云处理、相机标定等）、PCL、Open3D、OpenCV等常用视觉算法库使用经验者优先。
4. 熟悉至少一种主流通讯协议（如Modbus、EtherCAT、TCP/IP等），了解工业相机接口（GigE、USB3 Vision等），有相机采集、图像预处理开发经验者优先。
5. 具备良好的文档编写能力，能规范编写技术设计文档、测试文档等。
6. 具备良好的问题排查能力、逻辑思维能力，能快速定位并解决开发过程中的技术问题。",C++ OpenCV Modbus TCP/IP 技术方案 技术文档 文档编写,https://jobs.51job.com/suzhou-xcq/173034835.html?s=sou_sou_soulb&t=0_0&req=364299491c49ca95317b2f20ceb06e21
AI工程师,苏州艾木自动化设备,7千-1.4万·13薪,常熟,苏州,本科,无需经验,2026-07-27 15:04:53,job51,"岗位职责：
1、负责AI领域的软件工程化实施，设计高可扩展，可靠的AI系统架构；
2、开发AI驱动的应用，将机器学习、深度学习等算法集成到软件系统，自动化设备系统；
3、构建智能监控系统，实时分析日志与性能，自动预警并与自动化设备关联，实现故障自诊断；
4、AI协作推广：培训团队使用AI开发工具，优化协作流程；
5、技术分享：编写技术文档，分享AI/自动化***实践。

任职要求：
1、学历：本科及以上学历，电气工程、自动化相关专业，毕业于985/211工程院校优先；
2、精通python/java/c++，熟悉javascript/typescript；
3、掌握至少一种AI框架（pytorch/tensorflow/keras）；
4、理解机器学习基础算法；脚本编写与任务调度；
5、API设计与继承，服务间通信优化；持续学习新AI技术能力；
6、英语读写、英语水平六级优先；
7、具有出色的逻辑思维、系统性分析问题及解决复杂技术难题的能力；
8、能适应短期出差，对深入一线保持积极态度。

岗位福利：
入职即缴纳五险一金；包吃；年度健康体检/旅游；年节福利；商业保险；年终奖金及绩效奖金",机器学习 深度学习 Python Java C++ JavaScript TypeScript PyTorch TensorFlow Keras 培训 技术文档,https://jobs.51job.com/changshu/170275779.html?s=sou_sou_soulb&t=0_0&req=364299491c49ca95317b2f20ceb06e21
视觉算法工程师,江苏北人智能制造科技,1-1.5万,苏州·苏州工业园区,苏州,本科,无需经验,2026-07-28 11:23:06,job51,"岗位职责:
1、参与3D点云处理相关算法和机械臂运动控制模块的开发与调试。
2、参与开发深度学习或传统几何方法，实现工件的自动识别、姿态估计和特征提取。
3、负责构建焊接场景的语义理解模型，为机器人焊接路径规划提供输入
4、使用 C#/C++ 进行算法开发，具备基于 Qt（或 PyQt / PySide）开发独立工具界面或测试界面的能力，熟悉多线程开发、线程安全算法设计以及动态链接库（DLL）,有良好系统架构能力(C#)。
5、和视觉开发团队完成点云/图像数据处理、可视化及算法验证工作,并且参与开发机械臂/相机二次开发，协助定位软件框架或算法中的问题并进行改进。
6、配合团队完成系统集成测试，包括 3D视觉与机械臂联调和功能验证。
7、负责参与感知模块与机器人控制系统的集成调试。

任职资格:
1、本科及以上学历，计算机视觉、人工智能、机器人或相关专业。
2、使用C# / C++进行算法与软件开发，具备良好的数据结构与程序设计基础，能够基于动态链接库（DLL）封装开发，与视觉团队合作开发。
3、具备GUI开发经验，能够开发工具界面。熟悉常见3D传感器数据结构（.pcd、.ply）及机器人坐标标定流程。
4、了解3D点云基础知识和图像基础处理，了解 PCL/OpenCV基本使用。
5、熟悉机械臂的基本使用或机器人基础知识（如坐标系、运动控制、示教等）。",深度学习 C# C++ 计算机视觉 OpenCV Qt PyQt PySide,https://jobs.51job.com/suzhou-gyyq/173063862.html?s=sou_sou_soulb&t=0_0&req=364299491c49ca95317b2f20ceb06e21
CT 物理及算法工程师,上海微创软件,2-2.5万,苏州·吴中区,苏州,本科,2年及以上,2026-07-24 09:29:58,job51,"岗位职责 
1. 负责 CT 核心重建算法（校正，图像基础重建、迭代重建，深度学习等）的研发、优化与验证，提升图像质量。
2. CT 图像预处理、去噪、伪影校正（运动 / 金属伪影等）、低剂量算法研发及剂量优化相关工作。
3. 参与 CT 系统物理特性分析（探测器响应、X 射线衰减模型），结合算法需求提供技术支撑。 
4. 完成算法原型开发（Matlab为主）、仿真测试、工程化落地对接，撰写技术文档与测试报告。
5. 跨部门协作（对接硬件、临床、产品团队），推进算法临床验证与产品化迭代。 
6. 跟踪 CT 算法领域前沿技术（如 DLR、AI 辅助诊断），引入新技术优化现有产品。

任职要求
一、学历与专业
硕士及以上学历，生物医学工程、应用物理，计算机科学、应用数学、电子信息等相关专业。

二、专业技能
1. 熟练使用 Matlab 进行算法开发与仿真，具备基础C/C++ 或 Python 编程能力。
2. 掌握 CT 图像去噪、伪影校正、分辨率提升等核心技术，熟悉重建技术优先。
 3. 了解 CT 系统物理原理与剂量计算，具备剂量优化经验或医学影像标准应用经验更佳。
4. 熟悉 FDA/NMPA 医疗设备注册流程、有 CT 产品注册算法验证经验者优先

三、软实力与其他
1. 较强的逻辑思维与问题排查能力，能独立解决算法研发中的复杂技术问题。
2. 良好的跨部门沟通能力与文档撰写能力，可清晰输出技术方案与测试结果。
3. 有 CT 相关技术专利、学术论文或核心算法成果者优先。",深度学习 MATLAB C++ Python 技术文档 跨部门协作 技术方案 专利,https://jobs.51job.com/suzhou-wzq/173026273.html?s=sou_sou_soulb&t=0_0&req=364299491c49ca95317b2f20ceb06e21
