job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI大模型算法工程师,湖大粤港澳大湾区创新研究院(广州增城),1-2万·13薪,广州·增城·永宁,广州,硕士,3-5年,7月26日,zhilian_direct,"岗位职责： 1.根据上级要求，推进大模型建设相关工作； 2.负责大模型的本地部署工作，确保模型稳定高效运行，优化大模型推理性能，提高响应速度及资源利用率； 3.进行基于大模型的RAG知识库构建，并优化模型对知识库的调用能力，提升模型在特定领域的准确性； 4.负责多模态信息数据样本的全流程处理，包括数据收集、清洗、标注、增强及质量评估，构建适配业务需求的高质量训练集； 5.主导大模型训练全流程，包括分布式训练框架设计、并行策略优化，构建训练故障恢复机制，保障长期训练稳定性； 6.针对业务场景进行模型微调、提示工程、模型压缩、量化及性能优化，提升模型在垂直领域的准确性和可用性； 7.与团队协作开发大模型应用,包括运行管理、性能监控、优化升级、等工作； 8.完成领导交办的其他工作。 岗位要求： 1.计算机科学、人工智能、数学、统计学等专业，硕士及以上学历，3年以上相关工作经验； 2.深入理解AI技术的原理和应用，熟悉自然语言处理（NLP）、大语言模型、多模态大模型领域的前沿技术，以及常用的框架和工具； 3.熟练掌握常用开发语言（如Python）、RAG技术栈、模型压缩量化工具，并能熟练运用，具备一定的项目经验； 4.具备良好的计算机技术背景,有良好的沟通与表达能力,有良好的团队协作精神和主动学习意愿； 5.需接受长沙广州长期出差。 奖金绩效 业绩奖金 工作地点 增城区湖大粤港澳大湾区创新研究院(广州增城) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","多模态算法,大模型算法,Python",http://www.zhaopin.com/jobdetail/CCL1393489220J40796215001.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
具身智能算法工程师（大模型研究部）,北京大数据先进技术研究院,2-4万,北京·海淀,北京,硕士,经验不限,5月7日,zhilian_direct,岗位职责： 1. 针对机器人具身智能领域，研究机器人视觉-语言-动作多模态大模型算法，负责基于强化学习、模仿学习等技术的实际应用落地； 2. 对接项目需求，负责技术方案的设计和实现，撰写必要文档。 3. 协同团队解决项目中的技术难题，确保项目按时按质完成。 4. 持续跟踪国内外前沿研究成果，将其转化并落地至实际项目中。 任职资格： 1. 拥有具身智能/机器人控制等领域的研究或项目经验。 2. 发表相关期刊或会议论文，有顶级会议期刊发表经历者优先（CVPR/AAAI/NeurIPS/ICCV/ICML等）。 3. 熟悉常用的编程语言Python/C++等之一，掌握数据结构与常用算法。 4. 熟练使用Pytorch/TensorFlow等深度学习框架之一。 5. 具有较强的代码编程等动手实践能力。 6. 扎实的深度学习基础，熟悉计算机视觉、自然语言处理或强化学习等领域，并能够将这些技术应用于具身智能系统中。 7. 熟悉机器人学基础和ROS，对感知、导航和操作方向有了解。 8. 具备在模拟环境（MuJoCo/Gazebo/Isaac SIM/Isaac Gym等）中进行开发和测试的能力。 9. 优秀的分析和解决问题能力以及文档撰写能力。 10. 良好的沟通能力和团队协作能力，能够推动上下游配合完成目标。 11. 具备强烈的进取心和求知欲，热衷于追求技术创新。 12. 具有较强的学习能力、抗压能力和高度的责任心。 工作地点 北京海淀区清华科技园玉泉慧谷6号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CCL1295287630J40684690407.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
AI大模型算法工程师,京北方,1.8-3万,北京·海淀·紫竹院,北京,本科,5-10年,7月26日,zhilian_direct,职位描述 大模型算法 GPT 知识图谱 TensorFlow Python Java 大模型 人工智能 金融科技/数字金融 银行 工作职责: 1.基于NLP、大模型等人工智能技术，开发适用于金融场景的智能应用服务。 2.与算法工程师协作，完成AI相关的数据处理、模型训练，并封装模型预测接口服务。 3.配合公司交付项目团队在全国范围内为客户部署和调优AI服务。 4.参与人工智能NLP大模型技术的前沿预研，探索金融科技创新应用的落地场景。 5.参与需求分析、产品设计，并撰写相关项目文档。 任职要求: 1.3年以上Python开发经验，精通Python语言，熟悉Linux操作系统及常用命令。 2.精通RESTfulAPI设计与开发，具备多线程编程经验，能够进行性能调优和问题定位。 3.熟悉文档解析、语音识别、向量库操作中的一种或多种技术。 4.了解人工智能、NLP、大模型等技术，具备模型训练、调优和数据分析能力。 5.具备较强的学习能力、问题发现与解决能力、团队合作意识，具备责任心、良好沟通能力、自主驱动、勇于挑战和创新精神。 其他加分项: 1.接受出差及适量加班。 2.做过银行交付项目。 工作地点 北京海淀区青政大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大模型算法,GPT,知识图谱,TensorFlow,Python,Java,大模型",http://www.zhaopin.com/jobdetail/CC315847110J40866753407.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
大模型算法工程师,北京瑞达宏信科技有限公司,2-3.5万,北京·门头沟,北京,硕士,3-5年,7月26日,zhilian_direct,职位描述 人工智能 计算机硬件 工业自动化/机器人 教育背景：算法工程师具有计算机、数学、电子、通信、自动化工程等相关专业的本科及以上学历。 技术技能： 精通编程语言，如C++、Python、Java等。 熟悉机器学习和深度学习算法，有实践经验者优先。 掌握数据处理和分析工具，如Hadoop、Spark、TensorFlow等。 熟悉数据库管理和SQL语句编写。 专业知识：需要有扎实的数学理论基础，包括线性代数、概率统计、离散数学等。 工作经验：通常要求有相关领域的工作经验，年限从1年到5年以上不等。 软技能：良好的沟通表达能力、责任心和执行力也是重要的考量因素。 其他要求：有些职位可能还会要求候选人具备特定领域的知识，如图像处理、自然语言处理、网络安全等，以及相关的项目经历或竞赛成绩 工作地点 北京门头沟区永安路20号石龙高科大厦2号楼1单元301号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,工业自动化/机器人",http://www.zhaopin.com/jobdetail/CC319534780J40875501414.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
多模态智能算法工程师（大模型研究部）,北京大数据先进技术研究院,1.5-3万,北京·海淀,北京,硕士,经验不限,5月7日,zhilian_direct,"岗位职责 1.参与语言/多模态大模型技术的算法研究和实际应用,不断提升交互体验。 2.解决语言大模型输出的稳定性问题,确保输出结果的结构化,同时具备训练多轮对话、细化交互需求的能力。 3.调研多模态大模型领域的最新科研成果,将其与业务需求相结合,实现数据生成、模型压缩等相关工作的落地； 4.从事大模型相关工作。 任职要求 1.人工智能、电子、通信、自动化、计算机、数学等相关专业方向，统招硕士及以上学历； 2.深刻理解自然语言和多模态领域主流大模型，如ChatGPT/LLaMA/GLM/Qianwen等，包括其原理和差异； 3.出色的算法和编程能力，熟练掌握C++或Python，熟悉主流深度学习框架如PyTorch/TensorFlow等； 4.熟悉常见的模型轻量化技术，包括量化、剪枝、蒸馏等，至少掌握一种模型Fine-tune的方法并有实际应用经验； 5.具备丰富的自然语言处理、对话系统、语义理解、文本检索等领域的知识和研发经验； 具有以下条件者优先： 1.有大型项目开发经验的优先； 2.熟悉CNN、RNN、LSTM、Transformer等基础模型； 3.熟悉掌握Git等工具，具有工程代码管理经验； 4.熟悉CMake/Docker工具； 工作地点：北京 工作地点 北京海淀区玉泉慧谷科技园6号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",人工智能,http://www.zhaopin.com/jobdetail/CCL1295287630J40715212807.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
大模型算法工程师,深圳市先创数字技术有限公司,2-4万,深圳·南山·粤海,深圳,硕士,5-10年,7月26日,zhilian_direct,岗位职责】 - 负责大模型相关算法的研发、优化与落地，深入研究业界领先大模型（如GPT系列、LLaMA、ChatGLM等）的基本原理，主导模型RLHF三阶段训练、LoRA等微调方法的优化与落地，提升模型性能与应用效果。 - 主导大规模分布式训练相关工作，运用TensorFlow、PyTorch、Megatron、DeepSpeed等框架，搭建高效的模型训练架构，解决训练过程中的技术瓶颈。 - 深耕NLP/NLU领域算法研发，结合业务场景开展算法调研与创新，跟踪大数据模型、云原生云架构等前沿技术，将技术转化为实际业务价值，为公司产品和服务提供前瞻性的技术积累和解决方案。 - 统筹管理研发项目，带领团队高效完成大模型相关研发任务，对项目质量、进度进行全面监控，输出算法迭代报告，推动模型持续优化。 - 与产品、工程团队紧密协作，完成算法方案的落地实施、联调优化，解决研发过程中的核心技术难题，同时具备良好的沟通协调能力，推动跨团队高效协作。 - 保持对技术的高度热情，快速适应新技术、新环境，结合行业发展趋势和数字化业务需求，提供具有前瞻性的技术思路和解决方案。 【任职要求】 - 学历要求：计算机科学、人工智能或相关领域的硕士及以上学历，具备扎实的算法理论基础和科研素养。 - 工作经验：具备大模型研发或人工智能相关领域2年及以上工作经验，在大规模分布式训练、深度学习、NLP/NLU领域算法有丰富的经验和架构能力。 - 专业技能：掌握业界领先大模型的基本原理和训练以及微调方法，如GPT系列、LLaMA、ChatGLM等的RLHF三阶段训练及LoRA微调等；熟练掌握TensorFlow、PyTorch、Megatron、DeepSpeed等框架，并具备大规模分布式训练的经验；对大数据模型、云原生云架构等前沿技术有深入研究和理解。 - 管理能力：具备良好的团队协作、沟通和统筹管理能力，能够带领团队高效完成项目；具备对研发项目的总体把关能力，对研发项目质量及进度进行监控。 - 行业洞察能力：具备对数字化业务的洞察能力、对行业的前瞻性把握能力，能够为公司产品和服务提供前瞻性的技术积累和解决方案。 - 其他要求：对技术充满激情，能够快速适应新技术和新环境；具备优秀的应变能力和工作目标的达成能力。 相关工作经验3年以上。 该职位也招管理岗位。 工作地点 深圳南山区留学生创业大厦-二期 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,大模型算法,http://www.zhaopin.com/jobdetail/CC130455220J40839015607.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
大模型算法工程师（银行项目）,软通动力信息技术(集团)股份有限公司,1.5-2万·13薪,北京·海淀,北京,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1.设计和优化大模型应用场景提示词，以提高模型的回答质量。 2.测试和评估模型的输出，确保其符合预期。 3.收集用户反馈，不断改进提示词和模型性能。 【知识标注工程师】 技能要求： 1.逻辑思维清晰，具备金融业务领域知识、软件开发测试技术知识理解与结构化能力 2.熟悉大模型RAG问答框架和向量数据库技术 3.至少完整参与过一个AI知识库场景应用的建设经验 岗位职责： 1.完成大模型知识问答应用开发过程中知识整理和清洗数据，确保数据的质量。 2.为知识添加标签或注释，提升文档质量。 3.参与知识标注后应用场景的相关业务测试工作 工作地点 北京海淀区绿海大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大模型算法,自然语言处理,Python,AI,Java",http://www.zhaopin.com/jobdetail/CC000544460J40739588816.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
强化学习算法工程师（大模型研究部）,北京大数据先进技术研究院,2-4万,北京·海淀·四季青,北京,硕士,经验不限,5月7日,zhilian_direct,岗位职责： 1. 负责智能决策算法研究。 2. 负责强化学习算法的开发、应用与优化。 3. 对接项目需求，负责技术方案的设计和实现，撰写必要文档。 4. 协同团队解决项目中的技术难题，确保项目按时按质完成。 5. 持续跟踪国内外前沿研究成果，将其转化并落地至实际项目中。 任职资格： 1. 具有多智能体强化学习/世界模型研究或项目经验。 2. 发表相关期刊或会议论文，有顶级会议期刊发表经历者优先（ICML/AAAI/NeurIPS/ICLR/IJCAI等）。 3. 熟悉常用的编程语言Python/C++等之一，掌握数据结构与常用算法。 4. 熟练使用Pytorch/TensorFlow等深度学习框架之一。 5. 具有较强的代码编程等动手实践能力。 6. 扎实的深度学习和强化学习基础，掌握主流强化学习算法如DQN/PPO/DDPG/SAG等。 7. 对强化学习算法(model-based/model-free，online/offline RL，多智能体等)方向有深入了解，掌握多智能体（MADDPG/MAPPO等）或世界模型（Dreamer/JEPA/RSSM等）主流算法。 8. 优秀的分析和解决问题能力以及文档撰写能力。 9. 良好的沟通能力和团队协作能力，能够推动上下游配合完成目标。 10. 具备强烈的进取心和求知欲，热衷于追求技术创新。 11. 具有较强的学习能力、抗压能力和高度的责任心。 12. 对强化学习尤其是多智能体和世界模型领域有浓厚的兴趣。 工作地点 北京海淀区清华科技园玉泉慧谷6号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CCL1295287630J40684692807.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
AI大模型算法工程师,外企德科数字技术有限公司,1.5-3万,南京·雨花台·雨花,南京,本科,经验不限,7月26日,zhilian_direct,职位描述 深度学习 机器学习 大模型算法 人工智能 计算机软件 云计算 AI/NLP/图像/推荐/运筹/运动控制算法工程师 关键技术点： 熟悉ML/DL/RL/CV/NLP/运筹优化/推荐搜索等某一个或多个方向的计算引擎/框架/平台/算法； 必要技术点： 熟练TensorFlow/Pytorch等深度学习框架者优先 C++、python、人脸识别 图像分类 图像检测 图像分割 图像识别 文字识别 文字检测 机器学习 动作识别 图像降噪 图像超分、计算机视觉 深度学习 深度计算 图像增强 图像处理、AI、图像编辑、视频编辑 【工作职责】 1、 面向CBG供应链、风控、用户经营、用户声音、零售、渠道等相关领域和产品，通过AI相关的算法推动CBG的商业数字化和智能化转型； 2、 准确把握数据挖掘领域发展趋势，识别和关注当下的关键需求及关键技术，与公司核心部门及顶级高校进行技术合作、交流，优势互补，使能商业成功； 3、 技术算法平台建设，收集并整理各类数据构建业务数据池，集成业界主流的数据处理、算法模型技术，形成通用化的核心AI智能化处理平台。 符合但不局限于以下人工智能及优化方向： a) 机器学习方向： 1、熟悉数据分析、特征工程等相关数据挖掘流程，同时熟悉回归，聚类，分类，推荐等机器学习算法实现，对常见的算法理解透彻； 2、从事机器学习算法和理论前沿研究及应用。研究领域包括但不限于：监督学习、半监督学习、联邦学习、时序预测、异常检测、元学习、AutoML、 深度学习、强化学习及模式识别等； b) 自然语言处理/语音语义方向： 1、从事但不限于文本分析、情感分析、实体抽取及关联抽取、语言消歧、机器翻译、对话和问答系统、深度自然语言处理、多模态语义理解、知识图谱等方向的应用研究和开发工作； 2、负责自然语言处理核心算法及平台的设计与研发，提升自然语言相关产品的核心竞争力和用户体验； c) 运筹优化方向： 1、负责运筹优化方向的算法研究和开发，包括但不限于资源分配、路径优化、调度优化、智能分货、库存管理、定价策略及仿真平台构建等相关项目； 2、熟悉组合优化、动态规划、启发式优化、随机优化、博弈论等算法能力； d）推荐搜索方向： 1、从事但不限于包括用户画像、用户建模、精准营销、lookalike、目标人群选择，个性化的推荐，CTR预估等相关项目的算法研究与实现； 2、洞察推荐系统和信息检索技术在工业级产品的有效解决方案；洞察学术界推荐系统和信息检索的最新研究成果，满足业务需求； 工作地点 雨花台区华为南京研究所-东门66 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"深度学习,机器学习,大模型算法",http://www.zhaopin.com/jobdetail/CCL1480117890J40837388505.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
AI大模型算法工程师,北京卓翼智能科技有限公司,1.2-1.8万,郑州·中原·沟赵,郑州,硕士,5-10年,7月26日,zhilian_direct,岗位职责： 1.负责无人机巡检场景下的大模型应用算法研发，包括但不限于大模型多模态检索、大模型历史照片对比等任务。 2.负责无人机巡检平台智能体开发，实现智能飞行及调度。 3.针对复杂场景（如光照变化、小目标、密集目标等）优化现有算法，提升模型精度与鲁棒性。 4.跟踪前沿技术（如Transformer、大模型、智能体等），结合业务需求进行技术选型与实验。 任职要求 1.学历硕士以上，五年以上工作经验。 2.计算机、人工智能、遥感等相关专业硕士及以上学历，3年以上大模型项目相关经验。 3.熟练掌握PyTorch/TensorFlow框架，具备扎实的代码实现能力（Python/C++）。 4.熟悉视觉基础模型（如 SAM、DINOv2、CLIP 等）或多模态大模型（如 LLaVA、Qwen-VL 等），有实际微调（LoRA、Adapter、RLHF 等）或提示工程经验。 5.熟悉数据增强、模型压缩、知识蒸馏等实用技术，具备模型轻量化经验者优先。 6.具备较强的逻辑分析和实验设计能力，能独立完成算法迭代与效果验证。 7.有无人机、电力巡检、安防监控等行业项目经验，熟悉业务痛点者优先。 工作地点 中原区郑州天健湖智联网产业园2期10号楼5楼整层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,C++,TensorFlow,知识图谱,搜索/推荐算法,大模型算法,图像算法,多模态算法",http://www.zhaopin.com/jobdetail/CC310871430J40865383007.htm?refcode=4019&srccode=401903&preactionid=8882c5c7-65a8-403b-a540-5f68e9598c46
