job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
2026届-高级射频研发工程师 Sr. RF Engineer,中微半导体设备(上海)股份有限公司,16-25k·17薪,上海,上海,硕士,应届,7月30日更新,liepin,"职位概述：
射频工程师，负责处理等离子体蚀刻机系统的射频事宜，与合作伙伴友好合作，设计和优化射频系统，如射频发生器/RF-Match/Vpp探测器/AEIT等，并提供故障分析、故障排除和客户支持。该职位还需要候选人具备为新产品设计和开发射频系统的能力，进行射频系统优化的CIP测试，并准备文件以将设计变更发布到生产中。
RF Engineer, who is responsible for handling with RF matters of plasma etcher system, kindly cooperating with partners to design and optimize RF system, such as RF generators / RF Match / Vpp detector / AEIT…, and providing failure analysis, troubleshooting and customer support. This job also needs candidate to have ability to design and develop RF system for new product, operate CIP tests for RF system optimization, and prepare documentation to release design change to production.


主要职责：
1.处理蚀刻机系统的射频事宜，与合作伙伴合作设计和优化腔室外部的射频系统，如射频发生器/射频匹配/Vpp检测器/AEIT/HVM/射频滤波器。
2.为新产品设计和开发射频系统
3.设计和操作CIP测试，以优化腔室内部的射频系统
4.提供故障分析、故障排除和客户支持
5.准备文件，将设计变更发布到生产中
1. Handle with RF matters of etcher system, kindly cooperate with partners to design and optimize RF sytem of chamber outside, such as RF generators / RF Match / Vpp detector / AEIT / HVM / RF Filter...
2. Design and develop RF system for new product
3. Design and operate CIP tests for RF system optimization of chamber inside
4. Provide failure analysis, troubleshooting and customer support
5. Prepare documentation to release design change to production 


岗位要求：
1.博士或者硕士学历，物理、射频、等离子体或电子背景等相关理工科专业
2.有自己作为负责人和执行人来主导产品开发或设计测试经验，动手能力强。优秀的数据分析能力和逻辑思维能力，能熟练运用数据分析工具（如 Excel, Origin, Python, Matlab 等）
3.工作态度积极，学习能力强，有自驱力可以作为owner独立承担某方面工作
4.优秀的英文读写能力，能阅读专业文献和技术文档
5.有使用真空设备、等离子体设备或相关表征设备的经验
6.认真细致，有责任心，具备良好的实验安全意识
7.积极主动，具备良好的沟通能力和团队协作精神
8.具备较强的抗压能力和解决问题的韧性  
1. Doctoral or Master degree, fresh graduate (graduation date: 2026). Physics, radio frequency, plasma, or electronic background related science and engineering majors.
2. Have experience as a responsible person and executor to lead product development or design testing, with strong hands-on ability. Excellent data analysis and logical thinking skills, proficient in using data analysis tools such as Excel, Origin, Python, Matlab, etc.
3. Have a positive work attitude, strong learning ability, and self motivation to independently undertake certain aspects of work as an owner.
4. Excellent English reading and writing skills, able to read professional literature and technical documents.
5. Experience in using vacuum equipment, plasma equipment, or related characterization equipment.
6. Be meticulous, responsible, and have a good awareness of experimental safety.
7. Proactive, possessing good communication skills and teamwork spirit.
8. Possess strong ability to withstand pressure and problem-solving resilience.    

截止日期：2026年12月08日
招聘人数：1人",Gin CAN LTE Python MATLAB Electron Go SPI 产品设计 数据分析 技术文档,https://www.liepin.com/lptjob/78997031
射频工程师(J12328),烟台睿创微纳技术股份有限公司,18-25k,成都-金牛区,成都,硕士,应届,7月29日更新,liepin,"职责描述：
1)	参与射频组件设计方案的制定，分解指标要求，细化组件设计；
2)	参与自研射频芯片的板级验证和调试；
3)	负责射频收发（TR）/变频组件产品（含频率源）链路分析和方案设计； 
4)	负责TR/变频组件产品的调试和测试验证工作； 
5)	负责完成射频原理图设计，指导PCB设计师完成PCB设计；
6)	指导生产调试人员完成相关工作，支撑生产过程中的技术问题。
任职要求：
1)	电磁场与微波、电子、通信、电气工程相关专业，硕士学历；
2)	射频电路理论基础知识扎实，熟练掌握仿真软件使用，熟练设计原理图和PCB；
3)	熟悉低噪放、功放、滤波器、锁相环的设计，具有一款以上射频单板的设计和调试经验；
4)	善于思考，敢于挑战，勇于担责，讲究团队协作。

截止日期：2027年07月24日
招聘人数：1人",方案设计 TR,https://www.liepin.com/lptjob/84394951
射频工程师（2027届校招）,深圳市拓普联科技术股份有限公司,15-20k,深圳-宝安区,深圳,硕士,应届,7月24日更新,liepin,"岗位职责：
1、负责无线工业无线产品的硬件开发工作；
2、解决无线产品在生产过程和客户使用过程中出现的各种问题。
任职要求:
1、硕士及以上学历，通信工程、电磁场与电磁波等相关专业
2、熟悉射频电路的基本架构和常用器件,如RF开关、LNA、PA、滤波器、耦合器等。了解天线的基本原理和设计方法；
3、熟悉常用的射频仿真软件如ADS、HFSS等,能够独立完成射频电路和天线的建模仿真；
4、了解数字电路、模拟电路和电源管理的基础知识。具备一定的信号完整性和电磁兼容分析经验；
5、具备较强的问题分析和解决能力,能够在高级工程师指导下独立攻克技术难题。善于学习,勇于创新；
6、良好的团队合作精神和沟通协调能力,能够配合跨部门协同开发。工作严谨细致,有较强的文档编写能力；
7、2026/2027届学生优先

截止日期：2027年07月24日
招聘人数：2人",文档编写 LNA PA,https://www.liepin.com/lptjob/84389121
射频工程师（应届）,研微(江苏)半导体科技有限公司,13-20k·14薪,无锡-滨湖区,无锡,硕士,应届,7月24日更新,liepin,"岗位职责：
1、负责半导体设备射频系统的整体开发与设计，涵盖系统架构规划、方案制定及落地实施，保障射频系统与设备工艺的高度适配；
2、主导高功率射频线路的设计、仿真、调试与验证工作，完成线路原理图绘制、PCB Layout 及样品测试，确保线路性能满足高功率、高稳定性要求；
3、运用射频仿真工具开展线路损耗、阻抗匹配、电磁兼容（EMC）等仿真分析，解决射频线路设计中的信号干扰、能量损耗等问题，优化射频系统性能；
4、独立排查并解决半导体设备研发、生产及测试过程中出现的复杂射频相关问题，包括射频功率异常、等离子体不稳定、打火等，保障设备正常运行；
5、负责射频电源供应商的开发、评估与管理，完成供应商样品验证、技术对接及商务洽谈，搭建优质供应链体系；
6、开展射频电源及配套系统的性能验证与联调，制定测试方案、完成测试报告，确保射频系统整体指标达到设备工艺标准；
7、整理射频系统设计资料、测试数据及技术文档，建立标准化的射频设计与验证规范，支撑团队技术沉淀与产品迭代。
任职要求：
1、硕士及以上学历，应用物理、等离子物理、通信、电子、电磁场与微波、天线等相关专业
2、精通高功率射频线路设计原理，具备扎实的射频电路理论基础，能独立完成从方案设计到样品验证的全流程工作；
3、精通高功率射频线路设计原理，具备扎实的射频电路理论基础，能独立完成从方案设计到样品验证的全流程工作；
4、具备良好的跨部门协作能力，能与机械、工艺、电气等团队高效配合，推进项目落地；

截止日期：2027年07月24日
招聘人数：1人",供应链 技术文档 产品迭代 方案设计 跨部门协作 PCB Layout EMC,https://www.liepin.com/lptjob/84375437
北方华创微电子-射频工程师（博士）-2027校园招聘(J15890),电子/半导体/集成电路10000人以上,25-35k,北京-大兴区,北京,博士,应届,7月9日更新,liepin,"职责描述：
方向一：等离子体与材料相互作用研究
1.研究不同工艺参数下等离子体中的物理过程和化学过程；
2.研究射频等离子体与材料表面的相互作用机理，包括刻蚀、沉积、改性等过程；
3.运用低温等离子体仿真与量子化学计算，模拟等离子体特性及其与材料表面的反应，从原子/分子层面解释实验现象；
4.通过电路及低温等离子体离线及在线诊断手段，测量等离子体参数（如电子温度、离子密度）和表面处理结果。

方向二：等离子体源设计与数值仿真
1.微波等离子体源、射频等离子体源、离子束源的物理设计与开发；
2.负责电路、电磁场及低温等离子体仿真及多物理场耦合仿真，包括进行射频容性/感性放电的仿真模型开发。

方向三：射频电源、匹配与滤波电路开发
1.快速匹配器技术开发，实现等离子体负载变化下的快速阻抗匹配与功率稳定；
2.微波、射频电源核心部件研发，包括高效率功率放大器、驱动电路及控制保护电路的设计与实现；
3.滤波器技术开发，有效抑制电源及传输链路中的谐波与杂波干扰。

方向四：等离子体实验与综合诊断
1.等离子体实验与诊断平台搭建，进行ICP、CCP、MW、Ion Beam实验；
2.开发并应用电路及低温等离子体的离线与在线诊断技术；
3.通过实验数据验证理论模型与仿真结果。
任职要求：
方向一：等离子体与材料相互作用研究
1.等离子体物理、材料物理与化学、表面化学等相关专业；
2.具备扎实的等离子体物理基础，熟悉射频容性/感性放电原理；
3.具备plasma诊断工具的使用技能和实验设计能力；
4.掌握至少一种等离子体仿真工具或量子化学计算软件；
5.具备ICP或CCP的实验、诊断、仿真经验；
6.具备SCI文献撰写技能；
7.特别优秀者可放宽要求。

方向二：等离子体源设计与数值仿真
1.等离子体物理.电磁场与微波技术等相关专业；
2.精通等离子体仿真工具，具备ICP、CCP、MW中至少一种的PIC/MCC/流体模型开发经验；
3.具备电磁场仿真软件使用经验；
4.具备SCI文献撰写技能；
5.特别优秀者可放宽要求。

方向三：射频电源.匹配与滤波电路开发
1.电气工程及自动化（电路方向）、通讯工程（电路方向）、电力电子.无线电物理等相关专业；
2.具备扎实的电路理论基础与设计能力，熟练掌握电路仿真工具；
3.具备功率电子、射频电路、滤波器等相关研发经验者优先；
4.特别优秀者可放宽要求。

方向四：等离子体实验与综合诊断
1.等离子体物理.电气工程等相关专业；
2.具备丰富的等离子体诊断工具使用经验，具备诊断平台搭建能力；
3.具备ICP、CCP、MW或Ion Beam中至少一种的实验研究及诊断经验；
4.具备SCI文献撰写技能；
5.特别优秀者可放宽要求。

截止日期：2027年07月09日
招聘人数：30人",CCP MW Ion MCC,https://www.liepin.com/lptjob/84021087
北方华创微电子-射频工程师-2026校园招聘 （J14420）,北京北方华创微电子装备有限公司,25-35k,北京-大兴区,北京,博士,应届,今日更新,liepin,"工作职责
1.定义下一代微波与射频系统技术范式，引领激发源与核心组件在架构与性能层面的跨越式创新；
2.构建射频模块级全链路设计与协同优化体系，实现对系统性能极限的深度挖掘与产品级可靠验证，包含微波、射频激发源和相关部件及组件的设计开发；进行射频电路模块级设计、调试和测试，优化模块的性能，协助产品硬件测试；
3.打造高适应性射频匹配器定制技术平台，贯通从理论模型至规模化量产的全链路产品化闭环；
4.构建多物理域仿真与智能设计赋能体系，通过电磁-电路-系统协同仿真驱动设计前瞻决策与技术迭代。
任职资格
1.等离子体物理、物理学、电磁场与微波、信息与通信工程、电子工程类及相关专业，博士研究生学历应届毕业生；
2.具备扎实的电磁场、微波理论与射频电路设计基础，熟悉射频通信系统架构与关键模块工作原理；
3.能够熟练运用ADS、HFSS、CST等专业仿真工具，具备射频电路或系统级设计与调试经验者优先；
4.责任心强，具备良好的抗压能力和自我驱动特质，能适应快节奏、高要求的研发环境；
5.备较强的创新与学习意识，能主动跟踪射频技术前沿发展并探索其在产品中的应用；
6.具备系统级分析与跨界融合能力，能够将射频技术与产品整体架构及客户需求紧密结合；
7.特别优秀者，可适当放宽条件。


截止日期：2026年09月23日
招聘人数：10人",HFSS,https://www.liepin.com/lptjob/83438209
【实习】射频工程师 - 上海(J19294),上海联影,250元/天,上海-嘉定区,上海,硕士,,6月12日更新,liepin,"职责描述：
1.参与联影产品的射频研发工作，负责下列至少一项工作：
（1）大型医疗设备中射频传输链相关技术和产品的研究开发；
（2）射频发射与接收电路设计；
（3）射频天线设计；
（4）射频功率放大器设计；
（5）低噪声放大器设计；
（6）粒子加速器设备中射频技术的研究与开发，涉及射频腔体设计、高功率射频有源器件等相关技术和产品开发；
2.根据研发流程，完成相应文档的撰写和归档，协助进行产品的量产维护工作。
任职要求：
1.硕士及以上学历，电子科学与技术/电磁场与微波/无线电物理/通信/电气工程/核科学与技术等相关专业，本科学历条件优秀者可放宽要求；
2.熟悉射频电路设计或天线原理，了解常见的射频元器件；
3. 扎实的射频电子学/低噪声放大器/功率放大器或电磁场理论知识；
4.具备良好的电磁场数值仿真和数据分析能力，至少掌握一种的电磁场或射频电路仿真软件，例如ADS或HFSS或CST。

备注：
1.放疗方向：
（1）具有粒子加速器中射频加速系统结构设计与调试，低电平系统、幅频稳定系统、高功率耦合器设计与调试等相关经验优先；
（2）具有行波管、速调管、磁控管、回旋管等功率器件及加速器等相关经验优先。
2.磁共振方向：
（1）具有天线设计、射频电路设计，电磁场数值仿真等相关项目经验优先；
（2）具有射频信号处理及收发链路设计经验者优先。
（3）具有射频功率放大器和工业射频电源设计经验者优先。

截止日期：2027年06月12日
招聘人数：1人",数据分析,https://www.liepin.com/lptjob/83399045
【实习】射频工程师L - 武汉(J19295),上海联影,250元/天,武汉-江夏区,武汉,硕士,,6月12日更新,liepin,"职责描述：
负责射频电源或射频匹配器的开发，主要工作内容包含：
- 在研究任务中完成具体技术问题的分析、仿真和实验工作，完成样机的制作和调试；
- 设计制作实验测试平台或工装；
- 根据研发流程，完成相应文档的撰写和归档；
- 把握射频部件业界动态，探索前沿射频功率产生与控制技术，为下一代产品开发做技术储备。
任职要求：
1.硕士及以上学历，优秀本科亦可，电子工程、电磁场与微波、电气工程等相关专业；
2.扎实的射频电路基础理论、模电和数电知识；
3.熟悉射频发射和接收链路基本架构，对射频功率放大器有一定理论和实践经验。
4.熟练使用电磁仿真软件HFSS/ADS/CST等，能使用matlab进行数据处理；
5.具备下述工作经验者优先：
a) 工业领域射频电源或匹配器的开发；
b) 射频功率或控制电路的开发。
6、良好的自我驱动力及团队精神。

截止日期：2027年06月12日
招聘人数：1人",MATLAB ADS,https://www.liepin.com/lptjob/83398977
射频工程师（应届生）,杭州晟德微集成电路科技有限公司,20-40k,北京-海淀区,北京,硕士,应届,6月10日更新,liepin,"岗位职责: 
1、负责毫米波射频芯片的指标确认、性能验证以及系统仿真； 
2、负责毫米波射频低杂讯放大器(LNA) ; 混频器(Mixer) ; 相位移器(Phase shifter) ; 功率放大器 (PA) 等电路设计； 
3、负责毫米波射频芯片的版图设计或配合版图工程师完成版图设计，负责版图后仿并确保最终性能（如无毫米波经验，有Wifi/BT/5G 的CMOS射频前端电路经验也可）；
4、支持毫米波射频芯片的封装、测试、调试。 

任职要求: 
1、身体健康；
2、微电子/集成电路或相关专业，硕士及以上学历； 
3、具有扎实的理论基础； 
4、熟练使用常见的仿真工具； 
5、熟悉电磁场仿真(EMX or HFSS)和有实际量产经验者优先。
6、有相位移器(Phase shifter)，功率放大器 (PA) 等电路设计经验者优先。
 

截止日期：2026年12月23日
招聘人数：1人",WiFi 5G LNA Mixer Phase PA BT EMX,https://www.liepin.com/lptjob/79331491
射频工程师（应届）,西安宝威信息技术有限公司,7-10k,西安-高新区,西安,本科,应届,90天前更新,liepin,"【2025年应届】

岗年位职责：
1、负责射频微波类项目设计方案和链路指标分解；
2、负责产品的样机设计及调试工作；
3、主持编写产品微波模块的系统相关标准、规范和设计指南；
4、项目量产后支持和维护生产线，解决与射频微波相关的技术问题；
5、完善产品制造工艺和量产方案，对产品技术、工艺进行持续改进。
任职要求：
1、 本科及以上应届毕业生，电子、微波、天线等相关专业
2、 掌握射频电路基础知识，熟悉常用的射频电路，如低噪放，功放，混频器，滤波器，频率综合器等；
3、有3年以上X波段以上电路设计经验，有雷达或阵列天线设计经验者优先；
4、熟练使用HFSS、CST、ADS、MATLAB等仿真软件，熟练使用cadance等软件设计多层混压PCB；
5、熟练使用网络分析仪、频谱仪、信号源等测试仪器；
6、 积极主动，有较强的逻辑思维、沟通协调能力、责任心和团队精神。

进一步了解宝威：
【一、行业赛道】
我们深耕国家重点布局的低空经济领域，核心产品为反无人机雷达。政策红利持续倾斜，市场需求爆发式增长。九三阅兵中，反无人机方队亮相，国家战略级领域，守护低空安全。
【二、产品及追求】
核心产品反无人机有源相控阵雷达，整机各模块100%自主研发，技术壁垒高，竞争优势突出。产品在市场化过程中，已收获客户高度认可。
我们造雷达，目标是打造“理想中的雷达”，而非仅满足“能完成交付”的基础标准，我们强调对技术与产品品质的深度追求。
【三、成长加速】
高壁垒意味着高挑战，对技术有更高追求的伙伴，能接触行业前沿难题，有更大的成长与发展空间。公司处于高速发展阶段，优秀伙伴有机会快速成长为核心骨干，参与核心业务建设。
【四、团队氛围】
扁平化协作，简单纯粹搞事业，没有“办公室政治”，只有“并肩作战”，工作氛围融洽。

截止日期：2026年08月19日
招聘人数：1人",MATLAB CST ADS,https://www.liepin.com/lptjob/76606125
