job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
功率器件可靠性工程师,上海微谱检测科技集团,6-9千·13薪,苏州·吴江区,苏州,大专,1年,2026-08-07 11:38:49,job51,"岗位职责：
1. 熟悉功率器件静态参数（B1506A机台），动态参数，热阻等特性参数测试并完成数据整理分析（T3ster），熟悉使用功率器件可靠性设备，例如功率循环试验机（杭可、Mentor机台），HTRB、HTGB、H3TRB等等设备。
2. 熟悉功率器件芯片（Si、IGBT、SiC MOSFET）测试方案（双脉冲，短路，浪涌等），具有丰富的功率器件测试及PCB设计和调试经验；
3. 熟练使用直流电源，示波器信号源、功率分析仪，电子负载电压及电流探头等功率测试仪器设备，进行功率器件电学特性测试（B1506A机台）；
4. 可根据客户提供的样品，利用相关测量仪器进行datasheet的测试和编制。
5. 熟悉Mosfet、IGBT、SiC、GaN等功率器件工作原理；
6. 熟悉车规芯片的AEC Q101和AQG324测试标准，且对可靠性部分测试和设备有丰富的经验。",GAN T3ster HTRB HTGB Si IGBT SiC MOSFET,https://jobs.51job.com/suzhou-wjq/173188565.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
技术工程师,东昇电磁兼容技术（深圳）有限公司苏州,5-8千·13薪,苏州·虎丘区,苏州,本科,2-3年,2026-08-09 12:13:57,job51,"岗位职责：
1、负责公司项目安装调试交付；
2、负责公司项目售前售后支持；
3、学习并解读国际、国内EMC标准；
4、积极配合公司各部门之间项目运转，提供技术支持；

任职要求：
1、本科或以上学历电子技术或电气专业，2-3年工作经验；
2、熟练掌握office办公软件，具有良好的英语读写能力；
3、熟悉EMC测试标准；掌握接收机、信号源、功率计、示波器等仪器的使用；
4、具有良好的时间管理能力和沟通技巧;具备独立工作与团队协作能力;具备独立解决问题及问题总结的能力;具备执行主管或经理安排的多项任务的能力。

福利待遇:
1、试用期即缴纳五险一金
2、过节福利、定期体检、年底双薪、年终奖金
3、周末双休、国家法定节假日
4、满一年享有10天带薪年假，往后累计***可享17天带薪年假
5、每年薪资普调
6、其他各类员工活动，包括但不限于员工旅行、下午茶、年饭抽奖等......

上班地点：苏州
工资：面议",技术支持,https://jobs.51job.com/suzhou-hq/173172584.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
电气开发工程师,立臻科技（昆山）,1-2万,昆山,苏州,大专,3年及以上,2026-08-07 14:37:39,job51,"【工作内容】
1、负责集成电路或电子产品的电气原理图设计、PCB布局及电路仿真验证；
2、主导核心模块的硬件开发，完成元器件选型、电路调试及功能测试工作；
3、协同软件与结构团队解决系统级电磁兼容问题，优化产品电气性能指标；
4、编写并维护详细的技术文档，包括设计规范、测试报告及生产作业指导书；
5、跟进样机试产过程，分析并闭环解决量产阶段出现的电气异常与可靠性问题。

【任职要求】
1、大专及以上学历，电子信息工程、微电子或相关专业，具备扎实电路理论基础；
2、精通模拟/数字电路设计，熟练掌握Altium Designer等EDA工具及常用测试仪器；
3、拥有3年以上电子行业硬件开发经验，熟悉半导体工艺特性及信号完整性处理；
4、具备良好的逻辑思维能力与问题分析能力，能独立承担项目模块攻关任务；
5、工作严谨细致，责任心强，具备良好的跨部门沟通协作能力及抗压素质。",功能测试 技术文档,https://jobs.51job.com/kunshan/173191380.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
硬件开发工程师,苏州弘远电气,1.5-2.5万·15薪,苏州·吴江区,苏州,本科,3年及以上,2026-08-07 11:53:59,job51,"岗位职责：
1、负责控制类硬件开发 
2、按照产品需求与规格书制定硬件设计方案，完成器件选型与计算，电路设计与调试 
3、根据规格书及技术方案，完成原理图设计 
4、配合结构、PCB工程师等完成产品结构及PCB设计 
5、进行产品的测试与调试，保证其能够按照设计正常运行 
岗位要求：
1、本科以上 电力电子、自动化等相关专业 
2、能够独立完成硬件原理图设计及计算，熟悉使用PADS等绘图软件；
3、积极向上，团队合作能力、沟通能力、执行力强，能够独立解决产品的市场应用问题.",技术方案,https://jobs.51job.com/suzhou-wjq/173188899.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
硬件研发工程师（电源方向）,苏州矽凯力科技,3-3.5万·14薪,苏州·苏州工业园区,苏州,本科,6年及以上,2026-08-07 17:07:18,job51,"【工作内容】
1、负责硬件电路原理图设计、PCB布局及元器件选型，确保方案满足性能与成本指标；
2、主导样机调试与测试，解决信号完整性、EMC等关键技术问题并优化产品稳定性；
3、编写硬件设计文档、测试报告及技术规范，配合软件团队完成系统联调与交付；
4、跟进量产导入过程，协同供应链处理物料异常，持续改进生产工艺以提升良率。

【任职要求】
1、电子工程、通信或相关专业本科及以上学历，具备扎实的模拟/数字电路理论基础；
2、精通Altium Designer或Cadence等EDA工具，熟悉高速电路设计及常用芯片应用；
3、拥有6年以上硬件研发经验，有半导体或消费电子项目落地成功案例者优先；
4、具备良好的逻辑分析能力与问题解决技巧，工作严谨细致，能适应项目节点压力。",供应链,https://jobs.51job.com/suzhou-gyyq/173195217.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
ECD工程师,信创智能科技（苏州）,1-1.5万,昆山,苏州,大专,2年及以上,2026-08-07 16:26:08,job51,"岗位职责：
1、负责电梯电气控制系统（ECD）的硬件设计，包括电气原理图绘制、电气部件选型及系统配置。
2、参与电梯控制器的嵌入式软硬件开发，熟悉基于C/C++的程序设计及电路板设计流程。
3、负责电梯产品的可靠性分析、电气故障排查与现场调试支持。
4、制定电气产品标准，优化系统设计，确保现有产品稳定运行。
5、编写产品规格说明书、技术文档及接线指导文件。
任职要求：
1、大专及以上学历，电气自动化、机电一体化、电子信息等相关专业。
2、2年以上电梯行业电气设计或调试经验，熟悉电梯控制技术及行业标准。
3、熟练使用CAD等电气绘图软件，能独立完成电气图纸设计。
4、了解嵌入式系统（如EV-ECD01控制系统）基本原理，具备C/C++基础者优先。
5、熟悉各品牌电梯控制技术，具备现场故障分析与处理能力。
加分项：
1、有电梯控制器（如ECD控制器）实际开发或调试经验。
2、熟悉串行通信系统（SCL）及变频控制技术",C++ 故障排查 技术文档 ECD SCL,https://jobs.51job.com/kunshan/173194159.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
DIP工程师,江苏凯能宏光电子,8千-1万,苏州·吴江区,苏州,大专,2年及以上,2026-08-07 09:42:39,job51,"【工作内容】
1、负责DIP自动化产线的设备调试、参数优化及日常运行维护，确保生产效率达标；
2、主导SMT与DIP制程的异常分析，快速定位并解决焊点质量、元件贴装等工艺问题；
3、协同研发与品质部门导入新产品，完成试产验证、BOM核对及作业指导书编制；
4、持续监控产线良率数据，实施防错机制，推动工艺流程改进以提升直通率；
5、管理备品备件库存，定期执行设备预防性保养计划，保障设备稼动率稳定。

【任职要求】
1、大专及以上学历，电子工程、自动化或机械相关专业，具备两年以上PCBA制造经验；
2、精通DIP波峰焊、选择性焊接工艺，熟悉SPI、AOI等检测设备原理及操作规范；
3、熟练掌握常用办公软件，能独立编写工艺文件，具备基础的数据分析与报告能力；
4、具备良好的现场问题解决能力，抗压性强，能适应倒班工作制及生产紧急需求；
5、持有IPC-A-610或相关电子组装认证者优先，具有团队协作精神及良好沟通素养。
6、精通三防和测试设备调试",SPI 数据分析 A-,https://jobs.51job.com/suzhou-wjq/173185386.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
pcb layout工程师,上海文洲信息科技,8千-1.2万,苏州·苏州工业园区,苏州,大专,3年及以上,2026-08-07 10:55:35,job51,"【工作内容】
1、负责机械及重工设备控制系统的PCB原理图审核与Layout设计，确保信号完整性；
2、独立完成多层板布局布线，优化电源分配网络（PDN）并解决电磁兼容（EMC）问题；
3、协同硬件工程师进行样机调试，分析并解决高频干扰、散热及结构干涉等工程问题；
4、输出规范的Gerber文件、BOM表及生产资料，跟进PCB打样及量产过程中的工艺对接。

【任职要求】
1、电子类相关专业大专及以上学历，具备3年以上工业控制或高功率设备Layout经验；
2、精通Altium Designer或Cadence等EDA工具，熟悉高速电路设计及阻抗匹配原则；
3、深入理解安规标准与EMC设计规范，能独立处理复杂电磁干扰及热管理方案；
4、具备良好的文档编写能力与跨部门协作意识，能适应项目节点压力及现场技术支持。",文档编写 跨部门协作 技术支持 PDN EMC,https://jobs.51job.com/suzhou-gyyq/173187431.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
嵌入式软件工程师,苏州市悠越电子,1.2-2.4万,苏州·高新区,苏州,本科,5年及以上,2026-08-07 13:39:12,job51,"负责汽车氛围灯控制系统的核心软件开发，确保产品与车辆网络无缝集成。具体工作包括： 
1、嵌入式软件开发：基于MCU（微控制器）平台，使用C语言进行氛围灯控制软件的设计、编码和调试。 
2、总线通信集成：实现CAN和LIN总线通信协议，负责氛围灯与车辆ECU（电子控制单元）的数据交换和命令处理。 
3、系统架构设计：参与软件架构规划，优化代码性能、功耗和可靠性，确保符合汽车行业标准（如AUTOSAR或功能安全要求）。 
4、测试与验证：进行单元测试、集成测试和实车测试，排查软硬件问题，确保产品稳定性和安全性。 
5、跨团队协作：与硬件工程师、测试工程师紧密合作，完成软硬件联调和技术文档编写。 
6、技术升级：跟踪汽车电子新技术，持续改进氛围灯功能（如动态效果、OTA升级等）。

要求：
1、 有单片机开发经验，偏软件，熟悉常用的开发工具，有一定的单片机编程经验；
2、 熟练掌握汇编语言和C语言；
3、5年以上相关经验。",MCU C语言 CAN 单片机 汇编 技术文档,https://jobs.51job.com/suzhou-gxq/173189877.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
嵌入式软件工程师（苏州）,铭剑电子（南昌）,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 13:08:09,job51,"岗位职责
1）根据系统或产品功能要求，负责嵌入式程序开发；
2）负责上位机软件开发和自动测试程序；
3）协助系统整体调试、测试。
任职要求
1）统招本科及以上学历，电子、通信、测控、控制、软件、自动化等相关专业；
2）熟悉嵌入式系统，3年以上嵌入式软件开发经验；
3）具备FPGA/硬件电路设计/软件开发能力者优先；
4）熟悉测试系统软件开发者优先。
本岗位需要配合客户项目出差提供技术支持。",FPGA 技术支持,https://jobs.51job.com/suzhou-gyyq/173189472.html?s=sou_sou_soulb&t=0_0&req=6749efddb9299b33d1ad530d786b443f
