job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
DSP开发实习生,出门问问,180-200元/天,南京-栖霞区,南京,硕士,,90天前更新,liepin,"岗位职责：
1、从事音频数字信号处理相关算法的开发，包括回声消除、语音增强、麦克风阵列信号等算法的研发；
2、参与DSP音频神经网络架构搭建及优化；
3、参与语音识别解码器的研发与优化；
4、参与语音识别相关产品研发和项目落地。

职位要求：
（一）必备条件
1、在校硕士生，26或27年毕业，数学、计算机科学、信号处理、通信工程等相关专业；
2、具备扎实的信号处理理论基础，熟悉傅里叶变换、滤波器设计等核心方法；
3、熟练掌握 C/C++ 编程语言，具备良好的编码习惯与工程实现能力；
4、熟悉 MATLAB 或 Python，能够高效完成算法原型开发、验证与仿真；
5、具备良好的沟通能力和团队协作精神。

（二）优先条件：
1、具备音频流处理或语音信号处理实际项目经验；
2、有传统音频处理或基于AI的降噪算法研发经验；
3、具有嵌入式平台（如 ARM、DSP 等）开发经验。
 

招聘人数：1人",DSP 语音识别 C++ MATLAB Python ARM,https://www.liepin.com/lptjob/79453335
电源软件/DSP开发/控制算法,台达电子企业管理(上海)有限公司,16-20k·14薪,武汉-洪山区,武汉,硕士,应届,7月22日更新,liepin,"DSP控制算法工程师
1.负责电源产品相关技术开发；
2.负责产品控制流程图设计和代码编写；
3.负责产品的软件调试；
4.负责对工作逻辑，控制性能和保护逻辑等相关软件功能的自测和分析；
5.项目文件资料编写。


要求：
27届硕博毕业生  电气工程、控制工程等相关专业
薪资会在签三方前沟通。

截止日期：2027年07月22日
招聘人数：100人",DSP,https://www.liepin.com/lptjob/84304789
电源软件/DSP开发/控制算法,台达电子企业管理(上海)有限公司,16-20k·14薪,杭州-滨江区,杭州,硕士,应届,7月22日更新,liepin,"DSP控制算法工程师
1.负责电源产品相关技术开发；
2.负责产品控制流程图设计和代码编写；
3.负责产品的软件调试；
4.负责对工作逻辑，控制性能和保护逻辑等相关软件功能的自测和分析；
5.项目文件资料编写。


要求：
27届硕博毕业生  电气工程、控制工程等相关专业
薪资会在签三方前沟通。

截止日期：2027年07月22日
招聘人数：100人",DSP,https://www.liepin.com/lptjob/84304787
电源软件/DSP开发/控制算法,台达电子企业管理(上海)有限公司,16-20k·14薪,重庆-九龙坡区,重庆,硕士,应届,7月22日更新,liepin,"DSP控制算法工程师
1.负责电源产品相关技术开发；
2.负责产品控制流程图设计和代码编写；
3.负责产品的软件调试；
4.负责对工作逻辑，控制性能和保护逻辑等相关软件功能的自测和分析；
5.项目文件资料编写。


要求：
27届硕博毕业生  电气工程、控制工程等相关专业
薪资会在签三方前沟通。

截止日期：2027年07月22日
招聘人数：100人",DSP,https://www.liepin.com/lptjob/84304785
电源软件/DSP开发/控制算法,台达电子企业管理(上海)有限公司,16-20k·14薪,上海-浦东新区,上海,硕士,应届,7月22日更新,liepin,"DSP控制算法工程师
1.负责电源产品相关技术开发；
2.负责产品控制流程图设计和代码编写；
3.负责产品的软件调试；
4.负责对工作逻辑，控制性能和保护逻辑等相关软件功能的自测和分析；
5.项目文件资料编写。


要求：
27届硕博毕业生  电气工程、控制工程等相关专业
薪资会在签三方前沟通。

截止日期：2027年07月22日
招聘人数：100人",DSP,https://www.liepin.com/lptjob/84304783
北方华创微电子-电气工程师（博士）-2027校园招聘(J15895),电子/半导体/集成电路10000人以上,20-35k,北京-大兴区,北京,博士,应届,7月9日更新,liepin,"职责描述：
方向一：控制算法分析
1.数据模型与算法研究，涵盖故障预测和健康管理(PHM)、故障检测和分类(FDC)、预测性维护(PdM)、先进过程控制(APC)；
2.多物理场仿真与数据科学融合研究，包括数据动的CFD模型优化及基于物理信息神经网络(PINN)的CFD求解优化；
3.数据项目全流程开发，从数据收集到模型部署，提供针对不同数据规模的定制解决方案；
4.数据科学工具链的研究与评估，持续改进现有模型和方法论。

方向二：嵌入式系统硬件开发
1.嵌入式系统硬件架构设计与实现，包括原理图设计、PCB布局及关键元器件选型；
2.嵌入式固件开发与系统集成，实现底层驱动开发及基于RTOS的任务调度；
3.系统级测试验证，包括电气测试、功能测试和环境可靠性测试。

方向三：电气工程
1.半导体装备电气系统架构设计与开发，包括电气控制方案制定和关键供应商开发；
2.复杂电气工程问题的分析与解决，开展实验验证并开发创新解决方案；
3.电气工程组件设计、选型与工程分析，完成电图纸设计和产品规格制定。

方向四：电气工程-系统集成
1.复杂电气系统架构设计与开发，包括系统级解决方案验证和工程文档编制；
2.电气系统测试验证与性能优化，利用实验室设备进行系统性能表征；
3.数据驱动的系统设计改进，通过数据分析推动产品研发创新。

方向五：电力电子
1.电源系统及功率器件控制架构的全流程设计与可行性验证；
2.电气元件选型与技术指导，供应商培训与技术支持；
3.现场技术问题诊断与解决方案制定，为客户提供专业技术支持。

方向六：供配电技术
1.半导体设备交直流配电系统设计与控制方案开发；
2.软硬件系统集成验证与OEM部件选型成本分析；
3.电气图纸绘制与技术文档编制，包括原理图、接线图及设备手册等；
4.现场技术问题诊断与解决方案实施。

方向七：电磁兼容与屏蔽
1.半导体装备电磁兼容设计与解决方案开发，涵盖整机/模块/单板各级电磁兼容设计；
2.电磁屏蔽与吸波材料设计与测试，开展电磁材料仿真建模研究；
3.电磁兼容与静电放电等先进技术研究，支撑测试与仿真平台建设；
4.电磁材料(吸波/屏蔽/超材料)的性能测试与应用研究。

方向八：热工自动控制和热工结构设计
1.热功率计算、多输入多输出耦合加热系统建模及温度控制算法设计；
2.进行热工实验平台的设计与搭建，热工控制系统设计开发经验（辐射加热、风冷降温），如热工控制算法设计（PID或先进控制算法）的开发和调试；
3.材料选型及成型加工工艺研究（适用于高温加热的电阻丝、隔热保温材料等）。

方向九：运动控制平台开发
1.运动控制平台设计如机械手研究（轨迹规划、运动插补、自动示教）；
2.多轴协同运动控制算法设计开发，对于运动控制的末端抖动、不同负载适配研究开发；
3.根据机器视觉或者雷达信息进行多传感器信息融合处理机械手位姿确认和偏差分析；
4.研究机械手相关的智能控制、实时通讯或者结构设计。
任职要求：
方向一：控制算法分析
1.应用数学、统计学、自动化、计算机工程、电气工程、微电子工程等相关专业；
2.熟练掌握统计学习和机器学习模型，精通时间序列模型、回归和分类模型，以及神经网络(LSTM、RNN、AutoEncoder等)；
3.熟悉数据处理和特征工程，掌握PCA、LDA、ICA等数据降维方法，精通特征筛选、构造和融合技术；
4.精通Python/Matlab/C/C++/R中至少一种编程语言，熟悉Scipy、Sklearn等科学计算库，了解Pytorch/Tensorflow/Keras等深度学习框架；
5.具备PHM/FDC/半导体相关项目经验；
6.拥有数据项目全流程开发经验，能够独立设计和实现高效模型；
7.曾在数据科学会议/期刊发表论文；
8.特别优秀者可放宽要求。

方向二：嵌入式系统硬件开发
1.电气工程、自动化等相关专业；
2.精通模拟和数字电路设计，掌握电源管理、信号完整性和热管理设计；
3.熟练使用Solidworks Electrical、Eplan等EDA设计工具；
4.精通C/C++编程，具备RTOS应用经验；
5.熟悉SPI、I2C、UART、以太网和EtherCAT等通信协议；
6.具备出色的分析和故障排查能力；
7.具备ARM/DSP开发或高精度运动系统项目经验；
8.具备复杂系统嵌入式开发及跨团队协作项目经历；
9.特别优秀者可放宽要求。

方向三：电气工程
1.电气工程、自动化等相关专业；
2.精通Solidworks Electrical、Eplan等EDA软件，具备完整的电气系统设计能力；
3.熟练掌握倍福、汇川、欧姆龙等主流PLC编程与系统集成；
4.具备强大的工程分析能力，能够解析电气数据并开发创新解决方案；
5.掌握电气布线、控制柜设计规范及低压电气标准；
6.具备优秀的批判性思维和问题解决能力；
7.具备半导体装备产品开发生命周期经验；
8.特别优秀者可放宽要求。

方向四：电气工程-系统集成
1.电气工程等相关专业；
2.具备电气架构和系统集成的系统级理解，掌握电源与控制技术的自动化应用；
3.精通5-why、8D、fishbones等故障分析工具熟练使用DVM、示波器、协议分析仪等测试设备；
4.拥有出色的技术沟通能力，能够与跨职能团队有效协作；
5.具备半导体领域调度/嵌入式/电气系统成功案例；
6.具备OEM系统组件设计和跨职能团队合作经历；
7.特别优秀者可放宽要求。

方向五：电力电子
1.电气工程、自动化等相关专业；
2.熟悉电源常见拓扑结构，具备完整的电气图纸设计与技术文档编制能力；
3.掌握CAN、EtherCAT、Modbus等电源常用通讯协议；
4.精通IGBT、MOSFET、SCR等功率器件的驱动设计及MCU、DSP、FPGA控制系统设计验证；
5.熟练掌握电力电子计算方法，熟悉电源相关国家标准；
6.熟练使用Solidworks Electrical、EPlan等电气设计士具及Matlab、PSpice等仿真软件；
7.具备数字电源或变频电源项目研发经历；
8.具备完整的电源产品开发全流程实践经验；
9.特别优秀者可放宽要求。

方向六：供配电技术
1.电气工程、自动化等相关专业；
2.具备扎实的自动化、电力驱动及动力电气专业知识，善于实践；
3.精通交直流配电系统:(1000VAC以下)设计计算，熟悉国家标准规范；
4.熟练使用EPlan、Solidworks Electrical等电气设计工具；
5.具备优秀的抗压能力和自我管理能力；
6.拥有良好的中英文沟通协调能力；
7.具备半导体设备供配电项目经历；
8.具备完整的电气系统设计经验；
9.特别优秀者可放宽要求。

方向七：电磁兼容与屏蔽
1.物理、电气工程、机械电子工程、电磁场与微波技术、仪器仪表等相关专业；
2.具备解决半导体装备电磁兼容问题的能力，能通过设计提升装备抗干扰性能；
3.掌握扎实的电气工程和物理基础知识，包括模拟电路、光电子设计、电磁理论等；
4.熟悉电磁场与电磁波技术，能进行电磁仿真或高性能磁屏蔽防护设计；
5.具备电磁材料测试与仿真建模能力；
6.具有电磁场、电磁兼容、静电放电等相关项目经验；
7.具备电磁兼容测试与仿真平台建设经验；
8.特别优秀者可放宽要求。

方向八：热工自动控制和热工结构设计
1.工程热物理、自动控制、材料成型与加工、机械工程等相关专业；
2.具有热工自动化，热传类（辐射、对流、导热）研究基础背景；
3.自动控制类需掌握C语言编程或者PLC编程和COMSOL、MATLAB/Simulink仿真以及Python数据处理分析、AI类算法应用等；
4.具有辐射、对流、传热类仿真，并计算其热功率和热设计的项目开发经历或具有参与搭建实验热工实验平台或完成复杂仪器自动化控制的项目经历；
5.特别优秀者可放宽要求。

方向九：运动控制平台开发
1.自动控制、机电一体化、机械工程、计算机、人工智能等相关专业；
2.掌握嵌入式C语言编程或者运动控制板卡编程和MATLAB/Simulink仿真以及Python数据处理分析及AI类算法应用等；
3.参与过高精密运动控制平台项目或完成涉及复杂运动的装备自动化控制的项目者优先；
4.特别优秀者可放宽要求。

截止日期：2027年07月09日
招聘人数：20人",RTOS 机器学习 Python MATLAB C++ PyTorch TensorFlow Keras 深度学习 SPI I2C UART,https://www.liepin.com/lptjob/84021747
基带算法工程师,上海华测导航技术股份有限公司,20-24k·16薪,上海-青浦区,上海,硕士,应届,6月25日更新,liepin,"【工作职责】
1、负责基带信号处理算法的理论仿真，设计和实现； 
2、负责基带算法CMODEL设计，协助RTL实现以及验证； 
3、负责基带firmware代码调试维护和性能优化； 
4、负责基带测试数据分析处理以及问题定位。
【任职资格】
1、电子、通信、计算机、导航等相关专业的硕士及以上学历； 
2、熟悉GNSS基带信号处理算法（捕获，跟踪，抗干扰，抗欺骗，抗多径）； 
3、熟悉C/C++/MATLAB开发语言； 
4、具有嵌入式ARM或者DSP开发经验。

截止日期：2027年06月25日
招聘人数：1人",C++ MATLAB ARM DSP 数据分析,https://www.liepin.com/lptjob/83710093
汽车软件工程师,FEV,150-180元/天,廊坊-三河,廊坊,本科,,6月26日更新,liepin," 控制器软件开发，要求熟悉C语言或者编程，比较熟悉python语言、MATLAB等；
岗位职责
负责汽车/工业控制器底层及应用层软件开发，包括控制算法实现、信号处理、逻辑策略开发等；
基于模型设计（MBD）流程开展控制策略建模、仿真及代码生成（MATLAB/Simulink）；
负责C语言手写代码的编写、调试与维护，参与底层驱动、通信协议栈、诊断等功能开发；
配合系统/硬件工程师完成控制器联调、标定及台架/整车测试验证；
使用Python脚本进行自动化测试、数据处理、标定文件转换等工具链开发；
参与软件需求分析、架构设计、单元测试及文档编写，确保代码符合MISRA C等相关规范。
任职要求
必备条件：
本科及以上学历，车辆工程、自动化、电子信息、计算机等相关专业；
熟练掌握C语言，具备良好的编码习惯，熟悉指针、结构体、内存管理等；
熟悉MATLAB/Simulink，有基于模型开发（MBD）、自动代码生成经验者优先；
熟悉Python，能独立编写脚本用于数据处理、自动化测试或工具开发；
了解嵌入式系统基本原理，熟悉单片机（如ARM Cortex-M/R系列）或DSP开发流程；
熟悉常用车载通信协议（CAN/LIN/FlexRay/Ethernet）者优先；
具备良好的问题分析能力和团队协作意识，有较强自驱力。
加分项：
有汽车电子ECU开发经验（VCU/BCM/BMS/EMS等）；
熟悉AUTOSAR CP/AP架构及相关工具链（Vector/ETAS/EB）；
熟悉ISO 26262功能安全标准，有ASIL等级项目经验；
掌握版本管理工具（Git/SVN）、CI/CD流程；
有Simulink代码生成（Embedded Coder）量产项目落地经验。

截止日期：2027年06月25日
招聘人数：1人",C语言 Python MATLAB 单片机 ARM DSP CAN Git SVN CI/CD 自动化测试 需求分析,https://www.liepin.com/lptjob/83704731
C语言软件工程师,瞰鉴科技,10-25k,西安-高新区,西安,硕士,应届,5月18日更新,liepin,"工作职责：
1)	负责无人器导航算法的资料收集整理
2)	负责导航算法的c代码优化
任职要求：
1)	具备本科以上学历
2)	计算机，通信，电磁场，信号处理等相关专业
3)	必须具备C或C++ 较强的编码能力
4)	有linux开发经验和兴趣者优先
5)	有信号处理相关理论论文背景和DSP开发经验者优先
6)	熟悉opencv,eigen,slam等算法者优先
7)	有动态滤波，回环检测，3d导航建图等算法背景者优先
8)	需要有良好的沟通能力，抗压能力，执行能力
 

截止日期：2027年01月23日
招聘人数：1人",C++ Linux DSP OpenCV SLAM,https://www.liepin.com/lptjob/79952879
嵌入式软件开发（实习）,圭步微,200元/天,南京-浦口区,南京,硕士,,90天前更新,liepin,"岗位职责（以下工作负责其中一到两项即可）：
1.编译系统搭建，芯片启动升级（bootrom/bootloader）
2.常见外设驱动移植开发
3.操作系统移植维护调优（RTOS为主）
4.雷达信号处理以及相关算法开发调优。
5.配套上位机工具开发等其他工作

任职要求（前两项必须，其他为加分项）：
1.硕士研究生以上学历，通信，电子，计算机等相关专业，工作年限不限。
2.熟练掌握C或者C++，编程基本功扎实，做事思路清晰。
3.至少熟悉ARM Cortex M/R/A其中一种架构启动流程以及体系结构，熟练掌握相应汇编语言加分。
4.熟悉RTOS/LINUX操作系统工作原理，对于内存管理，进程调度，堆栈操作有基本认识。
5.熟悉数字信号处理，具有ARM NEON或DSP开发经验。
6.熟悉常见外设协议，包括UART/CAN/I2C/SPI/MIPI/Ethenet等
7.熟悉GDB、trace32、J-link等任一调试工具
  实习时长必须一年以上且一周到岗4天以上！

招聘人数：3人",RTOS C++ ARM 汇编 Linux DSP UART CAN I2C SPI,https://www.liepin.com/lptjob/61025017
