job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
C++软件工程师,苏州瑞仕达企业管理咨询,1.8-2.5万·13薪,苏州·相城区,苏州,本科,5年及以上,2026-06-17 09:40:34,job51,"工作职责：
1、激光设备软件研发：按照软件开发工作计划，按时完成相关的开发任务（主要工具C++）。
2、与PLC进行数据交互通信。
3、AOI相关视觉软件开发，运动控制卡软件开发。
4、相关软件技术方案、软件说明资料编写。


招聘要求：
1、本科及以上学历，计算机软件相关专业。
2、C++ MFC或C#开发，熟悉VS2008及以上开发环境。
3、熟悉python开发语言及开发经验
4、有机器视觉，有图像处理（Open CV，ADR MIL，Hacon，Open Evision图像处理经验），熟悉并运用sentech，康耐视相机的运用等；
5、运动控制（AJIN，UMAC，ACS，Aerotech）经验；
6、具备面板激光修复设备和激光切割涉笔经验尤佳；
7、能支持项目开发，可适应出差。",C++ C# Python 技术方案 Open CV ADR MIL,https://jobs.51job.com/suzhou-xcq/172588144.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
C++软件开发工程师,苏州顺造科技,2-4万·14薪,苏州·高新区,苏州,本科,4年及以上,2026-07-09 14:46:13,job51,"1．参与软件系统的方案设计，负责公司机器人产品软件开发；
2．不同平台下软件分析规划、功能模块开发和技术难点攻关；
3．负责软件设计、代码编写和调试；
4．负责相关技术文档的编写；
5．负责指导助理软件工程师的开发工作，提供技术支持。
任职资格：
1.	精通C/C++语言，精通数据结构，具有良好的代码编写习惯；
2.	熟悉MCU/ARM处理器架构，熟练掌握软件编译环境和软件调试工具；
3.	熟悉小米iot的启动和接入流程，同时精通spec标准协议的服务-属性、方法、事件的解析；
4.	了解ros或fast-dds消息与服务的通信机制；
5.	有一定的算法学习研究、分析设计能力，对机器人技术感兴趣，具有创新思维；
6.	有较强的分析和解决问题能力，有持续自我学习的能力和意愿，善于沟通和逻辑表达；
7.	工作积极主动，具有团队协作能力，服从领导安排。",C++ MCU ARM ROS 方案设计 技术文档 技术支持,https://jobs.51job.com/suzhou-gxq/164606553.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
c++开发工程师,上海万业元创科技,2-4万,苏州·相城区,苏州,本科,5年及以上,2026-06-24 19:27:08,job51,"岗位职责：
1.负责用于图像处理的软件系统搭建，计算任务及资源调度、优化;
2.参与图像处理算法的性能调优;
3.负责硬件平台的性能评估及优化。

任职要求:
1.计算机、自动化、通信、电子类相关专业，本科5年以上工作经验，硕士3年以上工作经验;
2.熟练掌握C/C++，各种数据结构和算法，掌握多线程并发编程技术，且对性能优化有着深刻的理解，有量产项目开发经验;
3.熟悉至少一种Linux操作系统，具备对系统异常的分析解决能力;
4.有QT和OpenCV开发经验，对基本图像处理过程有了解;
5.有RDMA分布式网络系统搭建及开发经验优先;
6.有CPU、GPU、ARM等平台图像处理算法应用经验，并有相关落地产品研发经验者优先。",C++ Linux OpenCV 分布式 ARM GPU,https://jobs.51job.com/suzhou-xcq/172678463.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
C++软件工程师,苏州迪凯尔医疗科技,1.5-3万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-05 14:02:47,job51,"岗位职责：
1、参与公司产品的软件架构设计、负责公司产品的软件设计、开发（C++为主）
2、按规定完成软件工程要求的有关技术方案、设计开发文档的编写
3、参与产品的验证、确认的活动
4、负责软件所运行环境的建立
5、负责知识产权的输出，包括专利、软著
岗位要求：
1、本科及以上学历，985.211院校毕业，计算机相关专业
2、5年以上软件开发工作经验，熟练掌握C++，UI交互开发（例如QT）
3、具有较好的软件设计能力，熟悉设计模式、面向对象编程规范",C++ 技术方案 知识产权 专利,https://jobs.51job.com/suzhou-gyyq/167431776.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
c++开发工程师,江苏康众数字医疗科技,1.3-2万·14薪,苏州·苏州工业园区,苏州,本科,2年及以上,2026-07-23 10:23:26,job51,"工作职责
1、负责设备端桌面应用软件的开发与迭代（Windows/Linux 环境）
2、设计并实现人机交互界面（GUI）及相关业务逻辑模块
3、与算法、嵌入式、电气等团队协作，完成系统集成与联调
4、优化软件性能与稳定性，提升用户操作体验
5、参与软件工程规范建设，包括代码评审、版本管理与自动化构建
6、编写必要的开发文档与交付说明

任职要求
1、熟悉并能够高频使用主流 AI 编程辅助工具（如 GitHub Copilot、ChatGPT、Cursor 等），能够在开发过程中充分利用 AI 提升编码效率、调试效率与交付速度
2、知名院校本科及以上学历，计算机、软件工程等相关专业
3、2年以上 C++ 开发经验，具备良好的面向对象设计能力（接受相关实习经验的应届生）
4、熟悉至少一种主流跨平台 GUI 框架（如 Qt 或同类框架）优先
5、熟悉多线程、网络通信、常见设计模式；熟悉 Windows/Linux 开发环境与调试工具优先
6、具备强烈的学习意愿与优秀的自学能力，能够快速掌握新技术、新框架并独立解决问题优先",Linux Git GPT C++ 版本管理 Windows GUI AI,https://jobs.51job.com/suzhou-gyyq/173008152.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
C++软件工程师,昆山古鳌电子机械,1.5-1.8万,昆山,苏州,本科,2年及以上,2026-08-04 10:41:18,job51,"C++软件工程师负责产品前端软件设计，具备windows和linux跨平台开发
1.本科及以上学历，电子、通讯、计算机等相关专业，有2年以上Linux开发经验；&nbsp;
&nbsp;2.精通C/C++语言，多线程，多进程，内存共享，网络通信编程技术，熟悉TCP/IP协议和HTTP协议，有嵌入式web后台服务器开发经验；
&nbsp;3.掌握RS232/RS485/RS422、I2C、SPI、SBUS、USB等接口协议；
&nbsp;4.熟悉嵌入式linux相关开发、调试、优化工具",C++ Linux TCP/IP I2C SPI 嵌入式Linux,https://jobs.51job.com/kunshan/171630000.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
C++软件工程师,江苏康众数字医疗科技,1.1-1.4万·14薪,苏州·苏州工业园区,苏州,本科,2年及以上,2026-06-26 11:42:53,job51,"工作职责
1、负责设备端桌面应用软件的开发与迭代（Windows/Linux 环境）
2、设计并实现人机交互界面（GUI）及相关业务逻辑模块
3、与算法、嵌入式、电气等团队协作，完成系统集成与联调
4、优化软件性能与稳定性，提升用户操作体验
5、参与软件工程规范建设，包括代码评审、版本管理与自动化构建
6、编写必要的开发文档与交付说明

任职要求
1、熟悉并能够高频使用主流 AI 编程辅助工具（如 GitHub Copilot、ChatGPT、Cursor 等），能够在开发过程中充分利用 AI 提升编码效率、调试效率与交付速度
2、知名院校本科及以上学历，计算机、软件工程等相关专业
3、2年以上 C++ 开发经验，具备良好的面向对象设计能力（接受相关实习经验的应届生）
4、熟悉至少一种主流跨平台 GUI 框架（如 Qt 或同类框架）优先
5、熟悉多线程、网络通信、常见设计模式；熟悉 Windows/Linux 开发环境与调试工具优先
6、具备强烈的学习意愿与优秀的自学能力，能够快速掌握新技术、新框架并独立解决问题优先",Linux Git GPT C++ 版本管理 Windows GUI AI,https://jobs.51job.com/suzhou-gyyq/172594043.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
C++软件工程师（分选机方向）,盛欣科智能装备（江苏）,1.5-2.5万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-15 16:28:19,job51,"【工作内容】
1、负责分选机核心控制系统的C++代码开发与模块优化，确保算法运行高效稳定；
2、参与视觉识别与运动控制逻辑的联调，解决多轴协同及高速分拣中的技术难题；
3、配合硬件团队完成底层驱动适配，实现PLC、相机及传感器间的数据交互与通信；
4、主导系统性能测试与故障排查，输出技术文档并持续迭代提升设备整体精度。

【任职要求】
1、计算机、自动化或相关专业本科及以上学历，3年以上软件开发工作经验；
2、具备扎实的C++语言编程功底；
3、有机器视觉、运动控制或工业设备软件开发经验，了解TCP/IP、Modbus等协议；
4、具备良好的逻辑思维与问题分析能力，能适应项目现场调试及弹性工作节奏。",C++ TCP/IP Modbus 性能测试 故障排查 技术文档,https://jobs.51job.com/suzhou-gyyq/172562173.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
c++开发工程师,恩士迅信息科技（中国）,2-2.6万·13薪,苏州,苏州,本科,5年及以上,2026-06-23 16:47:39,job51,"1.熟悉C++、STL以及现代C++新特性
2.熟悉多线程开发以及socket网络编程
3.熟悉常用设计模式，能够在项目中合理运用
4.熟悉常用中间件(rabbitmq,redis等)
5.熟悉http,websocket协议
6.具备良好的编码规范、文档习惯和团队合作精神
 
具有以下条件优先
1.高并发、高性能分布式系统开发经验
2.音视频项目开发经验
 *熟悉常用音视频编码格式（H265/H264, AAC/G.711）以及文件容器格式(MP4, MKV)
 *熟悉FFMPEG，X264, LIVE555, OpenCV
 *熟悉常用网络串流协议（RTSP, HLS, WebRTC）
3.熟悉Docker, Kubernetes",C++ RabbitMQ Redis WebSocket 高并发 分布式 OpenCV Docker Kubernetes,https://jobs.51job.com/suzhou/172658063.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
C++软件开发工程师,小蜂光电科技（苏州）,1.5-2万,苏州·虎丘区,苏州,本科,3年及以上,2026-08-03 13:20:33,job51,"职位描述：
1）项目需求分析，制定项目开发计划；
2）开发软件功能模块，按时提交工作成果；
3）对软件功能模块进行维护、升级和测试人员合作修正已知的软件问题；
4）接受出差，在现场进行设备软件开发调试。

任职要求：
1）本科及以上学历，三年以上QT上机位开发工作经验；
2）熟练掌握C/C++编程；熟练使用QT进行编程；
3）有至少使用正运动、固高、雷赛等一种品牌运动板卡实现连续插补运动（点到点、直线、圆、圆弧等）经验
4）有嵌入式软件开发经验；有halcon，opencv任一使用经验优先。",C++ OpenCV 需求分析,https://jobs.51job.com/suzhou-hq/158147836.html?s=sou_sou_soulb&t=0_0&req=a21896a80c93e41985f8cbaa00fdb859
