job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
市场助理,安徽贝盈科技有限公司,3-4k,淮北-烈山区,,大专,应届,90天前更新,liepin,"1.项目文档与投标支持：协助制作项目方案 报价、投标文件的编制、排版、打印及封装。整理公司资质、产品彩页、成功案例等销售工具包， 确保资料的准确性和及时更新。

2.客户关系辅助维护 协助对接政企客户，负责日常的客户接待 、会议安排及会议纪要撰写。通过电话或线上方式 ，对潜在客户进行 初步的意向摸排与信息确认。在指导下处理 客户的售后咨询，协调技术人员解决问题，提升客 户满意度。

3.销售流程跟踪：跟进销售合同的审批流程，协调法务、财务部门完成合同盖章与归档。协助跟进项目的发货、验收进度，配合财务部门处理 发票开具及催收应收账款。

4.市场信息收集：关注政府、新能源、农业等行业（系统集成主要客户群）的招标信息，并进行汇总分析。收集竞争对手的产品动态与价格信息，为销售策略调整提供依据。

【任职资格】

1.学历要求：大专及以上学历，应届毕业生，或 毕业1年内。

2.专业倾向：优先专业：市场营销、工商管  理等管理类；计算机、通信工程、物联网、智能化、 电子信息等技术类。

3.软性素质要求：熟练办公软件：精通 Word排版（特别是标书排版）和PPT制作（方案汇报）， 具备一定的Excel数据处理能力。沟通能力强：性格开朗，不怯场，具备良好的电话沟通礼仪和商务接待礼仪。抗压与细致：能适应快节奏工作（如投标截止前的加班），工作耐心细致，有较强的责任心。学习意愿：有好奇心，愿意主动学习基础知识。

4.优先条件（加分项）：在校期间担任过学生 干部，或有社团外联经验者。持有C1驾照且能熟练驾驶（便于未来陪访客户或送递标书）。

截止日期：2027年04月25日
招聘人数：1人",投标,https://www.liepin.com/lptjob/82085427
fae技术支持工程师,浙江城光联链科技有限公司,3-6k,丽水-松阳县,,大专,应届,90天前更新,liepin,"职责描述：
1.熟悉公司业务发展发向，提供产品及云平台技术支持，包括咨询解答、产品培训、现场技术指导、故障分析与排除等。
2.解决客户、业务员、安装人员反馈的各类产品技术问题，在软件、硬件方向提供相应的技术支持；
3.处理客户在使用产品过程中遇到的各种问题，模拟客户的产品使用环境测试，排除简单的故障问题，复杂故障反馈给相关的技术人员跟进解决情况；
4.站在市场、客户的角度发现产品问题，并提出相应的技术建议；
5.配合领导、市场人员解决产品的供应链选型配合等技术问题。

任职要求：
1、理工科背景或光电信息、物联网、计算机类、机电工程、电子信息类相关专业，大专及以上学历；
2、有电子，自动化，通信，物联网相关企业就职经验者优先；
3、沟通能力佳，有良好的客户服务意识，强烈的进取心，高度的责任心与工作热情，吃苦耐劳；
4、有技术支持工作经验1-2年者优先，优秀应届毕业生亦可，能适应短期国内出差。

招聘人数：2人",技术支持 培训 供应链 客户服务,https://www.liepin.com/lptjob/44894213
物联网解决方案工程师,中物互联,12-21k,深圳-福田区,深圳,学生可投,经验不限,90天前更新,liepin,"1、负责公司产品的售前设计及技术配置，针对行业物联网项目做客户需求沟通，制定解决方案、售前方案配置设计等工作；
2、协助业务部门进行售前技术支撑； 
3、负责项目技术方案编写、标书的准备、讲解和答疑； 
4、跟踪最新的技术动向，定期制作技术文档； 
5、针对行业方案为公司内部技术人员、销售人员进行培训。 

任职要求：
1、本科及以上学历，计算机、自动化、通信、软件等相关专业； 
2、具备物联网行业两年及以上解决方案售前经验，对物联网行业应用有深入的了解，能独立承担物联网解决方案工作； 
3、有智慧城市、智慧园区、智慧社区解决方案能力者优先； 
4、熟悉政府招投标流程与细节，有招投标文件的编写、制作、讲解实战经验； 
5、具备项目方案设计、编写、演讲能力，文案功底突出，精通word、ppt、excel等办公软件； 
6、事业心强，责任心强，执行力强，服务意识强，有团队协作精神，踏实肯干，能适应短期出差。",技术方案 技术文档 培训 招投标 方案设计,https://www.liepin.com/job/1958667345.shtml
高级物联网开发工程师,四川铁拓科技有限公司,10-15k,成都-金牛区,成都,本科,5-10年,90天前更新,liepin,"工作职责：
1、负责物联网平台系统设计与开发，包括技术架构、数据模型、可靠性设计、业务系统接口等；
2、IoT平台对接硬件及其他系统功能设计和实现，数据对接，平台控制功能对接；
3、团队协作解决平台高并发、高可用等疑难问题；
4、参与需求调研，软件设计文档撰写，包括需求分析、方案设计、测试及运维手册；

任职要求：
1、本科及以上学历，计算机、物联网相关专业，五年以上开发设计经验，2年以上物联网相关产品开发经验；
2、深入理解Spring、Spring boot、Spring Cloud等框架的设计原理及实现；
3、精通JAVA，必须熟悉JAVA网络编程及相关框架（如：Netty）；
4、熟悉物联网相关协议（HTTP协议、MQTT协议、CoAP协议等），对设备影子、物模型、规则引擎等物联网平台基础组件和概念有深刻理解；
5、精通thingsboard，有基于tb的大型项目实战经验（核心角色）。
6、熟悉Cassandra、PostgreSQL、TDEngine、Mysql，了解iotdb；
7、熟悉主流消息队列，Kafka、RocketMQ等，并能熟练使用到项目中；
8、熟悉IO、NIO、多线程、高并发等基础框架;   熟悉Actor模式；
9、熟悉JAVA应用内存分析、常用JVM性能调优监控、JVM优化，掌握压力测试工具和流程；

薪资水平：10k-15k，特别优秀可增加
职位福利：定期体检、五险一金(本科才有公积金)、出差补贴、节日福利、餐补交通等补助。
本公司为央企下属，直招非编技术人员，请抓住机遇，不满足条件的不要来浪费时间。",高并发 高可用 Spring Spring Boot Spring Cloud Java Netty MQTT CoAP Cassandra PostgreSQL Gin,https://www.liepin.com/job/1969671485.shtml
物联网技术支持工程师,北京容域普达科技有限公司,6-12k,北京-海淀区,北京,大专,1-3年,90天前更新,liepin,"职责描述：
1、了解并熟悉公司物联网产品及其他网络测试仪产品的产品规格及技术参数；
2、负责客户售前技术支持，为客户解答关于公司产品及相关产品技术参数等的咨询，引导客户需求；
3、负责与公司技术团队一起制定客户售前产品演示方案，并协同技术人员到客户现场进行讲解呈现，引导客户需求；
4、参与公司产品或服务方案技术部分的整理总结、知识共享；
5、参与客户报价、投标项目投标书技术部分的方案确定及撰写；
6、跟踪学习行业相关新技术、新产品。

任职要求：
1、电子信息、自动化或相关电子专业大专以上学历，1年以上工作经验；
2、熟悉模拟信号、数字信号电路等相关技术；
3、能按产品实施要求进行规范性地工作，善于解决设计和调试中碰到的各种问题；
4、有较高的动手能力，按时、按质完成工作任务；
5、有基本的网络基础知识背景；
6、从事过环境气体探测、电路检测、计数类电子产品等物联网相关工作优先考虑。

福利及待遇：
享受工资、绩效奖金，年底业绩奖金，以及根据平时表现的不定期调薪
享受公司节假日礼品福利，享受国家五险一金及法定休假以及公司年假
每周工作五天，周末双休，上下班弹性工作制
享受公司组织的国内/国外培训学习
表现良好，通过考核可晋升到高一级的岗位

",技术支持 投标 培训,https://www.liepin.com/job/1933729085.shtml
数字技术工程师培育（培训）项目,学校教育2000-5000人,薪资面议,天津-红桥区,天津,本科,3年以上,90天前更新,liepin,"数字技术工程师培育（培训）项目
招募产教融合合作单位
一、项目介绍
        人力资源和社会保障部办公厅《专业技术人才知识更新工程数字技术工程师培育项目实施办法》指出，2021年至2030年围绕人工智能、物联网、大数据、云计算、数字化管理、智能制造、工业互联网、虚拟现实、区块链、集成电路等数字技术技能领域，每年培养培训数字技术技能人员8万人左右，培育壮大高水平数字技术工程师队伍。
        河北工业大学紧扣国家数字经济发展战略，聚焦数字技术人才队伍发展需求，依托学校深厚的教学科研底蕴、完善的教学设施及专业的师资团队，现已获批10项数字技术工程师培训资质，涵盖大数据工程技术人员、物联网工程技术人员、云计算工程技术人员、人工智能工程技术人员、区块链工程技术人员、数字化管理人员、工业互联网工程技术人员、智能制造工程技术人员、增材制造工程技术人员、密码工程技术人员。同时获批5项考核站点资质，包括区块链工程技术人员、数字化管理人员、大数据工程技术人员、云计算工程技术人员和物联网工程技术人员。学校持续为行业输送大批高素质数字技术人才，得到社会各界与广大学员的高度认可。
        为进一步推进该项目提质增效、扩大项目影响力，整合优质社会资源，现面向社会公开招募数字技术工程师培训项目优质合作伙伴、招聘工作人员，以“资源互补、互利共赢”为核心，共拓发展新机遇，助力国家数字技术人才队伍建设。
二、产教融合合作单位招募
（一）合作对象
        在中华人民共和国境内注册，资信良好的人力资源服务机构、科技企业、行业协会、产业园区，具备相应资源与运营能力的企事业单位、社会机构，以及具备相关专业能力与资源条件、愿意参与数字技术人才培养工作的自然人。
（二）合作方向
1.产教融合教学合作
        围绕数字技术工程师培育项目，共同开展人才培养、课程共建、实训实践、企业内训、定向人才输送等教学与实践合作，服务区域数字经济人才需求。
2.人力资源服务合作
        依托人力资源服务机构、行业协会等渠道优势，开展人才信息对接、政策宣传、学员组织与咨询服务，为项目提供合规的生源信息与人才服务支持。
3.资源协同与推广合作
        整合各方在行业、企业、园区等方面的资源，共同开展项目宣传、政策普及、行业交流，提升数字技术人才培养覆盖面与社会影响力。
（三）合作条件
（1）拥护中国共产党领导，遵纪守法，诚信经营，无违法失信记录、不良经营记录及重大经营风险。
（2）拥有数字技术、人力资源或产业相关资源，具备市场宣传、信息对接、组织协调与合规运营能力，服务规范、口碑良好。
（3）认同国家数字技术人才培养战略与项目理念，遵守项目管理规定与属地监管要求，坚持培训质量优先、规范办学，具备良好合作意识与长期稳定合作意愿。
（4）承诺不从事违规宣传、虚假承诺、违规办学等行为，共同维护项目品牌与公信力。",培训 合规 项目管理,https://www.liepin.com/job/1981892171.shtml
AI智慧消防技术总工,某房地产开发经营公司,30-40k·14薪,北京-朝阳区,北京,统招本科,5-10年,7月23日更新,liepin,"一、岗位职责
1、负责公司AI 智慧消防、消防物联网、AI智能消防整体技术架构、项目方案设计、技术交底、项目落地统筹，主导全品类AI 智慧消防项目实施、验收、运维全流程技术把控。
2、精通AIAI 智慧消防应用逻辑，熟练运用AI视觉算法、AI数据研判、AI误报降噪、隐患智能预警等技术，落地烟火识别、消防通道占道识别、电动车入梯识别、动火识别、电气火灾AI预测等智能化场景。
3、负责项目招投标技术文件编制、技术应答、图纸深化、清单配置、技术亮点包装，能够将物联网+AI智能分析融入整体解决方案，提升项目中标率与技术竞争力。
4、负责物联网设备（NB、LoRa、4G/5G物联网烟感、水压、电气、液位、压力、消防主机联网模块）接入调试、平台对接、数据联调，解决项目现场各类技术疑难问题。
5、统筹项目施工团队、技术人员、外协团队的技术管理、进度管控、质量管控、安全管控，输出标准化施工规范、验收标准、运维体系。
6、对接甲方、住建、消防维保、物业等各方技术沟通，负责项目验收、平台对接、监管平台联网对接工作，确保项目顺利交付回款。
7、跟进行业AI 智慧消防新标准、AI消防新技术、新设备迭代，优化公司产品方案与技术体系，打造智能化、数字化、AI预警型AI 智慧消防产品体系。

二、任职要求（核心亮点：必须懂AI消防应用）
1、本科及以上学历，人工智能等相关专业，消防工程、安全工程、物联网工程，或者有3年以上AI 智慧消防物联网项目总工/技术负责人经验，有完整政企AI 智慧消防项目落地经验。
2、必须熟悉AI 智慧消防技术应用（核心硬性要求）：熟练掌握AI视频智能识别、AI多传感数据融合、AI告警降噪、AI隐患趋势预警、智能研判、风险评级等技术原理与落地场景，能够独立设计AI智能消防解决方案。
3、精通消防物联网整套体系：感知终端、网关传输、云平台、大数据管理、设备协议对接、数据上传监管平台，熟悉各地AI 智慧消防监管平台接入标准。
4、熟悉消防规范、消防验收标准、智能化施工工艺，能独立完成方案设计、图纸深化、清单报价、技术答疑、项目验收全流程工作。
5、具备较强的现场问题解决能力、团队统筹能力、对外沟通能力，能独立带队完成大型AI 智慧消防整包项目。
6、持有一级注册消防工程师、消防设施操作员、信息系统项目管理师、机电工程一级建造师、智能建筑弱电工程师、注册安全工程师证书优先，有政府、园区、物业、校园、医院AI 智慧消防项目经验优先。

三、岗位核心能力说明（区别普通消防岗位）
本岗位不是传统消防施工岗位，重点要求人员掌握物联网数字化+AI智能分析能力，能够摆脱传统纯硬件安装模式，具备智能化、数字化、AI预警型AI 智慧消防项目整体操盘能力，适配当下主流AI 智慧消防招投标及政府验收标准。",4G 5G 方案设计 招投标 项目管理 NB LoRa,https://www.liepin.com/a/78055727.shtml
AI智慧消防技术总工,某北京房地产开发经营公司,26-40k·14薪,北京-朝阳区,北京,硕士,3-5年,7月13日更新,liepin,"一、岗位职责
1、负责公司AI 智慧消防、消防物联网、AI智能消防整体技术架构、项目方案设计、技术交底、项目落地统筹，主导全品类AI 智慧消防项目实施、验收、运维全流程技术把控。
2、精通AIAI 智慧消防应用逻辑，熟练运用AI视觉算法、AI数据研判、AI误报降噪、隐患智能预警等技术，落地烟火识别、消防通道占道识别、电动车入梯识别、动火识别、电气火灾AI预测等智能化场景。
3、负责项目招投标技术文件编制、技术应答、图纸深化、清单配置、技术亮点包装，能够将物联网+AI智能分析融入整体解决方案，提升项目中标率与技术竞争力。
4、负责物联网设备（NB、LoRa、4G/5G物联网烟感、水压、电气、液位、压力、消防主机联网模块）接入调试、平台对接、数据联调，解决项目现场各类技术疑难问题。
5、统筹项目施工团队、技术人员、外协团队的技术管理、进度管控、质量管控、安全管控，输出标准化施工规范、验收标准、运维体系。
6、对接甲方、住建、消防维保、物业等各方技术沟通，负责项目验收、平台对接、监管平台联网对接工作，确保项目顺利交付回款。
7、跟进行业AI 智慧消防新标准、AI消防新技术、新设备迭代，优化公司产品方案与技术体系，打造智能化、数字化、AI预警型AI 智慧消防产品体系。

二、任职要求（核心亮点：必须懂AI消防应用）
1、硕士及以上学历，人工智能等相关专业，消防工程、安全工程、物联网工程，或者有3年以上AI 智慧消防物联网项目总工/技术负责人经验，有完整政企AI 智慧消防项目落地经验。
2、必须熟悉AI 智慧消防技术应用（核心硬性要求）：熟练掌握AI视频智能识别、AI多传感数据融合、AI告警降噪、AI隐患趋势预警、智能研判、风险评级等技术原理与落地场景，能够独立设计AI智能消防解决方案。
3、精通消防物联网整套体系：感知终端、网关传输、云平台、大数据管理、设备协议对接、数据上传监管平台，熟悉各地AI 智慧消防监管平台接入标准。
4、熟悉消防规范、消防验收标准、智能化施工工艺，能独立完成方案设计、图纸深化、清单报价、技术答疑、项目验收全流程工作。
5、具备较强的现场问题解决能力、团队统筹能力、对外沟通能力，能独立带队完成大型AI 智慧消防整包项目。
6、持有一级注册消防工程师、消防设施操作员、信息系统项目管理师、机电工程一级建造师、智能建筑弱电工程师、注册安全工程师证书优先，有政府、园区、物业、校园、医院AI 智慧消防项目经验优先。",4G 5G 方案设计 招投标 项目管理 NB LoRa,https://www.liepin.com/a/77790945.shtml
技防专家（矿山）,某国内矿产开采上市公司,90-120k·13薪,深圳,深圳,本科,10年以上,7月16日更新,liepin,"岗位职责
（一）技防体系整体规划与制度搭建
1. 依据ISO18788国际安保标准、国家海外安保规范、驻在国安全法规，结合海外矿山露天开采、尾矿库、堆场、生活区、办公区、作业工区的场景特点，制定整体技防建设总体规划、年度升级方案及预算规划。
2. 搭建完善的海外矿山技防管理制度体系，包含设备运维、值守巡检、故障处置、系统保密、数据留存、应急联动、供应商管理等标准化制度，推动全流程规范化落地。
3. 结合海外地缘政治风险、治安风险、跨境安全风险，动态优化技防防控策略，针对性升级矿区防暴、防盗、防入侵、防冲突、应急预警技防方案。
（二）技防系统建设、落地与验收
1. 负责矿区全套智能安防系统的方案设计、设备选型、技术交底、施工监督、调试验收，核心覆盖：高清视频监控系统、周界入侵报警系统、红外对射防护系统、智能门禁人车分流系统、无人机巡检与反制系统、应急声光预警系统、防爆安防联动系统、矿区安防大数据平台。
2. 统筹技防工程招投标、供应商技术评审、施工过程管控，审核施工方案、技术参数、施工工艺，杜绝安全隐患与技术漏洞，确保系统适配海外矿区恶劣环境（高温、沙尘、多雨、断电波动）。
3. 牵头新项目技防配套建设、老旧矿区技防设备迭代升级、老旧系统改造扩容，保障安防设备全覆盖、无死角、高稳定运行。
（三）技防系统运维、管控与智能化升级
1. 负责海外矿区所有技防设备、平台、线路的日常运维、定期巡检、故障排查、维保升级，建立设备台账、运维记录、故障档案，保障安防系统7×24小时稳定运行。
2. 依托安防大数据平台，开展矿区安全数据统计、风险研判、异常预警分析，通过视频AI识别、行为监测、周界预警等智能功能，提前识别偷盗、入侵、违规作业、聚众冲突等安全风险。
3. 统筹无人机日常安防巡检、重点区域巡查、风险点位记录，熟练操作无人机航拍取证、重点区域布防、突发情况追踪，同时管控无人机反制设备，防范非法无人机入侵矿区。
（四）三防联动与应急安全处置
1. 深度统筹技防+人防+物防融合协同，联动矿区安保队伍、中方管理人员、当地军警，建立技防预警快速响应机制，实现报警、研判、派单、处置、复盘闭环管理。
2. 牵头编制技防相关应急处置预案，组织开展安防系统故障、矿区入侵、突发冲突、极端天气等场景的专项应急演练，提升团队应急处置能力。
3. 重大节假日、当地政治敏感时期、矿区重大生产活动期间，负责技防系统专项保障、全域布防、实时值守，确保矿区零安全事故。
（五）团队管理、培训与合规管理
1. 负责技防运维小组、本地安保技术人员的日常管理、工作排班、技能培训、考核复盘，培养属地化技防运维人才。
2. 定期开展全员安防技防知识培训，普及设备报警识别、应急操作、风险规避技能，提升中方员工及本地雇员安全防范意识。
3. 对接国内集团安保部门、驻在国军警及安全管理部门，完成技防合规备案、安全检查迎审、安防报告报送，确保项目安保工作完全合规。
（六）成本管控与供应商管理
1. 负责安防专项预算管控，优化设备采购、维保、升级成本，严控项目安防费用支出，提升投入产出比。
2. 建立海外安防设备合格供应商库，开展供应商技术能力、服务质量、产品质量评估，统筹设备采购、维保合作，解决海外设备采购、售后难题。
任职资格要求
（一）学历与专业
本科及以上学历，安全防范工程、电子信息工程、物联网工程、公共安全管理、安全工程等相关专业优先，大专学历需具备8年以上海外矿山技防管理经验。
（二）工作经验
1. 8年以上大型工矿企业安防技防管理经验，5年以上海外矿山（非洲、东南亚优先）安保技防全盘统筹经验，熟悉露天矿、井下矿、尾矿库全场景安防体系。
2. 有完整的海外矿区技防体系搭建、系统建设、智能化升级全流程操盘经验，熟悉海外项目安防施工、运维、合规全流程。
3. 军警背景优先（连级及以上退役军官、武警、特种安保履历），有海外维和、海外安保派驻经验者优先。
（三）专业技能
1. 精通矿山全套技防系统原理、设备参数、施工标准、运维规范，熟练掌握监控、周界报警、门禁、无人机、反制设备、安防大数据平台的操作与调试。
2. 熟悉ISO18788国际安保体系、中资企业海外安全管理条例，了解非洲、东南亚主流矿业驻在国安保法律法规及属地管理要求。
3. 具备极强的风险研判、应急处置、统筹协调能力，可独立处理海外矿区复杂治安、安全突发事件。
4. 具备基础英文工作能力，可熟练完成英文报告撰写、简单对外沟通、设备英文资料。",方案设计 招投标 系统运维 故障排查 团队管理 培训 合规 采购,https://www.liepin.com/a/76346565.shtml
技防专家,某上海大型资产管理公司,75-100k,上海,上海,本科,10年以上,6月3日更新,liepin,"岗位职责
（一）技防体系整体规划与制度搭建
1. 依据ISO18788国际安保标准、国家安保规范、驻在国安全法规，结合矿山露天开采、尾矿库、堆场、生活区、办公区、作业工区的场景特点，制定整体技防建设总体规划、年度升级方案及预算规划。
2. 搭建完善的矿山技防管理制度体系，包含设备运维、值守巡检、故障处置、系统保密、数据留存、应急联动、供应商管理等标准化制度，推动全流程规范化落地。
3. 结合地缘政治风险、治安风险、跨境安全风险，动态优化技防防控策略，针对性升级矿区防暴、防盗、防入侵、防冲突、应急预警技防方案。
（二）技防系统建设、落地与验收
1. 负责矿区全套智能安防系统的方案设计、设备选型、技术交底、施工监督、调试验收，核心覆盖：高清视频监控系统、周界入侵报警系统、红外对射防护系统、智能门禁人车分流系统、无人机巡检与反制系统、应急声光预警系统、防爆安防联动系统、矿区安防大数据平台。
2. 统筹技防工程招投标、供应商技术评审、施工过程管控，审核施工方案、技术参数、施工工艺，杜绝安全隐患与技术漏洞，确保系统适配矿区恶劣环境（高温、沙尘、多雨、断电波动）。
3. 牵头新项目技防配套建设、老旧矿区技防设备迭代升级、老旧系统改造扩容，保障安防设备全覆盖、无死角、高稳定运行。
（三）技防系统运维、管控与智能化升级
1. 负责矿区所有技防设备、平台、线路的日常运维、定期巡检、故障排查、维保升级，建立设备台账、运维记录、故障档案，保障安防系统7×24小时稳定运行。
2. 依托安防大数据平台，开展矿区安全数据统计、风险研判、异常预警分析，通过视频AI识别、行为监测、周界预警等智能功能，提前识别偷盗、入侵、违规作业、聚众冲突等安全风险。
3. 统筹无人机日常安防巡检、重点区域巡查、风险点位记录，熟练操作无人机航拍取证、重点区域布防、突发情况追踪，同时管控无人机反制设备，防范非法无人机入侵矿区。
（四）三防联动与应急安全处置
1. 深度统筹技防+人防+物防融合协同，联动矿区安保队伍、中方管理人员、当地军警，建立技防预警快速响应机制，实现报警、研判、派单、处置、复盘闭环管理。
2. 牵头编制技防相关应急处置预案，组织开展安防系统故障、矿区入侵、突发冲突、极端天气等场景的专项应急演练，提升团队应急处置能力。
3. 重大节假日、当地政治敏感时期、矿区重大生产活动期间，负责技防系统专项保障、全域布防、实时值守，确保矿区零安全事故。
（五）团队管理、培训与合规管理
1. 负责技防运维小组、本地安保技术人员的日常管理、工作排班、技能培训、考核复盘，培养属地化技防运维人才。
2. 定期开展全员安防技防知识培训，普及设备报警识别、应急操作、风险规避技能，提升中方员工及本地雇员安全防范意识。
3. 对接国内集团安保部门、驻在国军警及安全管理部门，完成技防合规备案、安全检查迎审、安防报告报送，确保项目安保工作完全合规。
（六）成本管控与供应商管理
1. 负责安防专项预算管控，优化设备采购、维保、升级成本，严控项目安防费用支出，提升投入产出比。
2. 建立安防设备合格供应商库，开展供应商技术能力、服务质量、产品质量评估，统筹设备采购、维保合作，解决设备采购、售后难题。
四、任职资格要求
（一）学历与专业
本科及以上学历，安全防范工程、电子信息工程、物联网工程、公共安全管理、安全工程等相关专业优先，大专学历需具备8年以上矿山技防管理经验。
（二）工作经验
1. 8年以上大型工矿企业安防技防管理经验，5年以上矿山（非洲、东南亚优先）安保技防全盘统筹经验，熟悉露天矿、井下矿、尾矿库全场景安防体系。
2. 有完整的矿区技防体系搭建、系统建设、智能化升级全流程操盘经验，熟悉项目安防施工、运维、合规全流程。
3. 军警背景优先（连级及以上退役军官、武警、特种安保履历），有维和、安保派驻经验者优先。
（三）专业技能
1. 精通矿山全套技防系统原理、设备参数、施工标准、运维规范，熟练掌握监控、周界报警、门禁、无人机、反制设备、安防大数据平台的操作与调试。
2. 熟悉ISO18788国际安保体系、中资企业安全管理条例，了解非洲、东南亚主流矿业驻在国安保法律法规及属地管理要求。
3. 具备极强的风险研判、应急处置、统筹协调能力，可独立处理矿区复杂治安、安全突发事件。
4. 具备基础英文工作能力，可熟练完成英文报告撰写、简单对外沟通、设备英文资料解读，英语流利者优先。
（四）综合素质
1. 身体健康，可长期适应艰苦环境，接受高强度工作及应急值守。
2. 原则性强、责任心强、抗压能力突出，具备全局思维、体系化管理能力，擅长跨部门、跨中外团队协同。",方案设计 招投标 系统运维 故障排查 团队管理 培训 合规 采购,https://www.liepin.com/a/76358513.shtml
