job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
中级Java全栈工程师,固德威技术,1.3-1.6万·15薪,苏州·高新区,苏州,本科,3年及以上,2026-07-06 11:18:39,job51,"岗位职责：
- 负责公司内部微服务平台及 OA 系统（基于泛微 Ecology 平台）的二次开发、功能定制与日常运维；
- 开发对外集成接口（JSP / Service 接口/Restful接口)，完成与 CRM、 ERP、数据仓库 等系统的数据对接与同步；
- 编写前端表单脚本（JSP + jQuery / VUE），实现字段联动、校验、弹窗、明细表操作等交互逻辑。
任职要求：
- 本科及以上学历，计算机相关专业，3 年以上 Java Web 开发经验；
- 熟练掌握 Java，熟悉 Servlet、JSP、JDBC，SpringBoot、Mybatis；
- 熟悉 SQL Server，Mysql等主流关系型数据库（复杂 SQL、存储过程、性能优化），了解连接池管理；
- 熟练使用 JavaScript + jQuery ，能独立编写页面交互与 AJAX 调用；
- 熟练使用 VUE+ ElementUI ，完成独立页面的编写与后端接口的交互；
- 熟悉 HTTP/REST 接口开发与调试，掌握 JSON 数据处理（org.json 等）；
- 具备接口鉴权、SQL 注入防护、参数校验等基础安全意识；
- 熟练运用Cursor、Claude等AI辅助编程工具。
优先条件：
- 有泛微 Ecology平台二次开发经验，熟悉工作流引擎、表单引擎、WfForm 前端 API；
- 有 springboot微服务与CRM、PLM、SRM 等企业系统集成对接经验；
- 熟悉制造业 / 集团化企业业务流程（销售、采购、财务、生产、研发）；
- 熟悉 Agent 开发框架（如 LangGraph、LangChain、Spring AI 等）者优先。
软素质：
- 能独立分析业务需求并落地为技术方案，责任心强；
- 良好的沟通协作能力，能与业务部门、外部系统厂商对接；
- 代码规范意识强，能维护多版本并存的复杂代码结构。",微服务 jQuery Vue Java Spring MyBatis SQL Server MySQL SQL JavaScript Agent LangChain 采购 技术方案,https://jobs.51job.com/suzhou-gxq/172802860.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
AI全栈工程师,杭州凡略科技,1.5-2万,苏州·吴中区,苏州,本科,5年及以上,2026-07-24 10:27:47,job51,"工作职责
1.负责核心业务前/后端设计、开发、优化与运维，完成数据库建模、接口设计、SQL调优、分布式问题处理，保障系统稳定高可用。
2.熟练使用Cursor、Claude Code、Trae等工具，通过精准Prompt驱动AI完成代码开发、重构、BUG修复、测试与文档生成，甄别并优化AI代码，规避漏洞与性能问题，保证代码质量。 
3.承接前端简单功能开发与前后端联调，实现业务功能闭环落地。 
4.落地AI编程实践，沉淀Prompt模板、开发与审核规范，推动团队研发智能化升级。

任职资格
1.本科及以上，5年及以上开发经验，计算机基础扎实。 
2.熟练掌握 Java，精通MySQL数据库优化，熟悉Redis、MQ、分布式、微服务基础。 
3.深度理解 Vibe Coding 研发模式，不局限简单补码，可精准通过自然语言驱动AI完成复杂业务开发、重构与排错，具备AI代码校验、优化、重构能力。 
4.熟悉TS、Vue/React，可独立完成前后端联调，了解Docker、CI/CD基础部署流程。
5.适应AI极速迭代节奏，抗压及学习能力强，愿意拥抱新型研发范式，追求高效高质量交付。",SQL 分布式 高可用 Prompt Java MySQL Redis 微服务 Vue React Docker CI/CD,https://jobs.51job.com/suzhou-wzq/173027831.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
AI应用全栈工程师,苏州联讯仪器,1.5-2.5万·14薪,苏州·高新区,苏州,本科,3年及以上,2026-06-12 19:08:04,job51,"岗位职责：
1. 深入理解 AE、FAE、驻场工程师、售后和内部员工的真实工作流程，将需求转化为产品功能和业务流程。
2. 负责具体 Agent 产品的前端、业务后端、BFF、配置和集成开发。
3. 开发用户登录、项目管理、资料上传、任务创建、执行进度、人工审核、结果展示、导出和历史追溯等功能。
4. 调用 Agent Harness、Skill、A2A、模型网关、知识库和数据 API，完成具体业务流程配置与产品化。
5. 开发具体业务场景所需的轻量 Skill、规则、提示词、模板和业务接口。
6. 建设 Agent 使用量、任务成功率、人工修正率、节省时间和业务效果看板。
7. 负责产品服务容器化、测试环境部署、自动化测试和上线验证，与 AI 架构工程师及 IT 协作完成生产发布。
8. 参与客户内网和离线环境的应用适配，处理部署后的产品功能问题。
9. 持续收集用户反馈，快速迭代产品流程、交互和业务能力。
10. 对所负责 Agent 产品的交付周期、使用体验、质量和业务效果负责。

任职要求：
1. 计算机、软件工程或相关专业本科及以上学历，3 年以上全栈或应用研发经验。
2. 熟悉 React、Vue 等前端框架，并熟悉 Python、Java、Go、Node.js 或 C# 中至少一种后端技术栈。
3. 能够独立完成从数据模型、API、业务逻辑到前端交互的完整功能开发。
4. 有大模型应用、Agent、RAG、Function Calling 或 AI 产品开发经验。
5. 熟悉任务型产品、工作流产品或企业管理系统的交互设计与开发。
6. 熟悉 Docker、接口测试、自动化测试和基本部署流程。
7. 能够与业务人员沟通并快速理解复杂业务流程。
8. 具备较强的产品意识，关注用户是否能够完成任务，而不仅是功能是否开发完成。
优先条件
- 有企业级 AI 产品、Agent 产品、低代码工作流或复杂内部系统开发经验。
- 有工业软件、设备软件、半导体测试、研发工具或售后服务系统经验。
- 有 IDE 插件、桌面应用、本地服务或客户现场交付经验。
- 有离线部署、私有化部署或受限网络环境适配经验。",Agent 容器化 React Vue Python Java Go Node.js C# 大模型 RAG Docker 项目管理 知识库 自动化测试,https://jobs.51job.com/suzhou-gxq/172539770.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
Full Stack Engineer（全栈工程师）,恩立经济咨询（深圳）,2.5-3.5万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-04 11:52:20,job51,"任职要求：
①统招本科及以上学历，计算机科学、软件工程、电子信息等相关专业；
②3年及以上AWS/移动端/数据库全栈开发工作经验；
③熟悉TypeScript、React 框架，具备独立前端开发及可视化模块的能力；
④熟练掌握Python后端开发，精通 FastAPI/Flask 框架，具备规范的RESTful API设计开发经验；
⑤ 具备扎实的AWS云服务实操能力，熟练使用S3、DynamoDB、Lambda、IAM、CloudFormation/CDK等核心服务；
⑥拥有AWS SageMaker生产环境实操经验，熟练完成模型训练、推理部署、ML流水线搭建、模型仓库管理等全流程操作；
⑦具备AWS物联网项目实操经验，对IoT Core、Greengrass、设备管理、MQTT通信协议有一定的了解和应用，了解边缘设备云端协同逻辑。
⑧英语口语基本沟通，可熟练读写英文技术文档、参与英文工作会议，适配客户海外跨团队协作。 
⑨工作 base 地点：深圳/上海/苏州（居家+20%的出差）",AWS TypeScript React Python FastAPI Flask MQTT 技术文档,https://jobs.51job.com/suzhou-gyyq/173142819.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
全栈工程师,昆山汉唐金缘文化发展,8千-1.2万,昆山,苏州,本科,3年及以上,2026-07-07 17:09:00,job51,"岗位职责: 
1、参与公司跨境电商系统研发，包括 自建商城、ERP系统、广告系统及数据看板等业务系统开发；
2、负责电商平台核心模块开发，包括商品、订单、库存、营销、用户等业务功能；
3、参与 Shopify系统对接及数据同步开发，包括订单、商品、库存等接口集成；
4、参与公司 Shopify 一自建站系统架构设计与开发；
5、负责 广告投放系统、素材管理系统及BI数据看板等内部系统开发；
6、参与系统性能优化、高并发处理及系统稳定性建设；
7、与产品、运营团队协作，持续优化电商系统功能和用户体验；

任职要求: 
1、统招本科及以上学历
2、3年以上开发经验，计算机相关专业优先
3、熟练掌握 Node.js / JavaScript / TypeScript
4、熟练使用 React/ Vue 等前端框架
5、熟悉 RESTful API设计与开发
6、熟悉 MySQL/ PostgreSQL 等数据库设计与优化
7、熟悉 Redis缓存、消息队列等后端常见技术
8、熟悉 Linux、Docker、Git 等开发及部署环境

【工作时间】
1.工作时间，周一至周五：8:30-17:30，周末双休
2.法定节假日正常休息
【薪资福利】
1.完善的薪资体系；
2.五险一金，带薪年休假，节日福利，员工旅游；
3.公司提供宿舍。",高并发 Node.js JavaScript TypeScript React Vue MySQL PostgreSQL Redis Linux Docker Git,https://jobs.51job.com/kunshan/171957196.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
全栈开发工程师,江苏亨通数字智能科技,1.3-1.9万,苏州·吴江区,苏州,本科,4年及以上,2026-07-28 10:32:43,job51,"一、岗位职责
1、负责AI视觉安全、网络安全、通用平台等系统功能详细设计工作。
2、负责产品架构设计、前后端软件开发及迭代完善。
3、负责产品运维，参与系统实施。
二、任职要求
1、4年以上互联网或企业应用软件设计、开发经验，计算机相关专业统招本科或以上学历；
2、具备一定的架构能力，有良好的代码习惯和文档编写习惯；
3、前端技术：熟练掌握Vue2/Vue3框架，能够独立完成前端页面开发、组件封装与交互优化；熟练Ant Design、elementUI等主流UI库；
4、后端技术：熟悉SpringBoot、SpringCloud微服务架构，能够进行后端接口开发、业务逻辑实现与数据库设计；精通其SQL语法，熟悉MySQL数据库，Kafka/RocketMQ消息队列、多线程编程、Redis缓存原理、微服务，了解MQTT协议；；
5、全栈能力：具备前后端全栈开发能力，可根据个人实际有所侧重，能够独立完成小型项目的从0到1开发与部署；
6、乐于接受挑战，能承受工作压力。
7、可以接受出差;
8、团队协作、沟通能力强，服从领导管理；
9、做过设备管理系统的优先，有高并发、海量数据、分布式系统开发经验，有性能调优经验者优先；
10、对AI大模型应用有浓厚兴趣，有相关学习计划或落地实践经验者优先，能够探索AI技术在设备管理场景的创新应用。
11、了解设备管理业务流程（如设备点检、维护、异常处理等）者优先；
12、具备良好的文档编写能力，能够编写技术设计文档、用户操作手册等；",Vue Spring 微服务 SQL MySQL Kafka RocketMQ Redis MQTT 高并发 分布式 大模型 文档编写,https://jobs.51job.com/suzhou-wjq/173062283.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
高级全栈开发工程师,江苏硕晟软件科技,1.2-2万,苏州·吴中区,苏州,本科,8年及以上,2026-07-25 15:56:23,job51,"岗位职责:
1、负责项目前后端全栈研发，涵盖用户、商户、订单、支付、会员营销等核心业务模块。
2、负责APP、H5、小程序、运营后台、商家后台开发，接口设计、业务逻辑开发、数据库设计及性能优化。
3、对接微信/支付宝支付、地图定位、短信推送、OSS存储等第三方服务，保障系统高并发、高可用、数据稳定。
4、参与技术方案评审、问题排查、版本迭代与线上维护，持续优化产品体验与系统性能。

任职要求:
1、本科及以上学历，8年以上全栈开发经验，有本地生活/同城服务/外卖APP/出行app/旅游app/商旅/家政/招聘等项目经验优先。
2、前端熟练掌握
语言:JavaScript, Dart, Swift, Kotlin
框架：uni-app / React Native / Vue, Flutter, iOS
原生，Android原生。
3、后端精通
开发语言:Java/PHP
Java 框架:Spring/Spring Boot，具备SpringCloud微服务架构或经典分层架构
PHP框架:ThinkPHP/Laravel主流框架
4、熟悉SpringCloud, MyBatis-Plus, Node.js/Nest5、熟练使用MySQL、Redis，懂索引优化、事务、分布式缓存、高并发处理。
6、熟悉Linux、Git，了解Docker部署，有支付对接、地图集成、订单系统开发经验优先。
7、逻辑思维强，能独立攻坚业务模块，沟通协作好，抗压能力强，具备良好代码规范和自驱力。",高并发 高可用 JavaScript Swift Kotlin React Native Vue Flutter Java PHP Spring Spring Boot 微服务 MyBatis-Plus Node.js MySQL Redis 分布式 Linux Git Docker 技术方案,https://jobs.51job.com/suzhou-wzq/172673826.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
前后端开发工程师（全栈方向）,腾创益昂资讯科技（太仓）,1-1.5万·13薪,太仓,苏州,本科,3年及以上,2026-07-06 18:00:54,job51,"一、岗位职责：
 全栈开发：负责公司产品/Web应用的前后端代码编写、功能开发与迭代维护，技术栈涵盖 Vue/React 前端框架及 Java 后端服务；
 模块独立交付：能够独立承担完整业务模块的设计、开发、联调与上线，从前端交互到后端接口形成端到端闭环；
 项目维护：胜任单个项目的独立维护与持续优化，包括缺陷修复、性能调优、技术债务治理；
 AI 赋能研发：将 AI 编程工具（如 Agent 编辑器、Vibe Coding 工作流）深度融入日常开发，提升交付效率与代码质量；
 技术探索：关注并研究当前 AI 技术发展现状，探索 AI 能力在业务场景中的落地应用，推动技术方案创新。
二、任职要求：
1. 技术能力
前端方向：
 熟练掌握 Vue.js（Vue2/Vue3）或 React 框架，理解其核心原理（响应式、虚拟 DOM、组件生命周期等）；
熟悉 HTML5、CSS3、JavaScript（ES6+）/ TypeScript；
熟悉常见前端工程化工具（Webpack/Vite、npm/yarn/pnpm）、状态管理（Vuex/Pinia/Redux）；
了解前端性能优化、跨端适配、浏览器兼容性处理。
后端方向：
熟练掌握 Java 语言，熟悉 Spring Boot / Spring Cloud 等主流框架；
熟悉关系型数据库（MySQL/PostgreSQL）及常见 NoSQL（Redis 等），具备 SQL 调优能力；
了解 RESTful API 设计规范，熟悉微服务架构、消息队列等中间件；
 熟悉 Linux 常用命令、Docker 容器化部署、CI/CD 流程。
2. 项目经验
 有过同时承担前后端职责的实际项目经历，能清晰描述在项目中独立负责的模块及技术方案；
 具备从需求分析、技术选型、编码实现到测试上线的全流程实践经验；
 有 GitHub/Gitee 开源项目或技术博客者优先。
 3. AI 编程能力
 熟悉 Vibe Coding 工作模式，熟练使用主流 AI Agent 编辑工具（如 Cursor、Windsurf、Qoder、Copilot 等）完成日常编码、重构、调试、文档生成等任务；
 能够利用 AI 工具进行代码审查、单元测试生成、技术方案探索，显著提升开发效率；
 理解 AI 辅助编程的优势与边界，能在效率与质量之间取得平衡。",Vue React Java Agent HTML5 CSS3 JavaScript TypeScript Webpack Vite YARN Spring Boot Spring Cloud MySQL PostgreSQL SQL Redis 微服务 Linux Docker 容器化 CI/CD Git AI Agent 技术方案 需求分析,https://jobs.51job.com/taicang/172812370.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
全栈开发工程师(J10023),苏州真懿医疗,1-2万·14薪,苏州,苏州,本科,3年及以上,2026-07-16 15:58:29,job51,"工作职责:
1、软件开发与功能实现
 对接业务及项目需求，独立完成系统功能、页面、报表开发，以及业务流程配置、插件定制等工作。主要负责MES、E-DHR、ERP对接模块、OA流程及各类配套工具的开发与迭代。按照业务规范完成字段定义、逻辑校验、权限配置、状态流转及数据展示等开发工作；排查修复系统问题，优化系统性能，持续提升系统稳定性与用户体验。
2、系统集成与接口开发
 负责各业务系统、自动化设备之间的接口开发、联调对接与异常排查，实现ERP、OA、MES、E-DHR的数据互通。打通工单、批次、报工、物料消耗、生产参数、质量记录、入库数据等核心业务链路。配合设备团队及第三方供应商完成设备联网、数据采集、接口适配与场景接入，监控核心数据交互过程，闭环各类问题，确保生产数据准确、及时、可追溯。
3、需求理解与技术转化
 参与需求评审、澄清及方案研讨，精准理解业务目标与应用场景。负责将业务需求转化为技术方案，拆解开发任务，制定字段、接口、测试及上线规范。识别开发过程中的技术风险、数据依赖及潜在问题并及时反馈。针对模糊、冲突的业务规则，输出结构化梳理建议，协助业务敲定方案，保障需求高效落地。
4、测试验证与上线运维
 负责开发功能的单元、联调及全场景测试，完成上线前验证。配合业务部门开展用户验收测试，及时整改各类问题，完成上线确认。遵守软件变更与合规管理要求，配合完成权限管控、审计追踪等验证及受控发布。上线后持续跟踪系统运行状态，快速处理功能缺陷、数据异常及用户问题，保障系统稳定运行。
5、文档编写与技术沉淀
 规范编写并维护开发、接口、部署、测试及版本变更等技术文档，确保资料完整可追溯。协助梳理系统使用说明及常见问题文档，提炼通用组件、复用逻辑及问题解决方案，沉淀团队标准化技术资产，提升整体开发效率。
任职资格:
1、本科及以上学历，3年以上工作经验。php的laravel开发框架+mysql开发的系统；用uniapp开发微信小程序和app。
2、熟悉 Web 应用开发、数据库设计、接口开发、数据处理等基本技术能力。能够独立完成需求转技术实现、开发、测试和上线支持。
3、能理解生产、质量、工艺、设备、仓储等基础业务场景，能够与业务部门进行有效沟通，但岗位重点仍以开发实现能力为主。
4、具备一定的问题分析与排查能力，能够定位系统缺陷、接口异常和数据问题，并推动闭环解决。
5、具备良好的文档编写习惯，能够输出开发说明、接口文档、测试记录和版本变更记录。
6、有软件验证、权限控制、日志追踪、电子记录、追溯系统相关经验者优先。
7、有医疗器械、精密制造、自动化设备联网或工厂数字化项目经验者优先。
8、责任心强，沟通顺畅，能够在多部门协同环境下持续跟进任务落地。",PHP MySQL UniApp 数据采集 技术方案 合规 审计 文档编写 技术文档,https://jobs.51job.com/suzhou/172938053.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
全栈开发工程师（AI Agent ）,立讯电子科技（昆山）,1-1.8万,昆山,苏州,本科,3年及以上,2026-07-08 14:17:17,job51,"岗位职责
AI Agent 智能体开发：
负责AI Agent智能体产品的架构设计、核心功能开发与迭代优化
基于大语言模型（LLM）构建对话系统、RAG知识检索、工具调用链路等模块
设计Agent编排流程，实现多智能体协作、记忆管理与自主决策能力
进行Prompt Engineering与评测调优，提升智能体的准确性与稳定性

Web 前后端开发：
5. 负责Web产品前后端架构设计与核心功能开发，独立完成从接口到页面的全流程
6. 前端基于React/Vue构建高性能交互界面，后端基于Python/Go/Java提供稳定API服务
7. 开发RESTful API/GraphQL接口，实现前后端联调与第三方系统对接
数据库与服务器运维：
8. 负责数据库选型、表结构设计、性能调优与日常运维（MySQL/PostgreSQL/Redis等）
9. 负责服务器部署与管理，搭建CI/CD流水线，保障系统高可用与安全稳定运行
10. 构建监控告警体系，快速定位并处理线上问题
基本要求：
计算机相关专业本科及以上学历，3年以上开发经验
扎实的编程基础，精通Python，熟悉JavaScript/TypeScript
具备全栈开发能力，能独立完成前后端开发与部署上线",AI Agent LLM RAG Agent Prompt Gin React Vue Python Go Java MySQL PostgreSQL Redis CI/CD 高可用 JavaScript TypeScript 监控告警 部署上线,https://jobs.51job.com/kunshan/172838500.html?s=sou_sou_soulb&t=0_0&req=2e5971ee3b88dc58165c0aa395566244
