job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
Golang和AI开发工程师,生物技术C轮500-999人,10-15k,深圳-南山区,深圳,本科,应届,90天前更新,liepin,"经验要求：优秀应届生
标签：Python、Golang、大模型应用开发

岗位职责：
1.  参与公司核心业务系统的后端开发与维护，保证系统稳定、高效运行。
2.  负责基于Python及相关框架（Flask、Django、FastAPI）进行功能开发，有Golang（Gin框架）经验者优先考虑。
3.  配合团队开展AI大模型应用项目的规划和开发工作，推动新技术在实际业务中的落地。
4.  积极学习和掌握团队所需的新技术、新工具，持续提升个人技术能力及项目交付质量。
5.  积极主动，具备良好的责任心和团队合作精神，确保项目高效推进。

任职要求：
1.  精通Python开发，熟悉至少一种主流Python后端框架（Flask、Django、FastAPI）。
2.  熟悉Golang及Gin框架者优先，有相关项目实践经验尤佳。
3.  有较丰富的实际项目经验；应届毕业生需提供由项目经理认可的实习或课程项目经历。
4.  对AI大模型及agent应用具有浓厚兴趣者优先考虑，具备相关开发经验更佳。
5.  工作态度认真严谨，具备较强的自主学习能力和责任感，能够积极面对挑战并持续成长。
6.  理解岗位定位为程序员角色，鼓励在既定职责范围内不断拓展技能边界。
7. 须本科学历，硕士及以上学历优先。

我们提供：
1.  技术氛围浓厚、充满活力的团队环境。
2.  持续学习与成长的机会。
3.  有竞争力的薪酬福利。
4.  参与前沿AI大模型项目的实践机会。

如果你热爱编程，乐于接受新技术挑战，愿意在高质量项目中实现自我价值，欢迎加入我们的团队！

截止日期：2026年09月12日
招聘人数：2人",Python Golang 大模型 Flask Django FastAPI Gin,https://www.liepin.com/lptjob/77181525
服务端开发实习生-Golang,360,150-300元/天,北京-朝阳区,北京,本科,,90天前更新,liepin,"
   岗位描述：

    1、负责集团各业务中模块化服务设计、开发，为平台提供高性能、高可用的服务支撑；

    2、负责基础组件，中间件服务的设计、开发；

    3、深入发掘和分析业务需求，撰写技术方案和系统设计；

    4、从编码到部署，全方位提升运维效率，完善持续集成和部署流程。

    任职要求：

    1、计算机相关专业，本科及以上学历；

    2、熟悉 Golang 基础知识，能够使用 Golang 实现功能模块发开；了解 HTTP、TCP/IP 等网络通信基础知识；

    3、扎实的编程能力，熟悉常用算法和数据结构，掌握常用的设计模式；

    4、了解常见的分布式存储计算框架；

    5、有强烈的上进心和自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越；

    6、有Docker、k8s容器技术使用经验者优先。


招聘人数：1人",高可用 Golang TCP/IP 分布式 Docker K8s 技术方案,https://www.liepin.com/lptjob/48905771
golang研发工程师,贝联珠贯科技(浙江)有限公司,11-18k,杭州-余杭区,杭州,本科,应届,90天前更新,liepin,"职责描述：
1、资源调度和集群管理系统中golang模块研发；
2、调度算法优化；
3、测试和语法环境简单运维；

任职要求：
1、有良好的学习能力和自驱力。对互联网相关技术有浓厚兴趣，喜欢钻研技术问题；
2、使用 Golang、Java、C++、Python、JavaScript、bash 等其中一种编程语言，编写调试过代码；
3、对计算机体系结构，数据结构与算法，计算机网络等基础知识有一定了解，并愿意深入学习；
4、用过 docker ，kubernetes，YARN，或者把玩过 Hadoop、Spark、Flink 等的同学优先考虑；
5、喜欢折腾，动手能力强，有自己编程作品者更佳。

招聘人数：5人",Golang Java C++ Python JavaScript Docker Kubernetes YARN Hadoop Spark Flink,https://www.liepin.com/lptjob/44839493
Golang后端开发工程师,抖音视界有限公司,30-50k,北京-海淀区,北京,本科,应届,90天前更新,liepin,"团队介绍：

依托抖音集团的科技能力和产品，我们为抖音电商、生活服务、直播等场景提供金融服务，为抖音用户提供更好的支付、消费金融、保险等金融服务。科技创新，普惠大众。

1、参与公司的后台研发工作；
2、参与在线大流量高并发系统设计；
3、持续优化系统，支撑业务快速发展；
4、沉淀技术能力和行业经验，与平台一起成长和发展。

岗位要求：
1、2026届获得本科及以上学历，计算机、软件工程等相关专业优先；
2、有扎实的数据结构和算法功底；
3、熟悉C/C++/Java/Python/Golang中的至少一门语言；
4、了解数据库相关知识和基础操作，至少熟练使用MySQL。

截止日期：2026年08月27日
招聘人数：1人",高并发 C++ Java Python Golang MySQL,https://www.liepin.com/lptjob/76800767
Golang,医智影科技,150-200元/天,北京-海淀区,北京,本科,,今日更新,liepin,"岗位职责：
1、负责公司AI产品后端的设计落地及开发。
2、与前端工程师协作，确保前后端数据交互的顺畅。
3、保障线上服务，提升服务性能和稳定性。

任职要求：
1、计算机相关专业本科(或以上学历);具有钻研精神，积极乐观，责任心强，有良好的团队沟通和协作精神。
2、熟悉 RESTFUL API开发，有相关项目经验。
3、熟练掌握 Golang 编程语言;熟悉常用的 Golang 开发框架和工具，如 Gin、Gorm 等。
4、熟练掌握 MSQL等数据库的设计和优化，具备良好的 SQL 编程能力。
5、熟练掌握 Redis 缓存数据库的使用和优化，了解其常用数据结构和应用场景。



截止日期：2027年07月14日
招聘人数：1人",Golang Gin Go SQL Redis RESTFUL Gorm,https://www.liepin.com/lptjob/64715393
Golang开发实习生,入微智能,200-300元/天,上海-普陀区,上海,本科,,90天前更新,liepin,"岗位职责：
1、参与公司相关产品、组件和工具的设计、开发和维护；
2、与团队成员合作，编写高质量、简洁、可维护的代码，构建可重复使用的代码和公共库，协助解决代码中的问题和错误。

任职要求：
1、计算机相关专业， 24届或25届本科或硕士毕业生；
2、熟悉Golang语言，有良好的数据结构与算法功底，有强烈的代码质量意识；
3、熟悉常用数据库，如MySQL、Redis等；
4、了解基本的 Linux 操作；
5、具有良好的沟通能力和团队合作精神、优秀的学习能力和解决问题能力；
6、每周工作日至少可实习3天，优秀者提供毕业后转正机会。

招聘人数：1人",Golang MySQL Redis Linux,https://www.liepin.com/lptjob/61915735
Golang,深圳市引浪科技有限公司,300-400元/天,深圳-南山区,深圳,本科,,90天前更新,liepin,"职责：

设计、开发和维护高性能、可扩展的后端应用程序和系统
与前端和其他团队成员合作，确保系统的一致性和良好的用户体验
研究和实现新技术和工具，以提高应用程序和系统的质量和效率
管理和优化数据库和服务器性能
编写高质量的代码，并遵循代码审查和测试流程

基本要求：

扎实的计算机基础，操作系统、数据库、编译原理、数据结构、算法等
具备良好的分析问题和解决问题的能力，对技术充满热情
熟练使用Golang
熟悉至少一种编程语言，充分的代码动手实践，如acm比赛、工程项目
出色的学习能力

加分项：

除golang外，熟悉至少一种主流后端语言和框架，如PHP等
熟悉SQL和NoSQL数据库，如MySQL、MongoDB等
熟悉kafka、redis等组件
熟悉RESTful API的设计和实现
具有良好的沟通和团队合作能力
熟悉Linux操作系统和基本的网络知识
具有高质量的代码编写能力，了解测试和代码审查流程
有云计算经验者优先考虑，如AWS、Azure、Google Cloud等

招聘人数：1人",Golang PHP SQL MySQL MongoDB Kafka Redis Linux AWS Azure Go,https://www.liepin.com/lptjob/60788569
服务端开发实习生-Golang,360,150-300元/天,沈阳-沈河区,沈阳,本科,,90天前更新,liepin,"岗位描述：
1、参与工业主机服务端软件/工业安全运营平台研发的需求分析；
2、进行工业主机服务端软件/工业安全运营平台的设计与编码实现；
3、进行软件调试、bug修改。

任职要求：
1、熟悉golang开发语言；
2、熟悉常用的数据库一种及以上(如：postgresql、mysql、redis、elasticsearch等)；
3、熟悉基本的网络知识；
4、了解软件开发流程。


招聘人数：1人",Golang PostgreSQL MySQL Redis Elasticsearch 需求分析,https://www.liepin.com/lptjob/48905661
Golang开发工程师（27届提前批）,拼多多集团-PDD,25-40k·16薪,上海-长宁区,上海,本科,应届,7月26日更新,liepin," 27届研发提前批招聘中！不影响秋招正式批投递（7.6-8.23）

互联网大厂，具有竞争力的起薪，HC多，项目实践机会多，流程推进速度快！

岗位职责
1、负责业务和平台的架构设计和研发工作，解决各类有挑战的技术问题，为产品和业务的发展提供强有力的支撑；
2、依照软件开发流程，根据产品和项目计划，完成所负责模块的架构设计、编码、测试和文档编写的全流程工作；
3、持续优化系统架构，提高系统在高并发、高流量和分布式环境下的性能和稳定性，保持系统的高可用性、高可靠性和高扩展性；
4、承担新技术预研和方案选型，参与关键技术点的攻坚工作，并进行技术推广，取得更大的业务收益。
任职要求
1、2027届毕业生，本科及以上学历，对计算机以及互联网技术有兴趣；
2、扎实的数据结构和算法能力，熟悉常用的存储系统和中间件；
3、精通至少一种开发语言，并能熟练应用解决具体问题；
4、有较强的学习能力，有强烈的责任心和自我驱动力；
5、及时关注并学习业界最新技术，具备良好的沟通能力和团队合作精神。

截止日期：2027年07月07日
招聘人数：100人",高并发 分布式 高可用 文档编写,https://www.liepin.com/lptjob/83964295
系统开发工程师 (Golang)【济南】【实习岗】,简和网络科技(南京)有限公司,100-200元/天,济南-历下区,济南,本科,,90天前更新,liepin,"【岗位职责】
1. 承担网络软件功能的设计开发和测试，包括软件交换机，路由器，防火墙，LB，NAT、防火墙，DDoS等功能；
2. 参与实现集群系统的网络能力搭建，配置，测试，性能分析和调优；
3. 参与设计和实现云，IoT，Edge等系统的网络方案。
【任职要求】
1.计算机、网络、软件、通信等相关专业本科及以上学历；如果有高度相关项目经验则可不限专业；
2.热爱编程，基础扎实，熟悉掌握GO编程语言，熟悉脚本语言，有良好的编程习惯， 对数据结构、算法有深入了解；
3.具备扎实全面的计算机、网络（TCP/IP）等方面的基础知识，熟悉网络安全、信息安全等相关领域技术；熟悉linux开发环境；
4.具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；
5.具备网络安全技术和产品研发相关经验优先。

招聘人数：3人",防火墙 Go TCP/IP Linux LB NAT IoT TCP,https://www.liepin.com/lptjob/78670271
Golang开发实习生,杭州联每户网络科技有限公司,150元/天,杭州-余杭区,杭州,杭州联每户网络科技有限公司,,90天前更新,liepin,"职责描述：

1.熟悉公司业务，开发维护公司的后端产品。
2.包括但不限于api server， bi看板和其他内部工具。


任职要求：

1.熟悉任何一门后端常用编程语言（包括但不限于JAVA，NodeJS，Python，Go）。
2.熟悉mysql。
3.有实际参与过至少一个相关项目研发。
4.了解计算机原理和数据结构算法。
5.业务上积极主动，技术上能持续要求自己。

招聘人数：1人",Java Python Go MySQL NodeJS,https://www.liepin.com/lptjob/43049313
c+/pyhton/golang运维实习生(可转正),陕西萤火数智科技有限公司,6-11k,西安-高新区,西安,大专,应届,7月27日更新,liepin,"岗位职责:
1.在领导的带领下可以完成简单的模块开发
2.在领导的带领下可以完成简单的技术文档编写
任职要求:
1.2027应届毕业生;
2.热爱学习，关心新技术，具有深入研究的兴趣和能力
3.优秀的逻辑分析能力和总结归纳能力
4.富有责任感和沟通能力，具有良好的团队合作精神

截止日期：2027年07月11日
招聘人数：1人",技术文档,https://www.liepin.com/lptjob/84066589
Golang,上海御珂网络科技有限公司,150-300元/天,深圳-南山区,深圳,本科,,90天前更新,liepin,"职责：负责基于Go语言Gin框架的服务端功能开发、维护与优化；运用Docker进行容器化部署，保障系统的稳定运行与高效交付；协同前端团队，使用Vue技能开发管理后台端页面，实现良好的用户交互体验；参与系统架构设计、技术方案制定与技术难题攻克。

◦ 要求：熟练掌握Go语言，熟悉Gin框架原理与常用组件；有丰富的Docker使用经验，熟悉镜像构建、容器编排与部署；熟悉Vue.js框架，掌握Vue组件化开发、数据绑定、路由等核心技术；有数据库（如MySQL、PostgreSQL ）操作经验，熟悉SQL语句；具备良好的代码规范和问题排查能力；有相关项目经验优先。

招聘人数：2人",Go Gin Docker 容器化 Vue MySQL PostgreSQL SQL 技术方案,https://www.liepin.com/lptjob/74236135
后台开发工程师,华信傲天,100-200元/天,成都,成都,本科,,6月26日更新,liepin,"岗位职责：
1.协助团队进行 Golang/Java 后端服务的开发、调试与单元测试，保障代码质量。
2.协助处理项目中的基础开发任务，如接口适配、数据处理、文档编写等。
3.学习并应用微服务、容器化（Docker/K8s）、中间件（Redis/MongoDB/Kafka）等主流技术。
4.配合团队完成代码评审、问题排查

任职要求“”
1.计算机相关专业（计算机科学、软件工程、电子信息等）在校本科生或研究生，能保证 3 个月及以上全职实习（每周≥4 天）。
2.掌握 Golang 或 Java 基础语法，理解面向对象编程思想，熟悉常用数据结构与算法。
3.了解 HTTP 协议、RESTful API 设计规范，具备基本的后端开发思维。
4.熟悉至少一种数据库（MySQL/PostgreSQL 等），掌握基础的 SQL 操作。
5.具备良好的学习能力、沟通能力和团队协作意识，遇到问题能主动思考解决方案。
6.加分项：有 Golang 微服务开发、Java Spring Boot 框架使用经验；熟悉 Docker、K8s 或中间件（Redis/Kafka）；有个人开源项目或技术博客。

截止日期：2027年05月06日
招聘人数：2人",Golang Java 微服务 容器化 Docker K8s Redis MongoDB Kafka MySQL PostgreSQL SQL,https://www.liepin.com/lptjob/82279953
后端开发工程师,贝联珠贯科技(浙江)有限公司,11-18k·16薪,杭州,杭州,本科,应届,90天前更新,liepin,"岗位描述
1. 资源调度和集群管理系统中的golang模块研发
2. 调度算法优化
3. 测试和预发环境简单运维

职位要求
1. 有良好的学习能力和自驱力。对互联网相关技术有浓厚兴趣，喜欢钻研技术问题；
2. 使用 Golang、Java、C++、Python、JavaScript、bash 等其中一种编程语言，编写调试过代码；
3. 对计算机体系结构，数据结构与算法，计算机网络等基础知识有一定了解，并愿意深入学习；
4. 喜欢折腾，动手能力强，有自己编程作品者更佳。

招聘人数：1人",Golang Java C++ Python JavaScript,https://www.liepin.com/lptjob/45073757
云原生研发工程师 （实习）(A228861),智元机器人,200-400元/天,上海-浦东新区,上海,大专,,5月26日更新,liepin,"职位描述：
【岗位职责】
作为云原生研发实习生，你将直接参与云原生 Genie Studio 平台产品的核心组件设计、开发及维护，有机会熟悉算法、大模型、基础设施到机器人本体全链路知识，参与前沿技术从理论到落地应用的全过程。
1. 参与混合云场景下基于 Kubernetes 的 Genie Studio 平台核心系统的设计、开发和维护，包括多云管理、边缘集群管理、私有化部署、资源管理、GPU 设备管理及优化、容器编排调度、运行时优化等方向中的一项或多项。
2. 协助混合云场景下基于 Kubernetes 的 Genie Studio 平台基础服务的搭建、开发和维护，如：
  1. 网络：容器网络、RDMA、DNS、负载均衡、NAT 等
  2. 存储：文件存储、对象存储等
  3. 边缘节点：节点管理、网络通信优化等
  4. 可观测性：日志、监控、告警、链路追踪
3. 与实施交付的 SRE 沟通协调，参与系统优化及问题定位，保证项目顺利部署实施。
4. 跟踪云原生生态发展趋势，探索云原生 AI 、边缘计算相关新技术。
5. 跟踪 Infrastructure as Code 领域的发展，探索提升平台私有云部署能力的新技术。

职位要求：
【岗位要求】
1. 计算机相关专业本科及以上学历，具备扎实的计算机基础。
2. 具备良好的 Golang 编程基础。
3. 具备扎实的数据结构和计算系统基础知识。
4. 善于主动思考和行动，具备较好的动手能力和技术热情，乐于解决具有挑战性的问题，对云原生、AI Infra 感兴趣者优先。
5. 具备以下经验中的一项或多项者优先：
  1. 具有 Docker、Kubernetes 等使用或二次开发经验
  2. 了解云原生开源项目（如 OpenYurt、KubeEdge、Volcano、Koordinator）。

截止日期：2027年05月26日
招聘人数：1人",云原生 大模型 Kubernetes Golang Docker CAN,https://www.liepin.com/lptjob/82887595
