job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
卫星通信研发工程师,交通运输通信信息集团有限公司,1.8-3.5万,北京·朝阳,北京,硕士,3-5年,7月26日,zhilian_direct,职位描述 卫星通信 VDES 海事卫星 岗位概述 我们正在寻找一位聚焦甚高频数据交换系统（VDES）与卫星通信融合技术领域的研发工程师，加入核心技术团队。你将重点负责VDES卫星通信系统的协议栈开发、核心算法实现与性能优化，参与面向海事、内河航运、应急通信等场景的星地融合VDES通信方案设计，推动VDES卫星通信技术的产品化与商业化落地。 核心职责 VDES卫星通信协议栈开发：主导星载VDES系统与地面终端的协议栈设计与开发工作，实现AIS（自动识别系统）、ASM（应用特定消息）、VDE（甚高频数据交换）三个子系统的核心功能，确保协议栈完全符合ITU-R M.2092、IEC 61993、IEC 62873等国际标准规范，支持星地链路、星间链路的兼容交互。 核心算法设计与实现：负责VDES卫星通信场景下的核心算法研发，包括高动态多普勒频偏估计与补偿算法、多径衰落信道下的OFDM同步算法、LDPC/卷积Turbo码等高性能信道编解码算法、抗邻道干扰与抗脉冲干扰算法、低信噪比下的信号检测算法等，提升复杂海事环境与高动态卫星链路下的通信可靠性。 VDES星地融合系统优化：针对卫星VDES通信的长时延、大覆盖、多用户接入特性，优化随机接入机制、时隙调度算法与动态资源分配策略，解决多波束覆盖下的用户冲突问题，提升系统频谱利用率与单波束用户接入容量，满足内河、远洋等不同场景下的通信时延与吞吐量要求。 仿真验证与测试评估：搭建VDES卫星通信链路级与系统级仿真平台，完成不同轨道卫星（LEO/MEO）、不同海洋环境下的链路预算与性能仿真，开展实验室原型测试与外场试验验证，输出算法性能报告、系统测试报告与优化方案，确保VDES终端与星载载荷的互联互通与性能达标。 技术预研与标准化参与：跟踪VDES R2、星载VDES增强技术等前沿方向，开展下一代VDES与5G NTN融合技术的预研工作，参与ITU、IMO等国际标准化组织的相关标准制定与技术验证，积累核心技术专利，形成技术壁垒。 项目落地与技术支持：配合硬件团队完成VDES基带芯片、射频模块的选型与测试，支撑产品团队完成海事、应急等行业客户的需求对接与方案定制，输出技术白皮书、应用指南等支撑材料，保障VDES卫星通信产品从原型到量产的顺利落地。 任职要求基础资质 通信工程、电子信息、无线电物理等相关专业硕士及以上学历，2年以上VDES、海事通信或卫星通信领域研发经验，有星载VDES、海事卫星终端项目开发经验者优先。 熟悉甚高频（VHF）频段通信特性，了解海事通信行业应用场景与监管要求者优先。 技术能力 熟练掌握C/C++/Python等编程语言，有Matlab、Simulink等算法仿真工具使用经验，能够独立完成通信算法的设计、仿真与验证。 精通VDES协议体系，深入理解ITU-R M.2092系列标准中AIS、ASM、VDE子系统的技术规范，有VDES协议栈开发或测试经验者优先。 掌握卫星通信基础理论，包括链路预算、多普勒效应、高动态信道建模等，有LEO卫星通信系统或地面移动终端开发经验者优先。 具备扎实的数字信号处理基础，熟练掌握OFDM调制解调、同步技术、信道估计、信道编解码等核心算法，有FPGA/MCU基带算法实现经验者优先。 了解常用通信测试仪器的使用，包括信号发生器、频谱分析仪、矢量网络分析仪等，有外场通信测试经验者优先。 综合素质 具备良好的英文读写能力，能够熟练阅读国际标准文档与行业技术资料，有国际标准化会议参与经验者优先。 具备较强的问题分析与解决能力，能够独立承担算法攻关任务，有良好的团队协作意识与跨部门沟通能力。 对海事通信与卫星通信技术前沿有浓厚兴趣，具备较强的学习能力与创新意识，能够快速掌握新领域技术并应用到实际项目中。 工作地点 北京朝阳区冠城大厦1808 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"卫星通信,VDES,海事卫星",http://www.zhaopin.com/jobdetail/CC121031870J40835643407.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
通信电源研发工程师，北欧外企不加班/15天年假,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,1.8-2万,成都·武侯·桂溪,成都,本科,1-3年,7月26日,zhilian_direct,职位描述 研发 电源设计 电源 基站电源 DCDC 工作职责与任务： • 专用硬件单元的独立电源设计，例如无线电单元 • 高品质产品的开发和验证 • 在更高级别的系统集成期间执行故障排除 任职要求 • 技术学科的最低本科学历或具有 2 年及以上经验的同等知识水平 •英语读写能力熟练 • 具备良好的沟通能力 • 有责任心和专业的团队合作精神 • 对电信行业有很好的理解 • 电子设备电源设计经验 • 具备 DC/DC 转换器设计方面的成熟经验优先 • 熟练使用 Cadence 进行原理图和布局 首选资格和经验要求 • 有批量生产产品经验者优先 • 有电信无线电单元硬件设计经验者优先 • 有EMC相关设计经验者优先 工作地点 成都市-武侯区-高新区天府四街199号长虹科技大厦B座1206 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"研发,电源设计,电源,基站电源,DCDC",http://www.zhaopin.com/jobdetail/CC134310320J40729273106.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
通信研发工程师,江苏未来网络集团有限公司,1-2万,南京·江宁·秣陵,南京,本科,3-5年,7月26日,zhilian_direct,岗位职责: 1.负责SONIC算力网关的系统软件的设计、开发和维护工作，保障软件系统的稳定、高效运行； 2.负责探索网络新技术新特性，服务于数据中心基础网络，将新技术应用于网络架构优化与升级，提升数据中心网络的性能与可靠性； 3.领导交代的其他工作。 任职要求： 1.本科及以上学历、计算机、通信、电子及相关专业；3年及以上工作经验； 2.熟悉SONIC基础架构和业务架构，掌握IGP/BGP/EVPN SRV6基础原理，有SAI/P4/NPC开发经验的优先； 2.熟悉和掌握C/C++语言编程，熟悉软件开发流程，有较强的问题分析和定位能力着优先； 4. 具有良好的团队合作精神，独立工作能力，对工作认真负责，有良好的学习、沟通能力。 工作地点 南京江宁区江苏未来网络集团有限公司16楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,SONIC,SRV6,网络协议,网络通信,算力网关",http://www.zhaopin.com/jobdetail/CC656814620J40834709414.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
通信研发工程师,昭星实业(深圳)有限公司,1.5-2万,深圳·光明·玉塘,深圳,本科,经验不限,7月26日,zhilian_direct,职位描述 移动通信 无线通信 传输线路设计 C++ C语言 【工作内容】 1、主导星闪+Wi-Fi6双链路融合投屏协议栈研发与优化，研发低时延高可靠无线传输方案，实现无线投屏替代传统HDMI有线传输。 2、优化4K/8K超高清视频实时传输能力，针对性优化无线信道传输缺陷，实现投屏端到端时延＜50ms，达到HDMI级传输画质与稳定性。 3、负责鸿蒙多设备协同技术研发，落地手机、智慧屏、显示器跨终端高清投屏、多屏协同、华为分享等核心功能。 4、联动鸿蒙HDM设备管理框架与投屏引擎，优化设备认证、链路调度、会话管理能力，搭建安全高效的跨设备无线投屏体系。 5、优化星闪SLE/SLB与Wi-Fi6双链路负载均衡、冗余备份机制，提升投屏传输带宽利用率与抗干扰能力。 【任职要求】 1、本科及以上应届毕业生，通信、电子信息、计算机、物联网、信号处理等相关专业，具备扎实的短距无线通信、多媒体传输相关专业基础。 2、熟悉Wi‑Fi6（802.11ax）、星闪SLE/SLB双模协议基础原理，了解无线P2P直连、双链路融合传输机制，有相关课程项目、竞赛、实习协议栈优化经验者优先。 3、了解H.265/***1视频编解码基础，熟悉低时延流媒体传输、动态码率适配、抗丢包纠错核心原理，有音视频传输相关项目实践经历者优先。 4、了解鸿蒙分布式架构与HDM设备管理核心机制，有跨设备协同、无线链路相关开发、调试实践经验者优先。 5、熟练使用C/C++，了解Linux、鸿蒙系统开发及网络协议栈基础，具备良好的代码能力、逻辑思维，愿意深耕无线投屏协议方向，能够独立完成基础技术方案落地与问题排查。 工作地点 深圳市-光明区-田寮科联路235号森阳高新科技园2栋7楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"移动通信,无线通信,传输线路设计,C++,C语言",http://www.zhaopin.com/jobdetail/CC642218330J40870351610.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
通信研发工程师,华为技术有限公司,面议,上海·金泽,上海,本科,经验不限,7月26日,zhilian_direct,职位描述 C语言 无线通信 移动通信 5G 4G 室分设计 华为无线秋招交流 华为无线27届秋季校招已经启动，27届的同学看过来！ 📡 我们做什么 华为无线核心部门，主要做4G/5G交付和6G预研，涉及软硬算芯多个技术方向。 业务范围从传统通信到AI4RAN全覆盖，技术栈又深又广。 💼 招聘方向 ✅ 通信软件开发/算法研究 ✅ 嵌入式软件软件开发 ✅ AI Infra工程师 ✅ AI应用工程师 ✅ AI模型工程师：AI agent ✅ 硬件开发工程师-逻辑 工作地点：上海/深圳/成都/西安 💡 为什么值得来 - 核心部门，技术成长性高 - 团队氛围好，不会单打独斗 - 培养体系完善，对应届生比较友好 - 适合对通信/无线技术/AI应用感兴趣的同学 工作地点 上海市青浦区金泽镇港悦路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,无线通信,移动通信,5G,4G,室分设计",http://www.zhaopin.com/jobdetail/CC000542940J40877005214.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
通信研发工程师（嵌入式软件）,东软载波,1.5-2万,青岛·市北·兴隆路,青岛,硕士,3-5年,7月26日,zhilian_direct,职位描述 C语言 C++ 无线通信 终端开发 模组模块 智能电表 一、职位职责 1)参与部门产品项目立项评审，并提出建议；把需求精确地转换为可行的设计，包括系统体系设计、接口设计等; 2)制定合理的开发及测试计划，并保证按期完成开发测试工作; 3)根据系统设计及模块分工，编写满足功能需求及可读、可测、健壮等规范要求的代码； 4)进行流程化的测试，及时消除发现的缺陷，确保不引入新缺陷；开展白盒测试，利用必要的测试工具，进行覆盖性测试，满足测试覆盖率的要求；进行集成测试，保证自己负责模块与其他模块组装功能正常，最终符合系统功能要求；协助测试人员进行产品测试，根据测试结果进行相应的修改，保证产品质量； 5）审查自身代码及设计产出符合质量规范；审查协作人员工作质量符合质量规范； 二、任职要求 1. 硕士及以上学历，计算机、电子信息、自动化、通信等理工科专业，数学基础扎实，逻辑分析能力强，擅长拆解复杂技术问题； 2.精通C语言，熟练掌握嵌入式开发全流程、单片机/ARM架构、常用通信接口，熟悉至少一款嵌入式操作系统，熟悉通信系统； 3. 有嵌入式相关项目开发经验，可独立完成模块开发与调试，量产项目经验优先； 4. 沟通能力出色，逻辑清晰，善于团队协作，能精准对接需求； 5. 自律性强、责任心足，工作严谨细致，主动推进任务，适合研发工作 三、福利待遇 六险一金、带薪年假、过节费、话补、员工食堂、定期体检等 工作地点 山东省青岛市市北区湖溪路1号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,C++,无线通信,终端开发,模组模块,智能电表",http://www.zhaopin.com/jobdetail/CC174289310J40854410201.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
6G天地一体通信研发工程师实习生(J10314),中国移动研究院,130-150元/天,北京·西城·广安门内,北京,硕士,经验不限,7月26日,zhilian_direct,岗位职责: 1、参与卫星通信关键技术研究及算法设计、仿真； 2、参与卫星通信相关产品架构和软件设计和开发。 任职要求: 1）通信、电子、计算机等相关专业硕士在读及以上学历，熟悉3GPP系列协议； 2）掌握移动通信和数字信号处理原理，熟悉无线通信关键算法； 3）熟悉基站产品软硬件架构及关键接口，具有基站产品软、硬件设计和开发经验者优先； 4）掌握C/C++语言，熟悉python、matlab等语言，熟悉ARM、X86、DSP等平台开发，具有星载基站或相关领域产品研发经验者优先； 5）具有良好的学习能力和创新能力；具有强烈的责任心和团队合作精神，能适应一定压力和强度下的工作。 工作地点 北京西城区中国移动创新大楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,C++,http://www.zhaopin.com/jobdetail/CC143191460J40855743907.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
初级通信研发工程师（物理层）,元测信息技术(成都)有限公司,1-1.8万·13薪,成都·武侯·桂溪,成都,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1. 协助中高级工程师进行 5G 终端综测仪物理层软件及测量算法的需求分析、方案讨论，整理相关技术文档（如需求规格说明书、设计文档初稿）。 2. 参与物理层基础模块（如信号调制解调、简单信道估计）及基础测量算法（如发射功率等）的编码实现、单元测试，配合完成模块联调。 3. 协助进行物理层及测量算法的仿真验证，记录仿真数据，整理测试报告，反馈研发过程中的基础问题。 4. 学习 3GPP 相关协议（5G NR 物理层部分）及行业测试标准，协助完成协议条款的初步解读与落地。 5. 维护研发相关文档，确保文档的完整性、规范性，配合团队完成项目进度节点。 任职要求： 1. 掌握 C/C++ 编程语言，了解 Linux 软件开发环境，具备基础的程序编写和调试能力。 2. 了解线程、进程基本概念，掌握简单的线程间通信、同步机制。 3. 具备扎实的通信理论基础，了解 5G 物理层基本原理，熟悉简单的物理层算法（如定时同步、频偏估计基础）。 4. 了解 ACLR、SEM、EVM 等基础 RF 测量项，有仪器仪表、无线通信相关研发或实习经历者优先。 5. 具备良好的学习能力、沟通协作能力，责任心强，能配合团队完成各项基础研发任务，愿意深耕物理层与测量算法领域，关注 NTN、6G 相关技术动态。 工作地点 成都市-武侯区-天府五街200号5A4层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"5G,4G,无线通信,C++,C语言",http://www.zhaopin.com/jobdetail/CCL1477421990J40874284313.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
通信研发工程师,上海万泰数科软件有限公司,1.2-2.2万,上海·松江·中山,上海,本科,3-5年,7月26日,zhilian_direct,职位描述 通信设备开发 5G WiFi 工作职责： 1、参与或负责研发矿山集成有线、无线、应急广播等为一体的融合通信系统的产品并指导生产实施； 2、参与有线、无线、广播、调度等通信系统在矿山现场的测试及调优； 3、按照预定的项目计划完成产品的开发，协助项目经理完成样机的制作和调试，设计制作搭建实验测试平台，制定测试方案； 5、根据研发流程，完成相应的文档、BOM的归档，测试报告、各种测试、缺陷改正等； 6、负责前期样机的物料采购、申请，完成和供应商的技术沟通，确保物料符合技术要求，协助对供应商的资质审核； 7、协助转产工作，解决样机和产品的技术问题，和生产、维修部门同事合作，从技术上的改善手段，确保产品的可生产性、可靠性、可维护性等。 8、和公司相关部门密切协作，保证整个产品的相关目标按期实现； 任职资格： 1、电子、通信、软件等相关专业本科及以上学历，3年以上通信设备开发及安装调测经验； 2、熟悉5G/LTE/NBIoT/WIFI/相关设计方案，扎实的通信理论基础，熟悉3GPP通信协议； 3、深入理解 TCP/IP 、SIP等网络通信协议，熟悉通讯网络架构和相关协议流程，熟悉开发流程； 4、熟悉矿山安全认证产品的认证标准，有矿山通信产品开发工作经验者优先； 5、熟悉常用射频测试仪器、设备工具诸如信号源、频谱仪、网络分析仪、功率计等测试设备的使用方法； 6、具备良好的逻辑思维、有较强的发现、分析、解决问题能力； 7、有较强的沟通能力和团队合作精神； 8、能适应短期/中长期出差及突发性工作，能适应出差环境。 工作地点 上海松江区启迪漕河泾(中山)科技园水木园-北门1幢802室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"通信设备开发,5G,WiFi",http://www.zhaopin.com/jobdetail/CCL1482126450J40776815314.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
通信研发工程师,北京通广龙电子科技有限公司,8000-15000元·15薪,北京,北京,本科,经验不限,7月26日,zhilian_direct,职位描述 C语言 网络协议 通信协议/软件开发 嵌入式 主要工作职责： 1、负责adhoc自组网、数据链中网络协议设计、嵌入式开发、维护工作。 2、参与需求分析，负责实现方案、测试方案等相关方案设计。 3、参与设备联试、通信系统联试及问题排查工作。 任职要求： 1、本科及以上学历，通信、电子、自动化或相关专业。 2、具备扎实的编程基础，熟悉C/C++编程。 3、具备vxworks、reworks等RTOS嵌入式平台开发经验。 4、熟悉无线网络通信中时间同步、接入协议、路由协议、数据处理，具备高层协议软件开发工作经验。 5、责任心强，自主钻研，主动推进项目进度，具备良好的团队合作精神。 工作地点 北京海淀区丰慧中路7号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,网络协议,通信协议/软件开发,嵌入式",http://www.zhaopin.com/jobdetail/CC120217580J40184679809.htm?refcode=4019&srccode=401903&preactionid=4029dc67-fafb-4bc9-81ff-5874b8c3d739
