job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI for Drug Discovery Scientist (AIDD),上海伏曦量子科技有限公司,35-65k·15薪,上海-浦东新区,上海,学生可投,经验不限,7月28日更新,liepin,"岗位职责
1.	根据公司生物医药方向的研发规划和项目目标，负责AI与计算药物研发相关项目的具体实施。 
2.	开展AI/ML、计算化学、分子模拟及相关计算方法在药物研发领域的研究和应用。 
3.	负责药物研发相关数据的收集、处理、分析及数据集建设，为模型开发和技术验证提供数据基础。 
4.	根据具体科学问题，开展技术调研并建立Classical及AI Baseline，复现和比较领域内现有主流技术方法。 
5.	设计、开发和优化机器学习及深度学习模型，并探索其在分子性质预测、分子设计、蛋白质-配体相互作用及其他药物研发问题中的应用。 
6.	参与经典计算、人工智能及量子计算相关技术Prototype和PoC的开发与验证。 
7.	建立Benchmark及Evaluation Framework，对不同技术方法的准确性、计算效率、可扩展性及实际应用价值进行系统评价。 
8.	使用Python及相关科学计算和机器学习工具开发、优化和自动化Computational Workflow。 
9.	与公司量子算法团队合作，参与AI、经典计算与量子计算Hybrid Workflow的开发和验证。 
10.	对计算结果进行分析、可视化和总结，撰写技术报告及项目文档。 
11.	跟踪AI for Drug Discovery、Computational Science及Quantum Computing领域的最新技术发展，根据项目需求快速学习、复现和应用新的计算方法。 
任职要求
1.	人工智能、计算机科学、计算化学、理论化学、化学信息学、计算生物学、生物信息学、数学、物理或相关专业硕士及以上学历，博士优先。 
2.	熟练掌握Python，具有良好的编程和Software Engineering能力，能够独立完成数据处理、模型开发、科学计算和结果分析。 
3.	熟悉机器学习和深度学习基本方法，熟悉PyTorch、JAX或其他主流机器学习框架。 
4.	具有以下至少一个或多个方向的研究经验： 
•	AI/ML for Drug Discovery 
•	Molecular Modeling 
•	Molecular Dynamics 
•	Quantum Chemistry / DFT 
•	Protein Structure and Design 
•	Molecular Property Prediction 
•	Generative Models 
•	Foundation Models for Science 
6.	熟悉以下一种或多种工具或技术框架者优先： 
•	RDKit 
•	PyTorch 
•	JAX 
•	Hugging Face 
•	OpenMM 
•	GROMACS 
•	AMBER 
•	Gaussian 
•	ORCA 
•	Schrödinger 
7.	具有较强的技术执行能力，能够根据项目目标独立完成文献调研、方法复现、代码开发、模型训练、计算分析及结果总结。 
8.	具有较强的学习能力，能够快速理解新的科学问题和技术方法。 
9.	具有良好的英文文献阅读和沟通能力。 
10.	对AI for Science、Computational Drug Discovery及Quantum Computing等前沿技术具有浓厚兴趣。 
优先考虑
具有以下经验者优先：
•	AI/ML在药物研发领域的研究或项目经验； 
•	大规模机器学习模型训练经验； 
•	Molecular Foundation Model相关经验； 
•	分子生成、蛋白质设计或分子性质预测经验； 
•	Computational Chemistry或Molecular Simulation经验； 
•	Benchmark及Evaluation Framework开发经验； 
•	Scientific Software或Computational Workflow开发经验； 
•	HPC、GPU或Cloud Computing经验； 
•	复现顶刊AI/ML论文并开发Prototype的经验； 
•	NeurIPS、ICLR、ICML、AAAI、KDD或相关领域高水平论文发表经历； 
•	开源项目或公开AI/Scientific Computing项目经验。
 ",机器学习 深度学习 Python Gin PyTorch IPS,https://www.liepin.com/job/1984251275.shtml
电力交易岗(A07828),金开智维,10-20k·16薪,北京-东城区,北京,学生可投,经验不限,7月29日更新,liepin,"【偏算法方向】
职位描述：
1、负责所辖区域或省电力交易工作，分析供需形势，制定风险可控的交易策略并执行，做好复盘工作，出具年度、月度交易结算分析报告；
2.负责所辖区域或省电力营销工作，包括绿电、绿证营销；
3.完成所负责省份电价预测工作，出具电价咨询报告。

职位要求：
1、统招本科及以上学历，能源、电力、金融、数学、统计等相关专业优先；
2、具备较强的学习、研究分析能力，具备数据分析等相关专业知识，具有数据分析/挖掘经验、机器学习建模经验者优先考虑；
3、具备良好的沟通协调能力；
4、具有电网、火电企业、售电公司资源或从业经验者优先。",机器学习 数据分析,https://www.liepin.com/job/1984279335.shtml
机器学习算法实习生 (MJ001083),百融云创,250-300元/天,北京-朝阳区,北京,硕士,,90天前更新,liepin,"





职位概述：

我们正在寻找一位对自然语言处理（NLP）、大模型或语音处理领域有热情的机器学习算法实习生。作为实习生，您将有机会参与公司团队的研究和开发工作，运用机器学习算法解决实际的自然语言处理、大模型或语音处理问题。我们的团队致力于创造技术创新和解决复杂问题，为您提供一个学术和技术实践的平台，以便将您的研究兴趣转化为实际应用。




职责和任务：

- 参与设计、开发和调优面向NLP、大模型或语音处理领域的机器学习算法模型

- 使用Python、TensorFlow、PyTorch等工具实现和实验机器学习模型

- 分析和处理大规模数据集，并进行特征工程和数据预处理

- 进行算法性能评估和优化，以提高模型的准确性和性能

- 研究和探索最新的机器学习算法和技术，以促进团队的技术创新和发展

- 与团队成员合作，共同解决技术难题，并为项目进展提供支持




任职要求：

- 硕士/博士学位在计算机科学、人工智能、统计学或相关领域

- 对自然语言处理（NLP）、大模型或语音处理研究方向有浓厚的兴趣和热情

- 熟悉常见的机器学习算法和深度学习框架，如神经网络、卷积神经网络、循环神经网络等

- 具备良好的编程能力，熟悉Python语言，并熟悉常用的机器学习工具包和库

- 具备数据分析和处理的能力，熟悉特征工程和数据清洗技术

- 具备良好的团队合作精神和沟通能力，能够与多学科团队合作解决问题

- 具备扎实的数学和统计知识，能够理解和运用相关的数学原理和算法




加分项：

- 在NLP、大模型或语音处理领域拥有项目经验或相关实习经验

- 对深度学习模型的优化和加速有一定了解

- 在机器学习或相关领域的科研论文发表




公司提供有竞争力的实习津贴和学术导师指导，为优秀者提供转正机会。我们期待您的加入，与我们共同推动机器学习算法在NLP、大模型或语音处理领域的前沿研究和应用发展。

招聘人数：2人",自然语言处理 大模型 机器学习 Python TensorFlow PyTorch 深度学习 数据分析,https://www.liepin.com/lptjob/62333833
机器学习研究员 (MJ000099),基金/证券/期货不需要融资100-499人,40-70k·24薪,上海-浦东新区,上海,硕士,应届,7月22日更新,liepin,"岗位职责：
- 负责复杂模型训练与优化相关研究，包括大规模训练、后续优化、监督目标设计、模型评估与可信度分析等方向；
-面向多种研究任务设计训练与评估系统，包括问题形式化、数据构建与质量控制、baseline 设计、指标定义、实验方案设计、ablation、error analysis以及线上/离线对齐；
-与工程团队协作，逐渐将研究原型沉淀为稳定、可复现、可持续迭代的研究能力，包括训练与评估流程建设、数据与实验版本管理、输出审计与监控工具，以及自动化评测与研究辅助工具。


任职要求：
-计算机科学、机器学习、人工智能、统计、数学、物理、电子工程或相关方向博士和硕士（特别优秀可放宽至本科）；
-具备扎实的机器学习研究背景和独立研究能力，能够在开放问题中完成问题定义、方法设计、实验验证和结论分析；
-对复杂模型训练、后续优化、监督与评估体系有系统理解，在训练配方、优化方法、监督信号设计、推理与验证机制、自动化评测、误差分析、可信度与泛化研究等方向具备实际研究经验；
-具备较强的实验设计与研究判断力，能够独立完成 baseline 设计、指标设计、ablation、error analysis，并识别目标错配、评估偏差和伪提升；
-具有良好的工程实现能力，熟悉 Python 及主流机器学习框架，能够独立完成研究原型开发，并与工程团队协作推进训练、评估与实验流程的规范化、可复现化和持续迭代。


加分项：  
-在会议/期刊发表过与机器学习、自然语言处理、强化学习、信息检索、机器学习系统或相关方向的论文；
-有头部模型团队或相关研究实验室实习、合作或工作经历；
-有较强的 AI systems、训练基础设施、评估平台或自动化实验系统经验；
-有 retrieval / search / recommendation / sequential decision / tool-use / scientific reasoning 等方向研究背景；
-有搭建研究 benchmark、评估框架或审计体系的经验； 
-有复杂任务自动化、代码生成与审查、长文档理解等方向的研究经验； 
-对量化研究、科学研究自动化、复杂决策系统等场景有兴趣或理解。

截止日期：2027年03月20日
招聘人数：1人",机器学习 Python 自然语言处理 方案设计 版本管理 审计,https://www.liepin.com/lptjob/81108031
算法工程师-机器学习,本科,薪资面议,上海,上海,实习,3个月,90天前更新,liepin,"职位描述
我们专注于大数据之上的机器学习算法研究与应用，如果你了解机器学习、深度学习、强化学习、迁移学习、主动学习、特征提取与稀疏学习、等级学习等相关知识，对人工智能抱有极大的热情，勇于挑战各种实际应用难题，欢迎加入我们！

具体职责包括但不限于：
1、负责机器学习、深度学习领域的技术研发工作，包括但不限于神经元网络模型设计与优化、强化学习、迁移学习、主动学习、维度降低、核方法、谱方法、特征提取与稀疏学习、等级学习、推荐、随机优化等的算法和系统研发等；
2、负责机器学习尤其是深度学习前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案；
3、负责提供分布式的算法实现的解决方案，大幅提升算法计算规模和性能；
4、负责提供大数据分析建模方案，沉淀行业解决方案，协助拓展业务边界。
职位要求
【必备项】
1、熟悉常用机器学习算法，对模式识别、深度学习、增强学习等相关领域，极佳的工程实现能力，精通C/C++、Java、Python等至少一门编程语言；
2、有数理分析方面良好的素养以及数理统计基础；
3、有良好的数据敏感能力、较强的逻辑分析能力；
4、有较强的学习能力，对新事物保有好奇心，并能快速适应新环境；
5、有良好的沟通能力和团队协同能力；能与他人合作，共同完成目标；
6、对所在领域有热情，相信方法总比困难多，善于独立思考并反思总结。

【加分项】
1、有实际成果并发表在国际顶级会议、期刊者优先，有在KDDCUP、ImageNet、MSCOCO、ICDAR等权威比赛中取得优异成绩者优先；
2、有deeplearning的经验，有linux下开发经验的，大规模数据处理经验优先。

招聘人数：1人

职位来源：该职位来自第三方企业官网",机器学习 深度学习 分布式 C++ Java Python Linux 数据分析,https://www.liepin.com/lptjob/73661897
算法工程师-机器学习,本科,薪资面议,北京,北京,实习,3个月,90天前更新,liepin,"职位描述
我们专注于大数据之上的机器学习算法研究与应用，如果你了解机器学习、深度学习、强化学习、迁移学习、主动学习、特征提取与稀疏学习、等级学习等相关知识，对人工智能抱有极大的热情，勇于挑战各种实际应用难题，欢迎加入我们！

具体职责包括但不限于：
1、负责机器学习、深度学习领域的技术研发工作，包括但不限于神经元网络模型设计与优化、强化学习、迁移学习、主动学习、维度降低、核方法、谱方法、特征提取与稀疏学习、等级学习、推荐、随机优化等的算法和系统研发等；
2、负责机器学习尤其是深度学习前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案；
3、负责提供分布式的算法实现的解决方案，大幅提升算法计算规模和性能；
4、负责提供大数据分析建模方案，沉淀行业解决方案，协助拓展业务边界。
职位要求
【必备项】
1、熟悉常用机器学习算法，对模式识别、深度学习、增强学习等相关领域，极佳的工程实现能力，精通C/C++、Java、Python等至少一门编程语言；
2、有数理分析方面良好的素养以及数理统计基础；
3、有良好的数据敏感能力、较强的逻辑分析能力；
4、有较强的学习能力，对新事物保有好奇心，并能快速适应新环境；
5、有良好的沟通能力和团队协同能力；能与他人合作，共同完成目标；
6、对所在领域有热情，相信方法总比困难多，善于独立思考并反思总结。

【加分项】
1、有实际成果并发表在国际顶级会议、期刊者优先，有在KDDCUP、ImageNet、MSCOCO、ICDAR等权威比赛中取得优异成绩者优先；
2、有deeplearning的经验，有linux下开发经验的，大规模数据处理经验优先。

招聘人数：1人

职位来源：该职位来自第三方企业官网",机器学习 深度学习 分布式 C++ Java Python Linux 数据分析,https://www.liepin.com/lptjob/73661895
算法工程师-机器学习,本科,薪资面议,杭州,杭州,实习,3个月,90天前更新,liepin,"职位描述
我们专注于大数据之上的机器学习算法研究与应用，如果你了解机器学习、深度学习、强化学习、迁移学习、主动学习、特征提取与稀疏学习、等级学习等相关知识，对人工智能抱有极大的热情，勇于挑战各种实际应用难题，欢迎加入我们！

具体职责包括但不限于：
1、负责机器学习、深度学习领域的技术研发工作，包括但不限于神经元网络模型设计与优化、强化学习、迁移学习、主动学习、维度降低、核方法、谱方法、特征提取与稀疏学习、等级学习、推荐、随机优化等的算法和系统研发等；
2、负责机器学习尤其是深度学习前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案；
3、负责提供分布式的算法实现的解决方案，大幅提升算法计算规模和性能；
4、负责提供大数据分析建模方案，沉淀行业解决方案，协助拓展业务边界。
职位要求
【必备项】
1、熟悉常用机器学习算法，对模式识别、深度学习、增强学习等相关领域，极佳的工程实现能力，精通C/C++、Java、Python等至少一门编程语言；
2、有数理分析方面良好的素养以及数理统计基础；
3、有良好的数据敏感能力、较强的逻辑分析能力；
4、有较强的学习能力，对新事物保有好奇心，并能快速适应新环境；
5、有良好的沟通能力和团队协同能力；能与他人合作，共同完成目标；
6、对所在领域有热情，相信方法总比困难多，善于独立思考并反思总结。

【加分项】
1、有实际成果并发表在国际顶级会议、期刊者优先，有在KDDCUP、ImageNet、MSCOCO、ICDAR等权威比赛中取得优异成绩者优先；
2、有deeplearning的经验，有linux下开发经验的，大规模数据处理经验优先。

招聘人数：1人

职位来源：该职位来自第三方企业官网",机器学习 深度学习 分布式 C++ Java Python Linux 数据分析,https://www.liepin.com/lptjob/73661893
机器学习实习生（上海）,上海黑翼资产管理有限公司,800-1000元/天,上海-浦东新区,上海,硕士,,90天前更新,liepin,"工作职责：
·开发和优化用于金融市场预测和交易策略的机器学习模型。
·分析海量金融数据集，提取有价值的信息并建立可执行的投资信号。
·与量化分析师和数据工程师合作，设计和实施高效的数据处理管道。
·评估和改进现有机器学习算法的性能，包括监督学习、无监督学习和强化学习的应用。
·紧跟最新的机器学习研究动态，定期提出新的研究方向和改进建议。
薪资面议

申请要求：
2026届硕士、博士
·就读于计算机/人工智能/统计/电子工程等理工科专业
·编程能力出色，熟练掌握Python，对数据结构、算法设计基础有深度了解
·深刻理解机器学习和深度学习技术的基本原理、理论和概念，熟练掌握Pytorch/TensorFlow等机器学习框架

加分项：
·具有海内外知名AI相关实验室、研究所以及公司的研究实习经历；
·有丰富的研究成果，在国际顶会或期刊发表过相关论文（包括但不限于NIPS, ICML, CVPR, COLT、AAAI等)；
·有ACM/IOI/NOI/Top Coder/Kaggle等算法竞赛获奖经历。

可转正，有HC
公司氛围好，研究氛围浓厚


如果你也对量化行业感兴趣，热衷于技术的突破，那么欢迎加入我们！



招聘人数：5人",机器学习 Python 深度学习 PyTorch TensorFlow IPS,https://www.liepin.com/lptjob/72583137
机器学习实习生（北京）,上海黑翼资产管理有限公司,800-1000元/天,北京-朝阳区,北京,硕士,,90天前更新,liepin,"工作职责：
·开发和优化用于金融市场预测和交易策略的机器学习模型。
·分析海量金融数据集，提取有价值的信息并建立可执行的投资信号。
·与量化分析师和数据工程师合作，设计和实施高效的数据处理管道。
·评估和改进现有机器学习算法的性能，包括监督学习、无监督学习和强化学习的应用。
·紧跟最新的机器学习研究动态，定期提出新的研究方向和改进建议。
薪资面议

申请要求：
2026届硕士、博士
·就读于计算机/人工智能/统计/电子工程等理工科专业
·编程能力出色，熟练掌握Python，对数据结构、算法设计基础有深度了解
·深刻理解机器学习和深度学习技术的基本原理、理论和概念，熟练掌握Pytorch/TensorFlow等机器学习框架

加分项：
·具有海内外知名AI相关实验室、研究所以及公司的研究实习经历；
·有丰富的研究成果，在国际顶会或期刊发表过相关论文（包括但不限于NIPS, ICML, CVPR, COLT、AAAI等)；
·有ACM/IOI/NOI/Top Coder/Kaggle等算法竞赛获奖经历。

可转正，有HC
公司氛围好，研究氛围浓厚

招聘人数：5人",机器学习 Python 深度学习 PyTorch TensorFlow IPS,https://www.liepin.com/lptjob/72582821
机器学习实习生,基金/证券/期货不需要融资50-99人,500-1000元/天,北京-海淀区,北京,硕士,,90天前更新,liepin,"【工作职责】



1、协助利用机器学习方法构建投资组合，并尝试建立多因子机器学习组合优化方案。



【任职要求】



1、硕士及以上学历，计算机、数学、人工智能、数据科学等相关专业；



2、数理基础扎实，编程能力突出，熟悉机器学习算法，如神经网络、树模型、强化学习等，熟练使用Pytorch/Tensorflow等基本框架；



3、了解运筹优化算法和组合优化，熟悉常用优化方法。



【加分项】



1、量化行业机器学习或互联网大厂算法相关实习经验；



2、高性能计算、CUDA加速、并行计算等相关实习经验；



3、ACM、kaggle、量化比赛、算法比赛、建模大赛等竞赛经历并取得优异成绩；



4、顶会或学术期刊论文发表；



5、对市场微观结构（包含股票，***有深入了解，参与过因子开发、组合开发和组合优化等；



6、保证一周出勤4天以上，连续实习3个月起。

招聘人数：1人",机器学习 PyTorch TensorFlow ACM,https://www.liepin.com/lptjob/68233967
