job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据库工程师（数据治理与建模）,苏州福柯思电气,10-20万/年,太仓,苏州,本科,3年及以上,2026-07-23 10:07:45,job51,"岗位职责：
1、行业数据治理体系建设
1.1负责梳理公司内部（如ERP、MES、SCADA）及外部（设备运行）数据来源，辅助制定行业数据治理规范，包括数据标准、数据质量检核规则及元数据管理。
1.2建立数据全生命周期管理流程，针对电气设备台账、实时运行数据、故障代码等核心数据资产，进行标准化定义，确保“数出同源”。
2、业务数据建模与应用
2.1深入理解电气控制业务场景（如：配电损耗分析、设备健康度评估），进行业务数据建模，构建主题模型（如设备画像、故障预测模型特征宽表）。
2.2负责数据仓库或数据湖的模型设计（如维度建模），将多源异构数据（结构化、时序、日志）进行整合，为前端BI报表和算法团队提供高质量、易理解的数据服务。
3、数据库架构与性能保障
3.1负责核心数据库（SQL Server/MySQL/时序数据库）的架构优化，保障在复杂分析查询下的性能稳定。
3.2支持数据开发团队，进行SQL性能调优和ETL流程优化。
任职要求：
1、 本科及以上学历，计算机、自动化、数学/统计学相关专业。
2、3年以上数据相关工作经验，其中至少1年专注于数据治理或数据建模工作，有电气、能源、工业物联网行业背景者优先。
3、 熟悉DAMA或DCMM数据治理体系，有实际参与过数据标准制定、数据质量改进项目的经验；对电力行业常见的业务术语（如：线损、功率因数、拓扑结构）有快速学习能力或了解。
4、精通SQL，具备扎实的数据仓库建模理论（如Kimball维度建模），能独立完成从业务调研到逻辑/物理模型的设计；有Python或Scala数据分析经验者更佳。
5、精通至少一种主流关系型数据库（MySQL / SQL Server / PostgreSQL）的管理与优化。熟悉ETL工具（如DataX、Kettle、SeaTunnel）及调度框架（如Airflow、DolphinScheduler）。了解时序数据库（TDengine / InfluxDB）或大数据组件（Hive / Spark）者优先。
6、 具备将“电气业务问题”转化为“数据技术问题”的能力，能够主动与业务部门（生产、运维、销售）沟通，挖掘数据需求。
7、逻辑严谨，对数据敏感，能从杂乱的数据中抽象出规律，并形成规范文档。
8、 熟悉电力行业标准（如CIM模型）或有参与电网信息化项目建设经验者， 有数据治理工具（如Atlas、DataHub）或数据可视化工具（Tableau、FineReport）使用经验者， 持有CDMP（数据管理专业人士认证）或相关云厂商数据认证者优先。",SQL Server MySQL SQL Python Scala PostgreSQL DataX Airflow Gin Hive Spark 数据治理 流程优化 数据分析,https://jobs.51job.com/taicang/170623662.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
生物信息分析工程师,苏州金唯智生物科技,1.3-2.3万·13薪,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-08-07 16:29:05,job51,"岗位价值：
 作为研发实验室核心成员，您将参与高通量数据分析处理和科研项目交付，以高质量结果支持全球生命科学客户的创新研究。

主要职责：
1. 负责运用统计学方法、各类生物信息软件和现有流程，对高通量测序产生的数据进行分析。
2. 负责二代、三代高通量测序数据分析流程开发。
3. 负责其他项目相关生物信息数据的采集、整理、挖掘和利用。
4. 负责生物信息学分析流程的文档整理。

任职要求：
必备：
1. 具有生物信息学、分子生物学、计算机或数理学相关专业硕士及以上学历。2年以上相关工作经验。
2. 具有较好的编程能力，熟悉Perl/C++/MATLAB/R/Python中的一种或一种以上。
3. 熟悉Linux操作系统，具有高通量测序数据项目分析经验。
4. 能熟练阅读专业文献，自主查阅相关文献，具有较强的分析解决问题的能力。
5. 自我驱动型，沟通、学习能力强，有良好的团队合作精神。

优先：
1. 有三代Pacbio或ONT测序平台数据分析经验者优先。
2. 熟悉常用生物信息数据库，如UCSC、SwissProt、KEGG、NCBI、EBI，了解生物统计学相关知识者优先。

职业发展机会：
 我们提供技术专家和团队管理双通道职业发展路径。您可通过岗位培训、项目实践和跨团队协作，逐步成长为高级技术人员、实验室主管或专业技术专家。",Perl C++ MATLAB Python Linux 数据分析 团队管理 培训,https://jobs.51job.com/suzhou-gyyq/173194228.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
大数据开发工程师,急速国际物流科技（深圳）,1-1.3万,苏州·姑苏区,苏州,本科,3年及以上,2026-07-17 13:48:31,job51,"具备数据产品规划与设计能力，能独立负责报表、数据平台及指标体系建设
能深入理解业务（电商/物流/金融等），将业务问题抽象为数据需求并落地
熟练设计指标体系，统一数据口径，具备数据分析能力（漏斗/留存/分层等）
熟悉数据仓库建模，具备分层设计经验（ODS / DWD / DWS / ADS）
能设计数据方案，包括数据模型、埋点方案及数据流程
熟悉 SQL（Hive / MySQL），具备较强数据处理能力
了解大数据技术体系，如 Apache Hadoop、Apache Spark、Apache Flink、Apache Kafka、Airflow 等
熟悉数据治理相关内容（数据血缘、数据质量、元数据管理等）
具备良好的跨团队沟通与项目推进能力
有完整数据产品项目经验优先
有基础清洗数据能力者优化
## 加分项
- 熟悉 Python 或使用 pandas 进行数据分析
- 有实时数仓经验
- 熟悉 ClickHouse / Apache Doris 等 OLAP 引擎
- 有 BI 工具经验（Superset / Tableau / Power BI）
- 有百万级以上经验",SQL Hive MySQL Hadoop Spark Flink Kafka Airflow Python ClickHouse Doris 产品规划 数据分析 数据治理,https://jobs.51job.com/suzhou-gsq/172002907.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
数据开发工程师(J10160),广东顺大食品调料,8千-1.2万·14薪,昆山,苏州,本科,2年,2026-07-02 16:36:26,job51,"工作职责:
1. 牵头从零搭建公司数据仓库/数据湖，完成整体架构规划、分层设计（ODS/DWD/DWS/ADS）、规范制定，建立统一数据标准、命名规范、开发规范。
2. 对接各业务系统（业务库、日志、第三方数据），完成数据源梳理、数据接入、同步、清洗、建模，落地离线/实时数据链路，实现业务数据全归集。
3. 搭建数据调度、监控体系，保障数据任务稳定运行，解决数据延迟、异常、口径不一致问题，支撑后续分析、报表、看板使用。
4. 配合数据分析师共同落地指标体系，建设公共中间层模型，统一指标口径，避免后续多部门数据打架。
5. 开展初期数据治理：梳理数据血缘、完善元数据、权限管理，建立数据字典，为后续数字化运营打基础。
6. 对接业务方理解数据需求，快速迭代数仓模型，支撑业务报表、专项分析、BI看板的数据供给。
任职资格:
1. 本科及以上，计算机、大数据、软件工程相关，1–3年数据开发经验，有从零搭建/参与新建数仓经验优先。
2. 熟练SQL，精通Hive/Spark，了解Flink，熟悉数仓分层、维度建模，能独立从零设计数仓架构。
3. 熟悉MySQL等业务库，会数据同步、ETL开发，能梳理多业务系统数据源。
4. 有规范意识，能制定数据开发、建模、指标口径等基础规范。
5. 主动推进、沟通能力强，能和分析师、业务方协同，适应初创型数据体系建设节奏。",SQL Hive Spark Flink MySQL 数据分析 数据治理,https://jobs.51job.com/kunshan/172774746.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
监管报送ETL数据开发工程师,上海向晨信息科技,1-1.5万·13薪,常熟,苏州,大专,无需经验,2026-06-20 00:00:00,job51,"【工作内容】
- 负责监管报送系统的ETL开发与维护，确保数据准确、及时、合规地传输至监管机构；
- 设计并优化数据抽取、转换和加载流程，提升数据处理效率与稳定性；
- 与业务部门及数据团队协作，理解监管数据需求并实现技术落地；
- 参与数据模型设计与数据质量监控，保障数据符合监管要求。
【任职要求】
- 大专及以上学历，计算机、信息管理或相关专业背景；
- 熟悉SQL、Python等编程语言，具备扎实的数据处理能力；
- 熟悉ETL工具的使用与开发；
- 具备良好的沟通能力和团队协作精神，有金融行业或监管报送项目经验者优先。",SQL Python 合规,https://jobs.51job.com/changshu/172621742.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
大数据工程师,苏州通富超威半导体,1-1.3万·13薪,苏州,苏州,本科,3年及以上,2026-06-25 09:42:39,job51,"1．	有计算机互联网工作经验，能独立开发并完成大数据平台和可视化网页，有MES/SAP等企业项目开发经验优先；
2．	擅长JAVA，Python， C++等常用编程语言，逻辑分析能力强，擅长编写开发小程序，辅助工程师进行BOM数据自动维护，Label比对等工程数据处理和分析工作；
3．	有AI项目开发经验，基于检测机器进行机器深度学习、测试，开发搭建智能视觉检测模型，提升生产效率。

以下情况优先
AI/大数据/智能制造背景经验
• 生产制造工厂从业经验
• 生产/质量等大数据分析和管理相关经验
• 有制程/工程改善和智能管理项目经验优先",Java Python C++ 深度学习 数据分析 AI,https://jobs.51job.com/suzhou/169152515.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
数据分析师,巴马格（苏州）科技,1.2-1.6万,苏州,苏州,本科,3-8年,2026-06-25 08:29:21,job51,"【岗位职责】
1、负责复杂业务数据的分析、解读与可视化呈现，输出专业数据分析成果，为公司战略规划、日常运营决策提供核心数据支撑。
2、对接财务、销售、运营、IT等各业务部门相关负责人，深度挖掘业务需求，将业务问题转化为可落地的数据分析需求与技术开发需求。
3、熟练运用Power BI等BI工具，独立完成数据看板、业务报表、分析模型的设计、开发与迭代维护工作，保障数据展示高效、直观。
4、针对全业务流程开展深度专项分析，精准挖掘业务发展趋势、潜在风险、增长机会及问题根本原因，输出针对性分析结论与优化建议。
5、制定数据校验规则，联动数据负责人推进数据治理工作，持续保障企业数据的准确性、一致性与可靠性。
6、依据企业统一规范与标准，搭建并优化数据模型、核心KPI指标及业务度量体系，统一公司数据统计口径。
7、赋能各类数据驱动型项目落地，支撑绩效管理、业务预测、用户洞察、运营效率提升等核心业务工作。
8、指导初级数据分析师及业务端自主数据分析人员开展工作，推广数据分析、数据可视化、数据故事输出的标准化最优工作方法。
9、隶属于数据平台团队，负责本地业务的数据支撑、数据治理、跨部门沟通及需求梳理工作，夯实团队本地化服务能力；长期参与对接国际化业务需求，助力团队全球化布局。

【任职要求】
1、本科及以上学历，数据分析、计算机科学、统计学、工程学等相关专业优先。
2、具备优秀的数据分析与问题解决能力，可独立负责复杂业务场景的数据分析工作，高效推进问题落地解决。
3、具备扎实的业务需求转化能力，可精准将业务诉求转化为技术需求、数据产品方案，同时依托数据成果反哺业务优化。
4、熟练掌握数据建模原理、主流数据分析方法，深刻理解各类业务核心KPI指标体系及业务逻辑。
5、精通SQL数据查询与处理，熟练使用Power BI、Tableau、帆软等主流BI报表工具，具备成熟的可视化报表开发经验。
6、精通Excel高阶数据处理功能，掌握Python、R数据分析工具者优先。
7、具备优秀的数据分析成果输出与沟通能力，可面向技术、非技术等不同受众，清晰、精准地传递数据洞察与分析结论。
8、熟练掌握英语，具备优秀的中英文书面及口语沟通能力，可适配职业化、跨文化的工作沟通场景",SQL Python 数据分析 数据治理 BI Tableau,https://jobs.51job.com/suzhou/172679776.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
AI数据中心工程师,苏州玖隆再生科技集团,1-1.2万,苏州,苏州,本科,3年及以上,2026-06-26 09:42:46,job51,"负责公司数据治理、数据运维分析及AI模型落地、轻量化AI应用搭建，兼顾基础IT支撑工作，助力企业数字化、智能化升级；

- 本科及以上学历，计算机、大数据、人工智能、软件工程等相关专业，3年以上相关工作经验。
- 熟练掌握Python、SQL，精通主流数据库，熟悉数据治理、数据分析及可视化相关工作。
- 了解AI模型微调、轻量化部署、容器化运维，具备AI应用落地实操经验。
- 熟悉Linux基础操作，具备独立排查数据、系统、模型常见故障的能力。 
- 工作严谨负责，具备良好的沟通协作能力和自主学习能力，有业务思维。",Python SQL 容器化 Linux 数据治理 数据分析,https://jobs.51job.com/suzhou/172697256.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
国昇数智数据工程部主管,苏州高新区国有资本控股集团,23-32万/年,苏州·高新区,苏州,本科,5年及以上,2026-06-11 09:15:45,job51,"35周岁及以下，本科及以上学历，机器人与智能系统、计算机科学与技术、大数据、人工智能、软件工程，基础理学类等具身智能相关专业毕业。
应聘人员需具备5年以上数据管理、数据治理或数据资产化相关领域工作经验，其中至少2年聚焦具身智能、机器人或AI行业的数据体系搭建与管理实践；熟悉数据全生命周期管理，具备数据治理框架设计、数据标准制定、数据质量评估等能力；对数据资产化路径有实际参与或深入研究经验者优先；良好的跨部门沟通协调能力，能推动业务与技术部门协同构建数据管理体系。
具体薪资面议",数据治理,https://jobs.51job.com/suzhou-gxq/172507363.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
资深DBA架构工程师（数据架构师）,新代科技（苏州）,1.5-2万·14薪,苏州,苏州,本科,6年及以上,2026-08-05 16:26:27,job51,"工作职责：
1.数据架构规划设计
1&gt;负责MES系统数据架构的整体规划与设计，构建涵盖主数据、业务数据、分析统计维度的全链路数据模型
2&gt;制定数据库设计规范、数据建模标准与开发规范，输出技术方案文档

2.数据库表结构设计与开发
1&gt;根据业务需求设计合理的数据库表结构、字段、索引、视图，完成逻辑模型与物理模型的设计落地
2&gt;编写高性能SQL、存储过程、函数，完成核心模块的数据层开发

3.性能优化与架构升级
1&gt;负责数据库性能监控、SQL调优、索引优化，解决高并发场景下的数据存取瓶颈
2&gt;持续优化数据存储架构，保障系统数据存取的高效性与稳定性

4.跨系统数据集成设计
1&gt;主导MES与ERP、WMS等上下游系统的数据交互方案设计，明确接口规范与数据流转规则
2&gt;指导或参与接口核心逻辑的开发实现

5.技术规范与质量管控
1&gt;制定并推行数据建模、开发、运维的全生命周期管理规范
2&gt;负责核心数据模型评审，把控数据质量与结构合理性


任职要求：
1、本科及以上学历，计算机相关专业；
2、6年以上数据库开发及数据库相关工作经验，其中至少2年业务域数据架构规划、数据模型设计落地实战经验；经验侧重业务数据库开发设计，非单纯数据库实例运维，有MES/ERP/WMS制造系统经验优先；
3、精通主流关系型数据库（SQL Server/Oracle/MySQL等），精通SQL优化、事务处理与性能调优；
4、熟练掌握数据建模方法，具备大型业务系统数据架构设计经验；
5、熟悉MES系统业务逻辑及制造业生产流程；
6、掌握至少一种开发语言（Java/C#/.NET等）及ORM框架；
7、了解数据治理、数据仓库基本理论；
8、业务洞察力：能快速理解生产业务场景，将业务需求转化为合理的数据模型；
9、架构思维：具备系统性、前瞻性的数据架构规划能力；
10、沟通协作力：能与业务部门及开发团队高效沟通，推动方案落地；
11、责任心与抗压力：工作严谨，能适配项目迭代节奏。",SQL 高并发 SQL Server Oracle MySQL Java C# 技术方案 方案设计 数据治理,https://jobs.51job.com/suzhou/173164303.html?s=sou_sou_soulb&t=0_0&req=3fa2fe23cee8e9483a62deb53a724d99
