job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
IT技术支持,深圳市微恒信科技,8千-1.3万,苏州·姑苏区,苏州,大专,1年及以上,2026-08-09 18:19:32,job51,"【工作内容】
1、负责办公网络、终端设备及软硬件故障的排查与修复，保障日常业务系统稳定运行；
2、响应并处理员工提出的 IT 服务请求，提供远程或现场技术支持，确保问题高效闭环；
3、负责公司服务器、打印机及会议设备的定期巡检与维护，优化系统性能与安全策略；
4、协助搭建新员工入职环境，管理账号权限，配合完成数据备份及信息安全合规工作；
5、编写常见问题操作手册，开展内部 IT 培训，提升全员数字化办公技能与安全意识。

【任职要求】
1、计算机、通信工程或相关专业大专及以上学历，具备扎实的计算机网络基础理论；
2、熟悉 Windows/Linux 操作系统及主流办公软件，掌握常见硬件设备维护与调试技能；
3、拥有 1 年以上企业 IT 运维经验，具备独立解决网络故障及系统部署问题的能力；
4、具备良好的服务意识与沟通协调能力，工作严谨细致，能适应突发状况下的应急处理；
5、持有相关技术认证者优先，认同公司文化，具有强烈的责任心和团队协作精神。",Linux 技术支持 安全合规 培训 IT Windows,https://jobs.51job.com/suzhou-gsq/173202424.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
设备经理,宁波震裕科技,1.8-2.5万·15薪,苏州,苏州,本科,5年及以上,2026-07-29 15:35:53,job51,"工作职责
一、设备统筹管理
•	全面负责苏州、太仓、岳阳三基地的设备资产统筹管理
•	制定跨区域设备管理标准化流程及KPI考核体系
•	建立设备全生命周期管理体系，统筹规划设备更新改造计划
•	统筹审定技改、检修方案，参与竣工验收，组织重大设备事故的处理
二、自动化系统建设
•	主导智能制造设备选型论证、导入与自动化升级方案制定
•	负责新设备从FAT到SAT的全流程验收（含机械/电气/软件系统）
三、生产保障体系
•	构建预防性维护体系，制定TPM全员生产维护方案
•	主导重大设备故障的根本原因分析及改进措施落地
•	优化设备OEE指标
四、技术安全管理
•	建立符合IATF16949的设备管理规范及安全操作规程
•	主导设备安全风险评估（含机械/电气/自动化系统）
五、跨基地协同管理
•	制定三地设备资源共享与应急调配机制
•	建立月度设备管理联席会议制度，推动实践共享
六、团队建设
•	培养跨区域设备管理团队（含机械/电气/自动化工程师）
•	建立设备技术人才梯队培养体系
•	推动三地维修团队技能认证/能力提升
七、成本控制
•	制定年度设备运维预算并控制执行偏差率在5%以内
•	推动节能改造项目，单位产能能耗年降幅不低于10%
•	优化设备维保成本，实现MTTR降低30%以上
八、技术创新
•	跟踪新能源汽车行业设备技术发展趋势
•	推动数字孪生、预测性维护等新技术应用
•	主导设备相关技术相关专利申报工作

任职资格
1、学历经验要求，本科以上学历，机械设计制造及其自动化、机电一体化专业，从事冲压行业5年及以上工作经验。注：其它条件优秀或在特殊环境下，工作经验要求可适当放宽；
2、专业技术要求：机械设计基础知识；熟悉高速冲床，自动送料机等相关知识；熟悉自动化控制，具有应用PLC、工控机经验；熟悉气动、液压等自动化常用机械传动技术专业。注：需要精通3门以上专业知识
3、具备较强的责任心、出色的组织协调及解决问题的能力和良好的团队合作精神；
4、有出色的设备管理经验和人员管理经验，综合分析能力强，制度建立能力强。",成本控制 专利,https://jobs.51job.com/suzhou/173085318.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
矿山软件产品经理,三一重工,1.3-2.5万,昆山,苏州,本科,5年及以上,2026-07-24 17:37:58,job51,"1. 产品规划与设计
- (1) 负责矿山软件平台产品的市场调研与用户需求分析，深入理解露天矿/井工矿采、运、排等典型作业场景，分析矿区生产流程、调度模式及安全合规要求，完成产品规划与版本管理。
- (2) 负责产品核心功能模块的定义与设计，涵盖地质保障系统、综合管控平台、露天矿无人驾驶调度系统、智能调度等关键方向，编写高质量的产品需求文档（PRD）及原型设计，协同研发、测试、UI设计团队，推动产品功能高效落地。
- (3) 跟踪产品上线后的用户反馈和数据表现，结合矿区一线作业人员与管理人员的真实使用反馈，持续进行产品迭代优化，提升产品在矿山场景下的适配性、易用性与稳定性。
2. 需求分析与方案落地
- (1) 深入矿山业务场景，聚焦矿山企业在生产效率、安全管理、成本控制、合规监管等方面的核心痛点，定期赴矿山现场走访，与矿长、生产负责人、设备管理人员等关键角色深度沟通，收集需求反馈并输出结构化需求调研报告。
- (2) 主导智慧矿山工业软件套件、综合管控平台、露天矿无人驾驶调度系统、地质保障系统等产品的需求分析与设计工作，将复杂的矿山业务流程转化为可落地的产品解决方案。
- (3) 跨部门协作与项目管理，协调算法、车端软件、云平台、硬件、测试、运维等跨职能团队，确保产品需求与自动驾驶技术方案一致，制定项目风险管理机制，定期输出项目进度报告。
- (4) 与解决方案、交付等团队紧密配合，协助支撑市场开发工作；对大客户项目产品交付负责，推动产品在真实矿区长期稳定运行。
3. 市场推广与生态建设
制定矿山软件产品的市场推广策略，利用行业展会、技术交流会等渠道，提炼产品核心卖点并输出培训材料；联合行业专家资源，提升产品在矿山数字化领域的品牌形象与市场占有率。
4. 按时完成上级领导交办的其他工作任务
任职要求
1. 本科及以上学历，采矿工程、矿物加工工程、计算机、自动化、软件工程等相关专业优先，5年以上软件产品经理工作经验，具有矿山行业软件解决方案经验者优先。
2. 精通矿山生产全流程（采矿方法、核心设备类型、运输调度模式），深入了解矿山安全监管、环保合规等政策要求，具备智慧矿山工业软件、综合管控平台、无人驾驶调度系统等产品从0到1完整落地经验者优先。
3. 熟悉露天矿无人驾驶作业场景，掌握无人驾驶技术原理、生产调度逻辑及云边端协同系统架构，深刻理解矿卡/工程车辆自动驾驶能力、智能调度与车路协同、生产效率与安全监控等核心业务逻辑。
4. 具备强烈的用户思维与行业敏感度，能够深刻理解矿山客户在“降本增效”及“安全合规”方面的核心诉求，具备优秀的逻辑思维、数据分析与文档撰写能力。
5. 对AI大模型技术、数字孪生、物联网、5G等新技术在矿山领域的应用有浓厚兴趣，能够作为桥梁沟通业务、技术与算法团队。
6. 具备优秀的产品设计与原型能力，精通Axure、Figma、墨刀等设计工具，可独立完成PRD及高保真原型设计；理解自动驾驶或相关技术背景（感知、规划控制、系统集成），可与算法及工程团队高效沟通。
7. 能适应矿山行业特性，接受短期出差及矿区驻场，具备较强的执行力和问题解决能力，能主动推动产品优化迭代与项目顺利落地。",大模型 5G 产品规划 市场调研 需求分析 安全合规 版本管理 原型设计 产品迭代 成本控制 合规 跨部门协作 项目管理 技术方案 风险管理 市场推广 培训 数据分析 产品设计,https://jobs.51job.com/kunshan/173036882.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
IT技术支持,挚行电子（苏州）,6千-1.2万,常熟,苏州,本科,1-3年,2026-08-03 15:28:03,job51,"岗位职责

1.全面负责企业内部大量计算机设备、办公软件及网络的日常维护工作，有一定的轻代码使用能力，保障企业 IT 系统稳定运行。

2.及时响应并快速解决各类突发 IT 问题，***限度减少对业务开展的影响。

3.自主完成主流操作系统 Windows、macOS、Linux 的安装、配置、维护及故障排除任务。

4.负责办公软件 Office365 等的安装与常见问题处理，确保员工正常使用。承担打印机、投影仪、扫描仪等办公设备的安装、调试和维护工作，保障设备高效运转。

5.能够对网络、服务器等进行基础管理。

任职要求

1.具有 1- 3 年 IT 相关工作经验，条件优秀者可适当放宽年限要求。

2.技能要求：了解掌握企业内部计算机设备、办公软件及网络日常维护，具备突发问题快速处理能力。

3.了解 Windows、macOS、Linux 主流操作系统安装、配置、维护及故障排除。

4.具备 AD 域管理、组策略配置经验、有一定的轻代码开发能力。

5.需具备较强学习能力，快速掌握新知识、新技术，适应不断变化的工作需求。",Linux IT Windows Office365 AD,https://jobs.51job.com/changshu/173131632.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
售前工程师,儒拉玛特自动化技术（苏州）,1-2万·14薪,苏州·苏州工业园区,苏州,本科,1-3年,2026-08-05 14:37:01,job51,"岗位职责：
1. 需求调研与方案定制：对接客户，深入调研客户视觉检测、非标自动化视觉改造需求，开展现场调研、样品测试、技术交流，精准梳理客户痛点；结合公司视觉系统软件、智能相机、视觉检测装备、非标视觉设备、可落地的视觉解决方案；30%
2. 方案撰写与演示讲解：独立完成售前技术方案、报价单、PPT材料的撰写与优化，突出产品优势、技术参数、实施流程、成本效益；面向客户进行方案演示、技术答疑，清晰讲解视觉系统原理、设备性能、落地效果，打消客户技术顾虑；30%
3. 技术支持与竞品对标：参与项目招投标工作，负责技术标书编制、技术应答、现场答标；梳理行业竞品优劣势，结合公司产品特点优化方案话术，提升中标率；10%
4. 跨部门协同与项目衔接：联动销售、研发、工程团队，同步客户需求与方案细节，协助完成样机调试、技术验证、样品检测等工作；项目中标后，做好技术交底，保障项目顺利进入实施、交付阶段；20%
5. 产品赋能与资料沉淀：收集整理行业典型案例、客户需求痛点，沉淀标准化方案库、产品技术资料；协助团队进行产品培训、技术普及，提升整体团队专业度。10%

任职资格
1. 本科及以上学历，机器视觉、自动化、机电一体化、电子信息、计算机相关专业，1-3年视觉行业售前工程师经验，有非标自动化、视觉检测设备项目售前经验者优先。；
2. 1-3年机器视觉 / 工业自动化领域销售经验，熟悉机器视觉系统原理，熟悉智能相机、视觉软件、检测装备的技术参数、应用场景，能独立完成方案设计、样品测试、效果验证；
3. 熟悉智能相机、视觉检测系统等产品，深入理解半导体、汽车、3C 等核心行业的应用场景与客户需求；
4. 具备丰富的行业大客户资源（如半导体设备商、汽车主机厂、大型 3C 制造企业），有成功的大额订单成交案例；
5. 具备扎实的文案撰写能力，能独立编制高质量售前方案、技术标书、报价文件；熟悉CAD、Office、视觉调试软件等工具，懂基础视觉算法者优先；
6. 沟通表达能力出众，逻辑清晰，能高效对接客户技术团队、管理层，做好技术讲解与答疑；具备良好的应变能力，能快速解决售前阶段各类技术问题；
7. 有明确的业绩目标感，具备市场开拓精神与资源整合能力，能突破业绩瓶颈",技术方案 技术支持 招投标 培训 方案设计,https://jobs.51job.com/suzhou-gyyq/171267082.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
数字政府业务部软件需求工程师,江苏江南商贸集团,8.5千-1.2万,常熟,苏州,本科,1年,2026-07-23 13:16:16,job51,"此岗位为江南集团下属常信公司招聘。
（一）岗位职责 
1.负责数字政府信息化项目对接与业务调研，梳理业务流程与应用场景，形成清晰、可执行的功能性与非功能性需求，优化需求管理体系；
2.编制需求规格说明书、流程图、用例图、原型等产出物，组织多方需求评审，统一各方认知，明确需求范围与需求细节；
3.统筹项目需求迭代管理，完成需求分级、优先级规划与版本管控，规范需求变更并评估影响，平衡项目进度、成本与业务价值；
4.挖掘数字政府智能应用场景，基于大模型、智能体等技术制定AI落地方案，联动研发团队推进智能功能落地；
5.运用各类AI工具赋能业务调研、需求梳理、文档编制、问题复盘等工作，沉淀标准化工具使用规范，持续提升工作效能与交付质量；
6.全程跟进研发、测试、验收全流程，及时解决实施堵点，收集用户反馈迭代优化需求，沉淀可复用的需求与项目管理经验。
（二）任职要求
1.统招本科及以上学历；
2.年龄要求在45周岁及以下（1981年1月1日以后出生）； 
3.具有政府投资信息化项目建设、管理经验，熟悉招投标流程及苏采云平台、数字底座架构、软件国产化要求、政务数据和政务云资源申请流程；
4.熟练使用思维导图、Visio、墨刀等工具；
5.具备良好的沟通表达能力、组织协调能力、文档编写能力；
6.具备高度的责任心、进取心和主动性；
7.计算机类相关专业优先。",大模型 项目管理 招投标 文档编写 Visio,https://jobs.51job.com/changshu/173016311.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
AI售前顾问,达智汇科技服务（苏州）,1.5-2.8万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-07-22 16:31:48,job51,"岗位职责：
1. 深挖制造业客户痛点，结合伏羲工业AI平台输出匹配售前解决方案
2. 主导产品演示、技术宣讲、招投标全流程，推动项目签约落地
3. 协同技术、实施团队做好需求传递与交付衔接，沉淀行业方案模板
任职要求：
1. 2年+制造业/工业软件/AI产品售前经验，懂生产流程、MES/ERP系统优先
2. 能独立完成需求调研、方案撰写、讲标答疑，有工业AI项目签单案例加分
3. 理解无代码工业AI产品价值，擅长匹配客户场景，沟通演示能力强
4. 适应出差节奏，能扛项目攻关压力，学习应变能力突出

加分项
1. 熟悉生成式AI应用
2. 手握制造业客户资源
3. 具备英文沟通能力",招投标 MES,https://jobs.51job.com/suzhou-gyyq/170167506.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
AI智算售前技术经理,苏州麦迪斯顿医疗科技,1.5-2万,苏州,苏州,本科,3年及以上,2026-08-05 16:08:24,job51,"岗位职责
1、技术赋能销售：作为销售团队的核心技术搭档，独立负责AI服务器、智算中心、大数据及信创等领域的项目，主导客户技术交流、需求挖掘与引导，提供专业解决方案以促成业绩达成。
2、方案设计与呈现：独立完成从需求分析、产品选型、方案编写到PPT制作的全过程，并能面向客户进行高质量的方案宣讲与演示，精准传递产品价值。
3、招投标全流程负责：独立主导投标项目，负责技术方案撰写、产品配置与询价、标书整合及现场述标答疑，对中标率负责。
4、项目全周期管理：承担售前项目经理角色，协调内外部资源，推动项目从售前支持到中标交付的有序进行，确保项目顺利转化。
5、行业知识沉淀：建立并持续更新所负责领域的售前技术资料库、典型案例和标准化方案，提升团队整体作战能力。
任职资格
1、经验要求：本科及以上学历，计算机、通信、人工智能等相关专业；具备3年以上IT行业售前工作经验，有中科曙光、华为、新华三、浪潮等主流厂商背景者优先。
2、技术能力：
a、硬件基础：精通AI服务器（GPU/NPU）、存储、交换机等硬件产品技术体系。
b、架构视野：熟悉超算/智算中心整体架构（计算/存储/网络/安全/管理），了解AI大模型训练/推理的算力配置与集群方案。
c、信创专家：深刻理解国产化（信创）生态，熟悉海光、鲲鹏、飞腾等CPU及麒麟、统信等操作系统。
3、核心素质：
a、独立作战：具备极强的自驱力和独立工作能力，能同时支持多个销售项目并高效推进。
b、沟通表达：拥有出色的方案撰写能力（PPT/Word）和现场演讲能力，能与客户各级别人员进行有效沟通。
c、流程精通：熟悉招投标及政府采购流程，有从0到1支持项目中标的成功案例。",大模型 方案设计 需求分析 招投标 投标 技术方案 采购,https://jobs.51job.com/suzhou/173163801.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
技术支持（苏州、杭州、上海）,深圳市东微智能科技,6千-1万,苏州,苏州,本科,1年及以上,2026-06-12 19:02:49,job51,"职责描述： 
1.负责公司产品的安装及调试等交付工作； 
2.完成售前相关基础工作，如清单配置、方案编写、绘制图纸等；
3.负责常规产品的演示、客户培训工作； 
4.负责客户需求的收集；

任职要求： 
1.本科及以上学历，计算机、网络、音响工程、电子技术等相关专业优先；
2.经验不限；
3.熟悉专业音视频基础理论知识，具备同行业交付类工作经验优选；
4.具有上进心及工作热情、善于主动沟通、具备良好的团队合作精神；
5.抗压能力强，精神面貌好，吃苦耐劳，情绪稳定，可接受出差。",培训,https://jobs.51job.com/suzhou/171427502.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
售前技术支持,苏州易泰勒电子科技,6-9千,苏州·苏州工业园区,苏州,本科,1年及以上,2026-06-29 11:58:33,job51,"1、客户技术支持：参与客户组织或参加的项目评审、技术讨论活动，进行技术演示、讲解、答疑等。
2、市场技术支持：配合销售部的项目谈判和产品推广，进行技术材料的撰写、演示、项目应标等。
3、项目进度管理：全面负责项目计划，把控项目对接，项目备料，项目实施，项目竣工，项目培训，项目验收等过程，确保项目按时完成。
4、项目成本管理：全面负责项目施工质量及施工成本，质量符合业主要求，成本满足公司成本控制要求
5、项目资料管理：对全面负责的项目资料，从对接，实施，验收等相关资料准确输出及保存
6、定期受训，学习公司产品及系统性知识，每月不少于3小时
7、完成上级主管临时交代的工作

岗位要求:
1.籍贯：不限
2.专业：计算机学科、物联网通信学科
3.学历：本科
4.英语：英语四级
5.计算机或项目管理行业从业经验一年以上，有管理经验优先
6.能独立完成产品解决方案的编写
7.了解基本的网络知识，可以完成简单的局域网组网搭建
8.熟悉SQLserver、MySQL数据库增删改查语句
9.其他要求：要有责任心。",SQL MySQL 技术支持 进度管理 培训 成本控制 项目管理,https://jobs.51job.com/suzhou-gyyq/172722145.html?s=sou_sou_soulb&t=0_0&req=9711d384e03f70220a2f7e2a0c76688a
