job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI算法研究员,光子智构（苏州）科技,2.5-5万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-08-06 17:35:34,job51,"岗位职责：
1.	负责医学影像AI算法研发，包括但不限于图像增强、图像重建、图像降噪、图像分割、目标检测、病灶识别、智能诊断、多模态AI及医学大模型等相关算法开发与优化。
2.	负责AI算法方案设计、模型训练、算法优化、代码开发、调试、测试、部署及产品发布，持续提升模型精度、稳定性及运行效率。
3.	负责AI算法在医学影像设备及公司平台中的集成，与影像物理、系统、硬件及软件团队协同完成产品开发及性能优化。
4.	参与CT、CBCT、 DR等医学影像产品AI功能研发，持续优化成像质量及智能分析能力。
5.	负责医学影像数据处理、模型训练、性能评估及算法验证，建立完善的数据分析及评价体系。
6.	编写算法设计文档、医疗器械注册及认证相关技术文档，支持产品研发及注册工作。
7.	跟踪人工智能及医学影像领域前沿技术，推动算法创新、专利布局及论文发表。
8.	指导和支持团队成员解决算法研发过程中的关键技术问题，促进团队技术能力提升。

任职要求：
1.	硕士及以上学历，计算机科学、人工智能、计算机视觉、数学、模式识别、生物医学工程、医学影像等相关专业，具有5年以上AI算法研发经验。博士优先；
2.	熟悉机器学习、深度学习理论，掌握 CNN、ResNet、U-Net、YOLO、Transformer、SAM、多模态大模型、AI Agent 等主流算法，并具备模型训练、优化及工程落地能力。
3.	熟练使用 Python 和 C++ 进行算法开发，熟悉 PyTorch 或 TensorFlow 等深度学习框架，具备良好的工程编码能力。
4.	熟悉医学图像处理相关算法，包括图像增强、重建、降噪、分割、检测、分类等，具有医学影像AI研发经验者优先。
5.	熟悉 Linux 开发环境，了解 OpenCV、CUDA、ONNX、TensorRT 等工具，具备算法部署及性能优化经验者优先。
6.	有 CT、DR、CBCT、X射线医学影像 或医学影像探测器相关项目经验，熟悉 DICOM 标准者优先。
7.	具备良好的科研能力和技术创新能力，有医疗AI产品研发、论文、专利或科研项目经验者优先。
8.	工作积极主动，责任心强，具有良好的沟通协作能力和团队合作精神，能够独立分析和解决复杂技术问题。",多模态 大模型 计算机视觉 机器学习 深度学习 Transformer SAM AI Agent Python C++ PyTorch TensorFlow Linux OpenCV ONNX 方案设计 数据分析 技术文档 专利,https://jobs.51job.com/suzhou-gyyq/173181929.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
算法工程师,苏州镁伽科技,2.5-4万·16薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-08-07 16:02:11,job51,"岗位职责
负责半导体检测AOI设备的AI缺陷检测算法开发与迭代，覆盖三大方向：
视觉检测AOI（显示面板）：粒子检、偏移检测、裂纹、异物、Peeling、脏污、划痕等（LCD/OLED/PCB/ITO产品线）；
晶圆检测：晶圆表面缺陷检测、裂片检测、外挂AI检测系统（客户模型训练、APP/服务部署）；
先进封装：Bonding AOI、清洗AOI、TGV玻璃基检测、激光加工检测（划裂机/开槽检测）；
主导缺陷检测模型的训练、验证与上线：数据采集与标注规范、模型选型、训练迭代、过漏检指标优化（漏检率&lt;1%、过检率&lt;1%）；
负责算法在产线设备的部署与落地：C++推理库集成、TensorRT/ONNX模型转换与推理优化、多线程性能调优，保障产线节拍要求；
参与客户现场过漏检问题排查与算法调优，输出检测方案与验收报告；
沉淀公共算法模块（CBB）：检测框架、推理组件、工具链标准化，提升团队复用效率；
跟踪前沿技术（零样本异常检测、视觉大模型、检测大模型等），推动算法预研与技术选型；
指导初中级算法工程师，参与代码评审与算法发布规范建设。
任职要求（必须项）
硕士及以上学历，计算机/电子/自动化/光学等相关专业，5年以上工业视觉或AI算法经验；
熟练掌握深度学习目标检测/图像分割算法（YOLO系列、Faster R-CNN、U-Net等），有模型从训练到部署的完整落地经验；
精通Python与PyTorch，熟悉模型训练全流程（数据增强、训练策略、调参、评估指标）；
熟练使用OpenCV/Halcon进行图像处理与ROI分析；
具备良好的过漏检分析与指标优化意识，能基于现场数据定位算法问题并迭代；
具备工程化交付能力：代码规范、版本管理、文档沉淀、跨部门协作（软件/测试/售后/客户）。",C++ ONNX 大模型 深度学习 Python PyTorch OpenCV 数据采集 版本管理 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173193528.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
生物信息分析工程师,苏州金唯智生物科技,1.3-2.3万·13薪,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-08-07 16:29:05,job51,"岗位价值：
 作为研发实验室核心成员，您将参与高通量数据分析处理和科研项目交付，以高质量结果支持全球生命科学客户的创新研究。

主要职责：
1. 负责运用统计学方法、各类生物信息软件和现有流程，对高通量测序产生的数据进行分析。
2. 负责二代、三代高通量测序数据分析流程开发。
3. 负责其他项目相关生物信息数据的采集、整理、挖掘和利用。
4. 负责生物信息学分析流程的文档整理。

任职要求：
必备：
1. 具有生物信息学、分子生物学、计算机或数理学相关专业硕士及以上学历。2年以上相关工作经验。
2. 具有较好的编程能力，熟悉Perl/C++/MATLAB/R/Python中的一种或一种以上。
3. 熟悉Linux操作系统，具有高通量测序数据项目分析经验。
4. 能熟练阅读专业文献，自主查阅相关文献，具有较强的分析解决问题的能力。
5. 自我驱动型，沟通、学习能力强，有良好的团队合作精神。

优先：
1. 有三代Pacbio或ONT测序平台数据分析经验者优先。
2. 熟悉常用生物信息数据库，如UCSC、SwissProt、KEGG、NCBI、EBI，了解生物统计学相关知识者优先。

职业发展机会：
 我们提供技术专家和团队管理双通道职业发展路径。您可通过岗位培训、项目实践和跨团队协作，逐步成长为高级技术人员、实验室主管或专业技术专家。",Perl C++ MATLAB Python Linux 数据分析 团队管理 培训,https://jobs.51job.com/suzhou-gyyq/173194228.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
图像算法工程师(J10225),苏州威达智科技,1.5-2.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-08 17:47:54,job51,"工作职责:
1. 负责工业视觉检测算法的开发
2. 使用Halcon进行算法设计与实现
3. 参与深度学习模型的训练与部署
任职资格:
1. 本科及以上学历，3年以上相关经验
2. 精通Halcon，有项目经验
3. 熟悉C++或C#",深度学习 C++ C#,https://jobs.51job.com/suzhou-gyyq/173200588.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
数字电源相关研究员,江苏新安电器,60-100万/年,苏州·相城区,苏州,博士,3年及以上,2026-07-22 15:02:24,job51,"任职基础要求
1、全日制 985 高校电力电子相关专业博士，博士后出站人员优先；
2、博士课题围绕数字电源、宽禁带功率器件、储能变流器等方向，具备前沿课题研究经历；
3、拥有高频小型化电源、双向储能变流器相关专利、学术论文、项目经验
者优先。

任职专业能力要求
1、专注数字电源前沿技术预研：高频化电源、SiC/GaN 器件应用、双向储能变流器、轻量化高密度电源技术；
2、独立完成电路仿真、样机搭建、性能测试，输出技术验证报告、专利、行业技术分析文档；
3、承接校企产学研合作课题，跟踪全球电力电子电源技术发展趋势，输出技术预判；
4、配合数字电源总工完成新品方案验证、算法优化、新技术量产适配工作。

工作方向：数字电源前沿技术预研、新型功率器件应用验证、储能双向变流器技术开发、产学研项目落地。",GAN 专利 性能测试 SiC GaN,https://jobs.51job.com/suzhou-xcq/173004017.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
博士后研究员（科学计算与工程仿真）,材料科学姑苏实验室,2.1-2.6万,苏州·苏州工业园区,苏州,博士,无需经验,2026-07-07 14:36:59,job51,"岗位职责
1.负责多物理场数值仿真与科学计算工具的研发，包括求解器开发、算法优化及仿真工作流搭建
2.独立完成数值实验、数据处理与结果分析，撰写学术论文及技术报告
3.协助指导研究生，参与科研项目申报与实验室建设工作

任职要求
1.计算数学、应用数学、物理、力学、材料、机械、土木、电气、计算机、自动化等相关专业，已获或即将获博士学位
2.熟悉至少一种主流仿真/科学计算工具（如 OpenFOAM、COMSOL、Abaqus、Ansys、Fluent、FEniCS、LAMMPS 等）
3.具备有限元、有限差分、有限体积、PDE 求解、数值优化或高性能计算基础
4.熟练使用 Python 及 NumPy、SciPy、Matplotlib 等工具进行数据处理与分析
5.有完整仿真项目、复杂边界处理或多物理场耦合经验者优先",Python OpenFOAM COMSOL Abaqus Ansys Fluent FEniCS LAMMPS,https://jobs.51job.com/suzhou-gyyq/172823312.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
电机驱动相关研究员,江苏新安电器,60-100万/年,苏州·相城区,苏州,博士,3年及以上,2026-07-22 14:34:20,job51,"任职基础要求
1、全日制 985 高校电力电子、电机拖动相关专业博士；出站博士后优先录用；
2、博士课题聚焦电机驱动前沿技术，具备高校实验室或企业研究院预研工作经历；
3、拥有新型电机控制相关学术成果、产学研合作项目经验者优先。 

任任职专业能力要求：
1、深耕高精度电机控制、新型无传感器算法、宽频域抑振、高速电机驱动等前沿技术预研；
2、独立完成前沿技术调研、系统仿真、样机试制、性能验证，梳理技术迭代路线；
3、负责专利挖掘布局、技术白皮书、学术报告撰写，对接高校开展产学研联合课题；
4、配合电机驱动算法专家完成项目技术验证、算法迭代、量产方案落地支撑。

工作方向：电机驱动前沿技术预研、新技术落地验证、产学研项目协同开发。",专利,https://jobs.51job.com/suzhou-xcq/173003243.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
具身智能算法工程师专家,深圳市麦肯金咨询,4-6万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-07-17 16:19:05,job51,"具身大模型算法工程师-苏州
职位描述： 
参与工业具身大模型的数据采集、清洗、标注与评估。 
实现并优化VLA模型在机器人控制中的推理接口，完成模型压缩与加速。 
配合仿真团队生成大规模合成数据，提升模型泛化能力。 
跟踪前沿大模型技术，进行快速原型验证与效果对比。 

任职要求： 
计算机/人工智能硕士，1年以上自驾或机器人VLA开发经验。 
熟悉VLM，VLA，WAM核心原理与架构，具备深度学习、计算机视觉基础理论与实践经验。
熟练使用Python，熟悉PyTorch/Jax深度学习框架，有完整的VLA/WAM/VLM训练、部署、微调经验，有模型加速、推理优化经验者优先。
熟悉熟悉pi0，pi0.5，pi 0.6，DreamZero，Lingbot-VA等主流VLA/WAM模型架构与实践细节，有相关模型调优经验优先。
具备真实机器人算法实际部署、调试落地经验优先。
熟悉ROS与机器人学基础，熟悉Linux开发环境，代码规范、工程实现能力良好。

具身大模型算法专家（VLA/VLM）-苏州
职位描述： 
研发用于工业具身机器人的视觉-语言-动作（VLA）大模型与可交互世界模型，实现跨任务零样本泛化。 
设计适合工业环境的轻量化大模型架构（蒸馏、量化、混合专家），支持边缘端实时推理。 
探索基于世界模型的预测、规划与因果推理能力，提升机器人在非结构化环境中的自主性。 
带领团队构建具身多模态数据集，设计预训练与微调策略。 

任职要求： 
博士，深度学习/多模态方向，3年以上大模型（如LLaVA、PaLM-E、RT-2系列）研发经验。 
熟练使用PyTorch/TensorFlow，大规模分布式训练及模型部署（TensorRT，ONNX）。 
有世界模型或基于模型的强化学习论文或落地项目者优先。 
优秀的算法创新与工程落地平衡能力。

机器人基础模型 / 世界模型 (Robot Foundation Models / World Models)-苏州深圳北京
机器人基础模型 / 世界模型 (Robot Foundation Models / World Models)-苏州深圳北京
多模态训练算法工程师（ 预训练 / 后训练 ）-深圳
模仿学习算法研究员-深圳",大模型 深度学习 计算机视觉 Python PyTorch ROS Linux 多模态 TensorFlow 分布式 ONNX 数据采集,https://jobs.51job.com/suzhou-gyyq/172953332.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
算法工程师（AOI工业视觉）(J10006),诺德凯（苏州）智能装备,1.5-2.5万·14薪,苏州·吴中区,苏州,硕士,3-5年,2026-08-07 10:50:52,job51,"工作职责:
岗位职责：
1、根据不同项目完成算法编写与调试，常用技术有图像检测，图像跟踪，图像定位，图像拼接，形位公差的各种测量；
2、视觉算法研究及开发，主要方向为工业缺陷检测；
3、维护现场设备算法，协助分析设备算法问题，编写相关资料文档。
任职资格:
任职要求：
1、统招本科及以上学历，3-5年工业视觉算法经验，半导体行业经验是加分项。专业为计算机、机器视觉、自动化、数学、通讯、测控；
2、具有丰富的使用Halcon的机器视觉经验；
3、有较好的数学功底，能吃苦耐劳，动手能力强，有很好自我约束能力。
4、有c++、c#开发经验，具备良好的编程能力。
5、具备主导或者参与过产品研发/搭框架的能力。",C++ C# c#,https://jobs.51job.com/suzhou-wzq/173187290.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
VLA算法工程师,苏州镁伽科技,3-5万·16薪,苏州·苏州工业园区,苏州,硕士,1年及以上,2026-08-07 16:07:03,job51,"工作职责:
具身大脑的研发工作
任职资格:
1、计算机、人工智能、自动化等相关专业硕士以上学历，985院校优先；
2、具备扎实的深度学习基础，熟悉 Transformer/BERT/VIT/CLIP/BLIP等主流视觉语言模型框架；
3、有大模型（VLM/LLM）训练推理优化的经验，熟悉其在多模态任务中的应用；
4、有VLA建模、生成式扩散模型例如（diffsuion、flowmaching）、多模态强化学习相关的技术背景；
5、熟练使用TensorFlow、PyTorch等深度学习框架，具备良好的工程能力与代码实现的能力；
6、具有良好的沟通能力与团队协作的能力，具备解决问题与接触新知识快速学习的能力；
7、熟悉开源大模型，例如PI0、RT2、GROOT N1、OpenVLA等，并有实际的使用经验与优化重构的能力；
8、熟悉具身智能领域常用的数据集；",深度学习 Transformer BERT CLIP 大模型 LLM 多模态 TensorFlow PyTorch,https://jobs.51job.com/suzhou-gyyq/173193654.html?s=sou_sou_soulb&t=0_0&req=e35822c6c5306903a3a05ee602ee6a0c
