job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
机器人工程师,知来具身智能科技（苏州）,8千-1.6万,苏州·吴江区,苏州,本科,1年及以上,2026-07-15 18:52:24,job51,"岗位职责：
1、负责六轴工业机器人及轻量化机械臂工作站的系统集成与核心应用开发，主导打磨、泡沫修边、飞拍检测等典型工艺场景的调试与落地，确保机器人在复杂工况下的作业精度与稳定性。
2、协助执行在机器人工作站场景下的标准化测试与数据采集，配合算法团队推动具身智能技术的落地与优化。
3、主导机器人项目的现场部署、调试与端到端验收测试，快速解决客户现场的操作异常；负责对驻厂工程师进行系统性的技术培训与带教，输出标准化的运维文档，提升团队整体交付与问题解决能力。
任职要求：
1、本科及以上学历，计算机、自动化、机器人工程、电子工程或机械电子等相关专业。
2、熟练掌握至少一种主流六轴工业机器人（如发那科、库卡、ABB、安川等）或轻量化机械臂（如UR、遨博等）的示教编程、离线仿真与调试，具备复杂工艺路径的规划与优化能力。
3、熟悉机器人基本工作原理，具备ROS/ROS2框架的实际开发经验；掌握机械臂运动控制（如MoveIt、抓取规划）中至少一个方向的应用开发能力。
4、熟悉机器视觉系统的安装与调试，了解常见工业相机、光源及视觉检测原理，有环绕飞拍或视觉引导抓取/打磨项目经验者优先。
5、具备极强的责任心、细致的观察力与数据敏感度；拥有出色的跨团队沟通能力和技术文档撰写能力，能适应短期出差，并具备良好的技术分享与带教意识。
加分项：
1、有打磨、抛光、修边、飞拍检测等非标自动化工作站的完整项目交付经验。
2、熟悉ROS/ROS2框架，掌握Python或C++，具备机械臂运动控制或二次开发能力。",ROS Python C++ 数据采集 培训 技术文档,https://jobs.51job.com/suzhou-wjq/172926344.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
机器人测试工程师,上银科技（中国）,5-8千,苏州,苏州,本科,无需经验,2026-06-17 14:56:19,job51,"工作职责：
1、参与新产品研发阶段评审，协同整改设计缺陷，制定验证方案并完成测试判定，把关产品设计质量。
2、持续学习半导体及自动化产品的功能、性能等技术指标，追踪半导体及自动化竞品，剖析产品功能及结构，评估优化方向。
任职要求：
1、本科（含）以上学历，机器人、自动化、机械工程、等相关专业。
2、有机器人行业、机械设计及自动化行业工作经验，优秀应届生亦可。
3、了解机器人或机械设计原理，了解 FMEA、8D 报告工具运用，进行产品验证规划及数据分析。
4、具备良好的学习能力，沟通能力及分析与解决问题的能力。",产品设计 数据分析 FMEA,https://jobs.51job.com/suzhou/172596541.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
机器人二次开发工程师,苏州苏境智能科技,8千-1.5万,苏州·吴中区,苏州,本科,1年及以上,2026-07-20 16:14:50,job51,"【岗位职责】
1.	基于厂商机器人/控制平台进行功能定制与优化，覆盖运动控制、视觉识别、人机交互等模块，满足行业场景需求。
2.	对接不同厂商硬件/软件接口（SDK/API），完成多品牌系统集成与兼容性调试，解决多机器人协同、跨平台通信、数据融合等关键问题。
3.	负责需求调研—方案设计—现场部署调试—用户培训—运维支持—版本迭代的全流程交付，确保按时、高质量交付。
4.	输出技术方案、接口文档、测试标准、调试手册、用户操作指南等，沉淀标准化交付知识库。
5.	协同研发将现场问题与需求转化为产品迭代建议，提升稳定性与场景适配能力。
【任职要求】
1.	学历专业：本科及以上，机器人、自动化、计算机、电子信息、机械电子等相关专业。
2.	编程与系统：熟练Python/C++，具备Linux环境下的开发、编译、调试与问题定位能力。
3.	机器人框架：熟悉ROS/ROS2，理解节点通信、参数/服务/动作、TF/坐标变换等；能基于厂商SDK/API完成功能集成。
4.	工程与交付：具备系统集成与现场部署经验，能独立推进项目进度与风险控制；了解通信协议（TCP/UDP、串口、Modbus、OPC UA、DDS 等）者优先。
5.	场景能力：有工业机器人/服务机器人/特种机器人应用或多机器人协同项目经验者优先；具备视觉标定、手眼标定或路径规划/SLAM工程经验者优先。
6.	软技能：良好的沟通协作、文档规范、问题分析与客户培训能力；可适应短期出差。
7.	工作经验：1年以上（包括实习期）",Python C++ Linux ROS Modbus SLAM 方案设计 培训 技术方案 知识库 产品迭代,https://jobs.51job.com/suzhou-wzq/169929004.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
人形机器人开发工程师（实习生）,苏州辰瓴光学,300元/天,苏州·苏州工业园区,苏州,硕士,无需经验,2026-06-30 16:22:52,job51,"岗位职责：
1、延续二次开发，实现机器人的常规动作（欢迎、舞蹈、搬运等），避障优化，关节柔性动作、刚性调节
2、地图构建，实现机器人的路径规划、视觉引导搬运动作
3、机器人语音交互，达到与人交流，并准确作出相应决策动作，比如设备上下料动作
4、机器人人脸识别，能够准确识别不同人物特征，并显示该人物姓名、性别等信息
5、机器人语音交互，语音讲解功能
6、机器人面容ID库、声控、触控操作
7、机器人动态任务调度(忙时做导购、接待；闲时进行货架巡检、理货、补货等后台工作)
8、巡检任务调度与远程控制系统
岗位要求：
1、熟练 ROS2 / Ubuntu / Python / C++，有商用服务机器人二次开发经验优先；
2、熟悉SLAM建图、路径规划、动态避障、多机调度优先；
3、有钛虎/云迹/优必选/普渡任意一种商用机器人开发经验优先；
4、能独立完成现场调试、问题排查，能适配商场复杂人流环境。
5、硕士及硕士以上优先",ROS Python C++ SLAM ROS2 Ubuntu,https://jobs.51job.com/suzhou-gyyq/172743378.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
机器人工程师,儒拉玛特自动化技术（苏州）,7千-1.2万·14薪,苏州·苏州工业园区,苏州,本科,1年及以上,2026-08-05 14:37:00,job51,"岗位职责：
1. 按照设备制造工艺流程和客户要求，设计Robot控制系统纸以及软件编程、调试。
2. 执行项目的进度要求和质量要求，把控项目预算，按时完成相关工作
3. 配合机械部门进行设计、可行性、可制造性的评估以及执行
4. 向设计组长、项目负责人、项目经理、以及部门总监汇报项目异常情况，及时处理项目疑问以及解决导致项目延期的因素。
5. 装配过程，对相关装配人员进行解释指导，保证迅速高质量的完成装配。
6. 对售后服务部门给予支持和指导，给予销售相关的技术咨询和支持
7. 保证自身负责项目的所有资料完整性和服务器的同步更新（程序、照片等所有服务器目录下的资料）
8. 向其他电气工程师及Robot工程师提供技术支持以及相互技术交流
9. 配合部门内部完成相关标准化流程以及工作，内部培训等
10. 履行组长、项目负责人、主管以及总监安排的相关其他工作
11. 执行电气部门的设计规范和设计标准（参考电气工程师手册）
12. 上级指定的其它工作

任职资格
1.本科及以上学历，Robot以及相关专业。
2.了解非标自动化行业的Robot控制开发设计经验，熟悉非标设备开发流程
3.了解非标设备开发的常规风险实效分析以及过程
4. 熟悉主流Robot编程开发，如ABB，KUKA，汇川等，1年以上编程经验，熟练使用相关的通讯以及网络模块等
5. 良好的沟通能力、人际协调能力及团队协作能力
6. 较强的英语听说读写能力",技术咨询 技术支持 培训 KUKA,https://jobs.51job.com/suzhou-gyyq/172806464.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
机器人调试工程师,苏州汇纬自动化设备,8千-1.2万·13薪,苏州·吴中区,苏州,大专,1年,2026-08-04 17:28:53,job51,"职位要求：
1.有志于从事机器人行业，喜欢编程。
2.有一定的单片机基础，会PLC编程优先。
3.熟悉汇编语言及C语言。
4.良好的团队意识，有责任心，上进心强，学习能力强。
5.能适应出差。
6.在校期间如有竞赛经验者优先。
工作内容：
负责机器人的调试和培训，品牌：YASKAWA，发那科，ABB，汇川等品牌。",单片机 汇编 C语言 培训 YASKAWA ABB,https://jobs.51job.com/suzhou-wzq/171809117.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
机器人测试工程师,泓浒（苏州）半导体科技,9千-1.2万,苏州·相城区,苏州,本科,1-5年,2026-07-27 11:39:48,job51,"1.负责机器人控制软件使用；
2. 负责机器人电气相关线路测量及连接；
3.负责机器人平台搭建；
4. 负责制机器人运动性能测试方案实施；
5.负责机器人简单电气相关问题排查；
6.负责分析测试问题，编写测试分析报告。

1.对于半导机器人有一定的了解；
2.具备电机基础知识，能够熟练使用一些品牌驱动器进行电机调参；
3.对机械结构有简单认知；
4.了解编码器及相关知识；
5.对工业软件有相关接触；
6. 工作年限1-5年。",性能测试,https://jobs.51job.com/suzhou-xcq/173048699.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
具身智能 Agent 系统工程师,苏州钧舵机器人,3.5-5万,苏州·吴江区,苏州,本科,无需经验,2026-07-28 15:26:10,job51,"负责机器人上层智能系统的设计、开发与部署。该岗位重点不是单点算法，而是构建类似 dimOS / Robotics Agent Runtime 的上层任务规划、调度、执行与系统集成框架，让机器人能够理解任务、拆解任务、调用技能、监控状态并完成闭环执行。
岗位职责
1. 设计并开发机器人 Agent 上层架构，包括任务理解、任务分解、任务规划、技能调用、执行监控与异常恢复。
2. 构建机器人任务调度系统，支持多模块、多进程、多机器人或多技能之间的协同调度。
3. 集成机器人感知、规划、控制、仿真、VLA/LLM、工具调用等模块，打通从自然语言/任务指令到机器人执行的完整链路。
4. 负责 Agent Runtime / Task Manager / Skill Manager / World State / Memory / Tool Calling 等核心模块开发。
5. 设计标准化技能接口，使抓取、移动、导航、视觉检测、仿真验证、数据采集等能力可以被统一调用。
6. 负责系统工程化部署，包括 Docker、ROS/ROS2、服务编排、日志监控、配置管理、远程调试与边缘设备部署。
7. 与算法、机器人控制、仿真、硬件团队协作，将研究原型转化为可运行、可复现、可部署的机器人系统。
8. 参与真实机器人 Demo 和项目交付，提升系统稳定性、可维护性和可扩展性。",Agent LLM Docker ROS 数据采集 Robotics Runtime VLA,https://jobs.51job.com/suzhou-wjq/173069113.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
机器人工程师,太仓竣翔智能科技,6千-1.2万,太仓,苏州,中技/中专,1年及以上,2026-07-30 15:59:34,job51,"岗位需求：
1.机器人应用相关项目的前后期工作，包括客户技术培训支持等
3.机器人系统的配置，示教，编程与调试
4.机器人应用的技术信息收集与整理
任职要求：
1.熟悉FANUC，ABB，KUKA，安川机器人者优先
2.熟悉各种机器人应用工艺者优先；
3.要有团队合作精神，具备组织协调能力；
4.吃苦耐劳，爱岗敬业，有学习上进心
5.能够适应出差",培训 ABB KUKA,https://jobs.51job.com/taicang/173101328.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
工业机器人调试工程师,苏州立创致恒电子科技,7千-1.2万,苏州·苏州工业园区,苏州,大专,1-3年,2026-07-22 17:37:37,job51,"【任职要求】
1、大专及以上学历，自动化、机电一体化或电子相关专业背景；
2、熟悉主流工业机器人（如发那科、ABB等）编程及示教器操作；
3、具备半年以上半导体或精密制造行业设备调试经验优先；
4、掌握电气原理图识读能力，能熟练使用万用表等检测工具；
5、工作严谨细致，具备良好的抗压能力及跨部门沟通协作意识。

【工作内容】
1、负责半导体产线机械臂的现场安装、参数配置及运动轨迹调试；
2、执行设备日常点检与故障排查，优化运行逻辑以提升节拍效率；
3、配合工艺工程师进行良率测试，根据数据反馈调整抓取策略；
4、编写标准化操作手册与维护报告，协助团队解决复杂技术难题。",故障排查,https://jobs.51job.com/suzhou-gyyq/173008345.html?s=sou_sou_soulb&t=0_0&req=35d3e7f9439a469aef189eaefacac566
