job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
华为核心网工程师,华为,11-20k,西安,西安,学生可投,经验不限,90天前更新,liepin,"[职位描述]：
华为OD，负责云化商用版本的运维工作，包括日常维护、故障处理、自动化运维等，通过产品代码或者产品实现定位产品问题，完成商用版本的现网问题处理、工具化需求分析、客户技术交流、产品负向改进技术解决方案实施与指导等。
[职位要求]：
1.通信、电子信息、计算机、软件工程等电子大类相关专业，本科及以上学历；
2.两年以上电子大类相关工作经验；
3.熟练掌握至少一种编程开发语言：C++/Go/C/Python/Java等，具有4g/5g相关项目开发经验者优先；
4.熟悉3GPP、GSMA协议框架，熟悉IP/TCP/HTTP等基础协议，掌握网络通信的基本原理；
5.熟悉IaaS、PaaS、SaaS等领域知识，熟悉业界云计算OpenStack等主流平台；
6.熟悉微服务架构、分布式软件架构等，有一定的软件架构设计经验，熟悉Docker、Kubenets等容器相关技术。",C++ Go Python Java 4G 5G 微服务 分布式 Docker 需求分析,https://www.liepin.com/job/1940889453.shtml
核心网工程师,西安华为,15-30k·13薪,西安,西安,学生可投,经验不限,90天前更新,liepin,"职位描述：
负责4、5G通信产品的现网问题定位，指标维护等

任职要求：
1、熟悉NR、LTE网络协议流程的优先
2、具备C/Python/GO/Java/C++等其中一种语言基础；
3、计算机及相关专业本科及本科以上学历；",5G LTE Python Go Java C++,https://www.liepin.com/job/1957366061.shtml
核心网工程师,华为,11-17k,西安,西安,学生可投,经验不限,90天前更新,liepin,"5c可信开发工程师
1、聚焦5G/MV等核心网产品研发能力,解决系统工程、质量管理、研发工具、开源及第三方管理、配置数据管理等痛点问题,提升产品研发端到端效率；
2、负责平台微服务软件Devop系统的架构设计、编码实现工作,持续进行系统调优,提开研发效率;
3、负责落地软件工程能力的各种安全基线要求,实现研发过程的可信能力交付;
4、负责业界开源及第三方管理工具和软件工程方法及工具的洞察,并将优秀实践、方法和工具进行引入和推广。
【岗位要求】
1、熟悉CI/CD, Devop等工程方法与工具(如: git, Jeckins Maven);
2、至少精通C/++、JAVA、Javscript. Python，Golang等一种或多种主流编程语言,熟悉linux/Unix操作系统;
3、熟悉微服务架构、设计模式、敏捷开发流程和软件工程;
4、熟悉当今主流的软件开发环境工具链,有云化、DevOps、 SRE、 AIOps等软件工程能力构建经验者优先。",5G 微服务 CI/CD Git Maven Java Python Golang Linux Unix DevOps,https://www.liepin.com/job/1941201811.shtml
核心网工程师,华为技术有限公司西安研究所,8-12k,西安,西安,学生可投,经验不限,90天前更新,liepin,"音视频媒体开发工程师

￼

● 岗位描述

负责华为媒体面产品的设计和开发工作，专注媒体面音视频架构、算法、体验、性能的深入研究，支撑媒体面产品音视频竞争力持续提升，构筑业界最佳音视频体验。


● 岗位要求

1、计算机、通信、电子、自动化等相关专业本科及以上学历，1年及以上开发工作经验；

2、熟练掌握C/C++/Java语言之一，熟悉ARM和Linux，熟悉编译原理和系统结构；

3、掌握音视频编解码算法及算法性能优化技术，掌握TCP/IP、HTTP等网络通信和协议基础知识，掌握安全加密、隐私保护等规范和要求者优先；

4、熟悉公有云和Cloud Native系统架构，熟悉服务化和容器体系架构，掌握SOLID设计原则和常用设计模式者优先。


● 工作地点   西安

",C++ Java ARM Linux TCP/IP 加密,https://www.liepin.com/job/1926412499.shtml
核心网开发工程师,Baicells 佰才邦,15-25k,西安-高新区,西安,学生可投,经验不限,90天前更新,liepin,"岗位职责
1，开发板载核心网和服务器核心网。
2，维护外场的板载核心网和服务器核心网功能。
任职要求
1，熟悉IMS方向的开发和原理。
如果对5G核心网5GC、4G核心网EPC了解更好。
2，熟悉TCP、UDP等传输协议。
3，熟悉C代码和linux开发。
4，思路清晰，能融入团队。",5G 4G Linux,https://www.liepin.com/job/1958705531.shtml
4/5G无线核心网开发工程师(EPC/5GC)应届毕业生招聘,杭州红岭通信息科技有限公司,6-8k,南京,南京,学生可投,经验不限,90天前更新,liepin,"技能要求：
C/C++语言,移动通信，TCP/IP
工作职责：
• 承担4/5G核心网产品研发工作，保证其各项指标和功能等满足要求；
• 支持软件系统测试，支持测试\客户问题等Issue分析和定位，及时修复BUG；
• 自驱动的持续改进，包括但不限于代码优化、性能优化等；
职位要求：
• 通信、网络、计算机、软件、电子信息及相关专业，全日制大学本科应届毕业生；
• 熟悉TCP/IP等常见的网络协议，有在通信公司的实习经验优先，有了解核心网相关知识者优先；
• 熟悉一种或多种后端语言（C/C++/Java/Go），了解设计模式，了解软件架构；
• 工作认真细致, 主动性强, 具有良好的沟通能力、团队合作能力、学习能力和独立分析/解决问题能力；
• 具有激情，能够承担较大的工作强度和压力；
• 英语四级，能熟练阅读英文技术文档；",C++ TCP/IP 5G Java Go 技术文档,https://www.liepin.com/job/1928203099.shtml
5G应用、核心网解决方案工程师,中移集成,12-15k·16薪,南宁,南宁,学生可投,经验不限,90天前更新,liepin,"岗位职责：
1、深入理解5G产品特性和解决方案，研究5G无线、网络切片等相关新技术。把握5G发展趋势，推广构建部门内部专业信息网络。
2、参与5G专网端到端的解决方案和项目交付。负责5G产品特性和解决方案的输出、测试执行、交付输出。并将相关产品特性技能导入维护和客户服务
3、深入理解客户5G应用场景，与客户的技术交流和新技术展示。
4、分析端到端产品及网络行业发展趋势，挖掘价值需求推动并牵引客户网络演进，并在解决方案中得到落地并有效提升行业竞争力。
5、广泛开展合作，拓展5G战略合作伙伴。
6、参与5G+DICT项目扩展与集成交付，为”5G+行业”客户提供一站式咨询、解决方案和交付服务。
7、研究分析5G+DICT、工业互联网、新型基础设施相关信息化改造政策，分析产业发展趋势，挖掘新技术、新商业模式在相关行业的应用。
岗位要求：
【教育与专业】
1、全日制统招大学本科及以上学历，通信、信息等相关专业
【技能】
1、对通信原理，计算机网络，TCP/IP协议or 3Gpp协议，C++ or Java，TTCN，Python等专业知识有一定了解的优先考虑。
2、具有无线通信行业的版本开发、测试，项目交付以及客户界面工作经验的优先考虑。
3、具有一定工作经验。有无线通信（5G/NBIOT/LTE/UMTS）、核心网、5G应用的设计、开发、测试及项目交付等工作经验者优先考虑。
4、具有敏锐的市场感知，把握市场动态和市场方向的能力，对市场信息具有独到的分析判断能力。",5G TCP/IP C++ Java Python LTE 客户服务,https://www.liepin.com/job/1931540483.shtml
5G核心网技术支撑工程师,武汉星米空间信息技术有限公司,12-24k,武汉,武汉,学生可投,经验不限,90天前更新,liepin,"负责核心网IMS,MEC,交换机及各网元维护和保障
有核心网技术支持工作经验，熟悉核心网业务流程及设备配置，维护和保障相关知识者优先",技术支持 MEC,https://www.liepin.com/job/1946214257.shtml
中兴IPRAN/PON/核心网/数通工程师,中通服建设有限公司,7-11k,宁波,宁波,学生可投,经验不限,90天前更新,liepin,"职责描述：

1、根据需要完成公司设备在局方的工程勘察、开通、运行维护、设备初验、终验等相关售后工作；

2、主要负责相关产品的优化、调试、日常维护和技术支持及技术信息的收集、整理；

3、不断提升自身的工作规范性和产品技能水平，并对内部员工及用户进行技术培训；

4、在工作现场与用户沟通协调；

5、能适应省内长期出差，思维活跃，兴趣广泛，热情，自信，知识面较宽；

6、能够完成公司安排的各项工作，以及项目交付工作。
一、职位名称：

PON/IPRAN/数通/核心网工程师

二、招聘人数：5人

三、学历要求：大专及以上学历

四、工作地点：浙江省（宁波、嘉兴、舟山）

五、薪资待遇: 薪资面议 五险一金 提供宿舍



任职要求：
1、大专及以上学历，通信、电子、计算机等相关专业；

2、具有较好的相关专业技术能力，有相关工作经验者优先；

3、具有吃苦耐劳的敬业精神，能够适应经常出差，并能承受一定的工作压力；

4、服从工作安排，有团队精神，并富有积极主动工作态度，责任心强",技术支持 培训 PON IPRAN,https://www.liepin.com/job/1952042465.shtml
核心网协议开发工程师,广哈通信,11-20k·14薪,广州,广州,学生可投,经验不限,90天前更新,liepin,"职责描述：
1. 负责核心网协议栈软件产品规划及需求定义；
2. 负责核心网协议栈的设计与开发，解决重大技术问题；
3. 负责核心网信令协议与数据通信类开发工作；
4. 负责核心网协议栈的高性能和高可靠性设计；
5. 负责问题定位分析、跟踪和故障解决；
6. 参与设备联调或整系统联调。

任职条件：
1. 通信、电子、计算机或相关专业，本科或以上学历，2年以上工作经验；
2. 熟练掌握C/C++等编程语言；
3. 熟悉Linux、DPDK，具备相应的开发经验；熟悉Docker、K8S、openstack优先。
4. 具备丰富的AMF/SMF/UDM/UPF/PCF/SGSN/GGSN/MME/SGW/PGW/IMS等移动核心网开发经验；
5. 熟悉移动核心网网络架构、技术演进、接口协议栈和业务流程；
6. 具备核心网协议栈开发经验者优先；
7. 熟悉NFV/SDN相关技术者优先；
8. 工作积极主动，责任心强，良好的文档习惯，具备较好的沟通能力和团队合作精神。

公司福利：
1.工时安排：每周一到周五（8：30-17:30），5天8小时制，周六日双休；
2.工 作 餐：免费提供工作餐，多种菜式任选，丰俭由人；
3.假期安排：享有国家法律规定的休息日、工伤假、婚假、产假及带薪年假等；
4.社会保险：享有养老、医疗、工伤、失业、生育、重大疾病；
5.住房公积金：员工享有住房公积金福利；
6.公司班车：公司为员工开设免费上下班班车免费接送员工上下班；
7.员工体检：公司每年为全体员工提供免费体检；
8.员工活动：羽毛球、足球、篮球、乒乓球、游泳等每周定期活动；
9.其他福利：各类过节福利、生日礼金、节日礼品以及其他福利等等。",C++ Linux Docker K8s 产品规划 DPDK K8S SMF,https://www.liepin.com/job/1936056247.shtml
