job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
搜索算法（27届提前批）,拼多多集团-PDD,25-40k·16薪,上海-长宁区,上海,硕士,应届,7月15日更新,liepin,"27届研发提前批招聘中！不影响秋招正式批投递（7.6-8.23）

互联网大厂，具有竞争力的起薪，HC多，项目实践机会多，流程推进速度快！

岗位职责
1、利用机器学习/深度学习技术/图计算技术，优化app内外搜索、推荐、广告、图像、风控、智能客服、平台等效果，提升数亿用户的购物体验和平台的变现效率；
2、深入产品和业务，发现算法和机制中的不足，提出改进方案并且推动实现；
3、跟踪业界和学术界最新进展，将理论成果应用到业务场景，提升业务效果。
任职要求
1、2027届毕业生，硕士及以上学历，计算机相关专业，对算法有浓厚兴趣；
2、具备强悍的编码能力，熟悉linux开发环境，熟悉TensorFlow、PyTorch、Hive优先；
3、具备扎实的数据结构功底，熟悉机器学习、深度学习、图计算、自然语言处理、数据挖掘中一项或多项；
4、对大语言模型、用户增长、搜索引擎、推荐系统、计算广告、图像、互联网风控、智能客服、平台等相关领域有经验者优先；
5、具备较好的数理基础和逻辑分析能力，对解决具有挑战性的问题充满激情，具备较好的主动性和团队合作精神。
 

截止日期：2027年07月07日
招聘人数：100人",机器学习 深度学习 Linux TensorFlow PyTorch Hive 自然语言处理 推荐系统,https://www.liepin.com/lptjob/83963521
昆仑万维-搜索算法工程师（校招）(A81147),互联网沪深A股上市10000人以上,30-50k,北京,北京,本科,应届,90天前更新,liepin,"Job Description：
【核心职责】
1. 通过语言模型、相关性建模、序列到序列生成、大模型SFT等手段，优化搜索词补全、搜索词推荐等业务场景，带来快手用户搜索次数和搜索体验的增长。
2. 基于LLM、多模态生成模型等前沿技术，结合用户行为和视频内容理解，探索为视频看后搜等场景生成优质搜索词。
3. 在大量用户数据下，通过用户/表征学习、序列建模等技术创新，挖掘对排序有用的特征信息，提升点击与消费时长预估，持续优化大规模推荐系统的召回、排序算法。

Job Requirements：
【任职要求】
1. 计算机、自动化、数学相关专业本科及以上学历，或您熟悉信息检索/自然语言处理/机器学习/深度学习算法；善于思考，有较强的分析与解决问题的能力。
2. 熟练掌握Java/C++/Python中至少一门语言，能够熟练运用基础数据结构和算法。
3. 在计算机学术会议（SIGIR、SIGKDD、ICML、NIPS、WSDM、WWW、AAAI、CIKM、ACL、RECSYS等）或期刊上发表过论文者优先。

截止日期：2026年11月27日
招聘人数：1人",大模型 LLM 推荐系统 自然语言处理 机器学习 深度学习 Java C++ Python IPS,https://www.liepin.com/lptjob/78780043
搜索算法实习生-社区搜索,小红书,300-400元/天,北京-朝阳区,北京,硕士,,7月20日更新,liepin,"工作职责：
1、短文本理解方向。对海量Query进行自动化的改写、实体抽取等，使得搜索结果更精准；
2、长文本理解方向。对复杂的长文本笔记进行多模态理解、标签建设，为下游提供高质量特征；
3、跟踪业界最新研究成果，并应用到实际产品中；

任职资格：
1、计算机相关方向本科及以上学历；
2、良好的编程能力，熟练运用tensorflow/Pytorch；
3、熟悉常见的机器学习和NLP算法，了解当前热点和前沿技术；
4、有高水平会议或期刊论文者优先；

截止日期：2027年07月20日
招聘人数：1人",TensorFlow PyTorch 机器学习 Pytorch,https://www.liepin.com/lptjob/84262363
搜索算法实习生-社区搜索,小红书,300-400元/天,上海-黄浦区,上海,硕士,,7月20日更新,liepin,"工作职责：
1、短文本理解方向。对海量Query进行自动化的改写、实体抽取等，使得搜索结果更精准；
2、长文本理解方向。对复杂的长文本笔记进行多模态理解、标签建设，为下游提供高质量特征；
3、跟踪业界最新研究成果，并应用到实际产品中；

任职资格：
1、计算机相关方向本科及以上学历；
2、良好的编程能力，熟练运用tensorflow/Pytorch；
3、熟悉常见的机器学习和NLP算法，了解当前热点和前沿技术；
4、有高水平会议或期刊论文者优先；

截止日期：2027年07月20日
招聘人数：1人",TensorFlow PyTorch 机器学习 Pytorch,https://www.liepin.com/lptjob/84262361
搜索算法,北京鸿盈信息技术有限公司,200-300元/天,北京-朝阳区,北京,本科,,90天前更新,liepin,"职位描述：

1、改进网页搜索相关性，提升在线检索系统的检索质量和排序合理性

2、大规模数据挖据/分析，从海量数据中挖掘搜索相关性特征

职位要求：

1、本科及以上学历，计算机相关专业

2、熟悉Linux平台，编码能力强，熟悉C++/Java/Shell/Python等其中一门编程语言

3、熟悉数据挖掘、机器学习算法

4、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情

5、具有良好的沟通能力和良好的团队合作精神

具有以下条件者优先：

1、计算机领域相关的编程大赛获奖、算法竞赛获奖等

2、有分布式数据处理相关经验，熟悉Hadoop、Hive、Spark等


招聘人数：1人",Linux C++ Java Shell Python 机器学习 分布式 Hadoop Hive Spark,https://www.liepin.com/lptjob/52357323
决策与优化算法工程师-27届,永芯科技(北京)有限公司,20-40k·16薪,北京-通州区,北京,博士,应届,7月30日更新,liepin,"岗位要求：
1. 核心职责
  1) 生产调度优化 (APS)：解决晶圆厂复杂的混合整数规划 (MIP) 问题，研发高精度排程算法，最小化周期时间 (Cycle Time) 与在制品 (WIP)。
  2) 物流路径规划：设计 AGV/OHT 的多智能体路径规划与避障算法，解决动态环境下的交通拥堵与碰撞问题。
  3) 动态控制与强化学习：利用多智能体强化学习 (MARL) 技术，实现设备参数自适应调整 (APC) 及实时调度策略，应对产线波动。
  4) 组合优化攻坚：针对 NP-Hard 调度难题，研发高效启发式算法（遗传、模拟退火、列生成），平衡计算时间与求解质量。
  5) 仿真环境构建：搭建高保真产线仿真环境，用于调度策略与强化学习模型的训练、验证与压力测试。。
2. 涵盖技术
  1) 运筹优化：MIP, 线性规划，列生成，启发式算法 (GA, SA, PSO)。
  2) 强化学习：DQN, PPO, SAC, Multi-Agent RL (MARL), 深度确定性策略梯度。
  3) 组合优化：VRP, JSP, 图搜索算法 (A*, Dijkstra)
  4) 仿真建模：离散事件仿真 (DES), Gym, Ray
任职资格：
1. 专业背景：运筹学、应用数学、控制工程、工业工程或计算机科学相关专业博士学位
2. 技术能力：精通运筹优化算法及强化学习理论，在生产调度、物流规划或动态控制领域有深厚建模经验。熟悉主流求解器 (Gurobi, CPLEX, SCIP) 及多智能体系统。具备极强的数学抽象能力，能将复杂业务约束转化为数学规划问题。
3. 编程能力：精通 Python，熟练使用 PyTorch 及优化求解器接口。具备 C++ 高性能计算或仿真系统开发能力者优先。
4. 加分项：有半导体 APS/AGV 调度或复杂供应链优化项目经验。在运筹学顶刊 (Operations Research) 或 AI 顶会 (NeurIPS, ICML) 发表过论文。熟悉 SECS/GEM 协议及产线控制逻辑。



截止日期：2027年07月30日
招聘人数：1人",Python PyTorch C++ IPS 供应链 APS MIP Cycle,https://www.liepin.com/lptjob/84526537
2027AIDU-智能体算法研究员-伐谋产品部(J102507),互联网美股上市10000人以上,40-70k·16薪,北京-海淀区,北京,博士,应届,7月17日更新,liepin,"职责描述：
岗位方向：面向产业级高价值算法场景，参与建设“伐谋”智能体算法系统，聚焦运筹优化、营销策略决策、科研算法实验等可验证、可审计、可持续演化的复杂任务，探索大模型、智能体、优化算法、评估体系与业务反馈闭环的融合方法。

1. 负责伐谋方向智能体算法体系的研究与研发，围绕“问题建模—候选方案生成—评估验证—专家反馈—策略演化”构建可闭环运行的生产级 Agent 系统；
2. 研究面向高价值决策任务的 Agent 架构，包括任务分解、候选策略生成、多方案搜索、工具调用、代码生成、结果评估、反思修正、长期记忆与反馈沉淀等核心能力；
3. 建设可审计的 Agent 评估验证体系，包括任务级 evaluator、约束检查器、业务指标评估、失败模式识别、专家反馈结构化、case replay、benchmark 对比与验证报告生成；
4. 探索 Agent 自我演化机制，不断跳出局部最优实现持续创新，结合大模型推理、强化学习、搜索算法、程序合成、优化算法与多 Agent 协作，实现候选算法/策略的自动生成、评估、筛选与迭代优化。
任职要求：
1、计算机、人工智能、自动化、运筹优化、软件工程等相关专业博士及以上学历，优秀硕士生亦可考虑；
2、具备扎实的算法和工程能力，能够将研究想法快速实现为可运行系统，熟悉 Python，具备良好的代码质量、调试能力和实验分析能力；
3、熟悉至少一种复杂任务求解方法，包括但不限于启发式搜索、局部搜索、MCTS、遗传算法、强化学习、运筹优化、约束求解、程序合成、自动调参、算法演化等；
4、具备评估体系建设意识，能够围绕真实任务设计评价指标、构造测试集、分析失败 case、建立 benchmark，并推动系统基于反馈持续改进；
5、对产业级 Agent 落地有兴趣，理解通用办公 Agent 与生产级决策 Agent 的差异，认可“可验证、可审计、可闭环、可演化”的系统建设理念。

截止日期：2027年07月17日
招聘人数：1人",大模型 Python 审计 Agent MCTS,https://www.liepin.com/lptjob/84207647
实习生,INFLYNC天翎科航空,150-200元/天,上海-青浦区,上海,本科,,7月22日更新,liepin,"任职要求：
1、本科及以上学历在读，航空相关专业。
2、每周可稳定出勤 3 天及以上，能保证连续实习 2 个月以上。
3、具备极强的学习能力与快速上手能力，对航空 研发领域有浓厚兴趣。
4、工作细心严谨，责任心强，具备良好的沟通能力与团队协作意识。


岗位职责：
1、协助研发工程师完成 eVTOL / 航空相关项目支持工作。
2、具备基本的Matlab脚本编写能力；会编写搜索算法去计算飞行包线
有飞行器飞行性能方面的背景知识。
3、完成研发部门交办的其他辅助性工作，保障项目高效推进。


你能得到：
1、优渥的实习薪资。
2、行业资深工程师 1v1 带教，深度参与 eVTOL 前沿研发项目，积累核心行业经验。
3、开具正式实习证明，表现优异者可获得校招优先录用机会
开放研发全流程学习机会，助力职业成长

截止日期：2027年04月13日
招聘人数：1人",MATLAB eVTOL,https://www.liepin.com/lptjob/81706289
搜索推荐算法实习(J15302),慧策|旺店通(掌上先机),400-500元/天,北京-海淀区,北京,本科,,7月28日更新,liepin,"【公司亮点】
1、业务定位：专注ToB业务，以云计算SaaS模式，提供电商ERP、WMS等一体化智能零售解决方案，助力零售企业数字化升级、提升运营效率。
2、规模布局：2011年成立，现有员工约3000人，设立130+服务网点、覆盖400+城市及海外市场；对接400+主流平台，累计融资超4.52亿美元，创下国内SaaS行业单笔融资纪录。
3、行业实力：累计服务超70万家电商企业，含80+世界500强、500+上市公司；日处理订单1.38亿单以上，市场份额庞大，连续5年登胡润全球独角兽榜单，斩获多项行业荣誉。

【岗位亮点】
1、技术实战：直面日处理1.38亿单、支撑1/3线上交易履约的高并发分布式场景，有机会参与核心技术方案设计，攻坚订单处理等难点，快速沉淀企业级大规模场景实战能力。
2、学习成长：搭建系统化学习体系，覆盖多类职场技能；配备专属导师 1V1 带教，定制阶梯式学习计划，搭配高潜培养与开放交流环境，助力快速成长、学用落地。
3、发展空间：晋升标准清晰量化，每年2次高频晋升窗口，提供专业与管理双发展路径；支持跨部门转岗与轮岗，校招新人平均1–1.5年即可获得晋升，发展灵活透明。
4、福利保障：除基本福利外，为符合条件人才提供北京落户支持；设有长期价值激励与高潜破格晋升机制，让付出与回报同频，个人与公司共成长。

【岗位职责】
1、参与供应链场景下搜推算法全链路实践（召回、排序、特征工程等），结合业务需求优化算法策略，提升供需匹配效率、转化等核心业务指标，沉淀算法实践经验。
2、负责搜推算法模型的Java工程化落地，基于Java技术栈开发线上推理服务、模型部署相关模块，配合工程团队完成系统联调、性能优化，保障模型服务低延迟、高稳定。
3、与团队紧密协作，衔接算法方案与工程实现，梳理算法落地过程中的技术难点，提供合理的工程化解决方案。
4、跟踪搜推算法与Java工程化前沿技术，参与内部技术研讨与分享，在实践中完善自身算法能力与Java开发能力，助力搜推系统迭代升级。

1.教育背景：2026 届及以后毕业，本科及以上学历，计算机、软件工程等相关专业。
2.技术能力：
（1）熟练掌握 Java 编程语言，具备扎实的面向对象编程、数据结构与算法基础。
（2）熟悉 Spring Boot、MyBatis 等主流开发框架，了解分布式系统、缓存(Redis)、消息队列等技术，对高并发场景下的系统设计有一定理解。
（3）对搜索、推荐系统的基本原理有一定了解或兴趣者优先,了解算法模型的工程化部署流程者优先。
（4）有开源项目贡献、技术博客或算法竟赛经验者优先。
3.个人素质
（1）积极主动，有强烈的学习热情和探索欲，愿意兼顾算法与Java工程能力的双重提升。
（2）具备良好的逻辑思维、问题解决能力，能清晰表达算法思路与工程实现方案。
（3）责任心强，具备良好的跨团队沟通协作能力，能快速适应业务与技术节奏。

截止日期：2027年02月28日
招聘人数：1人",高并发 分布式 Java Spring Boot MyBatis Redis 推荐系统 技术方案 供应链,https://www.liepin.com/lptjob/80530857
搜索推荐算法实习(J15302),慧策|旺店通(掌上先机),250-400元/天,北京-海淀区,北京,本科,,7月24日更新,liepin,"【公司亮点】
1、业务定位：专注ToB业务，以云计算SaaS模式，提供电商ERP、WMS等一体化智能零售解决方案，助力零售企业数字化升级、提升运营效率。
2、规模布局：2011年成立，现有员工约3000人，设立130+服务网点、覆盖400+城市及海外市场；对接400+主流平台，累计融资超4.52亿美元，创下国内SaaS行业单笔融资纪录。
3、行业实力：累计服务超70万家电商企业，含80+世界500强、500+上市公司；日处理订单1.38亿单以上，市场份额庞大，连续5年登胡润全球独角兽榜单，斩获多项行业荣誉。

【岗位亮点】
1、技术实战：直面日处理1.38亿单、支撑1/3线上交易履约的高并发分布式场景，有机会参与核心技术方案设计，攻坚订单处理等难点，快速沉淀企业级大规模场景实战能力。
2、学习成长：搭建系统化学习体系，覆盖多类职场技能；配备专属导师 1V1 带教，定制阶梯式学习计划，搭配高潜培养与开放交流环境，助力快速成长、学用落地。
3、发展空间：晋升标准清晰量化，每年2次高频晋升窗口，提供专业与管理双发展路径；支持跨部门转岗与轮岗，校招新人平均1–1.5年即可获得晋升，发展灵活透明。
4、福利保障：除基本福利外，为符合条件人才提供北京落户支持；设有长期价值激励与高潜破格晋升机制，让付出与回报同频，个人与公司共成长。


岗位职责:
1、利用电商行业的海量商品数据，利用AI算法建立商品中台库，帮助客户能简化商品发布，优化商品文案，提升交易转化率;
2、利用海量的电商订单数据，研究主流的商品选品和推荐的开源项目，并对算法模型进行优化，提升推荐效果，帮助客户提升现有客户的变现率。
3、配合团队完成其他算法模型的实现与测试，推动模型在实际业务场景中的落地应用。

任职要求:
1.熟悉基本的算法原理，具备良好的逻辑思维能力和问题分析能力。
2.具备良好的沟通能力，能够与团队成员高效协作，推动项目顺利进行。
3.学习能力强，对推荐算法领域有浓厚兴趣，愿意在实践中不断提升自身技术能力。

截止日期：2027年05月11日
招聘人数：3人",高并发 分布式 技术方案,https://www.liepin.com/lptjob/80375995
