job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
iOS客户端开发工程师,中软国际科技,12-24k,广州-天河区,广州,大专,4-6年,7月12日更新,liepin,"IOS：
iOS 开发职位描述
技术技能
iOS 开发专业知识：
具备使用 Swift 开发 iOS 应用程序的实际经验。
熟悉 iOS 平台特定的库和工具（如 UIKit、SwiftUI、CoreData 等）。
设计模式：
熟练掌握 MVVM、VIPER 等架构模式。
对可扩展和可维护应用程序的核心架构设计模式有深入理解。
框架和库：
熟悉依赖注入、响应式编程和网络请求相关的库（如 RxSwift、Alamofire）。
有集成第三方库的经验。
测试：
编写单元测试（如 XCTest）和UI 测试。
熟悉自动化测试工具，如 Appium 和 BrowserStack。
网络与安全：
对网络概念和 API 有深入了解。
熟悉安全实践，如 HTTPS、证书固定、加密/解密 和 数据保护。
CI/CD 流水线：
有使用 Jenkins 或其他 CI/CD 工具进行自动化构建、测试和部署的经验。
版本控制：
熟练使用 GitHub 或其他版本控制系统。
编程语言：
具备 Python 和/或 Java 的实际经验（适用于后端集成或脚本编写）。
UI/UX 和设计
对设计有良好的审美，能够实现最新的 iOS 设计规范（如 Human Interface Guidelines）。
专注于创建视觉吸引人且用户友好的界面。
软技能与协作能力
团队协作：
有在跨职能团队中使用 敏捷方法论 的经验。
熟悉 Jira 和 Confluence 等项目管理工具。
DevOps 文化：
愿意超越编码，参与部署、监控和运维工作。
适应结对编程和协作开发。
利益相关者管理：
能够通过清晰、逻辑严密的论证影响利益相关者。
经验
作为 iOS 平台的技术专家，有丰富的经验。
有构建和维护大型 iOS 应用程序或个人项目的经验。
熟悉移动 QA 流程，尤其是自动化测试。
关键要点
该职位适合具备以下条件的 iOS 开发人员：
在 Swift 和 iOS 开发方面有深厚的技术积累。
对移动架构、测试和安全有深入理解。
有 CI/CD 流水线 和 DevOps 实践 的经验。
出色的协作和沟通能力。",Swift 加密 CI/CD Jenkins Git Python Java DevOps 自动化测试 项目管理,https://www.liepin.com/job/1973294327.shtml
资深iOS开发工程师,某深圳世界500强公司,40-60k·15薪,深圳,深圳,学历不限,5-10年,7月6日更新,liepin,"【公司简介】
（一）公司概述：全球顶级跨国集团，世界 500 强头部企业，业务年增长超10%，中国研发投入年均百亿；
（二）业务与平台优势：业务体量庞大，覆盖范围广，拥有海量真实业务场景，技术实践含金量高；
（三）技术研发优势：重点布局前沿技术：AI 智能测试、大模型研发效能、分布式高可用架构、全渠道库存系统，成熟 DevOps、自动化测试、数据度量体系、智能测试平台等创新工程方案，自研全套业务系统，涵盖复杂企业级架构场景。

【工作要求】
1. 核心功能开发：负责电商App iOS端核心功能的开发、迭代与维护，保障功能的稳定性与用户体验。
2. 架构演进优化：主导iOS端架构演进，包括组件化、模块化、MVVM、SwiftUI等方向的落地，持续提升App的可维护性与扩展性。
3. 性能与稳定性优化：负责App的性能优化、内存优化、Crash治理，保障App的流畅性、稳定性与兼容性。
4. 跨团队协作：与Android、后端、产品、设计团队紧密协作，高效推进需求落地，持续优化用户体验。
5. 技术沉淀与分享：沉淀iOS开发实践，参与团队技术分享，提升团队整体技术能力。

【经验要求】
1. 5年以上iOS开发经验，拥有大型电商App开发经验优先。
2. 精通Swift/Objective-C编程语言，熟悉UIKit、SwiftUI、Combine、Alamofire等主流iOS开发框架。
3. 具备丰富的性能优化、内存优化、Crash治理经验，有相关成功案例。
4. 具备组件化、模块化项目架构设计经验，能独立负责模块设计与开发。
5. 具备良好的沟通能力与团队协作精神，能独立推动跨团队项目落地。",大模型 分布式 高可用 DevOps Swift 自动化测试,https://www.liepin.com/a/77559889.shtml
iOS开发工程师 (MJ000029),微泰医疗器械(杭州)股份有限公司,15-20k·13薪,杭州-余杭区,杭州,本科,经验不限,7月15日更新,liepin,"工作职责:
1. 根据产品使用场景与用户需求，参与产品iOS手机应用软件部分方案设计；
2. 负责产品iOS手机应用软件开发及测试；
3. 编写iOS手机应用软件相关技术文档；
4. 负责产品iOS手机应用软件部分维护及技术支持。
	
任职资格：
1. 本科及以上学历，计算机或信息电子类相关专业；
2. 3～5年，或以上iOS应用开发经验，有扎实的Objective C、Swift语言基础，具有一定的英文阅读能力；
3. 熟悉iOS开发技术，包括UI、网络等方面，有蓝牙通信开发经验者优先；
4. 熟悉iOS开发工具和相关开发测试工具的使用；
5. 熟悉各个不同版本iOS特点以及API支持情况；
6. 理解设计模式并在项目或产品中有设计实践，熟悉Git、CVS、SVN等版本管理软件使用；
7. 有 Apple Watch ，SwiftUI 开发经验优先。
8. 有 Flutter 开发经验优先",Swift Git SVN Flutter 方案设计 技术文档 技术支持 版本管理,https://www.liepin.com/job/1983233699.shtml
IOS开发工程师-讯飞正编,IT服务2000-5000人,25-40k,合肥-高新区,合肥,统招本科,3年以上,6月26日更新,liepin,"岗位职责：
1、负责iOS客户端的功能开发、架构设计、技术升级、性能优化等工作;
2、参与日常的需求评审、架构设计、代码评审，逐步提升开发、交付效率，并保证产品工程质量，以技术驱动业务发展;
3、负责新技术预研，推动新技术的落地及产品化。
4、指导低级别软件工程师开发；
5、负责发布后问题排查与解决；

任职资格：
1、计算机相关专业本科及以上学历，3年以上iOS开发经验
2、熟练掌握Objective-C/Swift语言特性，深入了解Runtime、Runloop、多线程、Block、数据持久化、网络原理、内存管理机制等
3、主导设计并参与开发过通用技术解决方案，包括但不限于高性能架构、APM、组件化、稳定性治理性能优化等
4、善于沟通与分享，能通过培训等方式帮助团队整体技术水平的不断提高。
5、热爱移动互联网行业，具有强烈的事业进取心与自我激励能力，充满正能量，强大的抗压能力。
6、有产品意识，从产品以及用户需求的角度进行相对应的学习与开发。
7、具备Flutter开发经验优先。",Swift Flutter 培训 Runloop Block APM,https://www.liepin.com/job/1983733629.shtml
高级iOS开发工程师,某上海互联网公司,25-40k·15薪,上海,上海,统招本科,经验不限,7月7日更新,liepin,"
岗位职责
负责 iOS 端新产品的设计、研发与迭代
参与项目可行性评估、技术方案设计与技术选型
跟踪前沿技术，落地新技术以支撑产品需求
编写与维护技术文档，保障项目可维护性
任职要求
计算机相关专业，基础扎实，熟悉常用数据结构与算法
精通 iOS 开发，熟练掌握 UI、网络、多线程、音视频等客户端技术
3 年及以上 iOS 开发经验，能独立负责模块开发，熟练使用 Swift
熟悉主流开发框架、架构模式，可独立封装基础组件与业务模块
熟练使用 Git，代码规范、逻辑清晰，有良好团队协作与责任心",Swift Git 技术方案 技术文档 UI,https://www.liepin.com/a/77625459.shtml
高级iOS开发工程师,重庆点至科技有限公司,22-23k,重庆-渝中区,重庆,本科,5年以上,6月12日更新,liepin,"岗位职责：
1.主要负责IOS应用程序的设计、开发工作；
2.基于公司的产品设计，根据需求，进行IOS版本应用的实现；
3.能够较快的解决测试中发现的问题；
4，对流畅度有一定的追求；
5.对IOS平台开发技术进行研究，根据开发过程中的体验对产品提出改进建议。
6.至少开发过三款ios产品。
职位要求：
1.精通iOS开发技术，能处理比较复杂的UI、线程、系统调用、网络等方面问题;
2.精通多线程和网络编程，掌握基本的框架结构和设计模式，对高性能程序设计、架构有较多的工程经验;
3.精通IOS平台自定义控件和动画效果;
4.熟悉视频播放;
5.熟悉iOS和及常用的framework，熟悉IOS系统运行机理，对内存管理、对象生命周期有清晰的认识;
6.有良好的架构设计能力，熟练运用设计模式;
7.5年以上开发工作经验，4年以上iOS实际开发经验，在GitHub上有代码者,熟悉ReactiveCocoa者均会加分;
8.熟练掌握json数据的解析方法，熟悉HTTP协议，熟练掌握ASIHTTPRequest的使用，熟悉SQLite数据库存储;
9.对移动产品有较强的敏感度和热情;
10.个性乐观开朗，好奇心强，逻辑思维强，善于团队合作。",Git React SQLite 产品设计,https://www.liepin.com/job/1983397639.shtml
iOS开发（远程办公）,上海申仪时代科技有限公司,15-25k,上海,上海,本科,3-5年,7月17日更新,liepin,"iOS 开发工程师

职位类型：全职
工作地点：远程

岗位职责：

1. 负责公司 iOS App 的开发、维护、优化和版本迭代。
2. 根据产品需求完成页面开发、业务逻辑实现和接口对接。
3. 负责 iOS 应用打包、测试、上架及版本管理。
4. 优化 App 性能，包括启动速度、页面流畅度、内存占用和稳定性。
5. 与产品、UI、后端、测试团队协作，推动项目高质量交付。

任职要求：

1. 3年左右 iOS 开发经验，有完整 App 项目经验优先。
2. 熟悉 Swift / Objective-C，掌握 iOS 开发规范和常用框架。
3. 熟悉 App Store 上架流程、证书配置、打包发布等操作。
4. 熟悉 RESTful API、JSON、WebSocket、推送、支付、登录等常见功能开发。
5. 熟悉 Git，有良好的代码规范和团队协作能力。
6. 能使用 AI 编程工具辅助代码开发、调试、重构和文档编写。
7. 有 Flutter 混合开发、性能优化、CI/CD 经验者优先。",Swift WebSocket Git Flutter CI/CD 版本管理 文档编写,https://www.liepin.com/job/1984202221.shtml
安卓/ios开发工程师,某深圳互联网医疗上市公司,24-26k·16薪,深圳-南山区,深圳,学历不限,3-5年,7月7日更新,liepin,"ios、安卓开发岗位都有在招。

安卓开发工程师
1.根据产品总体设计，完成Android移动App的模块、核心算法开发；
2.及时更新移动开发技术，为团队完成技术积累与沉淀；
3.对公司已有的Android代码进行版本维护、优化；
4.根据开发过程中的体验对产品提出改进建议；
5.配合公司市场、运营、项目等部门，提供产品相应的技术支持。
任职资格

1.计算机相关专业，至少两年以上经验，对互联网信息安全行业有浓厚的兴趣；
2.清晰理解Android系统构架，掌握Android项目的开发/发布/维护流程；
3.良好的Java/Kotlin技术功底，熟练掌握AndroidAPI；
4.熟练掌握Android界面布局及绘制、数据存储、加密、网络通信机制、信息推送、三方平台对接等；
5.熟悉Android各版本SDK异同，对版本兼容性有较多经验；
6.掌握AndroidNDK开发，对于APK反编译有经验；
7.掌握Flutter/ReactNative等跨平台开发技术；
8.良好的沟通能力和团队合作精神，工作认真负责，责任心强，有应用海内外各类应用商店发布经验者优先；
9.Geek，在GooglePlay独立提交过作品人士优先考虑；
10.了解硬件基本原理，有机顶盒、机器人等智能硬件开发工作经验者优先;
11.熟悉HTTPS协议，HTML5+CSS3、有AI项目经验者优先。

ios开发工程师
1.参与iOS客户端的需求分析与功能开发；
2.在资深开发人员指导下，完成模块编码、自测与维护工作；
3.遵循编码规范，编写可读性强、结构清晰的Swift或Objective-C代码；
4.协助修复App运行中的Bug，优化用户体验；配合测试团队完成功能验证与问题修复；
5.学习并掌握团队使用的技术栈与开发流程。

任职资格

1.本科及以上学历，计算机、软件工程或相关专业；
2.熟悉iOS平台开发基础，了解UIKit、Foundation等核心框架；Swift 或 Objective-C 编程语言；Xcode 开发环境与调试工具；Auto Layout、Storyboard 或 SwiftUI 基础；
3.了解MVC/MVVM设计模式；熟悉Git版本控制工具；
4. 具备良好的学习能力与沟通意识，有团队协作精神；有2年以上iOS开发经验",Java Kotlin 加密 Flutter React Go HTML5 CSS3 Swift Git 技术支持 需求分析,https://www.liepin.com/a/77577707.shtml
iOS开发工程师,深圳市红孩儿信息技术有限公司,10-15k,深圳,深圳,大专,1-3年,90天前更新,liepin,"面试流程：
需要笔试—面试—机试，能接受者优先考虑。（可以选择不参加笔试）
招聘要求：
1、大专以上学历，1-3年以上iOS开发经验，能独立完成项目；
2、熟练掌握TCP、HTTP等网络协议，熟悉数据库、多线程、JSON解析等；
3、有Objective-C和Swift开发经验；
4、掌握iOS界面绘制、后台运行、数据存储、网络通信等原理；
5、有良好的面向对象分析和设计能力，有一定的算法分析和设计能力；
6、熟悉掌握iOS平台UI界面开发设计，熟悉使用常见布局框架；
7、熟练使用 Xib布局。
7、熟练使用 Xib、storyboard，熟悉iOS界面开发规范和iOS App开发流程,能处理不同版本间的差异；
8、熟练使用 Xib，快速搭建界面者优先有独立承担项目开发经验者优先。
任职资格：
1、扎实的Objective-C和Swift语言基础，熟悉常用数据结构和算法；
2、熟悉iOS开发技术和各iOS版本特点，能熟练使用iOS开发及测试工具；
3、熟悉iOS下网络通信机制，对socket通信、TCP/IP和HTTP/HTTPS有一定理解和经验；
4、熟悉掌握iOS平台UI界面开发设计，熟悉使用常见布局框架；
5、熟悉JSON/XML等数据解析；
6、注重代码质量，能够产出高质量的设计和代码；
7、良好的沟通与表达能力、思路清晰，较强的逻辑分析能力与执行力。
福利待遇：
1、法定节假日正常放假。
2、合理任务完成情况下，不加班。
3、经常组织团建。
4、工资+年底保底奖金。
5、每年涨两次工资，工资增长幅度根据完成任务的情况来定。
6、在完成基本工作的前提下，如有重大贡献的，公司可发放巨额资金。",Swift TCP/IP Xib TCP,https://www.liepin.com/job/1939718273.shtml
高级iOS开发工程师,逐玥科技,25-35k,上海-长宁区,上海,本科,3-5年,90天前更新,liepin,"IOS开发工程师
工作职责：
1、负责iOS［基于flutter］的基础业务的相关开发工作；
2、负责iOS平台应用产品的研发工作，包括技术框架搭建、功能设计、技术规划等；
3、发掘和分析业务需求，编写技术文档，整体方案设计；
4、负责核心模块研发，解决团队疑难问题；
5、对现有技术有宏观思考能力，总结归纳，形成统一的框架或解决方案；
6、能够解决线上问题并提出优化建议。
岗位要求：
1、5年以上iOS开发经验，有成熟的产品开发经历并主导过核心模块开发；
2、熟练掌握Objective-C语言基础，熟练掌握Xcode工具系列，有良好的数据结构和算法基础，有对iOS平台SDK的开发经验；
3、有丰富跨平台开发基础，深入掌握跨平台开源项目Flutter的设计原理以及开发流程；
4、熟练掌握iOS相关的主流开发框架的基本原理和开发模式，对性能优化、内存优化、卡顿优化等有丰富实践经验；
5、熟练掌握网络通信原理，对TCP/IP、HTTPS等应用层通信协议有深刻理解，并有相关网络层开发经验或性能优化经验；
6、有金融、证券、外汇、区块链、Web3行业iOS开发经验优先；
7、沟通能力良好，责任心强，对技术有激情，有良好的快速学习能力；",Flutter C语言 TCP/IP 技术文档 方案设计 IP,https://www.liepin.com/job/1980802849.shtml
