job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
产品经理,电子/半导体/集成电路1000-2000人,12-18k·13薪,厦门,厦门,本科,3-5年,今日更新,liepin,"岗位职责
1、市场与需求支持 ：
1）维护和管理灯具/电源/应急照明产品线的需求，进行初步的需求优先级评估。
2）收集并整理竞品信息，进行基础功能对比分析。
2、产品定义与开发支持 ：
1）撰写产品需求文档 (PRD) 中的功能描述、用户故事、验收标准等具体细节。
2）创建和维护产品原型、流程图等设计辅助材料。
3）参与研发团队日常沟通，跟踪开发进度，识别并初步协调解决开发过程中的小问题或阻碍。
4）进行产品功能验收测试 (UAT)，执行测试用例，记录Bug并与研发沟通修复。
3、产品资料与推广支持 ：
1）负责制作、维护灯具/电源/应急照明产品线的市场推广材料，包括：产品说明书、宣传单页、产品目录、画册、PPT演示文稿、网站产品描述、基础宣传文案等。
2）负责输出和维护电源/应急照明产品线的技术文档，如Datasheet、用户手册（初稿）、安装指南等（与研发/技术支持协作）。
4、上市与生命周期管理：
1）制定和执行灯具/电源/应急照明产品的上市计划（Go-to-Market Plan）中的具体任务。
2）协调内部资源（如市场、销售、技术支持）确保产品顺利上市。
3）监控灯具/电源/应急照明产品的市场表现（销售数据、用户反馈等），进行基础数据分析并制作报告。
5、跨部门协作：作为灯具/电源/应急照明产品线的接口人，与研发、测试、市场、销售、技术支持等部门进行日常沟通协调。

岗位要求
1、本科以上学历，3~5年左右相关产品工作经验；
2、电子相关行业灯具/电源/应急照明产品经验优先。",Go 测试用例 市场推广 技术文档 技术支持 数据分析 跨部门协作,https://www.liepin.com/job/1983749395.shtml
电机驱动软件工程师,深圳星灿智能机器人有限公司,18-35k·13薪,深圳-南山区,深圳,统招本科,5年以上,7月30日更新,liepin,"岗位职责：
1、需求分析与方案设计：深度参与轮椅/机器人电机驱动项目，与硬件团队、产品经理协同，精准把握电机驱动控制需求（尤其载人场景下的安全性与平顺性），制定软件架构与开发方案，确保软件功能满足电机性能指标，如转速精度、扭矩控制精度、响应时间等。
2、算法开发与优化：主导电机控制算法的开发与优化，包括有感FOC（基于霍尔/编码器）、无感FOC、PID控制等，提升电机运行效率、稳定性与动态响应性能，降低电机运行时的振动和噪声，优化运动控制的平顺性（尤其关注起步/停止/加减速的平滑过渡）。
3、代码编写与调试：运用C、C++等编程语言，编写高可靠性电机驱动软件代码，完成电机启动、调速、制动等功能的编程实现，利用调试工具对代码进行全面调试，解决软件运行中的各类问题，确保载人场景下的软件鲁棒性。
4、硬件协同开发：与硬件工程师紧密协作，参与硬件选型评估（含电机选型、MOSFET/IGBT选型、电流采样方案等），依据硬件特性开展软件设计与优化，确保硬件与软件协同良好，实现电机高效、安全驱动控制。
5、测试与验证：制定软件测试计划，执行单元测试、集成测试、系统测试（含载人安全场景验证），对电机驱动软件功能、性能、可靠性进行全面验证，依据测试结果优化软件，保障软件质量与载人安全性。
6、技术文档撰写：编写详细技术文档，如需求规格说明书、设计文档、测试报告等，保证技术知识传承与共享，方便团队成员后续维护与升级。
任职要求：
1、本科及以上学历，自动化、电气工程及其自动化、电子信息工程等相关专业，5年以上电机驱动软件开发经验。
2、精通C、C++语言编程，具备扎实的数据结构和算法基础，有良好的代码规范与工程化能力。
3、精通有感无感FOC控制算法，深入理解电机数学模型（如PMSM、BLDC），具备在工程项目中使用霍尔传感器和编码器传感器完成有感FOC的实战经验。（刚性要求）
4、具备电机参数辨识、观测器设计、死区补偿、弱磁控制等高级算法开发经验，能独立完成电流环、速度环、位置环的建模与调优。
5、熟悉电机驱动硬件电路，精通功率器件（MOSFET/IGBT）工作原理与选型逻辑，能协同硬件工程师完成驱动电路设计与优化。
6、掌握CAN、SPI、UART等通信协议及PWM控制，熟悉载人设备对电机控制的安全要求（如冗余保护、故障诊断、防溜坡、缓启动/缓停止等）。
7、具备优秀的跨团队沟通能力与系统级思考能力，能独立与硬件、算法、产品团队进行技术决策。
8、具备良好问题解决能力，能熟练使用示波器、逻辑分析仪等工具进行硬件调试与软件故障排查。",C++ CAN SPI UART 需求分析 方案设计 测试计划 技术文档 故障排查,https://www.liepin.com/job/1981326865.shtml
C端产品经理（学习硬件）,在线教育D轮及以上500-999人,15-25k,成都,成都,本科,经验不限,7月23日更新,liepin,"岗位职责：
1、负责百词斩核心学习硬件内的C端产品从规划到上线全流程；
2、基于数据、用户反馈及产品思考，深度洞察英语学习场景下的痛点与需求，并将其转化为具体的产品功能与设计；
3、与ID设计、供应链等项目组沟通协作，推动需求完成上线。

任职要求
1、本科及以上学历，3 年左右 C 端产品经验，有教育类或消费硬件类产品经验者优先。
2、能独立梳理产品逻辑与业务流程，具备较强的逻辑思维和用户需求洞察能力，善于将用户需求转化为产品设计，且有优秀的产品落地执行能力。
3、有良好的用户思维与学习能力，能快速学习硬件业内新知识、新趋势。",供应链 产品设计,https://www.liepin.com/job/1984358223.shtml
硬件产品经理,某大型知名通信设备公司,35-45k,杭州,杭州,统招本科,3-5年,7月2日更新,liepin,"工作职责
1. 负责机器人硬件产品的硬件拓展规划，制定拓展硬件规格和技术路线图。
2. 深入调研市场需求，结合产品定位，设计硬件功能和性能指标。
3. 新硬件技术/模组发掘，硬件交互体验设计，成本控制等。
4. 机器人硬件产品的质测、入库等交付流程及其他商用落地全流程工作支撑，包括技术规格书、认证资料梳理等；
5. 协助研发团队理解产品需求内容和交互使用，全程跟进产品研发，推动产品按时推出。
6、行业前沿创新硬件调研，定期输出专业调研报告。

任职资格
1. 教育背景：本科及以上学历，电子工程、计算机、机械工程等相关专业。
2. 工作经验：3年以上硬件产品管理经验，熟悉机器人或智能硬件行业。
3. 技能要求：熟悉硬件开发流程，具备工业设计、结构设计、电子硬件等协同设计流程概念；了解供应链管理，具备供应商评估和成本控制能力；
4. 个人素质：具备良好的项目管理和沟通协调能力；关注细节，能够从客户体验角度把控产品质量；具备较强的学习能力，对机器人领域有浓厚兴趣，能够适应快节奏的工作环境。
5. 有协作机器人、服务机器人、人形机器人、四足机器人、机器人核心零部件相关工作经验者优先。
",成本控制 供应链 项目管理,https://www.liepin.com/a/75420317.shtml
硬件产品经理（耳机）,某深圳知名公司,25-35k·13薪,深圳-宝安区,深圳,硕士,1年以上,今日更新,liepin,"岗    位：硬件产品经理
工作地点：深圳宝安区
年薪范围：25-45万人民币
岗位描述
1.参与硬件产品总体规划设计，通过分析市场需求、用户购买旅程、技术趋势、竞品和竞争环境等因素，为产品组合的规划成功提供输入；
2.制定产品系列路线图，对产品最终表现力、竞争力和用户体验负责；
3.深入洞察市场和销售需求，结合公司技术路线图和发展趋势，输出产品定义，并负责全生命周期管理和持续迭代，确保产品竞争优势和用户体验；
4.与营销、设计、开发和供应链团队紧密合作，领导团队按时保质保量满足产品交付需求，支撑公司业务快速增长。

任职要求
1.35 岁以下，硕士及以上学历，力学、声学、机械、电子、材料等相关理工科专业，有扎实的数理基础；
2.至少有1年以上硬件产品经理相关经验；有开放式耳机/音频设备/智能硬件行业经验，熟悉骨传导技术或定向声场技术优先；
3.热爱产品，对3C产品有浓厚的兴趣爱好，善于发现新事物，接受新思维，能深度思考，对产品追求极致；
4.有较强的逻辑思维能力、有责任感有担当、能有效决策，承受较大的工作压力；
5.有硬件产品从预研、定义、开发到上市全流程经验者优先；有项目管理经验者优先。硬件产品经理相关经验，有完整的硬件产品生命周期管理经验
汇报对象：产品总监
下属人数：个人贡献者为主，可带实习生或初级产品经理
岗位性质：从0到1创造产品，对产品全生命周期负责
招聘原因：新品线爆发（运动/通勤/游泳/医疗），缺懂骨传导/开放式音频的专业硬件产品经理，需要做下一代开放式耳机、骨传导穿戴、音频硬件
负责板块：
(1)负责耳机/运动线/耳夹线/耳挂线/通讯线，新形态的耳机和一些可穿戴类的产品
(2)主导0到1新品开发：定音质、漏音、佩戴、续航、蓝牙、结构、ID等核心指标
(3)对接声学/结构/电子/算法/供应链，解决硬件关键问题，推动量产
9.板块目标：打造下一代全球爆款开放式耳机
目标行业/公司及岗位（供参考）
1.耳机/音频巨头：万魔（1MORE）、漫步者、森海塞尔（中国）、Bose（中国）、JBL（中国）、铁三角、索尼（音频线）、歌尔股份、佳禾智能、国光电器、奋达科技、瑞声科技
2.穿戴/运动硬件：华为（穿戴/音频）、小米（耳机事业部）、OPPO（Enco）、vivo（TWS）、荣耀、一加、安克创新、倍思、绿联、漫步者、公牛数码
3.骨传导/开放式音频同行：南卡、逸鸥、木六、伯朗、飞利浦骨传导线
4.硬件ODM/OEM大厂：立讯精密、领益智造、华勤、龙旗、闻泰、光弘、德赛西威
核心业务
核心业务：开放式耳机（Open-ear headphones）的研发、设计、生产和销售。主要产品系列：OpenFit（舒适佩戴）、OpenRun（运动系列）、OpenSwim（游泳系列）、OpenMove（入门系列）等。",供应链 项目管理 Bose JBL OPPO Enco TWS Open-ear,https://www.liepin.com/a/76560835.shtml
智能硬件产品经理,某北京智能硬件/消费电子公司,40-60k·14薪,北京,北京,学历不限,5年以上,今日更新,liepin,"一、核心职责
1.产品规划与需求管理：调研国内高端智能硬件市场趋势、用户需求及竞品动态，结合公司战略，制定硬件产品规划与路线图；梳理需求优先级，输出清晰的产品需求文档（PRD）、硬件规格书，联动研发团队明确技术实现路径，确保产品贴合国内用户需求与高端定位。
2.产品全流程落地：主导硬件产品从立项、研发、打样、测试到量产、上市的全流程推进，协调研发、生产、供应链、测试等跨部门资源，解决项目推进中的核心问题，把控产品质量、进度与成本，确保产品按时按质落地。
3.XR相关产品联动：依托对XR行业的高兴趣及基础认知，探索XR（VR/AR/MR）与公司智能硬件的融合场景，参与XR相关硬件产品的需求挖掘、方案研讨，推动XR+智能硬件的产品创新与落地试点。
4.市场与迭代优化：联动国内市场、销售团队，配合产品上市推广、用户反馈收集；跟踪产品上市后的市场表现与用户口碑，分析产品数据，输出迭代方案，持续优化产品体验，提升产品市场竞争力；兼顾全球市场适配性，同步优化产品规格以满足海外拓展需求。
5.供应链与合规管理：对接供应链资源，参与供应商筛选、评估与管理，优化供应链成本与交付效率；了解国内高端电子消费品行业合规要求（如3C认证、环保标准），确保产品符合国内合规规范，同时兼顾全球主要市场合规适配。

二、任职要求
1.教育背景：本科及以上学历，电子工程、机械设计、工业设计、产品管理等相关专业优先。
2.工作经验：3-8年硬件产品经理相关工作经验，必须具备高端电子消费品、智能硬件行业从业经历，有完整的硬件产品全流程落地经验；熟悉国内智能硬件市场，有XR相关硬件产品经验者加分。
3.行业认知：深入了解高端智能硬件产品研发流程、硬件技术原理（如传感器、芯片、结构设计）及供应链管理；对XR行业抱有极高兴趣，具备基础行业认知，愿意探索XR与智能硬件的融合创新。
4.技能与素养：具备优秀的需求分析、文档撰写、跨部门沟通协调能力；熟练使用产品工具（如Axure、Visio、CAD），能清晰输出产品规格与需求文档；具备较强的问题解决能力、抗压能力与执行力，细节严谨，有高端产品思维。
5.其他要求：了解国内智能硬件合规要求，有供应链管理经验者优先；英语流利者加分，能对接海外业务相关需求。

三、优先条件
1.有国内高端智能硬件品牌产品经理工作经验，主导过至少1款硬件产品从0到1落地上市。
2.具备XR行业相关硬件产品经验，参与过XR设备或XR+智能硬件融合产品的规划与落地。
3.熟悉智能硬件供应链管理、量产流程及国内合规认证（3C、RoHS等），有成本控制经验。
4.具备全球化产品思维，有海外硬件产品适配或推广经验，能兼顾国内与全球市场需求。",产品规划 供应链 合规 需求分析 成本控制 PRD VR AR,https://www.liepin.com/a/78120657.shtml
智能硬件产品经理-外企氛围-完全不加班-高薪,某知名公司,30-55k·16薪,深圳,深圳,本科,2-10年,7月19日更新,liepin,"1、智能硬件产品经理，to c电子消费品方向
2、对标安克创新（anker）、 智岩（govee）、小米、大疆（dji）、影石（insta360）等公司，做过爆款产品的 硬件产品经理",Go to anker,https://www.liepin.com/a/78039405.shtml
硬件产品经理（耳机）,某深圳知名公司,20-35k·13薪,深圳-宝安区,深圳,硕士,1年以上,今日更新,liepin,"岗 位： 硬件产品经理
工作地点：深圳宝安区
年薪范围：25-45万人民币
岗位描述
1. 参与硬件产品总体规划设计，通过分析市场需求、用户购买旅程、技术趋势、竞品和竞争环境等因素，为产品组合的规划成功提供输入；
2. 制定产品系列路线图，对产品最终表现力、竞争力和用户体验负责；
3. 深入洞察市场和销售需求，结合公司技术路线图和发展趋势，输出产品定义，并负责全生命周期管理和持续迭代，确保产品竞争优势和用户体验；
4. 与营销、设计、开发和供应链团队紧密合作，领导团队按时保质保量满足产品交付需求，支撑公司业务快速增长。

任职要求
1. 硕士及以上学历，力学、声学、机械、电子、材料等相关理工科专业，有扎实的数理基础；
2. 有1~3年硬件产品经理相关经验；
3. 热爱产品，对3C产品有浓厚的兴趣爱好，善于发现新事物，接受新思维，能深度思考，对产品追求极致；
4. 有较强的逻辑思维能力、有责任感有担当、能有效决策，承受较大的工作压力；
5. 有硬件产品从预研、定义、开发到上市全流程经验者优先；有项目管理经验者优先。
岗位性质：从0到1创造产品，对产品全生命周期负责
8. 负责板块：
(1) 负责开放式/骨传导耳机硬件产品全生命周期，从调研到上市，打造爆品
(2) 主导0到1新品开发：定音质、漏音、佩戴、续航、蓝牙、结构、ID等核心指标
(3) 对接声学/结构/电子/算法/供应链，解决硬件关键问题，推动量产
9. 板块目标：打造下一代全球爆款开放式耳机
硬性要求
1. 学历：硕士
2. 行业：消费电子/智能硬件/音频设备
3. 年龄：35岁以下
4. 经验：硬件产品经理相关经验，有完整的硬件产品生命周期管理经验
5. 核心门槛：硬件全流程、声学常识、结构/电子基础
加分项
1. 行业：有开放式耳机/音频设备/智能硬件行业经验，熟悉骨传导技术或定向声场技术
2. 经历：0到1爆款产品、海外上市、全球市场经验
3. 技能：声学仿真、结构设计、蓝牙协议、元器件选型
4. 资源：有供应链资源、ODM/OEM厂商资源，可加速产品落地
对标公司：
1. 耳机/音频巨头：万魔（1MORE）、漫步者、森海塞尔（中国）、Bose（中国）、JBL（中国）、铁三角、索尼（音频线）、歌尔股份、佳禾智能、国光电器、奋达科技、瑞声科技
2. 穿戴/运动硬件：华为（穿戴/音频）、小米（耳机事业部）、OPPO（Enco）、vivo（TWS）、荣耀、一加、安克创新、倍思、绿联、漫步者、公牛数码
3. 骨传导/开放式音频同行：南卡、逸鸥、木六、伯朗、飞利浦骨传导线
4. 硬件ODM/OEM大厂：立讯精密、领益智造、华勤、龙旗、闻泰、光弘、德赛西威

核心产品
1. OpenFit系列：舒适佩戴的开放式蓝牙耳机，适合日常通勤和运动
2. OpenRun系列：专业运动耳机，轻便、防汗、续航长
3. OpenSwim系列：游泳专用MP3耳机，骨传导技术，无需蓝牙
4. OpenMove系列：入门级开放式耳机，性价比高
5. 未来产品：骨传导助听器、智能可穿戴设备等（在研）

应用场景
1. 运动健身：跑步、骑行、健身等场景，开放式设计安全舒适
2. 日常通勤：上下班、出行等场景，兼顾环境音感知和安全
3. 办公会议：在线会议、视频通话等场景，舒适佩戴长时间使用
4. 游泳运动：游泳专用，IP68级防水，MP3存储",供应链 项目管理 ODM Bose JBL OPPO Enco TWS,https://www.liepin.com/a/75981771.shtml
新增硬件产品经理,某成都计算机软件公司,20-40k,成都,成都,学历不限,5-10年,7月30日更新,liepin,"新增硬件产品经理 薪酬open
岗位职责：
1. 产品规划与定义 
● 市场需求、行业动态调研，竞对分析，输出市场、产品需求等文档。 
● 硬件产品规格定义，含六性通用质量要求等，平衡技术可行性与成本。 
● 产品标准化资料包编写，为销售、解决方案输送炮弹。
 2. 开发过程管理 
● 熟练掌握硬件设计、开发、生产与服务流程。
● 编制产研计划，协调电路、layout、逻辑、软件、结构与工艺、调试生产工程师开展工作，并主导硬件方案评审。 
● 跟踪产品进度，组织解决开发、生产与售后技术风险。
 3. 跨部门协作 
● 与销售、市场团队制定产品上市策略及定价模型。
 ● 协助供应链完成供应商评估、元器件选型及产能规划。 
4. 产品生命周期管理 
● 推动产品认证及量产交付，跟进售后问题并分析。 
● 根据市场反馈迭代产品版本，规划EOL策略。 
5. 数据驱动优化 
● 监控竞品动态，评估与调整产品路线图。
● 分析产品良率、返修率等数据，持续改进。
任职资格:
1. 教育背景 
● 本科及以上学历，计算机硬件、自动化、电子信息工程、通信工程等相关专业。 
2. 专业知识 
● 掌握计算机原理、系统架构、数字电路等技术，了解常见接口及协议。
● 了解行业趋势（如无人系统、通信、AIoT、边缘计算等）及相关技术标准。 
3. 经验要求
● 有无人系统、一体机、工业控制、高可靠计算机等数字系统硬件其中之一背景者优先。 
● 3年以上硬件产品开发、或硬件产品经理经验，主导过至少三款硬件产品研制、生产完整流程。 
4. 核心能力 
● 市场分析：能通过竞品分析、用户调研定义产品差异化卖点。 
● 流程管理：熟悉敏捷开发或IPD流程，较好的团队协能力。 
● 供应链整理与成本控制：具备供应链资源整合与成本控制能力。 
● 沟通能力：能清晰传递技术需求给研发，并向非技术部门解释产品价值。
5. 知识技能补充说明: 
● 有无人系统开发研制成功案例者优先。
● 有技术方案商业化成功案例者优先。",产品规划 跨部门协作 供应链 竞品分析 用户调研 成本控制 技术方案,https://www.liepin.com/a/76172327.shtml
硬件产品经理/高级经理/负责人,某深圳智能硬件/消费电子公司,30-50k,深圳-南山区,深圳,统招本科,5-10年,今日更新,liepin,"职位描述
我们正在寻找一位能够“定义产品，并推动其落地”的硬件产品经理。
你将负责智能可穿戴设备的硬件功能规划与参数定义，从用户需求、技术约束与成本结构出发，做出关键产品决策，并推动研发、供应链等多方协作，确保产品按预期交付。
这是一个需要同时具备产品判断力与项目推进能力的角色：不仅要想清楚“做什么”，还要确保“真的做出来”。
工作职责：
-  负责智能可穿戴硬件产品的功能规划与参数定义（如传感器选型、性能指标、功耗、尺寸等）； 
-  从用户需求与使用场景出发，拆解为可落地的硬件方案，并平衡体验、成本与技术可行性； 
-  主导产品从立项到量产的全流程推进（EVT / DVT / PVT 等阶段）； 
-  协调硬件研发、ID、结构、算法、供应链等多方资源，推动项目按节点推进； 
-  管理项目进度与风险，识别关键问题并推动解决； 
-  与 App / AI / 设计团队协作，确保软硬件体验一致，形成完整产品闭环； 
-  持续跟踪行业与技术趋势，优化产品方案与下一代规划。 
任职要求
-  本科及以上学历，电子工程、通信、工业设计或相关专业优先； 
-  5 年硬件产品经理或相关经验，有完整硬件项目经验（从定义到量产）； 
-  理解硬件开发流程（如 EVT / DVT / PVT），熟悉可穿戴或消费电子产品开发优先； 
-  具备基础的硬件认知（传感器、功耗、连接方式、结构限制等），能与工程团队高效沟通； 
-  具备良好的项目管理能力，能推动多团队协作并按时交付； 
-  有产品思维，能够在体验、成本、风险之间做合理取舍； 
-  具备较强的责任心与执行力，能在不确定性中持续推进。",供应链 项目管理 EVT DVT PVT ID App AI,https://www.liepin.com/a/76300621.shtml
