job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
27届校招-嵌入式软件驱动开发工程师-南京,电子/半导体/集成电路科创板上市500-999人,25-35k·15薪,南京-江宁区,南京,硕士,应届,7月30日更新,liepin,"岗位职责：
1.负责嵌入式Linux/RTOS系统下设备驱动的设计、开发和调试工作
2.参与硬件平台选型评估，完成外设接口驱动开发与性能优化
3.编写和维护驱动模块技术文档，确保代码质量符合公司规范
4.配合硬件和应用软件团队进行系统联调，解决关键技术问题

任职要求：
1.2027届硕士及以上学历，计算机、电子工程、自动化等相关专业
2.熟悉C/C++编程，掌握ARM体系结构及常用外设接口原理
3.具备Linux内核驱动开发经验，熟悉设备树及驱动调试工具
4.有嵌入式项目实践经历，熟悉Git等版本管理工具使用流程

截止日期：2027年07月30日
招聘人数：10人",嵌入式Linux RTOS C++ ARM Linux Git 技术文档 版本管理,https://www.liepin.com/lptjob/84537545
驱动开发工程师（韩语/日语）,智能硬件/消费电子沪深A股上市10000人以上,9-15k·15薪,南昌-高新区,南昌,硕士,应届,7月29日更新,liepin,"27届秋招提前批

岗位描述：
1、负责电子产品系统，Intel/AMD 等x86 CPU，内存，显卡及各种外设的初始化软件开发，调试及维护。
2、负责电子产品Windows、Linux 等操作系统硬件相关问题的分析与解决。
3、负责品牌厂商系统安全，硬件底层自动检测等客制化需求的分析，开发，调试及维护。
岗位要求：
1、本科及以上学历，韩语/日语熟练 ；
2、电子通信、自动化、计算机、软件等相关专业 ；
3、熟练掌握C、C++语言任意一种。

截止日期：2027年07月29日
招聘人数：2人",Linux C++ Intel AMD CPU,https://www.liepin.com/lptjob/84506209
芯片驱动开发工程师,拓维信息,15-25k,长沙-岳麓区,长沙,硕士,应届,7月29日更新,liepin,"岗位职责
1、负责OpenHarmony系统在不同硬件平台（RK3588、RK3568等）上的驱动适配、调测与验证研发工作。
2、基于OpenHarmony HDF（Hardware Driver Foundation）驱动框架，完成外设驱动（如LCD、触摸屏、WiFi/BT、Camera、Audio、串口等）的开发与移植。
3、参与新项目、新硬件平台的板级BringUp工作，完成U-Boot适配、内核移植、设备树配置及系统启动全流程调试。
4、负责驱动程序在不同芯片平台（瑞芯微、海思、展锐等）间的移植与调试，解决系统稳定性与性能问题。
5、协同硬件、应用团队，完成驱动与上层服务的联调联试，确保外设功能稳定可用。
6、参与HDF驱动框架的需求分析、模块设计与方案评审，编写驱动设计文档、接口说明及测试用例。
7、跟踪OpenHarmony社区驱动子系统演进动态，参与公司产品线驱动相关的维护与优化工作。


任职要求
1、硕士及以上学历在校生，计算机、电子、通信、自动化、物联网工程等相关专业优先。
2、扎实的C/C++编程基础，良好的数据结构与算法功底。
3、了解操作系统基本原理（进程管理、内存管理、中断处理等），对嵌入式系统开发有浓厚兴趣。
4、了解Linux驱动架构基本概念，对驱动模块、设备树（Device Tree）有初步认知者优先。
5、能看懂原理图，能阅读芯片数据手册（Datasheet），掌握基本的数字电路知识。
6、熟悉Linux常用命令，了解Makefile、Shell脚本等基础编译与自动化工具。
7、具备良好的学习能力、沟通能力和团队协作精神，对底层技术有强烈的钻研热情。

截止日期：2027年07月29日
招聘人数：4人",OpenHarmony WiFi C++ Linux Shell 需求分析 测试用例,https://www.liepin.com/lptjob/84493767
驱动开发工程师（韩语/日语）,智能硬件/消费电子沪深A股上市10000人以上,10-15k·15薪,南昌-高新区,南昌,本科,应届,7月29日更新,liepin,"岗位描述：
1、负责电子产品系统，Intel/AMD 等x86 CPU，内存，显卡及各种外设的初始化软件开发，调试及维护。
2、负责电子产品Windows、Linux 等操作系统硬件相关问题的分析与解决。
3、负责品牌厂商系统安全，硬件底层自动检测等客制化需求的分析，开发，调试及维护。
岗位要求：
1、本科及以上学历，韩语/日语熟练 ；
2、电子通信、自动化、计算机、软件等相关专业 ；
3、熟练掌握C、C++语言任意一种。

截止日期：2027年07月29日
招聘人数：3人",Linux C++ Intel AMD CPU,https://www.liepin.com/lptjob/84488713
27校招-驱动开发工程师（北京） (MJ002170),东土科技,14-29k,北京-石景山区,北京,本科,应届,7月2日更新,liepin,"岗位职责：

设计、开发与调试设备驱动程序，确保其高效运行。
优化现有驱动程序性能，解决功能及稳定性问题。
开发驱动程序测试用例，执行功能验证与性能测试。
配合硬件团队完成驱动适配与调试，提供技术支持。
维护驱动软件版本，跟踪解决升级后出现的技术问题。
确保驱动程序具备高安全性、稳定性和可靠性。
参与驱动模块的文档编写和维护工作。

职位要求：

计算机科学与技术、软件工程、电子工程等相关专业；
熟练掌握C/C++编程语言，熟悉数据结构和算法；
具备操作系统原理基础，了解设备驱动基本工作机制；
较强的逻辑思维能力、问题分析与调试能力；
良好的英文技术文档阅读能力；
具备优秀的书面沟通表达能力；
积极的学习态度、良好的团队协作精神和较强的自我驱动能力。

截止日期：2027年07月02日
招聘人数：5人",C++ 测试用例 性能测试 技术支持 文档编写 技术文档,https://www.liepin.com/lptjob/83844853
GPGPU用户态驱动开发工程师-长沙,沐曦集成电路(上海)股份有限公司,10-15k·13薪,长沙-岳麓区,长沙,本科,应届,6月23日更新,liepin,"岗位职责： 
1.根据产品化要求，开发通信库驱动和用户态并行计算相关驱动，保证高质量交付。
2.深度理解通信库和用户态驱动在集群场景的使用，为GPGPU在集群场景的大规模应用提供全面可靠的技术方案。
3.结合国产软硬件生态，开发多种基于GPGPU的通信库方案，支持生态应用推广。

 
职位要求： 
1.计算机、电子相关专业，本科以上学历。
2.自我驱动，具备快速学习能力；具备良好的沟通和团队合作能力，能适应有一定压力的工作环境。
3.具备良好的C/C++编程与调试能力，掌握（Linux）操作系统的基本概念。
4.熟悉异构计算的体系结构，有CUDA开发经验或编程使用经验优先。
5.熟悉GPGPU通信库技术、RDMA网络通信技术优先。
6.熟悉 LinuxKernel，有LinuxDeviceDriver编程经验优先；熟悉 PC与操作系统体系结构，有X86/ARM汇编语言编程经验优先。

截止日期：2027年06月23日
招聘人数：1人",C++ Linux ARM 汇编 技术方案 LinuxKernel,https://www.liepin.com/lptjob/83620803
嵌入式驱动开发工程师,中科创达软件股份有限公司,10-16k,成都-高新区,成都,本科,应届,5月29日更新,liepin,"职位描述：
1.负责Linux/Android/windows系统(以下皆三选一)移植、Kernel Driver的开发调试和集成适配等工作；
2.负责系统底层驱动的开发，包括但不限于内核的剪裁与移植、驱动开发调试；
3.负责解决系统开发过程中的相关技术问题；
4.负责驱动的架构设计，外设点亮，撰写产品驱动的相关文档；
5.负责系统性能优化。
任职要求：
1.本科以上学历，计算机、软件等相关专业，熟悉C++/C等编程语言；
2.熟悉系统体系结构，熟练掌握底层设备驱动程序的开发，如Linux系统的字符设备，块设备等；
3.熟悉I2C,SPI,UART等读写控制，有总线控制经验者优先
4.能看懂原理图，使用示波器调试，会使用焊台有开发板飞线动手能力者优先；
5.责任心强，具备良好的沟通、协调能力，良好的学习能力与解决问题能力。
7.具备英语读写能力；
8.诚实正直，工作认真耐心，积极主动，有良好的团队意识和沟通能力，能够承受一定的工作压力。
接受25年、26年毕业生




截止日期：2027年05月29日
招聘人数：1人",Linux C++ I2C SPI UART Android Kernel,https://www.liepin.com/lptjob/82994267
电机驱动开发工程师,北京斯通恩科技有限公司,200-300元/天,北京-朝阳区,北京,本科,,90天前更新,liepin,"岗位职责：
1、	步进/有刷/无刷等电机控制器驱动和控制算法的设计、开发与调试； 
2、根据产品需求进行新产品电机驱动器软件开发；  
3、完成软件总体设计，包括底层驱动和上层控制算法，完成相关的代码编写和调试;
4、制定电机和驱动器的测试方案；处理产品开发和测试中出现的相关问题；
5、负责电机驱动器的封装设计和测试，确保产品具有良好的可靠性和可生产性；
6、编写开发过程中的相关的技术文档；
任职要求：
1、本科以上学历，电子、通信、自动化、计算机等相关专业；
2、5年以上电机控制器、电机驱动和电机算法开发经验,熟悉FOC/PMSM控制算法；
3、精通 C 语言编程，熟悉 16/32位单片机等平台架构，熟悉相关的开发软件；
4、精通有感、无感、方波、正弦波电机控制算法、PID 信号处理算法和参数调试；
5、精通电机算法, 并能将算法熟练移植到各个主流MCU的平台；
7、具备基础的电子理论基础，熟悉数字、模拟电路设计以及电路模块的评估与测试；
8、为人踏实、责任心强，有较强的钻研精神和团队合作意识。
 

招聘人数：1人",单片机 MCU 技术文档 PID,https://www.liepin.com/lptjob/79184613
驱动开发工程师,同为股份,20-25k,深圳-南山区,深圳,本科,应届,90天前更新,liepin,"岗位职责：
1、负责产品内核及外围驱动开发调试；
2、开发板级 BSP 开发（驱动程序，中间层和测试程序），优化 uboot，优化 kernel。
任职资格：
1、本科及以上学历，计算机、电子信息等相关专业；
2、熟悉 C/C++，了解 ARM 或者 x86 体系结构，了解 linux 驱动开发，了解 linux
操作系统。

截止日期：2026年09月17日
招聘人数：1人",C++ ARM Linux BSP,https://www.liepin.com/lptjob/77296965
Linux驱动开发工程师,智能硬件/消费电子沪深A股上市10000人以上,10-15k·15薪,西安,西安,本科,应届,90天前更新,liepin,"岗位职责：
1、负责Linux内核驱动的开发与维护；
2、参与服务器硬件设备的软件适配工作，确保硬件在Linux系统上的稳定运行；
3、进行性能优化和故障排查，提升系统的整体效率和可靠性。

岗位要求：
1、本科及以上学历，计算机科学或相关专业；
2、熟练掌握Linux操作系统及相关开发工具；
3、精通C/C++编程语言，有良好的代码编写习惯；
4、具备较强的逻辑思维能力和问题解决能力；
5、了解服务器软件开发的基本知识和技能。

截止日期：2026年09月10日
招聘人数：1人",Linux C++ 故障排查,https://www.liepin.com/lptjob/77124571
