job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
语音算法工程师（实习）,大乐智能机器人,300-400元/天,杭州-钱塘区,杭州,硕士,,7月16日更新,liepin,"职位介绍
自我驱动力强、善于解决复杂问题、具有开拓精神；能够快速建立合作关系，在变化与不确定性中游刃有余；拥有扎实的编程能力，具备从方案设计、原型开发到语音大模型交付的实战经验。

核心职责
在构建和交付具有重大影响力的语音大模型解决方案中发挥关键作用，这些解决方案将重新定义大乐公司运用AI的方式。
开发的语音大模型为用户带来更好的体验，揭示新的见解，并在软件工程及其他领域实现突破性能力。
与跨职能团队紧密合作，快速迭代、验证并大规模部署实用的语音大模型解决方案，将创意融入产品中。
通过发表创新研究成果、在学术会议及活动上发表演讲，与学术界保持紧密互动。

任职要求
计算机科学、工程或相关领域学士学位，或具备同等行业经验。
熟悉TensorFlow或PyTorch框架。
熟悉语音算法，包括但不限于语音识别，语音增强，语音分离，麦克风阵列。
语音大模型开发，熟悉transformer等大语言模型架构，了解语音大模型训练，部署及微调工作。
设计、实现并维护语音助手解决方案，编写简洁、可扩展且可测试的代码。
通过代码审查、设计讨论和技术文档编写确保工程高质量，促进团队知识共享。
支持生产环境中模型的测试、部署与监控运维。

加分项
具备语音大模型的工程落地或研发经验。
具备训练和部署语音算法或在应用中使用语音算法的实际经验。
出色的Python、C/C++、CUDA或其他GPGPU编程能力。
 

截止日期：2027年05月26日
招聘人数：1人",大模型 TensorFlow PyTorch 语音识别 Transformer Python C++ 方案设计 技术文档,https://www.liepin.com/lptjob/82863953
语音算法工程师(语音识别),大乐智能机器人,250-300元/天,杭州-钱塘区,杭州,硕士,,7月23日更新,liepin,"岗位职责：
1、参与语音大模型在端侧/边缘设备上的部署与推理优化，包括模型量化（GGUF/Q4_K/Q8_0）、推理后端集成及性能调优（GPU/CPU异构计算、实时率RTF评估与优化）；
2、设计并实现语音助手的实时交互链路，理解并优化全双工（Full-Duplex）与半双工（Half-Duplex）交互模式下的系统架构，处理打断检测（Barge-in）、VAD（语音活动检测）、流式推理与低延迟合成等关键问题；
3、探索并实现语音情感分析模块，包括：
 对用户语音进行情绪识别（SER，Speech Emotion Recognition），提取情感特征（愉悦度、唤醒度、支配度），为对话系统提供情感上下文；
 在TTS端实现情感可控的语音合成，根据对话状态或意图动态调整合成语音的情感色彩（如温柔、鼓励、关切等），提升人机交互的自然度与温度；
4、参与模型训练与微调，基于基座模型进行领域数据微调、音色克隆优化及中文口语化效果调优；
5、通过代码审查、技术文档和设计讨论保障工程质量，推动团队知识沉淀与共享；
6、跟踪前沿语音技术（实时TTS/ASR、端侧推理、语音克隆等），参与技术调研与原型验证。

任职要求：
1、硕士在读，计算机科学、电子信息、人工智能等相关专业；
2、熟悉PyTorch/TensorFlow等深度学习框架，掌握Python/C++编程，具备基本的工程化能力；
3、熟悉现代语音算法，包括但不限于：ASR、TTS、语音增强、VAD、麦克风阵列信号处理等；
4、熟悉Transformer及大语言模型架构，了解语音大模型的训练、微调（LoRA/QLoRA）、部署（ONNX/GGUF/TensorRT）及推理优化；
5、理解实时语音交互系统中的全双工/半双工设计差异，了解流式推理、低延迟优化、打断机制等相关技术方案；
优先条件（满足一项即可）：
1、有语音大模型的工程落地经验（端侧/云端部署、推理加速、量化压缩）；
2、有实时语音助手/对话系统相关项目经验，熟悉双工交互下的系统设计；
3、有RTF评估、GPU（CUDA）推理优化经验；
4、有语音克隆/音色迁移/可控TTS相关项目经验；

*    能保证三个月及以上连续实习时间，优秀者可转正。         

截止日期：2027年07月22日
招聘人数：1人",大模型 PyTorch TensorFlow 深度学习 Python C++ Transformer ONNX 技术文档 技术方案,https://www.liepin.com/lptjob/84324855
语音算法工程师 (MJ000045),智能硬件/消费电子融资未公开100-499人,13-23k,厦门-思明区,厦门,本科,应届,7月15日更新,liepin,"一、岗位职责:
1、负责语音识别算法的研究和语音识别引擎的开发，包括声学模型、语言模型的训练及解码器的开发；
2、负责语音识别模型的压缩和离线解码器的开发和优化；
3、负责小语种小样本数据情况下的语音识别算法性能优化；
4、针对公司硬件产品的声学特性，优化语音识别性能；
5、负责国内外语音识别/机器翻译相关领域的前沿技术研究。


二、任职要求:
1、硕士及以上学历，计算机、模式识别、自动化相关专业；
2、有语音识别算法和系统研发项目经验，有大模型项目经验优先；
3、深入了解语音信号处理，熟悉与语音识别相关的前端信号处理性能评价方法，能与前端联合调优；
4、熟悉常用的深度学习框架和语音识别框架，如Kaldi、PyTorch、TensorFlow等。

截止日期：2027年04月09日
招聘人数：1人",语音识别 大模型 深度学习 PyTorch TensorFlow,https://www.liepin.com/lptjob/81618981
语音合成算法实习生,科大讯飞,180-200元/天,上海-长宁区,上海,硕士,,7月28日更新,liepin,"工作职责：
1. 负责语音AI模型训练优化、合成引擎的开发，确保其高效、稳定运行。
2. 根据任务需求完成大模型微调、参数调优、数据迭代等工作，修复模型效果及线上问题，推动项目的进度。
3. 协助AI算法工程师开展深度学习模型训练、评测、迭代等日常开发工作，保证项目质量。
4. 编写高质量的算法代码，完成模型实验与单元测试，确保代码的可维护性与可复用性。
任职资格：
1. 计算机科学、电子工程、人工智能、语音信号处理等相关领域的学士或硕士在读学位。
2. 精通Python、C++或其他主流编程语言，代码风格规范，具有良好的编程习惯。
3. 熟悉TensorFlow、PyTorch等主流深度学习框架，具备扎实的深度学习算法能力，能够独立解决复杂的模型训练与技术问题。
4. 熟悉常用的数据结构和算法，具备良好的逻辑思维和独立问题解决能力。
5. 熟悉大模型基础原理，掌握LLM微调、参数高效微调（LoRA/QLoRA）、模型对齐等相关技术，有实操经验优先。
加分项：
1. 参与过大模型、语音算法、AI工程性项目的开发和实施。
2. 对AI领域（如语音合成、语音大模型、自然语言处理、多模态大模型等）有较为深入理解。
3. 有语音大模型微调、TTS模型优化、模型轻量化部署相关实验或落地经验。
4. 熟悉Prompt工程、数据集构建、模型效果评测等大模型落地相关技能。

截止日期：2027年07月28日
招聘人数：1人",大模型 深度学习 Python C++ TensorFlow PyTorch LLM 自然语言处理,https://www.liepin.com/lptjob/84468241
语音算法实习生,南京鸿合人工智能科技研究院有限公司,200-250元/天,南京-雨花台区,南京,硕士,,90天前更新,liepin,"岗位职责：
1.负责语音识别相关算法的研究；
2.负责语音识别功能模块的开发，评测性能和效率优化；
3.负责语音识别工具的开发维护，相关工具文档的撰写；
职位要求：
1.计算机相关专业硕士及以上，具备一定的模式识别理论知识；
2.熟悉Linux系统，具备较好的C++或python编程能力，有AI相关开发经验优先；
3.了解语音识别系统基本原理，了解语音识别算法中的一个或多个关键技术点；
4.了解RNN、CNN等深度学习算法及其常用工具如Kaldi、TensorFlow、Caffe、CNTK等；


招聘人数：1人",语音识别 Linux C++ Python 深度学习 TensorFlow Caffe,https://www.liepin.com/lptjob/62412473
语音算法研究实习生,科大讯飞,150-200元/天,合肥-高新区,合肥,硕士,,7月27日更新,liepin,"工作职责
1.参与语音相关算法研究开发，进行论文实验复现
2.参与解决语音相关核心技术在实际应用系统中的问题。
任职要求
1.优先在读学生，计算机、信号处理、自动化、应用数学、机器学习等相关专业，具备一定的数理统计、模式识别、图像处理等理论知识；
2.熟悉NLP，有NLP实习、项目经历优先；熟悉常见深度学习算法和理论，熟练掌握至少一种常见的深度学习框架(Pytorch，TensorFlow等）；
4.具备一定的C/C++或Python编程能力，熟悉数据结构、Linux以操作系统等，有一定的代码开发经历，能够快速实现相关算法；
5.在语音合成/识别、机器学习、自然语言处理等领域有过相关研究经历尤佳。

截止日期：2027年07月27日
招聘人数：3人",机器学习 深度学习 PyTorch TensorFlow C++ Python Linux 自然语言处理,https://www.liepin.com/lptjob/84417377
语音算法实习生,思必驰科技股份有限公司,200-250元/天,苏州-工业园区,苏州,硕士,,5月27日更新,liepin,"职责描述：
1. 跟踪语音识别、语音合成等前沿技术研究及落地；
2. 负责思必驰语音产品的模型训练、测试；
3. 从系统角度优化语音产品的用户体验；


任职要求：
1. 熟悉语音识别、语音合成系统及算法；
2. 有语音相关专业背景和机器学习相关研究经历及经验优先；
3. 良好的发现问题、分析问题、解决问题的能力，和良好沟通能力及团队合作精神.

截止日期：2027年05月27日
招聘人数：1人",语音识别 机器学习,https://www.liepin.com/lptjob/82906349
【27届校招】语音算法工程师,通信设备10000人以上,30-35k·15薪,北京-朝阳区,北京,硕士,应届,7月22日更新,liepin,"工作城市：北京市
岗位职责
1. 参与大模型端到端的语音技术研发。
2. 参与语音技术前沿问题的探索与研究，结合实际应用场景，实现可落地语音技术解决方案。

职位要求:
1.计算机、模式识别、数学、信号与信息处理、语音信号处理、人工智能，机器学习等相关专业背景
2.熟练掌握TensorFlow、PyTorch等深度学习框架
3.具有良好的编程能力，至少熟悉 Java，C/C++，Python中的一门或者多门语言，熟悉 Linux 系统
4.有语音识别/合成方向/音频分析等技术的研究经历者优先
5.具备良好的英文专业文献阅读能力
6.在学术会议或期刊发表过语音技术相关论文者优先
7.实习生必须具备全日制在校学生身份，可全日制实习3个月及以上，高年级硕士或博士优先
AI能力要求
具备 AI 系统调优与集成能力，可进行模型调参、 pipeline 优化，持续提升 AI 功能的效果与效率（支持模型微调与部署）。

截止日期：2027年07月22日
招聘人数：2人",大模型 机器学习 TensorFlow PyTorch 深度学习 Java C++ Python Linux 语音识别,https://www.liepin.com/lptjob/84320275
语音算法工程师,小米汽车科技有限公司,5-6k,周口-川汇区,,本科,应届,90天前更新,liepin,"岗位职责：
1、负责语音方面的数据收集/处理/模型SFT（Fine-Tuning）/评测等工作；
2、负责公司其他相关事务的处理；
3、在人工智能领域Leader的带领下，进行技术创新与研究，对以后在人工智能方向的发展会大有帮助

岗位要求：
公司不是小米，是河南煜民科技有限公司
1、计算机专业或语音方向的应届毕业生或社招都可以；
2、具备本科及以上学历；
3、熟悉语音模型的SFT流程和技术；
4、具备良好的团队协作能力和沟通能力；
5、有志于以后往人工智能方向发展；
6、有志于在河南地区发展


截止日期：2026年08月06日
招聘人数：1人",Fine-Tuning,https://www.liepin.com/lptjob/76293619
语音识别算法实习生,一流科技OneFlow,300元/天,北京-海淀区,北京,一流科技OneFlow,,90天前更新,liepin,"岗位职责：
1. 负责基于 OneFlow 搭建语音识别相关模型，并不断完善和优化算法，解决实际问题；
2. 负责完成从模型搭建到产品上线等全流程工作；
3. 跟踪学术界最新的研究进展和业界最新应用；
岗位要求： 
1. 计算机、信号处理、自动化等相关专业，本科及以上学历；
2. 深入掌握语音识别等技术，有语音领域相关工作经验；
3. 在下述领域有过研究经历，语音识别/声纹识别/语音合成/语音事件检测分类/语音唤醒/音频处理等；
4. 熟悉Python、C++，熟练掌握Kaldi / Tensorflow / Pytorch 等主流深度学习框架；
5. 具备优秀的分析和解决问题的能力，善于快速学习，良好的沟通协作能力。

招聘人数：1人",语音识别 Python C++ TensorFlow PyTorch 深度学习,https://www.liepin.com/lptjob/42322627
