job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
算法工程师,苏州镁伽科技,2.5-4万·16薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-08-07 16:02:11,job51,"岗位职责
负责半导体检测AOI设备的AI缺陷检测算法开发与迭代，覆盖三大方向：
视觉检测AOI（显示面板）：粒子检、偏移检测、裂纹、异物、Peeling、脏污、划痕等（LCD/OLED/PCB/ITO产品线）；
晶圆检测：晶圆表面缺陷检测、裂片检测、外挂AI检测系统（客户模型训练、APP/服务部署）；
先进封装：Bonding AOI、清洗AOI、TGV玻璃基检测、激光加工检测（划裂机/开槽检测）；
主导缺陷检测模型的训练、验证与上线：数据采集与标注规范、模型选型、训练迭代、过漏检指标优化（漏检率&lt;1%、过检率&lt;1%）；
负责算法在产线设备的部署与落地：C++推理库集成、TensorRT/ONNX模型转换与推理优化、多线程性能调优，保障产线节拍要求；
参与客户现场过漏检问题排查与算法调优，输出检测方案与验收报告；
沉淀公共算法模块（CBB）：检测框架、推理组件、工具链标准化，提升团队复用效率；
跟踪前沿技术（零样本异常检测、视觉大模型、检测大模型等），推动算法预研与技术选型；
指导初中级算法工程师，参与代码评审与算法发布规范建设。
任职要求（必须项）
硕士及以上学历，计算机/电子/自动化/光学等相关专业，5年以上工业视觉或AI算法经验；
熟练掌握深度学习目标检测/图像分割算法（YOLO系列、Faster R-CNN、U-Net等），有模型从训练到部署的完整落地经验；
精通Python与PyTorch，熟悉模型训练全流程（数据增强、训练策略、调参、评估指标）；
熟练使用OpenCV/Halcon进行图像处理与ROI分析；
具备良好的过漏检分析与指标优化意识，能基于现场数据定位算法问题并迭代；
具备工程化交付能力：代码规范、版本管理、文档沉淀、跨部门协作（软件/测试/售后/客户）。",C++ ONNX 大模型 深度学习 Python PyTorch OpenCV 数据采集 版本管理 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173193528.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
图像算法工程师(J10225),苏州威达智科技,1.5-2.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-08 17:47:54,job51,"工作职责:
1. 负责工业视觉检测算法的开发
2. 使用Halcon进行算法设计与实现
3. 参与深度学习模型的训练与部署
任职资格:
1. 本科及以上学历，3年以上相关经验
2. 精通Halcon，有项目经验
3. 熟悉C++或C#",深度学习 C++ C#,https://jobs.51job.com/suzhou-gyyq/173200588.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
算法工程师（AOI工业视觉）(J10006),诺德凯（苏州）智能装备,1.5-2.5万·14薪,苏州·吴中区,苏州,硕士,3-5年,2026-08-07 10:50:52,job51,"工作职责:
岗位职责：
1、根据不同项目完成算法编写与调试，常用技术有图像检测，图像跟踪，图像定位，图像拼接，形位公差的各种测量；
2、视觉算法研究及开发，主要方向为工业缺陷检测；
3、维护现场设备算法，协助分析设备算法问题，编写相关资料文档。
任职资格:
任职要求：
1、统招本科及以上学历，3-5年工业视觉算法经验，半导体行业经验是加分项。专业为计算机、机器视觉、自动化、数学、通讯、测控；
2、具有丰富的使用Halcon的机器视觉经验；
3、有较好的数学功底，能吃苦耐劳，动手能力强，有很好自我约束能力。
4、有c++、c#开发经验，具备良好的编程能力。
5、具备主导或者参与过产品研发/搭框架的能力。",C++ C# c#,https://jobs.51job.com/suzhou-wzq/173187290.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
融合定位算法工程师,苏州惠禾科技,2.3-3.5万·13薪,苏州·苏州工业园区,苏州,硕士,1-3年,2026-06-18 09:57:59,job51,"岗位职责
1. 负责割草机器人多传感器融合定位算法的设计、研发与工程化落地，解决户外草坪无GPS、弱GPS、遮挡场景下的定位漂移、丢定位、轨迹偏移等行业痛点，保障机器人长时间作业的定位稳定性。
2. 搭建适配割草机器人的多源融合定位框架，整合GNSS/RTK、IMU、激光雷达、视觉相机、轮速计、地磁传感器等多维度数据，实现高精度、高鲁棒性的实时位姿估计。
3. 优化融合定位核心算法，基于EKF、UKF、粒子滤波、图优化等算法，完成传感器数据校准、时空同步、异常数据剔除、姿态解算、位置修正，适配草坪起伏、低速行走、频繁转向等作业特性。
4. 针对草坪重复纹理、大面积空旷场景、树荫遮挡、信号干扰等特殊场景，迭代融合策略，提升全局定位一致性与局部定位精度，满足全覆盖割草、边界精准作业的定位需求。
5. 负责定位算法的算力优化、延时优化与稳定性测试，适配嵌入式硬件平台，完成实地调试、问题复盘、版本迭代，输出标准化算法方案与技术文档。
6. 联动SLAM、感知、规控团队，打通定位与建图、导航路径规划的闭环，支撑机器人自主回充、定点作业、区域复刻等高级功能实现。
任职要求
1. 硕士及以上学历，导航制导、自动化、机器人、计算机等相关专业，1-3年机器人融合定位算法研发经验，有户外移动机器人定位落地经验优先。
2. 精通多传感器融合定位原理，熟练掌握卡尔曼滤波、图优化等核心算法，熟悉IMU、RTK、轮速、视觉、激光定位的优缺点及融合适配方案。
3. 熟练使用C++编程，熟悉ROS/ROS2开发环境，掌握GTSAM、Ceres、Eigen等主流算法库，具备嵌入式算法优化与部署能力。
4. 熟悉户外机器人定位场景特性，具备解决弱信号、动态干扰、场景同质化下定位问题的实战经验。
5. 具备独立算法调试、数据分析、性能优化能力，能接受户外实地测试，严谨细致，具备良好的技术沉淀与迭代思维。",GPS SLAM C++ ROS SAM 技术文档 数据分析,https://jobs.51job.com/suzhou-gyyq/172606077.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
算法工程师,江苏集萃中科先进光电技术研究所,1.5-2.5万·14薪,苏州·苏州工业园区,苏州,硕士,1-3年,2026-07-23 09:25:29,job51,"岗位职责
1. 负责光学检测设备中的算法开发、验证和优化工作，主要包括膜厚仪、干涉仪等相关设备。
2. 负责光谱、干涉信号、反射率曲线等测试数据的处理与分析，完成测量结果的评估和算法优化。
3. 负责膜厚测量、干涉测量等相关算法模型的建立、调试和维护。
4. 配合光学、机械、电控、软件等人员完成设备联调、问题分析和性能验证。
5. 负责相关算法文档、测试记录、分析报告及项目资料的整理和维护。
6. 根据项目需求，承担其他光学检测、算法分析、实验验证等相关工作。
任职要求
1. 硕士及以上学历，光学工程、光电信息、物理、仪器科学、测控、电子信息、数学等相关专业。
2. 具备光学、干涉、光谱分析、信号处理等相关基础，理解常见光学测量设备的基本原理。
3. 熟悉 Matlab、Python、C/C++ 中至少一种算法开发或数据分析工具。
4. 具备较强的数据分析、问题定位和实验验证能力，能够根据测试现象分析算法或系统问题。
5. 有膜厚仪、干涉仪、光谱仪、椭偏仪、白光干涉、OCT、光学检测设备等相关经验者优先。",MATLAB Python C++ 数据分析 Matlab OCT,https://jobs.51job.com/suzhou-gyyq/173011302.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
RL算法工程师,鸾起科技（苏州）,1-2万·14薪,苏州,苏州,本科,1-5年,2026-08-04 15:06:01,job51,"职位描述:
1.负责机器⼈具⾝操作任务的强化学习算法设计、开发和优化；
2.研究多模态学习⽅法，结合视觉、触觉、⼒反馈提升机器⼈决策能⼒；
3.开发任务规划与控制策略，解决复杂任务分解和⻓时间规划问题；
4.优化从模拟到现实（Sim2Real）的迁移技术，提升算法鲁棒性；
5.跟踪前沿技术，进⾏强化学习算法的调研、性能对⽐和评估；
6.根据需求完成算法开发与代码维护，协助测试团队优化算法性能。
职位要求:
1.硕⼠及以上学历，⼈⼯智能、计算机、机器⼈学等相关专业；
2.掌握强化学习理论，熟悉 PPO、DQN、SAC 等主流算法；
3.精通 Python，熟悉 PyTorch 或 TensorFlow 等深度学习框架；
4.熟悉 Mujoco、Isaac Gym、PyBullet 等机器⼈仿真⼯具；
5.熟悉LLM/VLM/VLA，了解RT-1/2、OpenVLA等多模态具⾝⼤模型经验者优先；
6.在顶会发表论⽂或具备 机器⼈ 项⽬经验者优先；
7.⼯作积极主动，具备良好的团队合作与问题解决能⼒。
base：上海/苏州",多模态 Python PyTorch TensorFlow 深度学习 LLM,https://jobs.51job.com/suzhou/173146628.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
算法工程师,江苏高凯精密流体技术,1.6-3万·13薪,苏州·苏州工业园区,苏州,本科,1年及以上,2026-07-22 16:37:53,job51,"岗位职责：
1、负责对传感器采集的原始信号进行预处理，包括滤波、降噪、基线校正等，以消除环境干扰。同时，从数据中提取时域、频域或非线性特征，并进行模式识别，为后续分析提供高质量的数据基础。
2、根据具体应用场景，设计并实现传感器数据处理算法。
3、系统建模与仿真验证：针对传感器的物理特性构建数学模型，利用仿真工具进行验证。
4.、推动算法从理论走向实际产品落地。负责将算法集成到嵌入式系统（，并进行代码优化，确保算法在低功耗、高实时性场景下的高效运行。
5、跨团队协作与软硬件联调，与硬件工程师、软件开发团队紧密配合，确保传感器硬件设计与算法实现相匹配。参与数据采集与标注流程的优化，完成算法在实际系统中的联调、测试、验证与持续迭代。",数据采集,https://jobs.51job.com/suzhou-gyyq/173006818.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
算法工程师,苏州华工自动化技术,2-3万·13薪,苏州·高新区,苏州,本科,1-3年,2026-07-02 10:29:16,job51,"岗位职责：
1、参与项目前期方案评估，从算法可行性角度确定技术方案与软件架构；
2、负责高精度运动控制、空间耦合寻优、多自由度动态校准等核心算法的设计、编写与验证；
3、主导代码及程序开发，实现精密定位与实时运动控制，提升稳定性；
4、主导现场功能验证及复杂技术问题处理；
5、项目技术总结，推动算法经验沉淀、标定流程标准化及代码库归档；
任职要求
1、本科以上学历，硕士优先，光模块行业经验优先，有代数基础的优先；
2、熟练使用C#编写软件；具备软件架构设计与系统优化能力，熟悉凌华及固高等常用板卡；
3、精通算法，能够独立设计并实现复杂的运动控制系统，优化系统性能；
4、擅长标定算法，1-3年算法工作经验，有光学设备经验更佳
5、能适应出差，配合加班，按要求完成工作；
6、具备多项目管理经验并具有良好的沟通协调能力。",C# 技术方案 项目管理,https://jobs.51job.com/suzhou-gxq/172765588.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
机器人系统软件工程师,苏州镁伽科技,2.5-3.5万·16薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 16:08:47,job51,"工作职责:
1、负责机器人系统软件架构设计、核心模块开发与集成。
2、主导机器人操作系统(比如ROS 2、RTOS)、中间件(比如实时主站)、驱动及硬件抽象层的开发与优化。
3、与硬件、嵌入式、算法等团队协作，实现传感器数据流、运动控制、任务调度等系统模块的高效实时处理，优化系统整体性能。
4、保障系统稳定性、安全性与性能，解决底层关键技术难题。
5、编写核心代码、技术文档，主导代码审查，推动团队工程能力提升。
任职资格:
1、计算机、自动化、机器人等相关专业本科及以上学历，5年以上系统软件开发经验，需有机器人行业工作经验。
2、精通C++，熟悉Python，具备扎实的Linux系统、多线程/进程、网络编程能力。
3、熟悉机器人操作系统（ROS 2、RTOS），熟悉实时主站，有完整的机器人产品系统开发与部署经验。
4、熟悉常见的传感器、执行器通信与驱动开发（如EtherCAT、CAN等）。
5、具备嵌入式系统、实时系统或高性能计算优化经验者优先。
6、具备优秀的系统调试、性能分析与解决问题能力，能独立主导技术模块。",ROS RTOS C++ Python Linux CAN 技术文档,https://jobs.51job.com/suzhou-gyyq/173193686.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
VLA算法工程师,苏州镁伽科技,3-5万·16薪,苏州·苏州工业园区,苏州,硕士,1年及以上,2026-08-07 16:07:03,job51,"工作职责:
具身大脑的研发工作
任职资格:
1、计算机、人工智能、自动化等相关专业硕士以上学历，985院校优先；
2、具备扎实的深度学习基础，熟悉 Transformer/BERT/VIT/CLIP/BLIP等主流视觉语言模型框架；
3、有大模型（VLM/LLM）训练推理优化的经验，熟悉其在多模态任务中的应用；
4、有VLA建模、生成式扩散模型例如（diffsuion、flowmaching）、多模态强化学习相关的技术背景；
5、熟练使用TensorFlow、PyTorch等深度学习框架，具备良好的工程能力与代码实现的能力；
6、具有良好的沟通能力与团队协作的能力，具备解决问题与接触新知识快速学习的能力；
7、熟悉开源大模型，例如PI0、RT2、GROOT N1、OpenVLA等，并有实际的使用经验与优化重构的能力；
8、熟悉具身智能领域常用的数据集；",深度学习 Transformer BERT CLIP 大模型 LLM 多模态 TensorFlow PyTorch,https://jobs.51job.com/suzhou-gyyq/173193654.html?s=sou_sou_soulb&t=0_0&req=7432c79c5ce2abd370b943e42d723dbc
