job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
嵌入式软件工程师,苏州市悠越电子,1.2-2.4万,苏州·高新区,苏州,本科,5年及以上,2026-08-07 13:39:12,job51,"负责汽车氛围灯控制系统的核心软件开发，确保产品与车辆网络无缝集成。具体工作包括： 
1、嵌入式软件开发：基于MCU（微控制器）平台，使用C语言进行氛围灯控制软件的设计、编码和调试。 
2、总线通信集成：实现CAN和LIN总线通信协议，负责氛围灯与车辆ECU（电子控制单元）的数据交换和命令处理。 
3、系统架构设计：参与软件架构规划，优化代码性能、功耗和可靠性，确保符合汽车行业标准（如AUTOSAR或功能安全要求）。 
4、测试与验证：进行单元测试、集成测试和实车测试，排查软硬件问题，确保产品稳定性和安全性。 
5、跨团队协作：与硬件工程师、测试工程师紧密合作，完成软硬件联调和技术文档编写。 
6、技术升级：跟踪汽车电子新技术，持续改进氛围灯功能（如动态效果、OTA升级等）。

要求：
1、 有单片机开发经验，偏软件，熟悉常用的开发工具，有一定的单片机编程经验；
2、 熟练掌握汇编语言和C语言；
3、5年以上相关经验。",MCU C语言 CAN 单片机 汇编 技术文档,https://jobs.51job.com/suzhou-gxq/173189877.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
PC软件工程师,苏州欣华锐电子,8千-1万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 17:34:59,job51,"1.架构设计：负责 PC 端应用软件的整体架构设计，包括分层架构规划、模块划分、接口定义、数据流设计，搭建可扩展、可维护的软件架构。
2. 上位机通信开发：负责 PC 端与设备之间的通信协议设计与开发，精通网口（Ethernet/TCP/IP）、Type-C、USB 等主流通信接口的驱动开发与数据交互。
3. 设备控制软件：开发设备控制与数据采集上位机软件，实现设备状态监控、参数配置、数据上传下载、固件升级等功能。
4. 驱动开发：完成 USB 设备驱动、WinUSB/libusb 通用驱动封装、Type-C PD 协议交互、网口通信协议栈（Modbus TCP/UDP/自定义协议）的开发与调试。
5. 界面开发：负责 PC 端图形界面（GUI）设计与开发，提供直观、易用的设备控制与数据可视化界面。
6. 跨平台适配：完成软件在 Windows 与 Linux 双平台的编译与运行适配，维护跨平台构建脚本与 CI/CD 流程。
7. 调试与测试：使用主流开发工具进行代码调试、性能分析与单元测试，使用 Wireshark、USBlyzer 等协议分析工具进行通信报文抓包与问题定位。
8. 技术文档：编写软件架构设计文档、接口协议文档、调试手册及用户手册，其中含英文技术文档编写。
9. 跨团队协作：与嵌入式软件工程师、硬件工程师协作，对接设备固件协议、驱动接口与硬件寄存器映射，推动产品联调闭环。
10. 技术预研：跟踪 PC 端技术发展趋势，评估新技术方案（如微服务架构、跨平台框架、高性能通信等），完成技术调研与原型验证。",TCP/IP Modbus Linux CI/CD 微服务 数据采集 技术文档 技术方案,https://jobs.51job.com/suzhou-gyyq/173195865.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
电力通信协议开发工程师（主站方向）,苏州银蕨电力科技,1.6-3万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-21 13:10:06,job51,"岗位职责：
1.通信协议实现与架构集成：
在终端设备（PMU/FTU/DTU/FCI/Sensor 等）及通信管理机上，负责 IEC 60870-5-101/104、DNP3.0、IEC 61850（MMS/GOOSE/SV）等规约的开发、移植与调试 。
实现电力终端数据通过 MQTT 等物联网协议安全接入云平台，参与协议栈的集成与性能优化 。
2.系统级联调与对点：
主导终端设备在实验室及现场与各级配网/调度/监控主站的接入联调 。
负责“四遥”信息的标准化工作，确保带时间标签采样数据的准确传输与验证。
3.技术攻坚与支持：
针对现场通信中断、数据异常等复杂问题进行根因分析（RCA），并利用工具进行深度报文分析 。
编写接入调试文档与运维手册，为客户及工程团队提供技术赋能 。

任职要求：
1. 本科及以上学历，电力系统、电气工程、计算机或软件工程相关专业 ；
2. 精通 IEC 104、IEC 61850 等至少一种核心规约的报文结构与流程 ；
3. 精通 TCP/IP 网络通信，具备 Socket 编程经验，能熟练使用 Wireshark 分析网络故障 ；
4. 熟练掌握 C/C++（嵌入式方向必备），或熟悉 Python/Go 等后端语言 ；
5. 具备严密的逻辑思维，能适应短期出差，具备独立解决现场突发问题的能力 ；
6. 3 年以上电力自动化领域经验，有终端厂家主站接入或协议库开发经验者优先 。",Go MQTT TCP/IP C++ Python PMU FTU DTU,https://jobs.51job.com/suzhou-gyyq/171782232.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
资深嵌入式无线通信开发工程师,江苏振翔车辆装备,1.5-2.5万,苏州·高新区,苏州,本科,5年及以上,2026-07-24 14:42:47,job51,"岗位职责：

1、负责无人机、地面无人小车硬件端与Windows平板之间双向无线通信方案选型、开发调试；包含遥控下行指令下发、设备状态、传感器数据、视频数据流上传至平板端。
2、根据项目场景选择合适远距离无线链路（OFDM私有图传电台、2.4G‑5.8G双向数传模块、COFDM模块），完成底层通信适配，实现6‑8公里视距条件下稳定通信；区分控制指令（低延迟）和高清视频流数据传输。
3、在嵌入式设备端（STM32）编写程序，完成串口、网口数据封装；设计MQTT或者自定义通信协议，做数据分包、校验、丢包重传、心跳保活、数据加密处理。
4、开发Windows‑平板端接收程序（Windows10/11），采用Python、C++或者C#编写上位机程序；完成数据解析、指令下发、视频画面解码展示、设备状态实时显示。
5、解决移动场景下信号波动、多路径干扰问题，优化延迟，保证遥控指令时延控制在300ms以内；配合硬件工程师调试射频模块，排查通信断连、延迟高、丢包问题。
6、整理通信协议文档、接口文档，后期提供代码维护和版本迭代。

任职要求：

1、本科及以上学历，计算机、通信工程、自动化、电子信息相关专业；5年或以上无线通信开发经验。
2、熟练STM32开发，熟悉TTL串口、以太网通信；精通C语言，能独立编写底层收发程序；懂MQTT、TCP‑UDP套接字编程。
3、熟悉远距离无线数传、OFDM/COFDM图传模块使用；做过无人机或者无人车设备通信项目优先，了解大疆OcuSync、国产双向图数传模块者优先。
4、熟练Windows平台C#或者C++或Python开发，会使用Socket编程；能独立开发Windows平板端上位机，完成数据接收解析、视频播放。
5、熟悉数据通信基础知识：数据帧设计、CRC校验、心跳机制、分包重组；了解网络丢包、延时优化策略。
6、可以看懂硬件手册，配合硬件人员完成模块接线调试；做事严谨，能独立排查现场通信问题，能偶尔外出场地实测调试；
7、加分项：
① 了解视频解码（H264/H265）；
② 熟悉自组网电台、LoRa、4G/5G通信方案；
③ 有嵌入式设备‑Windows端整套通信落地项目。",4G STM32 MQTT 加密 Python C++ C# C语言 LoRA 5G,https://jobs.51job.com/suzhou-gxq/173032660.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
资深ICT工程师,特理尔科技（苏州）,1-2万·14薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-03 13:33:53,job51,"【工作内容/专业技能】
！！资深人才招聘，薪资面议，非诚务投！！
1、软件工具：精通Digitaltest自带软件（如Fabmaster, Cad Convert等），能熟练进行Gerber解析与网络对比。
2、电路基础：具备极强的模拟/数字电路分析能力，能读懂复杂原理图，熟练使用示波器、万用表进行硬件故障定位。
3、编程能力：熟悉BT-Basic者加分，掌握Python/VBA用于测试数据自动化分析者优先。
4、DFT能力：能独立评估测试点分布合理性，对不可测点有清晰的判断依据。
5、综合素质：英语能阅读英文技术手册（Datasheet），具备良好的跨部门沟通能力和抗压能力。
【任职要求】
1、本科及以上学历电子、自动化、通信或测控等相关专业；
2、5年以上PCBA ICT测试开发经验；
3、必须拥有Digitaltest (DT) MTS系列设备的实际开发经验（熟悉MTS180/MTS300操作界面及软件环境）；
4、有汽车电子（IATF16949）、工业控制或医疗设备行业背景者优先
5、英语听说读写流利，能胜任跨国技术交流工作；
6、具备极强的抗压能力与问题解决思维，适应驻场工作及弹性出差安排。",Git LTE Python Cad Datasheet DT IATF16949,https://jobs.51job.com/suzhou-gyyq/173128564.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
基带系统工程师2026WN,瑞晟微电子（苏州）,2-3.5万,苏州,苏州,硕士,2-10年,2026-07-07 14:02:44,job51,"岗位职责：
1、负责雷达中频信号处理链路设计，包括ADC数据采集、距离/速度/角度维FFT、CFAR目标检测、DOA超分辨测角等；
2、开发杂波抑制算法（MTI/MTD、空时自适应处理STAP），提升低信噪比下的检测能力；
3、完成雷达系统的校准与标定算法，包括IQ不平衡校正、通道间幅相一致性补偿；
4、感知算法研发，实现人体存在检测、跌倒识别、呼吸心率监测、手势控制等功能，聚焦低成本、低功耗、高鲁棒性场景，解决风吹窗帘/风扇等复杂环境下的虚警问题。

岗位要求：
1、电子、通信、信号处理等相关专业硕士及以上学历；
2、精通雷达信号处理理论：FMCW/脉冲雷达体制、匹配滤波、多普勒处理、阵列信号处理；
3、掌握数字信号处理基础：FFT、滤波器设计、插值/抽取、时频分析；
4、熟悉统计信号处理：检测估计理论、卡尔曼滤波、粒子滤波；
5、有雷达算法相关项目或竞赛经历，具备完整量产项目经验者优先；
6、熟悉ADAS、智能家居、安防监控、机器人等特定领域需求者优先；
7、熟悉MATLAB/Octave、C/C++。",MATLAB C++ 数据采集 MTI MTD FMCW FFT Octave,https://jobs.51job.com/suzhou/170398965.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
信号完整性工程师（意华）,苏州意华通讯接插件,1-1.5万·13薪,苏州·吴江区,苏州,本科,3年及以上,2026-06-23 14:41:31,job51,"工作内容描述 
1.设计优化连接器或者线缆的SI结构；
2.异常分析高速连接器或者线缆的SI实测SI项目不达标原因，并优化改善；
3.解读连接器和线缆的SI规范，并能看懂各参数规格及建模编程计算部分参数；
经验 
1.本科学历，电子信息工程 / 通信工程、电磁场与微波技术、电子科学与技术等相关专业；
2.熟悉PCB设计软件，及制造工艺；
3.熟悉网络分析仪测试操作，了解各项SI测试及数据处理；
技能 
1.英语至少过4级，能看懂英语文献；
2.熟练使用SI领域常用设计辅助软件；
3.掌握MATLAB编程，会编写程序；",MATLAB,https://jobs.51job.com/suzhou-wjq/172653875.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
信号完整性工程师,苏州瑞创连接技术,1-2万,苏州·吴中区,苏州,本科,3年及以上,2026-06-23 10:20:45,job51,"岗位职责：
1、负责高速连接器/线缆组件的SI建模、仿真及性能优化，并提出改进方案，输出报告；
2、设计高速测试板，完成TDR、S参数、眼图等电气性能测试；
3、对比仿真与实测数据，定位异常并推动设计迭代；
4、参与对接客户需求，提供连接器/线缆选型、SI性能评估及技术方案；

任职要求：
1、 本科及以上学历，电子、通信、电磁场等相关专业；
2、要求英语四级以上，具备英文文献阅读和报告撰写能力
3、 3年以上高速连接器/线缆组件或PCB的SI仿真/测试经验；
4、具备56G/112G及以上速率连接器/线缆设计或认证经验者优先；
5、了解PCIe，GenZ，IEEE802.3ck等高速协议规范者优先；
6、熟练掌握HFSS、CST等信号完整性仿真软件；
7、精通网络分析仪（VNA）、TDR等测试设备操作；
8、熟悉PCB设计、高速测试板开发及高频材料特性；
9、沟通能力强，抗压能力佳，具备良好的学习意识与知识更新能力",PCIe 性能测试 技术方案 GenZ IEEE802. VNA,https://jobs.51job.com/suzhou-wzq/172647027.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
数通光模块系统工程师,苏州北楼科技,2-4万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-15 16:28:19,job51,"岗位职责:
1. 负责100G/400G/800G/1.6T等高速数通光模块整体系统方案设计、链路架构搭建，输出系统规格、光链路预算、整机适配方案文档；遵循SFF、CMIS等MSA行业标准定义模块光、电、功耗、散热、时序全维度指标。
2. 牵头光模块系统级仿真验证，完成光链路、高速电信号完整性仿真建模，预判色散、损耗、串扰、误码等风险，迭代优化PAM4/OOK调制系统参数。
3. 统筹TOSA/ROSA、DSP、高速连接器等核心器件系统选型，输出选型标准；协同硬件、光学、固件、测试团队完成样品调试、小批量试产、量产导入全流程，闭环解决系统兼容性、稳定性问题。
4. 制定系统级测试大纲、验收标准，主导高低温、眼图、BER误码、长期可靠性验证；处理客户返品、研发失效问题，输出8D整改报告，推动方案优化迭代。
5. 对接市场、客户FAE，输出技术对标、方案白皮书、答疑资料；跟踪AI算力数据中心高速互联行业技术趋势，沉淀设计规范、专利等技术资产。
任职要求:
1. 本科及以上，光电信息、通信工程、电子信息、光通信相关专业；3年及以上数通光模块系统研发实战经验，旭创/新易盛/光迅/华工等大厂履历优先。
2. 精通高速数通光模块架构，吃透PAM4/OOK调制、高速SI信号完整性、光链路预算、色散补偿核心技术；熟练使用VPI、OptiSystem等光学仿真工具，具备基础Python数据处理能力。
3. 熟悉OSFP、QSFP-DD等主流封装，精通SFF-8636、CMIS等国际MSA协议标准；熟练操作误码仪、示波器、眼图仪、光功率计等整套测试设备，可独立完成系统故障定位攻关。
4. 具备完整400G/800G数通光模块从预研到量产落地项目经验优先；有硅光、CPO数通模块预研经历加分。
5. 优秀跨部门协同、逻辑复盘能力，能抗压独立扛项目，兼顾技术可行性与量产成本平衡。",ROS DSP Python 方案设计 专利 ROSA QSFP-,https://jobs.51job.com/suzhou-gyyq/172562172.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
无线及音频电控开发工程师,锐迈科技,1-2万·13薪,苏州·吴江区,苏州,本科,3年及以上,2026-07-27 16:28:27,job51,"""岗位职责及任职要求

1、负责带蓝牙、WiFi无线传输功能的电控模块硬件开发，完成无线电路原理图设计、线路整改、性能优化，解决无线配对、断连、干扰、信号弱等各类射频、通讯异常问题。
2、精通语音控制系统、声学电路、音箱音频硬件设计，负责麦克风拾音、语音收音、功放输出、喇叭音频回路设计与优化，改善底噪、电流声、破音、音质失真等音频问题。
3、独立完成相关产品PCB绘制、改版、布线优化、拼板设计，重点优化射频走线、音频模拟走线、阻抗匹配，兼顾无线性能、音频效果与SMT量产工艺。
4、负责单片机硬件开发与APP联动适配，配合软件端完成设备通讯协议对接、功能联调，实现设备与手机APP的数据交互、控制、配网、蓝牙连接等功能落地。
5、协同研发开展新产品样机调试、功能测试、射频测试、音频性能测试与设计验证，输出整改方案，完成新品从试产到量产的全部问题闭环。
6、对接供应链，负责无线芯片、音频功放、硅麦、喇叭等元器件选型、替代验证，解决来料、打样、量产阶段的硬件及供应链技术异常。
7、本科及以上学历，电子、电气、自动化相关专业，3年以上蓝牙WiFi无线硬件+音频声学电控开发经验，熟悉数模电路、射频电路、音频电路设计。
8、熟练使用绘图软件，熟练使用示波器、频谱仪、音频测试仪等设备，可独立排查无线、音频、通讯类硬件故障。
9、具备良好的跨部门沟通能力，可高效对接软件、结构、工艺、供应链，推进新品迭代、品质优化与降本改善。

优先条件：有智能音箱、语音交互产品、智能家居WiFi蓝牙设备、音频功放产品完整开发量产经验者优先。""",WiFi 单片机 功能测试 性能测试 供应链,https://jobs.51job.com/suzhou-wjq/172484254.html?s=sou_sou_soulb&t=0_0&req=9efbaa4e286c0b9690468c294b5e5e1d
