job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
算法工程师,中移系统集成有限公司,面议,武汉·江汉·唐家墩街,武汉,本科,1-3年,7月26日,zhilian_direct,职位描述 深度学习 机器学习 图像算法 人工智能 职位描述 1、负责大模型核心技术的研究与开发，深入理解其工作原理，不断探索创新应用场景; 2、负责大模型应用的构建过程，从需求分析、模型设计到开发实现与优化，确保应用的高效性与准确性; 3、对大模型应用的效果进行持续调优，通过数据分析与算法改进，提升模型的性能和用户体验; 4、与跨部门团队紧密合作，包括工程师、产品经理等，共同推动项目的顺利进行; 5、关注行业动态与技术趋势，及时引入新的算法技术和理念，为公司的技术发展提供前瞻性建议。 职位要求 1、本科及以上学历，计算机科学、人工智能、数学等相关专业，具有1年以上大模型相关工作经验; 2、熟练掌握至少一种主流的深度学习框架，如TensorFlow、PyTorch等; 3、熟悉大模型相关技术，对大模型核心技术有深入的理解，包括但不限于模型架构、训练算法、优化策略等，有大模型 SFT、RLHF等实操经验者优先; 4、熟悉大模型主流应用场景，如RAG、Graph-based RAG、Agent等，有实际落地经验者优先; 5、熟悉大模型应用开发框架，包括但不限于LangGraph等，有实际应用开发和项目落地经验者优先; 6、具备优秀的编程能力，熟练使用Phthon、C++等编程语言。 工作地点 武汉市-江汉区-新华路468号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,图像算法",http://www.zhaopin.com/jobdetail/CC120130760J40852837302.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
AI平台算法工程师,财达证券,面议,北京·丰台·太平桥,北京,硕士,5-10年,7月26日,zhilian_direct,岗位职责： 1、行业技术追踪与引入：跟踪前沿AI技术（如联邦学习、多智能体协同、各类Agentic AI框架），评估其在券商场景的应用潜力，研究及引入垂域Agentic AI技术（如 Deep Research、CodeAgent、Agentic RAG）的进展，构建技术选型矩阵，制定金融场景的适配路径与集成方案。 2、场景落地效果及性能优化：深入理解券商业务，将Agentic AI技术与业务痛点结合，提供创新的技术解决方案并推动落地。主导设计并持续迭代面向金融应用场景的Agentic AI系统，特别是Harness Engineering工作，重点突破ContextEngine、Memory、Tool Use、ReAct、Plan-and-Execute、Skill、Knowledge Graph 等核心能力，以提升相关能力在复杂金融应用环境中的自主性与适应性。结合业务场景对性能(TTFT/TPOT/吞吐）的需求，不断优化推理性能，实现有效的推理加速，提升用户体验及降低Token成本。 3、具备较强的协调推进能力，可独立对接多方需求，保障技术方案顺利落地执行。 任职要求： 1、硕士及以上学历，计算机、人工智能、大数据、统计学、金融工程等相关专业背景，NLP/知识图谱/机器学习/视觉图像/语音视频等优先。 2、技术能力：熟悉 Python 编程语言，了解常用数据结构和算法，熟悉使用AI Coding工具。了解常用的机器学习、深度学习、强化学习相关算法，对Transformer架构、GPT/DeepSeek、LangChain等有了解。深入了解Agentic AI相关技术如AgentLoop、Memory、Content Engine、Harness Engineering优先。 3、工作经验：具有AI相关工作经验不少于5年，其中大模型相关项目经验不少于2年，包括但不限于大模型/强化学习/Agentic AI/智能体/后训练/预训练/AI Coding/NLP/知识图谱/对话机器人/智能客服/内容生成/内容理解等相关项目经验优先。 4、持有证券从业资格。 5、特别优秀者可适当放宽年龄、学历。 报名截止时间：2026年7月26日 工作地点 北京丰台区晋商联合大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,AI,http://www.zhaopin.com/jobdetail/CC438042080J40876979910.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
电力交易算法工程师,瑞锋综合能源(北京)有限公司,2.5-3.5万,北京·朝阳·建外,北京,本科,1-3年,7月26日,zhilian_direct,岗位职责 1.负责电价、负荷、气象及交易数据的清洗、特征构建和数据库维护。 2.独立开发、验证并迭代电价预测、负荷预测等模型。 3.完成模型部署、接口封装、定时运行、日志监控及异常处理，保障交易节点前稳定输出。 4.开发交易测算、偏差分析、风险预警及数据看板等辅助工具。 5.持续跟踪模型效果，分析预测误差和数据漂移，优化特征、参数及验证方法。 6.与交易团队协同梳理需求，形成清晰的数据口径、技术文档和模型说明。 任职要求： 1.本科及以上学历，计算机、数学、统计学、自动化、电气工程等相关专业。 2.具有1—3年算法开发、数据分析或数据工程经验，能够独立完成模型开发及上线。 3.熟练使用Python、Pandas、NumPy、Scikit-learn，掌握LightGBM、XGBoost或PyTorch中的至少一种。 4.熟悉时间序列建模、交叉验证、样本外测试，具备防范过拟合和数据泄露意识。5.熟悉SQL、Linux、Git，能够使用Flask或FastAPI封装模型服务并配置定时任务。 6.具备较强的工程实施、问题分析和跨团队沟通能力。 7.具有电力市场、负荷预测、新能源功率预测或量化交易项目经验者优先。 工作地点 北京市-朝阳区-建国路126号15 层 1501 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Xgboost,PyTorch,深度学习,多模态算法,自然语言处理",http://www.zhaopin.com/jobdetail/CCL1516830060J40877454414.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
高级算法工程师,叭狗数智(深圳)健康科技有限公司,1.5-2.5万,深圳·龙岗·吉华,深圳,硕士,经验不限,7月26日,zhilian_direct,职位描述 语音识别 大模型算法 多模态算法 通信算法 人工智能 · 核心职责： 1. 建模与算法：负责基于腰部多传感器（如压力、肌电、惯性测量单元）数据，构建人体疲劳度/肌肉紧张度模型，设计从“原始数据 → 特征提取 → 模式识别 → 档位匹配”的推荐算法。 2. 策略优化：结合用户体征（身高、体重、年龄）与实时体态，通过强化学习或规则引擎，实现千人千面的力度/模式动态输出。 3. 数据闭环：搭建离线仿真环境验证算法效果，并设计线上A/B测试框架，根据用户反馈持续迭代推荐策略。 · 任职要求： · 硕博优先，计算机、自动化、生物医学工程背景。 · 硬技能：精通Python/C++，熟悉TensorFlow/PyTorch；熟悉时间序列分析（LSTM/Transformer）或强化学习；有嵌入式Linux或RTOS算法移植经验加分。 · 软技能：对肌电/压力信号特征提取有实际项目经验者优先。 在读生也可以考虑 工作地点 深圳龙岗区华通智慧园1306 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音识别,大模型算法,多模态算法,通信算法",http://www.zhaopin.com/jobdetail/CCL1520381250J40897826813.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
算法工程师（导航与Slam）,辛顿人工智能科技有限公司,2-3.5万,上海·宝山·大场,上海,硕士,1-3年,7月26日,zhilian_direct,岗位职责 1.研究并开发机器人导航与SLAM算法； 2.负责机器人导航与SLAM算法工程化实现及将相关应用到机器人版本开发； 3.研发技术文档编写，研发产品的测试、评估及维护。 任职要求： 1.硕士学历；计算机/自动化/电子/数学/人工智能等相关专业； 2. 熟悉A*， 和A*变种规划器，掌握DWA， TEB，PP等跟踪算法，有Nav2开发经验 3.精通C++/Python/Shell等编程语言开发，具有较强的工程实践能力； 4.熟悉ROS2、Ubuntu、Linux，熟悉ROS2下机器人系统的设计开发； 5.有较强的责任心、沟通力、抗压力和团队精神。 如能有下面的技能优先： 1、有机器人应用经验优先考虑； 工作地点 上海宝山区辛顿人工智能科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器人算法,SLAM,C/C++,移动机器人,ROS2,Python,Shell",http://www.zhaopin.com/jobdetail/CC848301190J40883237313.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
c++高级Slam算法工程师,兰剑智能,1.5-2.5万,济南·历城·港沟,济南,本科,3-5年,7月26日,zhilian_direct,"岗位职责: 岗位职责： 负责AMR激光SLAM & 定位产品研发工作，包括相应功能的需求对接、功能设计、开发、验证； 任职要求: 1.3+年机器人方向工作检验，1年以上激光SLAM（定位）研发经验； 2. 掌握激光SLAM &定位相关基础理论和算法，掌握激光SLAM算法框架cartographer原理、且有相关研发经验。有解决激光定位中高动态场景问题相关经验、建图效率及质量优化相关经验优先； 3. 了解激光雷达、里程计、imu等相关传感器数据以及使用方法，掌握多传感器融合，与scan match、ICP等点云匹配相关算法理论与实现，掌握激光SLAM中闭环检测理论方法及相关优化经验； 4. 有扎实的数学基础（矩阵理论、概率论、最优化等），熟悉EKF、粒子滤波、G2O、BA等方法； 5. 精通C++等编程开发，熟悉ceres、PCL、eigen等相关库的使用，熟悉git，具备良好的代码编程、调试和维护能力，熟悉Linux和ROS优先； 6. 具有较强的技术文档整理、分析、撰写能力； 7. 可承受压力，有责任感，较强的沟通协调能力，具有团队合作精神并敢于承担责任，独立或合作解决技术难题。"" 工作地点 济南历城区海信·龙奥九号1号楼17层-21层（人力资源部） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C++,机器人开发,激光雷达,AMR/AGV",http://www.zhaopin.com/jobdetail/CC120752170J40790297916.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
定位算法工程师,格力博(江苏)股份有限公司,2-4万·13薪,常州·钟楼·北港,常州,硕士,1-3年,7月26日,zhilian_direct,岗位职责： 多传感器融合定位算法研发：负责研发基于GNSS/INS、视觉SLAM（V-SLAM）、激光SLAM（L-SLAM） 等多传感器融合的高精度定位算法，解决复杂环境下的定位鲁棒性与精度问题。 核心算法设计与实现：设计并实现V-SLAM与L-SLAM的前端里程计、后端图优化及闭环检测算法；开发GNSS/INS紧耦合或松耦合组合导航算法，应对卫星信号丢失或遮挡等异常情况。 系统集成与工程化部署：将定位算法模块集成到嵌入式平台或机器人/车载系统中，负责传感器标定（Camera-IMU、Lidar-IMU）、时间同步及算力优化（如CUDA加速、ARM平台部署），确保算法的实时性与资源消耗达标。 测试与性能评估：设计并实施定位系统的仿真与实景测试方案，建立量化评估体系（如绝对定位精度、重复定位精度），通过数据分析持续迭代优化算法，解决定位漂移、跳变等实际问题。 技术调研与落地：跟进SLAM及组合导航领域前沿技术（如LIO、VIO、因子图优化等），推动低成本、可量产的高精度定位方案在产品中的落地。 任职要求： 教育背景：硕士及以上学历，导航制导与控制、车辆工程、自动化、计算机科学、测绘工程、机器人、电子信息等相关专业。 编程与工程能力： 精通C++，熟练使用Python进行算法验证与数据分析。 熟悉Linux开发环境，具备ROS/ROS2实际项目开发经验。 有嵌入式平台（如RK系列、ARM）算法部署与优化经验者优先。 加分项： 在自动驾驶、无人机、服务机器人、智慧矿山/港口等领域有实际产品落地经验。 发表过相关领域顶会/期刊论文（如ICRA、IROS、CVPR等）或有开源项目贡献。 熟悉传感器标定（内参、外参）与时间同步等工程细节。 工作地点 常州钟楼区格力博集团 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C/C++,自动驾驶,定位算法,导航定位",http://www.zhaopin.com/jobdetail/CC136251470J40864585111.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
AI大模型算法工程师,京北方,1.8-3万,北京·海淀·紫竹院,北京,本科,5-10年,7月26日,zhilian_direct,职位描述 大模型算法 GPT 知识图谱 TensorFlow Python Java 大模型 人工智能 金融科技/数字金融 银行 工作职责: 1.基于NLP、大模型等人工智能技术，开发适用于金融场景的智能应用服务。 2.与算法工程师协作，完成AI相关的数据处理、模型训练，并封装模型预测接口服务。 3.配合公司交付项目团队在全国范围内为客户部署和调优AI服务。 4.参与人工智能NLP大模型技术的前沿预研，探索金融科技创新应用的落地场景。 5.参与需求分析、产品设计，并撰写相关项目文档。 任职要求: 1.3年以上Python开发经验，精通Python语言，熟悉Linux操作系统及常用命令。 2.精通RESTfulAPI设计与开发，具备多线程编程经验，能够进行性能调优和问题定位。 3.熟悉文档解析、语音识别、向量库操作中的一种或多种技术。 4.了解人工智能、NLP、大模型等技术，具备模型训练、调优和数据分析能力。 5.具备较强的学习能力、问题发现与解决能力、团队合作意识，具备责任心、良好沟通能力、自主驱动、勇于挑战和创新精神。 其他加分项: 1.接受出差及适量加班。 2.做过银行交付项目。 工作地点 北京海淀区青政大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大模型算法,GPT,知识图谱,TensorFlow,Python,Java,大模型",http://www.zhaopin.com/jobdetail/CC315847110J40866753407.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
c++高级Slam算法工程师+上市企业,兰剑智能,1.5-2.5万·13薪,济南·历城·港沟,济南,本科,3-5年,7月26日,zhilian_direct,"岗位职责: 岗位职责： 负责AMR激光SLAM & 定位产品研发工作，包括相应功能的需求对接、功能设计、开发、验证； 任职要求: 1.3+年机器人方向工作检验，1年以上激光SLAM（定位）研发经验； 2. 掌握激光SLAM &定位相关基础理论和算法，掌握激光SLAM算法框架cartographer原理、且有相关研发经验。有解决激光定位中高动态场景问题相关经验、建图效率及质量优化相关经验优先； 3. 了解激光雷达、里程计、imu等相关传感器数据以及使用方法，掌握多传感器融合，与scan match、ICP等点云匹配相关算法理论与实现，掌握激光SLAM中闭环检测理论方法及相关优化经验； 4. 有扎实的数学基础（矩阵理论、概率论、最优化等），熟悉EKF、粒子滤波、G2O、BA等方法； 5. 精通C++等编程开发，熟悉ceres、PCL、eigen等相关库的使用，熟悉git，具备良好的代码编程、调试和维护能力，熟悉Linux和ROS优先； 6. 具有较强的技术文档整理、分析、撰写能力； 7. 可承受压力，有责任感，较强的沟通协调能力，具有团队合作精神并敢于承担责任，独立或合作解决技术难题。"" 工作地点 济南历城区海信·龙奥九号1号楼17层-21层（人力资源部） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C++,激光SLAM,AMR/AGV",http://www.zhaopin.com/jobdetail/CC120752170J40790296816.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
成像系统算法工程师,太原国科半导体光电研究院有限公司,2-4万,北京·海淀·学院路,北京,硕士,1-3年,7月26日,zhilian_direct,岗位职责 1、负责焦平面阵列（FPA）成像链路中的核心算法开发，包括非均匀性校正（NUC）、坏元检测与替换、图像增强与降噪等； 2、参与成像系统ISP算法架构设计与优化，提升系统成像质量与实时性； 3、针对传感器特性进行算法建模与仿真，分析并解决工程中的成像质量问题； 4、与探测器设计、ROIC设计及系统集成团队协同，完成从芯片到图像输出的全链路调优； 5、跟踪国内外前沿算法技术，推动新算法在产品中的落地。 三、基本要求： 1、硕士及以上学历，信号与信息处理、电子工程、计算机视觉、光学工程、生物医学工程等相关专业 2、具备2年以上图像/信号处理算法开发经验 3、扎实的数字图像处理基础，熟悉去噪、增强、校正、配准等经典算法原理 4、熟练使用C/C++或Python进行算法开发，有MATLAB经验者亦可 5、具备良好的数学基础（线性代数、概率统计、优化理论） 6、有独立分析和解决复杂工程问题的能力 7、具备以下经验任一优先： ▲红外/太赫兹/紫外等非可见光成像系统算法开发经验 ▲医学影像（CT/MRI/超声/内窥镜）图像处理或重建算法经验 ▲遥感/高光谱/多光谱图像处理与辐射定标经验 ▲雷达/SAR/声纳等传感器信号与图像处理经验 ▲计算摄影、低照度成像、HDR合成或手机ISP相关开发经验 ▲FPGA或嵌入式平台上的实时图像处理算法部署经验 ▲熟悉焦平面阵列（FPA）成像特性、非均匀性校正原理者特别优先 四、我们提供 1、完善的红外成像领域技术培训体系，帮助跨领域人才快速建立专业知识 2、从芯片到系统的全链路技术接触机会，技术成长空间大 3、有竞争力的薪酬福利 4、入职缴纳五险一金 5、周末双休，节假日按照法定休息 6、入职满1年后享带薪年假及工龄奖金 7、节假日福利 工作地点 北京海淀区北林孵化器3-203 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,图像算法,http://www.zhaopin.com/jobdetail/CCL1305428420J40997670604.htm?refcode=4019&srccode=401903&preactionid=3728a958-98e2-477d-ae42-c20de850a39c
