job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI工程师（机器视觉与人工智能）,苏州殷迪新科技,1-1.5万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-24 17:00:19,job51,"岗位职责
1、设计与开发图形用户界面（GUI）、数据流结构及设备运动控制流程
2、开发计算机视觉算法，用于特征识别并引导系统定位至目标兴趣区域（ROI）
3、对图像进行标注以支持 AI 模型的训练
4、训练深度学习模型，并优化推理速度与检测精度
5、将内部研发的 AI 模型集成到自动检测设备中
6、跟进整个产品开发生命周期，确保从原型到落地部署的完整闭环

任职要求
1、计算机、电子、电气、自动化工程或相关专业的本科及以上学历，良好的英文交流能力
2、具备人工智能、深度学习、计算机视觉、机器学习的相关经验
3、熟悉主流神经网络架构（如 VGGNet、ResNet、YOLO、R-CNN）者优先
4、熟练使用 C++、Python 等编程语言
5、有硬件设备与软件接口开发经验者优先
6、具备良好的图像标注习惯与态度
7、具备良好的沟通协调能力与团队合作意识
8、逻辑清晰，具备独立分析与解决问题的能力
9、对机器视觉、图像处理及运动控制有浓厚兴趣",计算机视觉 深度学习 机器学习 C++ Python GUI ROI AI,https://jobs.51job.com/suzhou-gyyq/172676425.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
人工智能岗,张家港众智纺织品,8.5千-1.2万,张家港,苏州,本科,1年及以上,2026-06-17 15:07:22,job51,"岗位职责：
1.负责AI大模型、智能体应用项目从立项到交付的全流程推进，制定实施计划、管控项目进度与风险，保障项目按质按期完成交付。
2、负责技术发展趋势洞察与预研，分析业务应用场景，搭建人工智能的平台化应用、搭建系统知识库。
3、智能体应用开发：负责智能问答（RAG）、智能问数、智能数据提取与校验、智能文档生成等场景的智能体开发与迭代，基于智能体平台快速搭建与落地。
4、场景落地：对接公司内部需求，梳理业务痛点并转化为技术方案，完成智能体产品部署（docker/k8s）、环境适配、数据迁移与用户培训，保障项目按时验收。
5、运维优化：监控智能体运行状态（响应速度、准确率、稳定性），快速排查并解决现场技术问题，结合反馈意见优化产品性能与交互体验。
6.主导项目交付后的运营机制搭建，制定运营SOP、服务标准与效果评估体系；基于业务数据与客户反馈，持续优化智能体应用场景与大模型落地效果，实现业务价值闭环。

任职要求：
核心硬性要求：
1、本科及以上学历，1年以上全栈研发经验，前后端能力突出（熟练Vue3，具备复杂交互界面开发经验），1年以上智能体（Agent）或RAG、问数、报告生成等相关项目开发与实施经验。
2.熟练Java或Python，掌握Redis/MongoDB/Elasticsearch等中间件，了解向量数据库（Milvus/Qdrant）。
3.熟练Vue3、Element Plus/Ant Design等组件库，熟悉Vite/Webpack打包优化，具备可视化图表（ECharts/DataV）、低代码平台开发经验者优先。
智能体技术：使用过Dify/Coze等低代码平台、熟悉 RAG 全流程、大模型 API、工具调用与流程编排，有MCP工具开发、Skill开发经验、OpenClaw开发经验者优先。
4.运维能力：能独立应对复杂环境（国产化服务器、内网部署），快速解决部署、运维中的突发问题。

软实力要求
1、强需求拆解与表达能力，能清晰对接内部团队，平衡业务需求与技术可行性。
2、适应项目制工作节奏，能承受多任务并行与实施压力。
3、关注AI前沿技术，能快速迭代技术栈适配智能体产品迭代需求。

加分项：
1、有智能问答、智能问数、数据提取校验、智能文档生成等场景落地经验。
2、具备纺织行业从业经验或项目实施经验。
3、协调内部算法、后端团队推进需求落地与技术攻关，输出部署手册、操作指南、故障排查手册等文档。
4、发展和掌握人工智能关键技术和应用，对相关人员和项目进行专业指导，提升整体专业水平和工作绩效。",大模型 RAG Docker K8s Vue Agent Java Python Redis MongoDB Elasticsearch 向量数据库 Vite Webpack 知识库 技术方案 培训 产品迭代 故障排查,https://jobs.51job.com/zhangjiagang/172596532.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
FDE工程师,苏州富纳智能科技,1-2万,苏州,苏州,本科,3年及以上,2026-08-07 13:23:41,job51,"岗位职责 深⼊客户⼀线，将模糊业务需求拆解为清晰的技术架构⽅
案与执⾏计划；
负责数据集成与系统对接；AI ⽅向负责⼤模型微调、RAG
系统构建、Agent ⼯作流搭建；
将⽅案⾼质量部署⾄客户私有云 / 本地基础设施，处理边
界案例与性能优化；
沉淀前线通⽤需求与产品缺陷，⾼保真反馈总部研发，推
动标准化产品迭代；
制作操作⼿册、开展客户培训，保障⽅案⻓期稳定运⾏。
⼯作内容 场景拆解 · 定制开发（RAG / Agent）· 现场部署（Docker
/ K8s / 私有云）· 客户培训 · 项⽬全周期交付与持续优化 ·
产品反馈闭环。
具体要求 本科及以上，计算机相关；扎实算法与代码功底，精通
Python / Java / Go ⾄少⼀种；
熟悉 LLM 原理，有 RAG、向量数据库、Agent 开发或⼤
数据组件（Spark / Flink）实战经验；
熟练 Docker / Kubernetes，熟悉主流公有云（阿⾥云
等）部署；
极强沟通⼒，兼具""⼯程脑""与""商业脑""，能快速理解制造
业业务逻辑；
抗压⾃驱，适应短期出差 / 驻场（富纳含常熟、苏州及合
作基地驻场）。",RAG Agent Docker K8s Python Java Go LLM 向量数据库 Spark Flink Kubernetes 产品迭代 培训,https://jobs.51job.com/suzhou/173189629.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
仿真设计工程师,苏州亿麦矽半导体技术,1-2万,苏州·吴中区,苏州,本科,3年及以上,2026-08-07 14:56:21,job51,"1.负责IC载板的翘曲、应力、可靠性等力学性能分析。
2.负责项目力学建模、仿直报告编写与输出，参与载板项目方案选型，提供材料选型、结构设计优化、支撑产品交付。
3. 建立并维护载板应力仿真Signoff流程，基于AI辅助开发自动化仿真工具或脚本，提高仿真效率。
4. 先进封装技术关联的载板前沿力学仿真方法研究，推动仿真方法的创新与应用。
5. 与载板设计、NPI、工艺等多团队紧密配合，推动仿真驱动的载板设计流程落地。

岗位要求：
1.学历要求：本科(含)以上，机械工程、材料科学、微电子、工程力学、电子封装技术等相关专业。
2.3年以上封装厂或载板厂工艺，产品，研发,新产品导入等相关工作经验，有大客户新产品导入开发经验更优。
3.精通结构力学仿真工具如Ansys Mechanical、Abaqus、Altair HyperMesh等，能够独立主导复杂封装力学仿真项目。
4. 掌握Solidworks、Spaceclaim、Proe等三维建模软件
5.具有较强的团队协作和组织能力, 在团队内能有效的引导、强化服务（内/外部）客户和品质意识。
6.有较强自我驱动力、执行力、责任心，情绪稳定，抗压力强。
7.善于分析问题、判断问题和解决问题，善于多边沟通，并驱动团队进行改善。",NPI Mechanical Abaqus Altair Spaceclaim,https://jobs.51job.com/suzhou-wzq/173191876.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
算法工程师,苏州镁伽科技,2.5-4万·16薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-08-07 16:02:11,job51,"岗位职责
负责半导体检测AOI设备的AI缺陷检测算法开发与迭代，覆盖三大方向：
视觉检测AOI（显示面板）：粒子检、偏移检测、裂纹、异物、Peeling、脏污、划痕等（LCD/OLED/PCB/ITO产品线）；
晶圆检测：晶圆表面缺陷检测、裂片检测、外挂AI检测系统（客户模型训练、APP/服务部署）；
先进封装：Bonding AOI、清洗AOI、TGV玻璃基检测、激光加工检测（划裂机/开槽检测）；
主导缺陷检测模型的训练、验证与上线：数据采集与标注规范、模型选型、训练迭代、过漏检指标优化（漏检率&lt;1%、过检率&lt;1%）；
负责算法在产线设备的部署与落地：C++推理库集成、TensorRT/ONNX模型转换与推理优化、多线程性能调优，保障产线节拍要求；
参与客户现场过漏检问题排查与算法调优，输出检测方案与验收报告；
沉淀公共算法模块（CBB）：检测框架、推理组件、工具链标准化，提升团队复用效率；
跟踪前沿技术（零样本异常检测、视觉大模型、检测大模型等），推动算法预研与技术选型；
指导初中级算法工程师，参与代码评审与算法发布规范建设。
任职要求（必须项）
硕士及以上学历，计算机/电子/自动化/光学等相关专业，5年以上工业视觉或AI算法经验；
熟练掌握深度学习目标检测/图像分割算法（YOLO系列、Faster R-CNN、U-Net等），有模型从训练到部署的完整落地经验；
精通Python与PyTorch，熟悉模型训练全流程（数据增强、训练策略、调参、评估指标）；
熟练使用OpenCV/Halcon进行图像处理与ROI分析；
具备良好的过漏检分析与指标优化意识，能基于现场数据定位算法问题并迭代；
具备工程化交付能力：代码规范、版本管理、文档沉淀、跨部门协作（软件/测试/售后/客户）。",C++ ONNX 大模型 深度学习 Python PyTorch OpenCV 数据采集 版本管理 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173193528.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
CT工艺工程师,万东百胜（苏州）医疗科技,1.3-2万,苏州·高新区,苏州,本科,3年及以上,2026-08-07 14:13:28,job51,"主要职责：
1：负责CT新产品导入项目管理；
2：负责CT新产品设计转换，编写DHF和DMR等文档；
3：负责CT新品和量产品的工艺流程设计及优化；
4：负责产品工艺管理，BOM维护、图纸维护、SOP维护、变更管理、工艺验证，物料验证等；
5：负责产品技术故障分析、排查与解决；
6：负责开发或引进自动化设备、辅助工装设备等提高生产效率、保证产品质量；

任职要求：
1：本科及以上学历，生物医学工程、医学影像、电子电气、计算机、核工程、应用物理、实验物理、光电等相关专业；
2：3年以上CT设转及工艺工作经验；
3：熟悉医疗器械生产企业相关法律法规及体系，有ISO 13485培训证书者优先；
4：熟练使用CREO等3D绘图软件，CAD软件，AI绘图软件；
5：良好的英语听、说、读、写能力；
6：熟练使用SAP，PLM，MES等系统；
7：工作态度积极主动，独立工作能力强，善于沟通，有较强的团队意识；",项目管理 产品设计 培训 PLM,https://jobs.51job.com/suzhou-gxq/173190721.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
图像算法工程师(J10225),苏州威达智科技,1.5-2.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-08 17:47:54,job51,"工作职责:
1. 负责工业视觉检测算法的开发
2. 使用Halcon进行算法设计与实现
3. 参与深度学习模型的训练与部署
任职资格:
1. 本科及以上学历，3年以上相关经验
2. 精通Halcon，有项目经验
3. 熟悉C++或C#",深度学习 C++ C#,https://jobs.51job.com/suzhou-gyyq/173200588.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
智能视觉算法工程师,苏州凌风科技,7千-1.4万·13薪,昆山,苏州,硕士,1-3年,2026-08-07 22:16:58,job51,"【工作内容】
1、负责智能视觉算法的核心研发，包括目标检测、识别跟踪及场景理解等关键技术的落地应用；
2、主导算法模型的训练、优化与部署工作，针对船舶或航空场景进行数据清洗及模型迭代升级；
3、深入业务一线分析复杂环境下的视觉需求，设计并实现高鲁棒性的算法解决方案以交付项目成果；
4、协同软硬件团队完成嵌入式端侧的算法移植与性能调优，确保系统在动态环境中的实时性与稳定性；
5、持续跟踪前沿技术动态，撰写高质量技术文档，推动核心算法专利布局与技术成果转化。

【任职要求】
1、计算机、自动化、人工智能等相关专业硕士及以上学历，具备扎实的数学与编程基础；
2、精通C++/Python语言，熟练掌握OpenCV、PyTorch、TensorFlow等主流深度学习框架；
3、拥有3年以上视觉算法开发经验，熟悉YOLO、Transformer等经典模型架构及工程化部署流程；
4、在工业检测、导航定位或无人机视觉等领域有实际项目落地经验，具备解决复杂工程问题的能力；
5、具备良好的逻辑思维能力与团队协作精神，对新技术保持敏锐度，能适应高强度项目交付节奏。",C++ Python OpenCV PyTorch TensorFlow 深度学习 Transformer 技术文档 专利,https://jobs.51job.com/kunshan/173055638.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
AI工程师,贸联电子（昆山）,1.2-1.8万,昆山,苏州,本科,2年及以上,2026-06-29 16:43:47,job51,"一、计算机视觉方向
1.执行以图像处理、分类和对象检测为重点的人工智能项目；
2.收集、标记和预处理图像数据以训练 AI 模型；
3.使用深度学习框架训练、测试和部署计算机视觉模型；
4.优化 AI 模型的性能和效率；
5.将应用程序开发和部署为 API、桌面或 Web 应用程序；
二、机器学习方向
1.主导以回归分析、分类、预测和聚类为重点的传统机器学习及人工智能项目研发；
2.负责结构化与非结构化数据的收集、特征工程、ETL清洗，为模型训练构建高质量数据集；
3.运用经典机器学习与深度学习框架，进行模型的构建、训练、测试、超参数调优与迭代；
4.持续优化算法的准确性、鲁棒性与推理速度，确保模型在生产环境中的性能与效率；
5.将训练好的模型封装并部署为API服务、桌面端（GUI）或Web应用程序；

三、大语言模型/智能体方向
1.负责大语言模型（LLM）的微调与超参数调优，持续优化模型的性能、效率与输出质量；
2.运用LangChain、LlamaIndex等框架，设计并开发复杂的AI Agents工作流与高精度RAG（检索增强生成）系统；
3.负责文档解析海量异构数据的清洗与分析，执行高效的数据工程与ETL流程；
4.利用Flask、Django开发API，结合Streamlit等库构建GUI界面，并通过Docker技术实现系统容器化部署；
5.紧跟大模型技术（如OpenAI、Gemini、vLLM、Ollama等），协同传统机器学习与计算机视觉，技术实现项目落地；

任职要求：
1.至少2年相关工作经验，本科及以上学历；
2.英文口语流畅；",计算机视觉 深度学习 机器学习 LLM LangChain AI Agent RAG Flask Django Docker 容器化 大模型,https://jobs.51job.com/kunshan/172381502.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
AI视觉工程师,阿丘机器人科技（苏州）,1.2-1.8万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-12 08:49:54,job51,"【岗位职责】
1、AI视觉方案设计：为高精度、高可靠性的自动化设备，提供以AI算法为核心的视觉解决方案，针对复杂缺陷场景发挥深度学习优势。
2、售前技术评估：负责2D、3D视觉项目的售前评估，包含光学选型、成像测试和方案验证，重点评估AI方案在客户场景的可行性。
3、现场交付与优化：具备现场的系统部署、调试、数据分析、技术问题处理等综合能力，熟练运用AI工具链解决现场疑难缺陷，确保项目稳定交付。
4、技术统筹：作为技术负责人，牵头协调光学、机械、电气等专业，输出融合AI的整体技术方案并确保落地。
5、跨团队协同：负责与算法、软件、项目、销售等团队的沟通协调，推动AI视觉方案顺利推进。

【任职要求】
1、本科及以上学历，机器视觉、自动化、图像处理等相关专业，3年以上视觉行业经验。
2、精通Halcon、OpenCV等主流视觉开发工具，熟悉C#/C++编程，具备独立调试开发能力。
3、具备扎实的AI图像算法应用经验，熟悉深度学习在工业检测中的落地场景，能针对复杂缺陷提出AI解决方案。
4、熟悉视觉设备与上位机、MES、PLC等系统的集成与交互。
5、熟悉2D/3D视觉硬件选型（相机、镜头、光源），能独立完成方案验证。
6、对AI技术保持敏锐度，愿意持续学习新的深度学习工具和框架，提升方案竞争力。
7、具备较强的问题分析、动手解决能力，能独立处理现场技术难题。
8、性格开朗，具备良好的跨团队协调沟通能力，适应项目出差。",深度学习 OpenCV C# C++ 方案设计 数据分析 技术方案,https://jobs.51job.com/suzhou-gyyq/172524929.html?s=sou_sou_soulb&t=0_0&req=c94a9afee3af008c1dde7f9362670486
