job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
FDE工程师,苏州富纳智能科技,1-2万,苏州,苏州,本科,3年及以上,2026-08-07 13:23:41,job51,"岗位职责 深⼊客户⼀线，将模糊业务需求拆解为清晰的技术架构⽅
案与执⾏计划；
负责数据集成与系统对接；AI ⽅向负责⼤模型微调、RAG
系统构建、Agent ⼯作流搭建；
将⽅案⾼质量部署⾄客户私有云 / 本地基础设施，处理边
界案例与性能优化；
沉淀前线通⽤需求与产品缺陷，⾼保真反馈总部研发，推
动标准化产品迭代；
制作操作⼿册、开展客户培训，保障⽅案⻓期稳定运⾏。
⼯作内容 场景拆解 · 定制开发（RAG / Agent）· 现场部署（Docker
/ K8s / 私有云）· 客户培训 · 项⽬全周期交付与持续优化 ·
产品反馈闭环。
具体要求 本科及以上，计算机相关；扎实算法与代码功底，精通
Python / Java / Go ⾄少⼀种；
熟悉 LLM 原理，有 RAG、向量数据库、Agent 开发或⼤
数据组件（Spark / Flink）实战经验；
熟练 Docker / Kubernetes，熟悉主流公有云（阿⾥云
等）部署；
极强沟通⼒，兼具""⼯程脑""与""商业脑""，能快速理解制造
业业务逻辑；
抗压⾃驱，适应短期出差 / 驻场（富纳含常熟、苏州及合
作基地驻场）。",RAG Agent Docker K8s Python Java Go LLM 向量数据库 Spark Flink Kubernetes 产品迭代 培训,https://jobs.51job.com/suzhou/173189629.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
golang开发工程师,恩士迅信息科技（中国）,1.5-2.2万·13薪,苏州,苏州,本科,5年及以上,2026-06-23 16:44:44,job51,"职位描述
熟悉并发编程与微服务开发的工程师。负责高性能后端服务的开发与维护，推动系统架构演进，支撑业务快速增长。
岗位职责
1、使用Golang开发高性能、可扩展的微服务；
2、参与系统架构设计，推动技术方案落地；
3、编写技术文档，参与代码评审与性能调优。
任职要求
1、本科及以上学历，计算机相关专业，5年以上Golang开发经验；
2、精通Golang并发模型，熟悉Goroutine调度、Channel通信及Sync包使用；
3、熟练使用Gin、Echo等常用框架，有Golang项目实战经验；
4、熟悉MySQL、PostgreSQL等关系型数据库及Redis、MongoDB等NoSQL数据库；
5、了解微服务架构，有RESTful/gRPC API设计经验；
6、具备良好的系统设计能力和代码规范意识；
7、熟悉AI Programming开发基础，熟练使用AI编程工具。
 
加分项
1、熟悉Docker、Kubernetes、Helm等容器化与部署工具；
2、有高并发、分布式系统开发经验；
3、熟悉云原生技术栈，有Service Mesh（如Istio）实践经验；
4、了解DevOps流程，有CI/CD工具链使用经验。",微服务 Golang Go Gin MySQL PostgreSQL Redis MongoDB SQL gRPC Docker Kubernetes Helm 容器化 高并发 分布式 云原生 Istio DevOps CI/CD 技术方案 技术文档,https://jobs.51job.com/suzhou/172657957.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
golang开发工程师,苏州清陶新能源科技,2-3万,昆山,苏州,本科,3年及以上,2026-06-29 08:47:23,job51,"岗位职责：
1.基于公司现有EMS底层架构，使用Go语言进行核心功能模块开发
2.优化系统性能，确保高并发场景下的数据实时性与稳定性
3.协助算法团队实现能量管理策略（如峰谷套利、需求响应等），并集成至EMS平台
4.对接储能设备（如BMS、PCS）、电网调度系统、云平台等外部接口，确保数据交互与协议兼容
5.负责系统联调、测试用例编写及问题定位修复
6.编写技术文档（设计文档、接口规范、维护手册等）
7.为运营、测试团队提供技术支持，协助解决现场部署问题
 任职要求：
1.本科及以上学历
2.精通Go语言开发，3年以上实际项目经验，熟悉Goroutine、Channel等并发机制
3.熟悉数据库（如MySQL、Redis、时序数据库）设计与优化，掌握高性能数据存储方案
4.熟悉Linux环境开发，掌握Docker、Kubernetes等容器化技术者优先
5.熟悉微服务架构、消息队列（如Kafka、RabbitMQ）者优先
6.具备良好的沟通与团队协作能力，学习能力强，责任心强，注重代码质量与系统稳定性，具备性能优化意识，能快速理解业务需求并转化为技术方案
7.有能源管理、储能EMS系统开发经验 、或了解储能系统架构（含BMS、PCS、EMS交互逻辑）的优先
8.具备良好的英语听说读写能力
9.持有电气工程、自动化、计算机等相关专业本科及以上学历",Go 高并发 MySQL Redis Linux Docker Kubernetes 容器化 微服务 Kafka RabbitMQ 测试用例 技术文档 技术支持 技术方案,https://jobs.51job.com/kunshan/172716916.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
IOT工程师,麦豆智能电气（苏州）,8千-1.2万·13薪,苏州·高新区,苏州,本科,3年及以上,2026-07-24 14:36:10,job51,"岗位职责
1. 负责公司物联网设备管理平台的设计与开发，包括：
 * 用户账号体系
 * 项目管理
 * 设备管理
 * 数据采集与存储
 * 设备远程控制
 * 数据可视化展示
2. 负责 MQTT 物联网通信平台开发
 * 设备接入管理
 * MQTT Topic 设计
 * 消息订阅与发布
 * 设备状态管理
 * 数据解析与处理
3. 负责后端服务开发：
 * 设计 RESTful API 接口
 * 用户权限管理
 * 多项目、多设备数据隔离
 * 设备控制指令下发
 * 操作日志、报警记录等功能开发
4. 负责数据库设计与优化：
 * 设备信息管理
 * 电能数据存储
 * 历史数据查询
 * 数据统计分析
5. Web 管理平台开发：
 * 项目列表
 * 设备列表
 * 实时数据展示
 * 电能曲线
 * 分合闸控制界面
6. 负责系统部署、调试和维护：
 * Linux服务器部署
 * Docker环境搭建
 * MQTT服务器维护
 * 系统性能优化

# 任职要求
1. 熟悉后端开发，有物联网平台开发经验。
2. 熟练掌握以下一种或多种后端语言：
 * Go（优先）
 * Java
 * Python
 * Node.js
3. 熟悉 MQTT 协议：
 * Topic设计
 * QoS机制
 * 消息发布/订阅
 * 设备在线状态管理
4. 熟悉数据库：
 * MySQL / PostgreSQL
 * 数据表设计
 * SQL优化
5. 熟悉 Web 开发：
 * REST API设计
 * WebSocket实时通信
 * 前后端分离开发
6. 熟悉 Linux 环境：
 * 服务部署
 * 日志分析
 * 网络调试",MQTT Linux Docker Go Java Python Node.js MySQL PostgreSQL SQL WebSocket 项目管理 数据采集 日志分析,https://jobs.51job.com/suzhou-gxq/173032348.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
AI全栈工程师,杭州凡略科技,1.5-2万,苏州·吴中区,苏州,本科,5年及以上,2026-07-24 10:27:47,job51,"工作职责
1.负责核心业务前/后端设计、开发、优化与运维，完成数据库建模、接口设计、SQL调优、分布式问题处理，保障系统稳定高可用。
2.熟练使用Cursor、Claude Code、Trae等工具，通过精准Prompt驱动AI完成代码开发、重构、BUG修复、测试与文档生成，甄别并优化AI代码，规避漏洞与性能问题，保证代码质量。 
3.承接前端简单功能开发与前后端联调，实现业务功能闭环落地。 
4.落地AI编程实践，沉淀Prompt模板、开发与审核规范，推动团队研发智能化升级。

任职资格
1.本科及以上，5年及以上开发经验，计算机基础扎实。 
2.熟练掌握 Java，精通MySQL数据库优化，熟悉Redis、MQ、分布式、微服务基础。 
3.深度理解 Vibe Coding 研发模式，不局限简单补码，可精准通过自然语言驱动AI完成复杂业务开发、重构与排错，具备AI代码校验、优化、重构能力。 
4.熟悉TS、Vue/React，可独立完成前后端联调，了解Docker、CI/CD基础部署流程。
5.适应AI极速迭代节奏，抗压及学习能力强，愿意拥抱新型研发范式，追求高效高质量交付。",SQL 分布式 高可用 Prompt Java MySQL Redis 微服务 Vue React Docker CI/CD,https://jobs.51job.com/suzhou-wzq/173027831.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
AI工程师（偏软件工程）,江苏皇冠新材料科技,1.5-2.5万,太仓,苏州,本科,5年及以上,2026-06-29 15:22:28,job51,"岗位目的：
支撑 AI 算法落地，打造胶粘行业智能研发平台与专属 AI 系统驱动全业务链 AI 升级。

 岗位职责
1、负责AI应用从原型到产品的全流程开发，涵盖Python后端、前端交互界面及SQL/NoSQL/向量数据库设计，保障系统高性能。
2、主导或参与代码审查，制定并推广团队代码规范与单元测试、集成测试等测试标准，通过工程化手段维护AI产品代码质量与系统稳定性。
3、设计并优化CI/CD流水线，完善DevOps开发体系、监控体系及日志系统，提升AI应用部署效率、可观测性及故障恢复能力。
4、遵循敏捷开发流程，兼顾快速迭代与前瞻性架构设计，持续对系统进行重构和技术改造，平衡短期交付速度与长期可维护性。

任职要求
1、本科及以上学历，5年及以上软件开发经验。
2、精通Python及相关框架、前端框架与各类数据库。
3、有AI应用（RAG/Agent）落地、容器化部署及CI/CD搭建经验。
4、有制造业或新材料开发相关背景，具备从0到1搭建AI应用系统的架构设计经验的优先考虑。",Python SQL 向量数据库 CI/CD DevOps RAG Agent 容器化,https://jobs.51job.com/taicang/171509714.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
Python工程师(J10970),苏州迈为科技,1.5-2.5万·14薪,苏州·吴江区,苏州,本科,5年及以上,2026-06-24 13:24:29,job51,"工作职责:
1. 负责公司业务系统及AI相关应用的开发、集成与优化；
2. 使用 Python（FastAPI / Flask / Django 等框架）开发高性能的 API 与微服务；
3. 设计并实现与大语言模型（LLM，如 DeepSeek、通义千问等）的接口调用；
4. 构建和优化 RAG（Retrieval-Augmented Generation） 知识检索与问答系统，集成向量数据库（如 FAISS、Milvus、Chroma、Pinecone 等）；
5. 参与AI应用架构设计，包括数据流、模型调用、缓存、任务调度与系统性能优化；
6. 负责AI相关项目的功能实现、测试、上线与维护；
7. 编写高质量、可复用的代码与文档，参与代码评审与持续集成；
8. 与前端、算法、产品团队协作，推动AI应用从原型到落地。
任职资格:
1. 本科及以上学历，计算机、软件工程、人工智能等相关专业优先；
2. 具备5年以上Python开发经验，精通Python语言特性及常用库（requests、pandas、numpy、asyncio等）；
3. 熟练使用主流Web框架（FastAPI、Flask、Django等），具备RESTful API设计经验；
4. 熟悉数据库系统（MySQL、PostgreSQL、Redis、MongoDB等）；
5. 熟悉Git版本控制与常见协作流程（GitFlow / Pull Request / Code Review）；
6. 熟悉LangChain、Transformers、OpenAI API等AI框架或SDK的使用；
7. 了解RAG、Embedding、向量数据库、Prompt Engineering等AI核心概念；
8. 具备良好的编码规范、系统设计能力与沟通协作意识。",Python FastAPI Flask Django 微服务 LLM RAG 向量数据库 MySQL PostgreSQL Redis MongoDB Git LangChain Transformer Embedding Prompt Gin,https://jobs.51job.com/suzhou-wjq/169042931.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
大模型应用工程师,材料科学姑苏实验室,1.5-2万,苏州·苏州工业园区,苏州,本科,3-5年,2026-07-07 15:43:59,job51,"岗位职责
1.负责 AI Agent 系统的设计、开发与迭代，实现工具调用、功能路由、提示词工程及上下文管理等核心模块
2.独立完成智能体逻辑开发，与后端服务完成集成对接
3.优化模型调用效率、系统稳定性及输出准确性，配合团队完成 ToB AI 产品研发与交付
4.关注 AI Agent 技术前沿，结合业务需求优化技术方案，提升产品智能性与易用性
任职要求
1.3-5 年开发经验，有 AI Agent、大模型应用开发经验者优先
2.精通 Python，熟悉 LangChain、AutoGPT 等 Agent 框架，了解主流大模型（GPT、Claude 等）API 调用
3.具备良好的逻辑思维和问题解决能力，能独立承担模块开发任务
4.了解后端开发流程，能与业务开发、测试团队高效协作，沟通能力良好
5.接受孵化公司性质（非实验室正式岗位）",AI Agent 大模型 Python LangChain AutoGPT Agent GPT 技术方案,https://jobs.51job.com/suzhou-gyyq/172825259.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
全栈开发工程师（AI Agent ）,立讯电子科技（昆山）,1-1.8万,昆山,苏州,本科,3年及以上,2026-07-08 14:17:17,job51,"岗位职责
AI Agent 智能体开发：
负责AI Agent智能体产品的架构设计、核心功能开发与迭代优化
基于大语言模型（LLM）构建对话系统、RAG知识检索、工具调用链路等模块
设计Agent编排流程，实现多智能体协作、记忆管理与自主决策能力
进行Prompt Engineering与评测调优，提升智能体的准确性与稳定性

Web 前后端开发：
5. 负责Web产品前后端架构设计与核心功能开发，独立完成从接口到页面的全流程
6. 前端基于React/Vue构建高性能交互界面，后端基于Python/Go/Java提供稳定API服务
7. 开发RESTful API/GraphQL接口，实现前后端联调与第三方系统对接
数据库与服务器运维：
8. 负责数据库选型、表结构设计、性能调优与日常运维（MySQL/PostgreSQL/Redis等）
9. 负责服务器部署与管理，搭建CI/CD流水线，保障系统高可用与安全稳定运行
10. 构建监控告警体系，快速定位并处理线上问题
基本要求：
计算机相关专业本科及以上学历，3年以上开发经验
扎实的编程基础，精通Python，熟悉JavaScript/TypeScript
具备全栈开发能力，能独立完成前后端开发与部署上线",AI Agent LLM RAG Agent Prompt Gin React Vue Python Go Java MySQL PostgreSQL Redis CI/CD 高可用 JavaScript TypeScript 监控告警 部署上线,https://jobs.51job.com/kunshan/172838500.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
AI应用全栈工程师,苏州联讯仪器,1.5-2.5万·14薪,苏州·高新区,苏州,本科,3年及以上,2026-06-12 19:08:04,job51,"岗位职责：
1. 深入理解 AE、FAE、驻场工程师、售后和内部员工的真实工作流程，将需求转化为产品功能和业务流程。
2. 负责具体 Agent 产品的前端、业务后端、BFF、配置和集成开发。
3. 开发用户登录、项目管理、资料上传、任务创建、执行进度、人工审核、结果展示、导出和历史追溯等功能。
4. 调用 Agent Harness、Skill、A2A、模型网关、知识库和数据 API，完成具体业务流程配置与产品化。
5. 开发具体业务场景所需的轻量 Skill、规则、提示词、模板和业务接口。
6. 建设 Agent 使用量、任务成功率、人工修正率、节省时间和业务效果看板。
7. 负责产品服务容器化、测试环境部署、自动化测试和上线验证，与 AI 架构工程师及 IT 协作完成生产发布。
8. 参与客户内网和离线环境的应用适配，处理部署后的产品功能问题。
9. 持续收集用户反馈，快速迭代产品流程、交互和业务能力。
10. 对所负责 Agent 产品的交付周期、使用体验、质量和业务效果负责。

任职要求：
1. 计算机、软件工程或相关专业本科及以上学历，3 年以上全栈或应用研发经验。
2. 熟悉 React、Vue 等前端框架，并熟悉 Python、Java、Go、Node.js 或 C# 中至少一种后端技术栈。
3. 能够独立完成从数据模型、API、业务逻辑到前端交互的完整功能开发。
4. 有大模型应用、Agent、RAG、Function Calling 或 AI 产品开发经验。
5. 熟悉任务型产品、工作流产品或企业管理系统的交互设计与开发。
6. 熟悉 Docker、接口测试、自动化测试和基本部署流程。
7. 能够与业务人员沟通并快速理解复杂业务流程。
8. 具备较强的产品意识，关注用户是否能够完成任务，而不仅是功能是否开发完成。
优先条件
- 有企业级 AI 产品、Agent 产品、低代码工作流或复杂内部系统开发经验。
- 有工业软件、设备软件、半导体测试、研发工具或售后服务系统经验。
- 有 IDE 插件、桌面应用、本地服务或客户现场交付经验。
- 有离线部署、私有化部署或受限网络环境适配经验。",Agent 容器化 React Vue Python Java Go Node.js C# 大模型 RAG Docker 项目管理 知识库 自动化测试,https://jobs.51job.com/suzhou-gxq/172539770.html?s=sou_sou_soulb&t=0_0&req=6a696ca852c0e00ceabb328125e330cb
