job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
多传感器融合算法工程师—博士后工作站,北京博清科技有限公司,25-45k·13薪,北京-海淀区,北京,学生可投,经验不限,90天前更新,liepin,"岗位职责：
1、负责移动机器人各类传感器建模；
2、负责多传感器数据融合算法开发；
任职要求：
1、***/***博士，计算机、电子、测量测绘、数学、统计等相关专业；
2、有3年以上的传感器方面数据分析及建模工作经验，对有卡尔曼滤波算法、扩展卡尔曼算法有实际从业经验；
3、熟悉陀螺仪、磁力计、加速度计等传感器的工作原理及传感器融合算法，有一定的数学建模能力，能够利用数学建模进行传感器应用算法开发；
4、熟悉卫星导航定位算法，了解差分定位原理；
5、具有多传感器信息融合、激光导航、惯导等组合导航专业知识，具有实际惯导项目、惯性／卫星组合导航、惯性／卫星／激光导引、惯性／卫星＋红外导引经验者优先。",数据分析,https://www.liepin.com/job/1974387891.shtml
多传感器融合算法工程师,北汽福田,30-50k·15薪,北京-昌平区,北京,学生可投,3-10年,90天前更新,liepin,"职能职责:
1、负责激光雷达、毫米波雷达和Camera的标定或联合标定；
2、负责激光雷达、毫米波雷达数据解析；
3、负责基于Camera、毫米波雷达、激光雷达的点云数据、目标数据的融合及多目标跟踪算法的开发和调试；
4、负责参与自动驾驶融合模块解决方案的设计。

任职要求:
1、计算机、数学、通信、车辆、自动化及相关专业本科及以上学历；
2、了解毫米波雷达、激光雷达检测基本原理，熟悉多传感器标定方法；
3、有多源数据融合经验，熟悉GNN、匈牙利等融合算法者优先；
4、熟悉卡尔曼滤波/扩展卡尔曼滤波、粒子滤波等跟踪算法者优先；
5、熟悉C/C++、Matlab等编程语言，熟悉Linux或ROS操作系统；
6、有较强的学习能力和团队沟通能力，做事认真、踏实，乐于分享，自我驱动；",C++ MATLAB Linux ROS,https://www.liepin.com/job/1979001581.shtml
多传感器融合算法研发工程师,Baidu,25-50k·16薪,北京,北京,学生可投,经验不限,90天前更新,liepin,"工作职责
-负责camera、radar、lidar等传感器障碍物感知结果的关联和跟踪 -负责多传感器感知结果的融合 -负责障碍物状态估计，进行卡尔曼滤波、扩展卡尔曼滤波、粒子滤波等算法开发 -负责多目标跟踪算法开发
任职资格
-自动化，电子工程，计算机等相关专业全日制硕士及以上学历 -熟悉多目标跟踪，传感器融合以及时序预测技术 -深入理解卡尔曼滤波、粒子滤波、贝叶斯理论、概率论、最优化等相关理论 -熟练掌握C/C++、python等语言，具有良好的编程习惯，熟悉Linux，ROS等 -在计算机视觉或机器人相关领域顶级会议或期刊CVPR、ICCV、ICRA、IROS、PAMI等发表论文者优先",LiDAR C++ Python Linux ROS 计算机视觉,https://www.liepin.com/job/1948912921.shtml
机器人感知 · 多传感器融合 / 后处理算法工程师（后处理方向）,智身科技,40-65k·15薪,上海-浦东新区,上海,学生可投,经验不限,6月12日更新,liepin,"岗位职责  
1.  **多传感器融合**  
    - 设计并实现视觉与LiDAR融合算法（前/中/后融合），输出带3D位置、尺寸、朝向、速度与类别的目标列表。  
    - 实现2D检测框/mask与点云的投影关联（point-in-box、frustum、mask-point关联），解决一对多、多对一与遮挡歧义。  
    - 设计融合策略以发挥传感器优势：视觉负责语义与分类，LiDAR负责精确测距与几何，实现互补冗余。  


2.  **标定与时空对齐**  
    - 完成相机内参标定（针孔模型、径向/切向畸变）与相机-LiDAR外参联合标定。  
    - 处理多传感器时间同步、触发对齐与运动补偿（去畸变、运动畸变校正）。  
    - 维护坐标系体系（相机系/LiDAR系/IMU系/车体系/世界系）变换链路，确保标定精度可量化监控与在线诊断。  


3.  **跟踪与状态估计**  
    - 开发融合层多目标跟踪与状态估计（KF/EKF/UKF/IMM），融合异步多源观测，输出平滑稳定的目标轨迹与运动状态。  
    - 设计数据关联策略（匈牙利算法、GNN、马氏距离/IoU/3D-IoU代价），处理目标新生、消亡、合并与分裂。  


4.  **工程与鲁棒性** 
    - 解决传感器失效检测与降级、异步数据缓冲对齐、误检漏检的时序滤波与置信度管理等工程问题。  
    - 设计感知输出的置信度与不确定度表达，为下游决策提供风险量化信息。  
    - 构建融合结果评测体系（3D mAP、定位/速度误差、跟踪连续性）及可视化调试工具。  


5.  **协作**  
    - 与模型团队对齐输入接口与时间戳规范；与规划/控制团队对齐输出格式与语义。  


职位要求  
1.  计算机视觉、机器人、自动化、SLAM或相关专业本科及以上学历，3年以上感知/融合算法开发经验。  
2.  深入理解相机参数模型（针孔/鱼眼模型、内参矩阵、畸变模型）及相机-LiDAR外参，具备实际标定经验（棋盘格/靶标/无目标标定），理解标定误差对融合结果的影响。  
3.  掌握多传感器融合方法论，熟悉前/中/后融合技术选型与关联匹配（匈牙利算法、马氏距离、IoU/3D-IoU）。  
4.  精通点云处理（投影、坐标变换、聚类、体素化、地面分割）及PCL/Open3D工具链。  
5.  扎实的状态估计能力（卡尔曼滤波变体、最小二乘、刚体变换、四元数/李代数）。  
6.  精通C++（工程落地）与Python（算法验证），熟悉ROS/ROS2、Linux、Git开发环境。  


加分项  
1.  具备相机-LiDAR-IMU多传感器联合标定与时间同步实战经验，熟悉Kalibr等工具链。  
2.  有BEV融合、占据栅格（Occupancy）、3D MOT开发经验。  
3.  熟悉硬件触发同步（PTP/GPS授时）与传感器数据采集系统。  
4.  拥有自动驾驶量产或工程化落地经历，处理过实车疑难案例。  
5.  了解深度学习融合方案（BEVFusion、TransFusion），具备传统几何方法与学习方法的选型能力。  ",LiDAR Rust 计算机视觉 SLAM C++ Python ROS Linux Git GPS 深度学习 数据采集,https://www.liepin.com/job/1983389309.shtml
机器人感知 · 多传感器融合 / 后处理算法工程师（后处理方向）,智身科技,40-65k,上海-浦东新区,上海,学生可投,经验不限,6月9日更新,liepin,"岗位职责  
1.  **多传感器融合**  
    - 设计并实现视觉与LiDAR融合算法（前/中/后融合），输出带3D位置、尺寸、朝向、速度与类别的目标列表。  
    - 实现2D检测框/mask与点云的投影关联（point-in-box、frustum、mask-point关联），解决一对多、多对一与遮挡歧义。  
    - 设计融合策略以发挥传感器优势：视觉负责语义与分类，LiDAR负责精确测距与几何，实现互补冗余。  


2.  **标定与时空对齐**  
    - 完成相机内参标定（针孔模型、径向/切向畸变）与相机-LiDAR外参联合标定。  
    - 处理多传感器时间同步、触发对齐与运动补偿（去畸变、运动畸变校正）。  
    - 维护坐标系体系（相机系/LiDAR系/IMU系/车体系/世界系）变换链路，确保标定精度可量化监控与在线诊断。  


3.  **跟踪与状态估计**  
    - 开发融合层多目标跟踪与状态估计（KF/EKF/UKF/IMM），融合异步多源观测，输出平滑稳定的目标轨迹与运动状态。  
    - 设计数据关联策略（匈牙利算法、GNN、马氏距离/IoU/3D-IoU代价），处理目标新生、消亡、合并与分裂。  


4.  **工程与鲁棒性** 
    - 解决传感器失效检测与降级、异步数据缓冲对齐、误检漏检的时序滤波与置信度管理等工程问题。  
    - 设计感知输出的置信度与不确定度表达，为下游决策提供风险量化信息。  
    - 构建融合结果评测体系（3D mAP、定位/速度误差、跟踪连续性）及可视化调试工具。  


5.  **协作**  
    - 与模型团队对齐输入接口与时间戳规范；与规划/控制团队对齐输出格式与语义。  


职位要求  
1.  计算机视觉、机器人、自动化、SLAM或相关专业本科及以上学历，3年以上感知/融合算法开发经验。  
2.  深入理解相机参数模型（针孔/鱼眼模型、内参矩阵、畸变模型）及相机-LiDAR外参，具备实际标定经验（棋盘格/靶标/无目标标定），理解标定误差对融合结果的影响。  
3.  掌握多传感器融合方法论，熟悉前/中/后融合技术选型与关联匹配（匈牙利算法、马氏距离、IoU/3D-IoU）。  
4.  精通点云处理（投影、坐标变换、聚类、体素化、地面分割）及PCL/Open3D工具链。  
5.  扎实的状态估计能力（卡尔曼滤波变体、最小二乘、刚体变换、四元数/李代数）。  
6.  精通C++（工程落地）与Python（算法验证），熟悉ROS/ROS2、Linux、Git开发环境。  


加分项  
1.  具备相机-LiDAR-IMU多传感器联合标定与时间同步实战经验，熟悉Kalibr等工具链。  
2.  有BEV融合、占据栅格（Occupancy）、3D MOT开发经验。  
3.  熟悉硬件触发同步（PTP/GPS授时）与传感器数据采集系统。  
4.  拥有自动驾驶量产或工程化落地经历，处理过实车疑难案例。  
5.  了解深度学习融合方案（BEVFusion、TransFusion），具备传统几何方法与学习方法的选型能力。  ",LiDAR Rust 计算机视觉 SLAM C++ Python ROS Linux Git GPS 深度学习 数据采集,https://www.liepin.com/job/1983282529.shtml
多传感器融合工程师,其他制造业沪深A股上市5000-10000人,15-35k,重庆-南岸区,重庆,本科,3-5年,6月25日更新,liepin,"岗位职责：
1. 开发具身机器人的多传感器融合算法，整合摄像头、激光雷达、轮速，IMU，压力计等多种传感器数据；
2. 设计合理的评测方法，评估多传感器融合定位算法的性能；
3. 参与相关传感器的标定工作；
4. 参与算法仿真验证、实机调试部署。

职位要求：
 1. 计算机科学、自动化、控制、电子信息等相关专业本科及以上学历，无人驾驶相关背景优先；
2. 半年以上多传感器融合相关工作经验；
3. 扎实掌握四元数、欧拉角与旋转矩阵相关基础知识；
4. 精通典型滤波器设计，熟悉EKF、ESKF、UKF等传感器融合算法，具备算法优化能力；
5. 熟悉Linux及ROS2，熟练掌握C++编程，具备良好的软件工程能力和高质量交付意识。",Linux ROS C++ IMU ESKF,https://www.liepin.com/job/1981347103.shtml
多传感器融合工程师(J10120),其他制造业沪深A股上市5000-10000人,10-15k,重庆-南岸区,重庆,本科,1年以上,90天前更新,liepin,"职责描述：
1. 开发具身机器人的多传感器融合算法，整合摄像头、激光雷达、轮速，IMU，压力计等多种传感器数据；
2. 设计合理的评测方法，评估多传感器融合定位算法的性能；
3. 参与相关传感器的标定工作；
4. 参与算法仿真验证、实机调试部署。
任职要求：
1. 计算机科学、自动化、控制、电子信息等相关专业本科及以上学历，无人驾驶相关背景优先；
2. 半年以上多传感器融合相关工作经验；
3. 扎实掌握四元数、欧拉角与旋转矩阵相关基础知识；
4. 精通典型滤波器设计，熟悉EKF、ESKF、UKF等传感器融合算法，具备算法优化能力；
5. 熟悉Linux及ROS2，熟练掌握C++编程，具备良好的软件工程能力和高质量交付意识。",Linux ROS C++ IMU ESKF,https://www.liepin.com/job/1981357377.shtml
【智驾】多传感器融合算法工程师,东软集团有限公司,20-40k·15薪,大连-甘井子区,大连,本科,5-10年,90天前更新,liepin,"东软智行
社会招聘

多传感器融合算法工程师

岗位职责：
1、面向自动驾驶的多传感器融合感知算法研究与开发；
2、负责雷达（含激光雷达）信号的特征提取、分类等相关算法研究与实现；

岗位要求：
 1、全日制大学硕士及以上学历，车辆工程、计算机、通信、电子、控制或者相关专业；
2、熟悉毫米波雷达、前视摄像头等典型的自动驾驶传感器特性；
3、熟悉自动驾驶感知、融合相关算法；
4、熟练使用C/C++等语言进行算法开发（或matlab/simulink等进行模型化开发）；
5、有雷达与视频等融合方面有研究和开发经验者优先。
 ",C++ MATLAB,https://www.liepin.com/job/1979114469.shtml
资深多传感器融合算法工程师,芯辰启航(北京)科技有限公司,50-80k,深圳-南山区,深圳,本科,3年以上,90天前更新,liepin,"职位概述：
我们正在寻找一位经验丰富的多传感器融合算法工程师，您将负责将先进的卡尔曼滤波系列算法（如EKF， ESKF， ISKF）应用于嵌入式平台，并推动其最终量产落地。您需要具备扎实的理论基础、出色的工程实现能力和严谨的量产问题解决思维，为我们的自动驾驶产品提供稳定、可靠的核心感知融合模块。

主要职责：
1. 算法开发与实现：设计、实现和优化基于EKF， ESKF， ISKF等的多传感器（GNSS/IMU， 轮速计， Lidar， Camera等）融合算法，用于车辆定位、姿态估计等。
2. 嵌入式平台部署：负责将融合算法从仿真环境迁移到嵌入式平台（如ARM M核系列等），并进行深度优化，确保满足实时性和资源约束（CPU， RAM等）。
3. 性能调优与测试：对算法进行大规模实车数据测试、分析和迭代调优，解决在实际场景中遇到的精度、延迟、稳定性问题。
4. 量产支持：主导或深度参与融合模块的量产化进程，解决SOP前后的各类工程问题，编写相关技术文档，支持系统集成与测试团队。
5. 技术前沿跟踪：持续跟踪业界先进的传感器融合技术，并评估其在量产项目中的应用潜力。

任职要求：
1. 本科及以上学历，计算机、自动化、电子工程、车辆工程等相关专业。
2. 拥有至少一个完整的、已量产（SOP）的自动驾驶或ADAS项目的传感器融合算法开发与落地经验。
3. 深厚的状态估计理论功底，精通卡尔曼滤波（KF/EKF/UKF）及其变种（ESKF， ISKF等），理解其数学原理及实现细节。
4. 丰富的C++编程经验，具备强大的嵌入式平台代码开发、调试和性能优化能力。
5. 熟悉常见的传感器特性、标定方法和时序同步技术。

加分项：
    *   熟悉ARM NEON指令集优化。
    *   熟悉传感器内参/外参标定工具链和流程。
    *   具备良好的团队协作精神和沟通能力。",LiDAR ARM C++ 技术文档 ESKF ISKF GNSS IMU,https://www.liepin.com/job/1979637075.shtml
多传感器融合算法工程师,蜂巢智行(上海)技术有限公司,20-40k,上海-闵行区,上海,本科,3年以上,6月3日更新,liepin,"专注于自动驾驶多传感器融合算法研发的工程师，主要负责设计与实现面向实际驾驶场景的多传感器目标融合方案，并将其应用于城区L4物流、自动代客泊车（AVP）等多个智能驾驶场景中。
主要职责：
- 设计并实现适用于自动驾驶的多传感器目标融合算法；
- 将多传感器融合算法落地应用于智能驾驶相关场景，如城区L4物流、AVP等；
- 持续跟踪与优化融合系统的性能，支持量产项目落地。
任职要求：
- 本科及以上学历，计算机、自动化、机器人、数学等相关专业背景；
- 深入理解相机、毫米波雷达、激光雷达、超声波雷达等传感器的目标检测与识别特性，能够根据其优劣进行有效融合；
- 具备自动驾驶系统架构知识，熟悉行业常用多传感器融合方法，有量产项目经验者优先；
- 具备扎实的数学基础，熟悉卡尔曼滤波、贝叶斯估计、匈牙利匹配等目标跟踪、关联与融合方法，并能灵活应用于实际项目；
- 熟练掌握C++、Python及Linux开发环境，具备良好的工程实现能力；
- 具备优秀的学习能力、沟通能力、问题分析与解决能力，富有团队协作精神；
- 心态积极，勇于面对挑战与变化，拥有强烈的求知欲和自驱力，适应能力强，追求卓越。
我们期待你：
对技术有热情，不甘平庸，能够在不确定中保持乐观，主动拥抱变化，与团队共同推动自动驾驶技术的落地与发展。",C++ Python Linux AVP,https://www.liepin.com/job/1983097627.shtml
