job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
光电子运维工程师,某大型知名通信设备公司,30-55k,北京,北京,统招本科,1-3年,7月17日更新,liepin,"岗位职责：
1.负责光量子计算机的日常维护，参与搭建自动化测试脚本或数据采集工具，协助制定系统测试流程，并负责撰写实验记录、操作手册及部分技术文档。
2.负责实验室环境的日常维护、光学器件的管理与点检，基于测试数据协助提出系统优化建议，支撑科研项目的推进。
岗位要求：
1.本科及以上；
2. 专业要求为物理学、光电信息技术相关专业；
3. 熟悉激光器、光功率计、光谱仪和示波器等常用光电器件设备的使用；
4. 熟悉激光，声（电）光调制、光纤等光学相关基本原理；
5. 逻辑思维清晰，文字写作功底及文字表达能力突出，能独立撰写项目各类技术文档及项目各项材料；
6. 具备较强的沟通协调能力和团队合作意识。",自动化测试 数据采集 技术文档,https://www.liepin.com/a/77927127.shtml
高级光电子硬件工程师,杭州西子芯连科技有限公司,50-80k,杭州-钱塘区,杭州,博士,3-5年,6月23日更新,liepin,"岗位职责:
负责光电子芯片及模块（可调谐激光器、探测器、光子集成芯片等）的热管理方案设计、仿真与验证，确保产品在封装和工作条件下的热性能、可靠性和寿命达标。

主导芯片级、模块级和系统级的热特性表征，包括热阻测量、温度分布分析、热机械应力仿真等，为产品设计优化提供数据支撑。

设计与优化高效散热方案，包括但不限于热电制冷（TEC）集成、均热板、热管网络、散热器设计及两相冷却技术，满足通信级产品的低功耗、小尺寸需求。

与光电子芯片设计、封装、光学、软件和测试工程师紧密协作，完成从原型到量产的热设计导入与验证。

参与新型光电子器件的可行性分析和战略技术路线规划，支持下一代高速可调谐激光器及光子集成芯片的开发。

推动热仿真与测试流程的自动化，提升研发效率和产品迭代速度。

负责产品可靠性评估，包括疲劳寿命分析、加速老化测试及失效模式分析，确保产品满足通信行业标准。

岗位要求:
教育背景：

博士及以上学历。热能与动力工程、工程热物理、机械工程、光电子、微电子或相关专业。

工作经验：

5年以上工作经验，其中至少3年从事芯片级或光模块热管理设计工作。

有光通信、光电子芯片、激光器、探测器或AR显示等相关领域经验者优先。

专业技能：

精通热仿真工具（如ANSYS Fluent/Icepak、COMSOL、Flotherm等），具备热-机械耦合仿真能力。

熟悉热电制冷（TEC）技术、热管、均热板、两相冷却等先进热管理方案的设计与选型。

熟悉光电子芯片封装工艺（如共晶焊接、贴片、引线键合等）对热设计的影响。

具备热特性测试能力（如热阻测试、红外热成像、热循环测试等），熟悉相关测试标准。

了解光子集成芯片（PIC）、可调谐激光器、APD探测器等光电子器件的工作原理及性能指标者加分。

具备编程能力（Python/MATLAB）实现仿真或测试自动化者加分。",Python MATLAB 方案设计 产品设计 产品迭代 TEC Fluent Icepak,https://www.liepin.com/job/1983635867.shtml
光电子芯片工程师,学术/科研50-99人,15-20k,南昌-红谷滩区,南昌,硕士,经验不限,90天前更新,liepin,破解“卡脖子”技术并落地应用，针对物联网、5G、智能驾驶、医疗诊断等领域需求，开展技术攻关与成果转化：在超高速光通信领域，研制高速低能耗光调制/探测器件，单片集成激光器、调制器、探测器，开发具备自主知识产权的 100Gbps 以上光收发芯片,5G 知识产权,https://www.liepin.com/job/1978413733.shtml
光电子芯片工程师,学术/科研50-99人,15-20k,南昌-红谷滩区,南昌,硕士,经验不限,90天前更新,liepin,破解“卡脖子”技术并落地应用，针对物联网、5G、智能驾驶、医疗诊断等领域需求，开展技术攻关与成果转化：在超高速光通信领域，研制高速低能耗光调制/探测器件，单片集成激光器、调制器、探测器，开发具备自主知识产权的 100Gbps 以上光收发芯片,5G 知识产权,https://www.liepin.com/job/1979994065.shtml
光电子工程师,上海科技大学,8-20k,上海-浦东新区,上海,硕士,3-8年,90天前更新,liepin,"上海科技大学信息学院PMICC中心旨在促进新型器件、电路和系统的研究与应用。其使命是从物理原理、器件、电路和系统等基础研究核心技术的角度，为新兴应用实现高能效计算。中心正在探索的技术涵盖光电子学、低温电子学、自旋电子学、微机电系统、化合物半导体、电子设计自动化、片上系统、信号处理、可重构计算、数字电路设计以及面向机器人、智能汽车等的定制计算。

岗位职责：
1. 负责光电方向的公共设备平台的管理工作，包括平台设备的采购、运行维护、规章制度等等。
2. 负责光电方向的公共研发平台的管理工作，包括平台的日常运维、硬件建设、网页建设、学术活动组织、光电领域竞赛辅导等等。
3. 负责对相关科研人员及学生进行平台设备及平台实验室使用相关的培训工作。
4. 负责光电方向相关的其他公共事务。
5. 协助任课老师指导光电子相关课程的课程实验；
6. 协助中心内研究生的日常管理工作，如思想教育、困难学生的关怀和帮扶等。
7. 中心和学院领导交付的其他工作。

招聘条件：
1.     具有光电子和光学相关研究经验的硕士或博士学历；
2.	熟悉光学设计原理、光电子系统搭建、光电子器件测试等，具备较强的实验室操作和实践能力；
3.	具有良好的团队合作精神，善于沟通；
4.	热爱教育事业，甘于奉献，潜心育人，具有强烈的事业心和责任感；具有较强的纪律观念和规矩意识，廉洁自律，身心健康；
5.	原则上中共正式党员或预备党员，或在本科生或研究生期间担任过学生干部或有相关工作经历者优先。",采购 培训,https://www.liepin.com/job/1977207673.shtml
光电子封装工程师,华毅瀛飞(浙江)科技有限公司,12-20k,北京-海淀区,北京,大专,3-5年,90天前更新,liepin,"岗位：光电子器件封装测试工程师
岗位要求：
1.负责按照要求完成器件封装工艺或性能分析测试流程，完成封装工艺总结或性能测试报告；
2.负责封装或测试设备的日常维护、工艺参数调整、安全管理；
3.协助公司产品开发或升级换代任务。

岗位职责：
1.理工科专业大专学历以上；
2.掌握贴片、金线键合、光纤耦合、高频测试、可靠性测试等任意一类或几类光电子芯片封装/测试设备的工作原理和操作流程，掌握相关工作参数的调整以提高器件性能；
3.从事相关行业或领域三年以上；
4.具有良好的沟通能力和团队合作能力；
5.责任感强，工作细心认真，有独立思考问题解决问题的能力。

工作地点：2023年在北京，2024年以后到长三角城市。
",性能测试,https://www.liepin.com/job/1958159175.shtml
光学/光电子/射频工程师,政府/公共事业100-499人,14-30k·14薪,宁波,宁波,硕士,经验不限,7月21日更新,liepin,"岗位职责：
1、根据项目要求，完成新产品的光/电/热设计或射频器件仿真设计，完善新产品的光学/电学参数评测和参数提取模型，输出项目的设计评审报告；
2、参与项目的光学预实验/射频开关器件工艺研发、有源射频电路设计、装配/测试、制定试产/量产工艺的作业标准与流程；
3、参与调研光通信、微纳光学、半导体物理、激光物理、光学传感器等行业前沿，依据项目实验结果或产品设计方案，输出横向对比报告、申请相关发明专利，参与或支持本中心的项目申报工作；
4、有源射频电路设计、可靠性增强策略研究、可靠性试验以及失效分析；
5、中心交付的其他工作。

岗位要求：
1、具有硕士研究生以上学历，专业不限，有光学、光模块、物理、应用物理、电子科学技术、光电子、MEMS、有源射频电路等相关专业背景/工作经历优先；
2、熟练掌握COMSOl/ANSYS/TCAD/CST/ADS等软件的使用，以及Matlab/Python等基本语言的使用；
3、具备良好的学习能力和解决问题的能力，有较强的团队协作精神和抗压能力；
4、具有较好的语言表达能力和沟通能力，能够快速了解并掌握各类项目申报的需求，有项目工作经验者为佳；
5、熟悉各类技术文档的撰写要求，有项目方案及报告、PPT资料的制作能力.",MATLAB Python 产品设计 专利 技术文档 MEMS ANSYS TCAD,https://www.liepin.com/job/1984283265.shtml
硅基光电子器件设计工程师,北京爱杰光电科技有限公司,20-30k,北京-海淀区,北京,本科,3-5年,90天前更新,liepin,"职责描述：
负责硅基光电子高速有源器件、无源器件的设计工作。
负责硅光芯片设计，包括：设计，仿真和版图的工作； 
能够使用各类测试设备（矢网、示波器、误码仪）对原型芯片进行测试。




任职要求：
半导体、通信相关专业本科，具有5年工作经验，或者硕士及以上学历，3年以上从业经验；
具有硅基光电子芯片流片经验者优先;
熟练使用光电子器件仿真设计软件如Silvaco，HFSS，FDTD，Comsol等；
熟练运用Matlab等数学工具；",MATLAB HFSS FDTD,https://www.liepin.com/job/1943118869.shtml
光电子芯片研发工程师,某国内电子/半导体/集成电路上市公司,40-70k·13薪,上海,上海,硕士,5年以上,7月25日更新,liepin,"所属部门:光电设备事业部-上海分部
工作地点:上海/洛阳
职位描述:
1.负责激光器芯片、调制器芯片、探测器芯片等新产品设计开发:
2.负责高性能光电子芯片的设计技术攻关;
3.负责新技术开发和产品生产过程中的各类技术问题解决;
4.负责组织光电子芯片可靠性、极端环境适应性等问题分析;
5.负责所承担科研项目资料的规范化编写和归档;
6.对接外延与流片厂完善产品制造工艺，实现新产品转入生产。任职资格:
1.光学、微电子、光学工程、集成电路科学与工程、电子科学与技术
等专业硕士研究生及以上学历;
2.熟练使用Lumerical、Comsol、HFSS、Crosslight、Silvaco 等光电子与射频仿真软件中的一项或多项;
3.熟练使用光谱仪、示波器、矢量网络分析仪等测试设备，熟悉各类有源、无源光器件与链路的测试;
4.有光电子芯片与器件类项目开发经验者优先。",ROS 产品设计 Comsol HFSS Crosslight Silvaco,https://www.liepin.com/a/78273011.shtml
光电子芯片研发工程师,某国内电子/半导体/集成电路上市公司,40-70k·13薪,上海,上海,硕士,5年以上,7月25日更新,liepin,"所属部门:光电设备事业部-上海分部
工作地点:上海/洛阳
职位描述:
1.负责激光器芯片、调制器芯片、探测器芯片等新产品设计开发:
2.负责高性能光电子芯片的设计技术攻关;
3.负责新技术开发和产品生产过程中的各类技术问题解决;
4.负责组织光电子芯片可靠性、极端环境适应性等问题分析;
5.负责所承担科研项目资料的规范化编写和归档;
6.对接外延与流片厂完善产品制造工艺，实现新产品转入生产。任职资格:
1.光学、微电子、光学工程、集成电路科学与工程、电子科学与技术
等专业硕士研究生及以上学历;
2.熟练使用Lumerical、Comsol、HFSS、Crosslight、Silvaco 等光电子与射频仿真软件中的一项或多项;
3.熟练使用光谱仪、示波器、矢量网络分析仪等测试设备，熟悉各类有源、无源光器件与链路的测试;
4.有光电子芯片与器件类项目开发经验者优先。",ROS 产品设计 Comsol HFSS Crosslight Silvaco,https://www.liepin.com/a/78272915.shtml
光电子芯片研发工程师,某国内电子/半导体/集成电路上市公司,40-70k·13薪,上海,上海,硕士,5年以上,7月25日更新,liepin,"所属部门:光电设备事业部-上海分部
工作地点:上海/洛阳
职位描述:
1.负责激光器芯片、调制器芯片、探测器芯片等新产品设计开发:
2.负责高性能光电子芯片的设计技术攻关;
3.负责新技术开发和产品生产过程中的各类技术问题解决;
4.负责组织光电子芯片可靠性、极端环境适应性等问题分析;
5.负责所承担科研项目资料的规范化编写和归档;
6.对接外延与流片厂完善产品制造工艺，实现新产品转入生产。任职资格:
1.光学、微电子、光学工程、集成电路科学与工程、电子科学与技术
等专业硕士研究生及以上学历;
2.熟练使用Lumerical、Comsol、HFSS、Crosslight、Silvaco 等光电子与射频仿真软件中的一项或多项;
3.熟练使用光谱仪、示波器、矢量网络分析仪等测试设备，熟悉各类有源、无源光器件与链路的测试;
4.有光电子芯片与器件类项目开发经验者优先。",ROS 产品设计 Comsol HFSS Crosslight Silvaco,https://www.liepin.com/a/78272881.shtml
热设计工程师,万集科技,18-28k·13薪,北京-海淀区,北京,硕士,经验不限,90天前更新,liepin,"工作职责:
1. 负责芯片级热仿真工作； 
2. 负责激光雷达系统散热方案设计，测试和改进工作；
3. 对产品的结构设计、发热原器件、发热芯片的布局进行热设计分析并提出设计建议；
4. 与结构工程师、硬件工程师、光电子工程师合作，优化系统热性能；
5. 针对激光雷达散热需求进行实验设计，对实验数据进行有效分析并给出结论。

任职资格:
1. 硕士及以上学历，工程热物理及热能工程等相关专业，对传热学、热力学、流体力学及数值传热学等基础学科熟练掌握；
2. 具备有限元仿真能力，能够运用ANSYS、ICEPAK、Flotherm等仿真工具进行温度场及流体场的热仿真分析；
3. 有芯片热设计经验者优先；
4. 具有良好的逻辑分析能力及表达能力；
5. 具有良好的团队合作意识。",方案设计 ICEPAK,https://www.liepin.com/job/1969987245.shtml
硅光测试工程师,某上海电子/半导体/集成电路公司,25-45k·15薪,上海,上海,本科,3-5年,今日更新,liepin,"作为光电子测试工程师，您将负责对新一代硅光子集成电路、光收发模块及各类光电子子系统进行表征与测试。您将开展多种有源及无源光学与光子器件的验证与表征工作，包括但不限于调制器、光电探测器、无源波导与耦合器、复用器/解复用器以及光纤-芯片耦合器件。您需要制定测试方案，开发适用于光学器件与模块的测试系统及流程。具体职责包括：  
- 设计、搭建并维护光、电测试系统  
- 为硅光子芯片及基于SIP的光学子系统设计与实施测试流程  
- 为光学子组件（包括激光器、微光学元件、自由空间光学元件）及相关电子器件（如TIA、激光器/调制器驱动器、SerDes芯片）设计与实施测试流程  
- 设计与调试用于光学对准系统表征的测试方法及夹具  
- 建立并管理测试数据的收集、归档、分析与展示  
- 维护和更新与测试系统操作相关的文档  
- 负责向开发工程团队提供设计反馈，以优化器件性能  
- 维护测试设备与仪器校准，识别并采购测试零件，编写设备预防性维护规程  
**技能与资历要求：**  
- 电气与计算机工程、光学工程、物理学或相关专业硕士及以上学历  
- 至少2年行业经验优先，或相关领域表现突出的应届人才  
- 具备光通信或数据中心互联产品开发中芯片、组件及系统级原型搭建与测试的实践经验  
- 了解制造支持相关工作，如光学组件测试与性能评估  
- 熟练运用C、Python等语言在PC/Windows环境下进行测试脚本编写与自动化开发  
- 掌握数据收集、分析及报告工具，如JMP、Matlab和MS Office  
- 具备CAD/建模/仿真软件（如PADs、Solidworks、Zemax）使用经验者优先  
- 积极主动，富有创造力，具备团队合作精神


",Python MATLAB 采购 Solidworks Zemax,https://www.liepin.com/a/75755263.shtml
