job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI算子库及高性能计算工程师,互联网科创板上市1000-2000人,25-40k·16薪,杭州-萧山区,杭州,硕士,应届,90天前更新,liepin,"AI算子库及高性能计算工程师
岗位使命：
1.	TA是国产GPU通用计算大厦的奠基者：开发MUSA通用计算核心软件栈，包括但不限于MUSA驱动，AI算子库，通信库，数学库等
2.	TA是性能魔法师：挑战极限，让AI训练及推理、高性能计算、物理仿真等应用发挥最佳性能
3.	TA是MUSA软件生态的布道者：热爱国产GPU通用计算事业，构建并推广国产自主GPU通用计算软件生态，面向用户、学生等广大开发者”布道“MUSA
岗位职责：
1.	基于摩尔线程GPU，打造MUSA通用计算核心软件栈底座，构建MUSA应用生态基石
2.	为AI训练与推理、科学计算、物理仿真等应用提供深度优化的核心算子库
3.	跨团队协作，深度参与硬件架构协同设计，推进软硬协同优化
任职要求：
1.	计算机、自动化、人工智能、数学、物理、高性能计算等相关专业本科及以上学历
2.	对C/C++编程，算法设计优化有浓厚兴趣
3.	对底层软硬件架构有强烈的兴趣，对软硬件技术有优雅的审美和极致的性能追求
4.	积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有优秀的团队沟通与协作能力
加分项：
1.	了解某一种异构加速芯片架构及其并行编程模型：如GPU、AI芯片等
2.	了解某一种异构通用计算编程语言：CUDA/OpenCL/HIP/OneAPI/Vulkan等
3.	在某一种异构平台上进行过并行算法的开发调优，有高性能计算、异构计算相关知识积累、项目/实习经验
4.	在国际顶尖会议或期刊（CVPR、ICCV、ECCV、3DV、SIGGRAPH、TOG、TPAMI、ACL、NAACL、EMNLP、AAAI等）上发表过学术论文
5.	在有影响的计算机科学相关的竞赛中获奖，如ASC、ACM、NOI等
6.	了解机器学习、深度学习基础理论知识，对AI相关的工作有强烈的兴趣
7.	良好的数学功底，算法理解和设计能力
8.	优秀的软件工程能力
9.	学习能力过硬，有强烈的自我驱动力
10.	优秀的学术论文阅读理解能力，良好的文档撰写能力和习惯
11.	优秀的沟通表达和团队协作能力

截止日期：2027年02月25日
招聘人数：20人",C++ 机器学习 深度学习 MUSA CUDA OpenCL HIP OneAPI,https://www.liepin.com/lptjob/80388847
高性能计算工程师,东昇聚变(上海)技术有限公司,15-30k·15薪,上海-杨浦区,上海,硕士,应届,5月24日更新,liepin,"岗位职责：

1. 负责装置实时平衡计算的日常运行、监控、维护与保障，确保稳定可靠；

2. 与诊断部门协同，完成平衡系统数据配置、参数校准与执行；

3. 监控并优化平衡计算效率、响应速度与计算精度，提升系统性能；

4. 负责平衡计算异常分析、问题定位、测试验证与闭环解决；

5. 非运行期间，开展平衡分析、MHD 不稳定性模拟、评估与控制建议；

6. 参与未来装置迭代设计、平衡系统方案优化、功能验证；

7. 参与AI 控制算法的开发、测试、集成与仿真验证，支撑智能控制落地。

任职要求：

1. 核科学与技术、等离子体物理、软件工程、计算机工程、计算机科学等相关技术领域，硕士及以上学历；

2. 熟悉等离子体控制系统和有相关工程经验者优先；

3. 熟悉磁诊断系统和有相关工程经验者优先；

4. 了解等离子体磁流体不稳定性（MHD） 模拟与分析方法者优先；

5. 熟练掌握编程语言（如python、C、Fortan）以及现代代码管理工具；

截止日期：2027年05月24日
招聘人数：1人",Python MHD Fortan,https://www.liepin.com/lptjob/82804909
高性能计算工程师,进迭时空,150-250元/天,杭州-余杭区,杭州,本科,,7月29日更新,liepin,"岗位职责：
1. 参与进迭时空AI算子库的开发和测试；
2. 参与进迭时空CV，SLAM等相关算子库的开发和测试；

职位要求：
1.计算机、电子工程及相关专业本科及以上学历；
2.熟悉C/C++；
3.了解常见计算机体系结构不限于CPU、GPU等；
4.熟悉神经网络、机器视觉算法原理；
4.具有AI算子优化、高性能软件开发的经验不限于SIMD、VLIW、SIMT相关优化的优先。

招聘人数：1人",SLAM C++ VLIW,https://www.liepin.com/lptjob/79089395
高性能计算技术支持工程师,内蒙古东方超算科技有限公司,4-6k,呼和浩特-和林格尔县,呼和浩特,大专,应届,90天前更新,liepin,"岗位名称：高性能计算技术支持工程师
学历要求：专科及以上
专业要求：不限
薪资待遇：面议（根据应聘者能力和经验确定）
实习期限：一到三个月（具体根据岗位需求及应聘者情况确定）
岗位职责
1. 迅速响应客户问题，协助客户进行设备维护、策略调试及日常问题处理，包括但不限于硬件故障排查、网络连接优化、应用程序使用指导等；
2. 主动发现并快速解决系统运行风险，确保系统稳定运行；
3. 对网络、服务器、计算机等IT设备进行日常维护、巡检与管理，保障系统正常运行；
4. 深入收集并分析客户反馈，了解客户需求，探索新功能与技术趋势，推动服务升级与优化；
5. 具备IT安全服务意识，在项目交付与服务过程中，严格按照公司及客户流程规范操作，确保客户业务安全稳定运行；
6. 具备良好的抗压能力，能够高效完成客户及领导安排的工作任务。
任职要求
1. 本科及以上学历，大学英语四级及以上水平，具备良好的英文技术文档阅读能力；
2. 熟悉Linux系统，能够熟练操作Redhat、CentOS、Ubuntu等发行版，掌握Shell或Python脚本语言中的一种；
3. 熟练掌握计算机硬件、操作系统、网络及安全等IT基础知识，具备快速解决常见问题的能力；
4. 具备良好的语言表达与沟通能力，对客户服务质量有深刻的认识与高标准；
5. 具备自我学习与持续完善的意愿，能够不断提升自身技术水平与服务素质；
6. 能够积极配合团队完成工作任务，注重工作细节与结果导向；
7. 对CPU/GPU架构、CPU/GPU服务器集群、并行计算、人工智能算法等有一定理解，有OpenMP和MPI应用经验，熟悉ROCE网络/存储、IB网络等技术，熟悉主流人工智能训练与推理架构者优先；

截止日期：2026年09月16日
招聘人数：5人",Linux Shell Python 技术支持 故障排查 技术文档 客户服务,https://www.liepin.com/lptjob/78513727
高性能计算库开发工程师,北京行云集成电路有限公司,25-55k,上海-浦东新区,上海,硕士,应届,6月16日更新,liepin,"职位描述：
1、为类Nvidia的GPGPU硬件开发底层的高性能计算库；
2、挖掘硬件潜力，逐步优化不同应用场景下的性能；
3、参与设计并完善计算库的软件架构，搭建测试体系，解决全流程中的工程问题；
4、为主流深度学习应用框架提供适配支持。

职位要求：
1、能够日常无障碍使用C/C++、python进行开发工作；
2、计算机科学和编程功底，熟悉基本数据结构及算法，有良好的编程习惯；
3、熟悉CUDA，对GPGPU类的硬件架构有一定的理解，了解最新几代Nvidia GPU微架构（Ampere/Ada/Hopper/Blackwell）的硬件特性；
4.、有异构计算kernel的profile和debug经验；
加分项：
1、 有过类CUDA生态的底层计算库（cuBLAS/cuDNN/cuFFT/cuSOLVER等）的开发经验，或者对这些计算库的构成和使用非常熟悉；
2.、熟悉convolution、GEMM、Attention等计算密集型运算的典型算法，有过实际开发经验优先；
3、熟悉CUTLASS/TileLang等开源开发项目；
4、有数值计算、模拟物理等科学应用问题的开发经验，或者较深厚的数理背景。

截止日期：2027年06月02日
招聘人数：10人",深度学习 C++ Python Ampere Ada Hopper Blackwell GEMM,https://www.liepin.com/lptjob/83069559
底层软件开发工程师 - 高性能计算方向（26校招） (MJ000695),太初(杭州)集成电路有限公司,15-35k·15薪,北京-海淀区,北京,硕士,应届,90天前更新,liepin,"一、岗位职责:
1、使⽤类C++语言，开发深度学习高性能算⼦库的算⼦，⽐如激活算⼦、卷积算⼦、矩阵乘法、FlashAttention等，及其融合算子；
2、对算⼦的正确性和精度进⾏对齐，对性能进行调优，提升产品质量，增强产品泛化性和可维护性，提高开发效率。


二、任职资格：
1、硕士及以上学历，计算机、软件开发、系统优化等计算机专业背景在校生；
2、有良好的C/C++语⾔编程能力和动手实践能力，在算法基础，编译/运行时原理、体系结构等基础扎实牢靠
3、了解GPU等异构加速卡的体系架构，软件栈组成等基本概念，有CUDA算子开发经验者优先
4、了解代码优化的基本技术，⽐如向量化、双缓冲、指令流⽔、⾼速缓存等
5、有并⾏计算经验优先，⽐如OpenMP/MPI/CUDA/pthread/athread等
6、有深度学习/科学计算应用优化经验优先，熟悉transformer等知名模型结构者优先

截止日期：2027年01月22日
招聘人数：3人",C++ 深度学习 Transformer MPI CUDA,https://www.liepin.com/lptjob/79933071
27届校招-大模型推理开发工程师-南京,电子/半导体/集成电路科创板上市500-999人,25-35k·15薪,南京-江宁区,南京,硕士,应届,7月30日更新,liepin,"岗位职责：  
1.负责大模型（LLM）推理引擎的优化与部署，将推理延迟降低30%以上  
2.设计并实现高性能计算算子，提升GPU/NPU等硬件利用率至80%以上  
3.开发模型压缩与量化工具，实现模型体积减少50%的同时精度损失小于1%  
4.协同算法团队完成大模型在垂直场景的落地应用，支持至少3个业务线  

任职要求：  
1.硕士学历，计算机、人工智能、电子工程等相关专业，27届应届毕业生  
2.熟练掌握C++/Python，具备CUDA、TensorRT或类似推理框架开发经验  
3.熟悉Transformer架构及大模型推理优化技术，如KV Cache、PageAttention等  
4.有强烈的技术热情和解决问题的能力，在相关领域有实习或项目经历者优先

截止日期：2027年07月30日
招聘人数：10人",大模型 LLM C++ Python Transformer Cache,https://www.liepin.com/lptjob/84536849
27届校招-算子开发工程师-成都/深圳/南京/西安,电子/半导体/集成电路科创板上市500-999人,25-35k·15薪,南京-江宁区,南京,硕士,应届,7月30日更新,liepin,"岗位职责：
1. 负责AI芯片算子库的设计、开发与性能优化，提升算子执行效率至少30%
2. 参与主流深度学习框架（如TensorFlow, PyTorch）的算子对接与集成工作
3. 开发和维护高性能计算核心代码，针对特定硬件平台进行指令级优化
4. 编写技术文档与单元测试，确保代码质量与模块交付的稳定性

任职要求：
1. 计算机、电子工程、数学等相关专业本科及以上学历，2027届应届毕业生
2. 熟练掌握C/C++编程，具备扎实的数据结构与算法基础
3. 了解计算机体系结构，对CPU/GPU/DSA等硬件架构有基本认知
4. 具备良好的团队协作与沟通能力，对AI底层技术有浓厚兴趣

截止日期：2027年07月30日
招聘人数：10人",深度学习 TensorFlow PyTorch C++ 技术文档 GPU,https://www.liepin.com/lptjob/84533335
27届校招-算子开发工程师-成都/深圳/南京/西安,电子/半导体/集成电路科创板上市500-999人,25-35k·15薪,西安-高新区,西安,硕士,应届,7月30日更新,liepin,"岗位职责：
1. 负责AI芯片算子库的设计、开发与性能优化，提升算子执行效率至少30%
2. 参与主流深度学习框架（如TensorFlow, PyTorch）的算子对接与集成工作
3. 开发和维护高性能计算核心代码，针对特定硬件平台进行指令级优化
4. 编写技术文档与单元测试，确保代码质量与模块交付的稳定性

任职要求：
1. 计算机、电子工程、数学等相关专业本科及以上学历，2027届应届毕业生
2. 熟练掌握C/C++编程，具备扎实的数据结构与算法基础
3. 了解计算机体系结构，对CPU/GPU/DSA等硬件架构有基本认知
4. 具备良好的团队协作与沟通能力，对AI底层技术有浓厚兴趣

截止日期：2027年07月30日
招聘人数：10人",深度学习 TensorFlow PyTorch C++ 技术文档 GPU,https://www.liepin.com/lptjob/84533333
27届校招-算子开发工程师-成都/深圳/南京/西安,电子/半导体/集成电路科创板上市500-999人,25-35k·15薪,深圳-南山区,深圳,硕士,应届,7月30日更新,liepin,"岗位职责：
1. 负责AI芯片算子库的设计、开发与性能优化，提升算子执行效率至少30%
2. 参与主流深度学习框架（如TensorFlow, PyTorch）的算子对接与集成工作
3. 开发和维护高性能计算核心代码，针对特定硬件平台进行指令级优化
4. 编写技术文档与单元测试，确保代码质量与模块交付的稳定性

任职要求：
1. 计算机、电子工程、数学等相关专业本科及以上学历，2027届应届毕业生
2. 熟练掌握C/C++编程，具备扎实的数据结构与算法基础
3. 了解计算机体系结构，对CPU/GPU/DSA等硬件架构有基本认知
4. 具备良好的团队协作与沟通能力，对AI底层技术有浓厚兴趣

截止日期：2027年07月30日
招聘人数：10人",深度学习 TensorFlow PyTorch C++ 技术文档 GPU,https://www.liepin.com/lptjob/84533331
