job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI产品经理（研究应用）,上海洛维星商务咨询有限公司,20-35k·14薪,上海-黄浦区,上海,统招本科,1-3年,7月23日更新,liepin,"我们是一家从事社会科学研究的机构，研究对象涵盖区域、政策与全球议题。随着大模型（LLM）及相关 AI 技术的快速发展，我们正在系统性地将 AI 引入研究流程，以实现：
* 更高效的信息处理
* 更高质量、可追溯的研究结论
* 更快的研究响应速度与方法迭代能力

本岗位将负责将 AI 技术转化为可真正服务研究工作的系统、工具与方法，而非停留在单点工具或概念层面。

岗位核心使命
＞ 将“研究问题”转化为“可由 AI 系统高效支持的问题”，
＞ 并持续利用新技术手段，提升研究报告与政策分析的效率与深度。

工作职责

一、AI 研究应用设计与落地
* 与研究团队深度合作，理解研究逻辑、判断框架与方法论
* 将研究需求拆解为可由 AI 支持的流程或模块（如信息检索、对比分析、初稿生成、可视化等）
* 设计并迭代 AI 应用方案，包括但不限于：
  1） RAG（检索增强生成）系统
  2） Agent / Workflow / 多步骤推理流程
  3） 基于 LLM 的研究辅助工具


二、AI 技术选型与方法迭代
* 持续跟进大模型与 AI 应用领域的新技术、新范式（如 MCP、Tool Calling、Agentic Workflow 等）
* 根据研究场景快速验证新方法，而非固化单一技术路线
* 判断何时应使用 AI、何时必须人工介入，确保研究质量与可靠性

三、数据与可视化智能化
* 推动研究数据的结构化与可复用
* 探索并落地：
  1) LLM 调用数据分析工具（如 Power BI、SQL、Python）的自动化流程
  2) 自动生成图表、摘要与对比分析结果


四、原型构建与跨团队协作
* 使用低/轻代码方式（vibe coding）快速构建原型或 Demo
* 能够阅读、修改并调试基础代码或 Prompt
* 与工程、IT 或外部技术合作方对接，推动方案落地

五、研究效率与质量负责
* 以研究成果为导向，而非以系统本身为目标
* 衡量并持续优化：
  1) 研究周期是否缩短
  2) 研究员负担是否降低
  3) 分析维度是否更全面、透明

任职要求
* 本科及以上学历，社会科学、国际关系、公共政策、经济、信息管理、产品或相关背景优先
* 对 AI 技术在研究、分析、决策支持领域的应用有强烈兴趣与实践经验
* 具备优秀的学习能力，能快速理解并尝试新工具、新方法
* 能够与研究人员进行深度沟通，理解其判断逻辑与方法论
* 英语精通

AI 与技术能力（应用导向）
* 理解并实践过以下部分或全部内容：
  1） LLM 应用（如 GPT / Claude 等）
  2） RAG、Agent 或多步骤推理流程
  3） Prompt 设计与评估
* 不要求算法或模型训练背景，但需要：
  1） 能使用 AI 辅助完成原型构建
  2） 能看懂并修改基础代码或逻辑
  3） 对系统结构与数据流有基本理解

加分项
* 有咨询公司、智库、研究机构、国际组织或研究型企业背景
* 有研究自动化、知识管理或内部工具建设经验
* 有 Power BI、Tableau、SQL、Python 等数据分析或可视化经验
* 有 AI 产品、AI 应用产品经理相关经历

我们不期待你是：
* 纯算法或模型训练工程师
* 只写需求、不碰系统的传统产品经理
* 只会使用现成工具、但无法理解研究逻辑的“AI 工具使用者”

我们期待你是：
* 能站在研究视角思考 AI 价值的人
* 能不断尝试新方法、推翻旧方案的人
* 对“用 AI 改变研究工作方式”本身充满好奇与热情的人

岗位价值
* 深度参与 AI 与社会科学研究结合的前沿实践
* 对研究方法、分析框架与最终判断产生真实影响
* 在快速演进的 AI 技术环境中持续成长，形成独特的职业能力
 ",大模型 LLM RAG SQL Python GPT 数据分析,https://www.liepin.com/job/1979732395.shtml
高级AI产品经理,同道猎聘集团,18-28k·15薪,北京,北京,本科,5-10年,7月30日更新,liepin,"岗位职责：  
1.负责猎聘to C agent产品的整体规划与设计，推动产品迭代升级  
2.分析用户需求及市场动态，制定产品功能优化方案  
3.协调研发、设计、运营等团队，推进产品开发及上线流程  
4.监控产品数据指标，持续优化用户体验和业务转化效果  

任职要求：  
1.本科及以上学历，5-10年产品经理工作经验  
2.具备to C互联网产品经验，有猎头/招聘行业背景优先  
3.逻辑清晰，具备较强的数据分析能力和用户洞察力  
4.聪明主动，具有优秀的跨团队沟通协作能力",产品迭代 数据分析,https://www.liepin.com/job/1984440553.shtml
AI国际风控产品经理,生活服务港股上市10000人以上,35-65k·16薪,上海-杨浦区,上海,本科,3年以上,7月24日更新,liepin,"岗位职责:
1、负责AI/大模型技术在国际风控场景的产品化落地，识别应用机会，定义产品方案，协同算法/工程团队完成从0到1的设计与验证；
2、深度了解国际支付链路和风控系统，理解上下游交互，包括反欺诈、BNPL等核心方向；负责业务和风控系统的对接，产出风险解决方案，并协同研发等团队推动方案落地；
3、负责风控决策引擎、名单库系统、运营管理后台的需求梳理、功能迭代和体验优化，兼顾合理的实现逻辑及良好的用户体验；
4、推动风控能力和接口标准化，为业务内部及外部合作方，提供清晰、可复用的风控接入流程，及风险解决方案。
岗位要求:
1、AI能力要求：熟悉大模型应用场景设计，具有AI风控产品实践和落地经验优先；
2、专业经验：3年以上风控产品经验，有国际风控或跨境风控产品经验者优先；本科及以上学历，计算机、金融、信息管理等相关专业；
3、核心能力：熟悉国际卡组织（Visa/Mastercard）、支付网络运作机制，具备风险决策引擎、规则平台等产品设计经验，拥有出色的逻辑分析能力与产品抽象思维，能够将复杂的业务和风险问题转化为清晰的风控产品解决方案
4、软性素质：自我驱动力强，学习能力强，具备良好的创新应用能力。
岗位亮点:
1、AI机会：深度参与AI技术在国际风控场景的从0到1落地，接触大模型、智能决策等前沿AI应用，具备AI产品能力的候选人将获得优先发展机会
2、业务基本盘：国际化业务是美团重要战略方向，参与美团国际化业务高速发展，深度国际化风控产品和体系建设，成长空间广阔；
3、成长与资源：团队学习氛围好，与风控策略、算法专家协作，快速积累国际化风控产品经验，美团国际丰富的数据资源与技术平台为产品创新提供有力支撑。
具备以下优先:
1、互联网出海金融大厂，国际风控产品/反欺诈风控产品定向人才；
2、具备AI风控实践落地经验的互联网风险产品人才；
3、英语可作为工作语言优先。",大模型 产品设计 Visa Mastercard,https://www.liepin.com/job/1984045319.shtml
人工智能/AI产品经理（AI Product Manager）,广东高驰运动科技有限公司,12-20k,东莞-松山湖,东莞,本科,经验不限,90天前更新,liepin,"职位概述
我们正在寻找一位懂业务、精流程、擅技术协同的AI产品经理，专注于将主流AI工具融入企业内部管理系统，优化核心业务流程效率与决策质量。
核心使命：通过AI技术赋能财务、运营、HR等内部场景，推动数字化转型落地，实现降本增效与组织智能化升级。

---
工作职责
  1. 内部流程痛点挖掘与AI方案设计
    - 深入分析企业财务报销、审批流程、资源调度等核心业务场景，定位AI可解决的效率瓶颈（如自动化数据录入、智能流程推荐）。
    - 结合RPA、NLP、轻量级预测模型等工具，设计符合内部管理需求的AI解决方案原型。
  2. AI工具集成与系统对接
    - 主导主流AI工具与企业ERP/CRM系统集成。
    - 与IT团队协作，确保AI功能嵌入现有系统后的稳定性与用户体验优化。
  3. 需求落地与效果评估
    - 推动AI功能在试点部门（如财务部、采购部）的落地运行，通过数据验证实际效益（如处理效率提升比例）。
    - 定期输出AI工具应用效果报告，提出迭代优化方向。
  4. 内部技术赋能与协作
    - 制作面向业务部门的AI工具培训材料，推动全员AI技术认知升级。
    - 搭建跨部门协作机制，消除技术与业务间的沟通壁垒。

---
任职要求
  1. 教育背景
    - 财务/会计/工商管理、计算机科学、信息管理等相关专业本科及以上学历。
    - 优先考虑有企业ERP系统使用经验或财务数字化基础的候选人。
  2. 核心能力
    - AI工具理解力：了解主流AI工具（如ChatGPT、Power BI AI、Python基础库）的典型应用场景与技术原理。
    - 业务流程洞察力：熟悉企业内部管理流程（如审批流、预算编制、考勤管理），能快速识别AI优化空间。
    - 产品思维：具备PRD撰写与需求优先级管理能力，有简单功能模块设计经验即可。
  3. 软性素质
    - 强烈的学习意愿，能够自主掌握新工具（如试用未接触过的AI插件）。
    - 良好的沟通能力，能向非技术人员解释技术方案的价值。
    - 基础的数据敏感度，可运用Excel/SQL进行数据初步分析。

---
加分项
  - 了解低代码平台者优先。
  - 参与过企业流程自动化项目者优先。
  - 持有CFA/CPA/FRM等财务证书，或熟悉SAP/Oracle等ERP系统者优先。

---
职业发展
  - 可向「AI解决方案负责人」晋升，主导企业级AI战略落地。
  - 提供AI工具培训、行业峰会参与机会，支持技术与管理双成长路径。

---
我们期待您带来的价值
  - 用AI技术简化复杂流程，让员工从重复劳动中解放。
  - 成为业务与技术的桥梁，推动企业内部智能化从概念走向实践。",GPT Python SQL Oracle 方案设计 采购 培训 跨部门协作 技术方案,https://www.liepin.com/job/1972679993.shtml
AI产品经理（生产制造场景）,某大型机械/设备公司,20-40k·14薪,上海,上海,学历不限,经验不限,7月8日更新,liepin,"岗位职责
1.基于制造业垂直行业场景，深入研究和规划端到端AI应用产品，基于多模态大模型、知识库、业务流程自动化等能力，将行业特定需求转化为适配AI原理且实用的产品设计。
2.熟悉B端业务场景和行业痛点，与业务团队紧密合作，输出高质量PRD、原型、流程设计、业务规则与验收标准，推动研发、算法、数据、交付团队落地。
3.与行业用户深度互动，了解和洞察用户业务痛点，转化为具体可行AI方案，以用户成功为目标开展产品设计和演进工作。
4.负责AI Agent核心能力的产品方案设计:意图理解、上下文管理、工具调用、RAG接入、反思规划、多Agent协同等。
5.洞察AI在垂直行业的应用方向，洞悉Al前沿技术和行业产品情况，熟悉客户业务需求，能够对产品方向提出有效建议。

任职要求
1.本科及以上学历，3年左右互联网或人工智能产品经理工作经验，对AI技术和B端业务有良好的理解和学习能力。
2.有从0到1的产品管理过程经验优先，特别是B端产品的商业化经验优先。
3.具备强烈的业务sense,能够快速理解行业痛点和客户需求，善于将技术能力转化为业务价值。
4.优秀的跨团队协作能力、沟通能力和自驱力,能够应对快速的技术和业务发展,找到合理的产品设计方向和贯彻执行。
5.有企业级大模型应用、AI Agent、业务流程自动化等产品设计经验优先，深刻理解AI Agent体系：LLM能力、RAG、Function Calling、工作流、工具编排、多智能体协作。
6.熟练使用AI产品工具，能独立输出PRD、原型图、流程及架构图等相关产品文档。",大模型 RAG LLM 知识库 产品设计 方案设计 产品文档,https://www.liepin.com/a/77615705.shtml
AI产品经理（企业内部提效工具）,某大型机械/设备公司,20-40k·14薪,深圳,深圳,学历不限,经验不限,7月8日更新,liepin,"工作职责：
1.基于办公、采购、人力等经营管理与流程提效场景，深入研究和规划端到端 AI 应用产品，结合多模态大模型、企业知识库、业务流程自动化、AI Agent 等能力，将业务需求转化为符合 AI 原理且具备落地价值的产品设计。
2.熟悉B端业务场景和行业痛点，与业务团队紧密合作，输出高质量PRD、原型、流程设计、业务规则与验收标准，推动研发、算法、数据、交付团队落地。
3.与行业用户深度互动，了解和洞察用户业务痛点，转化为具体可行AI方案，以用户成功为目标开展产品设计和演进工作。
4.负责AI Agent核心能力的产品方案设计:意图理解、上下文管理、工具调用、RAG接入、反思规划、多Agent协同等。
5.洞察AI在垂直行业的应用方向，洞悉Al前沿技术和行业产品情况，熟悉客户业务需求，能够对产品方向提出有效建议。

任职要求
1.本科及以上学历，3年左右互联网或人工智能产品经理工作经验，对AI技术和B端业务有良好的理解和学习能力。
2.有从0到1的产品管理过程经验优先，特别是B端产品的商业化经验优先。
3.具备强烈的业务sense,能够快速理解行业痛点和客户需求，善于将技术能力转化为业务价值。
4.优秀的跨团队协作能力、沟通能力和自驱力,能够应对快速的技术和业务发展,找到合理的产品设计方向和贯彻执行。
5.有企业级大模型应用、AI Agent、业务流程自动化等产品设计经验优先，深刻理解AI Agent体系：LLM能力、RAG、Function Calling、工作流、工具编排、多智能体协作。
6.熟练使用AI产品工具，能独立输出PRD、原型图、流程及架构图等相关产品文档。",大模型 RAG LLM 采购 知识库 产品设计 方案设计 产品文档,https://www.liepin.com/a/77615969.shtml
人工智能产品经理,某北京广播/影视/录音公司,25-35k,北京-海淀区,北京,统招本科,5-10年,5月20日更新,liepin,"人工智能方案产品经理
1、负责人工智能专业方向的校企合作专业共建整体方案的制定，对方案竞争力与可实现性、经营效果与品牌质量负责。包含人才培养方案，以及基于校方特点与需求的其它模块的整合设计（如实训室模块、1+x 技能相关模块等）；
2、负责人工智能专业方向的人才培养方案的制定，对最终教学成果负责。包含就业方向规划、课程体系方案、实训项目方案、以及实训室或实训基地建设方案等； 
3、牵头制定人工智能专业方向的营销方案，以及参与售前支持； 
4、负责相关方案模块的组织开发，以及部分课程的讲授； 
5、参与教师选拔，负责赋能与指导工作。
特别说明：
当前重点产品方向为具身智能实训室
一、关键要求：
1、历往业绩优良。有强烈的进取心，历往业绩排名优良、以及受过单位表彰激励。
2、有（方案）产品力。具有对TO G行业客户的需求关键点的洞察力，有优良的创造方案类产品的产品力。
3、有营销力。
    善于结合国家政策、行业趋势、以及市场竞争情况，提出概念创意，并总结提炼所开发产品方案的营销卖点；
4、有一定的技术力。有一定的AI专业相关的技术能力，能独立负责一定的动手工作。当前重点产品方向为具身智能实训室。
5、有良好的组织协调能力与解决问题能力。
二、知识与从业背景等要求（对社招）：
1、有相关专业知识背景。了解人工智能专业相关行业的相关技术框架，洞察行业市场人才需求趋势，尤其是洞察对大中专学生的就业关键技能要求。
2、有企业实际工作经验者优先、有教研经验、以及有专业共建与实训室类产品解决方案设计经验者优先。
3、有良好的学历背景，技术类专业毕业，计算机、自动化、机械工程等相关专业毕业，优秀院校毕业生优先，硕士学历优先。
4、其它：对于实际工作经验不到3年的候选人，重点看历往业绩优、产品潜力大、进取心强等，经验等方面放宽要求。",方案设计,https://www.liepin.com/a/75887227.shtml
AI产品经理,计算机软件不需要融资10000人以上,20-30k,成都-高新区,成都,统招本科,3年以上,5月18日更新,liepin,"职责描述：
1.负责AI大模型相关的产品的需求调研、竞品分析、规划和设计； 
2.负责协调各算法应用部门，挖掘需求，梳理应用逻辑； 
3.对接技术研发团队，确保产品功能的实现并不断优化产品体验； 
4.负责产品的用户咨询对接，需求评估； 
5.跨部门团队合作，确保项目按时按质完成； 

6.撰写和整理产品相关方案文档，包括但不限于应用方案、需求文档、产品手册等； 

任职要求： 
1.计算机相关专业本科及以上学历，3年以上人工智能产品经理相关经验，有金融行业AI工具链相关经验优先； 
2.对人工智能、模式识别、大模型产品和技术有了解，能够紧跟行业发展趋势； 
3.优秀的逻辑思维能力，快速定位关键问题，并提出解决方案； 
4.沟通和协调能力，能够有效地与内外部团队进行沟通和协作； 
5.具备较强的项目管理能力，能够合理安排项目计划并确保项目进度； 
6.方案文档写作能力，能够清晰、准确地表达产品需求和设计思路； 
7.对人工智能领域充满热情，具备创新思维和敏锐的市场洞察力； 
8.能不断学习和自我提升，具备抗压能力和团队合作精神； 
9.优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。




",大模型 竞品分析 项目管理,https://www.liepin.com/job/1974818967.shtml
AI产品经理,某南京大型智能硬件/消费电子公司,30-40k·14薪,深圳,深圳,本科,3-5年,7月29日更新,liepin,"岗位职责
1. 基于办公、采购、人力等经营管理与流程提效场景，深入研究和规划端到端 AI 应用产品，结合多模态大模型、企业知识库、业务流程自动化、AI Agent 等能力，将业务需求转化为符合 AI 原理且具备落地价值的产品设计。
2.熟悉B端业务场景和行业痛点，与业务团队紧密合作，输出高质量PRD、原型、流程设计、业务规则与验收标准，推动研发、算法、数据、交付团队落地。
3.与行业用户深度互动，了解和洞察用户业务痛点，转化为具体可行AI方案，以用户成功为目标开展产品设计和演进工作。
4.负责AI Agent核心能力的产品方案设计:意图理解、上下文管理、工具调用、RAG接入、反思规划、多Agent协同等。
5.洞察AI在垂直行业的应用方向，洞悉Al前沿技术和行业产品情况，熟悉客户业务需求，能够对产品方向提出有效建议。
任职要求
1.本科及以上学历，5年以上互联网或人工智能产品经理工作经验，对AI技术和B端业务有良好的理解和学习能力。
2.有从0到1的产品管理过程经验优先，特别是B端产品的商业化经验优先。
3.具备强烈的业务sense,能够快速理解行业痛点和客户需求，善于将技术能力转化为业务价值。
4.优秀的跨团队协作能力、沟通能力和自驱力,能够应对快速的技术和业务发展,找到合理的产品设计方向和贯彻执行。
5.有企业级大模型应用、AI Agent、业务流程自动化等产品设计经验优先，深刻理解AI Agent体系：LLM能力、RAG、Function Calling、工作流、工具编排、多智能体协作。
6.熟练使用AI产品工具，能独立输出PRD、原型图、流程及架构图等相关产品文档。",大模型 RAG LLM 采购 知识库 产品设计 方案设计 产品文档,https://www.liepin.com/a/78101813.shtml
AI影像商业化产品经理,美图公司,20-35k·15薪,北京-海淀区,北京,本科,3-5年,7月27日更新,liepin,"为什么我们需要你：

 

美图秀秀的订阅与商业化正在跑出让人兴奋的增速，背后是 AI 影像能力在修图、设计、视频等场景里不断打开新玩法。我们想找到一位能把用户价值变成真金白银的商业产品经理，和我们一起把这条路走得更宽、更野。

 

你会负责的事：

 

 
为美图秀秀订阅收入与核心转化指标负责，持续打磨从免费到付费的完整链路，把增长策略落地到每一次产品迭代里

不满足于会员这一种答案，你会在 AI 影像工具和内容场景里动手验证广告、增值服务、电商等更多商业化可能，面向全球用户出招

盯着会员生命周期和用户行为数据做决策，紧盯转化、留存、续费等关键指标，找到让用户心甘情愿付费的体验点

从一次市场洞察到方案上线再到效果复盘，你能独立扛起整条流程，也会联合研发、设计、运营和数据伙伴把事情漂亮地交付

 

我们期待你是：

 

 
本科及以上学历，有 2 年以上互联网商业产品经验，摸过会员、增值服务、程序化广告、电商或 SaaS 中至少一种模式

对 AI 影像、全球化市场和商业化增长这件事有真实的好奇，愿意把自己的产品思维放进修图、视频等工具场景里

能用数据说话，逻辑和产品手感都在线，能从数据里抓问题、验策略、撬增长

脑子里有想法，也愿意在 AI 影像这个领域里折腾出还没有人走过的变现路子

不躲事儿，真诚有同理心，能和不同团队聊到一起、把项目一起扛到底

 

这些会让你脱颖而出：

 

 
搞过支付体系、订阅体系或会员生命周期运营

日常就是修图、AI 创作工具的重度用户，甚至自己就是内容创作者

有海外产品经验，或者做过 AI 工具类产品的商业化",产品迭代 AI SaaS,https://www.liepin.com/job/1984433505.shtml
